회사명,공장주소(도로명),공장주소(지번),업종명,전화번호,종업원수(총인원),생산품,원자재
(주)건화텍스타일,경기도 포천시 가산면 정금로228번길 19,경기도 포천시 가산면 정교리 56-5번지,편조원단 제조업,02-6464-7760,17,원단,원사
(주)경기종합환경,"경기도 포천시 군내면 포천로 931-29, 유교리 1044-1번지, 나동","경기도 포천시 군내면 유교리 1044-1번지 유교리 1044-1번지, 나동",기체 여과기 제조업,031-943-5630,6,산업용 음압기(청정기),"철판,모터,전선,차압기,차단기"
(주)경암이앤씨,경기도 포천시 내촌면 부마로469번길 27,경기도 포천시 내촌면 마명리 16,"플라스틱 적층, 도포 및 기타 표면처리 제품 제조업",031-564-9524,3,"방수시트, 표면가공제품","매직스포츠 시트, 폴리우레탄 시트"
(주)경원,경기도 포천시 가산면 포천로898번길 76-48 (총 10 필지) 외 9필지,경기도 포천시 가산면 마산리 1-1번지 외 9필지,모피제품 제조업 외 2 종,031-541-1661,55,인조모피원단,
(주)경인넥스텍,"경기도 포천시 내촌면 금강로 2747, (소학리181) 외 1필지",경기도 포천시 내촌면 소학리 181번지 (소학리181) 외 1필지,골판지 제조업 외 1 종,031-534-5340,12,골판지상자,
(주)경주생약식품사업부,경기도 포천시 내촌면 신팔리 415-2,경기도 포천시 내촌면 신팔리 415-2,그 외 기타 식료품 제조업 외 1 종,031-584-6639,33,"가미보간환,천마환, 명품공본환","열매, 뿌리, 당귀, 천궁, 작약, 꿀, 식이유황, 보스웰리스타우린, 비타민, 구연산"
(주)경진안전유리,경기도 포천시 내진로 214 (내촌면) 외 1필지,경기도 포천시 내촌면 진목리 464-5 외 1필지,안전유리 제조업 외 1 종,031-531-3885,8,차량용안전유리,유리
(주)경진테크,경기도 포천시 가산면 정교리 280-12번지 외 2필지,경기도 포천시 가산면 정교리 280-12번지 외 2필지,그 외 금속파스너 및 나사제품 제조업,031-571-8597,3,특수너트,
(주)경한무역,경기도 포천시 내촌면 오림포길 45-33,경기도 포천시 내촌면 진목리 75번지,곡물 혼합분말 및 반죽 제조업,02-365-5141,5,곡류가공품(알파미분),쌀(미분)
(주)경호섬유,경기도 포천시 신북면 장자경제로 103-17,경기도 포천시 신북면 신평리 675-1번지,"직물, 편조원단 및 의복류 염색 가공업",031-862-6777,30,가공섬유원단,섬유원단
(주)계성웰라이프,경기도 포천시 소흘읍 호국로 223-90 (다동),경기도 포천시 소흘읍 이동교리 390-14 (다동),기타 직물제품 제조업,031-542-2965,6,평형마스크,"여과시트,코핀자재"
(주)고려지엠아이,경기도 포천시 내촌면 작은넙고개1길 16,경기도 포천시 내촌면 진목리 938번지,안전유리 제조업 외 1 종,031-533-6223,11,판유리가공품,
(주)고성금속,경기도 포천시 호국로 1113 (자작동),경기도 포천시 자작동 381-2번지,구조용 금속 판제품 및 공작물 제조업 외 3 종,031-543-0090,19,"구조용 스텐레스판,금속공작물 제조",
(주)골드텍스타일,경기도 포천시 군내면 포천로909번길 25,경기도 포천시 군내면 유교리 1023번지,연사 및 가공사 제조업,031-541-1427,10,"연사,직물",
(주)공간디자인그룹,경기도 포천시 소흘읍 한성2길 11,경기도 포천시 소흘읍 고모리 64-2,기타 플라스틱 발포 성형제품 제조업,070-8835-0135,1,벽돌타일 단열패널,"점토벽돌타일,단열재,강판"
(주)과농,경기도 포천시 호국로 1007-216(선단동),경기도 포천시 선단동 308-11,단미 사료 및 기타 사료 제조업,031-531-7719,3,단미사료,"쌀가루, 아미노산"
(주)광덕메탈,"경기도 포천시 내촌면 부마로282번길 86, 가동",경기도 포천시 내촌면 마명리 118번지 가동,구조용 금속 판제품 및 공작물 제조업 외 2 종,031-721-8445,2,"설치용 금속 울타리, 구조용 금속판제품, 금속제 조립식 건물 구성품",
(주)광성윈테크,경기도 포천시 일동면 수입로 132,경기도 포천시 일동면 화대리 513번지,플라스틱 창호 제조업,031-531-8900,4,플라스틱창호 창 셋트,P.V.C 프로파일
(주)광신체육산업,경기도 포천시 정금로392번길 54 -89(가산면),경기도 포천시 가산면 금현리 48-24,기타 운동 및 경기용구 제조업 외 2 종,031-544-6124,5,"야외운동기구,축구골대,풋살골대,농구대 등 체육시설","철재, 스텐레스"
(주)교우산업,경기도 포천시 가산면 가산로14번길 101 (총 2 필지) 외 1필지,경기도 포천시 가산면 방축리 697번지 외 1필지,금속 가구 제조업 외 3 종,031-542-8451,31,"책걸상,사물함,탈수기,지우개털이기",
(주)국제산업개발,경기도 포천시 가산면 오성길 175,경기도 포천시 가산면 금현리 787-1번지,그 외 기타 분류 안된 화학제품 제조업 외 1 종,031-874-7259,7,정수용미생물,
(주)굿페이퍼,경기도 포천시 선단동 578,경기도 포천시 선단동 578,문구용 종이제품 제조업,031-544-9308,4,하드보드지,롤 원지
(주)그린그린,경기도 포천시 죽엽산로298번길 58 (소흘읍),경기도 포천시 소흘읍 고모리 598-0,부직포 및 펠트 제조업 외 2 종,031-544-3752,2,식생매트,"나일론원료(폴리아마이드6), 천연펄프, 황마, PVC"
(주)그린석재,"경기도 포천시 일동면 청지로 45, (화대리 135-3번지)",경기도 포천시 일동면 화대리 135번지 (화대리 135-3번지),건설용 석제품 제조업,031-534-7007,7,판석재,화강석
(주)그린에프씨,경기도 포천시 무림길 79 (소흘읍),경기도 포천시 소흘읍 무림리 378-5,액체 여과기 제조업 외 1 종,031-544-4475,3,필터,세라믹 파우더
(주)극동금속,경기도 포천시 가산면 우금1길 41 (총 3 필지) 외 2필지,경기도 포천시 가산면 우금리 271-4번지 외 2필지,금속선 가공제품 제조업 외 3 종,031-534-0305,7,"각종피스,창호샷시",
(주)글로제닉,경기도 포천시 군내면 용정경제로1길 72,경기도 포천시 군내면 용정리 484-5,기타 직물제품 제조업 외 1 종,031-543-8117,35,"보건용마스크, 에어캡","pp부직포, mb필터"
(주)금강섬유,경기도 포천시 천보1길 26 (동교동),경기도 포천시 동교동 558-9번지,섬유제품 기타 정리 및 마무리 가공업 외 1 종,031-543-6020,30,섬유임가공,섬유
(주)금강칠판교구산업,경기도 포천시 가산면 정금로410번길 26 (총 4 필지) 외 3필지,경기도 포천시 가산면 금현리 95번지 외 3필지,사무 및 회화용품 제조업 외 5 종,031-544-7878,25,"화이트보드,칠판,게시판,스탠드,이젤,독서대","MDF, 철판,알루미늄,콜드,EGI강판,라바,라이렉스,골판지"
(주)금강케이블,경기도 포천시 가산면 마전길 46 (총 3 필지) 외 2필지,경기도 포천시 가산면 마전리 445-1번지 외 2필지,기타 절연선 및 케이블 제조업,031-541-8444,14,동축케이블,
(주)금녕산업,경기도 포천시 천보2길 34 (동교동),경기도 포천시 동교동 691-5번지,금속 캔 및 기타 포장용기 제조업 외 3 종,031-541-0160,34,"금속캐비넷,금속캔",
(주)금도,경기도 포천시 화현면 금강로 4049-12,경기도 포천시 화현면 화현리 258번지,"용기 세척, 포장 및 충전기 제조업",031-790-0760,7,포장기기,
(주)금천,경기도 포천시 내진로258번길 16 (내촌면),경기도 포천시 내촌면 진목리 422-3,일반철물 제조업 외 1 종,031-544-7625,10,"철문 경첩, 금형품",철판
(주)금천,경기도 포천시 내촌면 금강로 2480-31 외 2필지,경기도 포천시 내촌면 내리 171-24 외 2필지,일반철물 제조업 외 1 종,031-544-7625,12,"철물,건축부착물,금형제조",강판제(철판)
(주)금현,경기도 포천시 군내면 직두리 605번지,경기도 포천시 군내면 직두리 605번지,가금류 가공 및 저장 처리업,031-533-2171,26,닭가공,닭
(주)기웅스텐레스,경기도 포천시 소흘읍 광릉수목원로 1187 외 2필지,경기도 포천시 소흘읍 이동교리 738-11번지 외 2필지,그 외 기타 1차 철강 제조업,031-541-6644,11,"절단청강판재,주름처리강재",
(주)나드리가구,경기도 포천시 가산면 정교리 278 외 3필지,경기도 포천시 가산면 정교리 278 외 3필지,기타 목재가구 제조업,031-544-9550,23,"가구(책상,장롱)",
(주)나래산업,경기도 포천시 영중면 은잿말길 294-69,경기도 포천시 영중면 거사리 988번지,비금속류 해체 및 선별업 외 1 종,031-534-8338,8,아크릴재활용제품,
(주)나린에코,경기도 포천시 호국로1145번길 105 (선단동) 외 1필지,경기도 포천시 선단동 334-1번지 외 1필지,놀이터용 장비 제조업 외 4 종,031-531-0750,4,"벤치, 파고라, 조합놀이기구, 판재, 휀스, 이동식사다리","방부목, 메쉬판, 철판, 파이프, 철재"
(주)나산산업,경기도 포천시 가산면 포천로887번길 81,경기도 포천시 가산면 감암리 162-2번지,기타 목재가구 제조업,031-544-7530,7,책상,
(주)나은산업,"경기도 포천시 가산면 마전1길 34, (나동)",경기도 포천시 가산면 마전리 433 (나동),플라스틱 창호 제조업,031-535-2659,2,창호 건축자재,플라스틱 바
(주)나호,"경기도 포천시 가산면 메나리길 104, 가, 나동 외 3필지","경기도 포천시 가산면 방축리 167번지 가, 나동 외 3필지",편조원단 제조업,031-544-8701,4,환편 니트섬유,
(주)남양스톤,경기도 포천시 내촌면 마명리 59-1,경기도 포천시 내촌면 마명리 59-1,건설용 석제품 제조업,031-568-6681,5,판석 절단 가공,
(주)남영스타킹,경기도 포천시 영중면 양문공단로 127-12,경기도 포천시 영중면 양문리 985-1 번지,솜 및 실 염색가공업 외 1 종,031-543-8811,18,스타킹 및 기타양말,"나일론, 카바링사"
(주)네오퍼스방축리지점,경기도 포천시 가산면 가산로194번길 10,경기도 포천시 가산면 방축리 112-3번지,금속 가구 제조업 외 5 종,031-542-4490,5,"철재목재가구, 철재쓰레기통","철재, 합판, 가구부자재"
(주)네추럴웨이,경기도 포천시 설운동 584-13 외 2필지,경기도 포천시 설운동 584-13 외 2필지,건강기능식품 제조업 외 1 종,031-535-7674,90,"숙취해소용정제, 농축액","효모추출물,셀룰로오스,건조해조류,발효주정"
(주)농협물류,경기도 포천시 군내면 용정경제로2길 89,경기도 포천시 군내면 용정리 482-13,일반 창고업,02-2131-9734,28,상온물자 하나로마트 서비스,
(주)누리텍스,경기도 포천시 가산면 우현로 30,경기도 포천시 가산면 우금리 708-9번지,편조원단 제조업,031-544-0703,22,니트원단,니트원단
(주)뉴서진식품,"경기도 포천시 가산면 메나리길 117-3, 가, 다동","경기도 포천시 가산면 방축리 157-4번지 가, 다동",육류 기타 가공 및 저장처리업 (가금류 제외),031-536-5540,15,해장국 식재료,
(주)다온팩토리농업회사,경기도 포천시 가산면 가산리 421번지 외 2필지,경기도 포천시 가산면 가산리 421번지 외 2필지,천연 및 혼합조제 조미료 제조업,031-542-5783,7,고추가루,
(주)다우썬,경기도 포천시 가산면 포천로898번길 119 (총 5 필지) 외 4필지,경기도 포천시 가산면 금현리 337번지 외 4필지,전구 및 램프 제조업 외 1 종,031-541-0218,17,"전구램프,조명기구",
(주)다원벽지,경기도 포천시 가산면 정금로 475,경기도 포천시 가산면 금현리 180-2번지,벽지 및 장판지 제조업,031-533-3917,10,벽지,
(주)다정,경기도 포천시 영중면 영일로97번길 28,경기도 포천시 영중면 금주리 437-19번지,차류 가공업,031-542-6656,32,차류,곡물
(주)담터,경기도 포천시 신북면 청신로2097번길 85-8,경기도 포천시 신북면 신평리 93-30번지,차류 가공업 외 1 종,031-531-8688,17,"차류(홍차,쌍화차등)","녹분,둥글레,설탕,프림,포도당"
(주)담터,경기도 포천시 신북면 청신로2097번길 85-8 외 2필지,경기도 포천시 신북면 신평리 93-30번지 외 2필지,차류 가공업,031-531-8688,45,"호두아몬드,율무차",
(주)대건보드,경기도 포천시 내촌면 진금로 14,경기도 포천시 내촌면 진목리 202-1번지,"박판, 합판 및 유사 적층판 제조업",031-531-0313,20,적층판제조,
(주)대경전자,경기도 포천시 가산면 정교2길 26-3 외 2필지,경기도 포천시 가산면 정교리 380-1번지 외 2필지,그 외 기타 의료용 기기 제조업,031-543-5054,23,의료기기,"ABS,PP,나일론 외"
(주)대경화학,경기도 포천시 가산면 포천로912번길 89,경기도 포천시 가산면 마전리 583번지,매트리스 및 침대 제조업,031-544-8100,23,스폰지,E.V.E LDPE
(주)대광레이스,경기도 포천시 소흘읍 죽엽산로95번길 35 외 1필지,경기도 포천시 소흘읍 이가팔리 466-1번지 외 1필지,편조원단 제조업,031-542-5141,19,원단편조,
(주)대도메탈배리어,경기도 포천시 가산면 시우동1길 4,경기도 포천시 가산면 가산리 481-6번지,절삭가공 및 유사처리업 외 7 종,031-543-2889,7,"창호,철물,방화문,사다리등",
(주)대동에스앤티,경기도 포천시 영북면 호국로3620번길 4-23 (총 3 필지) 외 2필지,경기도 포천시 영북면 야미리 261번지 외 2필지,건설용 석제품 제조업,031-532-7671,8,석재품,원석
(주)대동종합목재,경기도 포천시 내촌면 소학리 2-4번지 외 4필지 외 4필지,경기도 포천시 내촌면 소학리 2-4번지 외 4필지 외 4필지,기타 목재가구 제조업,031-574-9922,26,인테리어가구,
(주)대명보드,경기도 포천시 가산면 감암리 451-4 외 2필지,경기도 포천시 가산면 감암리 451-4 외 2필지,"박판, 합판 및 유사 적층판 제조업",031-543-8076,15,미장합판,MDF
(주)대명제분,경기도 포천시 오성한음로 302 (가산면) 외 1필지,경기도 포천시 가산면 마산리 715-1 외 1필지,전분제품 및 당류 제조업 외 1 종,031-531-1137,20,"메밀가루, 쌀가루등","메밀, 쌀"
(주)대명제분,경기도 포천시 내촌면 금강로 2519-46,경기도 포천시 내촌면 내리 156-54,기타 식품 첨가물 제조업,031-531-1137,2,제빵용첨가물(전분가루 등),변성전분
(주)대명폴리텍,경기도 포천시 화현면 봉화로887번길 17-1,경기도 포천시 화현면 지현리 354-9번지,그 외 기타 플라스틱 제품 제조업,031-531-1814,21,지퍼백,
(주)대산바이오텍,경기도 포천시 가산면 포천로898번길 137-13,경기도 포천시 가산면 금현리 309-4번지,비내화 모르타르 제조업,031-544-7951,5,NATM-레진(터널공사용접착제),
(주)대성,경기도 포천시 소리개길 38 (내촌면),경기도 포천시 내촌면 음현리 129-1,"산업용 오븐, 노 및 노용 버너 제조업 외 1 종",031-536-6770,6,전기로,"철판, 세라믹보드, 히터, 컨트롤러"
(주)대성리빙,경기도 포천시 소흘읍 호국로 456-129,경기도 포천시 소흘읍 이동교리 67-11,그 외 기타 플라스틱 제품 제조업,031-543-7740,17,놀이방 폴더매트,PE내장재
(주)대성샘플라인,경기도 포천시 가산면 마현1길 10 외 4필지,경기도 포천시 가산면 금현리 362-2번지 외 4필지,기타 인쇄관련 산업,031-544-7285,35,"벽지,카다로","벽지,종이"
(주)대성엠텍스,경기도 포천시 선단동 837 외 2필지,경기도 포천시 선단동 837 외 2필지,편조원단 제조업,02-420-3232,3,니트원단,
(주)대성텍스코,경기도 포천시 송선로265번길 38 (선단동) (총 2 필지) 외 1필지,경기도 포천시 선단동 829-2번지 외 1필지,커튼 및 유사제품 제조업,031-542-6121,8,커튼,
(주)대성티앤씨,경기도 포천시 군내면 용두로 71,경기도 포천시 군내면 용정리 6-19번지,그 외 기타 분류 안된 화학제품 제조업 외 1 종,031-714-2490,2,"정수제,미생물영양제",
(주)대승조경택스,경기도 포천시 가산면 우금1길 16,경기도 포천시 가산면 우금리 280-4 (구. 280-4번지),편조원단 제조업 외 1 종,031-541-2762,3,"원단편직, 조경용원단원목밴드","원사, 마원사"
(주)대양,경기도 포천시 가산면 가산로 129-1 외 1필지,경기도 포천시 가산면 방축리 외 1필지,기타 전기 변환장치 제조업 외 1 종,031-544-7007,35,누전차단기부품,"종이(판지), 철재, 조립부속"
(주)대양,경기도 포천시 방산길 130 -10(가산면) 외 2필지,경기도 포천시 가산면 가산리 161-8 외 2필지,그 외 기타 전자부품 제조업 외 3 종,031-541-2551,18,"누전차단기 부품, 변압기부품","절연지, 철재"
(주)대양기연,경기도 포천시 일동면 길명리 731-2번지 외 1필지 외 1필지,경기도 포천시 일동면 길명리 731-2번지 외 1필지 외 1필지,구조용 금속 판제품 및 공작물 제조업,031-531-6444,13,덕트(공기정화기)제조,
(주)대양피앤티,경기도 포천시 일동면 화동로 1544-165 외 1필지,경기도 포천시 일동면 사직리 292-2 외 1필지,일반용 도료 및 관련제품 제조업,031-987-8587,12,분체페인트 (분말),"폴리에스터 레진, 에폭시 레진"
(주)대영섬유,경기도 포천시 신북면 장자경제로 106,경기도 포천시 신북면 신평리 673-20번지,솜 및 실 염색가공업,031-533-3977,10,염색 원사,섬유원단
(주)대영지에프,경기도 포천시 가산면 궁말길 42,경기도 포천시 가산면 금현리 602-2번지,과자류 및 코코아 제품 제조업,031-543-4541,11,곡분과자,
(주)대원,경기도 포천시 가산면 가산로267번길 37 외 6필지,경기도 포천시 가산면방축리 방축리8-1 외 6필지,날염 가공업 외 1 종,031-542-1692,80,섬유날염,"원단,염료"
(주)대원금속 ,경기도 포천시 화현면 우시동길 251,경기도 포천시 화현면 화현리 1033-7,육상 금속 골조 구조재 제조업,031-532-3639,5,건축 외벽설치 앙카,"철파이프, 볼트, 와샤"
(주)대원산업,"경기도 포천시 가산면 메나리길 118-45, (가동,나동)","경기도 포천시 가산면 방축리 311-2 (가동,나동)",간판 및 광고물 제조업 외 4 종,031-439-1360,8,옥외광고물 및 필름 원단,필름
(주)대원색소,경기도 포천시 신북면 청신로2097번길 93,경기도 포천시 신북면 신평리 93-25번지,무기안료용 금속 산화물 및 관련 제품 제조업 외 1 종,031-536-6455,23,"가공안료판,토너(겔상태),옵셋잉크(겔상태)","가소제,CaC03,PVC,안료,수지,아마인유,광유"
(주)대원진,경기도 포천시 가산면 너배기길 42,경기도 포천시 가산면 금현리 1133번지,섬유제품 기타 정리 및 마무리 가공업,031-542-9260,15,청바지 마무리 가공,청바지
(주)대정,경기도 포천시 군내면 용정1길 51 (총 2 필지) 외 1필지,경기도 포천시 군내면 용정리 187-1번지 외 1필지,기타 목재가구 제조업,031-536-8242,4,장롱,
(주)대중종합목재,경기도 포천시 내촌면 금강로2018번길 41-32,경기도 포천시 내촌면 음현리 450번지,"박판, 합판 및 유사 적층판 제조업",031-532-2120,7,목재무늬목,
(주)대진이앤피,경기도 포천시 가산면 감암1길 45-39,경기도 포천시 가산면 마산리 674번지,변압기 제조업,031-544-7478,12,"붓싱, 탭 체인저","에폭시(합성수지분말), 고무(판재)"
(주)대한공조이엔지,"경기도 포천시 가산면 정금로255번길 4-25, (A,C 동)","경기도 포천시 가산면 정교리 84 (A,C 동)",공기 조화장치 제조업,031-571-2115,14,닥트기구,"아연도강판,AL샷시,STS강판"
(주)대한녹용수출입법인,경기도 포천시 용정경제로1길 93 -6(군내면),경기도 포천시 군내면 용정리 486-6,한의약품 제조업,02-1544-2755,15,한약재,농.임산물
(주)대한문,경기도 포천시 가산면 금현리 525-8번지,경기도 포천시 가산면 금현리 525-8번지,"금속 문, 창, 셔터 및 관련제품 제조업",031-555-6330,12,방화문,
(주)대한밸브,경기도 포천시 호국로 2039 -183(신북면),경기도 포천시 신북면 기지리 921-2,"플라스틱 선, 봉, 관 및 호스 제조업",031-535-3191,2,강화플라스틱 성형제품(기계부품),
(주)대한이엔씨,"경기도 포천시 포천로427번길 12 -2(내촌면) 3,4동","경기도 포천시 내촌면 진목리 257-8 3,4동",기타 구조용 금속제품 제조업,031-534-8249,7,컨테이너하우스,철판
(주)대한하우징,경기도 포천시 내촌면 진목리 204-2,경기도 포천시 내촌면 진목리 204-2,기타 구조용 금속제품 제조업 외 1 종,031-534-2323,3,"조립구조재, 콘테이너","철판, H빔외"
(주)대한하우징,경기도 포천시 소흘읍 부흥로 414 외 1필지,경기도 포천시 소흘읍 고모리 784-1번지 외 1필지,트레일러 및 세미트레일러 제조업 외 8 종,031-541-8785,7,"컨테이너,소파,금속가구,놀이터용장비","철자재,판넬"
(주)대현인터내셔날,경기도 포천시 가산면 시우동길 79-10,경기도 포천시 가산면 가산리 424-3번지,세폭직물 제조업 외 1 종,031-543-4805,6,라벨제조,"원사, 수지풀"
(주)대호섬유,경기도 포천시 신북면 장자경제로 144-4,경기도 포천시 신북면 신평리 673-5,"직물, 편조원단 및 의복류 염색 가공업",031-535-1232,6,가공섬유원단,가공섬유
(주)대호시스템,경기도 포천시 소흘읍 호국로484번길 24-24,경기도 포천시 소흘읍 이동교리 64-12번지,"금속 문, 창, 셔터 및 관련제품 제조업 외 2 종",031-841-8510,4,"금속제창호, 플라스틱창호","알루미늄,프라스틱"
(주)대화씨앤에프,"경기도 포천시 내촌면 포천로427번길 12-2, 1,2동","경기도 포천시 내촌면 진목리 257-8번지 1,2동","산업용 오븐, 노 및 노용 버너 제조업 외 1 종",031-536-1890,12,"산업용노, FIB히터",열선
(주)대흥츄리,경기도 포천시 가산면 마금길 95,경기도 포천시 가산면 마전리 548-3번지,그 외 기타 달리 분류되지 않은 제품 제조업 외 1 종,031-544-6507,6,크리스마스 츄리용품,
(주)더드립,경기도 포천시 내촌면 음현리 507 외 4필지,경기도 포천시 내촌면 음현리 507 외 4필지,커피 가공업,070-4495-3598,20,볶은커피,
