순번,회사명,공장대표주소(도로명),공장대표주소(지번),업종명,전화번호,팩스번호,종업원수,생산품명,데이터기준일자
39,(주)닥터스텍,"경기도 하남시 미사강변중앙로7번안길 25, B동 604,605,606,607,608,609,901,902,903,904,905,906,907,908,909,911(풍산동, u-테크밸리)","경기도 하남시 풍산동 595-1 u-테크밸리 B동 604,605,606,607,608,609,901,902,903,904,905,906,907,908,909,911",그 외 기타 의료용 기기 제조업,070-4327-8470,02-428-0836,40,"의료기기, 피부미용기기",2025-06-30
40,(주)담디자인건축,"경기도 하남시 조정대로 150, 5층 563 (덕풍동, 아파트형공장 ITECO)",경기도 하남시 덕풍동  762번지,간판 및 광고물 제조업 외 1 종,070-7122-0019,02-395-3047,6,"안내판,광고판 등",2025-06-30
41,(주)담비기술,"경기도 하남시 조정대로 45, F737,F851호 (풍산동, 미사센텀비즈)","경기도 하남시 풍산동 493 미사센텀비즈 F737,F851호",유선 통신장비 제조업 외 1 종,031-905-5454,070-4275-0545,8,"기타유선통신장비,기타무선통신장비,IOT제어모듈,유선디바이스,무선디바이스, 기타유선통신장비,기타무선통신장비,IOT제어모듈,유선디바이스,무선디바이스",2025-06-30
42,(주)대광,경기도 하남시 춘궁로 93 (하사창동),경기도 하남시 하사창동 116-5번지,기타 인쇄관련 산업 외 2 종,031-793-8771,031-793-0774,20,"달력,가계부",2025-06-30
43,(주)대림장재,"경기도 하남시 미사강변서로 25, FB344호 (풍산동)",경기도 하남시 풍산동 489번지 FB344호,그 외 기타 나무제품 제조업 외 1 종,031-761-2218,031-761-6228,4,"목관,수의",2025-06-30
44,(주)대신씨에프,경기도 하남시 산곡북로 32-10(하산곡동),경기도 하남시 하산곡동 423,도시락류 제조업 외 2 종,031-795-4540,070-4466-0039,12,"도시락, 소스류, 돈까스",2025-06-30
45,(주)대원산업,"경기도 하남시 초광산단서로 13, 1,2층 (초이동)","경기도 하남시 초이동 625 1,2층",포장용 플라스틱 성형용기 제조업 외 3 종,031-794-2001,031-793-2608,20,"반도체포장BOX, 반도체포장BOX, 반도체포장BOX, 금형제품",2025-06-30
46,(주)대원산업,"경기도 하남시 하남대로622번길 33,  외11필지 (천현동) (총 2 필지) 외 1필지",경기도 하남시 천현동 456-1번지 외11필지,운송장비 조립용 플라스틱제품 제조업 외 4 종,031-794-2001,031-794-7711,325,"반도체칩트레이, 반도체금형",2025-06-30
47,(주)대원이노스트,경기도 하남시 하남대로622번길 33 (창우동),경기도 하남시 창우동 323번지,일반용 전기 조명장치 제조업,031-796-2800,031-794-5588,12,LED등기구,2025-06-30
48,(주)대원포티스,"경기도 하남시 조정대로 45, 5층 F529 (풍산동)",경기도 하남시 풍산동 493번지 5층 F529,"체조, 육상 및 체력단련용 장비 제조업 외 3 종",02-3426-0013,02-3426-0014,12,"승마운동기구, 스트링,직조,소폭직물",2025-06-30
49,(주)대창실업,경기도 하남시 초광산단동로6번길 71 (광암동),경기도 하남시 광암동 408-6번지,세폭직물 제조업,02-482-1772,031-791-3717,16,세폭직물,2025-06-30
50,(주)더라파랩,경기도 하남시 조정대로 45 (풍산동) 미사센텀비즈 제3층 제에프 329호,경기도 하남시 풍산동 493 미사센텀비즈,전기식 진단 및 요법 기기 제조업,02-529-4285,0504-337-2796,4,"의료기기, 요법기제조(전기,의료용), 의료용요법기기제조(전기식), 저주파치료기제조,전기식요법기기제조",2025-06-30
51,(주)더마라인,"경기도 하남시 하남대로 947, D동 9층 904,905,906,907,908,909호(풍산동, 하남테크노밸리 U1 CENTER)","경기도 하남시 풍산동 618 하남테크노밸리 U1 CENTER D동 9층 904,905,906,907,908,909호",그 외 기타 의료용 기기 제조업 외 1 종,070-5029-2891,031-8027-4771,58,"기타 피부과용 의료기기제조,스킨로션제조",2025-06-30
52,(주)동구밭,"경기도 하남시 미사강변서로 25, FB226,FB227,FB228호(풍산동, 미사 테스타타워 지식산업센터) 외 1필지","경기도 하남시 풍산동 489 미사 테스타타워 지식산업센터 FB226,FB227,FB228호","치약, 비누 및 기타 세제 제조업 외 1 종",070-4282-9626,02-6468-2029,66,친환경 고체 화장품 및 생활용품,2025-06-30
53,(주)동방제지,경기도 하남시 하남대로622번길 81 (창우동),경기도 하남시 창우동 318-3번지,위생용 종이제품 제조업,02-578-0188,02-578-0189,36,"두루말이,네프킨 등",2025-06-30
54,(주)동양시스템창호,경기도 하남시 초일로 381 (초일동),경기도 하남시 초일동 3-6번지,플라스틱 창호 제조업 외 2 종,031-791-8513,031-791-8516,4,"합성수지재창,금속재창",2025-06-30
55,(주)동일산업사,"경기도 하남시 신장로56번길 55 (천현동, 조경건설)",경기도 하남시 천현동 613-3번지,기타 건축용 플라스틱 조립제품 제조업,031-793-1768,,2,트랜지바닥배수구,2025-06-30
56,(주)두남엔지니어링,"경기도 하남시 하남대로 947, C동 1305호(풍산동, 하남테크노밸리 U1 CENTER) 외 1필지",경기도 하남시 풍산동 618 하남테크노밸리 U1 CENTER C동 1305호,승강기 제조업,02-567-8010,02-567-7080,46,엘리베이터 전용부품,2025-06-30
57,(주)두메촌,경기도 하남시 천현로 37 (신장동),경기도 하남시 신장동 531-2 번지,육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종,031-795-2325,,8,"우육, 돈육",2025-06-30
58,(주)두산금속,경기도 하남시 서하남로584번길 49 (교산동),경기도 하남시 교산동 88-3번지,"금속 문, 창, 셔터 및 관련제품 제조업",031-793-7272,031-796-2792,19,"철문,창문",2025-06-30
59,(주)두우기술,"경기도 하남시 하남대로 947, B동 618호(풍산동, 하남테크노밸리 U1 CENTER)",경기도 하남시 풍산동 618 하남테크노밸리 U1 CENTER B동 618호,그 외 기타 분류 안된 금속 가공 제품 제조업,031-703-3761,031-703-3766,3,방진가대,2025-06-30
60,(주)디에스푸드시스템,"경기도 하남시 덕산로15번길 116, 가동1호 (춘궁동)",경기도 하남시 춘궁동 170번지 가동1호,육류 기타 가공 및 저장처리업 (가금류 제외),,02-473-5111,5,"식육가공품(소곱창,소내장)소고기가공품",2025-06-30
61,(주)디에이치시스,"경기도 하남시 조정대로 45, 9층 F945 (풍산동)",경기도 하남시 풍산동 493번지 9층 F945,방송장비 제조업 외 4 종,070-4300-1880,070-7610-2359,6,"방송장비,액정모니터,음성입출력장치,LED공고판,산업처리자동조절용기기",2025-06-30
62,(주)디엔티솔루션,"경기도 하남시 조정대로 45, F439호 (풍산동, 미사센텀비즈)",경기도 하남시 풍산동 493 미사센텀비즈 F439호,방송장비 제조업 외 2 종,070-4086-8067,02-6280-8067,4,"방송장비(마이크컨트롤러) 등, 마이크로폰, 오디오잭",2025-06-30
63,(주)디와이우레탄,"경기도 하남시 하남대로 630, A동 1층 (천현동)",경기도 하남시 천현동 450-1번지 A동 1층,그 외 기타 고무제품 제조업,031-792-1341,031-793-1341,8,"쿠션,메트리스,스폰지성형가공,가구매트리스",2025-06-30
64,(주)디자인붐,경기도 하남시 산곡동로14번길 34 (하산곡동) 2층,경기도 하남시 하산곡동 340-8,간판 및 광고물 제조업,031-796-4992,031-796-4919,6,"옥외광고물, 간판",2025-06-30
65,(주)디자인지에프,경기도 하남시 미사강변서로 25 (풍산동) 미사 테스타타워 지식산업센터,경기도 하남시 풍산동 489-0 미사 테스타타워 지식산업센터,간판 및 광고물 제조업 외 3 종,02-749-6426,070-8282-6426,9,"광고물,간판,조립식구조물",2025-06-30
66,(주)디지털포캐스트,경기도 하남시 조정대로 45 (풍산동) 미사센텀비즈,경기도 하남시 풍산동 493 미사센텀비즈,방송장비 제조업 외 1 종,02-861-1354,031-5175-3305,0,"방송용 신호변환기,방송전송기, 영상복사기",2025-06-30
67,(주)디케이앤트,경기도 하남시 하남대로 947 (풍산동) D동 13층 1316호,경기도 하남시 풍산동 618-0,전시 및 광고용 조명장치 제조업 외 9 종,,02-459-7572,7,"LED, 가로등, 교통음향신호장치, 폐쇄회로카메라, 스피커, 가정용비디오,카메라,데스크톱PC, 보조기억장치, 유선전신장치,어댑터",2025-06-30
68,(주)라이크텍,"경기도 하남시 조정대로 45, 2층 F216 (풍산동)",경기도 하남시 풍산동 493번지 2층 F216,교통 신호장치 제조업 외 1 종,1566-6604,031-795-3409,5,"차량번호인식기,주차통제차단기",2025-06-30
69,(주)라진플로베,경기도 하남시 초광산단동로6번길 66(광암동),경기도 하남시 광암동 407-4,그 외 기타 나무제품 제조업 외 2 종,031-793-1174,031-793-1105,44,"기구용 목재 케이스, 산업용오븐(제과제빵), 가정용 오븐",2025-06-30
70,(주)라코스벨,"경기도 하남시 조정대로 35, 알104호(풍산동, 미사 하우스디 엘타워)",경기도 하남시 풍산동 492 미사 하우스디 엘타워 알104호,화장품 제조업,02-412-0315,02-412-0318,5,천연에센셜화장품,2025-06-30
71,(주)래쉬놀코리아,"경기도 하남시 하남대로 947, A동 804호 (풍산동, 하남테크노밸리 U1 CENTER)",경기도 하남시 풍산동 618 하남테크노밸리 U1 CENTER A동 804호,접착제 및 젤라틴 제조업,,,2,속눈썹 글루,2025-06-30
72,(주)랩사이언스,"경기도 하남시 조정대로 150, 10층 1003 (덕풍동)",경기도 하남시 덕풍동 762번지 10층 1003,"증류기, 열교환기 및 가스발생기 제조업",031-790-4123,031-790-4127,6,초순수제조장치,2025-06-30
73,(주)러쉬아이엠피,경기도 하남시 감북로 73 (감일동),경기도 하남시 감일동 1-8번지,자동차용 신품 의자 제조업,02-488-9858,02-488-9859,8,차량용의자(시트) 관련 부품 제조,2025-06-30
74,(주)로드원콜렉션,경기도 하남시 초광산단로 118 (광암동),경기도 하남시 광암동 409-2번지,핸드백 및 지갑 제조업,02-429-8868,02-429-8838,19,가죽핸드백,2025-06-30
75,(주)롤링핀컴퍼니(델리베이),"경기도 하남시 미사강변서로 25, 지하2층 FB230호,FB231호,FB232호,FB233호 (풍산동)","경기도 하남시 풍산동 489번지 지하2층 FB230호,FB231호,FB232호,FB233호",곡물 혼합분말 및 반죽 제조업,031-5175-6400,031-5175-6403,32,빵반죽생지,2025-06-30
76,(주)리베로에이아이,"경기도 하남시 조정대로 45, F329호 (풍산동, 미사센텀비즈)",경기도 하남시 풍산동 493 미사센텀비즈 F329호,컴퓨터 제조업,,0504-464-5906,2,서버 컴퓨터,2025-06-30
77,(주)리츠엔,"경기도 하남시 조정대로 150, 628, 630, 633호(덕풍동, 아이테코)","경기도 하남시 덕풍동 762 아이테코 628, 630, 633호",유선 통신장비 제조업 외 1 종,031-790-1641,,7,"자동문센서, 주차관제",2025-06-30
78,(주)리포나,"경기도 하남시 조정대로 150, 609, 709호 (덕풍동, 아이테코)","경기도 하남시 덕풍동 762 아이테코 609, 709호",무인 항공기 및 무인 비행장치 제조업 외 1 종,031-790-1356,031-935-0356,44,"이동통신기기, 드론",2025-06-30
79,(주)매지션,경기도 하남시 초일로166번길 21 (초일동),경기도 하남시 초일동 250번지,그 외 기타 의료용 기기 제조업,,,7,정맥카테터,2025-06-30
80,(주)메가헤르츠,경기도 하남시 하남대로 947 (풍산동) D동 13층 1307호,경기도 하남시 풍산동 618-0,기타 무선 통신장비 제조업 외 1 종,02-6929-3331,0505-041-3331,7,"분배기,공용기,차량유도등,LED비상구 안내표시등,기타무선통신장비용 전용부분품",2025-06-30
81,(주)메드윈,"경기도 하남시 조정대로 150, 3층 346 (덕풍동, 아파트형공장 ITECO)",경기도 하남시 덕풍동  762번지,그 외 기타 의료용 기기 제조업,031-790-4077,031-790-4088,17,megawarmer 등,2025-06-30
82,(주)메디슬립,"경기도 하남시 조정대로 35, F811호(풍산동, 미사 하우스디 엘타워)",경기도 하남시 풍산동 492 미사 하우스디 엘타워 F811호,전기식 진단 및 요법 기기 제조업,1566-7871,,4,구강삽입형기도확장기,2025-06-30
83,(주)모든모터스,"경기도 하남시 조정대로 35, 4층 F405호(풍산동, 미사 하우스디 엘타워)",경기도 하남시 풍산동 492 미사 하우스디 엘타워 4층 F405호,모터사이클 제조업 외 1 종,1688-9348,02-401-0334,5,"전동식 개인 이동수단(세그웨이,segway), 기타 리튬이온축전지",2025-06-30
84,(주)모리트,"경기도 하남시 조정대로 150, 4층 457호(덕풍동, 아이테코)",경기도 하남시 덕풍동 762 아이테코 4층 457호,"물질 검사, 측정 및 분석기구 제조업 외 4 종",02-453-6405,02-529-6410,19,"프로세스제어반, 계장제어장치",2025-06-30
85,(주)모현씨앤디,"경기도 하남시 조정대로 35, B3층 에프비323호(풍산동, 미사 하우스디 엘타워)",경기도 하남시 풍산동 492 미사 하우스디 엘타워 B3층 에프비323호,고무패킹류 제조업 외 2 종,02-487-1649,,4,"고무패킹류, 플라스틱제 건재, 금속 조립 공작물",2025-06-30
86,(주)무하기술,"경기도 하남시 조정대로 150, 421호 (덕풍동, 아이테코)",경기도 하남시 덕풍동 762 아이테코 421호,산업처리공정 제어장비 제조업 외 3 종,070-4454-0277,031-792-0815,3,"제어전자카드, 정밀진단장치, 공기질제어장치, 배전반 및 전기 자동제어반 등, 제어전자카드, 정밀진단장치, 공기질제어장치, 배전반 및 전기 자동제어반 등, 제어전자카드, 정밀진단장치, 공기질제어장치, 배전반 및 전기 자동제어반 등, 제어전자카드, 정밀진단장치, 공기질제어장치, 배전반 및 전기 자동제어반 등",2025-06-30
87,(주)미래아이엔지,"경기도 하남시 하남대로 947, C동 1403, C동 1404호(풍산동, 하남테크노밸리 U1 CENTER)","경기도 하남시 풍산동 618 하남테크노밸리 U1 CENTER C동 1403, C동 1404호",방송장비 제조업 외 7 종,031-5180-3565,031-5180-3560,7,"유선 및 무선방송 전송기, 신호변환기(방송통신기), (A/D) 및 (D/A)변환기, 스피커, 전원공급기, 음향장비, 네트워크장비",2025-06-30
88,(주)미젠,"경기도 하남시 조정대로 35, F413호 (풍산동)",경기도 하남시 풍산동 492번지 F413호,그 외 기타 의료용 기기 제조업,031-5175-4580,031-5175-4585,1,물리요법용기기(체외충격파 등),2025-06-30
89,(주)바스맨테크놀러지,"경기도 하남시 조정대로 150, 6층 660 (덕풍동, 아파트형공장 ITECO)",경기도 하남시 덕풍동 762번지 아파트형공장 ITECO 6층 660,기타 무선 통신장비 제조업 외 5 종,070-8230-2998,031-790-0088,7,"1.5V재충전건전지, 모빌리티충전어댑터(OBC),제어기 등, 1.5V건전지 충전지",2025-06-30
90,(주)바이바우,"경기도 하남시 산곡동로 84-33, 1층(하산곡동)",경기도 하남시 하산곡동 279-10 1층,침구 및 관련제품 제조업 외 1 종,031-794-1905,031-791-1905,4,"베게커버, 이불커버, 커튼",2025-06-30
91,(주)바이오머테리얼즈코리아,"경기도 하남시 조정대로 150, 329,331,413호 (덕풍동, 아이테코)","경기도 하남시 덕풍동 762 아이테코 329,331,413호",치과용 기기 제조업 외 2 종,031-790-4510,031-790-4519,12,"치과 교정용 고정장치, 악안면 성형용 판 및 스크류, 특수재질골절함용판 및 나사",2025-06-30
92,(주)바이오유닛,"경기도 하남시 미사강변중앙로 11, 810호,811호,812호,813호,814호,815호,816호,817호,B113호(풍산동, 두산 더프론트 미사)","경기도 하남시 풍산동 599-2 두산 더프론트 미사 810호,811호,812호,813호,814호,815호,816호,817호,B113호",그 외 기타 의료용 기기 제조업,031-795-1023,031-790-1025,18,의료기기(카테터),2025-06-30
93,(주)보니타베베,"경기도 하남시 조정대로 35, 하우스디엘타워 F605호, F606호 (풍산동)","경기도 하남시 풍산동 492번지 하우스디엘타워 F605호, F606호",침구 및 관련제품 제조업,070-8854-0028,02-553-0888,19,"놀이매트,침구",2025-06-30
94,(주)부경테크,경기도 하남시 산곡동로12번길 9 (하산곡동),경기도 하남시 하산곡동  379-4번지,일반용 전기 조명장치 제조업,031-795-2894,031-795-2896,9,주택용조명기구부품,2025-06-30
95,(주)블라인드팩토리,경기도 하남시 감이동 133번지,경기도 하남시 감이동 133번지,그 외 기타 특수목적용 기계 제조업 외 1 종,02-473-2620,02-473-2619,19,"외부차양, 셔터",2025-06-30
96,(주)블루라이트,"경기도 하남시 조정대로 150, 하남아이테코 625호 (덕풍동)",경기도 하남시 덕풍동 762 번지 하남아이테코 625호,일반용 전기 조명장치 제조업,031-790-1050,,5,가로등,2025-06-30
97,(주)비긴스,"경기도 하남시 조정대로 150, 10층 1005 (덕풍동, 아파트형공장 ITECO)",경기도 하남시 덕풍동 762번지 아파트형공장 ITECO 10층 1005,커피 가공업,1688-8039,031-790-4039,1,액상커피,2025-06-30
98,(주)비아비스,"경기도 하남시 조정대로 45, 8층 F818호(풍산동, 미사센텀비즈)",경기도 하남시 풍산동 493 미사센텀비즈 8층 F818호,유선 통신장비 제조업,1522-0150,02-6003-0069,4,유선통신장비(기타유선통신장비),2025-06-30
99,(주)비앤피인스트루먼트,"경기도 하남시 미사강변중앙로31번길 15, 814호(풍산동, 희가로 프리미어)",경기도 하남시 풍산동 598 희가로 프리미어 814호,"레이더, 항행용 무선기기 및 측량기구 제조업",02-546-1457,02-546-1458,2,기상관측기,2025-06-30
100,(주)비엔에프글로벌,경기도 하남시 산곡로 8 (상산곡동),경기도 하남시 상산곡동  127-13번지,"수산동물 훈제, 조리 및 유사 조제식품 제조업",031-794-5071,031-794-5009,3,간장게장,2025-06-30
101,(주)비엠바이텍,"경기도 하남시 조정대로 45, 7층 F722,F723,F724 (풍산동)","경기도 하남시 풍산동 493번지 7층 F722,F723,F724",그 외 기타 의료용 기기 제조업,031-5175-3214,02-988-7579,8,인공신장투석액제조기,2025-06-30
102,(주)비주얼링크,"경기도 하남시 초광산단로 30, 2,3층 (초이동)","경기도 하남시 초이동 626-3 2,3층",그 외 기타 가구 제조업,02-477-9111,02-477-9311,8,아크릴 제작가구,2025-06-30
103,(주)사랑과평화,경기도 하남시 하남대로 947 (풍산동) 하남테크노밸리 U1 CENTER D동705호,경기도 하남시 풍산동 618-0 하남테크노밸리 U1 CENTER,가공 및 정제염 제조업,031-772-8912,031-772-8913,3,식염수(물 소금),2025-06-30
