회사명,단지명,전화번호,팩스번호,업종명,생산품,소재지도로명주소,소재지지번주소,데이터기준일자
(주)홍릉물산,,,,화약 및 불꽃제품 제조업,꽃죽,경기도 가평군 청평면 상천리 53-3번지,경기도 가평군 청평면 상천리 53-3번지,2025-05-21
TOHINKOREA 플러스,,031-585-5781,031-585-5783,기체 펌프 및 압축기 제조업,기체펌프,경기도 가평군 설악면 신천중앙로35번길 15,경기도 가평군 설악면 신천리 370 번지,2025-05-21
YT상사,,,,기타 직물제품 제조업,직물제품,경기도 가평군 청평면 상천리 175-5번지 외 4필지,경기도 가평군 청평면 상천리 175-5번지 외 4필지,2025-05-21
가나콜크개발공사,,031-582-1194,,코르크 및 조물제품 제조업,낚시대,경기도 가평군 가평읍 달전로 70 (가나콜크개발공사),경기도 가평군 가평읍 달전리 285번지,2025-05-21
가평 거점형 농산물종합가공센터,,031-580-2851,,기타 곡물 가공품 제조업 외 3 종,농산물가공품,,경기도 가평군 가평읍 승안리 100-4 외 4필지,2025-05-21
가평 컨테이너,,031-584-8914,,기타 구조용 금속제품 제조업,조립식 컨테이너,경기도 가평군 청평면 소돌말길 3 (가평콘테이너),경기도 가평군 청평면 대성리 33-1번지,2025-05-21
가평군 산림조합,,031-582-4570,031-582-5015,일반 제재업 외 3 종,"각목, 목재",경기도 가평군 가평읍 경춘로 1719 (가평군산림조합) (총 3 필지) 외 2필지,경기도 가평군 가평읍 상색리 413-1번지 외 2필지,2025-05-21
가평군TMR영농조합법인,,031-585-8600,,배합 사료 제조업 외 1 종,사료,경기도 가평군 상면 청군로 1566,경기도 가평군 상면 원흥리 519-7 가평TMR영농법인,2025-05-21
가평군목공예영농조합법인,,,,장식용 목제품 제조업,장식용목공예,경기도 가평군 가평읍 경춘로 2045-65 (가평군목공예영농조합),경기도 가평군 가평읍 하색리 302-3번지,2025-05-21
가평군잣,,031-584-3771,,기타 가정용 전기기기 제조업 외 2 종,가정용 정미기,경기도 가평군 상면 축령로 109,경기도 가평군 상면 행현리 222-3번지,2025-05-21
가평군축령산잣영농조합,,031-584-2600,031-584-2800,곡물 도정업,실백,경기도 가평군 상면 축령로 70 (가평영농조합) (총 2 필지),경기도 가평군 상면 행현리 89-1,2025-05-21
가평농산,,031-584-0712,,곡물 도정업,실백,경기도 가평군 청평면 경춘로 884-1,경기도 가평군 청평면 청평리 329-2번지,2025-05-21
가평도토리묵,,,,두부 및 유사식품 제조업,도토리묵,경기도 가평군 가평읍 석봉로191번길 57 ((주)효자원FD),경기도 가평군 가평읍 읍내리 864번지,2025-05-21
가평명지산잣영농조합법인,,031-581-6066,,기타 과실ㆍ채소 가공 및 저장 처리업,잣,경기도 가평군 가평읍 당목가일길 6,경기도 가평군 가평읍 마장리 88-3번지,2025-05-21
가평산마루협동조합,,,,과실 및 그 외 채소 절임식품 제조업,장아찌,경기도 가평군 설악면 유명로 625-5,경기도 가평군 설악면 가일리 304-1,2025-05-21
가평상용현대서비스,,031-585-6360,,건설 및 채광용 기계장비 제조업,토목공사 및 유사용기계장비제조업,경기도 가평군 상면 율길리 373-4번지 외 5필지,경기도 가평군 상면 율길리 373-4번지 외 5필지,2025-05-21
가평양조장,,031-581-2360,,탁주 및 약주 제조업,탁주,경기도 가평군 가평읍 석봉로191번길 47 (가평잣막걸리),경기도 가평군 가평읍 읍내리 866-1번지,2025-05-21
가평으뜸잣,,,,곡물 도정업,잣,경기도 가평군 가평읍 호반로 2336,경기도 가평군 가평읍 이화리 237-14,2025-05-21
가평잣한과.에덴떡집,,031-581-6200,031-581-9200,떡류 제조업 외 1 종,"전통한과,떡",경기도 가평군 청평면 상천고갯길 2-1 (가평잣한과에덴떡집) (총 2 필지),경기도 가평군 청평면 상천리 254-1번지,2025-05-21
가평재래식된장,,031-582-3756,,장류 제조업,"메주, 장류",경기도 가평군 가평읍 용추로 278-29,경기도 가평군 가평읍 승안리 415-11번지,2025-05-21
강남의료기,,,,배전반 및 전기 자동제어반 제조업,자동제어기,경기도 가평군 설악면 엄소속골길 57 외 1필지,경기도 가평군 설악면 엄소리 439-3 외 1필지,2025-05-21
강아트,,,,기타 판유리 가공품 제조업,"조명등, 공예품",경기도 가평군 조종면 대보간선로611번길 245,경기도 가평군 조종면 대보리 24-3,2025-05-21
강원공예사,,031-582-3430,,장식용 목제품 제조업,공예품,경기도 가평군 가평읍 달전로 1-9,경기도 가평군 가평읍 달전리 404-10번지,2025-05-21
광문인쇄소,,031-582-2226,,기타 인쇄업 외 1 종,인쇄물,경기도 가평군 가평읍 가화로 99 (광문인쇄),경기도 가평군 가평읍 476-23번지,2025-05-21
농업회사법인 그린푸드,,031-582-8366,031-582-8367,기타 과실ㆍ채소 가공 및 저장 처리업,가공 농산물,경기도 가평군 가평읍 달전천벚꽃길 257-25,경기도 가평군 가평읍 하색리 151-16,2025-05-21
농업회사법인 명산바이오팜(주),,,031-575-0006,인삼식품 제조업,전통발효 홍삼 제품,경기도 가평군 설악면 유명산길 79-28,경기도 가평군 설악면 가일리 223-8,2025-05-21
농업회사법인 조흥미가 주식회사,,031-582-9696,,두부 및 유사식품 제조업,두부,경기도 가평군 가평읍 불기산길 54,경기도 가평군 가평읍 상색리 452번지,2025-05-21
농업회사법인 주식회사 가평전통잣된장,,031-585-1900,,장류 제조업,"된장, 관장, 고추장, 청국장",경기도 가평군 상면 축령로 217-19,경기도 가평군 상면 행현리 883-2번지,2025-05-21
농업회사법인 지에이치내츄럴주식회사,,031-585-8046,031-585-8048,인삼식품 제조업,홍삼음료,경기도 가평군 상면 물골길 441-50 외 1필지,경기도 가평군 상면 봉수리 128번지 외 1필지,2025-05-21
농업회사법인(주)다미소,가평목동일반산업단지,031-581-3041,02-867-3042,차류 가공업,"국화차, 도라지차",경기도 가평군 북면 화악산로124번길 18-15 (미분양공장),경기도 가평군 북면 목동리 699-27번지 미분양공장,2025-05-21
농업회사법인(주)온누리,가평목동일반산업단지,,,기타 과실ㆍ채소 가공 및 저장 처리업,기타과실.채소가공및저장처리업,경기도 가평군 북면 화악산로124번길 18-11 (미분양공장),경기도 가평군 북면 목동리 699-26번지,2025-05-21
농업회사법인(주)코리안파인,,031-581-4888,031-582-4555,식물성 유지 제조업,초임계추출물,경기도 가평군 상면 행현리 15-5번지 외 2필지,경기도 가평군 상면 행현리 15-5번지 외 2필지,2025-05-21
뉴엘이디월드,,,031-584-1457,전시 및 광고용 조명장치 제조업,LED 조형물,"경기도 가평군 가평읍 복장포길 46-142, 지층",경기도 가평군 가평읍 복장리 212-3 지층,2025-05-21
다산,,031-584-5702,,한의약품 제조업,한약,경기도 가평군 설악면 한서로 205-6 (지엘아이국제(주)),경기도 가평군 설악면 위곡리 768-2번지 지엘아이국제(주),2025-05-21
대성수유통,,,,기타 비알코올 음료 제조업,음료,경기도 가평군 하면 대보간선로 665-224 ((주)대금산 게르마늄) (총 2 필지) 외 1필지,경기도 가평군 하면 대보리 19번지 외 1필지,2025-05-21
대한목탄산업,,031-584-8677,,천연수지 및 나무 화학물질 제조업 외 3 종,"목초액,숯",경기도 가평군 설악면 어비산길99번길 67-46,경기도 가평군 설악면 가일리 46-1번지,2025-05-21
덕원조명,,031-582-5091,031-582-1679,일반용 전기 조명장치 제조업,조명기구,경기도 가평군 가평읍 보납로70번길 21 (덕원조명),경기도 가평군 가평읍 읍내리 306-5번지,2025-05-21
드림드림인터내셔널,가평목동일반산업단지,070-8880-2448,,화장품 제조업,화장품제조업,경기도 가평군 북면 화악산로124번길 3-18,경기도 가평군 북면 목동리 699-32번지,2025-05-21
디에치씨(주),,02-555-1604,,구조용 금속 판제품 및 공작물 제조업 외 2 종,"가드케이블,방음판,자전거보관대",경기도 가평군 청평면 행자골길 7 (대한금속(주)),경기도 가평군 청평면 상천리 1137번지,2025-05-21
뜨는콩,,,,장류 제조업,된장,경기도 가평군 가평읍 대곡리 799-1번지,경기도 가평군 가평읍 대곡리 799-1번지,2025-05-21
라망,,031-584-3027,,그 외 기타 유리제품 제조업 외 1 종,가정용거울,경기도 가평군 청평면 상천역로19번길 10 (라망거울),경기도 가평군 청평면 상천리 1262-13번지,2025-05-21
로아푸드,,070-7802-7850,031-585-7850,차류 가공업,고형차,경기도 가평군 상면 청군로 2055-25,경기도 가평군 상면 율길리 430,2025-05-21
만보 ,,031-585-8967,,기타 과실ㆍ채소 가공 및 저장 처리업,잣,경기도 가평군 청평면 경춘로 763,경기도 가평군 청평면 청평리 617-8번지,2025-05-21
명지산숯가마,,,,기타 건축용 나무제품 제조업,참나무숯,경기도 가평군 북면 가화로 2370-25,경기도 가평군 북면 도대리 311-16번지,2025-05-21
명품가구,,031-581-0033,031-582-7585,일반 제재업,"사무용가구, 씽크",경기도 가평군 가평읍 달전천벚꽃길 257-622,경기도 가평군 가평읍 하색리 149-8,2025-05-21
명품란,,,,그 외 기타 식료품 제조업,황토란,경기도 가평군 상면 물골길 425-7 (총 2 필지) 외 1필지,경기도 가평군 상면 봉수리 71-6번지 외 1필지,2025-05-21
부강금속,,,,그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,악세사리 장식,경기도 가평군 상면 봉수로 40-74 (부강금속),경기도 가평군 상면 봉수리 101-17번지 부강금속,2025-05-21
부림제지주식회사,,031-584-6028,,펄프 제조업 외 3 종,화장지,경기도 가평군 청평면 경춘로 772 (부림제지공업사) (총 2 필지) 외 1필지,경기도 가평군 청평면 청평리 619-9번지 외 1필지,2025-05-21
브니엘위생지산업,,031-528-5084,031-575-1128,위생용 종이제품 제조업,위생용지,"경기도 가평군 상면 봉수로 40-66, (브니엘위생지산업)",경기도 가평군 상면 봉수리 101-14번지 (브니엘위생지산업),2025-05-21
비엘테크(주),가평목동일반산업단지,031-581-3558,031-581-3557,정형외과용 및 신체보정용 기기 제조업,정형외과용 부목,경기도 가평군 북면 화악산로124번길 11-1 ((주)성풍스킨테크),경기도 가평군 북면 목동리 699-29번지,2025-05-21
사회복지법인베트남참전유공전우회복지재단,,,,전시 및 광고용 조명장치 제조업,전광판,경기도 가평군 하면 연인산로 13,경기도 가평군 하면 현리 241-5번지,2025-05-21
삼진식품,,031-584-9473,031-584-4348,빵류 제조업 외 2 종,"빵,떡(과자류)",경기도 가평군 청평면 수리재길 3 외 3필지,경기도 가평군 청평면 상천리 1112-4번지 외 3필지,2025-05-21
삼흥목재,,031-585-0009,,일반 제재업,"판재,각재",경기도 가평군 상면 청군로 1953 (삼흥목재) (총 5 필지) 외 4필지,경기도 가평군 상면 율길리 118번지 삼흥목재 외 4필지,2025-05-21
상천정미소,,031-585-4123,031-585-4125,곡물 도정업,쌀,경기도 가평군 청평면 행자골길 18-29,경기도 가평군 청평면 상천리 1171-9번지,2025-05-21
성산맑은물농산,,,,장류 제조업,장,,경기도 가평군 설악면 위곡리 70-3,2025-05-21
성지철망휀스(주),,031-581-0187,031-581-0189,금속선 가공제품 제조업,철선제품,경기도 가평군 가평읍 경춘로 1730 (가평읍) 외 1필지,경기도 가평군 가평읍 상색리 319-6번지 외 1필지,2025-05-21
성진(주),,031-563-3444,031-563-3441,목재문 및 관련제품 제조업 외 13 종,곡물세척기,경기도 가평군 청평면 버들숲로 7-44 (버들숲말포도농원),경기도 가평군 청평면 하천리 17번지,2025-05-21
세계전자ICTP,,031-585-8667,031-585-8668,방송장비 제조업 외 1 종,"무선통신장비,음향기기",경기도 가평군 청평면 강변로 45-15,경기도 가평군 청평면 청평리 80-13번지,2025-05-21
세인공업,,031-584-0987,,그 외 기타 고무제품 제조업,고무바킹,경기도 가평군 청평면 버들숲로 20-10,경기도 가평군 청평면 하천리 36-1번지,2025-05-21
세창우드텍,,031-581-2120,031-581-2123,일반 제재업,제재목,경기도 가평군 가평읍 경춘로 1825,경기도 가평군 가평읍 상색리 149-2,2025-05-21
신광그린,,031-585-9512,031-585-9514,배합 사료 제조업 외 1 종,"사료(한우, 낙농,건초,단미원료,기타사료)",경기도 가평군 하면 보름골길 26 (그린섬유질사료) 외 2필지,경기도 가평군 하면 대보리 331-1번지 외 2필지,2025-05-21
신선쌀가공영농조합법인,,031-584-7509,,곡물 도정업,쌀,경기도 가평군 설악면 미사리로 5-112,경기도 가평군 설악면 선촌리 123-1 신선쌀가공영농조합법인,2025-05-21
신흥실업,,031-584-0383,,기타 인쇄업 외 1 종,그라비아 인쇄,경기도 가평군 상면 청군로 448-33 (호수유원지음식점),경기도 가평군 상면 덕현리 402-6번지,2025-05-21
신흥특수제지,,,,위생용 종이제품 제조업,위생용 종이,경기도 가평군 상면 봉수리 98-7번지 외 3필지 외 3필지,경기도 가평군 상면 봉수리 98-7번지 외 3필지,2025-05-21
아쿠아월드,,031-582-5031,031-582-1600,가정용 유리제품 제조업,어항,경기도 가평군 가평읍 경춘로 1750 (아쿠아월드) (총 2 필지) 외 1필지,경기도 가평군 가평읍 상색리 311번지 아쿠아월드 외 1필지,2025-05-21
아폴로산업,,,,그 외 기타 플라스틱 제품 제조업 외 1 종,"그외기타플라스틱제조업, 벽및바닥피복용",경기도 가평군 설악면 장수로 180 (아폴로산업),경기도 가평군 설악면 설곡리 790-1번지,2025-05-21
에스케이리빙라이트(SK Livinglight),,,,기타 기계.장비 조립용 플라스틱 제품 제조업,LED모듈,경기도 가평군 상면 음지말로 41-1,경기도 가평군 상면 율길리 623-3,2025-05-21
에어몬주식회사,,,,기기용 자동측정 및 제어장치 제조업 외 1 종,미세먼지 관련제품,경기도 가평군 가평읍 경춘로 1844,경기도 가평군 가평읍 상색리 113-6번지,2025-05-21
영농조합법인 대청,,031-581-3300,031-581-3308,복합비료 및 기타 화학비료 제조업 외 1 종,비료,경기도 가평군 가평읍 태봉두밀로 557-91 (대청비료),경기도 가평군 가평읍 두밀리 273-3번지,2025-05-21
영농조합법인 덕은,,031-584-8838,,식물성 유지 제조업 외 3 종,"잣기름, 빵, 잣과자, 드립백커피",경기도 가평군 설악면 양방가루재길 9,경기도 가평군 설악면 방일리 220-3,2025-05-21
와우바스,,070-4200-3311,,설치용 및 위생용 플라스틱제품 제조업,사물인터넷위생좌변기시트,"경기도 가평군 상면 축령로 28, 와우바스",경기도 가평군 상면 행현리 15-1번지 와우바스,2025-05-21
우리샘물 주식회사,,031-584-4132,031-585-4131,생수 생산업,생수,경기도 가평군 조종면 연인산로474번길 140-57,경기도 가평군 조종면 마일리 102-2,2025-05-21
우성우드,,031-585-3233,031-585-3234,일반 제재업,"일반제재, 톱밥, 화목",경기도 가평군 청평면 행자골길 7 (대한금속(주)),경기도 가평군 청평면 상천리 1137번지,2025-05-21
원풍제재소,,031-582-2319,,일반 제재업,"각재, 판재",경기도 가평군 가평읍 보납로70번길 21 (덕원조명),경기도 가평군 가평읍 읍내리 306-5번지,2025-05-21
유더블유텍(UWTEC),,,,정형외과용 및 신체보정용 기기 제조업 외 2 종,"천체망원경, 수중장비",경기도 가평군 설악면 미사리로645번길 199-18,경기도 가평군 설악면 송산리 1063번지,2025-05-21
유빈,,031-585-3651,,그 외 기타 플라스틱 제품 제조업,차량빗물받이,경기도 가평군 설악면 유명로 1264-12,경기도 가평군 설악면 천안리 491번지,2025-05-21
이브이에이에스알산업,,031-582-5285,,코르크 및 조물제품 제조업,등산스틱,경기도 가평군 가평읍 능모루길 69-63,경기도 가평군 가평읍 개곡리 760-7번지,2025-05-21
일광우레탄,,031-585-2794,,기타 플라스틱 발포 성형제품 제조업,우레탄마네킹,경기도 가평군 상면 봉수로 40-40,경기도 가평군 상면 봉수리 101-32,2025-05-21
자연우리,,031-585-3401,031-585-3402,차류 가공업 외 1 종,차,경기도 가평군 하면 보름골길 224-115,경기도 가평군 하면 마일리 188-4번지,2025-05-21
장지방,,031-581-0457,,기타 종이 및 판지 제조업 외 2 종,창호지,경기도 가평군 청평면 작은매골길 70 (장지방(주)),경기도 가평군 청평면 상천리 1671-1번지,2025-05-21
정원건설기계정비,,031-533-5147,,건설.광업용 기계 및 장비 수리업,토목공사 및 유사용 기계장비 제조업,경기도 가평군 상면 청군로 2126,경기도 가평군 상면 율길리 458-22,2025-05-21
주)경주생약식품 사업부,,031-584-6639,,그 외 기타 식료품 제조업,건강식품,경기도 가평군 상면 봉수로 40-39 ((주)경주생약),경기도 가평군 상면 봉수리 98-5번지,2025-05-21
주식회사 경기종합통신,,070-8680-8146,050-5545-4989,방송장비 제조업 외 7 종,cctv ,"경기도 가평군 가평읍 문화로 218-23, 2층",경기도 가평군 가평읍 읍내리 585-3번지 2층,2025-05-21
주식회사 두광산업,,,,그 외 기타 분류 안된 금속 가공 제품 제조업,"알류미늄부라켓, 평상좌대, 의류부자재, 버클장식 등","경기도 가평군 상면 봉수로 40-74, 두광산업 (부강금속)",경기도 가평군 상면 봉수리 101-17번지 부강금속 두광산업,2025-05-21
주식회사 땡큐,,031-584-0064,031-584-0064,위생용 종이제품 제조업,화장지,경기도 가평군 상면 봉수로 40-35,경기도 가평군 상면 봉수리 98-2번지,2025-05-21
주식회사 라망,,,,장식용 목제품 제조업 외 2 종,가구,경기도 가평군 청평면 수리재길 233 (라망디자인가구),경기도 가평군 청평면 상천리 655-2번지,2025-05-21
주식회사 모세쉬레드,,,,그 외 기타 특수목적용 기계 제조업,철재 프레임,경기도 가평군 상면 청군로 2126,경기도 가평군 상면 율길리 458-22번지,2025-05-21
주식회사 방주,,02-400-1101,02-416-8410,그 외 기타 나무제품 제조업,"벤치, 파고라",경기도 가평군 설악면 선촌리 528번지,경기도 가평군 설악면 선촌리 528번지,2025-05-21
주식회사 부루구루,,031-944-6066,031-949-5562,맥아 및 맥주 제조업,맥주,경기도 가평군 가평읍 연갈길 20,경기도 가평군 가평읍 상색리 332-1번지,2025-05-21
