È¸»ç¸í,¾÷Ã¼À¯Çü,¾÷Á¾¸í,»ý»êÇ°,ÀüÈ­¹øÈ£,ÆÑ½º¹øÈ£,¼ÒÀçÁöÁö¹øÁÖ¼Ò,¼ÒÀçÁöµµ·Î¸íÁÖ¼Ò,µ¥ÀÌÅÍ±âÁØÀÏ
(ÁÖ) ÄÚ¸¶Æ½ÄÚ¸®¾Æ,¹ýÀÎ,±â¾î ¹× µ¿·ÂÀü´ÞÀåÄ¡ Á¦Á¶¾÷ ¿Ü 1 Á¾,"±â¾î, µ¿·ÂÀü´Þ, °øÀÛ±â°è",031-436-1213,02-578-1882,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 522¹øÁö ±ºÆ÷SKº¥Æ¼¿ò 104µ¿ 11Ãþ 1112È£,"°æ±âµµ ±ºÆ÷½Ã °í»ê·Î 166, 104µ¿ 11Ãþ 1112È£ (´çÁ¤µ¿, SK º¥Æ¼¿ò)",2025-09-15
(ÁÖ) Å×Å©Æ÷À¯ÀüÀÚ,¹ýÀÎ,À¯¼± Åë½ÅÀåºñ Á¦Á¶¾÷,"Ä«µåÁ¶È¸±â, ºí·¢¹Ú½º",031-441-1735,031-441-1735,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 1128 ½Å¶óÅ×Å©³ëºô,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤·Î 90 (´çÁ¤µ¿) ½Å¶óÅ×Å©³ëºô °¡µ¿ 903È£,2025-09-15
(ÁÖ) ÆÄÆ®³Ê¿ùµå,¹ýÀÎ,±â¾ïÀåÄ¡ Á¦Á¶¾÷,"USB¸Þ¸ð¸®½ºÆ½, µµ¾î¶ôPCB µî",031-427-0620,031-427-0622,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 508-10¹øÁö,"°æ±âµµ ±ºÆ÷½Ã ´çÁ¤·Î27¹ø±æ 32, 3Ãþ (´çÁ¤µ¿)",2025-09-15
(ÁÖ) ÇÃ·çÀÍ½º,¹ýÀÎ,»ê¾÷Ã³¸®°øÁ¤ Á¦¾îÀåºñ Á¦Á¶¾÷,¾×Ã¼Á¤·®ÅäÃâ±â ¹× Á¦¾î±â±â,02-2679-5245,02-2679-5247,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 1068¹øÁö,°æ±âµµ ±ºÆ÷½Ã °ø´Ü·Î160¹ø±æ 12 (´çÁ¤µ¿),2025-09-15
(ÁÖ) ÇÑ¼¼±â¾÷,¹ýÀÎ,±× ¿Ü ±âÅ¸ ÇÃ¶ó½ºÆ½ Á¦Ç° Á¦Á¶¾÷ ¿Ü 1 Á¾,"ÇÃ¶ó½ºÆ½»çÃâ±ÝÇü, ±ÝÇü",031-453-5672,031-427-6779,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 170¹øÁö,°æ±âµµ ±ºÆ÷½Ã »êº»·Î86¹ø±æ 7 (´çÁ¤µ¿),2025-09-15
(ÁÖ)RGB COLOR,¹ýÀÎ,±âÅ¸ ÀÎ¼â¾÷ ¿Ü 1 Á¾,"±¤°í¹°ÀÎ¼âÁ¦ÀÛ (¿ÍÀÌµåÄ®¶ó,ÀÎÈ­Áö,½Ç»çÃâ·Â¹°,uvÃâ·Â¹°)",02-500-3710,02-500-3777,"°æ±âµµ ±ºÆ÷½Ã ±ÝÁ¤µ¿ 694-6¹øÁö 1, 2Ãþ","°æ±âµµ ±ºÆ÷½Ã Èï¾È´ë·Î27¹ø±æ 5-12, 1, 2Ãþ (±ÝÁ¤µ¿)",2025-09-15
(ÁÖ)°¡¶÷Å×Å©,¹ýÀÎ,À¯¼± Åë½ÅÀåºñ Á¦Á¶¾÷,"Åë½ÅÀåºñ CASE, ÀÇ·áÀåºñ CASE, ¹æ¼ÛÀåºñ CASE",031-452-2260,031-452-2261,°æ±âµµ ±ºÆ÷½Ã ±ÝÁ¤µ¿ 695-2¹øÁö 1Ãþ,"°æ±âµµ ±ºÆ÷½Ã °ø´Ü·Î 248, 1Ãþ (±ÝÁ¤µ¿)",2025-09-15
(ÁÖ)°¡½ºÆ®·Ð,¹ýÀÎ,Àü±â°æº¸ ¹× ½ÅÈ£ÀåÄ¡ Á¦Á¶¾÷,,031-490-0890,031-457-5858,°æ±âµµ ±ºÆ÷½Ã ºÎ°îµ¿ 1234-2¹øÁö,°æ±âµµ ±ºÆ÷½Ã ±ºÆ÷Ã·´Ü»ê¾÷1·Î 23 (ºÎ°îµ¿),2025-09-15
(ÁÖ)°¡¾ÏÅ×Å©,¹ýÀÎ,ÃàÀüÁö Á¦Á¶¾÷ ¿Ü 10 Á¾,"¹«¼±¿ø°Ý°ËÄ§±â,",031-8068-1666,031-8068-1669,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 1045 ±ºÆ÷IT¹ë¸® Bµ¿ B125È£,"°æ±âµµ ±ºÆ÷½Ã °í»ê·Î148¹ø±æ 17, Bµ¿ B125È£(´çÁ¤µ¿, ±ºÆ÷IT¹ë¸®)",2025-09-15
(ÁÖ)°¡ÀºÅ×Å©,¹ýÀÎ,±âÅ¸ ¹«¼± Åë½ÅÀåºñ Á¦Á¶¾÷,Ä«µå ´Ü¸»±â,031-451-8573,031-427-8561,°æ±âµµ ±ºÆ÷½Ã ´çµ¿ 134-38¹øÁö 3Ãþ,"°æ±âµµ ±ºÆ÷½Ã °ø´Ü·Î 107, 3Ãþ (´çµ¿)",2025-09-15
(ÁÖ)°­³²ÆÄÆ¼¼Ç,¹ýÀÎ,±âÅ¸ ¸ñÀç°¡±¸ Á¦Á¶¾÷,»ç¹«¿ë°¡±¸,031-455-1436,031-455-1436,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 411-1,°æ±âµµ ±ºÆ÷½Ã »êº»·Î77¹ø±æ 32-25(´çÁ¤µ¿),2025-09-15
(ÁÖ)°Ç,¹ýÀÎ,¾×Á¤ Ç¥½ÃÀåÄ¡ Á¦Á¶¾÷ ¿Ü 4 Á¾,µð½ºÇÃ·¹ÀÌ,031-8068-8982,031-8068-8983,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 181-42 1304È£,"°æ±âµµ ±ºÆ÷½Ã °ø´Ü·Î140¹ø±æ 46, 1304È£ (´çÁ¤µ¿)",2025-09-15
(ÁÖ)°æ½ÅÁ¤¹Ð,¹ýÀÎ,±× ¿Ü ÀÚµ¿Â÷¿ë ½ÅÇ° ºÎÇ° Á¦Á¶¾÷ ¿Ü 3 Á¾,ÀÚµ¿Â÷ºÎÇ°,031-451-2670,031-451-2567,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 364-5¹øÁö,°æ±âµµ ±ºÆ÷½Ã »êº»·Î77¹ø±æ 14 (´çÁ¤µ¿),2025-09-15
(ÁÖ)°æ¿ø»ê¾÷,¹ýÀÎ,À½¤ý½Ä·áÇ° ¹× ´ã¹è °¡°ø±â°è Á¦Á¶¾÷,"À¯À½·á½ÄÇ°»ì±Õ±â, ³Ã°¢±â",031-0456-5733,031-0456-5735,°æ±âµµ ±ºÆ÷½Ã ´çµ¿ 151-5¹øÁö,"°æ±âµµ ±ºÆ÷½Ã ºÀ¼º·Î 40-4 (´çµ¿, (ÁÖ)°æ¿ø»ê¾÷) (ÃÑ 3 ÇÊÁö) ¿Ü 2ÇÊÁö",2025-09-15
(ÁÖ)°í·Á¾ÆÀÌÅØ,¹ýÀÎ,±× ¿Ü ±âÅ¸ ÀÇ·á¿ë ±â±â Á¦Á¶¾÷,"(¿ÏÁ¦Ç°)ÄÜÅÃÆ®·»Áî, ÀÎ°ø¼öÁ¤Ã¼",031-477-4500,031-477-4501,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 231-24 °í·Á¾ÆÀÌÅØ,"°æ±âµµ ±ºÆ÷½Ã ¿¤¿¡½º·Î45¹ø±æ 57(´çÁ¤µ¿, °í·Á¾ÆÀÌÅØ)",2025-09-15
(ÁÖ)°íÀ®,¹ýÀÎ,"»çÁø±â, ¿µ»ç±â ¹× °ü·Ã Àåºñ Á¦Á¶¾÷ ",Lens Flipper,070-8865-3091,,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 370-2¹øÁö 2Ãþ,"°æ±âµµ ±ºÆ÷½Ã »êº»·Î77¹ø¾È±æ 1, 2Ãþ (´çÁ¤µ¿)",2025-09-15
(ÁÖ)°øÁø,¹ýÀÎ,ÀÚµ¿Â÷¿ë ±Ý¼Ó ¾ÐÇüÁ¦Ç° Á¦Á¶¾÷ ¿Ü 1 Á¾,»ê¾÷¿ëÇÚµé,031-452-4896,031-453-8320,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 429-2¹øÁö,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤·Î 10 (´çÁ¤µ¿),2025-09-15
(ÁÖ)±¤¼ºÀüÀÚ,¹ýÀÎ,±âÅ¸ Àü±â º¯È¯ÀåÄ¡ Á¦Á¶¾÷ ¿Ü 1 Á¾,"LEDÄÁ¹öÅÍ, ¾Æ´äÅÍ",031-8086-7222,031-8007-0779,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 1045 ±ºÆ÷IT¹ë¸® Aµ¿ 1106È£,"°æ±âµµ ±ºÆ÷½Ã °í»ê·Î148¹ø±æ 17, Aµ¿ 1106È£(´çÁ¤µ¿, ±ºÆ÷IT¹ë¸®)",2025-09-15
(ÁÖ)±¤½Å±â°ø,¹ýÀÎ,±Ý¼Ó Àý»è±â°è Á¦Á¶¾÷,´ÙÃà µå¸±Çìµå,031-477-2470,031-477-2474,°æ±âµµ ±ºÆ÷½Ã ±ÝÁ¤µ¿ 693-22¹øÁö,"°æ±âµµ ±ºÆ÷½Ã Èï¾È´ë·Î27¹ø±æ 14-16 (±ÝÁ¤µ¿, (ÁÖ)±¤½Å±â°ø)",2025-09-15
(ÁÖ)±¤Àå¿£Áö´Ï¾î¸µ,¹ýÀÎ,±× ¿Ü ±âÅ¸ Æ¯¼ö¸ñÀû¿ë ±â°è Á¦Á¶¾÷ ¿Ü 1 Á¾,"Å×ÇÎ±â,Á¶¸³±â,°Ë»ç±â¿Ü",031-436-1931,031-436-1945,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 921-56¹øÁö SK º¥Æ¼¿ò 103-703,"°æ±âµµ ±ºÆ÷½Ã °í»ê·Î 166, 103-703 (´çÁ¤µ¿, SK º¥Æ¼¿ò)",2025-09-15
(ÁÖ)±Â¸Ç,¹ýÀÎ,ÁÖÇü ¹× ±ÝÇü Á¦Á¶¾÷,»çÃâ±ÝÇü,031-455-9157,031-477-9156,°æ±âµµ ±ºÆ÷½Ã ±ÝÁ¤µ¿  694-2¹øÁö,"°æ±âµµ ±ºÆ÷½Ã Èï¾È´ë·Î27¹ø±æ 15,  1Ãþ (±ÝÁ¤µ¿)",2025-09-15
(ÁÖ)±×¸°Æ®·¯½ºÆ®,¹ýÀÎ,Àü±â¿ë Åº¼ÒÁ¦Ç° ¹× Àý¿¬Á¦Ç° Á¦Á¶¾÷,"»ç»ó¹ß¿­Ã¼, ¹Ù´Ú³­¹æ¿ë °Ç¼³ÀÚÀç, ³ó¾÷(ºñ´ÒÇÏ¿ì½º)",031-451-0772,031-451-0755,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 474¹øÁö »ïÇ³ÇÁ¶óÀÚ B1Ãþ B101È£,"°æ±âµµ ±ºÆ÷½Ã ºÀ¼º·Î 82-7, B1Ãþ B101È£ (´çÁ¤µ¿, »ïÇ³ÇÁ¶óÀÚ)",2025-09-15
(ÁÖ)±×¸°ÇÃ·Î¿ì,¹ýÀÎ,"¹°Áú °Ë»ç, ÃøÁ¤ ¹× ºÐ¼®±â±¸ Á¦Á¶¾÷ ¿Ü 9 Á¾","¼ö·®°è, °èÃø±â±â, ÀÚµ¿Á¦¾î¹Ý",031-459-0681,031-459-0683,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 150-25¹øÁö,°æ±âµµ ±ºÆ÷½Ã »êº»·Î54¹ø¾È±æ 4 (´çÁ¤µ¿),2025-09-15
(ÁÖ)±×¸°ÇÃ·Î¿ì,¹ýÀÎ,"¹°Áú °Ë»ç, ÃøÁ¤ ¹× ºÐ¼®±â±¸ Á¦Á¶¾÷ ¿Ü 9 Á¾","¼öµµ¹ÌÅÍ, À¯·®°è, ¼ö·®°è, °èÃø±â±â, ÀÚµ¿Á¦¾î¹Ý",031-459-0681,031-459-0683,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 327-19,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤·Î60¹ø¾È±æ 7-1 (´çÁ¤µ¿),2025-09-15
(ÁÖ)±Û·Î¹úÀÌÅ×Å©,¹ýÀÎ,À¯¼± Åë½ÅÀåºñ Á¦Á¶¾÷,"¹«¼±Åë½Å´Ü¸»±â, ÃâÀÔ¹®ÅëÁ¦°ü¸®ÀåÄ¡, Àü¿ø°ø±ÞÀåÄ¡, È¸¼±ºÐ¹è±â, Áö¹®´Ü¸»±â",031-8086-8251,031-8086-8252,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 1045 ±ºÆ÷IT¹ë¸® Aµ¿ 1601È£,"°æ±âµµ ±ºÆ÷½Ã °í»ê·Î148¹ø±æ 17, Aµ¿ 1601È£(´çÁ¤µ¿, ±ºÆ÷IT¹ë¸®)",2025-09-15
(ÁÖ)±Û·ÎºñÆ® ¼­¿ï,¹ýÀÎ,»ê¾÷Ã³¸®°øÁ¤ Á¦¾îÀåºñ Á¦Á¶¾÷ ¿Ü 2 Á¾,"¸¶¸°¿¡½º, UMS(ÀÚµ¿¼öÈ¯°æÃøÁ¤Àåºñ), ¶ó½ººñÆ®, RASbit(¼øÈ¯¿©°úÀåÄ¡)",064-727-9106,064-727-9107,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 181-42¹øÁö 403È£(±ºÆ÷¿¥Å×Å©³ë¼¾ÅÍ),"°æ±âµµ ±ºÆ÷½Ã °ø´Ü·Î140¹ø±æ 46, 403È£(±ºÆ÷¿¥Å×Å©³ë¼¾ÅÍ) (´çÁ¤µ¿)",2025-09-15
(ÁÖ)±ÝÃµÅ×Å©,¹ýÀÎ,Àü±¸ ¹× ·¥ÇÁ Á¦Á¶¾÷ ¿Ü 6 Á¾,"LEDÁ¶¸í±â±¸, ±³Åë½ÅÈ£ÀåÄ¡ µî",031-360-1590,031-360-1593,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 522¹øÁö SK º¥Æ¼¿ò 102µ¿ 1104È£,"°æ±âµµ ±ºÆ÷½Ã °í»ê·Î 166, 102µ¿ 1104È£ (´çÁ¤µ¿, SK º¥Æ¼¿ò)",2025-09-15
(ÁÖ)±ÝÈ£ÇÏÀÌÅØ,¹ýÀÎ,Àý»è°¡°ø ¹× À¯»çÃ³¸®¾÷ ¿Ü 1 Á¾,"±â°èºÎÇ°, ¸¶½ºÅ©",031-452-7831,031-452-7832,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 181-43 ¿¡ÀÌ½º ÇÏÀÌÅ×Å©½ÃÆ¼±ºÆ÷,°æ±âµµ ±ºÆ÷½Ã °ø´Ü·Î140¹ø±æ 52 (´çÁ¤µ¿) ¿¡ÀÌ½º ÇÏÀÌÅ×Å©½ÃÆ¼±ºÆ÷,2025-09-15
(ÁÖ)±â¼ºÁ¤¹Ð,¹ýÀÎ,ÁÖÇü ¹× ±ÝÇü Á¦Á¶¾÷,¿ÍÀÌ¾îÄÆÆÃ,031-0456-1592,031-0453-6176,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 323-1¹øÁö ±ºÆ÷Á¦ÀÏ°ø´Üµ¿ 3Ãþ 308È£,"°æ±âµµ ±ºÆ÷½Ã ´çÁ¤·Î75¹ø±æ 23, ±ºÆ÷Á¦ÀÏ°ø´Üµ¿ 3Ãþ 308È£ (´çÁ¤µ¿)",2025-09-15
(ÁÖ)±ô³É,¹ýÀÎ,±× ¿Ü ±âÅ¸ Àü±âÀåºñ Á¦Á¶¾÷ ¿Ü 2 Á¾,"ÅÂ¾ç±¤, ÃæÀü±â ¹× Á÷·ùÀü¿øÀåÄ¡, ¶óµð¿À ¹× Àç»ý±â±â , ¹èÅÍ¸®ÆÑ",070-7090-6000,070-7090-6005,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 1054-0,°æ±âµµ ±ºÆ÷½Ã ³ó½É·Î 2 (´çÁ¤µ¿) 1µ¿ 9Ãþ 905È£ ¿Ü 1ÇÊÁö,2025-09-15
(ÁÖ)³ª¶óÁ¤º¸±â¼ú,¹ýÀÎ,ÀüÀÚÃàÀü±â Á¦Á¶¾÷ ¿Ü 15 Á¾,"±º¿ë À¯,¹«¼±Åë½ÅÀåºñ, ¹åµ¥¸® ,°úÈ®È­ÈÆ·ÃÀåºñ",031-457-4577,031-457-4977,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 522 SKº¥Æ¼¿ò 104µ¿ 4Ãþ 401È£,"°æ±âµµ ±ºÆ÷½Ã °í»ê·Î 166, 104µ¿ 4Ãþ 401È£(´çÁ¤µ¿, SKº¥Æ¼¿ò)",2025-09-15
(ÁÖ)³ª¿À¹ÌÅ×Å©,¹ýÀÎ,ºÐ»ç±â ¹× ¼ÒÈ­±â Á¦Á¶¾÷,"Àý»è°¡°ø¿ë ¿ÀÀÏ¹Ì½ºÆ® Á¦Á¶ÀåÄ¡, »ê¾÷¿ë ¿¡¾îµå·¹ÀÎ ÀåÄ¡",031-477-5945,031-477-5946,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 1045 ±ºÆ÷IT¹ë¸® Aµ¿ 105È£,"°æ±âµµ ±ºÆ÷½Ã °í»ê·Î148¹ø±æ 17, Aµ¿ 105È£(´çÁ¤µ¿, ±ºÆ÷IT¹ë¸®)",2025-09-15
(ÁÖ)³ªÀÎºê¸´Áö,¹ýÀÎ,±× ¿Ü ±âÅ¸ ´Þ¸® ºÐ·ùµÇÁö ¾ÊÀº Á¦Ç° Á¦Á¶¾÷ ¿Ü 2 Á¾,"Ä«Ä«¿ÀÇÁ·»Áî ¹æÇâÁ¦, Fit3, ¿Ã¸®°í ¸ð´ÏÅÍ¹ÞÄ§´ë",031-384-0912,031-384-0913,°æ±âµµ ±ºÆ÷½Ã »êº»µ¿ 18-36 ¾ÆÆú·ÎÅ¸¿î °øÀå 201È£,"°æ±âµµ ±ºÆ÷½Ã ¿¤¿¡½º·Î182¹ø±æ 14, 201È£(»êº»µ¿, ¾ÆÆú·ÎÅ¸¿î °øÀå)",2025-09-15
(ÁÖ)³ªÀÎ¿øÈ­ÇÐ,¹ýÀÎ,"ÇÃ¶ó½ºÆ½ ¼±, ºÀ, °ü ¹× È£½º Á¦Á¶¾÷ ¿Ü 1 Á¾","¹®±¸¿ë ÇÊ±â±¸,ÆÄÀÌÇÁ(º¼Ææ,»þÇÁ) ¹× ÀÇ·á¿ë Ä§°ü",031-453-2281,031-453-2282,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 508-11¹øÁö ,"°æ±âµµ ±ºÆ÷½Ã ´çÁ¤·Î27¹ø±æ 30, (´çÁ¤µ¿)",2025-09-15
(ÁÖ)³²È£ÀÌ¿£Áö,¹ýÀÎ,±¸Á¶¿ë ±Ý¼Ó ÆÇÁ¦Ç° ¹× °øÀÛ¹° Á¦Á¶¾÷,´ÚÆ®±â±¸,031-456-0245,031-456-0250,°æ±âµµ ±ºÆ÷½Ã ´çµ¿ 159-1,"°æ±âµµ ±ºÆ÷½Ã ºÀ¼º·Î 40-10 (´çµ¿) 1ÃþÀÏºÎ, 2ÃþÀÏºÎ",2025-09-15
(ÁÖ)³×¿À¹ÙÀÌ¿ÀÅØ,¹ýÀÎ,Ä¡°ú¿ë ±â±â Á¦Á¶¾÷,ÀÇ·á±â±â ¿Ü,02-582-2885,02-582-2883,°æ±âµµ ±ºÆ÷½Ã ºÎ°îµ¿ 1247-6¹øÁö,°æ±âµµ ±ºÆ÷½Ã ±ºÆ÷Ã·´Ü»ê¾÷2·Î 41 (ºÎ°îµ¿),2025-09-15
(ÁÖ)³×¿ÀÀüÀÚ±â¼ú,¹ýÀÎ,ÁÖÇü ¹× ±ÝÇü Á¦Á¶¾÷,"(¿ÏÁ¦Ç°)ÇÚµåÆù¾Ç¼¼»ç¸®, ÁÖÇü ¹× ±ÝÇü ¿Ü",031-687-8714,031-687-8758,°æ±âµµ ±ºÆ÷½Ã ºÎ°îµ¿ 1233¹øÁö,°æ±âµµ ±ºÆ÷½Ã ±ºÆ÷Ã·´Ü»ê¾÷1·Î 42 (ºÎ°îµ¿),2025-09-15
(ÁÖ)³×¿ÀÅ¥,¹ýÀÎ,»ç¹«¿ë ±â°è ¹× Àåºñ Á¦Á¶¾÷ ¿Ü 6 Á¾,"¹Ì´Ïpc,¼ø¹ø´ë±â½Ã½ºÅÛ",031-422-1597,,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 2-3¹øÁö ½ÅÀÏITÀ¯ÅäÁö½Ä»ê¾÷¼¾ÅÍ 10Ãþ 1003È£,"°æ±âµµ ±ºÆ÷½Ã ¿¤¿¡½º·Î 13, 10Ãþ 1003È£ (´çÁ¤µ¿, ½ÅÀÏITÀ¯ÅäÁö½Ä»ê¾÷¼¾ÅÍ)",2025-09-15
