연번,기업명,전화번호,주요상품,주소,산업분류
14,명성산업,데이터미집계,자동차 및 트레일러 제조업,경기도 화성시 팔탄면 현대기아로 72-31,그 외 자동차용 신품 부품 제조업
15,주식회사 와이투에이치소프트테크,데이터미집계,"의료, 정밀, 광학기기 및 시계 제조업",경기도 화성시 장안면 무봉길 139-2,산업처리공정 제어장비 제조업
16,두산로봇서비스 주식회사,데이터미집계,산업용 기계 및 장비 수리업,경기도 화성시 기안말길35번길 21-6 (기안동),기타 일반 기계 및 장비 수리업
17,주식회사 시너지아이앤씨,데이터미집계,전기장비 제조업,경기도 화성시 봉담읍 도곡1길 41,기타 전기 변환장치 제조업
18,신행복정밀,데이터미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 봉담읍 효행로20번길 40-14,절삭가공 및 유사처리업
19,주식회사 디앤티테크,데이터미집계,기타 기계 및 장비 제조업,경기도 화성시 정남면 서봉로765번길 99-28,금속 절삭기계 제조업
20,(주)제마코퍼레이션,데이터미집계,화학물질 및 화학제품 제조업; 의약품 제외,경기도 화성시 장안면 수정로241-,기타 기초 무기 화학물질 제조업
21,연호이엔지,031-429-8651,기타 기계 및 장비 제조업,경기도 화성시 정남면 괘랑보통길153-,그 외 기타 특수목적용 기계 제조업
22,유창,031-499-9600,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 우정읍 버들로787-,자동차용 금속 압형제품 제조업
23,스캇,데이터미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 반월동 반월남길140-,절삭가공 및 유사처리업
24,대명SES,데이터미집계,기타 기계 및 장비 제조업,경기도 화성시 팔탄면 화당길 33-6,금속 성형기계 제조업
25,태창공조산업,데이터미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 정남면 시청로1565-,그 외 기타 금속가공업
26,덕성,데이터미집계,자동차 및 트레일러 제조업,경기도 화성시 팔탄면 신양2길 71,트레일러 및 세미트레일러 제조업
27,(주)성도엔지니어링,031-352-7242,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 정남면 정남산단로33-,절삭가공 및 유사처리업
28,대건기아,데이터미집계,기타 기계 및 장비 제조업,경기도 화성시 정남면 동오4길 9-47,기어 및 동력전달장치 제조업
29,알텍,데이터미집계,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",경기도 화성시 안녕남로8번길 14 (안녕동),기타 반도체소자 제조업
30,미래에프에이,031-223-8361,1차 금속 제조업,경기도 화성시 팔탄면 시청로921-,"알루미늄 압연, 압출 및 연신제품 제조업"
31,브론즈,데이터미집계,비금속 광물제품 제조업,경기도 화성시 정남면 내향안길264-,가정용 및 장식용 도자기 제조업
32,유니버스소파,031-356-5503,가구 제조업,경기도 화성시 서신면 앞실길 36-3,소파 및 기타 내장가구 제조업
33,(주)에스제이테크원,031-357--5089,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 팔탄면 시청로1006-,금속 캔 및 기타 포장용기 제조업
34,미트도어(Meet door),데이터미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 정남면 동오4길 9-17,"금속 문, 창, 셔터 및 관련제품 제조업"
35,경동산업,031-366-6267,화학물질 및 화학제품 제조업; 의약품 제외,경기도 화성시 향남읍 동오4길 50-14,합성수지 및 기타 플라스틱 물질 제조업
36,한솔테크,데이터 미집계,기타 기계 및 장비 제조업,경기도 화성시 팔탄면 버들로1362번길 17,주형 및 금형 제조업
37,청구목재,데이터미집계,목재 및 나무제품 제조업; 가구 제외,경기도 화성시 향남읍 삼천병마로271-,목재문 및 관련제품 제조업
38,(주)현우산업,031-354-3980,기타 기계 및 장비 제조업,경기도 화성시 팔탄면 시청로 1020-14,"탭, 밸브 및 유사장치 제조업"
39,(주)대명아이티 경인지점,데이터미집계,"의료, 정밀, 광학기기 및 시계 제조업",경기도 화성시 장안면 3.1만세로 515-4,속도계 및 적산계기 제조업
40,우성테크,031-233-1421,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 진안북길79번길 30-10 (진안동),절삭가공 및 유사처리업
41,비아이피BIPCoLtd,데이터미집계,"의료, 정밀, 광학기기 및 시계 제조업",경기도 화성시 동탄기흥로 594-7 (영천동),기기용 자동측정 및 제어장치 제조업
42,(주)신흥합섬,031-8003-9009,고무 및 플라스틱제품 제조업,경기도 화성시 삼성1로4길 8 (석우동),플라스틱 필름 제조업
43,유주옵틱스,데이터미집계,기타 기계 및 장비 제조업,경기도 화성시 남양읍 주석로 306-27,주형 및 금형 제조업
44,(주)일엽지추,031-234-0051,"의료, 정밀, 광학기기 및 시계 제조업",경기도 화성시 동탄5동 동탄기흥로602-,산업처리공정 제어장비 제조업
45,시온광고,데이터미집계,인쇄 및 기록매체 복제업,경기도 화성시 봉담읍 삼천병마로1315-,기타 인쇄관련 산업
46,아주시스템,데이터미집계,기타 기계 및 장비 제조업,경기도 화성시 동탄대로23길 101 (영천동),일반저울 제조업
47,(주)신우엠테크,031-355-4283,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 마도면 청원산단2길 66,절삭가공 및 유사처리업
48,참 이엔지,데이터미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 기산말길 86-8 (기산동),절삭가공 및 유사처리업
49,(주)에이스하이텍,031-8047-4998,기타 기계 및 장비 제조업,경기도 화성시 정남면 만년로 379-20,주형 및 금형 제조업
50,근영플러스,데이터미집계,식료품 제조업,경기도 화성시 매송면 화성로2567번길 31,가금류 가공 및 저장 처리업
51,엘에치테크(LH TECH),데이터미집계,기타 기계 및 장비 제조업,경기도 화성시 봉담읍 상방길 104-33,주형 및 금형 제조업
52,와이에스(YS)몰드에칭,데이터미집계,기타 기계 및 장비 제조업,경기도 화성시 팔탄면 서해로01327-00013,주형 및 금형 제조업
53,동원기업,데이터 미집계,1차 금속 제조업,경기도 화성시 정남면 보통내길253번길 61,철강선 제조업
54,(주)일진정공,031-376-9012,기타 기계 및 장비 제조업,경기도 화성시 동탄6동 동탄기흥로152-,산업용 냉장 및 냉동 장비 제조업
55,주식회사우남실업,031-366-0270,가구 제조업,경기도 화성시 팔탄면 삼천병마로 355-73,주방용 및 음식점용 목재가구 제조업
56,퍼스트 아이씨티,데이터미집계,전기장비 제조업,경기도 화성시 봉담읍 주석로1016번길 9-3,일반용 전기 조명장치 제조업
57,성산이엔지,데이터미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 팔탄면 고주동방길71-,절삭가공 및 유사처리업
58,주식회사 이스덤,031-8059-7720,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 향남읍 서봉로 468-25,기타 구조용 금속제품 제조업
59,소예떡케이크,데이터미집계,식료품 제조업,경기도 화성시 향남읍 행정중앙1로41-,떡류 제조업
60,(주)한국이에이씨,데이터미집계,자동차 및 트레일러 제조업,경기도 화성시 장안면 금의솔안길 101-27,차체 및 특장차 제조업
61,주식회사 대양이엔지,031-8059-8154,기타 기계 및 장비 제조업,경기도 화성시 양감면 사릅재길 33-20,음ㆍ식료품 및 담배 가공기계 제조업
62,다해PNP,데이터미집계,"펄프, 종이 및 종이제품 제조업",경기도 화성시 양감면 은행나무로 230-10,골판지 상자 및 가공제품 제조업
63,아이비티 (IBT),데이터미집계,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",경기도 화성시 동탄원천로 354-28 (능동),전자감지장치 제조업
64,주식회사 엠아이프라텍,031-227-3064,화학물질 및 화학제품 제조업; 의약품 제외,경기도 화성시 봉담읍 덕우공단1길 22-3,합성수지 및 기타 플라스틱 물질 제조업
65,주식회사 티에스엠알앤디,070-7530-4191,기타 기계 및 장비 제조업,경기도 화성시 향남읍 발안로 702-43,그 외 기타 특수목적용 기계 제조업
66,경도천막공사,데이터미집계,섬유제품 제조업; 의복제외,경기도 화성시 남양읍 주석로 70-1,기타 직물제품 제조업
67,주식회사 아이케이,02-2646-5300,인쇄 및 기록매체 복제업,경기도 화성시 장안면 무봉길 166-27,기타 인쇄업
68,영성(주)화성공장KCC창호,데이터미집계,고무 및 플라스틱제품 제조업,경기도 화성시 남양읍 남양로 315-6,플라스틱 창호 제조업
69,창록산업,데이터미집계,기타 기계 및 장비 제조업,경기도 화성시 정남면 만년로 236-15,사무용 기계 및 장비 제조업
70,명숭전자,데이터미집계,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",경기도 화성시 봉담읍 와우안길109-,전자저항기 제조업
71,(주)효신상사,데이터미집계,식료품 제조업,경기도 화성시 팔탄면 온천로 49-20,육류 기타 가공 및 저장처리업 (가금류 제외)
72,엔이에스NES,데이터미집계,기타 기계 및 장비 제조업,경기도 화성시 반월길 57-2 (반월동),반도체 제조용 기계 제조업
73,경기이엔지,데이터 미집계,기타 기계 및 장비 제조업,경기도 화성시 마도면 마도공단로5길 26,동력식 수지공구 제조업
74,주식회사 씨앤애프,데이터미집계,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",경기도 화성시 진안동 병점중앙로156-,메모리용 전자집적회로 제조업
75,(주)카포카,데이터미집계,고무 및 플라스틱제품 제조업,경기도 화성시 비봉면 양노남길 76-16,운송장비 조립용 플라스틱제품 제조업
76,달콤상점,데이터미집계,식료품 제조업,경기도 화성시 동탄하나2길 24-1 (능동),기타 과실ㆍ채소 가공 및 저장 처리업
77,브로테크(Brotech),데이터미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 동탄산단3길 20-7 (방교동),절삭가공 및 유사처리업
78,한주윈텍,데이터미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 장안면 수정로299번길 47,"금속 문, 창, 셔터 및 관련제품 제조업"
79,삼정빠우,데이터미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 팔탄면 율암길235-,금속 단조제품 제조업
80,화천토탈서비스,데이터미집계,산업용 기계 및 장비 수리업,경기도 화성시 정남면 정남동로424-,기타 일반 기계 및 장비 수리업
81,건화피앤피,데이터미집계,"펄프, 종이 및 종이제품 제조업",경기도 화성시 팔탄면 하저길72-,판지 상자 및 용기 제조업
82,석우켐텍,데이터미집계,화학물질 및 화학제품 제조업; 의약품 제외,경기도 화성시 정남면 서봉로755번길 44-6,"염료, 조제 무기안료, 유연제 및 기타 착색제 제조업"
83,미래케이디케이,031-352-5167,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",경기도 화성시 팔탄면 모시울길 26-39,발광 다이오드 제조업
84,은성엔지니어링,데이터미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 남양읍 남양로 482-23,일반철물 제조업
85,에이투지파워,데이터미집계,전기장비 제조업,경기도 화성시 동탄5동 동탄첨단산업1로27-,기타 전기 변환장치 제조업
86,대림테크,데이터미집계,기타 기계 및 장비 제조업,경기도 화성시 마도면 화성로 913-15,주형 및 금형 제조업
87,성희테크,데이터미집계,기타 기계 및 장비 제조업,경기도 화성시 팔탄면 현대기아로556번길 164-5,반도체 제조용 기계 제조업
88,와이에스시스템,데이터미집계,"의료, 정밀, 광학기기 및 시계 제조업",경기도 화성시 봉담읍 전원길 19-7,산업처리공정 제어장비 제조업
89,지벡,070-8888-9498,화학물질 및 화학제품 제조업; 의약품 제외,경기도 화성시 동탄1동 동탄반석로172-,그 외 기타 분류 안된 화학제품 제조업
90,문화(주),데이터미집계,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",경기도 화성시 정남면 정남동로337번길 11-8,방송장비 제조업
91,신흥금속공업사,031-493-9244,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 마도면 송정로264번길 8,볼트 및 너트류 제조업
92,웰세미WELLSEMI,데이터미집계,산업용 기계 및 장비 수리업,경기도 화성시 동탄5동 동탄순환대로878-,전기전자 및 정밀기기 수리업
93,왕건특장,데이터미집계,자동차 및 트레일러 제조업,경기도 화성시 우정읍 바수게길117-,자동차 차체용 신품 부품 제조업
94,태성ENG,데이터 미집계,기타 기계 및 장비 제조업,경기도 화성시 향남읍 만년로 20-9,반도체 제조용 기계 제조업
95,와이엠YM미크론,데이터미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 양감면 용소금각로36번길 61,그 외 기타 금속가공업
96,화승STEEL,데이터미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 향남읍 발안공단로5길 81,금속 열처리업
97,에스알텍,데이터 미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 양감면 초록로532번길 26,기타 구조용 금속제품 제조업
98,포인트인더스트리,데이터미집계,자동차 및 트레일러 제조업,경기도 화성시 정남면 발안로1033-,자동차용 신품 조향장치 및 현가 장치 제조업
99,대일이앤지,데이터미집계,기타 기계 및 장비 제조업,경기도 화성시 장안면 장안로227번길 20-10,그 외 기타 일반목적용 기계 제조업
100,홍인씨에스,데이터미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 봉담읍 왕림1길 12,절삭가공 및 유사처리업
101,부광정밀,031-298-0948,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 봉담읍 능산길32-,절삭가공 및 유사처리업
102,창솔특수용접,데이터미집계,자동차 및 트레일러 제조업,경기도 화성시 양감면 요당길295-,자동차용 신품 조향장치 및 현가 장치 제조업
103,주식회사 탑텍,070-4243-4555,기타 기계 및 장비 제조업,경기도 화성시 향남읍 만년로151번길 58,반도체 제조용 기계 제조업
104,미래에이치엔에스,데이터미집계,기타 제품 제조업,경기도 화성시 봉담읍 생수길101-,"체조, 육상 및 체력단련용 장비 제조업"
105,디앤에이티,데이터미집계,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",경기도 화성시 동탄1동 동탄문화센터로61-,기타 주변기기 제조업
106,씨티에스티,데이터 미집계,기타 기계 및 장비 제조업,경기도 화성시 동탄산단7길 14 (방교동),반도체 제조용 기계 제조업
107,민현정밀,데이터미집계,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",경기도 화성시 정남면 함박안길17-,기타 반도체소자 제조업
108,행운,데이터미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 정남면 만년로622-,그 외 기타 금속가공업
109,주식회사 에이앰애스,데이터미집계,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",경기도 화성시 동탄첨단산업1로 51-9 (영천동),기타 표시장치 제조업
110,다온솔루션,데이터 미집계,기타 기계 및 장비 제조업,경기도 화성시 남양읍 주석로112-,주형 및 금형 제조업
111,수현엔지니어링,031-8059-3779,"의료, 정밀, 광학기기 및 시계 제조업",경기도 화성시 정남면 가장로157-,산업처리공정 제어장비 제조업
112,U 치과기공소,데이터미집계,"의료, 정밀, 광학기기 및 시계 제조업",경기도 화성시 효행로 1369-2 (반월동),정형외과용 및 신체보정용 기기 제조업
113,삼풍전선공업(주),데이터미집계,전기장비 제조업,경기도 화성시 양감면 초록로532번길 19,기타 절연선 및 케이블 제조업
114,두현하이텍,데이터미집계,기타 기계 및 장비 제조업,경기도 화성시 남양읍 신남로 316-17,반도체 제조용 기계 제조업
115,성산화학,031-493-9146,화학물질 및 화학제품 제조업; 의약품 제외,경기도 화성시 마도면 청원산단5길 118,합성수지 및 기타 플라스틱 물질 제조업
116,이엠로지스리불버거,데이터미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 향남읍 한절이1길 16,수동식 식품 가공기기 및 금속 주방용기 제조업
117,주식회사 우강플라텍,데이터미집계,고무 및 플라스틱제품 제조업,경기도 화성시 정남면 제기길 173-8,기타 기계장비 조립용 플라스틱 제품 제조업
118,주식회사 태성이앤지,031-351-9510,기타 기계 및 장비 제조업,경기도 화성시 장안면 무봉길 237-3,승강기 제조업
119,케이원테크,데이터미집계,고무 및 플라스틱제품 제조업,경기도 화성시 봉담읍 주석로 1113-5,포장용 플라스틱 성형용기 제조업
120,경민산업기계,데이터미집계,산업용 기계 및 장비 수리업,경기도 화성시 남양읍 신남로127번길 13,기타 일반 기계 및 장비 수리업
121,삼성바이오팜,데이터미집계,화학물질 및 화학제품 제조업; 의약품 제외,경기도 화성시 정남면 금복길 87-8,"치약, 비누 및 기타 세제 제조업"
122,(주)화이트생명과학 공장,데이터미집계,의료용 물질 및 의약품 제조업,경기도 화성시 향남읍 제약공단4길 89,완제 의약품 제조업
123,혜성금속공업(주)*,데이터미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 우정읍 매바위로82-,볼트 및 너트류 제조업
124,아이벡,데이터미집계,산업용 기계 및 장비 수리업,"경기도 화성시 동탄기흥로277번길 12 (오산동, 동탄2 LH C26단지)",기타 일반 기계 및 장비 수리업
125,(주)태원테크놀로지,데이터미집계,고무 및 플라스틱제품 제조업,경기도 화성시 정남면 서봉로 759-12,포장용 플라스틱 성형용기 제조업
126,우성엔지니어링,데이터미집계,기타 기계 및 장비 제조업,경기도 화성시 팔탄면 3.1만세로743-,농업 및 임업용 기계 제조업
127,대신기계,데이터미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 마도면 해운로742번길 21-6,절삭가공 및 유사처리업
128,은성아이씨티,데이터 미집계,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",경기도 화성시 효행로265번길 49-6 (기안동),유선 통신장비 제조업
129,아름다운세상,데이터미집계,전기장비 제조업,경기도 화성시 동탄첨단산업1로 51-9 (영천동),가정용 전기 난방기기 제조업
130,범아기전(주),데이터미집계,기타 운송장비 제조업,경기도 화성시 향남읍 한두골안길 87-2,철도차량 부품 및 관련 장치물 제조업
131,마이크로웨이브솔루션,데이터 미집계,기타 기계 및 장비 제조업,경기도 화성시 동탄5동 동탄기흥로557-,반도체 제조용 기계 제조업
132,성우조형,데이터 미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 매송면 매송로236번길 69,그 외 기타 분류 안된 금속 가공 제품 제조업
133,마도공업사,데이터미집계,산업용 기계 및 장비 수리업,경기도 화성시 송산면 화성로509-,기타 일반 기계 및 장비 수리업
134,삼목엔지니어링,데이터미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 팔탄면 시청로721번길 79-3,육상 금속 골조 구조재 제조업
135,주식회사 연합금속,데이터미집계,1차 금속 제조업,경기도 화성시 팔탄면 버들로1267-,알루미늄주물 주조업
136,주식회사디엔에이테크,070-4124-1608,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",경기도 화성시 정남면 괘랑1길 45,전자부품 실장기판 제조업
137,에스아이환경,031-4810-0333,화학물질 및 화학제품 제조업; 의약품 제외,경기도 화성시 팔탄면 버들로1362번길 42-18,복합비료 및 기타 화학비료 제조업
138,대우메디칼,데이터미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 봉담읍 동화북길27-,절삭가공 및 유사처리업
139,우재(WNJ)테크,데이터미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 정남면 고지4길 36,절삭가공 및 유사처리업
140,KY테크,데이터미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 기산로87번길 21 (기산동),절삭가공 및 유사처리업
141,주식회사 엠보틀,031-356-2846,고무 및 플라스틱제품 제조업,경기도 화성시 팔탄면 신양1길 42-17,포장용 플라스틱 성형용기 제조업
142,케이디엔(주),데이터미집계,"의료, 정밀, 광학기기 및 시계 제조업",경기도 화성시 팔탄면 독곡길 91-2,"물질 검사, 측정 및 분석기구 제조업"
143,원일피엠,데이터미집계,고무 및 플라스틱제품 제조업,경기도 화성시 양감면 정문회화로 75-41,운송장비 조립용 플라스틱제품 제조업
144,덕승,데이터미집계,화학물질 및 화학제품 제조업; 의약품 제외,경기도 화성시 정남면 서봉로765번길 13,혼성 및 재생 플라스틱 소재 물질 제조업
145,원명E.N.G,031-227-1536,기타 기계 및 장비 제조업,경기도 화성시 봉담읍 시냇말길 33-13,주형 및 금형 제조업
146,아이젠,데이터미집계,기타 기계 및 장비 제조업,경기도 화성시 서신면 화성로 68-35,"탭, 밸브 및 유사장치 제조업"
147,우리산업,데이터미집계,가구 제조업,경기도 화성시 동탄지성로255번길 32 (기산동),주방용 및 음식점용 목재가구 제조업
148,우신펌프,데이터미집계,기타 기계 및 장비 제조업,경기도 화성시 마도면 쌍송북로107-,산업용 냉장 및 냉동 장비 제조업
149,발안모타,데이터미집계,산업용 기계 및 장비 수리업,경기도 화성시 팔탄면 삼천병마로 321-7,전기전자 및 정밀기기 수리업
150,세온시스템,데이터 미집계,전기장비 제조업,경기도 화성시 동탄5동 동탄첨단산업1로27-,배전반 및 전기 자동제어반 제조업
151,최테크,데이터미집계,기타 기계 및 장비 제조업,경기도 화성시 정남면 보통내길00240-00000,금속 절삭기계 제조업
152,E-레이저 목형,데이터미집계,목재 및 나무제품 제조업; 가구 제외,경기도 화성시 정남면 내향로 105-53,목재 도구 및 주방용 나무제품 제조업
153,유진정밀,031-366-6050,기타 기계 및 장비 제조업,경기도 화성시 정남면 용수길26번길 13,주형 및 금형 제조업
154,서진산업,데이터미집계,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",경기도 화성시 반월북길 71-1 (반월동),그 외 기타 전자부품 제조업
155,선데이투피엠,데이터 미집계,섬유제품 제조업; 의복제외,"경기도 화성시 동탄신리천로1길 74 (목동, 호반베르디움 센트럴포레)",침구 및 관련제품 제조업
156,광명테크,데이터미집계,기타 기계 및 장비 제조업,경기도 화성시 팔탄면 서해로1313번길 17-5,주형 및 금형 제조업
157,씨케이 컨테이너,데이터미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 남양읍 주석로 333-8,기타 구조용 금속제품 제조업
158,수원창호,데이터미집계,고무 및 플라스틱제품 제조업,경기도 화성시 배양남길 74-7 (배양동),플라스틱 창호 제조업
159,신TECH,데이터미집계,기타 기계 및 장비 제조업,경기도 화성시 팔탄면 안산동길98-,주형 및 금형 제조업
160,아진정밀,031-8059-7968,기타 기계 및 장비 제조업,경기도 화성시 양감면 초록로 868-18,주형 및 금형 제조업
161,(주) 오션시스템,데이터미집계,자동차 및 트레일러 제조업,경기도 화성시 여울로4길 54 (능동),그 외 자동차용 신품 부품 제조업
162,원앙떡방아간,데이터미집계,식료품 제조업,경기도 화성시 양감면 은행나무로286-,곡물 제분업
163,주식회사 주원하이텍,031-357-0925,가구 제조업,경기도 화성시 비봉면 주석로 429-12,금속 가구 제조업
164,(주)나노팩,데이터미집계,고무 및 플라스틱제품 제조업,경기도 화성시 장안면 장안로227번길 19,"플라스틱 포대, 봉투 및 유사제품 제조업"
165,디스산업(주),데이터미집계,섬유제품 제조업; 의복제외,경기도 화성시 비봉면 주석로 448-38,부직포 및 펠트 제조업
166,인천산기,데이터미집계,기타 기계 및 장비 제조업,경기도 화성시 장안면 장안로 566-27,그 외 기타 특수목적용 기계 제조업
167,한미테크,데이터미집계,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",경기도 화성시 동탄5동 동탄순환대로878-,그 외 기타 전자부품 제조업
168,주식회사 보탬,데이터미집계,기타 제품 제조업,경기도 화성시 반월남길 104-30 (반월동),전시용 모형 제조업
169,(주)피엔씨코리아,데이터미집계,"펄프, 종이 및 종이제품 제조업",경기도 화성시 서신면 화성로 68-44,그 외 기타 종이 및 판지 제품 제조업
170,우성산업,데이터미집계,자동차 및 트레일러 제조업,경기도 화성시 봉담읍 마당바위로245-,자동차용 신품 제동장치 제조업
171,엠머티리얼스 주식회사,데이터미집계,화학물질 및 화학제품 제조업; 의약품 제외,경기도 화성시 마도면 쌍송북로 64-15,그 외 기타 분류 안된 화학제품 제조업
172,동탄행복건강원,데이터미집계,식료품 제조업,경기도 화성시 동탄기흥로257번가길 30-7 (방교동),건강보조용 액화식품 제조업
173,에이피에스공조*,데이터미집계,기타 기계 및 장비 제조업,경기도 화성시 팔탄면 3.1만세로 612-44,공기 조화장치 제조업
174,(주)미래에이원,031-353-8737,기타 기계 및 장비 제조업,경기도 화성시 팔탄면 터넉골로165번길 46,공기 조화장치 제조업
175,오성산업,데이터미집계,고무 및 플라스틱제품 제조업,경기도 화성시 장안면 장호동길 8-44,포장용 플라스틱 성형용기 제조업
176,한국키-파(주),데이터미집계,고무 및 플라스틱제품 제조업,경기도 화성시 봉담읍 효행로 246-55,산업용 그 외 비경화 고무제품 제조업
177,서광테크,데이터미집계,기타 기계 및 장비 제조업,경기도 화성시 남양읍 주석로 95-9,주형 및 금형 제조업
178,미래목공,데이터미집계,목재 및 나무제품 제조업; 가구 제외,경기도 화성시 향남읍 만년로209-,목재문 및 관련제품 제조업
179,와이셈,031-366-6433,기타 기계 및 장비 제조업,경기도 화성시 양감면 댕이안길11-,반도체 제조용 기계 제조업
180,(주)스크린 에스피이코리아,데이터미집계,산업용 기계 및 장비 수리업,경기도 화성시 동탄첨단산업1로 51-9 (영천동),기타 일반 기계 및 장비 수리업
181,신일전기,031-479-0431,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 팔탄면 온천로 16-56,절삭가공 및 유사처리업
182,동우건설기계,데이터미집계,산업용 기계 및 장비 수리업,경기도 화성시 장안면 석포로240-,건설광업용 기계 및 장비 수리업
183,첨단산업,데이터미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 마도면 청원산단1길 144,금속선 가공제품 제조업
184,토이산업,데이터미집계,기타 제품 제조업,경기도 화성시 봉담읍 식골길30-,인형 및 장난감 제조업
185,한성정밀,데이터 미집계,기타 기계 및 장비 제조업,경기도 화성시 중리북길 57-21 (중동),"탭, 밸브 및 유사장치 제조업"
186,태성알루미늄,데이터 미집계,1차 금속 제조업,경기도 화성시 향남읍 칼바위길 49-21,"알루미늄 압연, 압출 및 연신제품 제조업"
187,상신테크,031-352-4089,고무 및 플라스틱제품 제조업,경기도 화성시 장안면 버들로 1085-33,포장용 플라스틱 성형용기 제조업
