순번,회사명,전화번호,팩스번호,공장대표주소(도로명),업종번호,업종명,종업원수,데이터기준일자
411,(주)수안향장,070-7865-0310,031-708-6003,"경기도 성남시 중원구 순환로 204 (상대원동, (주)수안향장)",20423,화장품 제조업,46,2026-03-09
412,(주)수이케이,031-703-0636,031-703-0673,"경기도 성남시 중원구 갈마치로 215, (상대원동, 금강펜테리움IT타워) A동 10층 1001호 외 3필지",20423,화장품 제조업,11,2026-03-09
431,(주)스킨셀렙,031-602-4660,0303-3440-4660,"경기도 성남시 중원구 둔촌대로 449, 3층 302 (상대원동, 중앙인더스피아)",20423,화장품 제조업,4,2026-03-09
436,(주)스템온,031-622-7723,031-622-7748,경기도 성남시 중원구 갈마치로288번길 14 (상대원동) 4층 412호,20423,화장품 제조업,4,2026-03-09
437,(주)스틱팩토리,031-777-5012,031-777-5066,"경기도 성남시 중원구 갈마치로 314, 9층 910 (상대원동) 9층 910호",20423,화장품 제조업,1,2026-03-09
482,(주)썬로이,02-6203-8090,031-776-3091,"경기도 성남시 중원구 사기막골로 124, 메가동 14층 1407 (상대원동, SKⓝ테크노파크)",20423,화장품 제조업,5,2026-03-09
523,(주)아마로스,031-753-5154,031-753-5755,"경기도 성남시 중원구 둔촌대로 560, 9층 905 (상대원동, 벽산테크노피아)",20423,화장품 제조업,6,2026-03-09
559,(주)아쿠아렉스,031-737-2105,031-737-2108,"경기도 성남시 중원구 둔촌대로457번길 27, 2층 203 (상대원동, 성남 우림 라이온스밸리 1차) 외 5필지",20423,화장품 제조업,18,2026-03-09
594,(주)에스알바이오텍,031-726-3134,031-733-2145,"경기도 성남시 중원구 둔촌대로 484, B1층 B101 (상대원동, SICOX TOWER) 외 3필지",20423,화장품 제조업,14,2026-03-09
632,(주)에이유랩스,031-216-2344,,"경기도 성남시 중원구 사기막골로 137, 5층 512호 (상대원동, 중앙인더스피아5차) 5층 512호",20423,화장품 제조업,9,2026-03-09
656,(주)에코케이션,1599-6199,070-7427-6196,"경기도 성남시 중원구 둔촌대로457번길 14, 2층, 3층 (상대원동)",20423,화장품 제조업,30,2026-03-09
705,(주)엠앤씨생명과학,031-731-1401,031-734-1501,경기도 성남시 중원구 사기막골로105번길 27 (상대원동) 1층 105호 1층 105호 외 4필지,20423,화장품 제조업,6,2026-03-09
784,(주)욱성물산,031-777-8650,,"경기도 성남시 중원구 둔촌대로 388, 11층 7호 (상대원동, 크란츠 테크노)",20423,화장품 제조업,2,2026-03-09
867,(주)익성,043-881-2724,043-881-2718,"경기도 성남시 중원구 사기막골로 124,(상대원동, SKn테크노파크) 메가동 13층 1304호",20423,화장품 제조업,5,2026-03-09
928,(주)제이제이인더스트리,031-776-2180,031-776-2182,"경기도 성남시 중원구 사기막골로 124, 메가동 9층 908 (상대원동, SKⓝ테크노파크) 메가동 9층 908호",20423,화장품 제조업,4,2026-03-09
978,(주)차모스코스메틱,031-730-0808,031-730-0805,"경기도 성남시 중원구 갈마치로 215, B1층 B101 (상대원동, 금강펜테리움IT타워), B102, B103 외 2필지",20423,화장품 제조업,11,2026-03-09
1129,(주)파이토니아,031-737-2094,031-737-2095,"경기도 성남시 중원구 둔촌대로457번길 27, 8층 801 (상대원동) 외 1필지",20423,화장품 제조업,7,2026-03-09
1130,(주)파이토켐텍,031-776-3181,031-776-3182,"경기도 성남시 중원구 사기막골로 124, 메가동 7층 709 (상대원동)",20423,화장품 제조업,1,2026-03-09
1189,(주)피티엘,031-732-0903,031-732-0904,경기도 성남시 중원구 둔촌대로526번길 9 (상대원동),20423,화장품 제조업,1,2026-03-09
1228,(주)한마루프로페셔날,,02-573-2112,"경기도 성남시 중원구 둔촌대로 545, 4층 411 (상대원동, 한라시그마밸리)",20423,화장품 제조업,4,2026-03-09
1385,나비코코,031-704-5525,,"경기도 성남시 중원구 사기막골로45번길 14, B동 15층 1503 (상대원동, 우림라이온스밸리2차)",20423,화장품 제조업,1,2026-03-09
1411,늘고유코스메틱,031-776-0245,031-776-0246,"경기도 성남시 중원구 사기막골로 124,(상대원동) 테크동 1층 104호",20423,화장품 제조업,3,2026-03-09
1419,다은인터네셔널,070-4007-0010,031-713-1095,경기도 성남시 중원구 둔촌대로 388 (상대원동) 크란츠 테크노 10층 1004호 10층 1004호 외 2필지,20423,화장품 제조업,5,2026-03-09
1512,디메드리소스,02-558-4086,02-558-4087,"경기도 성남시 중원구 갈마치로 302, B동 12층 1201 (상대원동, 성남 우림 라이온스밸리 5차), 1202, 1206, 1207",20423,화장품 제조업,6,2026-03-09
1553,마마아이,031-757-5907,,"경기도 성남시 중원구 갈마치로288번길 14,(상대원동) A동 9층 913호",20423,화장품 제조업,2,2026-03-09
1649,비에스코스메틱,,,"경기도 성남시 중원구 사기막골로45번길 14, A동 18층 1801 (상대원동, 우림라이온스밸리2차) 외 1필지",20423,화장품 제조업,9,2026-03-09
1703,성남바이오앤뷰티협동조합,031-620-5877,,"경기도 성남시 중원구 사기막골로62번길 33, 4층 F423호 (상대원동) 4층 F423호 외 1필지",20423,화장품 제조업,3,2026-03-09
1752,센스코,,02-3462-0804,"경기도 성남시 중원구 사기막골로 137, 4층 401 (상대원동) 외 4필지",20423,화장품 제조업,5,2026-03-09
1804,썬케어코스,031-8023-5220,031-8023-5222,"경기도 성남시 중원구 갈마치로 234, 3층 314호 (상대원동, SK지식산업센터) 3층 314호",20423,화장품 제조업,2,2026-03-09
1998,오일리아,031-733-5125,031-737-9201,경기도 성남시 중원구 사기막골로62번길 37 (상대원동) 4층 411호,20423,화장품 제조업,6,2026-03-09
2205,채우리,,,"경기도 성남시 중원구 갈마치로 186, 7층 701 (상대원동, 반포테크노피아) 외 1필지",20423,화장품 제조업,1,2026-03-09
2224,케어코스,,,"경기도 성남시 중원구 갈마치로 234, 1층 101 (상대원동)",20423,화장품 제조업,1,2026-03-09
2292,텔로아랩,031-8028-2501,0504-028-0688,"경기도 성남시 중원구 둔촌대로457번길 27, 6층 607호(상대원동, 성남우림라이온스밸리) 6층 607호",20423,화장품 제조업,0,2026-03-09
2370,한국메디코스(주),02-2273-5620,0504-440-9008,"경기도 성남시 중원구 사기막골로 99,  (상대원동) A동 14층 1409호",20423,화장품 제조업,5,2026-03-09
2398,한솔생명과학(주),031-786-6931,031-786-6930,"경기도 성남시 중원구 둔촌대로 545, 1층 102 (상대원동, 한라시그마밸리) 외 9필지",20423,화장품 제조업,47,2026-03-09
2399,한솔생명과학(주)제2공장,031-743-9601,031-742-9603,경기도 성남시 중원구 사기막골로 129(상대원동),20423,화장품 제조업,64,2026-03-09
2492,(주)톤28,,,경기도 성남시 수정구 창업로 42 (시흥동) 판교 제2테크노밸리 경기 기업성장센터 1동 3F층 306호,20423,화장품 제조업,15,2026-03-09
2663,(주)코넬제약,031-707-2381,031-707-2382,"경기도 성남시 분당구 판교로 700, D동 202호 (야탑동, 분당테크노파크D동)",20423,화장품 제조업,2,2026-03-09
2741,벤스킨케어코리아 유한회사,02-516-7979,02-516-7970,"경기도 성남시 수정구 청계산로 686, 6층 617호 (고등동) 6층 617호 외 2필지",20423,화장품 제조업,5,2026-03-09
551,(주)아이트론,031-731-8002,031-731-8003,경기도 성남시 중원구 사기막골로 90 (상대원동),15121+15129+15190,핸드백 및 지갑 제조업 외 2 종,3,2026-03-09
134,(주)데르마,031-733-4708,031-733-4703,"경기도 성남시 중원구 둔촌대로 484, 2층 205호(상대원동) 2층 205호",15121+15129,핸드백 및 지갑 제조업 외 1 종,4,2026-03-09
1224,(주)한국파크,031-748-0304,031-749-1057,경기도 성남시 중원구 사기막골로 145 (상대원동),15121+15129,핸드백 및 지갑 제조업 외 1 종,40,2026-03-09
1491,동진 제2공장,,031-723-0724,"경기도 성남시 중원구 갈마치로288번길 14, 5층 517 (상대원동) 외 1필지",15121+15129,핸드백 및 지갑 제조업 외 1 종,5,2026-03-09
1702,성경컴퍼니,,,"경기도 성남시 중원구 갈마치로 314, 5층 502 (상대원동) 5층 502호 외 2필지",15121+15129,핸드백 및 지갑 제조업 외 1 종,2,2026-03-09
1412,니꼴,031-737-6881,031-737-6882,"경기도 성남시 중원구 둔촌대로 464, 4층 402호(상대원동, 드림테크노) 4층 402호",15121,핸드백 및 지갑 제조업,4,2026-03-09
1599,미주상사,031-786-6652,031-786-6653,"경기도 성남시 중원구 둔촌대로 545, 3층 308 (상대원동, 한라시그마밸리), 309 외 1필지",15121,핸드백 및 지갑 제조업,9,2026-03-09
1723,성원,031-757-8249,031-757-8242,경기도 성남시 중원구 사기막골로45번길 14 (상대원동) 성남 우림 라이온스밸리 B동 7층 705호,15121,핸드백 및 지갑 제조업,11,2026-03-09
1835,아르데코,,,"경기도 성남시 중원구 사기막골로45번길 14, B동 B3층 B301호 (상대원동, 우림라이온스밸리 2차)",15121,핸드백 및 지갑 제조업,3,2026-03-09
1836,아르테코,,,"경기도 성남시 중원구 사기막골로45번길 14, 우림라이온스밸리2차 B동 B3층 B301호 (상대원동)",15121,핸드백 및 지갑 제조업,3,2026-03-09
2429,현씨디아이,031-776-3253,031-776-3254,"경기도 성남시 중원구 사기막골로 124, 비즈동 13층 1310 (상대원동, SKⓝ테크노파크) 외 1필지",15121,핸드백 및 지갑 제조업,8,2026-03-09
2562,(주)레더랜드,031-781-1611,,"경기도 성남시 분당구 판교로 700, E동 4층 404 (야탑동, 분당테크노파크E동) E동 4층 404호",15121,핸드백 및 지갑 제조업,10,2026-03-09
377,(주)성삼,031-779-5604,031-779-5699,"경기도 성남시 중원구 둔촌대로 400 (상대원동) 403호,404호",25130+25200+26410+26421+26429+26519+26529+27309+28111+28113+28119+28123+28302+28303+28901+28903+29192+30391+31202+31910,핵반응기 및 증기보일러 제조업 외 19 종,11,2026-03-09
2612,(주)에비오시스 테크놀러지스,070-4863-8953,031-701-3014,"경기도 성남시 분당구 판교로 723, 903, 903-1호 (야탑동, 분당테크노파크B동)",31322+26410+26429,항공기용 부품 제조업 외 2 종,55,2026-03-09
1208,(주)하이폴,031-750-0435,031-750-0437,"경기도 성남시 중원구 갈마치로 302, B동 7층 714호 (상대원동, 성남 우림 라이온스밸리 5차)",31322,항공기용 부품 제조업,4,2026-03-09
984,(주)창명에스티,031-745-8311,031-745-8312,"경기도 성남시 중원구 둔촌대로 449, 1층 106 (상대원동, 중앙인더스피아)",20302,합성수지 및 기타 플라스틱물질 제조업,1,2026-03-09
1685,서광케미칼(주),031-749-3611,031-749-3610,"경기도 성남시 중원구 사기막골로62번길 37, 14층 1401 (상대원동, 스타타워 아파트형공장)",20202,합성수지 및 기타 플라스틱 물질 제조업,8,2026-03-09
2208,천삼광,031-746-6138,031-746-9170,"경기도 성남시 중원구 갈마치로 314, 4층 408 (상대원동) 4층 408호",20202,합성수지 및 기타 플라스틱 물질 제조업,2,2026-03-09
2241,케이피에스(주),031-726-1058,031-726-1068,"경기도 성남시 중원구 갈마치로 302, B동 9층 902 (상대원동, 성남 우림 라이온스밸리 5차)",20202,합성수지 및 기타 플라스틱 물질 제조업,3,2026-03-09
1707,성남약침원외탕전실,031-620-4500,,"경기도 성남시 중원구 사기막골로 18, B1층 B102 일부호(상대원동) B1층 B102 일부호 외 4필지",21220,한의약품 제조업,34,2026-03-09
1708,성남원외탕전실,031-620-4553,,"경기도 성남시 중원구 사기막골로 18, B1층 B101호  (상대원동) B1층 B101호 외 11필지",21220,한의약품 제조업,64,2026-03-09
299,(주)보스팩,031-786-6870,031-786-6784,"경기도 성남시 중원구 둔촌대로 545, 16층 1611 (상대원동, 한라시그마밸리) 외 5필지",22212+22213,플라스틱 필름 제조업 외 1 종,11,2026-03-09
650,(주)에이티에스,031-741-9555,031-741-9526,"경기도 성남시 중원구 사기막골로62번길 37, 11층 1106 (상대원동, 스타타워 아파트형공장) 11층 1106호 11층 1106호",22212+22213,플라스틱 필름 제조업 외 1 종,8,2026-03-09
522,(주)아린산업,,032-668-9987,경기도 성남시 중원구 갈마치로288번길 14 (상대원동) 4층 408호 4층 408호,22212,플라스틱 필름 제조업,4,2026-03-09
1049,(주)크래프트맨,031-731-8545,031-731-8544,"경기도 성남시 중원구 둔촌대로457번길 27, 8층 817호(상대원동, 성남우림라이온스밸리) 8층 817호 외 3필지",22212,플라스틱 필름 제조업,8,2026-03-09
1056,(주)클라우시스,,031-750-0905,"경기도 성남시 중원구 갈마치로288번길 14, A동 12층 1214 (상대원동) A동 12층 1214호",22212,플라스틱 필름 제조업,6,2026-03-09
1304,S.K.T CORPORATION(주),,,"경기도 성남시 중원구 갈마치로288번길 14, B2층 B243 (상대원동) B2층 B243호 외 1필지",22212,플라스틱 필름 제조업,5,2026-03-09
2087,이시시[ECC],031-551-8834,055-5041-8885,"경기도 성남시 중원구 둔촌대로 400, 3층 309호(상대원동, STARWOOD아파트형공장) 3층 309호",22212,플라스틱 필름 제조업,4,2026-03-09
2367,한국다이카텍(주),031-777-5222,031-723-0722,"경기도 성남시 중원구 사기막골로 148, 11층 1110호  (상대원동) 11층 1110호",22212,플라스틱 필름 제조업,4,2026-03-09
1705,성남시장애인복합사업장,031-777-9040,031-777-9043,"경기도 성남시 중원구 둔촌대로 484, 2층 201 (상대원동, SICOX TOWER) 외 3필지",22231+18111+18113,플라스틱 포대+봉투 및 유사제품 제조업 외 2 종,49,2026-03-09
347,(주)산웅엔지니어링,031-350-8862,031-749-5535,경기도 성남시 중원구 갈마치로 244 (상대원동),22231,플라스틱 포대+봉투 및 유사제품 제조업,6,2026-03-09
1445,대일종합상사,031-742-5369,031-734-2378,"경기도 성남시 중원구 사기막골로 124, 테크동 B2층 B209호 (상대원동)",22231,플라스틱 포대+봉투 및 유사제품 제조업,5,2026-03-09
2132,제이스디엠,,0504-052-6932,"경기도 성남시 중원구 사기막골로 99, 10층 A1007호(상대원동) 10층 A1007호 외 1필지",22231,플라스틱 포대+봉투 및 유사제품 제조업,2,2026-03-09
2419,햅스산업,031-720-5592,031-720-5591,"경기도 성남시 중원구 사기막골로105번길 27, 5층 513 (상대원동, 중앙인더스피아3)",22231,플라스틱 포대+봉투 및 유사제품 제조업,2,2026-03-09
2211,천일샷시부속,031-776-2416,031-748-4409,"경기도 성남시 중원구 사기막골로 124, 비즈동 B2층 B221호 (상대원동)",22223+22229,플라스틱 창호 제조업 외 1 종,1,2026-03-09
946,(주)주원공영,031-734-6435,031-731-0974,"경기도 성남시 중원구 사기막골로 148, 8층 811 일부 (상대원동)",22291+22292,플라스틱 접착처리 제품 제조업 외 1 종,4,2026-03-09
1305,S.K.T.Corporation,031-781-7240,031-781-7242,"경기도 성남시 중원구 사기막골로 177, B2층 205 (상대원동, 금강하이테크밸리)",22291+22292,플라스틱 접착처리 제품 제조업 외 1 종,3,2026-03-09
2037,우창산업(주),031-736-2222,,경기도 성남시 중원구 둔촌대로388번길 18 (상대원동),22291+22292,플라스틱 접착처리 제품 제조업 외 1 종,40,2026-03-09
2038,우창산업(주) 제2공장,031-736-2222,031-734-2119,"경기도 성남시 중원구 둔촌대로457번길 26, 1,2층 (상대원동)",22291+22292,플라스틱 접착처리 제품 제조업 외 1 종,38,2026-03-09
2417,해인BUTTON,031-731-6501,02-575-6255,"경기도 성남시 중원구 순환로 165, 4층 404 (상대원동, 포스테크노), 405 외 1필지",22291+22292,플라스틱 접착처리 제품 제조업 외 1 종,2,2026-03-09
2713,대동화학,031-704-8848,031-704-8847,"경기도 성남시 분당구 판교로 700, 2층 207호 (야탑동, 분당테크노파크D동)",22291+22292,플라스틱 접착처리 제품 제조업 외 1 종,3,2026-03-09
2518,아날로그플러스 ㈜,,,경기도 성남시 수정구 시흥동 달래내로 46 성남글로벌융합센터 6층 606호(판교 제2테크노밸리 E6-1블럭),22292+58222,플라스틱 적층+도포 및 기타 표면처리 제품 제조업 외 1 종,0,2026-03-09
2476,(주)아이디랩즈,,,"경기도 성남시 수정구 창업로 43, A904호  (시흥동) A904호",22292,플라스틱 적층+도포 및 기타 표면처리 제품 제조업,0,2026-03-09
2484,(주)윈텍,,,"경기도 성남시 수정구 창업로40번길 30, 324호  (시흥동) 324호",22292,플라스틱 적층+도포 및 기타 표면처리 제품 제조업,0,2026-03-09
2846,주식회사 씨포스,02-2135-3541,02-6020-8717,경기도 성남시 중원구 광명로 377 (금광동) 창업관 404호 외 1필지,22292,플라스틱 적층+도포 및 기타 표면처리 제품 제조업,5,2026-03-09
392,(주)센세미글로벌,031-8016-8260,031-8016-8259,"경기도 성남시 중원구 둔촌대로 560, 8층 808호(상대원동, 벽산테크노피아아파트형공장) 8층 808호",22211,플라스틱 선+봉+관 및 호스 제조업,3,2026-03-09
794,(주)원호산업,031-709-8234,031-704-8235,"경기도 성남시 중원구 갈마치로 302, B동 17층 1713 (상대원동, 성남 우림 라이온스밸리 5차)",22211,플라스틱 선+봉+관 및 호스 제조업,3,2026-03-09
933,(주)제이티,031-737-8260,031-737-8261,"경기도 성남시 중원구 둔촌대로 560, 8층 807호(상대원동, 벽산테크노피아아파트형공장) 8층 807호",22211,플라스틱 선+봉+관 및 호스 제조업,3,2026-03-09
2845,주식회사 신방산업,031-702-9741,031-702-9742,"경기도 성남시 분당구 돌마로486번길 40, 지하1층 18호(서현동, 한라쇼핑)",22211,플라스틱 선+봉+관 및 호스 제조업,5,2026-03-09
508,(주)씨와이상사,031-776-0468,031-776-0469,"경기도 성남시 중원구 사기막골로 124, 테크동 3층 309호 (상대원동), 310호, 311호, 312호, 313호 외 4필지",13994,표면처리 및 적층 직물 제조업,8,2026-03-09
1458,덕산그린(주),031-735-5058,031-735-5057,"경기도 성남시 중원구 사기막골로45번길 14, B동 16층 1614 (상대원동, 우림라이온스밸리 2차), 1615 외 1필지",13994,표면처리 및 적층 직물 제조업,4,2026-03-09
1054,(주)크린토피아,031-737-3431,031-733-1995,"경기도 성남시 중원구 순환로 222 (상대원동, (주)크린토피아성남공장)",20424+20422+96911+96912,표면광택제 및 실내가향제 제조업 외 3 종,129,2026-03-09
588,(주)에바센트,02-6242-8769,02-6008-8769,"경기도 성남시 중원구 갈마치로 314, 8층 823호(상대원동, 성남 센트럴비즈타워 1) 8층 823호 외 1필지",20424,표면광택제 및 실내가향제 제조업,5,2026-03-09
631,(주)에이온코스퍼제2공장,031-735-0312,031-723-0705,"경기도 성남시 중원구 갈마치로288번길 14, A동 9층 907 (상대원동) A동 9층 907호",20424,표면광택제 및 실내가향제 제조업,0,2026-03-09
1550,링크코리아,031-731-7133,031-731-7135,"경기도 성남시 중원구 둔촌대로 388, 10층 1009 (상대원동, 크란츠 테크노) 외 1필지",20424,표면광택제 및 실내가향제 제조업,6,2026-03-09
1571,멜로우,031-639-6321,031-639-6322,"경기도 성남시 중원구 갈마치로 314, 9층 921 (상대원동)",20424,표면광택제 및 실내가향제 제조업,2,2026-03-09
2130,제미니이노베이션(주),031-607-7499,031-607-7498,"경기도 성남시 중원구 둔촌대로 545, 17층 1705호 (상대원동, 한라시그마밸리) 17층 1705호",20424,표면광택제 및 실내가향제 제조업,1,2026-03-09
2259,코컴퍼니,,,"경기도 성남시 중원구 갈마치로 302, B동 16층 1607 (상대원동, 성남 우림 라이온스밸리 5차) B동 16층 1607호",20424,표면광택제 및 실내가향제 제조업,3,2026-03-09
2301,트리폴리움,031-706-7081,0504-393-7080,"경기도 성남시 중원구 사기막골로62번길 33, B1층 FB116호  (상대원동) B1층 FB116호",20424,표면광택제 및 실내가향제 제조업,2,2026-03-09
2178,쥬빌리아이,031-776-3311,031-776-3326,"경기도 성남시 중원구 사기막골로 124,(상대원동, SKn테크노파크) 비즈동 B1층 B101호 외 4필지",33933+18111+18113+18119,표구처리업 외 3 종,8,2026-03-09
2016,용호산업,,,"경기도 성남시 중원구 사기막골로9번길 46, 609 (상대원동)",33933+18119,표구처리업 외 1 종,2,2026-03-09
1595,미성산업,031-721-3971,031-721-3973,"경기도 성남시 중원구 갈마치로 215, B2층 207(일부) (상대원동, 금강펜테리움IT타워)",22251+22259,폴리스티렌 발포 성형제품 제조업 외 1 종,1,2026-03-09
1284,C.S테크,,,"경기도 성남시 중원구 둔촌대로457번길 27, B2층 B220 (상대원동, 성남 우림 라이온스밸리 1차)",22232,포장용 플라스틱 성형용기 제조업,1,2026-03-09
1886,양진유리(주),031-743-1818,,경기도 성남시 중원구 사기막골로 110 (상대원동),23192,포장용 유리용기 제조업,10,2026-03-09
2390,한보섬유,031-737-4336,031-737-4339,"경기도 성남시 중원구 사기막골로 159, 1층 101 (상대원동, 금강하이테크2 아파트형공장) 외 5필지",14300+13221+14111+14112+14191+14192,편조의복 제조업 외 5 종,7,2026-03-09
2721,덕창섬유,031-755-8154,,경기도 성남시 수정구 남문로143번길 13-2 (태평동),14300+14111+14112+14192,편조의복 제조업 외 3 종,7,2026-03-09
2551,(주)금담,031-759-6500,031-759-3500,"경기도 성남시 중원구 성남대로997번길 7, 9층(여수동, 금담빌딩)",14300+13224+13229+13999+14111+14112+14120+14191+14192+14199+14419+14491+14499+15129,편조의복 제조업 외 13 종,30,2026-03-09
2788,여정섬유,,031-328-1228,"경기도 성남시 중원구 둔촌대로 409-1, 지층 (상대원동)",14300+14419,편조의복 제조업 외 1 종,1,2026-03-09
2,정니트,031-747-0671,031-747-0671,"경기도 성남시 중원구 갈마치로244번길 31, 2층 208호 (상대원동, 현대아이밸리) 2층 208호",14300,편조의복 제조업,1,2026-03-09
91,(주)뉴다이나믹코리아,070-8889-1575,0504-056-2816,"경기도 성남시 중원구 사기막골로 124, (상대원동, SKn테크노파크) 비즈동 B4층 B401-1호",14300,편조의복 제조업,0,2026-03-09
93,(주)니트패션쁘로띠,031-737-4242,031-737-4241,"경기도 성남시 중원구 사기막골로 159, B1층 B104호 (상대원동, 금강하이테크2 아파트형공장) 외 2필지",14300,편조의복 제조업,10,2026-03-09
148,(주)두얼엔터프라이즈,031-777-8777,,"경기도 성남시 중원구 둔촌대로 388, 10층 1015호 (상대원동, 크란츠 테크노) 외 3필지",14300,편조의복 제조업,10,2026-03-09
367,(주)서울니트디자인 제2공장,031-730-0525,031-730-0525,"경기도 성남시 중원구 사기막골로 99, 6층 B601호(상대원동) 6층 B601호 외 8필지",14300,편조의복 제조업,20,2026-03-09
