회사명,공장대표주소(도로명),대표업종번호,업종명,전화번호,팩스번호,종업원수,홈페이지 주소,데이터기준일자
(주)케이알테크,경기도 하남시 초광산단동로6번길 51 (광암동),22191,고무패킹류 제조업 외 1 종,02-442-1051,02-442-1053,20,,2025-03-17
(주)프로패드,"경기도 하남시 조정대로 45, B1층 FTB116 (풍산동) B1층 FTB116호",13910,"카펫, 마루덮개 및 유사제품 제조업 외 1 종",,031-791-9534,4,www.propad.co.kr,2025-03-17
(주)헤세드코리아,"경기도 하남시 하남대로 947, A동 510, A동511호(풍산동, 하남테크노밸리 U1 CENTER) A동 510, A동511호",13221,침구 및 관련제품 제조업 외 18 종,031-796-4577,031-795-4708,7,www.hessedkorea.com,2025-03-17
대광물산,"경기도 하남시 초광산단로 122, 3층 (광암동)",13221,침구 및 관련제품 제조업 외 19 종,02-428-2815,02-808-2815,5,,2025-03-17
대성안전건설 주식회사,경기도 하남시 하남대로105번길 61 (상산곡동),20202,합성수지 및 기타 플라스틱 물질 제조업,031-791-2901,031-629-5576,3,,2025-03-17
대현,경기도 하남시 초광산단서로 14 (초이동),13224,"천막, 텐트 및 유사 제품 제조업",,02-406-3968,33,,2025-03-17
두손산업,"경기도 하남시 미사강변서로 25, 미사테스타타워 F513,F514 (풍산동)",13221,침구 및 관련제품 제조업 외 13 종,02-931-7524,0504-165-7279,3,,2025-03-17
목원산업,경기도 하남시 초광산단로 109 (광암동),16221,목재문 및 관련제품 제조업,031-795-4983,031-795-4985,8,,2025-03-17
세왕,"경기도 하남시 검단남로 45,  2층 (하산곡동)",15129,가방 및 기타 보호용 케이스 제조업 외 2 종,031-796-2537,031-796-2638,12,www.settybag.co.kr,2025-03-17
쏠큐브,경기도 하남시 조정대로 45 (풍산동) 미사센텀비즈 6층 F619호,13224,"천막, 텐트 및 유사 제품 제조업",031-5175-3630,031-5175-3631,1,www.ssolcube.com,2025-03-17
아이원스포츠,"경기도 하남시 미사강변중앙로7번안길 25, A동 609호(풍산동, u-테크밸리)",14192,"근무복, 작업복 및 유사의복 제조업 외 1 종",,,3,,2025-03-17
어울림,"경기도 하남시 하남대로 990, 7층 715호(풍산동, 로얄팰리스 테크노1차) 7층 715호",13223,커튼 및 유사제품 제조업,031-699-0033,031-796-7303,1,,2025-03-17
엘스코리아,경기도 하남시 대성로 7-9 (항동),25112,구조용 금속 판제품 및 공작물 제조업 외 2 종,031-796-0789,031-796-0799,1,,2025-03-17
유룩스,경기도 하남시 검단산로34번길 35-16 (하산곡동),13224,"천막, 텐트 및 유사 제품 제조업",031-796-6920,031-796-6919,1,,2025-03-17
장보고케노피,경기도 하남시 초광산단로 125 (광암동),13224,"천막, 텐트 및 유사 제품 제조업",02-441-3745,02-441-3747,11,www.jangbogocanopy.co.kr,2025-03-17
장원산업,"경기도 하남시 미사강변서로 16, F224호(풍산동, 하우스디스마트밸리) F224호",13224,"천막, 텐트 및 유사 제품 제조업 외 1 종",070-8875-5079,031-624-0969,2,www.anytent.co.kr,2025-03-17
재재패션(주),"경기도 하남시 미사강변중앙로 11, WB110호(풍산동, 두산 더프론트 미사)",14192,"근무복, 작업복 및 유사의복 제조업 외 15 종",02-2254-0786,070-4944-0120,10,,2025-03-17
정호산업사,경기도 하남시 덕풍북로6번길 111 (덕풍동),16291,목재 도구 및 주방용 나무제품 제조업,031-792-4787,02-432-7313,6,,2025-03-17
제일피복공업(주),경기도 하남시 하남대로654번길 24-6 (천현동) 외 1필지,13221,침구 및 관련제품 제조업 외 11 종,031-497-0309,02-497-0304,25,,2025-03-17
제일피복공업(주),경기도 하남시 하남대로861번안길 30-4(덕풍동),13221,침구 및 관련제품 제조업 외 12 종,02-497-0309,02-497-0304,10,,2025-03-17
주식회사 보성캐노피,경기도 하남시 서하남로539번길 105 (천현동),25113,육상 금속 골조 구조재 제조업 외 5 종,031-793-6420,031-793-6489,9,,2025-03-17
초이블라인드,"경기도 하남시 초광로 102, 2층 206호 (광암동)",13223,커튼 및 유사제품 제조업,,,1,,2025-03-17
코데아,"경기도 하남시 하남대로654번길 24-7, 가,나동 (천현동)",14111,남자용 겉옷 제조업 외 12 종,031-796-2459,,40,,2025-03-17
한샘가구,"경기도 하남시 초광로 102, 2층, 205호 (광암동)",32029,기타 목재가구 제조업 외 1 종,,,1,,2025-03-17
