회사명,대표자명,산업단지명,지식산업센터명,도로명주소,지번주소,위도,경도,업종번호,업종명,종업원수,생산품명,주원자재명,관리기관명,관리부서전화번호,데이터기준일자
(주)BSM범일,조기옥,,,경기도 파주시 파주읍 학당말길 148,경기도 파주시 파주읍 파주리 236,37.83806697,126.8201169,32091,금속 가구 제조업,27,금고(현금 보관함),,경기도 파주시청,031-940-4543,2026-02-05
(주)DK케미칼,홍지훈,,,경기도 파주시 탄현면 소리개길 137,경기도 파주시 탄현면 법흥리 320-1,37.79049571,126.7117249,20202,합성수지 및 기타 플라스틱 물질 제조업,15,초산비닐중합체+아크릴중합체,초산비닐중합체+아크릴중합체,경기도 파주시청,031-940-4543,2026-02-05
(주)JSBINC,최재성,,,,경기도 파주시 동패동 47-9 ,,,25999+25995,그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,7,조립금속제품,,경기도 파주시청,031-940-4543,2026-02-05
(주)KLT,양윤종,,,경기도 파주시 탄현면 방촌로955번길 34-12,경기도 파주시 탄현면 문지리 210-21,37.82504598,126.7275973,27215,기기용 자동측정 및 제어장치 제조업,23,자동그리스주유기,메인보드 등,경기도 파주시청,031-940-4543,2026-02-05
(주)LG화학 파주공장,김반석,파주월롱첨단일반산업단지,,경기도 파주시 월롱면 휴암로 477,경기도 파주시 월롱면 능산리 658,37.83430163,126.7775546,23129+23122,기타 산업용 유리제품 제조업 외 1 종,273,LCD유리기판,,경기도 파주시청,031-940-4543,2026-02-05
(주)TNS코리아,박원우,,,경기도 파주시 탄현면 방촌로 1147-28,경기도 파주시 탄현면 낙하리 67,37.83286425,126.7410943,28410,전구 및 램프 제조업,5,자동차 할로겐 전구,,경기도 파주시청,031-940-4543,2026-02-05
(주)UIF,소병규,,,,경기도 파주시 동패동 689-2,,,29199+29131+29175+29176+29177,그 외 기타 일반목적용 기계 제조업 외 4 종,20,전기집진기+셀프세차기+고압펌프+폐수처리기,,경기도 파주시청,031-940-4543,2026-02-05
(주)가구가든,권승범,,,경기도 파주시 파주읍 매바위길 424,경기도 파주시 파주읍 백석리 218-3,37.81332444,126.8122344,32029,기타 목재가구 제조업,15,가구,목재,경기도 파주시청,031-940-4543,2026-02-05
(주)가꿈미디어,강현숙,,,,경기도 파주시 탄현면 법흥리 158-7,37.77712534,126.715182,17901,문구용 종이제품 제조업,8,유아용 수첩 및 노트류,종이,경기도 파주시청,031-940-4543,2026-02-05
(주)가나기획,조용휘,,,,경기도 파주시 와동동 728-15,,,33910,간판 및 광고물 제조업,10,간판+싸인류,시트,경기도 파주시청,031-940-4543,2026-02-05
(주)가산메탈 ,박영순,,,경기도 파주시 법원읍 둔방이길 129,경기도 파주시 법원읍 삼방리 252-5,37.83362791,126.8770374,25113,육상 금속 골조 구조재 제조업,8,철우마+알미늄우마,알미늄+스틸파이프,경기도 파주시청,031-940-4543,2026-02-05
(주)가야정밀산업,김정동,,,경기도 파주시 파주읍 정자말길 53,경기도 파주시 파주읍 백석리 122-11,37.80284594,126.8128533,29191,용기 세척+포장 및 충전기 제조업,33,포장용기+봉합기제조,,경기도 파주시청,031-940-4543,2026-02-05
(주)가연환경디자인,이택종,,,경기도 파주시 광탄면 혜음로 386,경기도 파주시 광탄면 용미리 294-1,37.73083432,126.8899914,33910+25112+25994+28423,간판 및 광고물 제조업 외 3 종,4,간판+광고물+안내판+간판+광고물+안내판+간판+광고물+안내판+간판+광고물+안내판,SPCC+STS+LED+철제 및 스테인리스+파이프,경기도 파주시청,031-940-4543,2026-02-05
(주)가영코스메틱,윤영준,,,경기도 파주시 풀무골로 87,경기도 파주시 야동동 297,37.77947943,126.7576754,20423,화장품 제조업,10,분말화장품,,경기도 파주시청,031-940-4543,2026-02-05
(주)가우 ,윤재위,,,경기도 파주시 하지석길 150-10,경기도 파주시 하지석동 418-3,37.7595567,126.7450303,18129+17222,기타 인쇄관련 산업 외 1 종,23,유아책표지 +핸드폰케이스 ,합지 ,경기도 파주시청,031-940-4543,2026-02-05
(주)가원이엔지,천효민,,,경기도 파주시 소라지로 176,경기도 파주시 송촌동 414-5,37.74063941,126.6952805,25924+25112+25995+25999+29210,절삭가공 및 유사처리업 외 4 종,16,정밀부품기기,,경기도 파주시청,031-940-4543,2026-02-05
(주)가이아휘트니스,방형근,,,경기도 파주시 교하로1205번길 65,경기도 파주시 오도동 110-3,37.7468558,126.7274776,33309,기타 운동 및 경기용구 제조업,2,수중 운동기구,,경기도 파주시청,031-940-4543,2026-02-05
(주)가이야모터스 ,이구철 ,,,경기도 파주시 월롱면 황소바위길 309-1,경기도 파주시 월롱면 영태리 57-21,37.77998251,126.8000577,29175,기체 여과기 제조업,10,차량용 에어컨필터 ,필터원단 ,경기도 파주시청,031-940-4543,2026-02-05
(주)가인조경,양철모,,,경기도 파주시 광탄면 명봉산로352번길 39,경기도 파주시 광탄면 용미리 583-10,37.74573065,126.8654769,33302,놀이터용 장비 제조업,7,놀이터용장비,,경기도 파주시청,031-940-4543,2026-02-05
(주)갑오,노영환,,,경기도 파주시 문산읍 사임당로352번길 10-14,경기도 파주시 문산읍 이천리 463,37.86011227,126.8255118,17212,골판지 상자 및 가공제품 제조업,25,골판지상자,지류,경기도 파주시청,031-940-4543,2026-02-05
(주)갑우문화사,전순관,파주오산일반산업단지,,경기도 파주시 조리읍 당재봉로 6,경기도 파주시 조리읍 오산리 396-2,37.77470104,126.8362993,17909,그 외 기타 종이 및 판지 제품 제조업,5,종이제품,종이,경기도 파주시청,031-940-4543,2026-02-05
(주)강원에너지,조아이,,,경기도 파주시 광탄면 바랑골길 48-38,경기도 파주시 광탄면 발랑리 357-1,37.80781094,126.8897246,29299+29261,그 외 기타 특수목적용 기계 제조업 외 1 종,7,맥스슈레더,,경기도 파주시청,031-940-4543,2026-02-05
(주)강철,이래철,,,경기도 파주시 월롱면 도감로 102,경기도 파주시 월롱면 위전리 505-3,37.79154819,126.79593,22231,플라스틱 포대+봉투 및 유사제품 제조업,9,봉투,,경기도 파주시청,031-940-4543,2026-02-05
(주)개선스포츠,장보영,,,경기도 파주시 탑삭골길 330-22,경기도 파주시 상지석동 122-1,37.72890711,126.7941835,33309+33301+33302,기타 운동 및 경기용구 제조업 외 2 종,20,운동기구 등+운동기구 등+운동기구 등,SUS+STS 등,경기도 파주시청,031-940-4543,2026-02-05
(주)개선스포츠(2공장),장보영,,,,경기도 파주시 상지석동 1020-3 ,,,33309+33301+33302,기타 운동 및 경기용구 제조업 외 2 종,77,운동기구,,경기도 파주시청,031-940-4543,2026-02-05
(주)개화,백영일,파주적성일반산업단지,,경기도 파주시 적성면 적성산단1로 21-4,경기도 파주시 적성면 가월리 1851-4,37.97116295,126.9092763,20132,염료+조제 무기안료+유연제 및 기타 착색제 제조업,10,플라스틱 안료,,경기도 파주시청,031-940-4543,2026-02-05
(주)거목 농업회사법인,김순태,,,경기도 파주시 적성면 칠중7길 36-11,경기도 파주시 적성면 구읍리 665-1,37.95772013,126.9199917,10309,기타 과실ㆍ채소 가공 및 저장 처리업,8,마늘가공식품,,경기도 파주시청,031-940-4543,2026-02-05
(주)거산이엔지 ,원광호,,,경기도 파주시 하우4길 53,경기도 파주시 상지석동 554-117,37.71714822,126.7768216,33301,체조+육상 및 체력단련용 장비 제조업,7,체력단련용 장비(토스머신+암식토스머신+피칭머신+볼공급기 등) ,스틸 외 ,경기도 파주시청,031-940-4543,2026-02-05
(주)거상,최홍수,,,경기도 파주시 조리읍 능안로 193-47,경기도 파주시 조리읍 능안리 1042-2,37.73633626,126.7904203,33301,체조+육상 및 체력단련용 장비 제조업,16,운동기구,,경기도 파주시청,031-940-4543,2026-02-05
(주)거호,이경호,,,경기도 파주시 하지석길 97-2,경기도 파주시 하지석동 394-17,37.7568724,126.7423482,18113,오프셋 인쇄업,8,인쇄물 ,종이 잉크,경기도 파주시청,031-940-4543,2026-02-05
(주)건승에코텍,이승진,,,경기도 파주시 월롱면 누현길 92,경기도 파주시 월롱면 위전리 541-4,37.78901107,126.7920025,23911,건설용 석제품 제조업,1,스톤네트,,경기도 파주시청,031-940-4543,2026-02-05
(주)건영물류시스템,이 혁,파주신촌일반산업단지,,경기도 파주시 신촌로 23,경기도 파주시 신촌동 725-8,37.72850204,126.6966486,28423,전시 및 광고용 조명장치 제조업,10,조명용품,,경기도 파주시청,031-940-4543,2026-02-05
(주)건우,윤화순+조종훈,,,경기도 파주시 조리읍 황새말2길 30,경기도 파주시 조리읍 오산리 388-17,37.76828254,126.8234759,25112+25111+25113+25119+25122+25123+25200+25992+26410+26429+28123+28202+28209+28422+28519+28901+29142+29169+29172+29173+29175+29176+29177+29199+29241+29250+29261+29299+30201+30202+30203+31113+31114+31202+32091,구조용 금속 판제품 및 공작물 제조업 외 34 종,16,미크릭장약포장용기외,금속 등,경기도 파주시청,031-940-4543,2026-02-05
(주)견과공방,김나모,,,경기도 파주시 광탄면 바랑골길 132-28,경기도 파주시 광탄면 발랑리 376-1,37.80874945,126.8916413,10519,기타 곡물 가공품 제조업,5,약과+다식+산자+강정,밀가루+식용류+물엿+쌀튀밥,경기도 파주시청,031-940-4543,2026-02-05
(주)경기세라믹스,김화숙,,,경기도 파주시 법원읍 술이홀로644번길 126,경기도 파주시 법원읍 대능리 402-6,37.83414398,126.8591063,23994,암면 및 유사제품 제조업,4,건축물 내외장 단열재,,경기도 파주시청,031-940-4543,2026-02-05
(주)경기창호,노상호,,,경기도 파주시 조리읍 은골길 275-38,경기도 파주시 조리읍 장곡리 50,37.75093616,126.845896,25111,금속 문+창+셔터 및 관련제품 제조업,10,알류미늄창호,알루미늄,경기도 파주시청,031-940-4543,2026-02-05
(주)경기창호,노상호,,,경기도 파주시 조리읍 은골길 275-40,경기도 파주시 조리읍 장곡리 44,37.75161334,126.8472882,25111,금속 문+창+셔터 및 관련제품 제조업,12,알루미늄창호,알루미늄,경기도 파주시청,031-940-4543,2026-02-05
(주)경기커튼월,임근순,,,경기도 파주시 파주읍 정문로588번길 67-10,경기도 파주시 파주읍 부곡리 403,37.81096218,126.8218963,25111,금속 문+창+셔터 및 관련제품 제조업,12,창호,,경기도 파주시청,031-940-4543,2026-02-05
(주)경남드라이어,전덕철,,,경기도 파주시 조리읍 장곡로 120-2,경기도 파주시 조리읍 장곡리 73,37.75122734,126.8444419,29172+29173,가정용 및 산업용 공기 조화장치 제조업 외 1 종,18,에어드라이어,,경기도 파주시청,031-940-4543,2026-02-05
(주)경민코퍼레이션,황경숙,,,경기도 파주시 조리읍 대원로 12-1,경기도 파주시 조리읍 대원리 194-7,37.72625632,126.8209238,10891,커피 가공업,7,볶은 커피,,경기도 파주시청,031-940-4543,2026-02-05
(주)경인이엔지,이형오,,,경기도 파주시 파주읍 정자말길 34,경기도 파주시 파주읍 백석리 122-37,37.80249484,126.8119312,29172+29171+29173,가정용 및 산업용 공기 조화장치 제조업 외 2 종,19,에어컨디셔널 외 ,냉동기+부속+동관+알미늄+철판 ,경기도 파주시청,031-940-4543,2026-02-05
(주)경일케미칼,최종선,,,경기도 파주시 광탄면 혜음로 666,경기도 파주시 광탄면 용미리 628-1,37.74820656,126.8684757,20132,염료+조제 무기안료+유연제 및 기타 착색제 제조업,10,섬유약품+피혁바인다,,경기도 파주시청,031-940-4543,2026-02-05
(주)경진,문재경,,,,경기도 파주시 다율동 248-5,,,29299+29261,그 외 기타 특수목적용 기계 제조업 외 1 종,4,항온항습기,스텐레스+송풍기,경기도 파주시청,031-940-4543,2026-02-05
(주)경풍피데스,김중원,,,경기도 파주시 조리읍 등원로391번길 32,경기도 파주시 조리읍 오산리 141-14,37.77592119,126.8360235,25994+22299+25112+33910,금속 표시판 제조업 외 3 종,19,금속표지판외,금속재료,경기도 파주시청,031-940-4543,2026-02-05
(주)계선,장충섭+장윤일,,,경기도 파주시 광탄면 부흥로169번길 43,경기도 파주시 광탄면 방축리 52-3,37.80660489,126.8680504,32029,기타 목재가구 제조업,5,주방용 목재가구+의자+침대,목재,경기도 파주시청,031-940-4543,2026-02-05
(주)고담,장석만,,,경기도 파주시 법원읍 화합로 432,경기도 파주시 법원읍 갈곡리 176-5,37.84681275,126.9113522,33910+25112+25994,간판 및 광고물 제조업 외 2 종,7,안내판+옥외광고물+간판 등,금속+목재 등,경기도 파주시청,031-940-4543,2026-02-05
(주)고래미,김정진,,,경기도 파주시 탄현면 방촌로 541-19,경기도 파주시 탄현면 축현리 917-10,37.79237699,126.7175239,10211,수산동물 훈제+조리 및 유사 조제식품 제조업,5,타코와사비+붉은대게딱지장 등,,경기도 파주시청,031-940-4543,2026-02-05
(주)고려그룹,김수로,,,경기도 파주시 광탄면 바랑골길 132-53,경기도 파주시 광탄면 발랑리 382-4,37.81029327,126.8916744,10513+10820+10839,곡물 혼합분말 및 반죽 제조업 외 2 종,4,생면류+배합면가루+면기능식품첨가물,밀가루+소금+탄탄수소나트륨+감자전분+치자황색소+정제수,경기도 파주시청,031-940-4543,2026-02-05
(주)고려산업,박선경,,,경기도 파주시 소라지로338번길 37-25,경기도 파주시 송촌동 259,37.75204555,126.6915111,20202,합성수지 및 기타 플라스틱 물질 제조업,10,건축용 바수제+코팅제,수성 실리콘,경기도 파주시청,031-940-4543,2026-02-05
(주)고릴라윈도우,이용희,,,경기도 파주시 파평면 파평산로331번길 31,경기도 파주시 파평면 마산리 380,37.8919765,126.8455672,22223,플라스틱 창호 제조업,3,플라스틱 창호,플라스틱,경기도 파주시청,031-940-4543,2026-02-05
(주)고스고,임성오,파주첨단일반산업단지(선유지구),,경기도 파주시 문산읍 돈유3로 66-22,경기도 파주시 문산읍 선유리 1377-1,37.86117838,126.8133607,29199+29176+29299,그 외 기타 일반목적용 기계 제조업 외 2 종,3,원심분리기,,경기도 파주시청,031-940-4543,2026-02-05
(주)고암에이스,이용진,,,경기도 파주시 문산읍 방촌로 1308-6,경기도 파주시 문산읍 내포리 857-1,37.84260962,126.753802,31322,항공기용 부품 제조업,7,항공기 휠+타이어 및 브레이크,,경기도 파주시청,031-940-4543,2026-02-05
(주)고집쟁이녀석들,박미선,파주오산일반산업단지,,경기도 파주시 조리읍 당재봉로 15,경기도 파주시 조리읍 오산리 397-5,37.77419683,126.8376416,18119+18111+18113,기타 인쇄업 외 2 종,10,인쇄물,,경기도 파주시청,031-940-4543,2026-02-05
(주)골드종합식품,정차남,,,경기도 파주시 적성면 어삼로 75-30,경기도 파주시 적성면 어유지리 298-2,37.99557553,126.9846818,10820+10513,면류+마카로니 및 유사식품 제조업 외 1 종,20,당면,고구마전분,경기도 파주시청,031-940-4543,2026-02-05
(주)골드플랜지,남창희,,,경기도 파주시 법원읍 자운서원로 149-22,경기도 파주시 법원읍 가야리 10-8,37.86206385,126.8708096,24312+24133,강주물 주조업 외 1 종,31,파이프이음쇠,,경기도 파주시청,031-940-4543,2026-02-05
(주)골든골드,김재관,,,경기도 파주시 방촌로 415-1,경기도 파주시 맥금동 722-7,37.78195865,126.7227166,10309,기타 과실ㆍ채소 가공 및 저장 처리업,14,파인애플+망고,,경기도 파주시청,031-940-4543,2026-02-05
(주)골든베이,노상철,,,경기도 파주시 소라지로 58,경기도 파주시 연다산동 386-7,37.73517611,126.7054491,22299+22221,그 외 기타 플라스틱 제품 제조업 외 1 종,17,아크릴제품,,경기도 파주시청,031-940-4543,2026-02-05
(주)골든피앤피,원정희,,,경기도 파주시 교하로 961-8,경기도 파주시 신촌동 10-1,37.73204334,126.7084499,17909,그 외 기타 종이 및 판지 제품 제조업,18,백판지 등,종이,경기도 파주시청,031-940-4543,2026-02-05
(주)골판지박스,박일권,,,경기도 파주시 광탄면 부흥로359번길 85,경기도 파주시 광탄면 발랑리 350-3,37.80637151,126.8859658,18119+17211+17212+18113,기타 인쇄업 외 3 종,5,골판지+종이박스+인쇄,종이,경기도 파주시청,031-940-4543,2026-02-05
(주)공간,김종근,,,경기도 파주시 파평면 파평산로440번길 73,경기도 파주시 파평면 두포리 208-21,37.90061366,126.8416631,33302,놀이터용 장비 제조업,5,조경시설물+운동구+알루미늄가공+안내판 등,파이프+철판+목재+알루미늄,경기도 파주시청,031-940-4543,2026-02-05
(주)공간정밀,김대구,,,경기도 파주시 월롱면 외도감길 18,경기도 파주시 월롱면 도내리 270-7,37.78870166,126.8220868,29271,반도체 제조용 기계 제조업,8,반도체 테스트 장비부품 (멤스카드 보강판) ,SUS+AL+S45C+TI,경기도 파주시청,031-940-4543,2026-02-05
(주)공간플러스,김중영,,,경기도 파주시 탄현면 엘지로717번길 46,경기도 파주시 탄현면 낙하리 274-12,37.8353302,126.7343965,25111,금속 문+창+셔터 및 관련제품 제조업,6,알루미늄 폴딩(이동식) 문+창+셔터 등 관련제품,,경기도 파주시청,031-940-4543,2026-02-05
(주)공감비에프,이영수,,,경기도 파주시 탄현면 엘지로 669,경기도 파주시 탄현면 낙하리 283-12,37.83246707,126.7358427,25929+16299+25932+25994+25999,그 외 기타 금속가공업 외 4 종,2,장애인편의시설(음성유도기+점자표시 등),스테인레스+목재 등,경기도 파주시청,031-940-4543,2026-02-05
(주)과학상자,배준식,파주신촌일반산업단지,,경기도 파주시 신촌3로 29,경기도 파주시 신촌동 719-2,37.73092273,126.6930868,33401,인형 및 장난감 제조업,21,과학상자(완구류),,경기도 파주시청,031-940-4543,2026-02-05
(주)광명비즈니스,이남열,,,경기도 파주시 파주읍 정문로586번길 120,경기도 파주시 파주읍 백석리 1-8,37.80645624,126.8251531,18119+18113,기타 인쇄업 외 1 종,15,컴퓨터 용지,,경기도 파주시청,031-940-4543,2026-02-05
(주)광명테크,임청산,,,경기도 파주시 광탄면 명봉산로352번길 63-2,경기도 파주시 광탄면 용미리 583-3,37.74496329,126.8659417,25113+25114+29180,육상 금속 골조 구조재 제조업 외 2 종,6,은행권 365자동화부스,,경기도 파주시청,031-940-4543,2026-02-05
(주)광산전자,김원도,,,,경기도 파주시 월롱면 덕은리 164,37.78354246,126.7749225,28423+25994+28429+28903,전시 및 광고용 조명장치 제조업 외 3 종,0,금속표지판,,경기도 파주시청,031-940-4543,2026-02-05
(주)광석인터내셔날,김규식,,,경기도 파주시 월롱면 황소바위길 283-5,경기도 파주시 월롱면 영태리 57-15,37.77927923,126.8001669,22229+23324,기타 건축용 플라스틱 조립제품 제조업 외 1 종,0,단열 판넬+건축 실내 부착보드,우레탄+PP,경기도 파주시청,031-940-4543,2026-02-05
(주)광성통신,김성철,,,경기도 파주시 조리읍 명봉산로121번길 155,경기도 파주시 조리읍 봉일천리 3-122,37.74013732,126.838475,28123+26310+26329+26410+26421+26429+26519+28111+28119+28423,배전반 및 전기 자동제어반 제조업 외 9 종,21,단순가공 및 조립,단순가공 및 조립,경기도 파주시청,031-940-4543,2026-02-05
(주)광성포장,이인철,,,경기도 파주시 조리읍 명봉산로79번길 44-68,경기도 파주시 조리읍 봉일천리 3-34,37.73832454,126.8395734,17909,그 외 기타 종이 및 판지 제품 제조업,11,판지제품,,경기도 파주시청,031-940-4543,2026-02-05
(주)광인사,김종현,,,경기도 파주시 월롱면 정문로 286,경기도 파주시 월롱면 도내리 635-2,37.78463313,126.8125201,18119,기타 인쇄업,50,인쇄물,종이+잉크,경기도 파주시청,031-940-4543,2026-02-05
(주)광현제책사,정진후,,,,경기도 파주시 오도동 114-28,37.7438958,126.7244986,18122,제책업,28,책+책자,,경기도 파주시청,031-940-4543,2026-02-05
(주)교보피앤비,임요병,,,경기도 파주시 지목로 32,경기도 파주시 문발동 280-16,37.72596078,126.69449,18119,기타 인쇄업,34,교재+참고서,,경기도 파주시청,031-940-4543,2026-02-05
(주)교하식품,성치은,파주신촌일반산업단지,,경기도 파주시 신촌로 29,경기도 파주시 신촌동 725-13,37.72900944,126.6964978,10833,장류 제조업,10,장류,,경기도 파주시청,031-940-4543,2026-02-05
(주)구상에이엔씨,이명운,,,경기도 파주시 광탄면 명봉산로352번길 107,경기도 파주시 광탄면 용미리 808-19,37.74335604,126.8637297,33910,간판 및 광고물 제조업,8,현수막제조,T.C,경기도 파주시청,031-940-4543,2026-02-05
(주)국일광고,고남주,,,경기도 파주시 해솔로 85,경기도 파주시 목동동 647,37.72894744,126.7452334,25999+25995,그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,25,간판제조,시트지,경기도 파주시청,031-940-4543,2026-02-05
(주)국제산업,황국선,,,경기도 파주시 연다산길 166,경기도 파주시 연다산동 27-4,37.7453533,126.719013,23321,비내화 모르타르 제조업,10,칼라시멘트,,경기도 파주시청,031-940-4543,2026-02-05
(주)굿리빙산업,최학도,,,경기도 파주시 장명산길 195,경기도 파주시 오도동 19-7,37.7479965,126.7287606,32019,소파 및 기타 내장가구 제조업,10,내장용 가구일체,목재 및 인조대리석,경기도 파주시청,031-940-4543,2026-02-05
(주)굿모닝선,명순자,,,경기도 파주시 운정1길 61,경기도 파주시 야당동 291-14,37.72336507,126.7677605,14112,여자용 겉옷 제조업,4,여자의류,,경기도 파주시청,031-940-4543,2026-02-05
(주)굿시스템,고봉진,,,경기도 파주시 광탄면 보광로 526-1,경기도 파주시 광탄면 영장리 79-3,37.7547354,126.9092474,18122,제책업,16,노트,,경기도 파주시청,031-940-4543,2026-02-05
(주)굿시프트코리아 ,박명준,,,경기도 파주시 월롱면 산들로 101,경기도 파주시 월롱면 위전리 659-40,37.79183683,126.7838866,13229,기타 직물제품 제조업,2,마스크,부직포+폴리염화비닐철사+폴리우레탄+나일론끈 ,경기도 파주시청,031-940-4543,2026-02-05
