연번,회사명,공장대표주소,전화번호,생산품,데이터기준일자
28,(주)강한전기,경기도 광주시 도척면 도척로699번길 30-95,031-765-8550,배전반+분전반,2026-01-30
29,(주)거봉,경기도 광주시 오포로 637,031-766-7007,건축용석재,2026-01-30
30,(주)거산,경기도 광주시 초월읍 산수로 709-102,031-764-3554,정수기+공기청정기 등,2026-01-30
31,(주)거산이엔씨,경기도 광주시 도척면 도척로803번길 69-3,031-766-2648,온수가열탱크+열교환기+헤더+경유탱크,2026-01-30
32,(주)거성바이오,경기도 광주시 초월읍 무들로270번길 33-10,031-767-7677,토양미생물제재,2026-01-30
33,(주)거성산업,경기도 광주시 오포로 650-6,031-766-2802,사무용의자+쇼파,2026-01-30
34,(주)거성토탈,경기도 광주시 세피내길 16-34,031-766-8117,자동판매기,2026-01-30
35,(주)거양링커스,경기도 광주시 곤지암읍 신대길 166-1,,액체여과장치+자동제어장치,2026-01-30
36,(주)건국코이어,경기도 광주시 초월읍 무갑길23번길 33 외 1필지,031-797-0658,라텍스매트리스,2026-01-30
37,(주)건영수산,경기도 광주시 진토길 92 (목동),031-741-7913,냉동참치+참치회등,2026-01-30
38,(주)견우마을,"경기도 광주시 곤지암읍 곤지암천로 149-41, 1층 외 3필지",031-798-0111,양념육류+포장육,2026-01-30
39,(주)견우푸드,경기도 광주시 곤지암읍 곤지암천로 149-33,031-798-0111,양념육류 및 포장육등,2026-01-30
40,(주)견우푸드,경기도 광주시 곤지암읍 경충대로498번길 3 외 1필지,02-476-8778,혼합양념+육포,2026-01-30
41,(주)경남윈스텍,경기도 광주시 도척면 다람로40번길 12-37,031-798-6201,알미늄 c/w+시스템창호+도어+시스템루버,2026-01-30
42,(주)경동하이테크,경기도 광주시 고불로 377 (직동),031-797-8463,물받이,2026-01-30
43,(주)경동하이테크,경기도 광주시 순암로 403-13 (중대동),031-797-6388,플라스틱파이프,2026-01-30
44,(주)경신켄프라,경기도 광주시 곤지암읍 경충대로184번길 7-13,031-761-2277,시트+판+금형,2026-01-30
45,(주)경원기공,경기도 광주시 초월읍 무들로 54,,액체여과기+금속탱크,2026-01-30
46,(주)경원기공,"경기도 광주시 도척면 도척로 443-60, 마동",02-465-9812,액체여과기+금속탱크+컨베이어+상하수도 처리기 등,2026-01-30
47,(주)경원메탈,경기도 광주시 곤지암읍 광여로733번길 7-25,031-763-4162,자동차부품+구조형 금속난간+철구조물+승강기,2026-01-30
48,(주)경은,경기도 광주시 곤지암읍 독고개길 163-2 외 2필지,031-763-3232,식품가공용기계,2026-01-30
49,(주)경진레이블,경기도 광주시 초월읍 도평길110번길 19-44,,라벨,2026-01-30
50,(주)고려에스티,경기도 광주시 순암로 403-25 (중대동),031-763-0082,절곡용철판,2026-01-30
51,(주)고산메디코,경기도 광주시 곤지암읍 만삼로108번길 63,031-763-8098,전자내시경부품+의료용카트+캐비넷 등,2026-01-30
52,(주)고성디자인엔지니어링,경기도 광주시 광남안로431번길 54 (직동),031-765-7064,철문+콘테이너+상패 및 명패,2026-01-30
53,(주)골드필름,경기도 광주시 초월읍 경충대로1284번길 75-14,031-767-6389,비닐인쇄,2026-01-30
54,(주)골든,경기도 광주시 마루들길 82-12 (총 3 필지) 외 2필지,031-761-3118,스폰지(우레탄),2026-01-30
55,(주)골든포스트,경기도 광주시 광남안로129번길 23-13 (목동) (총 2 필지) 외 1필지,070-4304-5832,우편함+사물함,2026-01-30
56,(주)골든필름,경기도 광주시 초월읍 경충대로1284번길 75-14,031-767-6381,인쇄비닐,2026-01-30
57,(주)공영사,경기도 광주시 초월읍 산수로 311-30 외 2필지,031-798-9070,아스콘,2026-01-30
58,(주)공영산업,"경기도 광주시 양벌로 118-79, 라동",031-764-9349,알루미늄 사다리+주문형 계단,2026-01-30
59,(주)광동케이씨,경기도 광주시 곤지암읍 경충대로244번길 36,031-762-2705,수동식식품가공기기+주방용기 등,2026-01-30
60,(주)광림테크,경기도 광주시 초월읍 두월길55번길 5,031-795-6161,생맥주냉각기,2026-01-30
61,(주)광세의료기,경기도 광주시 도척면 저수지길 30-110,031-8028-2677,저주파치료기+레이저치료기+초음파치료기,2026-01-30
62,(주)광원고무롤,경기도 광주시 곤지암읍 독고개길86번길 14,031-762-8242,고무제품,2026-01-30
63,(주)광현이에스아이,경기도 광주시 초월읍 동막골길 178-48,02-3411-0835,간판,2026-01-30
64,(주)광화정공 광주지점,경기도 광주시 곤지암읍 곤지암리 42-10번지,031-635-4322,변압기부품,2026-01-30
65,(주)구구,경기도 광주시 곤지암읍 신대길 121,031-798-4187,조립식 안전난간+안전로프 픽서,2026-01-30
66,(주)구들장건강,"경기도 광주시 오포로 673-39, 가동(추자동)",031-8027-8271,돌+흙침대,2026-01-30
67,(주)구스토커피커피,경기도 광주시 문형산길 250,031-715-2656,볶음커피,2026-01-30
68,(주)국광플랜,경기도 광주시 고불로 318-4 (직동) 외 2필지,031-798-4900,옥내외간판,2026-01-30
69,(주)국일와이케이,경기도 광주시 도척면 국사봉로 97-29 (총 4 필지) 외 3필지,031-796-4791,합사,2026-01-30
70,(주)국제라텍,경기도 광주시 오포안로 177,031-766-0255,접착테이프,2026-01-30
71,(주)군장코퍼레이션,"경기도 광주시 초월읍 장담길 100, B동",041-742-3110,흉장+부대마크+계급장 외,2026-01-30
72,(주)굿메이트식품,경기도 광주시 곤지암읍 오향길15번길 130 (총 2 필지) 외 1필지,031-762-0557,냉동생지+빵류,2026-01-30
73,(주)그랜드벨,경기도 광주시 곤지암읍 경충대로 417-11,031-764-9991,어류가공기계+식품가공기계+포장기계,2026-01-30
74,(주)그린메탈,경기도 광주시 초월읍 현산로385번길 5,031-765-2027,설치용금속탱크+그외기타가공품 등,2026-01-30
75,(주)그린메탈,"경기도 광주시 곤지암읍 광여로99번길 30-19, 1호동",031-765-2027,제약장비+클린부스+아이솔레이트+랩스,2026-01-30
76,(주)그린아이,경기도 광주시 곤지암읍 광여로99번길 30-19 1동 일부,031-763-5266,아이솔레이트+랩스+클린부스+클린퍼니처,2026-01-30
77,(주)그린웰,경기도 광주시 고불로 221-10 (태전동),031-764-8008,양념갈비,2026-01-30
78,(주)그린테크,경기도 광주시 초월읍 동막골길 75-6,031-798-3006,음수기+차량,2026-01-30
79,(주)그린테크놀로지,경기도 광주시 초월읍 두둘기길 84,031-986-3081,초순수제조장치+수순제조장치+해수담수화,2026-01-30
80,(주)그린피앤지,경기도 광주시 곤지암읍 독고개길 127-84,031-768-6078,식품포장지,2026-01-30
81,(주)극동케미칼,경기도 광주시 도척면 마도로 112-30 외 1필지,031-798-5211,세정제+샴푸등,2026-01-30
82,(주)금강건업,경기도 광주시 광남안로 190 (목동),031-764-5633,플라스틱창호,2026-01-30
83,(주)금강그린팬,경기도 광주시 초월읍 무갑길 88-29,031-767-9660,환풍기,2026-01-30
84,(주)금강모빌랙,경기도 광주시 목동길36번길 57 (목동),031-798-5407,금속가구(이동식서가),2026-01-30
85,(주)금강씨엔티,경기도 광주시 곤지암읍 광여로99번길 13,02-2281-1581,,2026-01-30
86,(주)금강테크,경기도 광주시 도척면 도척로 337-14,031-283-1230,닥트,2026-01-30
87,(주)금강하이켐,경기도 광주시 도척면 방등길 23,031-769-1107,세제+손제정제,2026-01-30
88,(주)금남중전기,경기도 광주시 초월읍 용수길 31-21,031-765-8486,변압기+용접기,2026-01-30
89,(주)금상엔지니어링,경기도 광주시 곤지암읍 광여로 842-5 외 1필지,02-441-6040,프라스틱 창호,2026-01-30
90,(주)금성케이엔티,경기도 광주시 오포로 593,02-577-0793,면테이프,2026-01-30
91,(주)금성테크롤,경기도 광주시 도척면 다람로36번길 31-8,031-763-2798,고무롤,2026-01-30
92,(주)금정하이플렉스,경기도 광주시 곤지암읍 도척로 126,031-762-2300,닥트 등,2026-01-30
93,(주)금하,"경기도 광주시 초월읍 무들로 197, ,-6",031-798-1256,몰탈접착제,2026-01-30
94,(주)기림엔지니어링,경기도 광주시 초월읍 무들로238번길 15,031-767-7455,주방 천정 급배기 시스템,2026-01-30
95,(주)기성테크,경기도 광주시 곤지암읍 광여로 585,031-761-1669,금속제 재떨이,2026-01-30
96,(주)기연써프라이,경기도 광주시 도척면 도척로584번길 100,031-797-0823,금속문,2026-01-30
97,(주)기영비료,경기도 광주시 곤지암읍 광여로862번길 85,031-762-8498,유기질 비료,2026-01-30
98,(주)김에어콤프레샤,경기도 광주시 초월읍 산수로 152,1566-9346,스크류 콤프레셔,2026-01-30
99,(주)나무늘보,경기도 광주시 오포로448번길 20-15,031-286-5877,원목가구,2026-01-30
100,(주)나비로,경기도 광주시 도척면 고녹길80번길 18-5,031-761-9243,책상+쇼파,2026-01-30
101,(주)나온,"경기도 광주시 초월읍 도평길110번길 84, 일부임대",031-932-9400,알루미늄 창호,2026-01-30
102,(주)나우텍,"경기도 광주시 광남안로431번길 37-7, 가동 (직동)",031-763-1363,커넥터+핀,2026-01-30
103,(주)남송패션,경기도 광주시 포은대로 515-16,031-766-8541,자수용품,2026-01-30
104,(주)남포물산,경기도 광주시 도척면 도척윗로 710,031-769-2411,다시마+미역+튀각제조,2026-01-30
105,(주)내추럴퓨어,경기도 광주시 초월읍 현산로 307-1,,과실 음료,2026-01-30
106,(주)내츄럴바이오,경기도 광주시 진토길 44 (목동),031-768-3722,건강기능식품,2026-01-30
107,(주)네오,"경기도 광주시 도척면 방등길31번길 34, 일부임대",070-5045-0945,인조잔디용 천연충전재,2026-01-30
108,(주)네오마그네틱,경기도 광주시 곤지암읍 만선로 99 외 2필지,02-422-4311,자동차용부품,2026-01-30
109,(주)네오트랜스,경기도 광주시 포은대로 329,031-768-6121,ups 등,2026-01-30
110,(주)네오폼,경기도 광주시 마루들길35번길 16 (총 2 필지) 외 1필지,031-762-1352,폴리스탈렌폼보드,2026-01-30
111,(주)넥스웜,"경기도 광주시 도척면 도척로 446, 다동 1층",031-768-8987,난방필름+탄소섬유 필름,2026-01-30
112,(주)넥스텍,경기도 광주시 곤지암읍 경충대로244번길 35 외 5필지,031-769-5035,블라인드 리벳,2026-01-30
113,(주)넥스트에너지코리아,경기도 광주시 곤지암읍 경충대로184번길 65,031-764-5616,가정용온수기+태양광발전장치류 등 +무선통신장비+접속반,2026-01-30
114,(주)노박월,경기도 광주시 도척면 도척로803번길 68-18,02-2086-4882,플라스틱창호+금속창호,2026-01-30
115,(주)누마스타,경기도 광주시 초월읍 장담길 21-80,031-767-8237,식기세척기+신발건조기+전기온수기+초음파세척기,2026-01-30
116,(주)뉴디아아이엔씨,경기도 광주시 곤지암읍 경충대로244번길 7,031-904-2036,컵홀더,2026-01-30
117,(주)뉴로바이오케어,경기도 광주시 초월읍 경충대로 1333-30,031-763-8601,마스크,2026-01-30
118,(주)뉴센텍,경기도 광주시 곤지암읍 광여로 442-40,031-8027-2110,절연케이블,2026-01-30
119,(주)뉴영이시티,경기도 광주시 곤지암읍 신만로 266,031-762-4963,수배전반,2026-01-30
120,(주)뉴욕슬립쎄라피,경기도 광주시 곤지암읍 신만로 322-7,031-798-2637,침대 매트리스,2026-01-30
121,(주)뉴인테크,경기도 광주시 삼지곡길 6-12 (삼동),031-797-5420,PC+네트워크DVR및코덱,2026-01-30
122,(주)뉴텍스,경기도 광주시 초월읍 산수로508번길 24-1,031-763-6051,심지,2026-01-30
123,(주)뉴트랜드,경기도 광주시 초월읍 경충대로 1333-64,02-3452-9111,SUS TANK,2026-01-30
124,(주)뉴팩,경기도 광주시 초월읍 두둘기길 16,031-769-3511,종이봉투+지함,2026-01-30
125,(주)능동가구,경기도 광주시 초월읍 경충대로1284번길 64-15 (총 4 필지) 외 3필지,031-793-8782,씽크대+락카장+붙박이장,2026-01-30
126,(주)니즈텍,경기도 광주시 고산길62번길 17-20,031-768-6593,유기이엘디스플레이,2026-01-30
127,(주)니코메디칼,경기도 광주시 오포로 240-4 외 8필지,031-761-0282,하이드로콜로이드 밴드,2026-01-30
128,(주)다모아플러스,경기도 광주시 초월읍 경충대로 1333-34,031-763-3057,포장지,2026-01-30
129,(주)다산유리,경기도 광주시 곤지암읍 독고개길86번길 38,031-768-4512,화장품용기,2026-01-30
130,(주)다온에스디,경기도 광주시 곤지암읍 신대길 107,031-607-7474,금속집기,2026-01-30
131,(주)다온이엔씨,경기도 광주시 곤지암읍 만삼로244번길 50-6,031-797-8214,놀이터장비,2026-01-30
132,(주)다원,경기도 광주시 도척면 도척윗로 722-16,031-761-0440,장롱+책상,2026-01-30
133,(주)다전복층유리,경기도 광주시 광남안로431번길 19-6 (직동) 외 1필지,031-753-1191,복층유리,2026-01-30
134,(주)다정테크,경기도 광주시 광남안로431번길 37-26 (직동),031-766-7680,고무매트,2026-01-30
135,(주)단아,"경기도 광주시 초월읍 도평길 93-23, A동",031-764-3786,식품포장용기(플라스틱),2026-01-30
136,(주)대경기업,경기도 광주시 도척면 도척로 713,031-317-1124,교통안전 시설물,2026-01-30
137,(주)대교테크,경기도 광주시 초월읍 대쌍령길 33 (총 2 필지) 외 1필지,031-751-3536,덕트,2026-01-30
138,(주)대동엠엔디,경기도 광주시 곤지암읍 광여로 187,031-763-9900,전동기+수배전반,2026-01-30
139,(주)대륭,경기도 광주시 초월읍 무들로 252-19,02-3407-3000,냉장고,2026-01-30
140,(주)대륭이앤디,경기도 광주시 도척면 국사봉로 185-35,,포장지,2026-01-30
141,(주)대린기계,경기도 광주시 옥토골길 80-12 (태전동),031-333-3390,식품포장기계,2026-01-30
142,(주)대림전기,경기도 광주시 초월읍 용수길 14-3,031-765-4031,변압기,2026-01-30
143,(주)대림파워이엔지,경기도 광주시 초월읍 동막골길 159,031-798-6647,분전반,2026-01-30
144,(주)대명에이.티.엠,경기도 광주시 도척면 다람로36번길 19-17,031-767-8724,인조대리석,2026-01-30
145,(주)대명하이테크,경기도 광주시 수렁개길 33-28,031-765-6407,식품기계,2026-01-30
146,(주)대보농산,경기도 광주시 새말길167번길 41-6,031-717-4931,양념계육,2026-01-30
147,(주)대봉식품,경기도 광주시 양벌로 58-7,031-766-2080,견과류가공품,2026-01-30
148,(주)대산공사,경기도 광주시 곤지암읍 평촌길 100-9 외 2필지,031-763-8162,건설 장비,2026-01-30
149,(주)대산케미텍,경기도 광주시 도척면 다람로 114,031-766-2990,유아안전매트+완충재류+합성수지류,2026-01-30
150,(주)대상테크롤,경기도 광주시 초월읍 산수로 612,070-4923-2071,롤+방충망,2026-01-30
151,(주)대성레이저,경기도 광주시 초월읍 동막골길40번길 32 외 2필지,,금속반도체 장비+금속버스의자틀등,2026-01-30
152,(주)대성에어테크,경기도 광주시 초월읍 산수로682번길 34,031-768-7264,닥트,2026-01-30
153,(주)대성유니트,경기도 광주시 태전동 483-7,031-765-7597,기계부품,2026-01-30
154,(주)대승,경기도 광주시 곤지암읍 오향길34번길 13,031-762-3944,옷걸이+소품류,2026-01-30
155,(주)대승산업,경기도 광주시 곤지암읍 새재길 166 외 9필지,031-764-0183,보온 단열재,2026-01-30
156,(주)대신물산,경기도 광주시 오포로 778,031-766-2314,스타트모타,2026-01-30
157,(주)대양,경기도 광주시 고불로279번길 36 (태전동),031-795-2191,시계+핸드폰 부품,2026-01-30
158,(주)대양에스티,경기도 광주시 순암로 157-7 (중대동) 외 1필지,031-761-0456,석기자동세척기,2026-01-30
159,(주)대양축산,경기도 광주시 초월읍 산수로 238,031-797-5031,포장육,2026-01-30
160,(주)대영,경기도 광주시 도척면 도척로803번길 68-6,031-764-3833,금속탱크+살균기+증류기,2026-01-30
161,(주)대영디자인,경기도 광주시 곤지암읍 열미길 139-10 (총 3 필지) 외 2필지,031-798-4330,싱크대+침대,2026-01-30
162,(주)대영이앤지,경기도 광주시 도척면 국사봉로133번길 33-30,031-764-5775,배전반,2026-01-30
163,(주)대영화학,경기도 광주시 초월읍 선동리 319-18번지,031-764-9813,식품포장지,2026-01-30
164,(주)대우금속개발,경기도 광주시 초월읍 지월로16번길 33,031-765-1181,가스렌지+싱크대+작업대+보온기+식기소독기+손수레+가스켓+열교환기 등,2026-01-30
165,(주)대우토탈,경기도 광주시 초월읍 신월길 76,031-665-6771,목재침대,2026-01-30
166,(주)대원실업사,경기도 광주시 중앙로 317 (송정동) (총 8 필지) 외 7필지,031-761-4141,P.P포대,2026-01-30
167,(주)대원씨앤에스,경기도 광주시 마루들길 259-12 외 2필지,031-767-7765,이동식 금속가구+주방가구,2026-01-30
168,(주)대유엠엔에프,경기도 광주시 곤지암읍 원지길 78 외 2필지,031-761-6922,철선가공,2026-01-30
169,(주)대일전기,경기도 광주시 도척면 고녹길 19,031-762-1901,배전반 및 전기자동제어반,2026-01-30
170,(주)대일테크,"경기도 광주시 초월읍 용수길32번길 20-25, 1동",031-365-3535,반도체 장비 부품,2026-01-30
171,(주)대진,"경기도 광주시 순암로 363-19, 2층 (중대동)",070-7004-7799,양말,2026-01-30
172,(주)대진엔터프라이즈,경기도 광주시 초월읍 도곡안길 15-1 (총 3 필지),031-766-1995,카트기+목재진열대 등,2026-01-30
173,(주)대진전선,경기도 광주시 장지9길 66 (장지동),031-764-8211,통신케이블,2026-01-30
174,(주)대진펌프산업,경기도 광주시 오포로448번길 30,031-766-2531,액체펌프제조업,2026-01-30
175,(주)대진피앤씨,경기도 광주시 초월읍 신월길 36-19,031-798-0156,식품 포장지,2026-01-30
176,(주)대풍푸드,경기도 광주시 광남안로 241 (목동),031-796-1452,닭고기 가공품,2026-01-30
177,(주)대한기업,경기도 광주시 매자리길 183-7 외 1필지,031-766-7444,덕트기구,2026-01-30
178,(주)대한씨엠에프,경기도 광주시 초월읍 산이길51번길 22,031-797-2494,닭고기+소스등,2026-01-30
179,(주)대한웰빙은박,경기도 광주시 초월읍 무갑길 47,031-762-0022,알미늄 포장제,2026-01-30
180,(주)대한케미칼,경기도 광주시 도척면 도척로 446,031-798-7720,닥트호스,2026-01-30
181,(주)대한특수승강기,경기도 광주시 오포로 610 외 3필지,031-767-7990,엘리베이터+휠체아리프트,2026-01-30
182,(주)대호가,경기도 광주시 곤지암읍 광여로 470-13,031-764-0063,소스+죽+프리믹스,2026-01-30
183,(주)대호식품,경기도 광주시 수렁개길 31,031-768-4330,쌍화차+스프원료,2026-01-30
184,(주)대호씨앤씨,경기도 광주시 초월읍 지월로100번길 125,031-768-6774,주차제어장치+차량차단기+차량번호인식기+주차요금계산기+긴급전화기,2026-01-30
185,(주)대흥소프트밀,경기도 광주시 초월읍 동막골길 276,02-445-2040,제빵발효기+냉동기+제과기계 등,2026-01-30
186,(주)더블유티씨스포츠건설,경기도 광주시 곤지암읍 광여로 82-36,050-2777-5777,목재,2026-01-30
187,(주)더온,경기도 광주시 초월읍 동막골길 150-45 외 1필지,031-766-5197,플라스틱 성형제품,2026-01-30
188,(주)더원,경기도 광주시 보뚱치길130번길 17-9 외 2필지,031-761-1442,토목용보강재(지오그리드),2026-01-30
189,(주)더존코리아,경기도 광주시 곤지암읍 새재길 266,031-764-0036,비닐포장지 각종상품안내인쇄,2026-01-30
190,(주)덕산,경기도 광주시 마루들길35번길 19,031-768-2604,MESH,2026-01-30
191,(주)덕산,경기도 광주시 오포안로 76,031-768-2604,압출성형망사,2026-01-30
192,(주)덕촌,경기도 광주시 수렁개길 25 외 1필지,031-767-8866,진열장및부엌가구,2026-01-30
193,(주)도마테크,경기도 광주시 양촌길 237-16,031-763-2729,철도차량 전장품,2026-01-30
194,(주)도무스,경기도 광주시 곤지암읍 신만로 275-49,031-798-2447,진열장,2026-01-30
195,(주)도무스메탈,경기도 광주시 오포로 465-9,031-726-9336,문손잡이,2026-01-30
196,(주)도은,경기도 광주시 도척면 다람로57번길 12-17 외 4필지,031-769-2475,센서외광학자재,2026-01-30
197,(주)도인디아이디,경기도 광주시 광남안로 296 (목동),031-766-3003,간판+금속표시판+금속제조립식구조물,2026-01-30
198,(주)돈우농업회사법인,경기도 광주시 곤지암읍 만삼로 24 외 1필지,031-699-1423,양념갈비 등,2026-01-30
199,(주)동강실업,경기도 광주시 도척면 다람로40번길 54,031-795-6888,수산물가공,2026-01-30
200,(주)동경상사,경기도 광주시 매자리길 80-18,031-767-5621,합성피혁,2026-01-30
201,(주)동광엔지니어링,경기도 광주시 도척면 도척로 376-30 외 2필지,031-763-8920,플라스틱성형품 가공목재(각재등),2026-01-30
202,(주)동도엘엠에스,경기도 광주시 되치미길 14-26,070-8255-3350,형광등기구+LED조명,2026-01-30
203,(주)동도플라스틱,경기도 광주시 초월읍 도평길 93-15,031-798-0999,재생플라스틱원료,2026-01-30
204,(주)동림의료기,경기도 광주시 도척면 고녹길 100,031-762-3117,으료기기 및 으료비품,2026-01-30
205,(주)동림이엔씨,경기도 광주시 도척면 방등길31번길 7-22 외 1필지,031-721-3862,배수판,2026-01-30
206,(주)동명,경기도 광주시 초월읍 지월로 62,031-798-5734,모자+침낭 등,2026-01-30
207,(주)동명기업,경기도 광주시 매자리길 95-6,031-755-1220,배터리 재생+분해 배터리 설치/철거+배터리 유통+배터리 재활용 연구 및 개발,2026-01-30
208,(주)동명디자인,경기도 광주시 곤지암읍 신대길 109,031-761-9752,목재가구+가정용씽크대목재가구 등,2026-01-30
209,(주)동방기공,경기도 광주시 도척면 도척로 1134,031-797-5624,냉난방기(시스템)중펌프모듈,2026-01-30
210,(주)동방테크,경기도 광주시 도척면 마도로 139-34,031-463-6631,금속문+자동문등,2026-01-30
211,(주)동방파스텍,경기도 광주시 도척면 도척로 376-38,031-769-2320,방화문틀 및 부품,2026-01-30
212,(주)동보바이오,경기도 광주시 초월읍 두월길 23,031-8028-6307,비료+사료+탈취제,2026-01-30
213,(주)동부라벨,경기도 광주시 초월읍 용수길32번길 75-2 (총 2 필지),031-767-4016,라벨,2026-01-30
214,(주)동서가구,경기도 광주시 오포로 629 외 1필지,02-6009-6791,소파,2026-01-30
215,(주)동서울중기,경기도 광주시 오포로 281 (총 6 필지) 외 5필지,031-766-8826,정비,2026-01-30
216,(주)동선,경기도 광주시 초월읍 무들로 84-11 (주)동선,031-765-2496,수산가공 품,2026-01-30
217,(주)동성이엔지,경기도 광주시 도척면 마도로 252-21,031-764-7768,목재파쇄기,2026-01-30
218,(주)동성코메즈,경기도 광주시 초월읍 산수로554번길 75 외 1필지,031-798-3581,엘라스틱 밴드,2026-01-30
219,(주)동아산업가스,경기도 광주시 중앙로349번길 42(송정동),031-780-8356,질소+아르곤+탄산가스+산소가스,2026-01-30
220,(주)동아스포츠,경기도 광주시 도척면 도척로 517-18 외 4필지,031-768-0826,운동기구,2026-01-30
221,(주)동양석재,경기도 광주시 초월읍 산수로554번길 51 (총 3 필지) 외 2필지,031-761-6988,석재가공,2026-01-30
222,(주)동양에이엘,경기도 광주시 도척면 도척윗로 717-12 (총 2 필지) 외 1필지,02-2026-7273,샷시,2026-01-30
223,(주)동양창호,경기도 광주시 곤지암읍 만삼로108번길 56,031-769-2541,목재창호+한식시스템창호,2026-01-30
224,(주)동우산업,경기도 광주시 고불로229번길 33-19 (태전동),031-791-2507,적층직물,2026-01-30
225,(주)동우씨엔에프,"경기도 광주시 곤지암읍 독고개길86번길 34, 1동 지하1층,1층, 2동",031-737-6223,빵류,2026-01-30
226,(주)동우이엠씨,경기도 광주시 오포안로 62-11 (문형동),031-769-6336,금속창호,2026-01-30
227,(주)동우이엠씨,"경기도 광주시 오포안로 62-3, 2동 (문형동)",031-769-6336,방화문,2026-01-30
228,(주)동원이엔지,경기도 광주시 곤지암읍 광여로733번길 7-11[*미고시],031-8027-2740,알미늄창호+금속구조물,2026-01-30
229,(주)동원테크,"경기도 광주시 장지9길 34-10, 1, 2층 (장지동)",031-762-2958,비닐시트지가공,2026-01-30
230,(주)동원홈푸드 경기1공장,경기도 광주시 진토길 13(목동),031-797-6200,분쇄가공육+양념육,2026-01-30
231,(주)동원홈푸드 경기2공장,경기도 광주시 고불로186번길 27 (태전동),031-765-8455,포장육 및 가공상품,2026-01-30
232,(주)동일금속레이져,경기도 광주시 곤지암읍 광여로 392-16,031-768-2647,금속가공품,2026-01-30
233,(주)동일금속레이져,경기도 광주시 곤지암읍 광여로 392-13,031-768-2647,금속가공품,2026-01-30
234,(주)동진레벨,경기도 광주시 곤지암읍 경충대로295번길 15-20,02-456-6262,자전거보관대+철구조물,2026-01-30
235,(주)동진비지네스폼,경기도 광주시 초월읍 두월길55번길 17,031-797-3051,기록용지+인쇄물,2026-01-30
