회사명,설립구분명,용지면적,건축면적,종업원수,공장규모구분명,공장등록일,용도지역명,지목명,업종명,업종코드,생산품정보,대기오염등급,수질오염등급,소음진동여부,생활용수사용량(톤_일),산업용수사용량(톤_일),자기자본액(백만),타인자본액(백만),전화번호,팩스번호,소재지우편번호,소재지도로명주소,소재지지번주소,(WGS84)위도,(WGS84)경도
(주)이수씨엔피,일반,2810,1231.05,27,소기업,2006-08-18,관리지역/관리지역기타,공장용지,플라스틱 필름 제조업 외 1 종,"22212, 22213","PVC,데코시트",5종,해당없음,유,0,0,0,0,02-3159-9670,02-3159-9674,10544,경기도 고양시 덕양구 덕은로 110 (덕은동),경기도 고양시 덕양구 덕은동 264-3번지,37.58043487,126.8743405
탑피앤에프,일반,3331,479.74,12,소기업,2012-12-03,관리지역/계획관리지역,공장용지,플라스틱 필름 제조업 외 1 종,"22212, 22213","보호용필름, E.V.A필름",해당없음,해당없음,무,0,0,150,150,031-968-7234,031-968-7236,10317,"경기도 고양시 일산동구 견달산로225번길 92,  C동 (식사동)",경기도 고양시 일산동구 식사동  288-51번지,37.68886614,126.8176397
베스필,일반,373.16,373.16,3,소기업,2017-09-11,관리지역/계획관리지역,공장용지,플라스틱 필름 제조업,"22212, ",폴리에틸렌필름,해당없음,해당없음,무,0.5,0,200,0,,031-977-6566,10257,"경기도 고양시 일산동구 장진천길 30-77, 가동, 다동 (설문동)","경기도 고양시 일산동구 설문동 147-1번지 가동, 다동",37.71120585,126.8153928
에어텍스,일반,0,159.8,2,소기업,2017-07-25,관리지역/계획관리지역,잡종지,플라스틱 필름 제조업,"22212, ","차량용 비닐시트커버, 매트커버",해당없음,해당없음,무,0,0,100,0,031-917-3837,031-916-3837,10220,"경기도 고양시 일산서구 대화로37번길 44-13, A (법곳동)",경기도 고양시 일산서구 법곳동 41-7번지 A,37.66681402,126.7248091
한신기업,일반,0,464.49,5,소기업,2017-07-26,관리지역/계획관리지역,대,"플라스틱 포대, 봉투 및 유사제품 제조업 외 1 종","22231, 33999","머리염색용 빗, 플라스틱 용기",해당없음,해당없음,무,1,1,500,0,031-919-5900,031-919-5900,10207,경기도 고양시 일산서구 산율길42번길 11 (구산동),경기도 고양시 일산서구 구산동 20-0,37.69131836,126.712191
경원화학(주),일반,4165,1564.02,11,소기업,2003-12-29,관리지역/관리지역기타,공장용지,"플라스틱 포대, 봉투 및 유사제품 제조업","22231, ",포대및봉투,해당없음,해당없음,무,0,0,0,0,031-977-2112,031-977-3388,10252,경기도 고양시 일산동구 은마길 143-9 (설문동),경기도 고양시 일산동구 설문동 478-2번지,37.71955641,126.8053536
금풍,일반,753,396,3,소기업,2019-06-24,관리지역/계획관리지역,공장용지,"플라스틱 포대, 봉투 및 유사제품 제조업","22231, ",PVC 비닐 가공품,해당없음,해당없음,무,0,0,300,0,02-325-3671,031-923-4290,10204,"경기도 고양시 일산서구 덕산로99번길 37, 가동 (가좌동)",경기도 고양시 일산서구 가좌동 636-4번지 가동,37.69557295,126.7135979
미진팩,일반,0,709.23,8,소기업,2017-08-23,관리지역/계획관리지역,대,"플라스틱 포대, 봉투 및 유사제품 제조업","22231, ",비닐봉투류,해당없음,해당없음,무,0,0,50,0,031-977-2649,031-977-8169,10313,경기도 고양시 일산동구 성현로268번길 110 -10(성석동),경기도 고양시 일산동구 성석동 53-16,37.7006909,126.8144345
부성포장,일반,0,389.4,3,소기업,2021-06-02,관리지역/계획관리지역,대,"플라스틱 포대, 봉투 및 유사제품 제조업","22231, ",비닐쇼핑백,해당없음,해당없음,무,0,0,0,0,070-8808-6015,,10252,경기도 고양시 일산동구 은마길79번길 31-15 (설문동),경기도 고양시 일산동구 설문동 500-8,37.71587264,126.8057965
한솔팩,일반,1508,703.2,10,소기업,2005-01-05,관리지역/관리지역기타,공장용지,"플라스틱 포대, 봉투 및 유사제품 제조업","22231, ",POLY BAG,해당없음,해당없음,무,0.5,0,1000,0,031-977-6359,031-977-6344,10252,경기도 고양시 일산동구 은마길63번길 25-51 (성석동),경기도 고양시 일산동구 성석동 517-2번지,37.71218617,126.8042539
(주)우신윈시스템,일반,2510,993.76,19,소기업,2015-10-01,관리지역/계획관리지역,대,플라스틱 창호 제조업 외 1 종,"22223, 22229",프라스틱 창호,해당없음,해당없음,유,0,0.2,0,0,031-8071-1172,031-8071-1174,410540,경기도 고양시 일산동구 지영동 1-5,경기도 고양시 일산동구 지영동 1-5,37.72092696,126.8367488
(주)정화창호,일반,0,330,7,소기업,2020-02-20,관리지역/계획관리지역,공장용지,플라스틱 창호 제조업 외 1 종,"22223, 23119","하이샤시, 복층유리",해당없음,해당없음,무,0.05,0.1,300,700,031-972-2100,031-601-8353,10313,경기도 고양시 일산동구 동국로 325 -31(문봉동),경기도 고양시 일산동구 문봉동 269-8,37.69574001,126.818643
디에스산업개발 주식회사,일반,263,263,2,소기업,2023-11-27,관리지역/계획관리지역,대,플라스틱 창호 제조업 외 1 종,"22223, 25111","금속창호, 합성수지제창",해당없음,해당없음,무,2,0,10,0,070-7778-6050,031-976-6050,10256,"경기도 고양시 일산동구 지영로242번길 60, 1,2동 (지영동)","경기도 고양시 일산동구 지영동 77 1,2동",37.71658283,126.8319994
찬바람119&방충망킹,일반,407,192,4,소기업,2015-12-18,관리지역/계획관리지역,대,플라스틱 창호 제조업 외 1 종,"22223, 25111","창호용방풍부재,안전방충망",해당없음,해당없음,무,0,0,10000,0,031-925-7119,031-925-5119,10200,경기도 고양시 일산서구 송산로 39 (구산동),경기도 고양시 일산서구 구산동 1519-25번지,37.68351156,126.6841479
(주)우신윈시스템,일반,8953,3677.38,29,소기업,2021-10-22,관리지역/계획관리지역,임야,플라스틱 창호 제조업,"22223, ",합성수지제창,해당없음,해당없음,무,0,0,0,0,031-8071-1172,031-8071-1174,10254,"경기도 고양시 일산동구 지영로 259, 가동, 나동(지영동)","경기도 고양시 일산동구 지영동 218-5 가동, 나동",37.72096764,126.8295999
(주)플랫폼이엔에스,일반,0,396,5,소기업,2024-04-19,관리지역/계획관리지역,대,플라스틱 창호 제조업,"22223, ",플라스틱창호,해당없음,해당없음,무,0,0,0,0,,031-968-8794,10254,"경기도 고양시 일산동구 공릉천로493번길 71, 1동, 2동 (설문동)","경기도 고양시 일산동구 설문동 327-6 1동, 2동",37.72333417,126.8163591
대성ENG,일반,0,446.81,7,소기업,2005-04-29,관리지역/관리지역기타,잡종지,플라스틱 창호 제조업,"22223, ","창문,창틀",해당없음,해당없음,무,0,0,0,0,031-968-4411,031-968-4443,10317,경기도 고양시 일산동구 견달산로225번길 45-70 (식사동),경기도 고양시일산동구 식사동 288-59번지,37.68847479,126.8154317
윈포유,일반,2546,495,0,소기업,2023-09-26,관리지역/계획관리지역,공장용지,플라스틱 창호 제조업,"22223, ",창호제조,해당없음,해당없음,무,0,0,0,0,031-977-4704,031-975-6263,10252,경기도 고양시 일산동구 은마길 31-28 (성석동),경기도 고양시 일산동구 성석동 519,37.71136936,126.8048288
비즈오피스,일반,0,196.02,2,소기업,2008-10-15,관리지역/계획관리지역,대,플라스틱 접착처리 제품 제조업 외 1 종,"22291, 22292",테이프,해당없음,해당없음,무,0,0,0,0,031-923-8713,031-923-3536,10205,"경기도 고양시 일산서구 덕산로189번길 59, 가동 (가좌동)",경기도 고양시일산서구 가좌동 542번지 가동동,37.69679449,126.7211054
(주)와이에스상사,일반,661,259,2,소기업,2018-08-30,관리지역/계획관리지역,공장용지,플라스틱 접착처리 제품 제조업,"22291, ","접착테이프, 포장자재",해당없음,해당없음,무,0.01,0.01,50,0,031-962-7831,031-985-8773,10260,경기도 고양시 일산동구 공릉천로175번길 93 -83(사리현동),경기도 고양시 일산동구 사리현동 294-26,37.70244353,126.8404301
주식회사 브이톨,일반,139.2,82.87,2,소기업,2023-08-31,도시지역/주거지역/준주거지역,공장용지,플라스틱 접착처리 제품 제조업,"22291, ",PPF 재단 필름,해당없음,해당없음,무,0,0,50,0,02-386-8893,02-386-8893,10594,경기도 고양시 덕양구 통일로 140 (동산동) A동 2층 233호,경기도 고양시 덕양구 동산동 376번지 A동 2층 233호,37.64907029,126.9019009
주식회사 로페코,일반,198.2,198.2,3,소기업,2023-06-15,관리지역/계획관리지역,공장용지,플라스틱 시트 및 판 제조업,"22213, ",PVC시트,해당없음,해당없음,무,0,0,250,0,031-975-1145,031-975-1148,10256,"경기도 고양시 일산동구 지영로148번길 93, 1층 가동 (지영동)",경기도 고양시 일산동구 지영동 339-3 1층 가동,37.71194888,126.8270377
푸른들,일반,967,288.11,3,소기업,2015-05-15,관리지역/계획관리지역,공장용지,"플라스틱 선, 봉, 관 및 호스 제조업","22211, ",플라스틱끈,해당없음,해당없음,무,0,0,0,0,031-964-5741,031-964-5794,10265,경기도 고양시 덕양구 고골길 100-23 (관산동),경기도 고양시 덕양구 관산동 563-8번지,37.71219508,126.8632502
일라토스,일반,375,164,3,소기업,2025-07-07,관리지역/계획관리지역,대,표면광택제 및 실내가향제 제조업,"20424, ",방향제,해당없음,해당없음,무,0,0,100,0,031-8089-7703,,10220,경기도 고양시 일산서구 대화로27번길 22 (법곳동),경기도 고양시 일산서구 법곳동 91-1,37.66559323,126.7255701
(주)범우티앤씨,일반,0,104.14,3,소기업,2016-08-19,관리지역/계획관리지역,공장용지,표면 가공 목재 및 특정 목적용 제재목 제조업,"16102, ",목재 가공,해당없음,해당없음,무,0,0,0,0,031-812-7000,070-8290-7379,10260,경기도 고양시 일산동구 성현로513번길 85 -12(사리현동) 나동 1층,경기도 고양시 일산동구 사리현동 212-5 나동 1층,37.69845536,126.8428816
서광테크,일반,0,240.8,2,소기업,2017-04-10,관리지역/계획관리지역,공장용지,표면 가공 목재 및 특정 목적용 제재목 제조업,"16102, ",목재 가공,해당없음,해당없음,무,0,0,0,0,031-919-6933,031-919-6932,10205,"경기도 고양시 일산서구 송파로 176-1, 1층 (가좌동)",경기도 고양시 일산서구 가좌동 604-1번지 1층,37.69866381,126.7162083
주식회사 천일에너지 고양팩토리,일반,0,58.5,2,소기업,2018-11-29,관리지역/계획관리지역,창고용지,표면 가공 목재 및 특정 목적용 제재목 제조업,"16102, ",버섯재배용 목재 등,해당없음,해당없음,무,0,0,300,0,031-969-4420,031-968-4420,10266,경기도 고양시 덕양구 동헌로 127 -17(관산동) 2동,경기도 고양시 덕양구 관산동  17-1 2동,37.70867311,126.8720614
대성산업,일반,1528,567,10,소기업,2010-05-18,관리지역/계획관리지역,잡종지,표구처리업 외 2 종,"33933, 18119, 22299",액자 거울,해당없음,해당없음,무,0,0,0,0,031-911-6289,031-916-3206,10254,경기도 고양시 일산동구 지영로147번길 81-37 (지영동),경기도 고양시일산동구 지영동 413-7번지,37.71578738,126.8205584
(주)세진프라스틱,일반,3989,1320.85,29,소기업,2024-01-25,관리지역/계획관리지역,공장용지,포장용 플라스틱 성형용기 제조업 외 4 종,"22232, 22211, 22229, 22249, 22299","플라스틱바구니, 포장용기, 가방부자재, 플라스틱 칸막이(화장실) 등, 비가림막브라켓, 카스토퍼, 가구 부착구 - 책장레일 , 책상다리, 케이블타이",해당없음,해당없음,무,4.3,0,100,0,031-977-7391,031-977-7397,10313,경기도 고양시 일산동구 견달산로 395 -12(문봉동) 외 3필지,경기도 고양시 일산동구 문봉동 146-1 외 3필지,37.70103788,126.8214418
주식회사 하이비코리아,창업,0,477.67,0,소기업,2022-07-06,관리지역/계획관리지역,대,포장용 플라스틱 성형용기 제조업 외 3 종,"22232, 22299, 33401, 33993","음료물병(빨대컵), 수유용 젖병(플라스틱제), 유아용 완구, 가정용 브러쉬(식기세정용, 세면대용 브러쉬)",,,무,0,0,,,031-977-9584,031-975-9583,10252,"경기도 고양시 일산동구 고봉로770번길 237, 2동 일부(성석동)",경기도 고양시 일산동구 성석동 1061-45 2동 일부,37.71577892,126.7975828
일양프라스틱,일반,0,170,4,소기업,2006-06-22,관리지역/계획관리지역,공장용지,포장용 플라스틱 성형용기 제조업 외 1 종,"22232, 22299",프라스틱사출물,해당없음,해당없음,무,0.8,0,0,0,031-977-0244,031-977-0246,10252,경기도 고양시 일산동구 은마길 41-36 (성석동),경기도 고양시일산동구 성석동 521-43번지,37.71212336,126.8058315
경동포장,일반,5217,1517.36,5,소기업,2006-07-11,관리지역/계획관리지역,공장용지,포장용 플라스틱 성형용기 제조업,"22232, ",포장재,해당없음,해당없음,무,0,0,0,0,031-969-8620,,10264,경기도 고양시 덕양구 통일로1170번길 135-58 (내유동) (총 2 필지),경기도 고양시 덕양구 내유동231-18번지,37.72458027,126.8535103
덕우프라스틱,일반,0,338,7,소기업,2001-04-02,관리지역/관리지역기타,잡종지,포장용 플라스틱 성형용기 제조업,"22232, ","뚜껑,마개",해당없음,해당없음,무,0.1,0,0,0,031-923-2297,,10207,경기도 고양시 일산서구 구산로54번길 153 (구산동),경기도 고양시 일산서구 구산동 133-1번지,37.68888692,126.7098123
아크랜드,일반,0,363.52,5,소기업,2015-01-12,관리지역/계획관리지역,대,포장용 플라스틱 성형용기 제조업,"22232, ","아크릴 진열대, 아크릴 박스",해당없음,해당없음,무,0.02,0,0,0,031-901-3280,031-901-8176,10432,"경기도 고양시 일산동구 노첨길 69-12, 가동, 나동 (장항동)","경기도 고양시 일산동구 장항동 611-13번지 가동, 나동",37.6375905,126.7769095
에스티비인터내셔널(주),일반,0,361.28,5,소기업,2020-01-07,도시지역/주거지역/준주거지역,대,포장용 플라스틱 성형용기 제조업,"22232, ",화장품 용기,해당없음,해당없음,무,0,0,10,10,02-3143-7931,,10442,경기도 고양시 일산동구 일산로 142 (백석동) 6층 628호,경기도 고양시 일산동구 백석동 1141-2 6층 628호,37.64990508,126.7936807
태광프라스틱,일반,0,199.84,2,소기업,2003-04-23,관리지역/관리지역기타,대,포장용 플라스틱 성형용기 제조업,"22232, ",서류함,해당없음,해당없음,무,0,0,0,0,031-977-0341,031-977-0341,10257,경기도 고양시 일산동구 문원길 9-11 (문봉동),경기도 고양시 일산동구 문봉동 190-23번지,37.70798656,126.8213557
스쿨룩스 일산,일반,89.51,89.51,3,소기업,2024-08-29,도시지역/주거지역/제1종일반주거지역/지구단위계획구역,대,편조의복 제조업 외 3 종,"14300, 14111, 14112, 14192","남성용, 여성용 운동복(편조), 교복, 근무복 및 작업복, 기동복, 전투복, 남성용 외투, 여성용 외투",해당없음,해당없음,무,0,0,300,100,02-912-1318,031-902-1320,10359,"경기도 고양시 일산동구 일산로441번길 15-2, 지하1층 (정발산동)",경기도 고양시 일산동구 정발산동 1200 지하1층,37.67254589,126.7772395
(주)엔터모드,일반,0,328.3,15,소기업,2001-09-07,도시지역/주거지역/제2종일반주거지역,대,편조의복 제조업,"14300, ",스웨터,해당없음,해당없음,무,0,0,0,0,031-965-6000,,10465,"경기도 고양시 덕양구 충장로475번길 14-5, 401호 (성사동)",경기도 고양시 덕양구 성사동 415-6번지,37.65482891,126.8424614
액샐산업(주),일반,6612,1216,1,소기업,1979-07-06,도시지역/녹지지역/자연녹지지역,공장용지,편조의복 제조업,"14300, ",편직의류,해당없음,해당없음,무,0,0,0,0,02-381-7601,,10590,"경기도 고양시 덕양구 신도2길 48 (삼송동, (주)엑셀산업)",경기도 고양시덕양구 삼송동 128-10번지,37.65166359,126.8925843
(주)대우피앤비,일반,0,473,10,소기업,2006-05-10,관리지역/계획관리지역,잡종지,판지 상자 및 용기 제조업 외 4 종,"17222, 17211, 17212, 17229, 17901","포장용상자,봉투",해당없음,해당없음,무,0,0,0,0,031-977-7604,031-977-7605,10253,경기도 고양시 일산동구 장진천길 66-28 (설문동),경기도 고양시 일산동구 설문동 191-8번지,37.71285497,126.8122462
리마패키지,일반,1110,309.1,10,소기업,2018-11-29,관리지역/계획관리지역,창고용지,판지 상자 및 용기 제조업 외 1 종,"17222, 17212",박스제조,해당없음,해당없음,무,0.1,0,0,0,031-906-7988,,10431,경기도 고양시 일산동구 장대길 64 -96(장항동),경기도 고양시 일산동구 장항동 586-7,37.63949365,126.7712692
(주)아토즈,일반,1026.78,1026.78,11,소기업,2013-06-21,관리지역/계획관리지역,공장용지,판지 상자 및 용기 제조업,"17222, ",지류상자,해당없음,해당없음,무,0,0,0,0,031-902-9567,031-902-9568,10431,경기도 고양시 일산동구 장대길 106-22 (장항동) 외 1필지,경기도 고양시 일산동구 장항동 568-1번지 외 1필지,37.63949963,126.766418
(주)조아박스,일반,0,197.2,27,소기업,2020-01-06,관리지역/계획관리지역,공장용지,판지 상자 및 용기 제조업,"17222, ","싸바리 상자, 표지상자싸바리",해당없음,해당없음,무,0,0,50,0,031-909-1338,031-901-7402,10431,"경기도 고양시 일산동구 장대길 86-46, C동 (장항동)",경기도 고양시 일산동구 장항동 579-4번지 C동,37.63994695,126.7687825
거산피앤피 주식회사,일반,1608,1661.72,19,소기업,2025-10-29,관리지역/계획관리지역,공장용지,판지 상자 및 용기 제조업,"17222, ",포장용 상자(종이 상자),,,유,0,0,,,031-907-6760,031-907-6762,10251,경기도 고양시 일산동구 고봉로770번길 202 (성석동),경기도 고양시 일산동구 성석동 1060-18,37.71648097,126.7959083
영진상사,일반,6164,1063.65,10,소기업,2008-05-22,관리지역/계획관리지역,임야,판지 상자 및 용기 제조업,"17222, ",포장용상자,해당없음,해당없음,무,0,0,0,0,031-977-6272,031-977-6275,10252,경기도 고양시 일산동구 은마길79번길 83 (설문동) (총 7 필지),경기도 고양시 일산동구 설문동  530-81번지,37.7173257,126.8030712
주식회사 경기모빌,일반,1649,192,0,소기업,2018-08-29,관리지역/계획관리지역,공장용지,트레일러 및 세미트레일러 제조업,"30203, ","캠핑트레일러,캠핑카",해당없음,해당없음,무,0,0,50,0,,031-976-6635,10256,경기도 고양시 일산동구 공릉천로355번길 24 (지영동) 2동,경기도 고양시 일산동구 지영동 638-1 2동,37.72054314,126.832622
주식회사진화이앤씨,일반,3843,1381.24,15,소기업,2016-04-22,관리지역/계획관리지역,임야,"탭, 밸브 및 유사장치 제조업 외 5 종","29133, 25122, 25123, 29192, 30201, 30202",,해당없음,해당없음,무,2,0,0,0,02-588-4251,031-977-6472,10314,경기도 고양시 일산동구 견달산로 360-44 (문봉동) 외 2필지,경기도 고양시 일산동구 문봉동 115-20번지 외 2필지,37.69675122,126.8220707
(주) 봉영,일반,5976,2429.2,40,소기업,2018-05-18,관리지역/계획관리지역,임야,"탭, 밸브 및 유사장치 제조업","29133, ","유공압자동제어밸브, 자동제어식 파열판 안전장치",해당없음,해당없음,무,2,0,777,518,031-977-8808,,410560,경기도 고양시 일산동구 문봉동 115-21 외 1필지,경기도 고양시 일산동구 문봉동 115-21 외 1필지,37.69677368,126.8228418
(주) 혜성산업,일반,1945,1378.84,20,소기업,2018-06-28,관리지역/계획관리지역,공장용지,"탭, 밸브 및 유사장치 제조업","29133, ",유공압자동제어밸브,해당없음,해당없음,무,0.5,0,208,312,032-683-6020,032-676-6021,10314,경기도 고양시 일산동구 견달산로 360-54 (문봉동),경기도 고양시 일산동구 문봉동 115-22번지,37.69656609,126.8243637
(주)프리다이스,일반,373.5,373.5,9,소기업,2023-11-30,도시지역/주거지역/준주거지역,대,"탭, 밸브 및 유사장치 제조업","29133, ",수도꼭지,해당없음,해당없음,무,0,0,0,0,02-539-1337,,412180,경기도 고양시 덕양구 향동로 201 (향동동) 10층 43호,경기도 고양시 덕양구 향동동 394 10층 43호,37.60741278,126.8917434
영남금속공업사,일반,0,396,6,소기업,2009-08-26,관리지역/계획관리지역,대,"탭, 밸브 및 유사장치 제조업","29133, ",수도꼭지,해당없음,해당없음,무,0,0,0,0,031-902-6893,031-902-6895,10432,"경기도 고양시 일산동구 노첨길36번길 81 (장항동, 영남금속)",경기도 고양시일산동구 장항동 615-13번지,37.63634619,126.7783043
고양탁주합동제조장,일반,630,373,12,소기업,1976-07-06,도시지역/녹지지역/자연녹지지역,공장용지,탁주 및 약주 제조업,"11111, ",탁주,5종,5종,무,0,0,0,0,031-962-6100,031-962-6073,10454,경기도 고양시 덕양구 대주로 506 (주교동),경기도 고양시 덕양구 주교동  218-3번지,37.65770562,126.8267453
(주)남도기업,일반,2818,484.52,8,소기업,1979-07-05,도시지역/녹지지역/자연녹지지역,대,"콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 1 종","23324, 23326",벽돌,해당없음,해당없음,무,0,0,0,0,02-3158-1332,02-3158-3009,10537,경기도 고양시 덕양구 흥도로 50 (화전동),경기도 고양시 덕양구 화전동 455-10번지,37.61394748,126.8677374
(주)뉴덕흥기업,일반,2569,660.36,10,소기업,2009-06-25,관리지역/계획관리지역,공장용지,"콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 1 종","23324, 23326",벽돌,해당없음,해당없음,무,0,0,0,0,031-964-0898,,10255,경기도 고양시 일산동구 공릉천로 300-30 (지영동) 외 1필지,경기도 고양시 일산동구 지영동 1085번지 외 1필지,37.7181874,126.840041
에스에이치콘크리트,일반,2302,371.75,3,소기업,2015-05-15,관리지역/계획관리지역,공장용지,"콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 1 종","23324, 23326","벽돌, 블럭",해당없음,해당없음,무,0.2,0.5,0.5,0.5,031-964-6690,031-964-6691,10255,경기도 고양시 일산동구 공릉천로 300-26 (지영동) 외 1필지,경기도 고양시 일산동구 지영동 1084번지 외 1필지,37.7186984,126.8395485
영신기업사,일반,3564,0,4,소기업,1999-03-23,도시지역/녹지지역/자연녹지지역,대,"콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 1 종","23324, 23326","벽돌,블럭",해당없음,해당없음,무,0,0,0,0,02-3158-0077,02-3158-0039,10537,"경기도 고양시 덕양구 화랑로165번길 44 (화전동, 영신기업사)",경기도 고양시 덕양구 화전동  423-2번지,37.61460827,126.8716409
(주)본네이처,일반,0,90,3,소기업,2020-03-11,관리지역/계획관리지역,공장용지,코르크 및 조물제품 제조업,"16300, ",코르크 가공품,해당없음,해당없음,무,0,0,500,0,02-797-8805,02-797-8806,10252,경기도 고양시 일산동구 은마길 31 -65(성석동) 아동 일부,경기도 고양시 일산동구 성석동 521-38 아동 일부,37.70981271,126.8052744
황룡 대나무,일반,735,145,3,소기업,2021-12-16,농림지역,공장용지,코르크 및 조물제품 제조업,"16300, ",대나무돗자리,해당없음,해당없음,무,0.02,0,300,200,,,10313,경기도 고양시 일산동구 동국로 269(식사동) 외 1필지,경기도 고양시 일산동구 식사동 724-12 외 1필지,37.69215556,126.8129138
