회사명,공장대표주소(도로명),공장대표주소(지번),업종명,전화번호,팩스번호,종업원수,생산품,주원자재
(주)그인토탈,"경기도 의왕시 이미로 40, C동 8층 801 (포일동)",경기도 의왕시 포일동 653번지 C동 8층 801,전시용 모형 제조업 외 5 종,070-8285-9997,070-4063-9997,9,"흡연부스, 안전체험장비, 놀이터용 장비 및 놀이기구","유.공압 실린더, 모터, UV램프, 필터류"
(주)금강써키트,경기도 의왕시 오전공업길 7 (오전동),경기도 의왕시 오전동 195번지,인쇄회로기판용 적층판 제조업 외 2 종,031-455-0788,031-455-0789,13,인쇄회로기판,
(주)금강씨엔티,"경기도 의왕시 이미로 40, D동 502호(포일동, 인덕원IT밸리)",경기도 의왕시 포일동 653 인덕원IT밸리 D동 502호,그 외 기타 일반목적용 기계 제조업,02-2281-1581,02-2281-1582,1,"기체분리막, 기체필터, 기체필터모듈","스테인리스, 철"
(주)금강전자,경기도 의왕시 고산로 74 (고천동) 성진아파트형공장,경기도 의왕시 고천동 407-1 성진아파트형공장,전기경보 및 신호장치 제조업,031-457-0119,031-455-4119,3,"화재수신기, 중계기","플라스틱, 철"
(주)금라이엔지,경기도 의왕시 이미로 40 (포일동) 인덕원IT밸리 A동 8층 815호,경기도 의왕시 포일동 653 인덕원IT밸리,육상 금속 골조 구조재 제조업 외 1 종,031-8069-8799,031-8069-8798,0,"매립형앵커,매립형레일,배수구연결구, 배수점검구, 점검로제작, 비상탈출미끄럼틀","철재,알미늄,스텐레스,플라스틱,탄소섬유,고무,수지"
(주)기성테크,"경기도 의왕시 오봉산단3로 25, 1동 918호(삼동)",경기도 의왕시 삼동 745 1동 918호,컴퓨터 제조업,,,5,컴퓨터제조업,"컴퓨터메인보드, 케이블, LCD패널, 터치패널"
(주)꼬루,"경기도 의왕시 이미로 40, A동 10층 1023-1 (포일동)",경기도 의왕시 포일동 653번지 A동 10층 1023-1,그 외 기타 달리 분류되지 않은 제품 제조업,031-8069-8100,02-6280-3665,0,"디자인소품, 향 관련 및 화장품류",
(주)나노엔텍,"경기도 의왕시 오전공업길 19, 9층 1,2,3,11,12 (오전동, 대현테크노월드)","경기도 의왕시 오전동 174번지 대현테크노월드 9층 1,2,3,11,12",그 외 기타 의료용 기기 제조업,031-457-5870,031-459-5990,35,체외진단 의료기기,
(주)나노젠,"경기도 의왕시 오전공업길 19, 11층 1104 (오전동, 대현테크노월드)",경기도 의왕시 오전동 174번지 대현테크노월드 11층 1104,화장품 제조업,031-457-0366,031-457-0367,2,Anti-mol NPS (천연보습제),1.2 Hexanediol
(주)나래크린,경기도 의왕시 한밭들1길 3 (고천동) 1층,경기도 의왕시 고천동 332-28,기타 직물제품 제조업,031-8068-5588,031-8068-5589,3,공산품용 마스크,부직포
(주)나예코스메틱,"경기도 의왕시 이미로 40, D동 8층 809 (포일동)",경기도 의왕시 포일동 653번지 D동 8층 809,화장품 제조업,031-8084-3800,031-8084-3804,11,화장품 ,
(주)남경텔레콤,"경기도 의왕시 이미로 40, D동 6층 605 (포일동)",경기도 의왕시 포일동 653번지 D동 6층 605,기타 무선 통신장비 제조업,031-429-5701,031-429-5770,7,통신중계기,"함체, 기구, PCB, IC, AMP"
(주)남영물산,경기도 의왕시 내손동 412-2번지,경기도 의왕시 내손동 412-2번지,"전기회로 개폐, 보호장치 제조업 외 2 종",031-425-6071,031-421-8556,15,수도동결장치,
(주)네오홀딩스,"경기도 의왕시 경수대로 209, 401호(고천동, 의왕월드비젼)",경기도 의왕시 고천동 234-6 의왕월드비젼 401호,구두류 제조업 외 1 종,031-427-0966,031-427-6662,4,"구두류, 기타신발","가죽, 나이론원단, 방투습원단, 고무 및 파일론 창, 인솔"
(주)노티스,"경기도 의왕시 경수대로 257, 9층 903 (고천동, 대영골든밸리) 9층 903호 외 2필지",경기도 의왕시 고천동 290-2번지 대영골든밸리 9층 903 9층 903호,기타 전기 변환장치 제조업 외 15 종,031-450-6670,031-450-6672,22,"전기변환장치, 기타 발전기, 케이블 조립체",케이블 및 코넥터등 중간재
(주)다솜옵틱스,"경기도 의왕시 경수대로 257, 4층 408 (고천동, 대영골든밸리) 외 1필지",경기도 의왕시 고천동 290-2번지 대영골든밸리 4층 408,안경 및 안경렌즈 제조업 외 1 종,031-450-6660,031-450-6661,14,정밀광학부품 제조,
(주)다우엘엔씨,경기도 의왕시 성고개로 53 (포일동) 에이동 3층 313호,경기도 의왕시 포일동 657-2번지,일반용 전기 조명장치 제조업,031-781-9115,031-781-9188,3,조명기구,"led소자, 철가공물,알루미늄하우징"
(주)단디메카,경기도 의왕시 오전공업길 19 (오전동) 대현테크노월드,경기도 의왕시 오전동 174-0 대현테크노월드,그 외 기타 일반목적용 기계 제조업,031-342-5700,031-342-5701,12,자동화 장비,"알루미늄, 전기, 전자 부품"
(주)대덕전력,"경기도 의왕시 오전공업길 22, 4층 402호(오전동, 동영벤처스텔)",경기도 의왕시 오전동 172 동영벤처스텔 4층 402호,전동기 및 발전기 제조업,,,6,태양광 발전장치,"케이블, 퓨즈, 차단기"
(주)대림소방공사,"경기도 의왕시 맑은내길 78, B동 지하1층 (오전동)",경기도 의왕시 오전동 182번지 B동 지하1층,그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,031-465-1501,031-629-6631,9,간이 스프링쿨런,"수도계량기, 체크벨브, 정수위볼벨브"
(주)대명전자,"경기도 의왕시 옻우물길 35 (오전동, 대명전자)",경기도 의왕시 오전동 189-1번지,인쇄회로기판용 적층판 제조업 외 2 종,031-429-6656,031-453-8694,9,전자회로기판,PCB
(주)대산정밀,경기도 의왕시 고래들길 35-4 (오전동),경기도 의왕시 오전동 129-6번지,주형 및 금형 제조업 외 2 종,031-451-0022,031-451-0020,20,"플라스틱 사출금형, 수경재배기",
(주)대성기업사,"경기도 의왕시 한밭들길 19 (고천동, 한국프뢰벨(주))",경기도 의왕시 고천동 399-1 번지,구조용 금속 판제품 및 공작물 제조업,031-456-5631,031-458-8927,11,"닥트가수, 부품",
(주)대성미생물연구소,"경기도 의왕시 덕영대로 103 (삼동, (주)대성미생물연구소)",경기도 의왕시 삼동 293번지,동물용 의약품 제조업 외 2 종,031-461-7103,031-461-0599,134,동물용 의약품,"종란,항생물질,비타민"
(주)대성하이텍,"경기도 의왕시 한밭들1길 19, 3층 (고천동, 씬시어빌딩)",경기도 의왕시 고천동 332-34번지 씬시어빌딩 3층,전자부품 실장기판 제조업,031-451-1975,031-451-1979,12,전자부품,"PCB, 납"
(주)대원석재,경기도 의왕시 월암길 64 (월암동),경기도 의왕시 월암동 309-1번지,건설용 석제품 제조업,031-424-8250,031-424-9250,12,"석재용 대리석, 화강석, 식탁",대리석
(주)대진시스템,"경기도 의왕시 경수대로 257, 4층 401호,402호,403호,503호 (고천동)","경기도 의왕시 고천동 290-2번지 4층 401호,402호,403호,503호",기타 무선 통신장비 제조업,031-429-1007,031-429-1608,19,핸드폰 SMT,
(주)더메이크,경기도 의왕시 이미로 40 (포일동) 비동 6층 6호,경기도 의왕시 포일동 653-0 비동 6층 6호,안경 및 안경렌즈 제조업 외 1 종,031-8084-3650,031-8084-3151,4,3D프린팅 제품,폴리아마이드
(주)더바움코리아,"경기도 의왕시 맑은내길 67, 2층 204 (오전동)",경기도 의왕시 오전동 150-24번지 2층 204,빵류 제조업,,031-739-5003,3,음식제조업,
(주)더정직한친구들,"경기도 의왕시 성고개로 53, A동 3층 3060 (포일동)",경기도 의왕시 포일동 657-2번지 A동 3층 3060,차류 가공업,1577-4020,031-5177-7400,4,발효음료,
(주)더좋은기술,"경기도 의왕시 한밭들1길 11, A동 4층 401 (고천동, 성우아파트형공장)",경기도 의왕시 고천동 332-33번지 성우아파트형공장 A동 4층 401,전자부품 실장기판 제조업,031-427-0118,031-429-0118,11,"LED, 네트워크","PCB, 전자부품"
(주)덕성포장,"경기도 의왕시 오봉산길 3 (고천동, 덕성포장)",경기도 의왕시 고천동 420번지 덕성포장,그 외 기타 종이 및 판지 제품 제조업,031-455-0871,031-457-5351,16,지함(골판지 박스),골판지
(주)데카,경기도 의왕시 오봉산단3로 32 (삼동),경기도 의왕시 삼동 731,기타 무선 통신장비 제조업,031-498-2957,031-498-2970,17,유무선 통신기기,케이블 등
(주)데코팔,"경기도 의왕시 오전공업길 13, A동 B2층 203 (오전동, 벽산선영테크노피아 A동)",경기도 의왕시 오전동 196-5번지 벽산선영테크노피아 A동 A동 B2층 203,제책업,031-427-3500,031-427-3501,4,쌤플북,"종이, PVC(씨트지)"
(주)덱센,"경기도 의왕시 이미로 40, A동 9층 917 (포일동)",경기도 의왕시 포일동 653번지 A동 9층 917,볼트 및 너트류 제조업 외 2 종,031-716-2321,031-8084-3084,4,"다웰바,특수장볼트 샘플, 시료 샘플, 특수조명기기",
(주)덴탈스튜디오,"경기도 의왕시 이미로 40, C동 1층 102 (포일동)",경기도 의왕시 포일동 653번지 C동 1층 102,치과용 기기 제조업,031-8069-7007,031-8069-7009,1,치과용 기자재,
(주)동림산업,"경기도 의왕시 오전공업길 52 (고천동, 알파디스플레이(주))",경기도 의왕시 고천동 394-3번지,기타 인쇄업 외 1 종,031-453-0151,031-453-0150,9,포리백인쇄,
(주)동양에프엘,"경기도 의왕시 성고개로 53, A동 5층 507 (포일동)",경기도 의왕시 포일동 657-2번지 A동 5층 507,액체 펌프 제조업,02-502-5188,02-502-5189,5,윤활기기,
(주)동호시스템,"경기도 의왕시 한밭들1길 11, B동 2층 203호 (고천동, 성우아파트형공장)",경기도 의왕시 고천동 332-33번지 성우아파트형공장 B동 2층 203호,전자부품 실장기판 제조업 외 5 종,031-477-7980,031-477-7981,6,"전자제품, 자동차부품","전자부품, PCB(인쇄회로기판)"
(주)드로브로스,"경기도 의왕시 이미로 40, C동 B1층 106 (포일동)",경기도 의왕시 포일동 653번지 C동 B1층 106,침구 및 관련제품 제조업,070-7506-7585,031-624-7588,9,침구류,침구
(주)디비케이,경기도 의왕시 오봉산단1로 38 (이동),경기도 의왕시 이동 745,이동전화기 제조업,031-443-5051,,48,"휴대폰 키패드, 윈도우","원판, PC, PAMM, 잉크"
(주)디스다임,"경기도 의왕시 고산로 46(고천동, 조성테크)",경기도 의왕시 고천동 332-44 조성테크,빵류 제조업,031-477-8098,031-477-4580,50,"케이크, 롤케이크","밀가루, 유제품"
(주)디엠엔티,"경기도 의왕시 경수대로 257, 703호 (고천동)",경기도 의왕시 고천동 290-2번지 703호,"기타 측정, 시험, 항해, 제어 및 정밀기기 제조업",031-450-6693,031-450-6695,25,PROBE UNIT,
(주)디오시스,"경기도 의왕시 오봉산단3로 25, 1동 5층 513호(삼동, 의왕테크노파크 더리브 비즈원)",경기도 의왕시 삼동 745 의왕테크노파크 더리브 비즈원 1동 5층 513호,전자감지장치 제조업,031-462-8894,,1,전자감지장치,"AL, PL, SUS, STEEL 등"
(주)디지탈맥스,"경기도 의왕시 고천공업로 52, 1층 (고천동)",경기도 의왕시 고천동 332-68번지 1층,컴퓨터 모니터 제조업 외 1 종,031-457-5644,031-458-5644,7,"LCD 모니터외, 텔레비젼",LCD panel
(주)디지탈솔루션,"경기도 의왕시 사그내4길 19 (고천동, 안양방송의왕지점)",경기도 의왕시 고천동 269-24 번지,기타 무선 통신장비 제조업 외 1 종,070-4348-2515,031-427-2120,5,"Wine Sever, IT-Trap",
(주)라인시스텍,경기도 의왕시 왕림길 22 (왕곡동),경기도 의왕시 왕곡동 239-4번지,"탭, 밸브 및 유사장치 제조업 외 1 종",031-456-9551,031-455-9552,5,배전반 및 수위조절기,
(주)래인,"경기도 의왕시 이미로 40, C동 6층 606-A (포일동)",경기도 의왕시 포일동 653번지 C동 6층 606-A,기타 광학기기 제조업,031-8084-3525,031-8084-3526,1,"레이저(마킹,용접)시스",
(주)레인보우스톤,"경기도 의왕시 오봉산단1로 12, 1동 8층 826호(이동)",경기도 의왕시 이동 732 1동 8층 826호,기타 운동 및 경기용구 제조업,031-421-7412,,0,기타 운동 및 경기용구 제조,철
(주)로섹,"경기도 의왕시 이미로 40, D동 9층 915,916 (포일동)","경기도 의왕시 포일동 653번지 D동 9층 915,916",그 외 기타 의료용 기기 제조업,031-8069-8275,031-8069-8277,3,조절성인공수정체,렌즈
(주)로젠시스,"경기도 의왕시 경수대로391번길 17, 4층 (오전동)",경기도 의왕시 오전동 124-5번지,기타 무선 통신장비 제조업,031-441-0775,031-441-0776,18,유무선통신장치,
(주)롬즈,"경기도 의왕시 오전공업길 19, 12층 4호 (오전동, 대현테크노월드)",경기도 의왕시 오전동 174번지 대현테크노월드 12층 4호,발광 다이오드 제조업 외 2 종,031-458-0576,031-458-2323,15,"led, led소자",
(주)루민비젼,"경기도 의왕시 이미로 40, C동 9층 906호 (포일동)",경기도 의왕시 포일동 653번지 C동 9층 906호,"라디오, 녹음 및 재생 기기 제조업 외 3 종",02-574-6583,02-574-6584,6,음향기기 ,"능동소자, 수동소자"
(주)루스,"경기도 의왕시 오전공업길 19, 9층 902 (오전동, 대현테크노월드)",경기도 의왕시 오전동 174번지 대현테크노월드 9층 902,일반용 전기 조명장치 제조업,070-4416-7088,,4,LED조명,
(주)루쏘코리아,"경기도 의왕시 한밭들1길 11, A동 4층 402-4 (고천동, 성우아파트형공장)",경기도 의왕시 고천동 332-33번지 성우아파트형공장 A동 4층 402-4,가정용 전기 난방기기 제조업 외 1 종,031-454-7898,031-454-8898,4,전기히터 온열제품,"히터, 철형케이스, pcb assy, 밧데리, 조끼"
(주)리모템,경기도 의왕시 옻우물길 59 (오전동),경기도 의왕시 오전동 130-2,"물질 검사, 측정 및 분석기구 제조업",031-381-2435,031-624-9908,10,"충격시험기, 재료시험기, 정밀측정장비, 시험기기외","철소재, 정밀센서, PCB보드, 서보모터, 드라이버, MCU보드"
(주)마스타식품,"경기도 의왕시 고산로 74, 1층 7호, 701호 (고천동, 성진아파트형공장)","경기도 의왕시 고천동 407-1번지 성진아파트형 1층 7호, 701호",기타 식품 첨가물 제조업 외 1 종,031-456-7814,031-455-3360,16,복합조미식품,
(주)마이크로레이저,"경기도 의왕시 오봉산단3로 25, 701호 (삼동)",경기도 의왕시 삼동 745 701호,기타 광학기기 제조업,031-462-7888,031-462-6888,6,레이저 기기,"광학부품, 기계가공품, 전기재료 부품"
(주)마이크로테크놀러지,"경기도 의왕시 오전공업길 13, 12층 1208 (오전동, 벽산선영테크노피아 A동)",경기도 의왕시 오전동 192-3번지 벽산선영테크노피아 A동 12층 1208,그 외 기타 전자부품 제조업,,,1,세라믹인터페이스 보드,
(주)멀티미디어링크,"경기도 의왕시 오전공업길 19, 7층 712호 (오전동, 대현테크노월드)",경기도 의왕시 오전동 174번지 대현테크노월드 7층 712호,컴퓨터 모니터 제조업,031-462-0292,031-462-0293,8,USB터치모니터,"LCD MODULE, TOUCH PANEL, PCB"
(주)메가클라우드,"경기도 의왕시 경수대로 209, 5층 504-1호 (고천동, 의왕월드비젼)",경기도 의왕시 고천동 234-6번지 의왕월드비젼 5층 504-1호,방송장비 제조업 외 4 종,070-7723-7119,070-4016-8610,3,"CCTV, 주차관제, 조명기구",
(주)메드스타,"경기도 의왕시 고래들길 35-12 (오전동, (주)진영)",경기도 의왕시 오전동 130-1번지,그 외 기타 의료용 기기 제조업 외 2 종,031-457-1111,031-457-2670,21,이비인후과 진료장비,
(주)메이크텍,"경기도 의왕시 철도박물관로 12, 3층 (삼동)",경기도 의왕시 삼동 428-25번지,기타 가정용 전기기기 제조업 외 3 종,031-462-9957,031-462-9958,4,"청소기필터, 초음파 용착기",
(주)멤스팩,"경기도 의왕시 오전공업길 13, 8층 7호 (오전동, 벽산선영테크노피아 A동)",경기도 의왕시 오전동 196-5번지 벽산선영테크노피아 8층 7호,반도체 제조용 기계 제조업 외 4 종,031-427-5535,031-427-7635,10,반도체 센서 패키지,
(주)명지건업,"경기도 의왕시 이미로 40, C동 7층 705 (포일동)",경기도 의왕시 포일동 653번지 C동 7층 705,일반용 전기 조명장치 제조업 외 1 종,02-484-2603,02-484-2603,3,LED조명,
(주)명진엠씨엠,"경기도 의왕시 철도박물관로 18-13(삼동, 삼동공장)",경기도 의왕시 삼동 436-10 삼동공장,절삭가공 및 유사처리업,,,16,반도체장비 기계부품,"알루미늄, 스테인레스"
(주)명코아콤,"경기도 의왕시 경수대로 209, 의왕월드비젼 702,3,4호 (고천동)","경기도 의왕시 고천동 234-6번지 의왕월드비젼 702,3,4호",기타 전기 변환장치 제조업 외 2 종,031-456-9942,031-458-8173,19,"컨버터,유무선장치",
(주)모든테크,"경기도 의왕시 한밭들길 26 (고천동, (주)모든테크)",경기도 의왕시 고천동 397번지,액정 표시장치 제조업 외 3 종,031-427-4214,031-427-4218,33,"렘프호우싱, 마스크",부직포 외
(주)모리스,경기도 의왕시 고래들길 15 (오전동),경기도 의왕시 오전동 38-3,주형 및 금형 제조업,031-456-7011,031-456-7015,10,"정밀프레스부품, 자동차부품, 전자부품","spcc, c2680, sus"
(주)모스브라더,"경기도 의왕시 오봉산단3로 25, 1동 520호(삼동)",경기도 의왕시 삼동 745 1동 520호,컴퓨터 제조업,,,1,컴퓨터제조업,"컴퓨터메인보드, 케이블, LCD패널, 터치패널"
(주)무진상사,"경기도 의왕시 오전공업길 13 (오전동, 벽산선영테크노피아 A동)",경기도 의왕시 오전동 192-3번지,기타 종이 및 판지 제조업 외 2 종,031-477-0213,031-477-0215,3,산업용 테이프,
(주)무한테크,"경기도 의왕시 오전공업길 13, A동 4층 402 (오전동, 벽산선영테크노피아 A동) 외 2필지",경기도 의왕시 오전동 192-3번지 벽산선영테크노피아 A동 A동 4층 402,"기타 측정, 시험, 항해, 제어 및 정밀기기 제조업",031-456-6730,031-456-6732,12,전자기기 시험장치 ,전자부품
(주)뮤제코스메틱,"경기도 의왕시 경수대로 411, 302호 (오전동)",경기도 의왕시 오전동 35-29번지 302호,화장품 제조업,070-7792-2020,031-427-0220,8,화장품(세럼),세럼액
(주)베네컴,"경기도 의왕시 경수대로 209, 404호 (고천동)",경기도 의왕시 고천동 234-6번지 404호,컴퓨터 제조업,031-427-6171,031-427-6178,9,산업용컴퓨터및모니터,
(주)베라코리아,"경기도 의왕시 이미로 40, A동 B104~B108호 (포일동)",경기도 의왕시 포일동 653번지 A동 B104~B108호,커피 가공업,031-458-1241,031-459-1252,18,원두커피,커피 생두
(주)베스트디지탈,"경기도 의왕시 경수대로 209, B1층 B101,B102,B103,B104,B105호(고천동, 의왕월드비젼)","경기도 의왕시 고천동 234-6 의왕월드비젼 B1층 B101,B102,B103,B104,B105호",방송장비 제조업 외 8 종,070-7729-3640,031-427-4663,28,"DVR,감시카메라",cctv 카메라
(주)보림하이텍,"경기도 의왕시 오전공업길 19, 1층 103,104,105 (오전동, 대현테크노월드)","경기도 의왕시 오전동 174번지 대현테크노월드 1층 103,104,105",텔레비전 제조업,031-452-0134,031-452-0646,6,TV모니터,"LED PANEL,TV BOARD,TV케이스"
(주)부일신소재,경기도 의왕시 한밭들1길 20 (고천동),경기도 의왕시 고천동 332-38,시계 및 시계부품 제조업,031-427-2641,,75,시계부품,세라믹
(주)브로드텍인터내셔널,"경기도 의왕시 이미로 40, D동 3층 303 (포일동)",경기도 의왕시 포일동 653번지 D동 3층 303,기타 무선 통신장비 제조업,031-756-0890,070-8849-0890,10,"무선통신장비(안테나),smartAMS","PCB, 구리잉크"
(주)비체,"경기도 의왕시 오전공업길 13, 제에이동 4층 408호(오전동, 벽산선영테크노피아)",경기도 의왕시 오전동 196-5 벽산선영테크노피아 제에이동 4층 408호,기타 직물제품 제조업,,031-429-6889,4,보건용 마스크,부직포
(주)비케이엠에스,"경기도 의왕시 경수대로391번길 14-13, 1층 (오전동)",경기도 의왕시 오전동 38-20번지 1층,그 외 기타 특수목적용 기계 제조업 외 1 종,031-454-7100,031-453-2100,4,"물필터 공기정화기, 소형 연마기 패드",플라스틱
(주)비투비,"경기도 의왕시 경수대로 209, 9층 1-4호 (고천동)",경기도 의왕시 고천동 234-6번지의왕월드비젼아파트형공장 의왕월드비젼 9층 1-4호,"전기회로 개폐, 보호장치 제조업 외 1 종",031-477-9931,031-477-9932,37,전자부품(컨넥터),
(주)삼승,경기도 의왕시 한밭들2길 1 (고천동),경기도 의왕시 고천동 332-45번지,가금류 가공 및 저장 처리업,031-451-4543,031-451-4544,41,육가공,
(주)삼양섬유,경기도 의왕시 벌새전리길 48 (고천동),경기도 의왕시 고천동 387-5번지,"직물, 편조원단 및 의복류 염색 가공업",031-459-0035,031-458-2007,27,"랏셀, 자수, 염가공",임가공
(주)삼인,경기도 의왕시 한밭들2길 12 (고천동),경기도 의왕시 고천동 332-53번지,운송장비 조립용 플라스틱제품 제조업 외 2 종,031-452-9714,031-452-9814,24,"사출금형,플라스틱전자부품",
(주)삼화플라스틱 A동,경기도 의왕시 맑은내길 90-10 (오전동),경기도 의왕시 오전동 186번지,주형 및 금형 제조업 외 1 종,031-428-0100,031-458-1188,75,플라스틱용기,
(주)삼화피앤티,"경기도 의왕시 맑은내길 60, (주)삼화피앤티(오전동)",경기도 의왕시 오전동 167 (주)삼화피앤티,포장용 플라스틱 성형용기 제조업,031-460-0202,031-452-1188,44,"포장포장용 플라스틱 성형물, 금형",몰드베이스 S55C
(주)삼화피앤티,경기도 의왕시 경수대로391번길 14 (오전동),경기도 의왕시 오전동 38-13번지,포장용 플라스틱 성형용기 제조업,031-460-0200,031-457-0500,21,플라스틱 성형물,몰드베이스 S55C
(주)삼화피앤티,경기도 의왕시 벌새전리길 48(고천동),경기도 의왕시 고천동 387-5,포장용 플라스틱 성형용기 제조업,031-460-0200,031-458-3434,25,포장용 플라스틱 성형용기,"PP수지, PET수지"
(주)삼화피앤티,"경기도 의왕시 맑은내1길 67, 지하, 지상 2 ~ 5층 (고천동)","경기도 의왕시 고천동 387-1 지하, 지상 2 ~ 5층",포장용 플라스틱 성형용기 제조업,031-428-0542,031-458-3434,99,플라스틱 화장품 용기,"ABS, PP, PN"
(주)삼화피앤티 제2공장,"경기도 의왕시 맑은내1길 67, 1층 (고천동)",경기도 의왕시 고천동 387-1 1층,포장용 플라스틱 성형용기 제조업 외 1 종,031-428-0500,031-457-3434,21,"포장용 플라스틱 성형용기, 금형","몰드베이스, S55C"
(주)새론테크놀로지,"경기도 의왕시 경수대로 209, 5층 5호 (고천동)",경기도 의왕시 고천동 234-6번지의왕월드비젼아파트형공장 의왕월드비젼 5층 5호,"전자기 측정, 시험 및 분석기구 제조업 외 1 종",031-349-1411,070-7507-1411,5,전자현미경,유리 등
(주)새영테크놀로지,"경기도 의왕시 오봉산단3로 25, 1동 15층 1517호(삼동)",삼동 745 1동 15층 1517호,배전반 및 전기 자동제어반 제조업 외 1 종,02-3464-6170,,2,"컨트롤모듈, 전기집진장치","고전압 모듈, 회로 차단기, 제어보드, 제어함체"
(주)샘디지텍,"경기도 의왕시 성고개로 53, A동 6층 618 (포일동)",경기도 의왕시 포일동 657-2번지 A동 6층 618,일반용 전기 조명장치 제조업,02-3487-2222,02-3487-2332,5,조명기,
(주)서광산업,"경기도 의왕시 고래들길 43-9 (오전동, 서광산업)",경기도 의왕시 오전동 141-1번지,기타 인쇄업 외 1 종,031-429-4951,031-429-4954,37,포장지,합성수지
(주)성원엔지니어링,"경기도 의왕시 맑은내길 34(오전동, 성원엔지니어링)",경기도 의왕시 오전동 789-153 성원엔지니어링,음ㆍ식료품 및 담배 가공기계 제조업,031-453-3106,,3,산업용 기계,스테인레스강
(주)세론,경기도 의왕시 한밭들1길 11 (고천동) 성우벤처빌 B동 205-2호,경기도 의왕시 고천동 332-33 성우벤처빌,기타 주변기기 제조업 외 5 종,,031-624-1585,2,초음파 수위계,"초음파진동자, PCB, 사출"
(주)세론,"경기도 의왕시 오봉산단1로 12, 708호(이동) 외 1필지",경기도 의왕시 이동 732 708호,기타 주변기기 제조업 외 5 종,032-4411-7872,,2,초음파 수위계,"초음파 진동자, PCB 사출"
(주)세양,"경기도 의왕시 이미로 40, C동 8층 806 (포일동)",경기도 의왕시 포일동 653번지 C동 8층 806,안경 및 안경렌즈 제조업,031-8069-8888,031-8069-8887,3,안경테 및 렌즈,
(주)세이프퀴슬,"경기도 의왕시 계원대학로 40, 반도프라자 701호 (내손동)",경기도 의왕시 내손동 757-4번지,기억장치 제조업 외 1 종,031-422-4002,031-422-4006,8,디지털홈유비쿼터스,
(주)세이프퀴슬,"경기도 의왕시 오봉산단3로 25, 507호, 508호, 509호(삼동)","경기도 의왕시 삼동 745 507호, 508호, 509호",기억장치 제조업 외 5 종,031-422-4002,031-422-4006,15,"가스차단기, 이동식프로판연소기, 전자식 타이머, 소화기, 화재경보기, 가스경보기","ABS사출물, PCB ASS'Y, Contlloer Gare Box, POM, Fe"
(주)세코스,"경기도 의왕시 이미로 40, C동 5층 518 (포일동)",경기도 의왕시 포일동 653번지 C동 5층 518,"물질 검사, 측정 및 분석기구 제조업",031-8084-3886,031-8084-3006,5,광학기기 제조,"현미경, 정밀 제진대, 스테이지"
