순번,단지명,회사명,지식산업센터명,공장대표주소(도로명),공장대표주소(지번),업종명,설립구분,종업원수,생산품,주원자재,공장크기,용지면적,건축면적,팩스번호
11,시화국가산업단지,(주)이노코스텍,,"경기도 시흥시 마유로238번길 17, 시화산단 3나 108-1호 1269-14 3나 108-1호 (정왕동)",경기도 시흥시 정왕동 1269-14번지 1269-14 3나 108-1호,포장용 플라스틱 성형용기 제조업,국가산업단지,42,화장품용기,플라스틱,중기업,0,2837.46,070-8677-7222
12,시화국가산업단지,(주)신영레이저,,"경기도 시흥시 공단2대로76번길 3, 1바 301-2 (정왕동)",경기도 시흥시 정왕동 1699-8번지 1바 301-2,산업용 트럭 및 적재기 제조업,국가산업단지,1,산업용 지게차 부품,철판,소기업,3304.9,900.67,070-8673-8070
13,시화국가산업단지,수성연마,길산에스에스티 지식산업센터,"경기도 시흥시 경기과기대로 219,  (정왕동) 1동 3층 302호",경기도 시흥시 정왕동 1277-14 1동 3층 302호,그 외 기타 금속가공업,국가산업단지,1,연마,,소기업,73.96,242.89,070-8658-2503
14,시화국가산업단지,몰드프라자,삼양스마트테크노파크 지식산업센터,"경기도 시흥시 공단1대로 13, (정왕동, 삼양 스마트 테크노파크) 1동 4층 423호",경기도 시흥시 정왕동 1234-12 삼양 스마트 테크노파크 1동 4층 423호,주형 및 금형 제조업,국가산업단지,1,"금형 및 부품, 반도체장비 부품","스틸, 알루미늄",소기업,0,62.35,070-8657-4952
15,시화국가산업단지,(주)크로스테크,,"경기도 시흥시 희망공원로 116, [정왕동 1361 2라 516] (정왕동)",경기도 시흥시 정왕동 1361번지,차체 및 특장차 제조업 외 1 종,국가산업단지,9,플라스틱제품 ,,소기업,0,684,070-8650-3565
16,시흥매화일반산업단지,(주)사이버텔브릿지,,경기도 시흥시 매화산단3길 67 (매화동) A1-5,경기도 시흥시 매화동 A1-5,이동전화기 제조업 외 2 종,일반산업단지,7,이동전화기,"반도체부품(LCD, 카메라, 플라스틱 사출, 마그네슘 주조)",소기업,0,1083.96,070-8630-7003
17,시화국가산업단지,링크투어스(주),,"경기도 시흥시 경기과기대로 239,  시화단지 3나 205호 (정왕동)",경기도 시흥시 정왕동  1278-4번지,컨베이어장치 제조업,국가산업단지,1,컨베이어벨트,"LIS, WMS",소기업,0,569.1,070-8630-3371
18,시화국가산업단지,플러스원,,"경기도 시흥시 공단2대로 80, 1699-9, 1바 301-3 (정왕동)","경기도 시흥시 정왕동 1699-9번지 1699-9, 1바 301-3",그 외 기타 특수목적용 기계 제조업,국가산업단지,6," 에어발란스, 자동화설비",철,소기업,528.8,355.68,070-8290-3691
19,시화국가산업단지,원테크,,"경기도 시흥시 정왕천로 23, 가동 2호 [시화산단 3바 506호](정왕동, CKT(주))",경기도 시흥시 정왕동 2194-6 CKT(주) 가동 2호 [시화산단 3바 506호],절삭가공 및 유사처리업,국가산업단지,1,반도체 설비부품,"스테인레스, 철판",소기업,0,19.83,070-8282-8292
20,시화국가산업단지,제이원(J.ONE),,"경기도 시흥시 옥구천동로 198 (정왕동, (주)대광기계제작소)",경기도 시흥시 정왕동 1256번지,금속 캔 및 기타 포장용기 제조업,국가산업단지,2,화장품 용기,"알루미늄 캡, 사라, ABS숄더, 화장품 블리스터 등",소기업,0,1123,070-8277-2400
21,시화국가산업단지,(주)평화테크,,"경기도 시흥시 산기대학로 76, 1254 1나 501호 (정왕동)",경기도 시흥시 정왕동 1254번지,그 외 기타 의료용 기기 제조업 외 1 종,국가산업단지,1,"의료기, 반도체 장비","철, 스텐레스",소기업,0,407,070-8255-7007
22,시흥매화일반산업단지,(주)재화산업,,"경기도 시흥시 매화산단로 140(매화동, 주식회사 재연)",경기도 시흥시 매화동 836-4 주식회사 재연,그 외 기타 전자부품 제조업 외 1 종,일반산업단지,27,"전자제품 부속품, 교정용 의료기기",합성수지,소기업,0,1077.69,070-8255-3396
23,시화국가산업단지,다정산업,,"경기도 시흥시 공단1대로28번길 15, 1다 207 (정왕동)","경기도 시흥시 공단1대로28번길 15, 1다 207 (정왕동)",고무 의류 및 기타 위생용 비경화 고무제품 제조업,국가산업단지,11,"고무제품,전자부품",,소기업,0,198.34,070-8255-1190
24,시화국가산업단지,엔와이티,,"경기도 시흥시 공단1대로379번길 18, 4나 508 (정왕동)",경기도 시흥시 정왕동 1292-1번지 4나 508,그 외 기타 금속가공업,국가산업단지,6,유브이경화기,알루미늄 합금,소기업,0,579.92,070-8255-0147
25,시화국가산업단지,다다엔씨,동우디지털파크,"경기도 시흥시 정왕천로 197, B동 1층 131 (정왕동, 동우디지털파크(정왕천서로 150))",경기도 시흥시 정왕동 1288-2번지 동우디지털파크(정왕천서로 150) B동 1층 131,주형 및 금형 제조업,국가산업단지,1,금형,,소기업,42.14,120.76,070-8248-5587
26,시흥매화일반산업단지,에이케이솔루션즈(주),리드스마트스퀘어,"경기도 시흥시 매화산단3길 1, 922호(매화동) 922호 외 1필지",경기도 시흥시 매화동 846 922호 922호 외 1필지,컴퓨터 제조업 외 1 종,일반산업단지,12,산업용컴퓨터,"메인보드, 산업용 저장장치",소기업,107.63,674.5,070-8240-2130
27,시화국가산업단지,아토정밀,타원타크라6차,"경기도 시흥시 옥구천동로 218, (정왕동, 타원타크라 6차 지식산업센터) B동 6층 622호",경기도 시흥시 정왕동 1255-10 타원타크라 6차 지식산업센터 B동 6층 622호,절삭가공 및 유사처리업 외 1 종,국가산업단지,4,"오일레스 베어링, 금속부품 및 반도체 부품 가공","고력황동, S45C, SUS",소기업,71.07,222.13,070-8233-8103
28,시화국가산업단지,주현레이저,,"경기도 시흥시 공단1대로196번길 72, 2라 205 (정왕동)",경기도 시흥시 정왕동 1265-4번지 2라 205,운송장비 조립용 플라스틱제품 제조업,국가산업단지,3,자동차부품,플라스틱,소기업,0,116,070-8233-8080
29,시화멀티테크노밸리,에이스테크(주),,"경기도 시흥시 엠티브이25로20번길 51, , 시화MTV 3사 405호(정왕동, 경림철강(주))","경기도 시흥시 정왕동 2664-4 경림철강(주) , 시화MTV 3사 405호",그 외 기타 전기장비 제조업,국가산업단지,5,진공브레이징로,"몰리브텐, 스텐레스",소기업,0,330.58,070-8230-7390
30,시화국가산업단지,오토FA,길산에스에스티 지식산업센터,"경기도 시흥시 경기과기대로 219,  (정왕동) 1동 5층 506호",경기도 시흥시 정왕동 1277-14 1동 5층 506호,그 외 기타 전기장비 제조업,국가산업단지,2,전기모터 조립,전기모터,소기업,70.504,132.09,070-8225-2050
31,시화멀티테크노밸리,(주)비콘웨이브,,"경기도 시흥시 엠티브이25로58번길 60, 3사 305-1호 (정왕동)",경기도 시흥시 정왕동 2620-5번지 3사 305-1호,전자부품 실장기판 제조업 외 1 종,국가산업단지,30,"컴퓨터주변장치 제조, 전자부품 실장기판 제조 ",전자부품 ,소기업,1666.4,2515.49,070-8220-8931
32,시화국가산업단지,(주)빔텍,,"경기도 시흥시 군자천로 127, 1363-6, 2라407 (정왕동)","경기도 시흥시 정왕동 1363-6번지 1363-6, 2라407","기타 측정, 시험, 항해, 제어 및 정밀기기 제조업",국가산업단지,14,"삼차원측정기, 비전검사설비, 자동화설비등 제작",,소기업,823,780.95,070-8220-8558
33,시화국가산업단지,(주)유신에스티,,"경기도 시흥시 공단3대로 187, 2바 1005-1호(정왕동, 주식회사 유신에스티) 외 1필지",경기도 시흥시 정왕동 2204-16 주식회사 유신에스티 2바 1005-1호 외 1필지,그 외 기타 금속가공업,국가산업단지,12,지게차 캐리지 및 부품,"후판,산소LPG가스",소기업,3297.6,3073.18,070-8220-0057
34,시화국가산업단지,(주)유신에스티,,"경기도 시흥시 공단2대로76번길 3, 1바 301-2 (정왕동)",경기도 시흥시 정왕동 1699-8번지 1바 301-2,산업용 트럭 및 적재기 제조업,국가산업단지,1,산업용 트럭 및 적재기,금속,소기업,0,552.16,070-8220-0057
35,,주식회사 서로네트웍,,"경기도 시흥시 미산로 131, 2층 (미산동)",경기도 시흥시 미산동 347-9번지 2층,방송장비 제조업 외 3 종,일반,4,"전광판, 마이크, 방송장치, CCTV",,소기업,0,139.08,070-7966-1619
36,시화국가산업단지,(주)로텀테크,타원타크라6차,"경기도 시흥시 옥구천동로 218, (정왕동, 타원타크라 6차 지식산업센터) A동 7층 702호",경기도 시흥시 정왕동 1255-10 타원타크라 6차 지식산업센터 A동 7층 702호,기타 절연선 및 케이블 제조업,국가산업단지,6,산업용 모터케이블,케이블,소기업,0,200,070-7966-0981
37,시화국가산업단지,(주)이에스브이,,"경기도 시흥시 경제로 185, 2라 526 (정왕동)","경기도 시흥시 경제로 185, 2라 526 (정왕동)","레이더, 항행용 무선기기 및 측량기구 제조업 외 1 종",국가산업단지,50,"블랙박스,내비게이션",,중기업,0,1003,070-7860-9663
38,시흥매화일반산업단지,하이웍스,,경기도 시흥시 매화산단3길 67 (매화동) A1-5 3층,경기도 시흥시 매화동 A1-5 3층,기타 무선 통신장비 제조업,일반산업단지,1,"중계기, 네비게이션, 블랙박스",PBA Assy,소기업,0,330,070-7838-5211
39,시화국가산업단지,태주전자,트윈지식산업센터,"경기도 시흥시 정왕천로 155, (정왕동, (주)트윈시스템) B동 1층 B102호",경기도 시흥시 정왕동 1286-1 (주)트윈시스템 B동 1층 B102호,경성 인쇄회로기판 제조업,국가산업단지,5,PCB,PCB원료,소기업,0,66,070-7809-8170
40,시흥매화일반산업단지,(주)파이시스네트웍스,,"경기도 시흥시 매화산단3길 58, 201호(매화동)",경기도 시흥시 매화동,유선 통신장비 제조업 외 1 종,일반산업단지,2,근거리 무선 통신 장치,"PCB, 전자부품 등",소기업,0,131.6,070-7614-4055
41,,(주)성신양행,,"경기도 시흥시 호현로 132-1, 2층 (대야동)",경기도 시흥시 대야동 140-5번지 2층,침구 및 관련제품 제조업 외 23 종,일반,11,의류,,소기업,0,222,070-7614-3757
42,,주식회사 나인,,경기도 시흥시 구미2길 7 (계수동),경기도 시흥시 계수동 488-3번지,산업용 송풍기 및 배기장치 제조업,일반,5,"PVC FAN, PVC DUCT",,소기업,0,129,070-7610-9060
43,시화국가산업단지,지케이메탈(주),,"경기도 시흥시 군자천로9번길 2,  시화단지 2바 516호 (정왕동)",경기도 시흥시 정왕동  2178-6번지,그 외 기타 1차 철강 제조업,국가산업단지,2,스텐레스,스틸,소기업,0,545.45,070-7585-9823
44,시화국가산업단지,삼아기공,,"경기도 시흥시 정왕천로 223, 3나505-1 (정왕동)",경기도 시흥시 정왕동 1289-4번지 3나505-1,절삭가공 및 유사처리업,국가산업단지,1,"산업기계부품,반도체부품","AL, STS 외",소기업,0,86,070-7585-7047
45,,위너컴퍼니,,"경기도 시흥시 양우재길 14-1 (미산동, 유니온정밀)",경기도 시흥시 미산동 234-7번지 유니온정밀,그 외 자동차용 신품 부품 제조업 외 4 종,일반,6,"차량용 반사판, 건물명 판등","알류미늄,반사지,보호필름",소기업,0,199.01,070-7548-7386
46,시화멀티테크노밸리,(주)해든트레이딩,,"경기도 시흥시 시화호수로 310-29, (3사1207호) (정왕동)",경기도 시흥시 정왕동 2824-6 (3사1207호),포장 및 충전업,국가산업단지,5,간장 및 굴소스 포장,,소기업,0,744,070-7545-5560
47,시화국가산업단지,(주)가온신소재,,"경기도 시흥시 소망공원로 334, 3라402-1 106호(정왕동)",경기도 시흥시 정왕동 1286-11 3라402-1 106호,기타 1차 비철금속 제조업,국가산업단지,11,2차전지용 리드탭소재,"AL, CU",소기업,992.71,1358.28,070-7545-5413
48,,엔디테크놀로지,건영테크노밸리,"경기도 시흥시 해송십리로 472-11, 배곧신도시 도시지원시설용지 8-1 (정왕동) 1동 7층 43호",경기도 시흥시 정왕동 배곧신도시 도시지원시설용지 8-1 1동 7층 43호,일반철물 제조업,일반,2,특수시설용 디지털 도어락,"다이캐스팅, ABS",소기업,51.03,51.03,070-7543-1392
49,시화국가산업단지,(주)다온이엔티,,"경기도 시흥시 마유로20번길 18, 시화산단 3바 811호(정왕동, 동양플랜트산업)",경기도 시흥시 정왕동 2180-4 동양플랜트산업 시화산단 3바 811호,기체 여과기 제조업,국가산업단지,5,"백필터, 스크러버","스테인리스 강재, 일반 구조용 압연강재",소기업,0,165,070-7543-0940
50,시화국가산업단지,(주)제이에스씨,,"경기도 시흥시 마유로118번길 110, 3라521 (정왕동)",경기도 시흥시 정왕동 1383-4번지 3라521,경성 인쇄회로기판 제조업,국가산업단지,1,인쇄회로기판,"철,금,PCB",소기업,0,155.37,070-7543-0571
51,시화국가산업단지,대원,,"경기도 시흥시 공단1대로322번길 146, 2099-4번지, 3마 620호 (정왕동)",경기도 시흥시 정왕동 2099-4번지,주방용 전기기기 제조업,국가산업단지,3,식기세척기,부품 등,소기업,4711.2,1311.9,070-7525-4590
52,시화국가산업단지,(주)이노파트너스,삼양스마트테크노파크 지식산업센터,"경기도 시흥시 공단1대로 13, (정왕동, 삼양 스마트 테크노파크) 1동 8층 814호",경기도 시흥시 정왕동 1234-12 삼양 스마트 테크노파크 1동 8층 814호,"전자기 측정, 시험 및 분석기구 제조업",국가산업단지,1,계측기,"경사계, 수위계",소기업,42.2,139.32,070-7500-5809
53,시화국가산업단지,(주)현대틸스,,"경기도 시흥시 공단2대로 300, 3바302 (정왕동)",경기도 시흥시 정왕동 2191-5번지 3바302,방송장비 제조업 외 2 종,국가산업단지,5,CCTV,사출부춤 등,소기업,0,495,070-7500-3420
54,시화국가산업단지,(주)세보스틸,,"경기도 시흥시 경제로 195, 시화단지 2라 428호 (정왕동)",경기도 시흥시 정왕동 1362-12번지 시화단지 2라 428호,그 외 기타 1차 철강 제조업,국가산업단지,3,"환봉,마환봉 절단품",특수강,소기업,1660.5,1380.14,070-7500-2845
55,시화국가산업단지,컷팅엣지,코포모테크노센타Ⅱ,"경기도 시흥시 공단1대로 341, (정왕동) 1동 3층 305호",경기도 시흥시 정왕동 1289-6 1동 3층 305호,그 외 기타 금속가공업,국가산업단지,1,톱날,금속류,소기업,0,76.6,070-7500-2119
56,시화국가산업단지,비에스스틸,,"경기도 시흥시 마유로32번길 56,  시화단지 3바 705호 (정왕동)",경기도 시흥시 정왕동  2186-5번지,냉간 압연 및 압출 제품 제조업 외 1 종,국가산업단지,2,코일,"동, 스텐, 철",소기업,0,495.87,070-7500-1889
57,시흥매화일반산업단지,(주)에스케이하이테크,,"경기도 시흥시 매화산단로 139, A3-10(매화동)",경기도 시흥시 매화동 89 A3-10,그 외 기타 전자부품 제조업 외 2 종,일반산업단지,2,휴대폰 부품 외,"알루미늄, 인청동",소기업,0,396.7,070-7500-0336
58,,주식회사 큰우물,,"경기도 시흥시 범안로266번길 44-14, 1층 (계수동)",경기도 시흥시 계수동 323-3번지 1층,"치약, 비누 및 기타 세제 제조업 외 3 종",일반,4,"세척제, 탈취제, 토양개량제 등",탄산칼륨,소기업,0,200,070-7469-4272
59,시화국가산업단지,(주)다누시스,,"경기도 시흥시 희망공원로 46, 2바 301호(제2동 A-3동)(정왕동)",경기도 시흥시 정왕동 2090-1 2바 301호(제2동 A-3동),구조용 금속 판제품 및 공작물 제조업,국가산업단지,4,"함체, 금속기둥 외",철,소기업,0,440,070-7167-0707
60,시흥매화일반산업단지,(주)아산에어테크,리드스마트스퀘어,"경기도 시흥시 매화산단3길 1, 716호(매화동) 716호",경기도 시흥시 매화동 846 716호 716호,공기 조화장치 제조업,일반산업단지,3,필터박스 및 에어챔버,아연도함석,소기업,28.5,178.64,070-7159-1280
61,시흥매화일반산업단지,인우시스템(주),,"경기도 시흥시 매화산단1길 36, A11-1(도창동)",경기도 시흥시 도창동 517-7 A11-1,구조용 금속 판제품 및 공작물 제조업,일반산업단지,31,현금지급기 부스 외,철판,소기업,1705,3842.33,070-7016-0866
62,시화국가산업단지,JMTS,타원타크라6차,"경기도 시흥시 옥구천동로 218, (정왕동, 타원타크라 6차 지식산업센터) A동 2층 220호",경기도 시흥시 정왕동 1255-10 타원타크라 6차 지식산업센터 A동 2층 220호,절삭가공 및 유사처리업,국가산업단지,1,CNC가공,"철, 알루미늄, 스텐레스 등",소기업,49.99,156.24,070-7016-0457
63,시화국가산업단지,(주)이호푸드,,"경기도 시흥시 옥구천서로81번길 8, 시화단지 1마 422호 (정왕동)",경기도 시흥시 정왕동 1356-8번지,수산동물 냉동품 제조업,국가산업단지,26,"냉동 가자미, 갈치, 고등어 등 냉동 수산물 등","가자미, 갈치, 고등어 등 냉동 수산물",소기업,1679.2,3595.42,070-7005-5223
64,,(주)본에스티스,,"경기도 시흥시 서울대학로 59-47 (정왕동) 706호, 707호","경기도 시흥시 정왕동 2578-0 706호, 707호",화장품 제조업,일반,10,화장품,"정제수, 글리세린, 보습제",소기업,0,355.97,070-5172-2474
65,시화국가산업단지,(주)디아이이앤티,,"경기도 시흥시 마유로82번길 74, 2098-2 (정왕동)(정왕동, 신창산업)",경기도 시흥시 정왕동 2098-2 신창산업 2098-2 (정왕동),금속탱크 및 저장용기 제조업 외 1 종,국가산업단지,1,금속탱크,STS,소기업,0,364.5,070-5138-1040
66,시화국가산업단지,전진테크,동우디지털파크,"경기도 시흥시 정왕천로 197, B동 1층 132 (정왕동, 동우디지털파크(정왕천서로 150))","경기도 시흥시 정왕천로 197, B동 1층 132 (정왕동, 동우디지털파크(정왕천서로 150))",절삭가공 및 유사처리업,국가산업단지,1,기계부품,,소기업,0,50,070-5017-0764
67,시화국가산업단지,제이피이노베이션,,"경기도 시흥시 산기대학로 24, 1나 302 (정왕동)",경기도 시흥시 정왕동 1242-1번지,도장 및 기타 피막처리업,국가산업단지,2,금속 및 비금속 코팅,페릴린 코팅,소기업,0,214.5,070-4850-9198
68,시화국가산업단지,태영기계,,"경기도 시흥시 희망공원로 28, 2바 601호(정왕동)",경기도 시흥시 정왕동 2176-1 2바 601호,절삭가공 및 유사처리업 외 1 종,국가산업단지,1,반도체 부품가공 및 기타 부품 임가공 외,"사급(AL, S45C, SCM4, SC46 등등)",소기업,0,247.5,070-4833-3454
69,시화멀티테크노밸리,동진콤프레셔,,경기도 시흥시 정왕동 2825-6번지 시화MTV 3사 1306,경기도 시흥시 정왕동 2825-6번지 시화MTV 3사 1306,기타 공학 연구개발업,국가산업단지,1,기타 공학 연구개발업,,소기업,0,214.5,070-4821-2769
70,시화멀티테크노밸리,(주)수인콤프레셔,,경기도 시흥시 정왕동 2825-6번지 시화MTV 3사 1306,경기도 시흥시 정왕동 2825-6번지 시화MTV 3사 1306,기타 공학 연구개발업,국가산업단지,8,기타 공학 연구개발업,,소기업,0,66,070-4821-2768
71,,(주)글로벌와이제이,,경기도 시흥시 서울대학로 59-47 (정왕동) 301호,경기도 시흥시 정왕동 2578-0 301호,건설 및 채광용 기계장비 제조업,일반,5,유압식 타격 파일 드라이버,철강,소기업,0,191.33,070-4756-4682
72,시화국가산업단지,(주)제이에스엔지니어링,,"경기도 시흥시 경기과기대로 239,  시화단지 3나 205호 (정왕동)",경기도 시흥시 정왕동  1278-4번지,컨베이어장치 제조업,국가산업단지,10,컨베이어,"철, 스텐",중기업,0,3219.3,070-4739-4804
73,시화국가산업단지,(주)제이에스엔지니어링,,"경기도 시흥시 공단1대로196번길 132, 2091-6 2마 604호 (정왕동)",경기도 시흥시 정왕동 2091-6번지 2091-6 2마 604호,컨베이어장치 제조업,국가산업단지,7,컨베이어,철강,소기업,1650,1047.45,070-4739-4804
74,,(주)엠엠피이엔지,,경기도 시흥시 군자로335번길 18-26 (거모동),경기도 시흥시 거모동 779-3번지,그 외 기타 특수목적용 기계 제조업,일반,4,마그네틱 교반기,마그네틱 ,소기업,231,155.36,070-4643-3010
75,시화국가산업단지,(주)새아스,,"경기도 시흥시 마유로82번길 1, 3마 132 (정왕동)",경기도 시흥시 정왕동 1372-17번지 3마 132,구조용 금속 판제품 및 공작물 제조업 외 1 종,국가산업단지,3,"차양, 울타리, 차선분리대","STS, Steel, AL, HDPE",소기업,0,300,070-4369-4050
76,시화국가산업단지,제일금속(주),,"경기도 시흥시 군자천로237번길 76, 2나 209호 (정왕동)",경기도 시흥시 정왕동 1260-8번지 2나 209호,자동차 엔진용 신품 부품 제조업 외 1 종,국가산업단지,40,자동차엔진용부품,,소기업,3438,3658.99,070-4325-9970
77,시화국가산업단지,(주)에이티에스,,"경기도 시흥시 마유로32번길 28, 3바 804 (정왕동)",경기도 시흥시 정왕동 2181-4번지 3바 804,산업용 그 외 비경화 고무제품 제조업 외 6 종,국가산업단지,22,"금속창호,방진고무, 소음기, 완충장치(공기스프링)","고무, 보강사, 스틸",소기업,3910.2,3057.68,070-4325-7229
78,시화국가산업단지,(주)에이티에스,,"경기도 시흥시 공단1대로79번길 19, 정왕동 1244-4, 1나 705 (정왕동)","경기도 시흥시 정왕동 1244-4번지 정왕동 1244-4, 1나 705",산업용 그 외 비경화 고무제품 제조업 외 6 종,국가산업단지,19,"소음기,방음벽,고무제품","고무, 보강사",소기업,1824.5,508.24,070-4325-7229
79,시화국가산업단지,(주)하델시스,,"경기도 시흥시 희망공원로 116, 1361 2라 516호 (정왕동)",경기도 시흥시 정왕동 1361번지 1361 2라 516호,운송장비 조립용 플라스틱제품 제조업 외 3 종,국가산업단지,9,전기장비용 소형사출품,스틸,소기업,1648,2219.87,070-4324-2352
80,시화국가산업단지,한중축산유통,타원타크라6차,"경기도 시흥시 옥구천동로 218, (정왕동, 타원타크라 6차 지식산업센터) B동 5층 522호",경기도 시흥시 정왕동 1255-10 타원타크라 6차 지식산업센터 B동 5층 522호,육류 포장육 및 냉동육 가공업 (가금류 제외),국가산업단지,3,양고기 포장육,양 사각갈비,소기업,71.07,222.13,070-4320-8992
81,시화국가산업단지,(주)현준테크,,"경기도 시흥시 옥구천동로 250, (2나 114) (정왕동, 대한메디칼시스템)",경기도 시흥시 정왕동 1255-13번지 대한메디칼시스템 (2나 114),절연 코드세트 및 기타 도체 제조업,국가산업단지,12,의료기부품(케이블하네스),,소기업,0,165,070-4279-3373
82,시화국가산업단지,에이치에스실리콘(주),,"경기도 시흥시 마유로10번길 13, 3바 821 (정왕동)",경기도 시흥시 정왕동 2180-14번지 3바 821,그 외 기타 고무제품 제조업,국가산업단지,3,"실리콘,고무",실리콘,소기업,1648.1,579.8,070-4275-1583
83,시화국가산업단지,(주)에이치에스솔루션,,"경기도 시흥시 공단1대로196번길 77, 2라 401 (정왕동)","경기도 시흥시 공단1대로196번길 77, 2라 401 (정왕동)",절삭가공 및 유사처리업 외 1 종,국가산업단지,3,"금속제품, 기계부품",철강,소기업,0,430,070-4208-3324
84,시화국가산업단지,에이치에스솔루션,,"경기도 시흥시 공단1대로196번길 77, 2라 401 (정왕동)","경기도 시흥시 공단1대로196번길 77, 2라 401 (정왕동)",그 외 기타 금속가공업,국가산업단지,10,레이져가공품,,소기업,0,635.08,070-4208-3324
85,시화국가산업단지,(주)신우이엔지,타원타크라6차,"경기도 시흥시 옥구천동로 218, (정왕동, 타원타크라 6차 지식산업센터) B동 2층 209호",경기도 시흥시 정왕동 1255-10 타원타크라 6차 지식산업센터 B동 2층 209호,배전반 및 전기 자동제어반 제조업 외 1 종,국가산업단지,3,배전반 및 자동제어반,전선 및 자동제어기기,소기업,57.24,89.46,070-4175-6639
86,시화국가산업단지,(주)신우이엔지,삼양스마트테크노파크 지식산업센터,"경기도 시흥시 공단1대로 13, (정왕동, 삼양 스마트 테크노파크) 1동 6층 616호",경기도 시흥시 정왕동 1234-12 삼양 스마트 테크노파크 1동 6층 616호,배전반 및 전기 자동제어반 제조업 외 7 종,국가산업단지,3,"전기로 및 전기제어반, 자동측정장비","AL6061, 전선, PLC",소기업,46.031,274.054,070-4175-6639
87,,동일비엔티,,경기도 시흥시 금오로327번길 10-4 (과림동),경기도 시흥시 과림동 629-19,기타 기계.장비 조립용 플라스틱 제품 제조업,일반,4,자동문 롤러 기계 부품,"MC, 나일론, 아세탈",소기업,415,85.095,070-4153-9975
88,,(주)미강조명,,"경기도 시흥시 방아다리길 7-8 (대야동, (주)미강조명)",경기도 시흥시 대야동 222번지 (주)미강조명,일반용 전기 조명장치 제조업 외 3 종,일반,5,"실내조명기구, 가로등기구, 경관조명기구","LED,PCB,컨버터 등",소기업,0,230.7,070-4126-0453
89,시화국가산업단지,코리아프랜트써비스(주),,"경기도 시흥시 옥구천동로 98, G동 104호 (정왕동)",경기도 시흥시 정왕동 1702번지 G동 104호,"탭, 밸브 및 유사장치 제조업",국가산업단지,4,밸브,주물 등,소기업,0,165,070-4116-7146
