회사명,최초등록일,종업원수,생산품정보,공장소재지주소,업종번호정보,업종명,전화번호
(주)미클로코리아,2023-08-02,5,"셔츠, 블라우스, 점퍼, 바지, 아동복 ",경기도 광명시 소하동 1344 광명G타워 B동 14층 1401호 외 1필지,14191,셔츠 및 블라우스 제조업,02-3446-1400
(주)보경미래텍,2020-08-12,4,마스크,경기도 광명시 하안동 201 광명시범공단공장형아파트 3동 2층 4호,13229,기타 직물제품 제조업,02-6382-2300
(주)보광,2011-10-06,57,골프웨어 티셔츠,경기도 광명시 소하동 1337-1 번지 갑원빌딩 3층,14191,셔츠 및 블라우스 제조업 외 1 종,02-897-4025
(주)보문테크닉스,2022-09-14,7,"LED전광판, VIDEO WALL",경기도 광명시 소하동 1365 에이스 광명타워 210호 210호,28423,전시 및 광고용 조명장치 제조업 외 5 종,02-2026-3135
(주)봉균상사,2019-03-18,1,운동용 안전매트,경기도 광명시 하안동 201번지 2동 4층 4-2,33309,기타 운동 및 경기용구 제조업 외 1 종,02-898-0732
(주)블루스웰,2015-04-13,2,"살균수제조장치, 초음파가습기",경기도 광명시 소하동 1345번지 광명테크노파크 D동 12층 1203,29176,액체 여과기 제조업 외 2 종,02-6112-4747
(주)블루웨이브,2015-05-12,7,무선후방카메라,경기도 광명시 소하동 1345번지 광명테크노파크 B동 11층 1104,26429,기타 무선 통신장비 제조업 외 4 종,02-2083-2406
(주)비솔,2002-09-27,19,자동화검사장비,경기도 광명시 철산동 626-3번지,27219,"기타 측정, 시험, 항해, 제어 및 정밀기기 제조업 외 4 종",02-2612-2111
(주)비아이지씨지라이팅,2014-02-26,8,LED전구(조명),경기도 광명시 소하동 1345번지 광명테크노파크 D동 11층 1111,28422,일반용 전기 조명장치 제조업,02-2083-1833
(주)비유테크놀러지,2020-01-31,41,"제어기모니터, 안전체험VR용 제품외",경기도 광명시 일직동 515-1번지 A-2508,26521,"라디오, 녹음 및 재생 기기 제조업 외 2 종",02-852-1007
(주)삼마에스크로,2013-02-08,1,가스온수기,경기도 광명시 소하동 1345번지,28520,가정용 비전기식 조리 및 난방 기구 제조업,02-2060-7632
(주)삼양플러스,2016-08-16,3,염수살포장치,경기도 광명시 소하동 1345번지 광명테크노파크 C동 8층 803,29192,분사기 및 소화기 제조업 외 9 종,02-2060-6052
(주)삼영라이팅,2011-11-10,4,LED조명,경기도 광명시 하안동 201 번지 광명아파트형공장 1동 3층 1호,28422,일반용 전기 조명장치 제조업 외 3 종,02-2616-5925
(주)삼일양행,2006-04-19,3,시계,경기도 광명시 하안동 36-1번지,27220,시계 및 시계부품 제조업,02-895-0011
(주)상도시스템,2008-07-17,7,전자식 안정기,경기도 광명시 광명동 575-40번지,28119,기타 전기 변환장치 제조업,02-2684-9838
(주)상림기술,2022-02-07,8,"영상정보디스플레이장치, 무인안내시스템, 영상감시장치, 보안용카메라, 전광판",경기도 광명시 소하동 1345 광명테크노파크 D동 1507호 D동 1507호,26519,비디오 및 기타 영상기기 제조업 외 2 종,02-2083-1333
(주)상지테크,2002-11-12,6,"수,배전반, 조명기구",경기도 광명시 철산동 626-3번지,28123,배전반 및 전기 자동제어반 제조업 외 4 종,02-2681-7418
(주)상진,2000-12-21,10,"컴퓨터 주변기기,정보통신부품",경기도 광명시 광명동 153-1번지,25913,자동차용 금속 압형제품 제조업 외 1 종,02-2615-5571
(주)샘플피씨비,2024-07-16,8,"인쇄회로기판, 계측기기",경기도 광명시 소하동 1345 광명테크노파크 A동 1303호,26224,전자부품 실장기판 제조업 외 3 종,02-8667-1992
(주)서울신소재,2001-06-07,10,금형부품,경기도 광명시 가학동 781-10번지,29293,주형 및 금형 제조업,02-2611-6187
(주)서진,2009-08-27,15,"안전표지판, 안전교통시설물, 안전용품",경기도 광명시 옥길동 143-8번지,25994,금속 표시판 제조업,02-2631-6757
(주)성오스틸,2009-09-08,4,변압기및 용접기 코아 제조,경기도 광명시 가학동 206번지,28112,변압기 제조업,02-2066-7727
(주)성진기업,2009-06-05,5,"LED 램프, 조명기구",경기도 광명시 가학동 204-11번지,28422,일반용 전기 조명장치 제조업 외 3 종,02-2618-2501
(주)세라핌컴퍼니,2015-08-25,30,의류제품(숙녀복),경기도 광명시 소하동 1345번지 광명테크노파크 D동 11층 1101,14199,그 외 기타 봉제의복 제조업,070-7457-8200
(주)세종기획,2020-03-03,1,광고물,경기도 광명시 하안동 303 4층 434호 4층 434호,33910,간판 및 광고물 제조업,02-2681-7133
(주)세코인터페이스,2011-10-12,14,매연저감장치용 전장품,경기도 광명시 소하동 1345 번지 광명테크노파크 비동 4층 비402호,30399,그 외 자동차용 신품 부품 제조업 외 3 종,070-7781-0300
(주)세포바이오,2020-10-07,16,"세포, SteMin","경기도 광명시 소하동 1345-0 광명테크노파크 A동 지하 107, 108, 109호",21100,기초 의약 물질 제조업 외 1 종,02-723-3450
(주)세현상사,1991-05-02,15,"검도용품(호면,갑상,호완,도복)",경기도 광명시 광명동 313-1번지,33309,기타 운동 및 경기용구 제조업 외 2 종,02-2685-3400
(주)소닉브레인코리아,2012-05-17,30,도어락,경기도 광명시 소하동 1345 광명테크노파크 A동 1011호 A동 1011호 외 2필지,28901,전기경보 및 신호장치 제조업,02-2083-1677
(주)쉴드케이,2024-02-23,7,도청녹음방지기,경기도 광명시 소하동 1345 광명테크노파크 B동 707호 B동 707호,26429,기타 무선 통신장비 제조업,02-3292-0532
(주)스누픽,2019-06-19,3,의류잡화 스타일링 및 박스,경기도 광명시 소하동 1345번지 광명테크노파크 D동 10층 1003,14199,그 외 기타 봉제의복 제조업,02-899-7713
(주)스피드레이저기술,2020-12-08,5,"레이저용접기, 지그기, 마킹기, 레이저기계부품, 레이저용접봉",경기도 광명시 소하동 1365 에이스 광명타워 208호,28909,그 외 기타 전기장비 제조업,02-808-3399
(주)승영,2000-02-24,22,자동차부품,경기도 광명시 옥길동 225-3번지,30399,그 외 자동차용 신품 부품 제조업 외 4 종,02-2616-4493
(주)시스피아기연,2012-05-07,10,산업용튀김기,경기도 광명시 철산동 626-3번지 광명조명타운 603호,29299,그 외 기타 특수목적용 기계 제조업 외 1 종,02-6497-8727
(주)시컴스,2020-02-25,13,무선통신장비,경기도 광명시 소하동 1345번지 광명테크노파크 B동 3층 308,26429,기타 무선 통신장비 제조업,02-2083-2929
(주)시코드,2012-03-21,4,LED 광고조명장치,경기도 광명시 소하동 1345번지 광명테크노파크 A동 11층 1107,28423,전시 및 광고용 조명장치 제조업 외 3 종,070-8855-8300
(주)시흥,1970-10-01,35,상하수도.전기.통신용 맨홀 뚜껑,경기도 광명시 소하1동 199-2번지,24311,선철주물 주조업,02-802-6977
(주)신산이엔지,2020-06-05,21,"약액밸브, 플레인베어, ESS 시트메탈, 홀라이트 외",경기도 광명시 일직동 515-1 광명역자이타워 A동 807~812호,29271,반도체 제조용 기계 제조업 외 3 종,02-6470-7100
(주)신성이엔아이,2012-01-18,5,전기자동제어반,경기도 광명시 소하동 1345번지 광명테크노파크 E동 9층 901,28123,배전반 및 전기 자동제어반 제조업,02-3667-1715
(주)신화광명채널,2011-07-20,2,LED 채널 간판,경기도 광명시 노온사동 337 번지,33910,간판 및 광고물 제조업,02-2686-5675
(주)신흥메디칼,2007-09-03,16,"옥매트, 찜질기, 베개",경기도 광명시 철산동 626-3번지,28909,그 외 기타 전기장비 제조업,02-2689-6223
(주)심플리시티,2012-07-25,40,숙녀복,경기도 광명시 소하동 1345번지,14300,편조의복 제조업,02-6112-2993
(주)써니테크무역,2004-04-13,6,"전자설비,라벨분리기,테이프커팅기",경기도 광명시 철산동 626-3번지,28909,그 외 기타 전기장비 제조업 외 4 종,02-2625-2692
(주)썬앤문,2020-03-16,4,"경광봉, PCB",경기도 광명시 일직동 515-1번지 B-1210,33999,그 외 기타 달리 분류되지 않은 제품 제조업,02-899-8922
(주)썬이코리아조명,2011-11-24,15,LED조명,경기도 광명시 하안동 201 번지 광명아파트형공장 3동 6층 4호,28422,일반용 전기 조명장치 제조업,031-901-3852
(주)썬즈,2016-04-01,10,유선통신장비,경기도 광명시 하안동 201번지 아파트형공장 제1동 1동 1층 1,26410,유선 통신장비 제조업,02-2681-5200
(주)쏘모라이팅,2013-04-03,9,LED조명,경기도 광명시 소하동 1345번지,28422,일반용 전기 조명장치 제조업 외 1 종,070-4322-4945
(주)쓰리하이엘렉트로닉스,2014-05-27,4," SMPS(Switching Mode Power Supply), 시각장애인용 음향신호발생기,  SMPS(Switching Mode Power Supply),  SMPS(Switching Mode Power Supply), LED조명등, 교통신호등,  SMPS(Switching Mode Power Supply), LED조명등, 교통신호등",경기도 광명시 소하동 1345 광명테크노파크 D동 12층 1201호,28422,일반용 전기 조명장치 제조업 외 4 종,070-8810-9472
(주)씨밀레테크,2017-03-27,3,자동화 판넬,경기도 광명시 소하동 1345번지 광명테크노파크 D동 4층 406,28123,배전반 및 전기 자동제어반 제조업,02-6112-4061
(주)씨에스테크노필,2012-04-10,7,액체여과기,"경기도 광명시 소하동 1345번지 광명테크노파크 C동 11층 1103,1104(소하동,광명테크노파크)",29176,액체 여과기 제조업,02-2631-4966
(주)씨엔이지에스,2023-10-16,17,"수신기, 감지기, 중계기","경기도 광명시 소하동 1344 광명G타워 B동 10층 1018호, 1019호",28901,전기경보 및 신호장치 제조업,031-443-1194
(주)씨엔테크,2016-07-08,3,"소방기구, 화재중계기",경기도 광명시 소하동 1345번지 광명테크노파크 A동 15층 1503,26410,유선 통신장비 제조업 외 1 종,02-892-0937
(주)씨엔티이십일,2022-08-25,10,커넥터,경기도 광명시 소하동 1345 광명테크노파크 E동 1007호 E동 1007호 외 1필지,28122,전기회로 접속장치 제조업,02-805-0034
(주)씨제이라이트,2022-06-16,2,LED조명기구,경기도 광명시 소하동 1344 광명G타워 5층 508호 5층 508호,28422,일반용 전기 조명장치 제조업,02-898-5674
(주)씨케이미디어,2021-12-24,4,"전광판, 영상기기, 방송기기, 소프트웨어 개발",경기도 광명시 소하동 1345 광명테크노파크 E동 505호 E동 505호,28423,전시 및 광고용 조명장치 제조업 외 2 종,02-2138-6820
(주)씨텍,2023-09-12,1,방화댐퍼용 자동제어기기 및 제어장치,경기도 광명시 일직동 515-1 에이동 14층 1411호,28122,전기회로 접속장치 제조업,02-6929-2141
(주)씨트웰,2006-08-22,11,"밸브,펌프류,강관, 기어및동력장치",경기도 광명시 노온사동 410-2번지,29133,"탭, 밸브 및 유사장치 제조업 외 13 종",02-2689-5509
(주)아이닉스,2024-02-22,4,"산업용 미디어 프로세서, 비디오 스위처, 비디오 익스텐더, 산업용 미디어 프로세서","경기도 광명시 일직동 514 B동 10층 1012호, 1013호",26310,컴퓨터 제조업 외 3 종,02-2636-1306
(주)아이로보,2017-03-31,42,엑츄에이터,경기도 광명시 소하동 1345번지 광명테크노파크 A동 9층 1345 A동 9층 910호 외 6필지,29280,산업용 로봇 제조업,02-801-5903
(주)아이엔지,2017-04-18,16,CABLE ASSEMBLY,경기도 광명시 소하동 1345번지 광명테크노파크 D동 8층 813 D동 8층 813호,26299,그 외 기타 전자부품 제조업 외 1 종,02-2083-1470
(주)아이이씨티,2014-07-22,23,"방폭형판넬, 압력공급장치, 전원차단박스, 온도센서, 양압시스템","경기도 광명시 소하동 1345 광명테크노파크 A동 107호, 1401호 A동 107호, 1401호",27216,산업처리공정 제어장비 제조업,031-932-0220
(주)아이지에스,2022-09-27,9,"광학식 가스 sensor, 연기감지기",경기도 광명시 일직동 515-1 B동 308호 B동 308호,26294,전자감지장치 제조업,02-6299-7536
(주)아이트리,2020-03-26,4,"스피커, 통신용변조기, 벽부형IO패널, 플러그용잭, 브래킷 등",경기도 광명시 소하동 1345번지 광명테크노파크 D동 11층 1103 D동 11층 1103호,26529,기타 음향기기 제조업 외 2 종,02-898-5423
(주)아인팩,2015-11-17,5,진공포장기계,경기도 광명시 하안동 556-3번지 1층,29191,"용기 세척, 포장 및 충전기 제조업",02-898-8875
(주)아주엔지니어링,2023-02-10,9,"스마트 온실장, 동보장치, 종합계측기, 마을무선방송장치, 경사계",경기도 광명시 소하동 1345 광명테크노파크 B동 908호 B동 908호,26410,유선 통신장비 제조업 외 4 종,02-897-2345
(주)알앤엘,2013-01-31,22,"전기매트, 의료용 전기매트",경기도 광명시 소하동 1365번지,28512,가정용 전기 난방기기 제조업 외 2 종,02-6112-7706
(주)알파글로벌,2013-02-27,3,"존기조명, 반도체장비, 세정장비",경기도 광명시 소하동 1345번지 광명테크노파크 A동 14층 1404,28422,일반용 전기 조명장치 제조업 외 3 종,02-2688-8005
(주)애강그린텍,2011-05-03,11,"분배기, 볼밸브",경기도 광명시 노온사동 369-1 번지,22211,"플라스틱 선, 봉, 관 및 호스 제조업",02-2060-6310
(주)앤제이컴퍼니,2014-01-22,6,"게임기케이스, 게임에어폼",경기도 광명시 소하동 1345번지,33402,영상게임기 제조업,02-2677-3488
(주)앨리스가든,2019-03-22,8,빵류,"경기도 광명시 소하동 1345번지 광명테크노파크 D동 3층 304,305",10602,빵류 제조업 외 2 종,02-898-2400
(주)에너테크글로벌,2018-10-22,5,전자식가스메타,경기도 광명시 소하동 1345번지 광명테크노파크 B동 3층 306,27214,속도계 및 적산계기 제조업,02-2083-2243
(주)에스비에프,2012-08-13,10,"드라이기, 고데기",경기도 광명시 하안동 201번지 3동 6층 2호 외 1필지,28519,기타 가정용 전기기기 제조업,02-6112-2696
(주)에스씨에스,2011-01-20,7,디지털 압력센서,"경기도 광명시 소하동 1345-0 광명테크노파크 B동 606, 607, 608호",27216,산업처리공정 제어장비 제조업,02-808-4402
(주)에스엘,2009-01-05,2,순대,경기도 광명시 가학동 1017-2번지,10701,도시락류 제조업 외 1 종,02-2616-1120
(주)에스제이인터내셔널,2008-02-28,5,알루미늄칼라와이어,경기도 광명시 광명동 143-6번지,24290,기타 1차 비철금속 제조업,02-6414-9977
