순번,회사명,공장대표주소(도로명),업종명,전화번호,팩스번호,생산품
66,(주)금탑,경기도 부천시 원미구 평천로817번길 32 (도당동),절삭가공 및 유사처리업 외 9 종,032-677-9961,032-677-9960,기계부품류
67,(주)기룡에스피,경기도 부천시 원미구부천로208번길 21 (춘의동+ 춘의동공장),기타 가정용 전기기기 제조업,032-651-4261,032-663-1668,다기능신발장
68,(주)기륭씰,경기도 부천시 오정구 삼작로171번길 39 (내동),산업용 그 외 비경화 고무제품 제조업,032-671-8601,032-671-8602,고무 O-RING+ 고무패킹
69,(주)기린조명,경기도 부천시 원미구평천로850번길 20+3층 (도당동),일반용 전기 조명장치 제조업,032-678-6353,02-548-1353,조명기구
70,(주)기화정밀,경기도 부천시 원미구 부천로369번길 15 (도당동),텔레비전 제조업,032-676-7801,032-677-8196,VTR부품
71,(주)길라잡이,경기도 부천시 원미구 조마루로385번길 92 (원미동+ 부천테크노밸리 U1 center) 1504호,교통 신호장치 제조업,,,LED점자블럭+ 바닥형 보행신호등
72,(주)김환영엘이디,경기도 부천시 원미구지봉로 43+ 카톨릭대창업보육센터 103호 (역곡동+ 카톨릭대학교),일반용 전기 조명장치 제조업,,02-6499-1149,LED 조명기구
73,(주)나라산업,경기도 부천시 오정구 부천로431번길 25 (내동) (3+4층),플라스틱 접착처리 제품 제조업 외 1 종,032-684-3844,032-684-3847,화장품용기
74,(주)나래트랜드,경기도 부천시 원미구 부흥로303번길 36+ 506호+ 507호 (중동),물질 검사+ 측정 및 분석기구 제조업 외 3 종,032-662-5000,032-223-7865,식물연구장비및액세서리+ 식물연구장비및액세서리+ 식물연구장비및액세서리+ 식물연구장비및액세서리
75,(주)나성금속,경기도 부천시 오정구 신흥로438번길 19+ 1층(내동),도금업,032-676-4335,032-676-4336,금형도금
76,(주)나성테크,경기도 부천시 오정구 산업로 31 (오정동) 송정하이테크 3층,주형 및 금형 제조업 외 1 종,032-527-5151,032-518-0603,금형부품+ 전자장치
77,(주)남강,경기도 부천시 오정구 오정로96번길 7-15 (삼정동),치약+ 비누 및 기타 세제 제조업,032-683-7711,032-683-7713,세척제+ 살균소독제
78,(주)네오,경기도 부천시 소사구 연동로132번길 25 (옥길동),간판 및 광고물 제조업,02-2616-2005,02-2616-4005,간판 및 사인물
79,(주)네오그린,경기도 부천시 원미구 정주로48번길 23+ 4층 (도당동),기타 무선 통신장비 제조업,070-8690-7081,050-4023-7081,무전기+ 블랙박스+ PCB조립
80,(주)네오엔비즈,경기도 부천시 원미구 도약로 261+ A동 13층 06 (도당동+ 부천대우테크노파크) 외 5필지,물질 검사+ 측정 및 분석기구 제조업 외 3 종,032-670-7210,032-670-7211,환경계측기기
81,(주)넥스컨트롤,경기도 부천시 오정구  석천로 397 (삼정동) 303동 9층 901호,기타 표시장치 제조업 외 1 종,032-624-1852,032-624-1851,NEX1000+ NEX1100+ NEX1200+ NEX1300+ NEX1400
82,(주)넬리스,경기도 부천시 오정구 석천로 397+ 201동 10층 05호 (삼정동+ 부천테크노파크쌍용3차),그 외 기타 의료용 기기 제조업,032-624-1697,032-624-1699,일회용수동식의료용개창기구
83,(주)노마드랩,경기도 부천시 오정구 석천로 345 (삼정동+ 부천테크노파크) 302동 4층 03호,기타 주변기기 제조업 외 1 종,070-8621-0789,0504-207-1835,키오스크+ 사이니지+ 공간방역기
84,(주)노바프로,경기도 부천시 오정구 석천로 397 (삼정동+ 부천테크노파크쌍용3차) 302동 10층 04호,산업용 오븐+ 노 및 노용 버너 제조업 외 3 종,032-624-2776,032-624-2779,이화학기기 등
85,(주)노바프로,경기도 부천시 오정구 석천로 397+ 302동 1202+03+04+05  + 1004+  905+906 (삼정동+ 부천테크노파크쌍용3차),그 외 기타 일반목적용 기계 제조업 외 4 종,032-624-2777,032-624-2779,이화학기기 등
86,(주)노바프로,경기도 부천시 오정구  석천로 397+ 302동 12층 02 (삼정동+ 부천테크노파크쌍용3차) 302동 12층 02호 외 2필지,그 외 기타 일반목적용 기계 제조업 외 2 종,032-624-2776,032-624-2799,무균대+ 배양기+ 건조기 외
87,(주)노씽,경기도 부천시 오정구 삼작로107번길 62+ 3층 (주)노씽(삼정동),기타 목재가구 제조업 외 1 종,,,템바보드
88,(주)노키온,경기도 부천시 원미구옥산로214번길 33+A동2층 (도당동),그 외 기타 특수목적용 기계 제조업 외 1 종,032-715-6061,032-715-6071,디지털도어록
89,(주)누리팩,경기도 부천시 원미구  옥산로220번길 22 (도당동),용기 세척+ 포장 및 충전기 제조업,032-683-2251,032-683-2253,액상충전기+ 분말충전기
90,(주)뉴본,경기도 부천시 오정구 삼작로177번길 53 (내동),기타 음향기기 제조업,032-684-1025,070-7844-9909,방송수신기및기타영상+음향기기
91,(주)뉴이스트원테크,경기도 부천시 원미구 도약로 261+ A동 9층 08 (도당동+ 부천대우테크노파크),액정 표시장치 제조업 외 2 종,070-4353-0100,02-949-0370,차량용 후방카메라 및 모니터
92,(주)뉴인스,경기도 부천시 오정구 석천로 397+ 301동 11층 01호 (삼정동+ 부천테크노파크쌍용3차) 외 1필지,물질 검사+ 측정 및 분석기구 제조업,032-624-0770,032-624-0772,공업용계측기
93,(주)뉴젠,경기도 부천시 원미구 도약로 261 (도당동+ 부천대우테크노파크) A동 12층 05호,기타 가정용 전기기기 제조업,032-671-6880,032-232-6768,비데
94,(주)뉴콤시스,경기도 부천시 오정구  석천로 345 (삼정동+ 부천테크노파크) 302동 9층 2호,유선 통신장비 제조업 외 4 종,032-715-4348,032-715-4349,오디오앰프
95,(주)뉴포스코리아,경기도 부천시 원미구 부천로 327+ 6층 (도당동),일반용 전기 조명장치 제조업,02-6237-0570,02-6123-3959,전기조명장치
96,(주)늘푸른광고산업,경기도 부천시 오정구 신흥로470번길 93 (오정동),간판 및 광고물 제조업 외 6 종,02-2691-7399,02-2607-7399,도로명판+안내판+태양광안내판
97,(주)니씨콤,경기도 부천시 원미구 원미로 29 (심곡동+ 농협심곡지점),방송장비 제조업,032-611-0230,032-348-0245,DVR+CCTV카메라
98,(주)니오졸화학,경기도 부천시 원미구평천로 858 (도당동),계면활성제 제조업 외 3 종,032-676-2141,032-676-7336,세척제+방수제
99,(주)다니엘,경기도 부천시 원미구평천로850번길 111+A 401호 (도당동),그 외 기타 분류 안된 화학제품 제조업 외 3 종,032-682-1153,032-682-1157,방향제
100,(주)다담시스템,경기도 부천시 원미구 부천로198번길 36+ 102동 6층 03 (춘의동+ 춘의테크노파크),주형 및 금형 제조업 외 1 종,032-229-7525,032-329-7525,금형
101,(주)다디 (DADi Co.+ Ltd.),경기도 부천시 원미구 삼작로268번길 41-19+ 2층 203호(도당동),속옷 및 잠옷 제조업,,,의류(잠옷)+ 잡화(스타킹)
102,(주)다림양행,경기도 부천시 오정구 석천로 397+ 102동 6층 609 (삼정동),그 외 기타 의료용 기기 제조업,032-624-0212,032-624-0213,의료기기
103,(주)다림양행,경기도 부천시 오정구 석천로 397+ 102동 6층 06 (삼정동+ 부천테크노파크쌍용3차),화학 살균.살충제 및 농업용 약제 제조업 외 5 종,032-624-0212,032-624-0213,살균소독제 등
104,(주)다비디스플레이,경기도 부천시 원미구도약로 261 (도당동+ 부천대우테크노파크) A동 9층 07호,컴퓨터 모니터 제조업,032-670-7240,032-670-7245,LCD모니터
105,(주)다성티엔티,경기도 부천시 오정구 산업로8번길 29 (오정동+ (주)다성티앤티) 외 1필지,주형 및 금형 제조업,032-672-0556,032-672-0310,금형
106,(주)다솔,경기도 부천시 오정구 석천로 397+ 101동 12층 1201+1202 (삼정동+ 부천테크노파크쌍용3차),화장품 제조업,032-624-4636,032-624-4639,화장품제조업
107,(주)다올이엔티,경기도 부천시 오정구 신흥로511번길 13-39 (오정동) 1층,기타 전기 변환장치 제조업 외 1 종,,,자판기+ 전기자동차용충전장치
108,(주)다우나노텍,경기도 부천시 원미구 부천로 323 (도당동+ y-제니스 파크) 4층 401호,전기회로 개폐+ 보호장치 제조업 외 7 종,032-671-9998,032-672-9998,전원공급장치
109,(주)다우씨엔디테크,경기도 부천시 오정구 석천로 397+ (삼정동+ 부천 테크노파크 쌍용3차) 303동 2층 207호,금속 표시판 제조업 외 4 종,032-624-1630,032-624-1633,전광판 제어기기+ 신호등및 교통제어기+ 제어기기+ 영상 처리장치+ 산업용 제어기기
110,(주)다원스마트,경기도 부천시 소사구 경인로160번길 71+ 1층 (송내동),일반용 전기 조명장치 제조업 외 2 종,032-351-8517,032-351-8518,LED조명기기+전기난방용품 등
111,(주)다원엔지니어링,경기도 부천시 원미구 조마루로385번길 122+ 15층 10 (춘의동),액체 여과기 제조업,032-247-2347,032-270-6339,정수 장치
112,(주)다인이엔지,경기도 부천시 오정구 석천로 397 (삼정동+ 부천테크노파크쌍용3차) 102동 10층 10호,반도체 제조용 기계 제조업 외 3 종,032-624-3292,032-624-3293,led반도체관련장비+ 청정부스+자동화 생산 시스템
113,(주)다현씨엔아이,경기도 부천시 원미구 조마루로385번길 80+ 10층 01+02+03 (원미동),전자기 측정+ 시험 및 분석기구 제조업,032-670-8947,032-656-8948,충격감지시스템+ 누유감지시스템
114,(주)다화시험기,경기도 부천시 오정구 석천로380번길 55 (삼정동),물질 검사+ 측정 및 분석기구 제조업 외 9 종,032-681-8035,032-681-2932,시험기기
115,(주)대가조명,경기도 부천시 오정구 삼작로 146 (내동),일반용 전기 조명장치 제조업,032-677-0575,032-677-0576,LED 조명
116,(주)대건,경기도 부천시 원미구 원미로 205+ 306호+307호 (춘의동),기타 음향기기 제조업 외 1 종,032-204-7456,070-4015-6596,전자부품+ 헬멧 송수신기
117,(주)대건아이티에스,경기도 부천시 원미구 조마루로 405+ 1층+ 2층 (원미동),플라스틱 접착처리 제품 제조업 외 1 종,032-613-2765,032-613-2767,플라스틱 접착처리제품
118,(주)대건에스씨,경기도 부천시 오정구 산업로8번길 62 (오정동),주형 및 금형 제조업 외 1 종,032-678-9757,032-677-9757,금형틀
119,(주)대건케이블,경기도 부천시 오정구 석천로442번길 77-8 (삼정동),고무패킹류 제조업 외 3 종,032-672-9792,032-676-1609,용접기케이블외 자동차케이블
120,(주)대경솔루션,경기도 부천시 원미구 부천로198번길 18+ 201동 8층 10 (춘의동),전자저항기 및 전자카드 제조업 외 1 종,032-614-8111,032-614-8113,제동저항기 및 제동유니트
121,(주)대경엔지니어링,경기도 부천시 오정구 석천로398번길 32 (삼정동),물질 검사+ 측정 및 분석기구 제조업,032-677-2931,032-624-3859,시험기기
122,(주)대경유압,경기도 부천시 소사구 경인옛로55번길 22 (소사본동),고무+ 화학섬유 및 플라스틱 성형기 제조업 외 1 종,032-348-1151,032-348-1154,사출성형기
123,(주)대덕강업,경기도 부천시 오정구 송내대로 500 (삼정동),그 외 기타 1차 철강 제조업,032-679-0009,032-679-0992,금속절단가공
124,(주)대동시스템엔지니어링,경기도 부천시 오정구 삼작로 22+ 102동 9층 902 (삼정동+ 부천테크노파크),배전반 및 전기 자동제어반 제조업,032-234-1453,032-234-1456,자동제어반
125,(주)대동아이텍,경기도 부천시 오정구 오정로 61+ 3층 (삼정동),운송장비 조립용 플라스틱제품 제조업 외 1 종,032-242-7091,032-242-7098,휴대폰 케이스+ 휴대폰 케이스
126,(주)대령화학,경기도 부천시 오정구 석천로453번길 64-14 (삼정동),그 외 기타 플라스틱 제품 제조업,032-678-1164,032-679-5871,플라스틱 쟁반+ 휴지통
127,(주)대륙,경기도 부천시 오정구 석천로 345 (삼정동+ 부천테크노파크) 304동 902호,유선 통신장비 제조업 외 1 종,032-327-4275,032-324-4275,근적외선 밴드+ 통신장비 등
128,(주)대만 ,경기도 부천시 원미구 송내대로 388+ 201동 2층 203호+ 204호+ 206호 (약대동+ 부천테크노파크),전기회로 개폐+ 보호장치 제조업 외 1 종,032-621-0123,032-621-0125,전력용차단기
129,(주)대명,경기도 부천시 오정구 석천로380번길 57-18 (삼정동),포장용 플라스틱 성형용기 제조업,032-681-2238,032-679-2238,플라스틱사출성형
130,(주)대명기공,경기도 부천시 오정구 석천로 397 (삼정동+ 부천테크노파크쌍용3차) 104동 2층 02+03호,절삭가공 및 유사처리업,032-624-1233,032-624-1231,기계부품
131,(주)대명솔루션,경기도 부천시 오정구 삼작로 22+ 103동 703호 (삼정동),그 외 기타 일반목적용 기계 제조업,032-329-9119,032-329-9119,배연창+ 수신반
132,(주)대명툴링시스템,경기도 부천시 원미구 조마루로385번길 122+ 4층 416호 (춘의동),톱 및 호환성 공구 제조업,032-328-3170,032-678-3175,초경엔드밀
133,(주)대명툴링시스템,경기도 부천시 원미구 옥산로230번길 41+ 101호 (도당동),톱 및 호환성 공구 제조업,032-328-3170,032-678-3175,초경엔드밀
134,(주)대민하이테크,경기도 부천시 오정구 신흥로426번길 25 (내동),탭+ 밸브 및 유사장치 제조업,032-684-6276,032-684-6278,유공압부품(커플러) 노즐 등
135,(주)대보프레시젼,경기도 부천시 오정구 석천로 471 (삼정동),운송장비 조립용 플라스틱제품 제조업 외 1 종,032-665-1438,032-667-0317,네비게이션+거치대
136,(주)대산몰드,경기도 부천시 오정구 옥산로 284+ 1층 (내동),주형 및 금형 제조업,032-203-3441,032-677-9439,금형
137,(주)대성밸브,경기도 부천시 오정구 오정로199번길 37 (오정동),탭+ 밸브 및 유사장치 제조업,032-684-5757,032-684-5759,밸브및유사장치
138,(주)대성실리콘,경기도 부천시 오정구 석천로442번길 49 (삼정동),고무 의류 및 기타 위생용 비경화 고무제품 제조업,032-683-7971,032-683-7970,실리콘패드
139,(주)대성아이엠아이,경기도 부천시 원미구부천로246번길 33 (도당동),주형 및 금형 제조업 외 1 종,032-682-7724,032-682-7737,금형+ 음향기기
140,(주)대성울트라소닉,경기도 부천시 원미구 길주로425번길 25 (춘의동+ 춘의동공장),그 외 기타 플라스틱 제품 제조업 외 5 종,032-679-8331,032-679-8322,플라스틱용착+LED조명+전자부품+반도체제조용기계+ 마스크
141,(주)대성유리,경기도 부천시 오정구 부천로431번길 35+ 1층 (내동),안전유리 제조업 외 1 종,032-678-1284,032-678-8328,복층유리
142,(주)대성자동포장기계,경기도 부천시 오정구 석천로380번길 43 (삼정동),용기 세척+ 포장 및 충전기 제조업,032-672-7671,032-672-7675,포장기+용기세척기
143,(주)대성전기파워텍,경기도 부천시 원미구길주로444번길 11 (춘의동),배전반 및 전기 자동제어반 제조업 외 2 종,032-668-3611,032-668-3617,배전반및자동제어반
144,(주)대성테크,경기도 부천시 원미구 평천로 655+ 403동 1층 04 (약대동+ 부천 테크노파크),그 외 자동차용 신품 부품 제조업 외 3 종,032-327-2120,032-327-2122,자동차부품
145,(주)대성하이텍,경기도 부천시 원미구 원미로 227 (춘의동),그 외 기타 플라스틱 제품 제조업,032-710-2300,032-710-2304,휴대폰 보호 케이스
146,(주)대신산업,경기도 부천시 오정구 삼정동 17-41번지,금속 절삭기계 제조업,032-677-3045,032-679-3851,기계부품
147,(주)대신하이테크,경기도 부천시 오정구 삼작로177번길 19-1(내동),도장 및 기타 피막처리업,032-682-2563,,유리용기 등
148,(주)대아실리테크,경기도 부천시 오정구 내동 211-4번지,그 외 기타 고무제품 제조업 외 1 종,032-513-9677,032-513-9678,오링+ 가스킷
149,(주)대연레이저,경기도 부천시 오정구 석천로442번길 19 (삼정동),절삭가공 및 유사처리업,032-611-1288,032-611-2234,레이저 가공
150,(주)대영나노텍,경기도 부천시 오정구 오정로39번길 24-16 (삼정동),기타 광학기기 및 사진기 제조업 외 1 종,032-677-2996,032-677-2998,자동측정제어 및 시험기기+  
151,(주)대영엔지니어링,경기도 부천시 원미구 원미로 221 (춘의동),합성수지 및 기타 플라스틱 물질 제조업,032-542-1732,032-542-1723,플라스틱제품
152,(주)대영전기,경기도 부천시 오정구 원종로79번길 37 (원종동) 서림아파트 지하1층,절연 코드세트 및 기타 도체 제조업,,032-684-3570,전기기기+ 전선+ 전기요조절기
