업체명,업종명,도로명주소,지번주소,생산품목,위도,경도,전화번호,팩스번호,데이터기준일
(주)미담,기타 직물제품 제조업,"경기도 수원시 권선구 수성로 8, 202호(구운동)",경기도 수원시 권선구 구운동 111-7 202호,마스크,37.2814171,126.9748842,031-8042-4520,,2025-02-14
(주)미르시스템,인쇄회로기판용 적층판 제조업 외 11 종,"경기도 수원시 영통구 삼성로 274, (원천동, 수원팩토리월드) 공장동 6층 601호 외 3필지",경기도 수원시 영통구 원천동 332-2 수원팩토리월드 공장동 6층 601호 외 3필지,"통신주변기기, 컴퓨터부품",37.2655388,127.0643859,031-216-6561,031-217-6561,2025-02-14
(주)바이랩,그 외 기타 의료용 기기 제조업,"경기도 수원시 영통구 중부대로448번길 97,(원천동, 삼성테크노파크) 단동 3층 306호 외 1필지",경기도 수원시 영통구 원천동 471 삼성테크노파크 단동 3층 306호 외 1필지,의료기기,37.266501,127.0594225,070-4865-0777,,2025-02-14
(주)바이오메듀스,그 외 기타 의료용 기기 제조업 외 1 종,"경기도 수원시 영통구 대학4로 17 (이의동) 1동 3층 308,309호","경기도 수원시 영통구 이의동 1248-3 1동 3층 308,309호",유전자증폭기,37.3001653,127.0467106,031-899-8620,031-899-8621,2025-02-14
(주)바이오포스,단미 사료 및 기타 사료 제조업 외 1 종,"경기도 수원시 영통구 창룡대로 260, 1층 103호(이의동, 광교 센트럴비즈타워) 1층 103호 외 3필지",경기도 수원시 영통구 이의동 1283 광교 센트럴비즈타워 1층 103호 1층 103호 외 3필지,"천연성분살충제, 꿀벌보조사료",37.2955408,127.0376141,031-8066-7445,031-8066-7446,2025-02-14
(주)베터라이프,"전자기 측정, 시험 및 분석기구 제조업 외 4 종","경기도 수원시 영통구 대학4로 17, 1동 701호, B105호, B106호(이의동) 1동 701호, B105호, B106호","경기도 수원시 영통구 이의동 1248-3 1동 701호, B105호, B106호 1동 701호, B105호, B106호",라돈저감장치(측정) 시스템,37.3001653,127.0467106,031-755-5232,031-624-5237,2025-02-14
(주)보명아이엔씨,"레이더, 항행용 무선기기 및 측량기구 제조업 외 1 종","경기도 수원시 영통구 신원로198번길 15-19, (주)보명아이엔씨(매탄동)",경기도 수원시 영통구 매탄동 554-1 (주)보명아이엔씨,"무선통신 안테나, 레이더",37.2544637,127.060849,031-215-1223,031-216-1224,2025-02-14
(주)비이에스티,기타 전기 변환장치 제조업 외 21 종,"경기도 수원시 영통구 덕영대로1556번길 16,(영통동, 디지털엠파이어빌딩) E동 14층 1401호 외 3필지",경기도 수원시 영통구 영통동 980-3 디지털엠파이어빌딩 E동 14층 1401호 외 3필지,전기변환장치 등,37.2452904,127.0591706,031-204-1626,031-204-1611,2025-02-14
(주)비전엔지니어링,유선 통신장비 제조업,"경기도 수원시 영통구 신원로 306, 1동 102호(원천동, 영통 이노플렉스-1단지) 1동 102호 외 4필지",경기도 수원시 영통구 원천동 552 영통 이노플렉스-1단지 1동 102호 1동 102호 외 4필지,"소화압력시스템, 화재수신기, 중계기",37.2623064,127.0619174,031-8002-3450,031-8002-3451,2025-02-14
(주)삼성프린텍,기타 인쇄업 외 1 종,"경기도 수원시 영통구 신원로 229 (매탄동, 삼성프린텍(주)) (총 5 필지) 외 2필지",경기도 수원시 영통구 매탄동 490-2번지 외 2필지,"라벨,스티커",37.2559849,127.0598704,031-211-2111,031-211-2252,2025-02-14
(주)삼양엔지니어링,액체 펌프 제조업,"경기도 수원시 영통구 신원로 88, 101동 708호 (신동, 디지털엠파이어2)",경기도 수원시 영통구 신동 486번지 디지털엠파이어2 101동 708호,물 펌프 조립,37.2474698,127.0503626,031-695-6891,031-695-6890,2025-02-14
(주)새롬정보통신,방송장비 제조업 외 2 종,"경기도 수원시 영통구 덕영대로1681번길 10, 1층 (영통동)",경기도 수원시 영통구 영통동 991-11번지 1층,"구내방송장치, 자동교환기, 무선전신용송신기",37.248109,127.0753126,031-203-2255,031-203-8577,2025-02-14
(주)샤인윈도우패션,커튼 및 유사제품 제조업 외 1 종,"경기도 수원시 팔달구 경수대로 649, 2층 (지동)",경기도 수원시 팔달구 지동 477-4번지 2층,"블라인드, 커튼",37.2833743,127.0283206,031-244-7336,031-252-6214,2025-02-14
(주)선도,침구 및 관련제품 제조업 외 3 종,"경기도 수원시 영통구 중부대로462번길 42 (원천동, (주)선도)",경기도 수원시 영통구 원천동  261-10번지,"직물,커텐,침구류, 여성의류",37.267802,127.0637287,031-211-3477,0507-555-4550,2025-02-14
(주)선진알씨에스,전자감지장치 제조업,"경기도 수원시 영통구 덕영대로 1731, 103호 (영통동)",경기도 수원시 영통구 영통동 273-1 103호,"건축용 IOT 안전 계측 장비, 초음파센서, 멀티포트",37.2492239,127.081322,031-895-5451,031-895-5452,2025-02-14
(주)성진이엔씨,배전반 및 전기 자동제어반 제조업,"경기도 수원시 장안구 경수대로1078번길 26, 201호(파장동, 세한상가)",경기도 수원시 장안구 파장동 279-3 세한상가 201호,배전반 및 전기 자동제어반,37.3103604,126.9955174,031-256-3955,031-256-0329,2025-02-14
(주)세영씨엔티,침구 및 관련제품 제조업,"경기도 수원시 영통구 매영로248번길 36-4, 2,3,4층 (원천동)","경기도 수원시 영통구 원천동 394-5번지 2,3,4층","패드, 매트(침구류)",37.259203,127.0631547,031-211-4041,031-211-4042,2025-02-14
(주)세한이엔씨,방송장비 제조업 외 1 종,경기도 수원시 권선구 곡반정로 46-38 (곡반정동),경기도 수원시 권선구 곡반정동 387-6번지,"cctv리시버,방폭터미널box",37.2317295,127.0269537,031-695-6767,031-695-6799,2025-02-14
(주)솔모루테크,"전기회로 개폐, 보호장치 제조업 외 2 종","경기도 수원시 영통구 창룡대로256번길 77, (에이스광교3)1107호 (이의동)",경기도 수원시 영통구 이의동 1286번지 (에이스광교3)1107호,"대기전력차단콘센트,LED조명",37.2961352,127.0408421,070-8621-3414,0303-3440-3417,2025-02-14
(주)싸이엔텍,"물질 검사, 측정 및 분석기구 제조업 외 3 종","경기도 수원시 영통구 신원로 306, 1동 3층 305 (원천동, 영통 이노플렉스-1단지) 1동 3층 305호",경기도 수원시 영통구 원천동 552번지 영통 이노플렉스-1단지 1동 3층 305 1동 3층 305호,"진공용기,초저온용기",37.2623064,127.0619174,031-224-3280,031-224-5778,2025-02-14
(주)썬웨이브,운송장비용 조명장치 제조업 외 4 종,"경기도 수원시 영통구 영통로323번길 38, 1동 402 (매탄동, 아파트형공장) 1동 402호",경기도 수원시영통구 매탄동 509-7 번지 성신테크노 1동 402 1동 402호,"LED 조명, LED 살균기",37.2549927,127.0611642,070-8656-1431,070-8270-0122,2025-02-14
(주)씨브이네트,유선 통신장비 제조업 외 1 종,"경기도 수원시 영통구 매영로269번길 39 (영통동, 디지털비젼(주))",경기도 수원시 영통구 영통동 49-1번지 디지털비젼(주),"홈오토메이션, 로비폰, 도어카메라, 월패드, 비디오폰",37.2591767,127.0663545,02-6477-1829,02-6477-1813,2025-02-14
(주)씨엔에이치시스템,배전반 및 전기 자동제어반 제조업 외 8 종,"경기도 수원시 영통구 신원로 306, 2동 802호(원천동, 영통 이노플렉스-1단지) 2동 802호 외 3필지",경기도 수원시 영통구 원천동 552 영통 이노플렉스-1단지 2동 802호 2동 802호 외 3필지,순간정전보상장치(VSP),37.2623064,127.0619174,031-203-6461,031-203-6463,2025-02-14
(주)씨엠코리아,반도체 제조용 기계 제조업,"경기도 수원시 영통구 신원로 306,(원천동, 영통 이노플렉스-1단지) 1동 B1층 103호 외 2필지",경기도 수원시 영통구 원천동 552 영통 이노플렉스-1단지 1동 B1층 103호 외 2필지,반도체장비 부품,37.2623064,127.0619174,031-273-1690,031-273-1693,2025-02-14
(주)씨유덴텍,"기타 비철금속 제련, 정련 및 합금 제조업","경기도 수원시 영통구 신원로 306, (원천동, 영통 이노플렉스-1단지) 1동 B1층 B107호",경기도 수원시영통구 원천동 552번지 수원영통 INNOPLEX 1 1동 B1층 B107호,치과용합금,37.2623064,127.0619174,031-244-4660,031-252-4660,2025-02-14
(주)아데나,화장품 제조업,"경기도 수원시 영통구 대학4로 17, (이의동 에이스광교타워1)718, 719, 723호 (이의동)","경기도 수원시 영통구 이의동 1248-3번지 (이의동 에이스광교타워1)718, 719, 723호",화장품원료,37.3001653,127.0467106,031-888-6410,031-888-6412,2025-02-14
(주)아스타,전기식 진단 및 요법 기기 제조업 외 1 종,"경기도 수원시 영통구 광교로 145, 11층 (이의동, 차세대융합기술연구원)",경기도 수원시 영통구 이의동 864-1번지 차세대융합기술연구원 11층,"질량분석기, 플레이트",37.294307,127.0456048,031-893-0401,031-624-5162,2025-02-14
(주)아이디온,전자부품 실장기판 제조업,"경기도 수원시 팔달구 창룡대로210번길 12, 1층 101호 (우만동) 1층 101호 외 1필지",경기도 수원시팔달구 우만동 300-5번지 우만아파트형공장 1층 101호 1층 101호 외 1필지,반도체번인보드,37.2920896,127.0327828,031-441-0467,031-255-0469,2025-02-14
(주)아이버스,산업처리공정 제어장비 제조업,"경기도 수원시 권선구 호매실로90번길 24, (호매실동) 공장동 2층 239호",경기도 수원시 권선구 호매실동 1405-2 공장동 2층 239호,시뮬레이터,37.2566959,126.9644208,031-689-3734,070-8673-3735,2025-02-14
(주)아이브리지닷컴,기타 무선 통신장비 제조업 외 1 종,"경기도 수원시 영통구 신원로 55, 1509,1510,1514,1515,1516호(신동, 테크트리 영통 지식산업센터) 1509,1510,1514,1515,1516호","경기도 수원시 영통구 신동 478-6 테크트리 영통 지식산업센터 1509,1510,1514,1515,1516호 1509,1510,1514,1515,1516호","유/무선 네트워크 시스템 장비, 산업용 PC, 미니PC",37.2487709,127.0478348,031-204-9914,031-205-8698,2025-02-14
(주)아이삭,전자감지장치 제조업,"경기도 수원시 영통구 신원로 88, (신동, 디지털엠파이어2) 103동 6층 604호",경기도 수원시 영통구 신동 486 디지털엠파이어2 103동 6층 604호,보행자 안전 알림 장치,37.2474698,127.0503626,031-695-6033,031-695-6034,2025-02-14
(주)아이앤비,전시 및 광고용 조명장치 제조업 외 4 종,"경기도 수원시 영통구 삼성로 274, 4층 410 (원천동, 수원팩토리월드) 4층 410호",경기도 수원시 영통구 원천동 332-2번지 수원팩토리월드 4층 410 4층 410호,"LED 전광판 등, 버스도착알림이(BIT)",37.2655388,127.0643859,031-216-2634,031-217-2634,2025-02-14
(주)아이오스,건강기능식품 제조업 외 1 종,"경기도 수원시 영통구 광교로 147, 511호 (이의동)",경기도 수원시 영통구 이의동 854 511호,유산균,37.294331,127.0434426,ARS-1644-7066,031-888-6173,2025-02-14
(주)아이즐,화장품 제조업,"경기도 수원시 영통구 중부대로448번길 97, 4층 405 (원천동, 삼성테크노파크) 4층 405호",경기도 수원시 영통구 원천동 471번지 삼성테크노파크 4층 405 4층 405호,화장품(주 립스틱),37.266501,127.0594225,031-243-4807,031-243-4806,2025-02-14
(주)아이컴,컴퓨터 제조업,"경기도 수원시 영통구 덕영대로1556번길 16, A동 9층 901호 (영통동, 영통 디지털엠파이어), B동9층901호",경기도 수원시 영통구 영통동  1104-2번지,"컴퓨터,노트북",37.2452904,127.0591706,031-303-8124,031-303-8129,2025-02-14
(주)아이티원,방송장비 제조업 외 4 종,"경기도 수원시 영통구 창룡대로 260, 2층 212호(이의동, 광교 센트럴비즈타워) 2층 212호",경기도 수원시 영통구 이의동 1283 광교 센트럴비즈타워 2층 212호 2층 212호,"이동식 스마트영상 방송 기기, 이동식 가스측정 센서, 위치관리 태그",37.2955408,127.0376141,031-8066-7720,031-8066-7721,2025-02-14
(주)아젝스메디테크,그 외 기타 의료용 기기 제조업,"경기도 수원시 영통구 덕영대로1471번길 7 (망포동, 아젝스메디테크(주))",경기도 수원시 영통구 망포동 38-1번지,"고주파식 휴대용 X-RAY기기, X-RAY용 고압발생장치",37.2461516,127.0512602,031-204-4200,031-204-4203,2025-02-14
(주)에스비휴먼텍,기타 무선 통신장비 제조업 외 1 종,"경기도 수원시 장안구 서부로 2066, 생명공학관 62353A호(천천동, 성균관대학교)",경기도 수원시 장안구 천천동 300 성균관대학교 생명공학관 62353A호,지능형 낙상 감지장치,37.2933638,126.9746545,031-290-7827,031-299-4823,2025-02-14
(주)에스에스라이트,전시 및 광고용 조명장치 제조업 외 5 종,"경기도 수원시 팔달구 정조로 865, 2층 (신풍동)",경기도 수원시 팔달구 신풍동 7번지,"LED 제품, 금속표시판, 버스 및 차량정보 안내장치",37.2852282,127.0153472,ARS-1544-4547,031-251-6654,2025-02-14
(주)에스엔에이치,기타 무선 통신장비 제조업 외 2 종,경기도 수원시 권선구 입북로59번길 41 (입북동),경기도 수원시 권선구 입북동  301번지,"자동차터보엔진부품, 광통신 반도체 부품(WHEEL)",37.2966696,126.9560132,031-298-8522,031-298-8523,2025-02-14
(주)에스인테크,전자부품 실장기판 제조업,"경기도 수원시 영통구 신원로 306, 1동 307호(원천동, 영통 이노플렉스-1단지) 1동 307호",경기도 수원시 영통구 원천동 552 영통 이노플렉스-1단지 1동 307호 1동 307호,PBA,37.2623064,127.0619174,031-212-9882,0504-256-0160,2025-02-14
(주)에이아이티,"전자기 측정, 시험 및 분석기구 제조업","경기도 수원시 영통구 신원로 88, 103동 4층 407 (망포동, 디지털엠파이어2) 103동 4층 407호",경기도 수원시 영통구 망포동 12-13번지 디지털엠파이어2 103동 4층 407 103동 4층 407호,표면저항측정기,37.2474698,127.0503626,031-695-7166,031-695-7169,2025-02-14
(주)에이알씨코리아,반도체 제조용 기계 제조업,"경기도 수원시 영통구 신원로283번길 47, 1, 2층 전체호 (매탄동, 벤처프라자)",경기도 수원시 영통구 매탄동  409-16번지,반도체제조장비,37.2587698,127.0592803,031-211-3890,031-211-3892,2025-02-14
(주)에이제이투,기타 주변기기 제조업,"경기도 수원시 영통구 광교로 107, 보육동 210호(이의동, 경기도중소기업지원센터)",경기도 수원시 영통구 이의동 906-5 경기도중소기업지원센터 보육동 210호,"홍채인식솔루션, 광학부품",37.2920389,127.0434741,031-259-7208,050-4314-9492,2025-02-14
(주)에이치알테크,기타 가정용 전기기기 제조업 외 2 종,"경기도 수원시 영통구 삼성로 274, 8층 809호(원천동, 수원팩토리월드) 8층 809호 외 1필지",경기도 수원시 영통구 원천동 332-2 수원팩토리월드 8층 809호 8층 809호 외 1필지,"전자미용기기, 전자식 집적회로",37.2655388,127.0643859,031-213-6031,031-213-6035,2025-02-14
(주)에이치지에버,기타 가정용 전기기기 제조업 외 1 종,"경기도 수원시 장안구 장안로 92, 2층 (정자동)",경기도 수원시 장안구 정자동 48-8번지 2층,가정용 전기기기,37.2924123,127.0021529,031-241-4720,031-629-7535,2025-02-14
(주)에이치케이시스템,전기경보 및 신호장치 제조업,"경기도 수원시 팔달구 행궁로 92, 401호 (교동, 남문타워)",경기도 수원시 팔달구 교동 4-2 남문타워 401호,벨,37.2744082,127.0154028,070-8245-9513,02-6280-9516,2025-02-14
(주)에이티이솔루션,"전자기 측정, 시험 및 분석기구 제조업 외 1 종","경기도 수원시 팔달구 창룡대로210번길 12, 4층 402 (우만동) 4층 402호",경기도 수원시 팔달구 우만동 300-5번지 4층 402 4층 402호,반도체검사장비,37.2920896,127.0327828,031-254-0321,031-254-0322,2025-02-14
(주)에이티피이에스,"전자기 측정, 시험 및 분석기구 제조업","경기도 수원시 영통구 월드컵로 199, 417호(원천동, 아주대학교어학교육원)",경기도 수원시 영통구 원천동 13-4 아주대학교어학교육원 417호,2차전지 보호회로 및 검사장비,37.2792223,127.044127,070-7500-6398,070-7500-6399,2025-02-14
(주)에프와이디,일반용 전기 조명장치 제조업,"경기도 수원시 영통구 신원로 223 (매탄동, 청명상사) 외 1필지",경기도 수원시영통구 매탄동 489-2번지 외 1필지,조명장치,37.2558309,127.0601744,031-215-9432,031-215-9438,2025-02-14
(주)에프테크,기체 여과기 제조업,"경기도 수원시 영통구 삼성로 274, 5층 506 (원천동, 수원팩토리월드) 5층 506호",경기도 수원시 영통구 원천동 332-2번지 수원팩토리월드 5층 506 5층 506호,"배기가스처리장치, 대기시설방지, 스크러버",37.2655388,127.0643859,031-202-0758,031-202-0759,2025-02-14
(주)엠비욘드,기타 직물제품 제조업,"경기도 수원시 영통구 창룡대로256번길 77, B층 B216호(이의동) B층 B216호",경기도 수원시 영통구 이의동 1286 B층 B216호 B층 B216호,마스크,37.2961352,127.0408421,031-212-6280,,2025-02-14
(주)엠엑스앤,반도체 제조용 기계 제조업 외 1 종,"경기도 수원시 영통구 신원로 88, 102동 901,902,909, 1201~1209호(신동, 디지털엠파이어2) 102동 901,902,909, 1201~1209호","경기도 수원시 영통구 신동 486 디지털엠파이어2 102동 901,902,909, 1201~1209호 102동 901,902,909, 1201~1209호","반도체 제조 자동화기계, 디스플레이장비",37.2474698,127.0503626,031-695-7400,031-695-7407,2025-02-14
(주)엠티씨,유선 통신장비 제조업 외 1 종,"경기도 수원시 영통구 삼성로 274,  807호 (원천동)",경기도 수원시 영통구 원천동  332-2번지,"LC Filter, DR Filter, RF Filter",37.2655388,127.0643859,031-214-2336,031-214-2337,2025-02-14
(주)영승이엔에스,전기경보 및 신호장치 제조업,"경기도 수원시 영통구 덕영대로1556번길 16,(영통동, 디지털엠파이어빌딩) A동 5층 506호",경기도 수원시 영통구 영통동 980-3 디지털엠파이어빌딩 A동 5층 506호,"화재경보 수신, 감지기",37.2452904,127.0591706,031-303-8751,031-303-8752,2025-02-14
(주)영진팩,포장용 플라스틱 성형용기 제조업,경기도 수원시 영통구 영통로323번길 2 (매탄동) (총 2 필지),경기도 수원시 영통구 매탄동  512-1번지,"플라스틱 용기, 포장인쇄",37.2550922,127.062772,031-212-2445,031-212-2433,2025-02-14
(주)옵토마인드,일반용 전기 조명장치 제조업 외 1 종,"경기도 수원시 영통구 덕영대로1556번길 16, A동 4층 405,608 (영통동, 영통 디지털엠파이어) A동 4층 405,608호","경기도 수원시 영통구 영통동 1104-2번지 영통 디지털엠파이어 A동 4층 405,608 A동 4층 405,608호","액티브광계이블, LED조명장치",37.2452904,127.0591706,031-232-1318,031-232-1319,2025-02-14
(주)옵토마인드,광섬유 케이블 제조업 외 1 종,"경기도 수원시 영통구 덕영대로1556번길 16, (영통동, 디지털엠파이어빌딩) B동 3층 301호 외 5필지",경기도 수원시 영통구 영통동 980-3 디지털엠파이어빌딩 B동 3층 301호 외 5필지,"액티브광케이블, LED조명장치",37.2452904,127.0591706,031-232-1318,031-8019-5335,2025-02-14
(주)웰스케어,전기식 진단 및 요법 기기 제조업,"경기도 수원시 영통구 광교로 107, 본관동 507호(이의동, 경기도중소기업지원센터)",경기도 수원시 영통구 이의동 906-5 경기도중소기업지원센터 본관동 507호,의료용 레이저 조사기,37.2920389,127.0434741,031-251-0601,02-6919-4091,2025-02-14
(주)위드엘텍,배전반 및 전기 자동제어반 제조업,"경기도 수원시 영통구 덕영대로1556번길 16,(영통동, 디지털엠파이어빌딩) A동 11층 1105호",경기도 수원시 영통구 영통동 980-3 디지털엠파이어빌딩 A동 11층 1105호,전기판넬,37.2452904,127.0591706,031-303-5887,031-303-5889,2025-02-14
(주)위드텍,배전반 및 전기 자동제어반 제조업,"경기도 수원시 영통구 신원로 304, (원천동, 영통 이노플렉스-2단지) 3동 3층 305호",경기도 수원시 영통구 원천동 554 영통 이노플렉스-2단지 3동 3층 305호,전기 자동제어반,37.2621931,127.060931,031-546-0049,070-8667-0088,2025-02-14
