연번,지역,사업체명,대표자 성명,본사소재지,주생산품,주소,홈페이지
1469,전주,유한회사 손수다혜,김다혜,전북,DIY패키지,"전주시완산구천잠로235,9102호",
1470,전주,효원창호,김승호,전북,플라스틱창호,전주시덕진구텃골길9,
1471,전주,전북GN특장,최운용,전북,"특장, 탑",전주시덕진구팔복동4가170-22동우측,
1472,전주,대흥상사,강성기,전북,곡물가공,전주시완산구완산6길25,
1473,전주,㈜케이알씨,김려찬,전북,커피로스팅,전주시덕진구천마산로12,
1474,전주,기영산업,김정애,전북,교통신호,전주시덕진구삼거1길18-35,
1475,전주,(유)이레인,양현석,전북,"LED조명,간판,광고물",전주시덕진구덕촌길21,
1476,전주,(유)현무 ,오규선,전북,마스크,전주시덕진구재방마을길29,
1477,전주,㈜티에스,박철호,전북,탄소복합재료,"전주시덕진구반룡로109,B동212호",ICYCLE.KR
1478,전주,대성,정혁,전북,무인자동 말벌퇴치시스템,"전주시덕진구반룡로109A동2층209호(팔복동2가,테크노빌)",
1479,전주,농업회사법인에파솔㈜,정경섭,전북,"농산물생산,유통","전주시덕진구백제대로567,207호",
1480,전주,(사단)참복지,김관무,전북,화장지,"전주시서당길37101호,2동1호",www.chambokji.com
1481,전주,솔라시도디이㈜,윤창복,전북,공기청정기,전주시덕진구반룡로111301호,www.slsdkorea.com
1482,전주,러스틱가든RUSTICGARDEN,정광훈,전북,가구제조,전주시덕진구동부대로1200-1,
1483,전주,㈜리슬,황이슬,전북,생활한복,전주시덕진구동부대로6872층,www.leesle.com
1484,전주,㈜파로스,황진헌,전북,cctv유선통신장비,"전주시덕진구오공로132,502호",
