연번,업종,사업체명,주생산품,도로명주소,위도,경도,전화번호,팩스번호,홈페이지
30,식료품 제조업,(유한)올드브릭컴퍼니,"커피음료,커피",전북특별자치도 전주시 완산구 황학6길 1 (동서학동),35.80765437,127.1601243,063-222-9697,,
31,식료품 제조업,(주)농업회사법인 효은,과실ㆍ채소 가공,전북특별자치도 전주시 완산구 노송여울1길 17-4 (서노송동),35.82420492,127.1450982,,,
32,식료품 제조업,우주섬협동조합,커피 가공업,전북특별자치도 전주시 완산구 전주객사3길 37-5 (고사동),35.8190522,127.1416896,,,
33,식료품 제조업,(주)이든,육류 기타 가공,"전북특별자치도 전주시 덕진구 신성길 31-38, 1층 (성덕동)",35.88263248,127.0337868,063-221-0005,,
34,식료품 제조업,효자상회,기타 식료품,"전북특별자치도 전주시 완산구 용머리로 36, 8층 806호 (효자동1가,서도프라자)",35.80551568,127.1144726,063-236-8812,,
35,식료품 제조업,더라온(유한),기타 식료품 제조업,전북특별자치도 전주시 완산구 천잠로 337 (효자동3가),35.81710225,127.0933076,,,
36,식료품 제조업,(유한)에스엠푸드,기타 식료품,"전북특별자치도전주시 완산구 문학대2길 7-8, 401호 (효자동3가,연수빌라)",35.82612412,127.1029001,,,
37,식료품 제조업,농업회사법인 평화에프앤지(주),건어물,전북특별자치도 전주시 덕진구 번영로 202-8 (원동),35.87555286,127.0298749,0507-1367-8931,,
38,식료품 제조업,커피스타,커피,"전북특별자치도 전주시 덕진구 쪽구름로 8-19, 1층 (여의동2가)",35.86791642,127.0800513,063-245-0153,,
39,식료품 제조업,헬썸(주),버섯가공품 외,"전북특별자치도 전주시 완산구 천잠로 303, 401호 (효자동2가,1080)",35.81616752,127.0888808,063-220-2607,02-977-8777,
40,식료품 제조업,혜미강전통발효식품,된장.고추장.쌈장,전북특별자치도 전주시 완산구 모악산자락길 270-21 (원당동),35.75368453,127.1186509,,063-274-9857,
41,식료품 제조업,농업회사법인 녹색(주),과실ㆍ채소 가공,"전북특별자치도 전주시 완산구 전주객사3길 62, 4층 410호 (고사동,뉴롯데오피스텔)",35.81997399,127.1420338,,,
42,식료품 제조업,하프잇㈜,"곡물 파우더(흑임자, 참깨, 들깨) 외",전북특별자치도 전주시 완산구 흑석1길 106,35.79759456,127.1484143,,,
43,식료품 제조업,(주)전주제과,수제 초코파이,전북특별자치도 전주시 덕진구 팔복로 365 (여의동),35.86273318,127.0694041,1644-5627,063-241-7546,"http://jbakery,com"
44,식료품 제조업,(주)엠디푸드,과실ㆍ채소 가공,"전북특별자치도 전주시 덕진구 세병2길 10, 102동 (송천동2가,504호)",35.87307957,127.124575,,,
45,식료품 제조업,(주)캡슐프레소,식료품,"전북특별자치도 전주시 완산구 천잠로 235, 미래관 9106호 (효자동2가,전주비전대학교)",35.81087457,127.0909661,063-250-0200,,
46,식료품 제조업,엄마마음식품,김부각,전북특별자치도 전주시 덕진구 시천로 39 (송천동2가),35.86273067,127.1144577,,,
47,식료품 제조업,농업회사법인향토자원개발연구소(주),곡물가공품,전북특별자치도 전주시 덕진구 숲정이1길 17 (진북동),35.8311751,127.1291742,063-273-0073,,
48,식료품 제조업,샌디그린베이커리,비건제과제빵,"전북특별자치도 전주시 완산구 중산1길 4-3, 1층",35.81469416,127.1198152,0507-1362-4349,050-4221-4349,
49,식료품 제조업,백세건강원,건강 보조용 액화식품 제조업,전북특별자치도 전주시 덕진구 아중천2길 23-1 (산정동),35.83534615,127.1723295,063-242-2324,,
50,식료품 제조업,동그리 유한회사 농업회사법인,상황버섯 분말가공,"전북특별자치도 전주시 덕진구 콩쥐팥쥐로 1515, 창업관 104호 (중동)",35.83038799,127.068575,,,
51,식료품 제조업,전주초코파이㈜,"빵,과자",전북특별자치도 전주시 덕진구 팔복1길 17-3,35.84893318,127.1049131,063-212-8001,,
52,식료품 제조업,생김치,김치,"전북특별자치도 전주시 덕진구 기지로 77, B동 218호 (장동,전북혁신도시더Mcity센텀)",35.83880607,127.0592894,063-226-0799,,
53,식료품 제조업,농업회사법인 유한회사 우리들녘식품,나물비빔밥 및 간편식 외,"전북특별자치도 전주시 덕진구 오공로 144, 4층 402호 (만성동)",35.83485945,127.0710353,063-222-5657,070-4109-5656,
54,식료품 제조업,(주)누리팜,귀뚜라미가공,"전북특별자치도 전주시 완산구 천잠로 303, 벤처창업관 210호 (효자동2가,전주대학교)",35.81616752,127.0888808,063-290-1285,,
55,식료품 제조업,(주)노브로,육류,전북특별자치도 전주시 완산구 중산로 43-10 (중화산동2가),35.81807041,127.1193132,,,
56,식료품 제조업,(주)함우리,집단급식소,"전북특별자치도 전주시 덕진구 기지로 77, 202동 2803호 (장동,대방디엠시티)",35.83880607,127.0592894,,,
57,식료품 제조업,구름떡집,떡류,"전북특별자치도 전주시 덕진구 반월3길 8, 상가 1동 201호 (반월동,남양아파트)",35.8735032,127.0716704,0507-1373-2382,,
58,식료품 제조업,농업회사법인 서부유통,식육부분육가공 및 판매업,"전북특별자치도 전주시 완산구 콩쥐팥쥐로 1693, 1층 (효자동3가)",35.82244778,127.0838844,063-221-3820,,
59,식료품 제조업,가든온더케이크,케이크,"전북특별자치도 전주시 덕진구 들사평3길 19, 1층 일부호 (덕진동1가)",35.84040626,127.1232067,0507-1322-4107,,
60,식료품 제조업,(주)홍시궁,홍시찹쌀떡,"전북특별자치도 전주시 덕진구 비석날로 59-11, 2동 (여의동)",35.85706539,127.0789586,070-5154-5149,,
61,식료품 제조업,화공방,떡류,전북특별자치도 전주시 완산구 홍산로 260 (효자동3가),35.81680382,127.1064353,,,
62,식료품 제조업,성심,기타 식료품,"전북특별자치도 전주시 덕진구 서가재미3길 18-5, 101호 (인후동1가,썬하우스)",35.83278472,127.1603691,063-245-2016,,
63,식료품 제조업,(주)피아노,"식육가공, 양념육가공",전북특별자치도 전주시 덕진구 운암로 35-4 (팔복동2가),35.86080243,127.0879835,063-903-0260,063-901-0266,
64,식료품 제조업,(주)키베이직,"반려동물사료, 애완동물 관련용품","전북특별자치도 전주시 덕진구 오공로 123, 5층 511호 (만성동)",35.83618372,127.068618,070-8866-7749,02-543-5990,
65,식료품 제조업,(주)에이치씨포크빌,식육즉석판매가공,전북특별자치도 전주시 완산구 공수내로 9,35.80458926,127.1484836,063-717-4250,,
66,식료품 제조업,시골장터,기타 식료품,전북특별자치도 전주시 덕진구 건산로 53-2 (인후동2가),35.83297021,127.1432002,,,
67,식료품 제조업,(주)간부,"펫푸드,펫케어서비스","전북특별자치도 전주시 완산구 천잠로 227-63 (효자동2가,천잠재)",35.8075343,127.0890567,1688-5930~2,,
68,식료품 제조업,농업회사법인 푸드마켓,반찬류 가공(제조),전북특별자치도 전주시 덕진구 운암로 42-6 (팔복동2가),35.86069165,127.0888263,063-254-6269,,
69,식료품 제조업,(주)라파프로폴리스,프로폴리스,전북특별자치도 전주시 덕진구 여산로 130-15 (여의동),35.86347043,127.0797151,063-213-8736,063-241-8736,http://raphapp.co.kr
70,식료품 제조업,비비하우스케이크,케이크,"전북특별자치도 전주시 완산구 우전로 250, 1층 104호 (효자동2가)",35.81715991,127.102204,,,
71,식료품 제조업,플러스(주),음료제조,"전북특별자치도 전주시 완산구 천잠로 303 (효자동2가,대학본관 147호)",35.81616752,127.0888808,063-717-8001,,
72,식료품 제조업,(주)플러스,건강 기능성 식품 개발 및 보급,전북특별자치도 전주시 완산구 천잠로 303 (효자동2가)대학본관 147호,35.81616752,127.0888808,,,
73,식료품 제조업,(유한)농정심,"급식유통, 일반식품",전북특별자치도 전주시 완산구 호동길 49-15 (삼천동3가),35.79092033,127.0827524,063-252-0062,063-253-0062,
74,식료품 제조업,전주햇살부각,부각,"전북특별자치도 전주시 덕진구 동가재미1길 24-7, 1층 일부 (인후동1가)",35.83199763,127.1638307,063-904-2550,,
75,식료품 제조업,(유한)하오웰리스 농업회사법인,들기름,전북특별자치도 전주시 덕진구 번영로 302,35.87685148,127.0400806,063-211-9005,063-211-9095,
76,식료품 제조업,나의식품,기타 식사용,전북특별자치도 전주시 덕진구 반월3길 17,35.87254778,127.0728332,,,
77,식료품 제조업,글로리플랜트인텔리전스디벨롭먼트코리아(주),건강기능식품 제조업,전북특별자치도 전주시 덕진구 원장동길 111-18 (장동),35.85165807,127.0592154,063-213-7104,063-213-7140,
78,식료품 제조업,안다미로,기타 식료품,"전북특별자치도 전주시 덕진구 반월4길 16, 102동 302호 (반월동,영무예다음아파트)",35.8752613,127.0729123,063-224-8255,,
79,식료품 제조업,평화떡기름방앗간,참기름.들기름,전북특별자치도 전주시 완산구 선너머3길 5-4 (중화산동1가),35.81319553,127.1306427,063-284-0788,,
80,식료품 제조업,(주)고투컴퍼니,커피원두100%,"전북특별자치도 전주시 완산구 안행8길 48-4, 1동 (삼천동1가,삼아자동차부품)",35.79943497,127.1309916,070-8615-1279,,http://www.gotocompany.co.kr
81,식료품 제조업,(유한)밀도,국수,전북특별자치도 전주시 덕진구 들사평서로 32 (덕진동1가),35.8386342,127.1199829,,,
82,식료품 제조업,돈돈팜㈜,양돈 및 축산,"전북특별자치도 전주시 덕진구 중동로 104-10, 401호, 402호",35.8429567,127.0645096,063-460-0973,063-220-6247,
83,식료품 제조업,웰리스푸드,기타 식사용가공 (급식.도시락),"전북특별자치도 전주시 덕진구 아중천2길 31, 맨우측 (산정동)",35.83613682,127.1719671,063-241-2605,,
84,식료품 제조업,시원떡집,떡,"전북특별자치도 전주시 덕진구 송천로 1, 2동 117호 (송천동1가,송천동센트럴파크아파트)",35.85355867,127.1185894,063-252-3500,,
85,식료품 제조업,봉수네건강원,건강기능식품,"전북특별자치도 전주시 완산구 거마중앙로 7, 1층 (삼천동1가,봉수당한약방)",35.79666046,127.1175688,063-229-4003,,
86,식료품 제조업,우가원,기타 식료품,전북특별자치도 전주시 완산구 계룡산길 28-4 (삼천동2가),35.7918154,127.1046791,063-223-6363,,
87,식료품 제조업,(주)동아트레이드,기타 식료품,"전북특별자치도 전주시 완산구 서곡2길 24-4, 1층 (효자동3가)",35.8334146,127.1027518,070-8845-3477,,
88,식료품 제조업,머쉬앤,버섯균사쌀,"전북특별자치도 전주시 덕진구 콩쥐팥쥐로 1515, 113호 창업보육센터 (중동,한국농수산대학)",35.83038799,127.068575,0507-1392-4060,,
89,식료품 제조업,(주)케비젠,"건강기능식품 및 화장품의 소재(유산균, 홍삼분말 외)",전북특별자치도 전주시 덕진구 반룡로 62 (팔복동2가),35.85746706,127.087911,063-214-1691,063-214-1692,http://www.chebigen.com
90,식료품 제조업,(유한)유엔케이,과실ㆍ채소 가공,"전북특별자치도 전주시 완산구 인봉남로 56, 101동 204호 (중노송동,우성해오름아파트)",35.82582839,127.1593355,,,
91,식료품 제조업,스톤즈커피로스터스,커피원두 등,"전북특별자치도 전주시 완산구 메너머2길 6-3, 101호 (중화산동2가)",35.82275895,127.1220172,070-4100-8717,,
92,식료품 제조업,(주)다즐,기타 과실ㆍ채소 가공 및 저장 처리,"전북특별자치도 전주시 덕진구 가재미2길 8, 304호 (인후동1가)",35.82866865,127.1633786,,,
93,식료품 제조업,(주)케이얼반,육포 개발 및 판매,"전북특별자치도 전주시 완산구 중화산로 68, 201호 (중화산동2가,강석빌딩)",35.81628849,127.1184476,070-8633-6677,,
94,식료품 제조업,(유한)지엔피,커피 가공,"전북특별자치도 전주시 완산구 마전로 17, 1층 (효자동3가)",35.82263582,127.1040792,063-903-8888,,
95,식료품 제조업,(주)에스엠아이 농업회사법인,기타 과실ㆍ채소 가공 및 저장 처리업,"전북특별자치도 전주시 완산구 봉곡2길 15, 401호 (효자동3가,드림하우스)",35.8131604,127.0952888,,,
96,식료품 제조업,(유한)에스와이수산,수산물,전북특별자치도 전주시 완산구 계룡산길 54,35.78937658,127.1051821,063-223-2097,,
97,식료품 제조업,굽다,기타 식료품,"전북특별자치도 전주시 덕진구 추천6길 20, 1층 일부호 (팔복동2가)",35.85127699,127.1061821,,,
98,식료품 제조업,라라베리,기타 식료품,전북특별자치도 전주시 완산구 범안2길 23 1층,35.81313677,127.1066091,0507-1348-6430,,
99,식료품 제조업,(주)크엘,육류 기타 가공 및 저장처리업 (가금류 제외),"전북특별자치도 전주시 완산구 문학대2길 11-5, 302호 (효자동3가)",35.82597214,127.1030678,,,
100,식료품 제조업,뉴트리커머스,기타 식료품,"전북특별자치도 전주시 덕진구 서귀로 212-17, 1층 (여의동)",35.85788867,127.0781852,063-214-9122,,
101,식료품 제조업,라이스소리,떡.한과,"전북특별자치도 전주시 덕진구 견훤로 499, 3층 301호 (우아동3가)",35.85492212,127.1553866,0507-1328-5592,,
102,식료품 제조업,정든에프엔비(주),반찬/식료품,"전북특별자치도전주시 덕진구 만성중앙로 17-47, 101호 (만성동)",35.84516961,127.0732732,063-717-1221,,
103,식료품 제조업,평화제과,"빵, 떡",전북특별자치도 전주시 완산구 월선길 5 (삼천동3가),35.7954441,127.0814614,063-227-1934,,
104,식료품 제조업,꿈나무식품,"참기름, 들기름",전북특별자치도 전주시 덕진구 우아8길 17,35.85107954,127.1575307,063-243-5670,,
105,식료품 제조업,마이마이마이,"젤리픽, 플로","전북특별자치도 전주시 덕진구 콩쥐팥쥐로 1515, 116호 (중동,창업보육센터)",35.83038799,127.068575,070-4110-2628,,
106,식료품 제조업,(주)올포벳,단미 사료 및 기타 사료,전북특별자치도 전주시 덕진구 오신2길 6 (성덕동),35.88339648,127.0357711,,,
107,식료품 제조업,온한아름,과자류,"전북특별자치도 전주시 완산구 서곡2길 10-4, 1층 (효자동3가,코람데오빌)",35.83406358,127.1015491,,,
108,식료품 제조업,망고네,동물사료제조,전북특별자치도 전주시 덕진구 중상보로 41 (우아동2가),35.83371185,127.1719037,063-287-2077,,
109,식료품 제조업,파머스링크협동조합,샤인머스켓,전북특별자치도 전주시 완산구 난전들로 140-11 (평화동3가),35.78151308,127.1180789,,063-225-3782,
110,식료품 제조업,농업회사법인 도솔팜,기타 과실ㆍ채소 가공,"전북특별자치도 전주시 완산구 홍산북로 45-20, 보람빌딩 301호 (효자동3가)",35.81816249,127.1073386,,,
111,식료품 제조업,(주)그린루프 농업회사법인,빵류,전북특별자치도 전주시 덕진구 금상길 10 (산정동),35.84153058,127.1738483,0507-1448-0701,,
112,식료품 제조업,원미트,식육포장처리,전북특별자치도 전주시 완산구 삼천천변2길 24-3 (삼천동1가),35.79632835,127.1128485,063-283-4200,063-283-4201,
113,식료품 제조업,(주)스위티,커피 가공,"전북특별자치도 전주시 덕진구 만성중앙로 53-37, 206호 (만성동)",35.84323844,127.0776571,063-212-7200,,
114,식료품 제조업,엄마손찐빵,우리밀삼색찐빵,"전북특별자치도전주시 완산구 효동2길 27, 1층 (효자동1가)",35.8040092,127.1266378,063-282-0455,,
115,식료품 제조업,농업회사법인 자연드림(유한),과실 · 채소류 전처리 가공 및 샐러드,전북특별자치도 전주시 덕진구 오신2길 17 (성덕동),35.88306627,127.0350552,063-212-0240,063-273-0208,
116,식료품 제조업,쿠엔즈 고궁,식물성 유지 제조,전북특별자치도 전주시 완산구 유연로 170 (효자동3가),35.82490668,127.1040205,063-252-3720,,
117,식료품 제조업,(유한)봉춘식품,"팥 앙금, 반죽",전북특별자치도 전주시 완산구 용와길 4-56 (평화동3가),35.77975646,127.1132978,063-227-5226,063-226-5226,
118,식료품 제조업,(주)한획,기타 식료품 제조업,"전북특별자치도 전주시 완산구 황강서원로 15, 1층 (효자동3가)",35.82859888,127.0987662,,,
119,식료품 제조업,유한회사후레쉬영농농업회사법인,농산물외,전북특별자치도 전주시 덕진구 용암길 30 (반월동),35.88001827,127.0645177,063-2541-9090,063-214-3678,
120,식료품 제조업,베테랑푸드,칼국수 면 외,전북특별자치도 전주시 완산구 모악로 4673 (평화동2가),35.78686051,127.1295906,,,
121,식료품 제조업,시월애봄날,기타 식료품 제조업,"전북특별자치도 전주시 완산구 서신천변로 58, 1층 104호 시월애봄날 (서신동,코리아사우나찜질방)",35.8304915,127.1145387,,,
122,식료품 제조업,(주)원플러스쇼핑,밀키트식품,전북특별자치도 전주시 덕진구 인교4길 11-3 (우아동1가),35.82624653,127.1715495,063-903-2470,,
123,식료품 제조업,노아펫바이오,"혼합성 단미사료, 동물영양제","전북특별자치도 전주시 완산구 천잠로 303, 본관 132호 (효자동2가,전주대학교)",35.81616752,127.0888808,,,
124,식료품 제조업,KVINA,친환경 농산물 가공품 제조,"전북특별자치도 전주시 완산구 천잠로 303, 벤처창업관 204호(효자동2가, 전주대학교)",35.81616752,127.0888808,,,
125,식료품 제조업,착한공작소,과자류 및 코코아 제품,전북특별자치도 전주시 완산구 전라감영로 36,35.81507941,127.1432372,063-284-0403,,
126,식료품 제조업,반월기름떡방앗간,곡물 도정,전북특별자치도 전주시 덕진구 여암1길 3,35.87196738,127.0758852,063-211-8965,,
127,식료품 제조업,풀꽃세상(유한),채식뷔페(도시락류),전북특별자치도 전주시 완산구 우림로 1036-13 (중인동),35.77924583,127.1064016,063-221-3355,,
128,식료품 제조업,아울러 푸드,"도계육가공,포장","전북특별자치도 전주시 완산구 인봉로 38, 1층 (중노송동)",35.82680557,127.1585837,063-227-8592,,
129,식료품 제조업,파인푸드랩,식료품 제조,"전북특별자치도 전주시 덕진구 백제대로 753, 3층 (인후동2가)",35.84652759,127.1510695,,,
130,식료품 제조업,참맑은식품,기타 식료품,"전북특별자치도 전주시 완산구 거마평로 139, 102동 1층 7호 (효자동1가,삼성효자타운)",35.80468938,127.114869,,,
131,식료품 제조업,(주)팥알,커피,"전북특별자치도 전주시 완산구 용머리로 77, 1층 (효자동1가,효사랑가족요양병원)",35.80669328,127.1189628,,,
132,식료품 제조업,꽃다미,화과자,전북특별자치도 전주시 완산구 배학3길 16-8 (효자동3가),35.8201936,127.095685,063-905-3345,,https://www.instagram.com/flowerdami_/
133,식료품 제조업,농업회사법인 유한회사 개미푸드,과실ㆍ채소 가공,"전북특별자치도 전주시 완산구 용머리로 194, 126동 502호 (효자동1가,주공3단지)",35.80374586,127.1338546,063-253-3743,,
134,식료품 제조업,행복한맛김치,김치,"전북특별자치도 전주시 덕진구 건산로 125, 1층 (인후동1가)",35.83330518,127.1510441,063-242-4539,,
135,식료품 제조업,(유한)그린미트,"돈육, 한우, 수입육 등","전북특별자치도 전주시 완산구 중산로 43-12, 1층 (중화산동2가)",35.81806928,127.1191583,063-902-2515,063-229-6969,
136,식료품 제조업,땅스부대찌개효자점,기타 식료품,"전북특별자치도 전주시 완산구 호암로 78, 1층 101-2호 (효자동2가)",35.80840361,127.1028004,063-903-0599,,
137,식료품 제조업,깃발날리다,과자류,"전북특별자치도 전주시 완산구 천잠로 178, 1층 (효자동2가)",35.80334967,127.0982987,,,
138,식료품 제조업,수지스링크비셀프푸드솔루션즈(주),고수분 식물성 대체육,"전북특별자치도 전주시 덕진구 콩쥐팥쥐로 1515, 1층 115호 (중동,도서관건물)",35.83038799,127.068575,031-947-8277,,
139,식료품 제조업,나래 농업회사법인(주),밀키트 제조,전북특별자치도 전주시 덕진구 솔내로 141,35.86276423,127.1264487,,,
140,식료품 제조업,농업회사법인유한회사두레,육가공식품,"전북특별자치도 전주시 덕진구 아중로 236, 1층 (우아동1가)",35.8288285,127.1747877,1668-2451,063-246-9311,
141,식료품 제조업,훈이네닭발,기타 식료품,전북특별자치도 전주시 완산구 풍남문4길 8 (전동3가),35.81321302,127.1456806,063-284-1344,,
142,식료품 제조업,맛찬,기타 식료품,"전북특별자치도 전주시 덕진구 견훤로 335, 1층 105호 (인후동1가,위브어울림아파트상가1)",35.84135934,127.1543789,063-242-6028,,
143,식료품 제조업,산서원,장류,전북특별자치도 전주시 덕진구 정여립로 1115 135호 (만성동),35.84860158,127.0836063,,,
144,식료품 제조업,(주)태진,과실ㆍ채소 가공,"전북특별자치도 전주시 완산구 안행로 27, 3층 (삼천동1가)",35.80078772,127.1310986,,,
145,식료품 제조업,농업회사법인 푸드네이처,과실,"전북특별자치도 전주시 덕진구 만성북로 51-25, 4층 4051호 (만성동,스페이스온지식산업센터)",35.84905387,127.082638,070-4250-8114,050-4474-9772,
146,식료품 제조업,다락,영양바,"전북특별자치도 전주시 완산구 천잠로 303, 153호 (효자동2가,전주대학교 본관 창업보육센터)",35.81616752,127.0888808,063-714-2545,063-714-2543,
147,식료품 제조업,뜨락도시락앤분식,도시락,"전북특별자치도 전주시 완산구 중화산로 36, 1층(중화산동2가)",35.81355701,127.1183781,063-236-0837,050-7461-7952,
148,식료품 제조업,㈜재경농업회사법인,과실 채소가공,"전북특별자치도 전주시 덕진구 서가재미3길 9-4, 1층",35.8330654,127.1592593,,,
149,식료품 제조업,(주)고은푸드,식육 포장 처리육,전북특별자치도 전주시 덕진구 운암로 35-4(팔복동2가),35.86080243,127.0879835,063-213-4003,063-213-4113,
150,식료품 제조업,꽃피당,기타 식료품,전북특별자치도 전주시 완산구 간납로 9 (풍남동3가),35.81687785,127.1554017,0507-1406-6657,,
151,식료품 제조업,(유한)케이사이공,기타 식료품,"전북특별자치도 전주시 완산구 대동로 9-1, 2층 별관 (태평동)",35.82115468,127.1369858,063-273-2020,,
152,식료품 제조업,전주엄마손협동조합,김치류,전북특별자치도 전주시 완산구 객원길 57-28 (대성동),35.79600235,127.1734451,063-284-5111,,
153,식료품 제조업,(유한)돈두사랑,육류가공처리,전북특별자치도 전주시 완산구 호동길 49-2 (삼천동3가),35.79037361,127.0819732,0507-1497-1560,063-237-3621,
154,식료품 제조업,다산푸드,육류 포장육 및 냉동육 가공업,전북특별자치도 전주시 덕진구 신성길 31-38 (성덕동),35.88263248,127.0337868,063-211-9940,,
155,식료품 제조업,산해진미,기타 식료품,전북특별자치도 전주시 완산구 평화로 68 (평화동2가),35.78271564,127.1335072,063-225-2748,,
156,식료품 제조업,(유한)이화유통,육류 가공,"전북특별자치도 전주시 덕진구 인교3길 14, 1동 (우아동1가)",35.82765686,127.1734828,063-249-1200,,
157,식료품 제조업,몽글리앙떡케이크,떡케익,전북특별자치도 전주시 덕진구 만성남5길 11 (만성동),35.84104359,127.0723581,,,
158,식료품 제조업,(주)알에스,식료품 제조,전북특별자치도 전주시 덕진구 초포다리로 66 (호성동1가),35.86174055,127.1598983,063-253-6689,,
159,식료품 제조업,(주)후켄,육류 기타 가공,"전북특별자치도 전주시 완산구 고사평9길 15, 1층 (서신동,강진빌라)",35.83852024,127.1093911,063-277-7010,,
160,식료품 제조업,어반다이닝,양식,"전북특별자치도 전주시 덕진구 도당산4길 65, 1층 101호 (우아동3가)",35.84584007,127.1545528,063-245-8020,,
