읍면,회사명,공장대표주소,전화번호,생산품
행안면 ,(주)주성,전북특별자치도 부안군 행안면 부안농공단지길 32,063-581-7713,"온열벤치,스노우멜팅장치,LED조명기구,교통신호장치,안내판, 배전반 및 전기자동제어반 제조업, 전기차단기"
행안면 ,(주)티앤아이,전북특별자치도 부안군 행안면 부안농공단지길 14-8 (화인테크) (총 3 필지) 외 2필지,063-581-9111,"보온재, 단열재"
행안면 ,(주)포올이앤씨,"전북특별자치도 부안군 행안면 부안3농공단지길 99, 제2동",063-582-3730,"교통신호장치, 영상감시장치"
행안면 ,(주)피시원,전북특별자치도 부안군 행안면 부안3농공단지길 9,063-581-9851,수산물 가공품
보안면 ,(주)한교,전북특별자치도 부안군 보안면 청자로 1381,063-584-9901,"전분, 당면"
행안면 ,(주)한국폴리우드,"전북특별자치도 부안군 행안면 옥여길 33, (주)한국폴리우드",063-581-0479,"합성목재, 비철금속 절단 중간재"
행안면 ,(주)해미원에프앤비,전북특별자치도 부안군 행안면 염소로 78,063-584-5515,"가능성쌀, 해조묵"
행안면 ,BA스틸,전북특별자치도 부안군 행안면 옥여길 33-3 (부안철망),063-582-6701,철망제품
보안면 ,P&E,"전북특별자치도 부안군 보안면 농공단지길 33-9, 줄포농공단지",063-584-8112,"제재목, 각재, 판매"
부안읍 ,RBNF(알비내츄럴식품),전북특별자치도 부안군 부안읍 신흥길 35 (RENF식품공장),063-584-7942,"오디잼,캔디,전병,가공초콜릿"
부안읍 ,가가공업사,"전북특별자치도 부안군 부안읍 문정로 117,",063-584-6602,"토목,유사용기계장"
부안읍 ,강산명주 농업회사법인 주식회사,전북특별자치도 부안군 부안읍 석정로 83 외 6필지,063-584-9960,오디주
주산면 ,강산미곡처리장,전북특별자치도 부안군 주산면 선돌로 442 외 3필지,063-581-6011,쌀(미곡)
계화면 ,계화농협미곡종합처리장,전북특별자치도 부안군 계화면 새포로 388 외 2필지,063-581-2324,"쌀,비료"
계화면 ,계화농협미곡종합처리장,전북특별자치도 부안군 계화면 창북리 1034-11번지,063-581-2324,백미
상서면 ,고잔정미소,전북특별자치도 부안군 상서면 고잔리 320-1번지,063-584-6848,미곡
진서면 ,곰소천년의젓갈영어조합법인,전북특별자치도 부안군 진서면 진서리 385번지,010-***-****,"젓갈, 무염황태채"
진서면 ,곰소항식품,"전북특별자치도 부안군 진서면 진서리 1011-1,6번지",063-582-7118,젓갈류
부안읍 ,공감디자인,전북특별자치도 부안군 부안읍 석정로 159,063-584-9964,"현수막,간판"
부안읍 ,광고맛집,전북특별자치도 부안군 부안읍 부풍로 99,063-581-4104,"현수막, 간판"
위도면 ,금영수산,전북특별자치도 부안군 위도면 식도리 1-24번지,010-***-****,건멸치
백산면 ,금판영농조합법인,전북특별자치도 부안군 백산면 신금길 14,063-583-4832,쌀
동진면 ,금판영농조합법인,전북특별자치도 부안군 동진면 하장리 1625-10번지,063-583-4832,청결미
보안면 ,나누미김장,전북특별자치도 부안군 보안면 우동길 13-6,063-584-6131,김치
부안읍 ,나무풍경,전북특별자치도 부안군 부안읍 옹중서원길 8-20,063-581-2870,나무가구
보안면 ,남부안농업협동조합,전북특별자치도 부안군 보안면 묘동길 47 (보안군농협공동퇴비처리장),063-581-3012,왕겨발효퇴비
줄포면 ,남부안농업협동조합,전북특별자치도 부안군 줄포면 장산로 139-9 (농협DSC공장) (총 2 필지) 외 1필지,063-581-3012,유기질비료
행안면 ,남연침구,전북특별자치도 부안군 행안면 옥여길 33-2 (행안면),063-581-5330,"침구류,커튼"
행안면 ,내변산,전북특별자치도 부안군 행안면 부안농공단지길 14-11 (동진(뽕주)) (총 2 필지) 외 1필지,063-582-0027,"과실주,약주,탁주"
변산면 ,내츄럴팜영농조합법인,전북특별자치도 부안군 변산면 운산리 641-10번지 외 1필지,063-583-7718,오디제품 
부안읍 ,농업법인(주)자연세상,전북특별자치도 부안군 부안읍 순환남로 590 외 2필지,010-***-****,구운김
동진면 ,농업회사법인 (주)백산라이스푸드,전북특별자치도 부안군 동진면 간척길 127,063-544-7768,"쌀, 잡곡"
진서면 ,농업회사법인 (주)선영이네,전북특별자치도 부안군 진서면 진서리 1309-7번지,010-***-****,김치
행안면 ,농업회사법인 (주)에스피,전북특별자치도 부안군 행안면 진동제내길 87,063-582-4900,"발효사료, 보조사료, 탈취제"
계화면 ,농업회사법인 돈지농산(주),전북특별자치도 부안군 계화면 의복로 78 외 1필지,063-582-1336,쌀
동진면 ,농업회사법인 유한회사 당하,전북특별자치도 부안군 동진면 염소로 217 (당하정미소),063-584-2036,쌀
동진면 ,농업회사법인 유한회사 대망,전북특별자치도 부안군 동진면 순환남로 777 외 1필지,,"청결미, 쌀눈"
행안면 ,농업회사법인 유한회사 떡두꺼비,전북특별자치도 부안군 행안면 염소로 92 외 1필지,063-583-5201,"뽕잎송편, 모시송편, 뽕잎개떡, 모시개떡"
진서면 ,농업회사법인 유한회사 슬지제빵소,전북특별자치도 부안군 진서면 청자로 1076,010-***-****,"팥앙금, 찐빵"
행안면 ,농업회사법인 유한회사 제일농산,전북특별자치도 부안군 행안면 부안농공단지길 14-17 (제일농산),063-581-0607,혼합곡
부안읍 ,농업회사법인 유한회사 한명애생활비누,전북특별자치도 부안군 부안읍 석정로 132,063-583-9830,"죽염비누, 뽕비누"
행안면 ,농업회사법인 주식회사 들찬,전북특별자치도 부안군 행안면 옥여길 76-19,010-***-****,누룽지
상서면 ,농업회사법인 케이유팜스 ,전북특별자치도 부안군 상서면 유정길 18-41,031-643-9661,시래기
행안면 ,농업회사법인 한송 주식회사,전북특별자치도 부안군 행안면 옥여길 76-5,063-580-6021,육계
백산면 ,농업회사법인(유)메뚜기,전북특별자치도 부안군 백산면 백산동로 447 (백산면),063-584-8813,"쌀, 잡곡"
행안면 ,농업회사법인유한회사 거상,전북특별자치도 부안군 행안면 옥여길 32-68,010-***-****,"바람떡, 꿀떡, 앙금절편"
행안면 ,농업회사법인유한회사 새만금푸드,전북특별자치도 부안군 행안면 옥여길 23,063-583-0012,김치
주산면 ,농업회사법인유한회사피오레,전북특별자치도 부안군 주산면 주산동로 88 외 7필지,063-582-0657,빵
주산면 ,농장760 농업회사법인 주식회사,전북특별자치도 부안군 주산면 부안로 1668-20,070-4150-0760,생강청
보안면 ,대광수산영어조합,전북특별자치도 부안군 보안면 신복길 132-35,010-***-****,활바지락
줄포면 ,대동농업회사법인(유),전북특별자치도 부안군 줄포면 주을로 259-13,063-584-0707,"무말랭이, 건조식품"
줄포면 ,대양산업(주),전북특별자치도 부안군 줄포면 농공단지길 20,063-581-1640,"가로등주, 경관조명"
백산면 ,대죽정미소,전북특별자치도 부안군 백산면 백산로 97 (총 6 필지) 외 5필지,063-581-8616,쌀
줄포면 ,대흥상사,전북특별자치도 부안군 줄포면 농공단지길 22 ((주)태화) (총 2 필지) 외 1필지,010-***-****,없음
줄포면 ,더로드,전북특별자치도 부안군 줄포면 농공단지길 14-7 (유)삼현조명,063-582-7790,"코아네트, 식생매트, 보행매트"
행안면 ,덕산에테르씨티 주식회사,전북특별자치도 부안군 행안면 부안3농공단지길 53,063-584-7711,수소저장용기
계화면 ,동신수산영어조합법인,전북특별자치도 부안군 계화면 돈지3길 8 (김가공업) 외 1필지,063-581-2354,건김
부안읍 ,동양기계,전북특별자치도 부안군 부안읍 용암로 190,063-584-2030,농기계 차양 부품 등
부안읍 ,동양목재창호,전북특별자치도 부안군 부안읍 봉덕리 530번지,010-***-****,목재문
동진면 ,동진협동미곡종합처리장(영농조합법인),전북특별자치도 부안군 동진면 문포로 88 (동진협동미곡종합처리장) 외 4필지,063-584-6426,쌀
주산면 ,동훈푸드산업,전북특별자치도 부안군 주산면 선돌로 370 (주산동훈공업사),063-584-6518,"뽕오디·감자 분말품,  고구마·사과·해초 건조품"
변산면 ,들국화영농조합법인,전북특별자치도 부안군 변산면 도유로 118-28 (묵방산들국화가공공장),063-581-9812,들국화차류
하서면 ,등룡RPC영농조합법인,전북특별자치도 부안군 하서면 석불로 4 (등룡미곡처리장) (총 6 필지) 외 5필지,063-583-9606,쌀
주산면 ,라이스프라자영농조합법인,전북특별자치도 부안군 주산면 선돌로 663 외 3필지,063-582-4086,"백미, 보리"
계화면 ,라이프영농조합법인,전북특별자치도 부안군 계화면 금산길 123 (총 2 필지) 외 1필지,063-581-5155,일반미
계화면 ,라이프영농조합법인,전북특별자치도 부안군 계화면 창북리 4129-4번지 외 1필지,010-***-****,귀리및산물벼
줄포면 ,문윤정부동산,"전북특별자치도 부안군 줄포면 농공단지길 6, 제이페이퍼(줄포농공단지)",010-***-****,"코팅네바리,초배지,아이텍스"
진서면 ,미림식품,전북특별자치도 부안군 진서면 진서리 149-10번지,063-581-5656,풀치무침
부안읍 ,미스바자동차공업사,전북특별자치도 부안군 부안읍 오리정로 113,063-583-8338,자동차 재제조 부품 제조업
백산면 ,백룡정미소,전북특별자치도 부안군 백산면 용계리 254-1번지,063-582-2017,쌀
진서면 ,백합수산영어조합법인,전북특별자치도 부안군 진서면 청자로 896-6,063-581-5211,수산물(어패류)
부안읍 ,벗님넷,전북특별자치도 부안군 부안읍 선은1길 4-2,070-4700-3770,나무안내판
행안면 ,변산생약영농조합법인,전북특별자치도 부안군 행안면 역리 121-5번지,,한약농축액
변산면 ,변산정미소,전북특별자치도 부안군 변산면 지서리 398-6번지,063-581-7870,쌀
행안면 ,봉봉이네 수산협동조합,전북특별자치도 부안군 행안면 옥여길 76-15,010-***-****,수산물 가공품
줄포면 ,부경식품,전북특별자치도 부안군 줄포면 농공단지길 14-24 (741-17),011-***-****,청국장환
보안면 ,부동산임대,전북특별자치도 부안군 보안면 농공단지길 30,011-***-****,부동산임대업
상서면 ,부안군 농업기술센터,전북특별자치도 부안군 상서면 통정리 380-5번지,063-5582-9701,동물용 사료 및 보조식품 제조업
부안읍 ,부안군청(바다의향기),"전북특별자치도 부안군 부안읍 봉두길 52, 부안종합사회복지관 (노인복지시설)",063-580-4420,"조미김,구이김,마른김"
백산면 ,부안농업협동조합,전북특별자치도 부안군 백산면 평교리 1027-5번지 외 4필지 외 4필지,063-581-1020,"쌀, 왕겨숯, 왕겨액"
진서면 ,부안수산업협동조합,전북특별자치도 부안군 진서면 진서리 1215-37번지,063-584-3103,냉동수산물
변산면 ,부안수산업협동조합,전북특별자치도 부안군 변산면 격포중앙길 21-8 (부안수협냉동냉장저장고),063-584-9400,냉동 냉장 어류
행안면 ,부안수산업협동조합,전북특별자치도 부안군 행안면 부안농공단지길 14-3 (수협가공공장) 외 1필지,063-581-4812,"뽕잎고등어,액젓,맛김,다시마국수"
행안면 ,부안자동차중기보링공업사,전북특별자치도 부안군 행안면 염소로 109 (부안보링) (총 3 필지) 외 2필지,063-582-1050,중기정비
보안면 ,부안전통옹기,"전북특별자치도 부안군 보안면 농공단지길 33-5, 부안전통옹기",070-4404-9272,옹기
부안읍 ,부안주조장,전북특별자치도 부안군 부안읍 상원길 14 (부안주조장),063-584-2015,탁주
부안읍 ,부안참뽕간장새우,전북특별자치도 부안군 부안읍 모산리 710-1번지,010-***-****,"간장새우, 간장게장"
상서면 ,부안콘크리트,전북특별자치도 부안군 상서면 고인돌로 209 (부안콘크리트),063-581-0487,"벽돌, 보도블럭"
행안면 ,부일식품,전북특별자치도 부안군 행안면 서문로 46 (부일산업사),063-584-3518,두부
부안읍 ,뽕의도리 농업회사법인 유한회사,"전북특별자치도 부안군 부안읍 연곡로 23,",010-***-****,"뽕잎수제소세지,편육"
하서면 ,산내들에스엠(주),전북특별자치도 부안군 하서면 변산로 1080-12,063-581-1135,"막걸리약주, 과실주"
변산면 ,산들바다유기농업영농조합법인,전북특별자치도 부안군 변산면 변산로 2533 외 2필지,063-582-3082,"액상차, 침출차"
부안읍 ,삼광바이오텍(주),전북특별자치도 부안군 부안읍 덕림로 36-14 (공장),063-581-0014,퇴비
변산면 ,삼보식품(주),전북특별자치도 부안군 변산면 지서리 203-24번지 외 1필지,063-581-2081,"죽염된장,죽염간장"
줄포면 ,삼해상사(주)부안2공장,전북특별자치도 부안군 줄포면 농공단지길 14-10 외 5필지,063-584-6661,조미김
줄포면 ,삼해상사(주)부안공장,전북특별자치도 부안군 줄포면 농공단지길 14-10 (줄포면) 외 5필지,063-584-6661,맛김
행안면 ,상진콘크리트,전북특별자치도 부안군 행안면 대초리 76-1번지 외 10필지 외 10필지,063-584-6744,"벽돌,맨홀,수로관"
행안면 ,새만금특장무역,전북특별자치도 부안군 행안면 부안농공단지길 23,010-***-****,"적재함, 자동차용리프트, 내장탑 등"
주산면 ,새만금푸른영농조합법인,전북특별자치도 부안군 주산면 사산리 79번지 외 8필지,010-***-****,"함초수,채소가공품"
행안면 ,샘기술 주식회사,전북특별자치도 부안군 행안면 부안농공단지길 51 샘기술 주식회사,063-583-7179,"가로등주, LED등, 경관조명,마스크, 마스크제조기, 기기용 자동 측정및 제어장치, 배전반 및 전기 자동제어반 제조업"
부안읍 ,서림무역,전북특별자치도 부안군 부안읍 고마제로 70 (서림자동차공업사),063-581-0358,압축사료
보안면 ,서안전분주식회사,전북특별자치도 부안군 보안면 청자로 1383,063-584-9903,전분
행안면 ,서진장갑,전북특별자치도 부안군 행안면 검암길 7,063-582-4581,"코팅장갑,면장갑"
계화면 ,서해안영어조합법인,전북특별자치도 부안군 계화면 돈지로 299 (낙원농수산해태배양장),063-583-2098,김
줄포면 ,서호플랜트,전북특별자치도 부안군 줄포면 농공단지길 14-3,063-582-8806,"배관, 저장탱크, 기체여과기"
행안면 ,성원푸드,전북특별자치도 부안군 행안면 부안3농공단지길 86,010-***-****,"닭목살, 닭가슴연골, 닭안창살, 닭어깨살"
하서면 ,섶못정미소,전북특별자치도 부안군 하서면 하서길 33-4 (방앗간),063-582-4050,보리
계화면 ,세포정미소,전북특별자치도 부안군 계화면 조포길 68 (새포정미소),063-582-1383,쌀
상서면 ,신영정미소,전북특별자치도 부안군 상서면 통정리 286-3번지,063-582-4055,살
행안면 ,신용정미소,전북특별자치도 부안군 행안면 신기리 347-1번지,063-584-5577,쌀
부안읍 ,신흥정미소,전북특별자치도 부안군 부안읍 신흥리 311-5번지,063-582-6474,쌀
부안읍 ,신흥중기공업사,전북특별자치도 부안군 부안읍 연곡로 221 (신흥중기공업사) (총 2 필지) 외 1필지,063-583-6302,중기부품
변산면 ,아리원식품산업,전북특별자치도 부안군 변산면 마포로 27,063-581-5740,만두
동진면 ,양산정미소,전북특별자치도 부안군 동진면 순환북로 788-10 (안동정미소),063-583-0464,"쌀, 현미"
진서면 ,양지영어조합법인,전북특별자치도 부안군 진서면 석포리 1021-1번지,063-581-8477,마른김
변산면 ,어업회사법인 대국수산 유한회사,전북특별자치도 부안군 변산면 변산해변로 602-15,063-583-0706,키조개 관자
변산면 ,어업회사법인 대양수산주식회사,전북특별자치도 부안군 변산면 새미골길 7,063-584-1238,건어물
변산면 ,어업회사법인 합명회사 대일수산식품,전북특별자치도 부안군 변산면 변산해변로 638-10 외 1필지,010-***-****,"냉동꽃게, 냉동키조개, 자숙해삼(염장)"
동진면 ,에스에이치이,전북특별자치도 부안군 동진면 금판로 349 엔피씨시팅(주),063-581-1133,이동목욕차
주산면 ,에스이솔루션(주),전북특별자치도 부안군 주산면 주산북로 301 외 1필지,063-584-3378,"산소가스, 탄산가스"
부안읍 ,에스제이산업,전북특별자치도 부안군 부안읍 신운리 182-10번지 외 2필지,010-***-****,"금속제창문, 금속철문"
백산면 ,에이취엔씨 영농영어조합법인,전북특별자치도 부안군 백산면 대수리 151-5 번지 외 2필지,063-581-9800,건조오디
동진면 ,엔에스씨(주),전북특별자치도 부안군 동진면 금판로 349 ((주)내쇼날C&D) (총 2 필지) 외 1필지,063-581-3071,"책걸상,관람석의자, 운반용 플라스틱 상자, 적재 파레트"
동진면 ,엔피씨(주),전북특별자치도 부안군 동진면 금판로 349,031-362-2850,부표
부안읍 ,영농조합법인 부김농산,전북특별자치도 부안군 부안읍 회성길 49 (부김메밀가공공장) (총 2 필지) 외 1필지,063-583-8354,"메밀쌀, 곡물가공업"
부안읍 ,영농조합법인 착한농부들,전북특별자치도 부안군 부안읍 서문로 8 (제일정미소),063-584-2960,쌀
진서면 ,옥도영어조합법인,전북특별자치도 부안군 진서면 진서리 1273-9번지,063-581-4504,마른김
진서면 ,위도식품,전북특별자치도 부안군 진서면 청자로 1266 (위도식품젓갈공장),063-583-9790,젓갈류
보안면 ,유천리요지연구소,전북특별자치도 부안군 보안면 청자로 1594-10 (유천도요),063-583-1905,민속도자기
보안면 ,유천세라믹,전북특별자치도 부안군 보안면 청자로 1500 (유천요업(주)) (총 2 필지) 외 1필지,063-582-4781,적벽돌
보안면 ,유천정미소,전북특별자치도 부안군 보안면 내유천길 6,063-582-3118,쌀
줄포면 ,유한산업,전북특별자치도 부안군 줄포면 농공단지길 14-7 ((주)가람),063-584-3149,"전선관,복층유리"
행안면 ,유한회사 기성,"전북특별자치도 부안군 행안면 옥여길 33, (행안면 부안농공단지 입주기업체) (행안면, 기성(주))",063-581-6023,"LED교통신호등, 도로표지판"
동진면 ,유한회사 디에스레미콘,전북특별자치도 부안군 동진면 고마제윗길 75,063-584-7200,레미콘
동진면 ,유한회사 디에스아스콘,전북특별자치도 부안군 동진면 고마제윗길 75 (현대아스콘),063-584-7202,아스콘
부안읍 ,유한회사 부안테크,전북특별자치도 부안군 부안읍 문정로 2 (이지정보),063-581-0686,CCTV카메라
행안면 ,유한회사 수파이프,"전북특별자치도 부안군 행안면 부안농공단지길 17, (부안농공단지)",063-582-6000,"플라스틱 선,봉,호스, 해상부유구조물"
행안면 ,유한회사 시영,"전북특별자치도 부안군 행안면 부안농공단지길 15, 부안행안농공단지",063-581-0681,"CCTV, 전광판, 컴퓨터, 지능형함체, 무인교통감시장치"
행안면 ,유한회사 아주산업,전북특별자치도 부안군 행안면 부안농공단지길 17,063-582-6000,폴리염화비닐관제 및 부속품
주산면 ,유한회사 정원레미콘,전북특별자치도 부안군 주산면 사기점길 99,010-***-****,레미콘
행안면 ,유한회사 주밀금속,전북특별자치도 부안군 행안면 부안농공단지길 50,063-581-2502,알루미늄 INGOT
줄포면 ,유한회사 줄포하늘수산,전북특별자치도 부안군 줄포면 신리로 313-12,063-581-8474,생선가공품
행안면 ,유한회사 지우,전북특별자치도 부안군 행안면 부안농공단지길 15 유한회사 시영,063-581-5351,"금속기둥(CCTV 지주), 영상감시장치,보안용카메라, 구내방송장치, 통합배선반, -, -, -, -"
행안면 ,유한회사 직연,전북특별자치도 부안군 행안면 부안3농공단지길 103,063-582-7870,"금속 문, 창호, 셔터"
상서면 ,유한회사 창명레미콘,전북특별자치도 부안군 상서면 고인돌로 197 외 3필지,063-584-5300,레미콘
행안면 ,유한회사 태광글로벌,전북특별자치도 부안군 행안면 부안농공단지길 51 샘기술 주식회사,010-***-****,"직물포대, 식생매트"
보안면 ,유한회사 현하이앤씨,전북특별자치도 부안군 보안면 농공단지길 22,063-582-7791,"분전반, 전동기제어반, 계장제어장치, LED경관조명기구"
보안면 ,이비플랜,전북특별자치도 부안군 보안면 농공단지길 22,010-***-****,"교량난간, 디자인형울타리"
동진면 ,장등정미소,전북특별자치도 부안군 동진면 장등리 319번지,063-584-5205,쌀
줄포면 ,제이지바이오농업회사법인주식회사,전북특별자치도 부안군 줄포면 대연길 57,,"보조사료, 복합사료, 보조사료, 복합사료, 보조사료, 복합사료"
줄포면 ,제이페이퍼 주식회사,전북특별자치도 부안군 줄포면 농공단지길 6,010-***-****,"제트테이프,숯초배지"
진서면 ,조명냉동,전북특별자치도 부안군 진서면 진서리 1214-115번지,063-584-8885,"냉동수산물,식용얼음"
주산면 ,주산산업,전북특별자치도 부안군 주산면 주산로 12 (주산산업),063-583-8805,p.p포대
행안면 ,주식회사 기성이앤지,전북특별자치도 부안군 행안면 옥여길 33,010-***-****,"도로표지, 신호등주, 도로안전표지판지주"
보안면 ,주식회사 네모,전북특별자치도 부안군 보안면 농공단지길 22 외 1필지,070-4366-3049,"플라스틱 필름, 시트, 스톤네트 석제품, 계측제어장치, 식생매트 등"
행안면 ,주식회사 대신에프에스,전북특별자치도 부안군 행안면 옥여길 32-76 외 1필지,063-583-2213,빵류 및 과자류
행안면 ,주식회사 성우푸드,전북특별자치도 부안군 행안면 옥여길 32-18,063-581-4966,가금류 가공 저장 처리
보안면 ,주식회사 세진파워텍,전북특별자치도 부안군 보안면 농공단지길 30,063-547-8853,"수배전반, UPS, 자동제어반,영상감시장치, CCTV"
보안면 ,주식회사 신성미네랄,전북특별자치도 부안군 보안면 농공단지길 28 외 1필지,043-836-9630,"농원예용질석, 중량수동용상토, 경량수도용상토, 원예용상토,유량계, 계장제어장치, 프로세스 제어반"
줄포면 ,주식회사 신성미네랄,전북특별자치도 부안군 줄포면 농공단지길 34-16,043-836-9630,상토
행안면 ,주식회사 에스앤지코리아,전북특별자치도 부안군 행안면 부안3농공단지길 107,063-584-9277,"태양광발전장치, 배전반, 분전반, LED조명기구,경관조명기구, 금속조립구조재, 태양광발전장치, 배전반, 분전반, LED조명기구,경관조명기구, 태양광발전장치, 배전반, 분전반, LED조명기구,경관조명기구, 태양광발전장치, 배전반, 분전반, LED조명기구,경관조명기구, 태양광발전장치, 배전반, 분전반, LED조명기구,경관조명기구"
 4필지,주식회사 이렘,부안농공단지길 29 외 4필지,063-584-6464,스테인레스강관
보안면 ,주식회사 이예스산업,전북특별자치도 부안군 보안면 농공단지길 22,010-***-****,디자인형 울타리
행안면 ,주식회사 지로드,전북특별자치도 부안군 행안면 부안농공단지길 32,063-244-8961,알루미늄잉고트
행안면 ,주식회사 참프레,전북특별자치도 부안군 행안면 옥여길 32-29 (총 5 필지),063-580-6000,"육계,삼계, 오리, 토종닭"
행안면 ,주식회사 청담,전북특별자치도 부안군 행안면 부안농공단지길 40,063-583-0140,"수문, 가동보, 펌프수문, 수격방지기 등"
행안면 ,주식회사 티엘론,전북특별자치도 부안군 행안면 부안농공단지길 14-8 (화인테크) (총 3 필지) 외 2필지,063-581-9111,"보온재, 단열재"
하서면 ,주식회사 한유 농업법인,전북특별자치도 부안군 하서면 등용길 39 (총 4 필지) 외 3필지,010-***-****,"참기름, 들기름"
보안면 ,주식회사 현하,"전북특별자치도 부안군 보안면 농공단지길 22, 3동",063-582-7791,"코르크바닥재, 도막형바닥재, 미끄럼방지재"
백산면 ,죽림정미소,전북특별자치도 부안군 백산면 신죽로 140,063-582-2079,쌀
줄포면 ,지산정미소,전북특별자치도 부안군 줄포면 율지길 33,010-***-****,쌀
행안면 ,지엘파워 유한회사,전북특별자치도 부안군 행안면 부안농공단지길 51,063-523-5501,"계장제어장치, 프로세스제어반,수배전반, 인버터제어반"
변산면 ,진흥정미소,전북특별자치도 부안군 변산면 마포리 192-2번지,063-582-8703,쌀
상서면 ,참나무골토속식품영농조합법인,전북특별자치도 부안군 상서면 내변산로 1662-14 (참나무골토속식품) (총 2 필지) 외 1필지,063-584-9525,"된장,고추장,간장"
계화면 ,창북정미소,전북특별자치도 부안군 계화면 창북안길 6 (창북정미소),063-582-1016,"쌀, 보리쌀"
진서면 ,청정바다식품(농어민후계자식품),전북특별자치도 부안군 진서면 진서리 1117번지,063-583-7661,젓갈류
진서면 ,청정바다젓갈,전북특별자치도 부안군 진서면 청자로 736-29,010-***-****,젓갈료
진서면 ,칠산식품,전북특별자치도 부안군 진서면 작도길 19-2,063-584-8470,젓갈류
행안면 ,케이헬스푸드 주식회사,전북특별자치도 부안군 행안면 옥여길 32-22,063-776-7744,홍삼엑기스 등
