단지명,회사명,대표자명,공장대표주소,대표업종번호,업종명,전화번호,팩스번호,종업원수,생산품
군산국가산업단지,(유)뉴해성,최정숙,전북특별자치도 군산시 외항로 838(소룡동),25929,그 외 기타 금속가공업,063-468-6400,063-468-6401,6,플레이트 철판
군산2국가산업단지,(유)다온이엔지,김지욱,전북특별자치도 군산시 오식도동 859-8번지,25112,구조용 금속 판제품 및 공작물 제조업,000-0000-0000,,1,철구조물
군산서수농공단지,(유)대라유통,안명기,전북특별자치도 군산시 서수면 상장곤윗길 81,10799,그 외 기타 식료품 제조업,063-452-2080,063-452-6045,11,계란 분리
군산일반산업단지,(유)대산레미콘,김용호,전북특별자치도 군산시 외항로 330 (소룡동),23329,그 외 기타 콘크리트 제품 및 유사제품 제조업 외 1 종,063-465-2778,063-465-2780,12,콘크리트 제품
군산일반산업단지,(유)대산아스콘,김용호,"전북특별자치도 군산시 외항안길 300 (소룡동, (유)대산아스콘) (총 2 필지)",23991,아스팔트 콘크리트 및 혼합제품 제조업 외 1 종,063-453-8117,063-453-8116,9,"아스콘, 순환골재"
군산2국가산업단지,(유)대산이엔지,조미애,전북특별자치도 군산시 외항로 948 (소룡동),25112,구조용 금속 판제품 및 공작물 제조업 외 2 종,063-465-6662,063-465-6661,6,"반응조, 저장조 등"
군산2국가산업단지,(유)대성기계,박춘근,전북특별자치도 군산시 동가도길 20-30 (오식도동),25924,절삭가공 및 유사처리업 외 5 종,063-471-8172,063-461-7530,6,"금속 절삭 가공, 액체펌프, 수문, 크레인, 하수처리장치 등"
군산2국가산업단지,(유)대성이엔티,문병호,전북특별자치도 군산시 오식도동 857-16번지,29229,기타 가공 공작기계 제조업,000-0000-0000,070-7966-2917,5,기계 및 부품
개별입지,(유)대성창호,박상진,전북특별자치도 군산시 서수면 탑천로 535 (대건 기공),22223,플라스틱 창호 제조업,063-451-9488,063-452-9488,4,플라스틱 창호
군산일반산업단지,(유)대신레미콘,김철한,"전북특별자치도 군산시 외항7길 28-5 (소룡동, 주은상사)",23322,레미콘 제조업,063-467-4411,063-467-4415,10,레미콘
군산국가산업단지,(유)대영산업,진규식,전북특별자치도 군산시 동장산2길 7-34(소룡동),29241,건설 및 채광용 기계장비 제조업,063-468-6900,063-468-6901,10,건설중장비 Sub Ass'y 조립
군산2국가산업단지,(유)대운정공,노양원,전북특별자치도 군산시 자유무역로 166-16 (오식도동),29299,그 외 기타 특수목적용 기계 제조업,063-471-1119,063-465-1120,2,"닥트, 집진기 등"
군산국가산업단지,(유)대원종합선기,정미자,"전북특별자치도 군산시 동장산로 93 (소룡동, (유)대원종합선기) 외 1필지",31114,선박 구성 부분품 제조업,063-471-8772,063-471-8774,5,선박 기관부품
개별입지,(유)대원철강,고현승,전북특별자치도 군산시 나포면 십자들로 358,25113,육상 금속 골조 구조재 제조업 외 2 종,063-453-8080,063-453-1632,14,"철근가공품,금속조립"
군산국가산업단지,(유)대정제이엔비,최정배,전북특별자치도 군산시 자유로 241 (소룡동),25929,그 외 기타 금속가공업,063-469-8556,063-462-1162,7,금속연마
개별입지,(유)대한기업,조태선,전북특별자치도 군산시 문화로 169-8 (수송동),17124,"적층, 합성 및 특수표면처리 종이 제조업",063-445-8064,063-442-6151,8,과수봉지
군산서수농공단지,(유)대한에스티,김기정,전북특별자치도 군산시 서수면 상장곤윗길 81,16231,목재 깔판류 및 기타 적재판 제조업,063-468-3045,063-453-3045,3,목재 파렛트
개별입지,(유)대호산업,양창규,전북특별자치도 군산시 옥구읍 상평로 161,23322,레미콘 제조업,063-464-9571,063-464-9574,23,레미콘
군산2국가산업단지,(유)대화이엔지,김동석,전북특별자치도 군산시 외항로 925-13(오식도동),25924,절삭가공 및 유사처리업,063-471-1755,063-471-1756,6,금속가공(메카니칼씰)
개별입지,(유)더원에프엔씨,강평화,"전북특별자치도 군산시 백릉로 269, 3동(구암동)",10122,육류 포장육 및 냉동육 가공업 (가금류 제외) 외 2 종,063-466-6271,063-466-6272,6,"더갈비 양념 돼지갈비, 더갈비 양념 LA갈비 등"
개별입지,(유)도건테크,고성현,"전북특별자치도 군산시 대학로 558, 창업보육센터 1111호 (미룡동, 군산대학교)",26421,방송장비 제조업 외 1 종,063-461-5300,063-468-2544,3,"Digital video recoder, Automatic Controller"
개별입지,(유)동산창호,나기순,전북특별자치도 군산시 풍전4길 49 (소룡동),22223,플라스틱 창호 제조업,063-467-9131,063-467-9131,16,"PVC, 유리"
군산2국가산업단지,(유)동아하이테크,박병윤,,31114,선박 구성 부분품 제조업 외 2 종,063-462-1706,063-466-8661,6,선박부품
군산2국가산업단지,(유)동아하이테크,박병윤,"전북특별자치도 군산시 산단남북로 56, C동 204호(오식도동, 한국산업단지공단)",31322,항공기용 부품 제조업 외 1 종,063-462-1706,063-462-1705,3,"드론,무인항공기 부품, 무인 항공기"
군산2국가산업단지,(유)동우스틸,남춘배,전북특별자치도 군산시 외항로 997(오식도동),24191,"도금, 착색 및 기타 표면처리강재 제조업",063-471-3535,063-471-3525,4,칼라강판
군산2국가산업단지,(유)디앤에이,최미경,전북특별자치도 군산시 산단동서로 341 (오식도동),25119,기타 구조용 금속제품 제조업 외 1 종,063-464-2090,063-464-2092,15,"철구조물, 도장"
군산2국가산업단지,(유)디에스팀버,전대만,"전북특별자치도 군산시 자유무역로 129 (오식도동, (유)디에스팀버공장)",16101,일반 제재업,063-453-6007,063-464-5454,28,각목
개별입지,(유)딕스,박상진,전북특별자치도 군산시 번영로 253 (사정동),26421,방송장비 제조업 외 2 종,063-461-0020,063-464-0022,18,"영상감시장치, 통신기기"
개별입지,(유)리빙앤홈,전진우,"전북특별자치도 군산시 진포2길 25, 3동 (수송동)",13222,자수제품 및 자수용재료 제조업,063-442-7749,063-442-7748,5,자수
군산2국가산업단지,(유)마징가지앤지,"임명희, 허은영",전북특별자치도 군산시 산단동서로 138(오식도동),10612,곡물 제분업 외 1 종,000-0000-0000,,2,귀리분말
군산2국가산업단지,(유)만성스틸,이만식,"전북특별자치도 군산시 가도안2길 9, 만성스틸(오식도동, (주)창신스틸)",25999,그 외 기타 분류 안된 금속 가공 제품 제조업,063-471-1408,063-471-1409,21,열교환기 철구조물
군산옥구농공단지,(유)멀티원코리아,박진세,전북특별자치도 군산시 옥구읍 광월안길 31-6,13229,기타 직물제품 제조업 외 2 종,063-471-3300,063-731-0330,15,"공산용품 마스크제조(KF80,KF94,KF-AD, 수술용, 비말차단용)"
군산2국가산업단지,(유)명광,정원철,전북특별자치도 군산시 산단남북로 96 (오식도동),25112,구조용 금속 판제품 및 공작물 제조업,000-0000-0000,,4,철골제작
군산일반산업단지,(유)명광기계,조용덕,"전북특별자치도 군산시 외항1길 30 (소룡동, 명광기계공업)",29229,기타 가공 공작기계 제조업 외 3 종,063-467-4402,063-467-4404,8,"기계부품, 산업기계"
개별입지,(유)명성화학,성태문,전북특별자치도 군산시 대야면 덕곡길 28-10,20499,그 외 기타 분류 안된 화학제품 제조업 외 1 종,063-451-6918,063-452-2026,5,제습제
개별입지,(유)명성화학,성태문,전북특별자치도 군산시 서수면 동군산로 956 외 1필지,20499,그 외 기타 분류 안된 화학제품 제조업,063-451-6918,063-452-2026,5,제습제
군산2국가산업단지,(유)무영,김태일,전북특별자치도 군산시 무역로 163-29(오식도동),20202,합성수지 및 기타 플라스틱 물질 제조업,063-467-5050,063-900-3563,3,"미끄럼방지 포장재, 도막형 바닥재"
군산2국가산업단지,(유)문일오엠,문일기,전북특별자치도 군산시 외항로 863 (오식도동),16102,표면 가공 목재 및 특정 목적용 제재목 제조업,000-0000-0000,063-464-0946,2,"우드칩, 톱밥"
군산임피농공단지,(유)미건,남숙희,전북특별자치도 군산시 임피면 축산리 621-1번지,33301,"체조, 육상 및 체력단련용 장비 제조업 외 4 종",063-452-3310,063-445-4522,6,운동 및 경기용구
군산서수농공단지,(유)미광기획,채지연,전북특별자치도 군산시 서수면 상장곤윗길 77,33910,간판 및 광고물 제조업 외 5 종,063-446-9493,063-466-9496,34,"옥외광고물, 전구 및 램프제작, 철골구조물제작, 전시물제작 등"
군산일반산업단지,(유)미래산업,이상호,"전북특별자치도 군산시 외항1길 32-54 (소룡동, 승우산업)",10219,기타 수산동물 가공 및 저장 처리업 외 1 종,063-463-5235,063-468-3726,9,"오징어,아귀"
개별입지,(유)미성콘크리트,박정심,전북특별자치도 군산시 성산면 동군산로 212 ((유)미성콘크리트),23324,"콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 1 종",063-453-3096,,5,농수로측벽
군산서수농공단지,(유)바다향,금기홍,전북특별자치도 군산시 서수면 상장곤윗길 79-1 외 1필지,10220,수산식물 가공 및 저장 처리업,063-451-0034,063-461-6668,15,구이김
개별입지,(유)백산목재,강민숙,"전북특별자치도 군산시 공항로 207 (산북동, 백산목재)",16101,일반 제재업,063-464-7881,063-464-5454,12,목재제재품
군산2국가산업단지,(유)보람산업,김철규,전북특별자치도 군산시 가도로 136 (소룡동),25119,기타 구조용 금속제품 제조업,000-0000-0000,,6,철골제작
개별입지,(유)보석콘크리이트,최경호,전북특별자치도 군산시 임피면 남산로 181-19 (건흥레미콘),26326,콘크리트관및조립구조재제조업,063-453-8448,,10,수로관
개별입지,(유)부강,채길수,전북특별자치도 군산시 산북로 23 (산북동),29241,건설 및 채광용 기계장비 제조업,063-468-1301,,6,건설기계장비
군산2국가산업단지,(유)브랜뉴글로벌,최신호,,16231,목재 깔판류 및 기타 적재판 제조업,000-0000-0000,063-443-5892,5,"목재깔판,제품포장"
군산옥구농공단지,(유)비아크리트,김성권,전북특별자치도 군산시 옥구읍 광월안길 3,20202,합성수지 및 기타 플라스틱 물질 제조업,063-466-2157,063-466-2159,7,도장제품
군산2국가산업단지,(유)삼성글로텍,이정희,전북특별자치도 군산시 무역로 115 (오식도동),25924,절삭가공 및 유사처리업,063-471-1108,063-471-1109,22,건설장비부품 가공
군산옥구농공단지,(유)삼양포장,최 정 회,전북특별자치도 군산시 옥구읍 광월안길 43 외 1필지,17211,골판지 제조업 외 1 종,063-464-5522,063-464-5523,8,골판지상자
군산2국가산업단지,(유)삼오유지산업,김금산,전북특별자치도 군산시 군산산단로 143-43 (비응도동),10401,동물성 유지 제조업 외 2 종,063-468-1137,063-471-1137,6,"바이오디젤 및 중유원료 유지 재생, 단미사료"
군산서수농공단지,(유)삼화,이용학,전북특별자치도 군산시 서수면 상장곤윗길 66,29171,산업용 냉장 및 냉동 장비 제조업,000-0000-0000,0504-0361-155,3,냉동장비
개별입지,(유)새만금그린푸드,한광자,전북특별자치도 군산시 풍전4길 46 (소룡동),10219,기타 수산동물 가공 및 저장 처리업 외 2 종,063-467-2255,063-467-2266,3,국물용다시팩
군산국가산업단지,(유)서원아스콘,심재왕,전북특별자치도 군산시 산단로 133-17 (소룡동),23991,아스팔트 콘크리트 및 혼합제품 제조업 외 1 종,063-471-8860,063-471-8859,5,아스콘
군산옥구농공단지,(유)서진조경건설,정현숙,"전북특별자치도 군산시 옥구읍 광월안길 32-12, (유)서진조경건설",28903,교통 신호장치 제조업 외 1 종,063-466-3388,063-466-3389,0,금속 구조물
군산2국가산업단지,(유)성우폴리머,김은우,전북특별자치도 군산시 무역로 48 (오식도동),22241,운송장비 조립용 플라스틱제품 제조업,000-0000-0000,,8,운송장비 플라스틱 부품 제조
군산2국가산업단지,(유)성우폴리머,김은우,"전북특별자치도 군산시 산단남북로 56(오식도동, 한국산업단지공단)",22241,운송장비 조립용 플라스틱제품 제조업 외 1 종,070-4042-6346,070-4024-6346,1,"자동차 부품, FRP 선박 건조, 조선해양기자재"
개별입지,(유)성원산업,이부행,전북특별자치도 군산시 산북로 71-19 (산북동),33999,그 외 기타 달리 분류되지 않은 제품 제조업,063-465-9513,063-467-1445,7,물탱크(스테인리스)
개별입지,(유)성지산업,"김상철,김영임",전북특별자치도 군산시 성산면 동군산로 159 ((유)성지창호산업),16221,목재문 및 관련제품 제조업 외 5 종,063-453-9131,063-453-9129,9,문틀및창호제조
새만금국가산업단지,(유)세미,김형진,"전북특별자치도 군산시 새만금북로 182, (유한회사 세미)(오식도동)",28422,일반용 전기 조명장치 제조업 외 5 종,063-212-6900,063-214-8996,19,"IoT 융복합 태양광 LED가로등, LED조명제품, 수상태양광부력체/계류용고정장치"
개별입지,(유)세미,김형진,"전북특별자치도 군산시 비응남로 71, 225호 - 231호 (비응도동)",28422,일반용 전기 조명장치 제조업 외 2 종,063-212-6900,063-214-8996,5,"loT 융복합 태양광 LED가로등, LED조명제품"
군산2국가산업단지,(유)세원산기,김봉갑,"전북특별자치도 군산시 산단동서로 37 (오식도동, 세원산기)",29169,기타 물품 취급장비 제조업 외 3 종,063-445-0574,063-445-0576,7,호이스트
군산국가산업단지,(유)숲소리,한은지,전북특별자치도 군산시 외항로 857 (오식도동) 외 1필지,16102,표면 가공 목재 및 특정 목적용 제재목 제조업,063-466-0039,063-471-5514,4,"도마, 우드슬랩 및 인테리어 제품 등"
군산임피농공단지,(유)스마트스틸,김도용,전북특별자치도 군산시 임피면 항쟁로 43-27,28113,방전램프용 안정기 제조업,063-842-4241,063-452-7592,8,금속 조립 구조물
군산2국가산업단지,(유)스틸산업,허준호,전북특별자치도 군산시 외항로 1044(오식도동),25113,육상 금속 골조 구조재 제조업,063-461-0732,063-461-0731,12,발전소 환경 개선설비
개별입지,(유)신성시엔시,김관식,전북특별자치도 군산시 미원로 32 (삼학동) 군산삼학대우아파트 상가동 204호,27219,"기타 측정, 시험, 항해, 제어 및 정밀기기 제조업",063-463-0670,063-471-0670,5,저울
군산2국가산업단지,(유)신성특수강,김윤호,전북특별자치도 군산시 동가도길 47 (오식도동),24312,강주물 주조업 외 2 종,063-464-6968,063-464-6967,13,소각로 그레이트
개별입지,(유)신영건설,배 훈,전북특별자치도 군산시 양안1길 9 (조촌동),25112,구조용 금속 판제품 및 공작물 제조업 외 3 종,063-451-1063,,6,"표지판, 지주, 휀스"
개별입지,(유)신영건설,배훈,전북특별자치도 군산시 개사길 28 (신관동),25112,구조용 금속 판제품 및 공작물 제조업 외 4 종,063-451-1063,063-451-1065,5,"표지판,지주,휀스,신호등지주"
군산서수농공단지,(유)신일,이광호,"전북특별자치도 군산시 서수면 상장곤윗길 98, (유)신일",25111,"금속 문, 창, 셔터 및 관련제품 제조업 외 8 종",063-451-7100,063-451-7103,12,"수문,권양기,제진기,크레인,호이스트,펌프수문"
개별입지,(유)신일에스아이,최용재,전북특별자치도 군산시 임피면 수반들길 8 (신일엔지니어링),25113,육상 금속 골조 구조재 제조업 외 1 종,063-453-8765,063-453-8766,1,열처리 바스켓(선반)
개별입지,(유)신진조선소,나동문,전북특별자치도 군산시 해망로 132-12 (금암동),31111,강선 건조업 외 1 종,063-445-4950,063-443-1393,6,선박
개별입지,(유)아리울수산,박금옥,전북특별자치도 군산시 성산면 십자들로 103-15,10212,수산동물 건조 및 염장품 제조업,063-443-3312,063-443-3301,10,수산동물건조및염장품
개별입지,(유)아미산업,신영자,전북특별자치도 군산시 나포면 철새로 374 (총 5 필지) 외 4필지,23991,아스팔트 콘크리트 및 혼합제품 제조업 외 3 종,063-453-1967,063-453-1968,7,아스콘
개별입지,(유)아성이엔지,윤재호,"전북특별자치도 군산시 산북로 59 (산북동, 아성ENG)",29299,그 외 기타 특수목적용 기계 제조업 외 1 종,063-466-8504,,5,산업용설비라인
군산2국가산업단지,(유)아주,이미숙,전북특별자치도 군산시 중가도길 57 (오식도동),20422,"치약, 비누 및 기타 세제 제조업",063-463-8886,063-463-8889,28,세제
군산2국가산업단지,(유)아주,이미숙,전북특별자치도 군산시 중가도길 70 (오식도동),20422,"치약, 비누 및 기타 세제 제조업",063-461-7700,063-461-7705,27,"생활용품(세정제, 방향제 등)"
군산2국가산업단지,(유)에스에이치이앤지,김호현,"전북특별자치도 군산시 산단동서로 266 (오식도동, (유)원포커스)",25119,기타 구조용 금속제품 제조업 외 1 종,063-471-1110,063-471-1756,5,"풍력발전기 샤프트, 조선기자재"
군산2국가산업단지,(유)에이치비,최방열,전북특별자치도 군산시 동가도길 67 (오식도동),25113,육상 금속 골조 구조재 제조업,000-0000-0000,,11,태양광구조물
군산서수농공단지,(유)에코,고강호,전북특별자치도 군산시 서수면 상장곤윗길 58 ((주)에코) (총 2 필지) 외 1필지,25991,금속 캔 및 기타 포장용기 제조업,063-451-0192,063-451-0193,18,금속포장용기
개별입지,(유)에코산업,양성관,전북특별자치도 군산시 서수면 서라로 253-7,23999,그 외 기타 분류 안된 비금속 광물제품 제조업 외 3 종,063-462-3669,063-467-9207,4,인공경량철재
군산2국가산업단지,(유)엠디이엔지,이영관,전북특별자치도 군산시 산단동서로 276 (오식도동),28123,배전반 및 전기 자동제어반 제조업,063-903-7917,,10,수배전반
군산국가산업단지,(유)엠산업,김현철,전북특별자치도 군산시 자유로 47 (소룡동),29142,기어 및 동력전달장치 제조업,000-0000-0000,,8,감속기 몸체
군산2국가산업단지,(유)엠에스씨앤엠,서종윤,전북특별자치도 군산시 군산산단로 170-18 (오식도동),25929,그 외 기타 금속가공업,063-466-9225,063-467-9225,5,"모듈러프레임, 철골"
군산2국가산업단지,(유)엠케이,이미경,전북특별자치도 군산시 동가도길 20-31 (오식도동),25113,육상 금속 골조 구조재 제조업 외 2 종,063-471-9960,063-471-9961,16,"태양광 하부구조물, 등부표, 부표, 선박 구성부분품"
개별입지,(유)엠케이에이앤더블유,문경열,전북특별자치도 군산시 성산면 송호로 138,25111,"금속 문, 창, 셔터 및 관련제품 제조업",063-453-8788,063-453-8987,3,알루미늄 창호 외
군산2국가산업단지,(유)엠케이에이앤더블유,문경열,전북특별자치도 군산시 자유무역로 76(오식도동),16102,표면 가공 목재 및 특정 목적용 제재목 제조업,063-453-8988,063-453-8987,9,"우드칩, 우드펠릿"
군산2국가산업단지,(유)여명산업,조희진,전북특별자치도 군산시 무역로 123 (오식도동),25113,육상 금속 골조 구조재 제조업 외 1 종,063-464-9663,063-464-9664,4,금속제품 제조
군산2국가산업단지,(유)연성엔지니어링,조강철,전북특별자치도 군산시 산단동서로 102-19 (오식도동),25113,육상 금속 골조 구조재 제조업 외 1 종,063-466-6554,,18,철구조물
군산국가산업단지,(유)연일중전기,김연규,"전북특별자치도 군산시 외항로 823, 3동 2층 1 (소룡동)",28111,전동기 및 발전기 제조업,063-467-7137,063-467-7138,13,전동기 외
군산2국가산업단지,(유)오션밀리터리,장훈희,전북특별자치도 군산시 중가도길 44(오식도동),31111,강선 건조업 외 4 종,000-0000-0000,,3,"선박건조, 조선기자재 등"
군산2국가산업단지,(유)와이비플러스,이영관,전북특별자치도 군산시 무역로 156-16 (오식도동),25112,구조용 금속 판제품 및 공작물 제조업,063-715-7115,050-5883-9000,5,구조용 형강(각관 등)
군산2국가산업단지,(유)와이엔비,이영관,전북특별자치도 군산시 오식도동 857-16번지,30203,트레일러 및 세미트레일러 제조업,063-900-8892,,10,컨테이너
군산2국가산업단지,(유)와이엠테크,김광일,전북특별자치도 군산시 동가도길 62 (오식도동),29299,그 외 기타 특수목적용 기계 제조업 외 1 종,063-466-9971,063-467-9971,8,기타기계 및 장비제조
군산2국가산업단지,(유)와이케이,성훈,전북특별자치도 군산시 산단로 42 (오식도동),30320,자동차 차체용 신품 부품 제조업 외 3 종,063-465-7884,063-465-7885,16,"자동차 부품, 농업용 육묘상자"
군산2국가산업단지,(유)와이케이,성훈,전북특별자치도 군산시 가도로 129-19(오식도동),30399,그 외 자동차용 신품 부품 제조업 외 3 종,063-465-7884,063-465-7885,16,"자동차부품, 농업용 육묘상자"
군산2국가산업단지,(유)우리스틸,이숙향,"전북특별자치도 군산시 외항로 987 (오식도동, 호이스트크레인)",29169,기타 물품 취급장비 제조업,063-464-9665,063-464-9668,8,"크레인,호이스트"
군산옥구농공단지,(유)우리안전산업,강동욱,전북특별자치도 군산시 옥구읍 광월길 42,33910,간판 및 광고물 제조업 외 1 종,063-468-0254,063-467-0254,1,"위험물저장소 공사안내간판, 공사게시판"
개별입지,(유)위프코,전태문,"전북특별자치도 군산시 해망로 356-5 (해망동, (유)위프코)",22191,고무패킹류 제조업 외 2 종,063-468-5171,063-468-5175,7,고압호스
군산국가산업단지,(유)유림이엔지,김희숙,"전북특별자치도 군산시 자유로 219 (소룡동, ㈜벤투스)",25122,금속탱크 및 저장용기 제조업,070-8830-8850,063-463-3980,4,금속탱크
개별입지,(유)유수산업,정기현,전북특별자치도 군산시 서수면 서라로 211 (서수면),23325,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업,063-453-3572,063-453-3341,13,조립식 철근콘크리트 암거
개별입지,(유)유일기업사,유영준,전북특별자치도 군산시 나포면 철새로 1138 (대주개발),23324,"콘크리트 타일, 기와, 벽돌 및 블록 제조업",063-445-5486,063-445-5485,7,"콘크리트벽돌 및 블록, 호안블록"
개별입지,(유)은창기업,김미정,전북특별자치도 군산시 옥녀로 81-18(산북동),25119,기타 구조용 금속제품 제조업 외 2 종,063-465-2607,063-465-2602,3,"콘크리트 혼합믹서, 배치플랜트 설비, 환경설치제품"
군산2국가산업단지,(유)이레산업,김종두,"전북특별자치도 군산시 중가도길 112 (오식도동, (유)이레산업)",29229,기타 가공 공작기계 제조업,063-467-9054,063-467-9053,4,자동차부품 제조설비
군산서수농공단지,(유)이이테크,김정현,전북특별자치도 군산시 서수면 상장곤윗길 66,28903,교통 신호장치 제조업 외 3 종,070-4571-5722,0504-229-0856,6,"태양광 발전장치, 바닥형 보행신호등, LED투광등, 도로표지병"
군산성산농공단지,(유)일도엔지니어링,염철영,전북특별자치도 군산시 성산면 동군산로 136-7,29131,액체 펌프 제조업 외 6 종,063-451-6118,063-451-6119,13,유체기계
군산성산농공단지,(유)일도엔지니어링,염철영,전북특별자치도 군산시 성산면 동군산로 120,29131,액체 펌프 제조업 외 6 종,063-451-6118,063-451-6119,12,액체펌프
군산일반산업단지,(유)일성건설,이중환,"전북특별자치도 군산시 외항로 404, (군산지방산업단지내) (소룡동)",23991,아스팔트 콘크리트 및 혼합제품 제조업 외 1 종,063-467-2771,063-467-4159,5,아스콘
개별입지,(유)일흥식품,송기명,전북특별자치도 군산시 서수면 용천로 317 ((유)일흥식품),10129,육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종,063-453-7841,063-453-7843,16,돈육(포장육)
군산2국가산업단지,(유)자영티에스,김용석,전북특별자치도 군산시 무역로 26 (오식도동),25119,기타 구조용 금속제품 제조업,063-465-9747,050-5718-9747,16,"유압호퍼, 스크류 등"
군산국가산업단지,(유)장원이엔지,고서진,전북특별자치도 군산시 자유로 233-121 (소룡동),25113,육상 금속 골조 구조재 제조업,063-471-7277,063-468-7277,10,가공된 H형강 및 철강제
군산2국가산업단지,(유)정민플랜트,정희선,전북특별자치도 군산시 가도로 109 (오식도동),29299,그 외 기타 특수목적용 기계 제조업,063-461-6065,063-461-6066,3,금속표면처리기 등 
