1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,1일 개최 건수,2일 개최 건수,3일 개최 건수,4일 개최 건수,5일 개최 건수,6일 개최 건수,7일 개최 건수,86일 개최 건수
,,,,,,,2024년 제62회 대한임상병리사 종합학술대회 및 국제컨퍼런스,,바다해적 불가사리의 재탄생(그린파트너스),,,,송도 자이 크리스탈 오션 입주박람회,2024 뷰티&헬스케어쇼,2024 인천코리아아트페스티벌 (IKAF),,,,
,,,,,,,,,,,,,시흥 장현 퍼스트베뉴 입주박람회,2024 국제PCB 및 반도체패키징산업전,2024 국제치안산업대전,,,,
,,,,,,,,,,,,,2024 크리에이터 미디어 산업대전 in 인천,2024 인천직업교육박람회,인천아트쇼2024,,,,
,,,,,,,,,,,,,2024년 월드로봇올림피아드 한국대회,2024 그린에너텍(GreenEnerTEC),,,,,
,,,,,,,,,,,,,영종호반써밋 스카이센트럴 2차 입주박람회,코리아 마이스 엑스포 2024,,,,,
,,,,,,,,,,,,,e편한세상 부평 센트럴파크 1차 입주박람회,2024 대한민국 전시산업대전,,,,,
,,,,,,,,,,,,,2024 세계 식생활 문화 체험 한마당,2024 아태 풍력에너지 서밋,,,,,
,,,,,,,,,,,,,2024년 제62회 대한임상병리사 종합학술대회 및 국제컨퍼런스,2024 인천 반려동물 박람회,,,,,
,,,,,,,,,,,,,인천스타트업위크 서프 2024,,,,,,
,,,,,,,,,,,,,2024 글로벌 취업·창업박람회,,,,,,
,,,,,,,,,,,,,2024 인천 이스포츠 챌린지 스쿨리그,,,,,,
,,,,,,,,,,,,,신 검단중앙역 풍경채 어바니티 입주박람회,,,,,,
,,,,,,,,,,,,,제1회 대한민국 파충류 페스티벌,,,,,,
,,,,,,,,,,,,,e편한세상 부평 센트럴파크 2차 입주박람회,,,,,,
,,,,,,,,,,,,,제3회 세계를 품은 인천교육 한마당,,,,,,
,,,,,,,,,,,,,제1회 인천광역시 사회적경제 박람회,,,,,,
,,,,,,,,,,,,,2024 인천 소프트웨어(SW) 미래채움 교육 페스티벌,,,,,,
