업체명,업종구분,산업분류코드,소재지,전화번호,팩스번호,고용인원 수,데이터기준일자
대동안전 주식회사,일반용 도료 및 관련제품 제조업 외 13 종,20,단양군 매포읍 단양산업단지1로 166,043-02-899-1542,,6,2025-09-09
대상(주)단양공장,육류 기타 가공 및 저장처리업 (가금류 제외) 외 3 종,10,단양군 대강면 대강농공길 36,043-420-0014,043-422-1637,109,2025-09-09
대성토건,"콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 1 종",23,단양군 단양읍 상진 20길 22,043-422-0351,043-423-1817,2,2025-09-09
대신레미콘(주),레미콘 제조업,23,단양군 매포읍 영천3길 128,043-421-3100,043-421-3103,8,2025-09-09
대한분체(주),복합비료 및 기타 화학비료 제조업 외 4 종,20,단양군 대강면 당동3길 13,043-421-9090,043-421-9092,4,2025-09-09
대흥리싸이클링 주식회사,기타 1차 비철금속 제조업,24,단양군 매포읍 단양로 1397-3,043-423-0365,043-423-0364,4,2025-09-09
동신석회,석회 및 플라스터 제조업,23,단양군 단양읍 단양로 602-26,043-421-9991,043-421-9993,1,2025-09-09
동흥소재(주),석회 및 플라스터 제조업,23,단양군 단양읍 단양로 602-26,043-421-9991,043-421-9993,21,2025-09-09
라이프퍼니쳐,주방용 및 음식점용 목재가구 제조업,32, 단양군 매포읍 단양로 2579,043-422-7547,043-421-8001,1,2025-09-09
류성내화공업사,비금속광물 분쇄물 생산업,23,단양군 단양읍 단양로 562,043-422-1114,043-422-1116,3,2025-09-09
벌천오미자영농조합법인,기타 과실ㆍ채소 가공 및 저장 처리업,10,단양군 단성면 벌천로 97-9,043-421-0154,043-422-0155,10,2025-09-09
성신양회(주),시멘트 제조업 외 3 종,23,단양군 매포읍 매포길 18,043-420-4216,043-420-4220,458,2025-09-09
성우라임(주),석회 및 플라스터 제조업,23, 단양군 단양읍 단양노동길 207-7,043-423-7660,043-423-7662,4,2025-09-09
성원연탄(주),코크스 및 연탄 제조업,19,단양군 매포읍 단양산업단지1로 139,043-423-0600,043-423-0610,1,2025-09-09
성원중기공업사,건설 및 채광용 기계장비 제조업,29, 단양군 매포읍 매포1길 44-3,043-422-3877,043-422-6300,1,2025-09-09
성원콘크리트(주),레미콘 제조업 외 2 종,23,단양군 적성면 금수산로 227,043-422-7555,043-423-4404,5,2025-09-09
성원파일(주),콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 1 종,23,단양군 매포읍 단양산업단지2로 47,043-421-6580,043-421-6583,71,2025-09-09
소백산술도가,탁주 및 약주 제조업,11, 단양군 대강면 대강로 60-1,043-423-0078,043-421-0078,1,2025-09-09
수풍산업(주),"체조, 육상 및 체력단련용 장비 제조업 외 16 종",33,단양군 대강면 대강농공길 20,043-422-2440,,11,2025-09-09
신농식품,과실 및 그 외 채소 절임식품 제조업,10,단양군 대강면 대강농공길 23,043-423-0010,,2,2025-09-09
에코브(주),복합비료 및 기타 화학비료 제조업 외 4 종,20,단양군 매포읍 적성농공로 51,043-422-7907,043-422-2013,2,2025-09-09
영농조합법인 올산민들레,건강기능식품 제조업,10, 단양군 대강면 도효자로 2735-6,043-422-1216,043-422-1216,2,2025-09-09
오성산업안전(주),일반용 도료 및 관련제품 제조업 외 5 종,20,단양군 매포읍 단양산업단지1로 166,070-4245-9667,,2,2025-09-09
용상종합정비주식회사,건설 및 채광용 기계장비 제조업,29, 단양군 단양읍 단양로 957,043-422-2222,043-421-0053,12,2025-09-09
유연목재 주식회사,목재 깔판류 및 기타 적재판 제조업,16, 단양군 매포읍 단양로 2028,043-421-9937,043-421-9938,3,2025-09-09
장 익는 마을 영농조합법인,장류 제조업 외 1 종,10,단양군 대강면 도예로 427-22,043-422-5790,043-422-9705,2,2025-09-09
제일산업(주),아스팔트 콘크리트 및 혼합제품 제조업,23,단양군 매포읍 영천3길 124,043-421-3101,043-421-3103,5,2025-09-09
주식회사 범우피씨,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 1 종,23,단양군 매포읍 단양산업단지2로 124,043-422-9788,043-422-9789,4,2025-09-09
주식회사 지알엠,"동 제련, 정련 및 합금 제조업",24,단양군 매포읍 매포농공단지로 260,043-422-7575,043-421-7574,113,2025-09-09
청석공업사,건설 및 채광용 기계장비 제조업,29, 단양군 매포읍 단양로 1783,043-422-8648,043-422-6606,1,2025-09-09
태거산업(주),운송장비 조립용 플라스틱제품 제조업 외 2 종,22,단양군 적성면 적성농공로 28,043-421-8121,043-421-8125,29,2025-09-09
태광중기공업사,건설 및 채광용 기계장비 제조업,29, 단양군 단양읍 단양로 954,043-422-2924,,5,2025-09-09
태봉광업(주)단양공장,석회 및 플라스터 제조업,23,단양군 단양읍 현천길 21,043-421-2511,043-421-2510,1,2025-09-09
평강영농조합법인,곡물 도정업,10,단양군 매포읍 적성농공로 51,043-422-7907,043-422-2013,2,2025-09-09
풍성약업(주),한의약품 제조업,21,단양군 대강면 대강농공길 11,043-422-6585,043-422-6586,2,2025-09-09
한일시멘트(주),시멘트 제조업,23,단양군 매포읍 매포길 245,043-420-5113,043-420-5131,326,2025-09-09
한일엘앤씨(주)단양공장,비금속광물 분쇄물 생산업,23,단양군 가곡면 여천덕천로 197-41,043-421-3078,043-421-3089,14,2025-09-09
한일현대시멘트(주),시멘트 제조업,23,단양군 매포읍 고양길 95,043-420-8524,043-420-8888,47,2025-09-09
행운가구,주방용 및 음식점용 목재가구 제조업 외 1 종,32, 단양군 매포읍 평동12길 11,043-422-5339,043-422-5301,1,2025-09-09
현대석회(주),석회 및 플라스터 제조업,23,단양군 단양읍 단양노동길 203,043-423-2750,043-423-2753,20,2025-09-09
케이에스에너지,전동기 및 발전기 제조업,28,단양군 매포읍 도곡파랑로 325,043-423-3425,043-423-3426,2,2025-09-09
주식회사 더블유제이에코,기타 기초 무기 화학물질 제조업,20,단양군 매포읍 적성농공로 37-20,043-421-7076,043-421-7077,5,2025-09-09
