순번,업체명,업종구분,산업분류코드,소재지,전화번호,팩스번호,고용인원 수
34,삼성○○○,"플라스틱 선, 봉, 관 및 호스 제조업","22211, ",충청북도 괴산군 청안면 금신리 15-4번지,043-836-8900,043-836-9798,22
37,서원○○,"플라스틱 선, 봉, 관 및 호스 제조업","22211, ",충청북도 괴산군 사리면 수암리 773-4번지,043-833-9009,043-834-3344,38
335,태평○,"플라스틱 선, 봉, 관 및 호스 제조업","22211, ",충청북도 괴산군 사리면 수암리 883번지,,,0
111,풍림○○○○,표면 가공 목재 및 특정 목적용 제재목 제조업 외 2 종,"16102, 38321, 38322",충청북도 괴산군 사리면 방축리 244-8번지 외 5필지,043-836-6661,043-836-6644,17
61,엔케○,표면 가공 목재 및 특정 목적용 제재목 제조업,"16102, ",충청북도 괴산군 괴산읍 제월리 880번지,043-832-3557,044-867-3558,11
182,뉴그○,표면 가공 목재 및 특정 목적용 제재목 제조업,"16102, ",충청북도 괴산군 괴산읍 능촌리 741번지,043-834-0404,,10
231,아세○○○,표면 가공 목재 및 특정 목적용 제재목 제조업,"16102, ",충청북도 괴산군 청안면 금신리 78번지 외 3필지,043-760-7030,043-760-7034,8
234,아이○○○○○○○○,표면 가공 목재 및 특정 목적용 제재목 제조업,"16102, ",충청북도 괴산군 괴산읍 동부리 58-177번지 1동,043-832-2004,043-832-2005,3
337,하나○○,표면 가공 목재 및 특정 목적용 제재목 제조업,"16102, ",충청북도 괴산군 괴산읍 제월리 880번지,043-832-6330,043-832-3558,7
200,미우○○,폴리스티렌 발포 성형제품 제조업,"22251, ",충청북도 괴산군 소수면 수리 835-3,,,2
91,지에○○○,판지 상자 및 용기 제조업 외 1 종,"17222, 17212",충청북도 괴산군 사리면 사담리 870-8번지,043-836-1131,043-836-1130,7
215,생림○○,특수 직물 및 기타 직물 직조업,"13219, ",충청북도 괴산군 불정면 지장리 378-1번지,,,0
281,씨에○○,특수 직물 및 기타 직물 직조업,"13219, ",충청북도 괴산군 문광면 문법리 581-1 시선사,,,7
325,케이○○,트레일러 및 세미트레일러 제조업,"30203, ",충청북도 괴산군 소수면 입암리 635번지,,,3
158,주○,탁주 및 약주 제조업 외 2 종,"11111, 11119, 11129",충청북도 괴산군 문광면 광덕리 595-3번지,043-834-9357,,15
150,맑은○,탁주 및 약주 제조업,"11111, ",충청북도 괴산군 문광면 신기리 616-13번지,043-834-7700,043-834-4400,1
153,오색○,탁주 및 약주 제조업,"11111, ",충청북도 괴산군 청안면 문방리 751-2 번지,043-838-0541,,8
186,대영○○,탁주 및 약주 제조업,"11111, ",충청북도 괴산군 문광면 문법리 381-7번지,***-****-****,,1
198,목도○○○,탁주 및 약주 제조업,"11111, ",충청북도 괴산군 불정면 목도리 300-1번지,043-833-7010,043-833-7003,1
259,제일○○○,탁주 및 약주 제조업,"11111, ",충청북도 괴산군 괴산읍 동부리 540-1번지,043-832-2105,,1
306,청주○○○○,탁주 및 약주 제조업,"11111, ",충청북도 괴산군 청안면 조천리 1048-3번지,043-297-7795,043-297-7796,10
323,청천○○○,탁주 및 약주 제조업,"11111, ",충청북도 괴산군 청천면 청천리 59-5번지,043-832-4016,,0
33,삼○,타일 및 유사 비내화 요업제품 제조업,"23232, ",충청북도 괴산군 괴산읍 검승리 298-1번지,043-834-3233,,40
40,세라○,타일 및 유사 비내화 요업제품 제조업,"23232, ",충청북도 괴산군 사리면 화산리 466번지 외 3필지,043-832-6555,043-832-6556,12
224,신성○○○○,타일 및 유사 비내화 요업제품 제조업,"23232, ",충청북도 괴산군 청안면 청용리 123-7번지,043-836-9630,043-836-9653,5
251,이누○○○○○○○,타일 및 유사 비내화 요업제품 제조업,"23232, ",충청북도 괴산군 감물면 오성리 721-2번지,043-833-8491,043-833-8495,86
343,한국○○○○○○,"콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 4 종","23324, 13994, 23325, 23326, 25944",충청북도 괴산군 칠성면 율원리 691-10번지 외 29필지,031-420-1590,043-834-1591,7
14,대명○○○○,"콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 2 종","23324, 23325, 23326",충청북도 괴산군 청안면 부흥리 793,043-824-0178,043-834-0180,20
31,블랙○○,"콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 1 종","23324, 23326",충청북도 괴산군 부흥리 505 베스트월드,043-834-7401,043-834-7404,6
69,옥시○○,"콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 1 종","23324, 23326",충청북도 괴산군 사리면 방축리 598-1번지,043-838-4402,043-838-4407,30
78,유니○○,"콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 1 종","23324, 23326",충청북도 괴산군 감물면 광전리 59-8번지 외 2필지,070-8670-2577,070-7545-6520,12
142,내륙○○○○,"콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 1 종","23324, 23326",충청북도 괴산군 청안면 금신리 636-5번지 외 1필지,043-838-2887,043-838-2620,7
230,씨씨○○,"콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 1 종","23324, 23326",충청북도 괴산군 청안면 금신리 653-1번지 씨씨케이 외 6필지,043-836-1785,043-836-1790,20
261,주성○○,"콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 1 종","23324, 23326",충청북도 괴산군 감물면 오성리 산 25-1번지,,,2
318,청성○○,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 5 종,"23325, 23326, 30391, 30392, 30399, 30400",충청북도 괴산군 아성리 604 사무실,032-819-5150,032-819-5177,17
122,(합○○○○○○,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 3 종,"23325, 23324, 23326, 23329",충청북도 괴산군 청안면 효근리 4-3번지 외 1필지,043-836-1151,043-836-1153,22
72,우성○○○○,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 2 종,"23325, 23324, 23326",충청북도 괴산군 문광면 대명리 23번지 외 5필지,043-833-3273,043-833-3274,8
332,태성○○○,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 2 종,"23325, 23326, 25944",충청북도 괴산군 칠성면 율원리 691-10번지,070-4125-9508,070-8844-9507,1
13,대명○○○○,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 1 종,"23325, 23326",충청북도 괴산군 청안면 부흥리 191번지,043-834-0178,,11
81,이상○○,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 1 종,"23325, 23326",충청북도 괴산군 괴산읍 제월리 885,,,3
85,인터○○○○○○○○,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 1 종,"23325, 23326",충청북도 괴산군 괴산읍 대덕리 566,,,22
120,(합○○○○○○○,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 1 종,"23325, 23326",충청북도 괴산군 청안면 조천리 759 공장 외 2필지,043-836-0533,043-836-1011,13
123,(합○○○○○○○○,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 1 종,"23325, 23326",충청북도 괴산군 청안면 효근리 735-18번지,043-836-9903,043-836-9915,18
192,동서○○○,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 1 종,"23325, 23326",충청북도 괴산군 청안면 금신리 76-1번지 외 2필지,043-820-2300,043-820-2318,18
193,동서○○○○○○○,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 1 종,"23325, 23326",충청북도 괴산군 청안면 금신리 75번지 외 1필지,043-820-2314,,10
194,디에○○○,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 1 종,"23325, 23326",충청북도 괴산군 청안면 금신리 76-8,,,20
225,신우○○○○○○,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 1 종,"23325, 23326",충청북도 괴산군 소수면 고마리 291번지 외 2필지,043-832-8845,043-832-8848,19
226,신원○○,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 1 종,"23325, 23326",충청북도 괴산군 소수면 고마리 291-7번지,,,1
273,베스○○○○,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 1 종,"23325, 23326",충청북도 괴산군 불정면 앵천리 588번지,043-833-9287,043-833-9288,8
282,아드○,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 1 종,"23325, 23326",충청북도 괴산군 소수면 아성리 604-4,,,6
285,에이○○○○,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 1 종,"23325, 23326",충청북도 괴산군 청안면 조천리 759 공장,,,5
297,이상○○○○○○○,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 1 종,"23325, 23326",충청북도 괴산군 괴산읍 대덕리 566,,,3
301,중원○○○○,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 1 종,"23325, 23326",충청북도 괴산군 문광면 대명리 21-2,,,4
320,청안○○,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 1 종,"23325, 23326",충청북도 괴산군 청안면 금신리 산 105-4 외 1필지,,,5
345,한성○○○,컨베이어장치 제조업 외 5 종,"29163, 29169, 29175, 29176, 29177, 29299",충청북도 괴산군 청안면 효근리 211,043-845-3715,,7
296,이로○○○○○○○,커피 가공업 외 1 종,"10891, 10892",충청북도 괴산군 칠성면 율원리 1304,043-760-4852,,11
62,엔키○,"치약, 비누 및 기타 세제 제조업 외 2 종","20422, 10901, 10903",충청북도 괴산군 소수면 고마리 957-5번지,043-834-8947,043-834-8948,4
302,지디○○○,"치약, 비누 및 기타 세제 제조업 외 1 종","20422, 20423",충청북도 괴산군 사리면 방축리 514-6 예승정보통신,043-750-8481,0504-295-6549,6
112,피스○,"치약, 비누 및 기타 세제 제조업","20422, ",충청북도 괴산군 수리 652 공장,,031-233-2022,1
268,디에○○○○○,"치약, 비누 및 기타 세제 제조업","20422, ",충청북도 괴산군 사리면 방축리 613-9 SEMTSCO,043-838-1981,,10
24,메트○○,철도차량 부품 및 관련 장치물 제조업 외 8 종,"31202, 25995, 25999, 28111, 28113, 28119, 28123, 28909, 31201",충청북도 괴산군 사리면 방축리 613 우진산전,02-2103-8532,,3
75,우진○○○○○○,철도차량 부품 및 관련 장치물 제조업 외 8 종,"31202, 25995, 25999, 28111, 28113, 28119, 28123, 28909, 31201",충청북도 괴산군 사리면 방축리 613번지 우진산전 제2공장,043-820-4111,043-836-7405,34
73,우진○○,철도차량 부품 및 관련 장치물 제조업 외 21 종,"31202, 23222, 25111, 25112, 25995, 25999, 26294, 26299, 27212, 27213, 27215, 27219, 28111, 28112, 28113, 28119, 28121, 28122, 28202, 28209, 28302, 29169",충청북도 괴산군 사리면 이곡리 47번지,043-830-5334,043-833-3419,86
74,우진○○,철도차량 부품 및 관련 장치물 제조업 외 14 종,"31202, 25111, 27212, 27213, 27214, 27215, 27219, 28111, 28112, 28113, 28119, 28121, 28122, 28902, 29192",충청북도 괴산군 사리면 방축리 613-6번지,043-820-4111,043-836-7405,170
300,제이○,철도차량 부품 및 관련 장치물 제조업,"31202, ","충청북도 괴산군 사리면 방축리 613번지 C,D동",043-836-9808,043-836-9803,37
26,미미○○,천연 및 혼합조제 조미료 제조업 외 2 종,"10832, 10301, 10302",충청북도 괴산군 문광면 광덕리 192-1번지,043-833-0738,043-832-3851,45
101,킨푸○,천연 및 혼합조제 조미료 제조업 외 1 종,"10832, 10839",충청북도 괴산군 괴산읍 제월리 570번지,043-833-1883,043-833-1884,10
132,괴산○○○○○○○○○,천연 및 혼합조제 조미료 제조업 외 1 종,"10832, 10412",충청북도 괴산군 문광면 신기리 111번지,043-832-0350,043-832-0349,12
314,중앙○○,천연 및 혼합조제 조미료 제조업,"10832, ",충청북도 괴산군 괴산읍 서부리 688-1번지,043-832-3868,,8
19,동아○○,"천막, 텐트 및 유사 제품 제조업 외 7 종","13224, 13229, 22229, 22299, 25112, 25119, 33302, 33910",충청북도 괴산군 괴산읍 능촌리 799-13번지,043-833-4700,043-833-4702,40
165,초○,차류 가공업,"10892, ",충청북도 괴산군 괴산읍 대덕리 573-1,043-833-3908,043-833-2908,5
115,한흥○○,"질소화합물, 질소, 인산 및 칼리질 화학비료 제조업 외 3 종","20311, 10901, 10902, 10903",충청북도 괴산군 연풍면 주진리 45-20번지,043-833-5177,043-833-0630,28
51,신성○○○○○○○○○,정형 내화 요업제품 제조업 외 3 종,"23211, 20312, 20313, 23212",충청북도 괴산군 칠성면 율원리 939번지,070-8680-9400,070-4369-9410,11
28,베이○○○○,접착제 및 젤라틴 제조업,"20493, ",충청북도 괴산군 괴산읍 제월리 883번지,043-832-8857,043-832-8859,5
63,엠씨○○,접착제 및 젤라틴 제조업,"20493, ",충청북도 괴산군 사리면 수암리 1번지,043-833-9711,043-832-9712,34
90,제이○○,절삭가공 및 유사처리업 외 1 종,"25924, 25929",충청북도 괴산군 괴산읍 제월리 908-1번지,043-241-8455,043-241-8456,6
221,센○,"전자기 측정, 시험 및 분석기구 제조업","27212, ",충청북도 괴산군 문광면 광덕리 146-3번지,043-832-1035,043-832-3035,1
237,안산○○○○○○○○○○,전동기 및 발전기 제조업 외 2 종,"28111, 28113, 28422",충청북도 괴산군 사리면 방축리 430-16 에스앤에스산업 안산시민햇빛발전협동조합,031-483-3428,,20
316,첨단○○○○○,전기회로 접속장치 제조업 외 6 종,"28122, 26410, 26421, 26429, 27215, 27216, 28123",충청북도 괴산군 괴산읍 동부리 58-177번지 1동,043-235-1128,043-237-1129,8
117,현누○○○○○○,전구 및 램프 제조업 외 1 종,"28410, 28119",충청북도 괴산군 괴산읍 동부리 136-4번지,043-834-1887,043-833-1884,3
127,개미○○○,장류 제조업 외 1 종,"10833, 10309",충청북도 괴산군 청안면 청용리 180-5번지,043-836-0061,043-838-3791,2
223,신선○○,장류 제조업 외 1 종,"10833, 10832",충청북도 괴산군 사리면 방축리 631-1번지,043-836-7666,043-836-7668,29
303,진미○○,장류 제조업 외 1 종,"10833, 10832",충청북도 괴산군 괴산읍 대덕리 367번지,043-903-5500,,91
154,옹바○○,장류 제조업,"10833, ",충청북도 괴산군 장연면 송덕리 260-5 번지 외 1필지,043-832-1127,,1
176,항암○○,장류 제조업,"10833, ",충청북도 괴산군 괴산읍 능촌리 1054 외 2필지,070-5100-5677,,7
202,바심○○○○,장류 제조업,"10833, ",충청북도 괴산군 괴산읍 능촌리 671번지 외 1필지,043-833-0395,,1
339,하늘○○,장류 제조업,"10833, ",충청북도 괴산군 문광면 문법리 438번지 외 2필지,043-832-7177,043-832-7677,5
102,태원○○,자동차 차체용 신품 부품 제조업 외 2 종,"30320, 25119, 30400",충청북도 괴산군 불정면 지장리 20-1번지,043-833-9702,,0
11,다○,일반용 도료 및 관련제품 제조업,"20411, ",충청북도 괴산군 괴산읍 대덕리 569번지,043-833-3041,,21
197,명진○○,일반용 도료 및 관련제품 제조업,"20411, ",충청북도 괴산군 괴산읍 제월리 903-1번지,043-760-7828,043-760-7827,4
350,희양○○○○○○○○,일반 제재업 외 6 종,"16101, 16102, 16103, 16299, 25112, 25119, 33302",충청북도 괴산군 연풍면 적석리 249-3,,,5
309,한나○,일반 제재업 외 2 종,"16101, 16300, 25112",충청북도 괴산군 괴산읍 동부리 58-177,070-4771-6245,,3
254,일송○○,일반 제재업,"16101, ",충청북도 괴산군 소수면 입암리 327-0번지,043-832-1848,,1
136,괴산○○,인삼식품 제조업 외 1 종,"10895, 11129",충청북도 괴산군 청천면 지촌리 84 외 3필지,043-834-1032,043-834-1032,2
156,자○,인삼식품 제조업 외 1 종,"10895, 11129",충청북도 괴산군 청천면 지촌리 84번지,,,2
308,파인○○○○○○○○,이동전화기 제조업 외 1 종,"26422, 26299",충청북도 괴산군 사리면 방축리 613-10번지,043-820-2000,043-820-2194,0
229,십자○○○○,육상 금속 골조 구조재 제조업 외 4 종,"25113, 22211, 22212, 22213, 25114",충청북도 괴산군 소수면 아성리 439-4번지,043-833-2170,043-833-3390,9
20,동영○○○,육상 금속 골조 구조재 제조업 외 3 종,"25113, 25114, 28113, 28119",충청북도 괴산군 불정면 목도리 411-5,043-833-7148,043-833-7146,6
1,네○,육상 금속 골조 구조재 제조업 외 2 종,"25113, 25119, 28119",충청북도 괴산군 문광면 송평리 259,063-213-0740,063-214-0740,24
241,엘티○○,육상 금속 골조 구조재 제조업 외 2 종,"25113, 25114, 29241",충청북도 괴산군 불정면 목도리 247-0,043-833-4430,043-833-3980,39
16,대원○○,육상 금속 골조 구조재 제조업 외 1 종,"25113, 25114",충청북도 괴산군 사리면 중흥리 275-1번지,043-838-2506,043-838-2507,11
32,비에○○○,육상 금속 골조 구조재 제조업 외 1 종,"25113, 25114",충청북도 괴산군 청안면 금신리 119번지 외 9필지,02-721-8199,0504-985-7032,1
71,와이○○○○,육상 금속 골조 구조재 제조업 외 1 종,"25113, 25114",충청북도 괴산군 소수면 입암리 383-1번지,,,10
283,에이○○○,육상 금속 골조 구조재 제조업 외 1 종,"25113, 25114",충청북도 괴산군 괴산읍 제월리 886번지,043-760-7800,043-760-7813,58
66,영화○○○○○,육상 금속 골조 구조재 제조업,"25113, ",충청북도 괴산군 청안면 문방리 600-0,043-838-0397,,47
109,티에○○○○,육상 금속 골조 구조재 제조업,"25113, ",충청북도 괴산군 사리면 방축리 445-0,,0504-031-0483,10
280,세움○○○,육상 금속 골조 구조재 제조업,"25113, ",충청북도 괴산군 괴산읍 제월리 905,043-537-2161,043-537-2163,10
310,주영○○,육상 금속 골조 구조재 제조업,"25113, ",충청북도 괴산군 사리면 노송리 351-1번지,043-838-7246,043-838-7242,12
319,청○,육상 금속 골조 구조재 제조업,"25113, ",충청북도 괴산군 청안면 금신리 409-2,043-836-1255,043-838-8401,4
272,미토○○○,육류 포장육 및 냉동육 가공업 (가금류 제외) 외 1 종,"10122, 10129",충청북도 괴산군 괴산읍 능촌리 1089 외 1필지,043-760-7202,,30
178,해성○○○○,육류 포장육 및 냉동육 가공업 (가금류 제외),"10122, ",충청북도 괴산군 청안면 금신리 394-1,043-838-4772,043-838-8235,40
47,시즈○○○,육류 기타 가공 및 저장처리업 (가금류 제외) 외 4 종,"10129, 10121, 10122, 10211, 10602",충청북도 괴산군 청안면 조천리 804 동화청안공장 외 1필지,043-820-3700,043-838-7722,26
4,그린○○,육류 기타 가공 및 저장처리업 (가금류 제외) 외 2 종,"10129, 10122, 10220",충청북도 괴산군 사리면 방축리 456번지,043-836-6214,043-836-6211,13
290,와이○○○○○,육류 기타 가공 및 저장처리업 (가금류 제외) 외 2 종,"10129, 10121, 10832",충청북도 괴산군 괴산읍 대덕리 573번지 외 1필지,031-333-1129,031-333-1157,37
157,자연○○○,육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종,"10129, 10122",충청북도 괴산군 사리면 방축리 613-11번지,043-836-6061,043-836-6067,27
162,프라○○○○○○○○,육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종,"10129, 10899",충청북도 괴산군 칠성면 율원리 1308,043-760-7666,043-760-7667,18
167,한살○○○○○○○○○,육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종,"10129, 10122",충청북도 괴산군 소수면 수리 619-3번지 외 5필지,043-832-1199,043-832-1198,48
152,산두○○○○○,육류 기타 가공 및 저장처리업 (가금류 제외),"10129, ",충청북도 괴산군 소수면 수리 617,043-832-1198,,32
175,프라○○○,육류 기타 가공 및 저장처리업 (가금류 제외),"10129, ",충청북도 괴산군 칠성면 율원리 산 2-4번지 외 1필지,043-760-7002,043-760-7015,12
264,건강○○○,육류 기타 가공 및 저장처리업 (가금류 제외),"10129, ",충청북도 괴산군 괴산읍 능촌리 1060 외 1필지,043-760-7891,043-760-7892,20
265,고○,육류 기타 가공 및 저장처리업 (가금류 제외),"10129, ",충청북도 괴산군 소수면 수리 835-3번지 공장 나동,043-833-9389,043-833-9389,0
307,케이○○○○○○○,"염료, 조제 무기안료, 유연제 및 기타 착색제 제조업 외 5 종","20132, 20119, 20421, 20495, 20499, 21301",충청북도 괴산군 사리면 방축리 101-3번지,043-838-9710,043-838-9712,23
239,에스○○○○○,연사 및 가공사 제조업 외 1 종,"13104, 68112",충청북도 괴산군 사리면 방축리 430-16번지,043-838-1790,043-838-1791,52
203,바이○,액상시유 및 기타 낙농제품 제조업 외 1 종,"10421, 10895",충청북도 괴산군 소수면 길선리 341-9 번지,043-834-3005,043-834-3006,3
236,아침○○○○○,액상시유 및 기타 낙농제품 제조업,"10421, ",충청북도 괴산군 사리면 화산리 273번지,043-832-0919,,3
95,청주○○○,아스팔트 콘크리트 및 혼합제품 제조업,"23991, ",충청북도 괴산군 청천면 청천리 195-6번지,043-832-3600,043-832-3602,21
113,피앤○,아스팔트 콘크리트 및 혼합제품 제조업,"23991, ",충청북도 괴산군 괴산읍 제월리 881-2,,,3
134,괴산○○○,아스팔트 콘크리트 및 혼합제품 제조업,"23991, ",충청북도 괴산군 감물면 백양리 541-3번지,043-834-0690,043-834-0693,4
260,종진○○○,아스팔트 콘크리트 및 혼합제품 제조업,"23991, ",충청북도 괴산군 청안면 백봉리 109-4,043-833-9017,,4
327,크린○,식품 위생용 종이 상자 및 용기 제조업,"17223, ",충청북도 괴산군 사리면 소매리 730번지 외 1필지,043-836-9019,043-836-4187,10
240,에프○○○○○○○○○,"식초, 발효 및 화학 조미료 제조업 외 5 종","10831, 10121, 10122, 10129, 10832, 10833",충청북도 괴산군 괴산읍 대덕리 573-3번지,070-4146-9704,050-4926-0199,6
174,애간○,"식초, 발효 및 화학 조미료 제조업 외 4 종","10831, 10301, 10302, 10832, 10833",충청북도 괴산군 괴산읍 능촌리 산 42-3번지,043-760-7602,043-760-7603,31
44,순수○,식물성 유지 제조업 외 3 종,"10412, 10901, 10902, 10903",충청북도 괴산군 괴산읍 능촌리 산 42-3번지,043-760-8100,043-760-8101,16
331,태성○○,식물성 유지 제조업 외 2 종,"10412, 10309, 10832",충청북도 괴산군 소수면 입암리 174번지 외 1필지,043-832-0430,043-832-4997,2
58,에이○○○,수소 제조업 외 1 종,"20121, 20122",충청북도 괴산군 괴산읍 대덕리 570-4번지,043-834-9597,043-834-9599,3
304,진성○○○,수소 제조업 외 1 종,"20121, 20122",충청북도 괴산군 청안면 조천리 1706,070-5056-4544,070-5056-4543,36
164,청솔○○○○○○,수산식물 가공 및 저장 처리업,"10220, ",충청북도 괴산군 괴산읍 대덕리 593번지 제2가공시설 1층,,,5
166,한백○○,수산식물 가공 및 저장 처리업,"10220, ",충청북도 괴산군 괴산읍 대덕리 593번지,043-836-0885,050-7031-15385,7
293,이로○○○○○○,수산식물 가공 및 저장 처리업,"10220, ",충청북도 괴산군 칠성면 율원리 산3-2 수미김 공방,043-760-4852,,14
324,초정○○,수산식물 가공 및 저장 처리업,"10220, ",충청북도 괴산군 사리면 노송리 129-2번지 공장,,,4
46,시즈○,"수산동물 훈제, 조리 및 유사 조제식품 제조업 외 4 종","10211, 10121, 10122, 10129, 10301",충청북도 괴산군 청안면 조천리 804-2번지,043-838-0622,043-838-7722,50
92,지엘○○○,수산동물 냉동품 제조업,"10213, ",충청북도 괴산군 괴산읍 대덕리 593 수산식품산업거점단지 제2가공시설,043-833-5047,,6
10,다담○,수산동물 건조 및 염장품 제조업 외 2 종,"10212, 10122, 10129",충청북도 괴산군 청안면 금신리 583번지,043-838-7008,043-836-6967,18
286,엔케○○○,설치용 및 위생용 플라스틱제품 제조업 외 3 종,"22222, 28511, 28519, 29133",충청북도 괴산군 괴산읍 제월리 903-2번지 외 1필지,043-000-0000,051-971-7810,7
29,보○,설치용 및 위생용 플라스틱제품 제조업,"22222, ",충청북도 괴산군 괴산읍 대사리 321번지,043-834-5300,043-834-5302,12
322,청운○○,석회 및 플라스터 제조업 외 3 종,"23312, 10901, 10902, 10903",충청북도 괴산군 청안면 부흥리 376-2,043-767-7555,043-422-9558,24
336,풀무○○○,생수 생산업 외 1 종,"11202, 22232",충청북도 괴산군 문광면 유평리 445번지,043-833-8881,043-833-8885,0
22,동원○○○○○○○○○○,생수 생산업,"11202, ",충청북도 괴산군 불정면 창산리 113번지 외 5필지,043-833-8388,043-833-8943,28
349,화신○○,산업용 송풍기 및 배기장치 제조업,"29174, ",충청북도 괴산군 사리면 사담리 583-1번지 외 1필지,043-836-4650,,1
67,오닉○○,산업용 냉장 및 냉동 장비 제조업,"29171, ",충청북도 괴산군 소수면 수리 816-4번지 외 1필지,043-832-4819,,1
292,이로○○○,빵류 제조업,"10602, ",충청북도 괴산군 칠성면 율원리 1307,043-760-4852,,30
7,네패○○○,비메모리용 및 기타 전자집적회로 제조업,"26112, ",충청북도 괴산군 청안면 조천리 1711,043-240-0414,043-240-8375,11
129,광신○○,비동력식 수공구 제조업,"25933, ",충청북도 괴산군 사리면 사담리 544번지 (사담리 544),,,4
