연번,시군,회사명,공장대표주소(도로명),전화번호,주생산품
16,청주시,(주)가남,충청북도 청주시 청원구 북이면 옥수리 327-16번지,043-211-2205,청소기용 헤파 필터
17,청주시,(주)가든,충청북도 청주시 서원구 현도면 죽전리 340-1,070-8658-5112,펫하우스
18,청주시,(주)가솔릭,"충청북도 청주시 청원구 오창읍 양청리 810-13 청주미래누리터(지식산업센터) 401,402호 401,402호",043-218-0050,"언택트항균버튼펜, UV(자외선) 살균기 에너지효율화 시스템"
19,청주시,(주)가온글로벌보안,충청북도 청주시 흥덕구 운천동 540-5번지 충북빌딩5층,043-216-0105,"영상감시장치,보안카메라"
20,청주시,(주)가원폴리텍,충청북도 청주시 서원구 남이면 구미리 235-15,043-271-8914,"건축용 금형틀, 건축용 접착제"
21,청주시,(주)가인철강,충청북도 청주시 청원구 오창읍 모정리 98-1번지,043-218-8744,H빔
22,청주시,(주)가인철강,충청북도 청주시 청원구 오창읍 모정리 101번지 외 1필지,043-218-8744,H빔관련제품
23,청주시,(주)강동알앤에스(강동R&S),충청북도 청주시 청원구 북이면 석화리 74번지 외 1필지,043-217-6400,"재생PP, PE, 방수배수판"
24,청주시,(주)강림이엔알,충청북도 청주시 청원구 내수읍 학평리 246번지 외 5필지,043-216-0532,SRF(고형연료)
25,청주시,(주)강한이노시스,충청북도 청주시 서원구 미평동 58-4번지,043-295-1155,머신비전 및 검사장비
26,청주시,(주)거명이엔지,충청북도 청주시 서원구 남이면 구암리 160-3번지,043-265-0721,태양광 구조물
27,청주시,(주)거성수지,충청북도 청주시 상당구 가덕면 청용리 340-4번지,070-4116-5652,"PE,PP"
28,청주시,(주)거성포장,충청북도 청주시 상당구 문의면 남계리 574번지 외 1필지,043-298-5072,골판지상자
29,청주시,(주)거성플랜트,충청북도 청주시 청원구 오창읍 신평리 42-2번지,043-267-6789,금속기둥
30,청주시,(주)거인,충청북도 청주시 서원구 남이면 석판리 149-2번지,043-296-3376,광고용 간판제작 및 전시
31,청주시,(주)건승테크,충청북도 청주시 청원구 북이면 금암리 415,043-218-7793,"휀스, 버스승강장, 차선분리대"
32,청주시,(주)건화,충청북도 청주시 서원구 남이면 부용외천리 789번지 외 10필지,043-275-2556,골판지상자
33,청주시,(주)경성테크,충청북도 청주시 청원구 북이면 신기리 38번지,070-8887-5472,태양광발전장치
34,청주시,(주)경인이피에스,충청북도 청주시 청원구 오창읍 여천리 7-3번지,043-211-9011,스티로품 박스
35,청주시,(주)경일전자,"충청북도 청주시 흥덕구 송정동 279-5번지 세중테크노밸리 11층 1101, 1102",070-8672-3806,마이크로드릴비트 가공
36,청주시,(주)경진프라스틱,충청북도 청주시 상당구 미원면 중리 22번지,043-296-5275,합성수지
37,청주시,(주)고가네,충청북도 청주시 서원구 남이면 대련리 264-2번지,043-273-1855,"식육포장처리(돈, 우육, 부분육)"
38,청주시,(주)고도텍,충청북도 청주시 흥덕구 송정동 19-9,043-273-4633,PCB
39,청주시,(주)고려기획,충청북도 청주시 청원구 오창읍 양청리 777-15,043-218-8500,"명함, 스티커, 카다록, 교육교재, 제본, 현수막, 실사출력"
40,청주시,(주)고려씨앤에프,충청북도 청주시 서원구 현도면 죽암리 234번지,043-260-9245,"종이컵, 우동용기"
41,청주시,(주)곡물면가,충청북도 청주시 청원구 오창읍 복현리 338번지,043-262-7763,"면류, 견과류 가공품"
42,청주시,(주)골드레벤,충청북도 청주시 흥덕구 봉명동 2460,043-260-0710,공업용 RO정수기
43,청주시,(주)골드레벤,충청북도 청주시 흥덕구 봉명동 2340번지,043-260-0710,화장품 원료
44,청주시,(주)골드엘씨드,충청북도 청주시 흥덕구 강내면 월탄리 82-4번지,,금형
45,청주시,(주)공공디자인이즘,충청북도 청주시 청원구 내덕동 407,043-272-3741,"친환경 광고물, 업사이클링 제품"
46,청주시,(주)공단레미콘아스콘,충청북도 청주시 흥덕구 강내면 저산리 212-2 외 1필지,043-238-8780,"레미콘, 아스콘"
47,청주시,(주)공영엔지니어링,충청북도 청주시 청원구 오창읍 원리 221-1번지 외 5필지,043-217-8911,"질소발생기,산소발생기"
48,청주시,(주)광고프라자,충청북도 청주시흥덕구 향정동 43-2번지,043-274-8080,"간판, 현수막"
49,청주시,(주)광림,충청북도 청주시 서원구 현도면 죽전리 65-11번지 외 8필지,043-270-9021,"크레인, 노면청소차,소방차, 크루즈스텝카외 특장차유압카고크레인,청소차,고소작업차, 청소차 외"
50,청주시,(주)광성이엔씨,충청북도 청주시 서원구 현도면 상삼리 180-2,043-271-6100,"스크린도어 제작,교량용품"
51,청주시,(주)광스틸,충청북도 청주시 서원구 현도면 중삼리 293-1번지 외 1필지,043-260-3500,"외벽패널, 유바, 후레싱, 합성수지제창"
52,청주시,(주)광신철강,충청북도 청주시 서원구 현도면 우록리 258번지 외 2필지,043-265-9921,철근가공품
53,청주시,(주)광영산전,충청북도 청주시 상당구 남일면 송암리 467번지,043-287-1135,배전반 및 전기자동제어반
54,청주시,(주)광우,충청북도 청주시 서원구 현도면 시동리 448-1번지,043-269-0778,"특장차부품, 철강재가공, 철강제품"
55,청주시,(주)광원스틸,충청북도 청주시 청원구 북이면 장재리 300-1,,철구조물(철재형강 임가공)
56,청주시,(주)광진씨에이피,충청북도 청주시 흥덕구 오송읍 정중리 538-3번지,043-238-3824,플라스틱 뚜껑
57,청주시,(주)광천타올,충청북도 청주시 서원구 현도면 시동리 394-2번지 외 1필지,043-269-5667,타올
58,청주시,(주)광천타올,충청북도 청주시 서원구 현도면 시동리 447번지,043-269-5667,타월
59,청주시,(주)국보싸이언스,충청북도 청주시 흥덕구 송정동 53-31 (주)국보제약 외 1필지,043-264-7766,"방역약품, 살충제, 살서제, 치약, 손소독제, 제독제, 동물용약제품, 포충기 등"
60,청주시,(주)국토,충청북도 청주시 청원구 우암동 229-1번지,,"경관조명,CCTV,배전반 등"
61,청주시,(주)규보식품,충청북도 청주시 청원구 오창읍 상평리 75-1번지,043-216-8825,조미김
62,청주시,(주)규진건설,충청북도 청주시 서원구 남이면 상발리 194번지,043-233-5972,"울타리휀스,난간,신축이음장치"
63,청주시,(주)그라텍,충청북도 청주시 흥덕구 서촌동 537-3번지,043-234-1804,특수실리콘수지
64,청주시,(주)그라프,충청북도 청주시 흥덕구 송정동 123-0 (주)킹텍스內,070-7777-3740,동물용 사료 및 간식
65,청주시,(주)그린광학 (1공장),충청북도 청주시 청원구 오창읍 각리 642-5번지,043-218-2183,"렌즈,프리즘 등 광학부품"
66,청주시,(주)그린광학 (2공장),충청북도 청주시 청원구 오창읍 각리 641-8번지,043-218-2183,광학부품
67,청주시,(주)그린광학 (3공장),충청북도 청주시 청원구 오창읍 각리 641-9번지,043-218-2183,광학부품 및 광시스템
68,청주시,(주)그린미,충청북도 청주시 청원구 내수읍 원통리 310-16번지,070-4121-3338,"식생매트,야자매트"
69,청주시,(주)그린이엔지,충청북도 청주시 서원구 개신동 12번지 충북대학교 충북대 학연산공동기술연구원 402호,043-288-8188,"오존, 산소 가스 발생기 및 정수장치 제조, 기체여과기 및 액체여과기 제조, 정수설비 및 배관공사"
70,청주시,(주)그린테크,충청북도 청주시 청원구 내수읍 학평리 44-11 외 8필지,043-212-9033,"환경설비(대기방지시설, 폐수방지시설, 약품투입기, 컨베이어, 열교환장치)"
71,청주시,(주)그린팩토리,충청북도 청주시 서원구 남이면 석실리 354-5번지,043-231-6460,"식생매트,보행매트,식생토낭"
72,청주시,(주)글로벌서비스,충청북도 청주시 서원구 현도면 우록리 546-1번지,043-269-4491,특장차및건설기계부품
73,청주시,(주)글로벌에스텍,충청북도 청주시 흥덕구 휴암동 425-4,043-264-9117,"도로방호블록연결기구, 방호벽 일체형 태양광조명등, 에너지저장장치"
74,청주시,(주)글로벌특장,충청북도 청주시 흥덕구 지동동 764-19번지,043-273-4111,화물차량 특수탑(윙바디)
75,청주시,(주)글로벌하우징,충청북도 청주시 청원구 오창읍 모정리 118-1,031-8042-2570,알루미늄 외벽패널
76,청주시,(주)글로션에프에스,충청북도 청주시 청원구 북이면 내둔리 455-0,,"떡갈비, 갈비탕"
77,청주시,(주)글로폴리,충청북도 청주시 흥덕구 휴암동 245-8,,신선도유지 필름
78,청주시,(주)금강특수강,충청북도 청주시 청원구 오동동 186-2번지,043-271-8875,H빔
79,청주시,(주)금광테크,충청북도 청주시 서원구 미평동 61번지,043-284-0330,유무선통신기기류
80,청주시,(주)금성앙금,충청북도 청주시 서원구 남이면 외천리 131-1번지 외 2필지,043-269-2351,앙금
81,청주시,(주)금성프로텍,충청북도 청주시흥덕구 봉명동 2427 번지,043-274-1135,전기전자제어부품
82,청주시,(주)금성하우징,충청북도 청주시 흥덕구 현암동 265-26 외 1필지,,폴리스티렌 발포 성형제품
83,청주시,(주)금성하우징,충청북도 청주시 흥덕구 현암동 267-4,043-236-2507,EPS블럭
84,청주시,(주)금양,충청북도 청주시 상당구 가덕면 한계리 163번지,043-232-3611,"알루미늄창,금속난간대"
85,청주시,(주)금영테크,충청북도 청주시 청원구 주중동 447-10번지,043-297-1129,"유압크레인,임엽용집재기,트럭크레인"
86,청주시,(주)금진,충청북도 청주시 흥덕구 옥산면 환희리 157번지 외 6필지,043-278-2110,"벽지, 카펫타일, 전사인쇄, 시트인쇄"
87,청주시,(주)기은산업,충청북도 청주시 서원구 장암동 95-2번지,043-295-8008,"금속창호,플라스틱창호"
88,청주시,(주)기호바이오,충청북도 청주시 흥덕구 송정동 279-5 세중테크노밸리 401호 401호,043-235-8615,화장품 및 화장품 원료
89,청주시,(주)길에듀월드,충청북도 청주시 흥덕구 복대동 100-5 1동 지상10층 1009호,043-217-4507,영어 학습자료
90,청주시,(주)길원테크,충청북도 청주시 청원구 외평동 171-9,043-277-8781,"금속제구조물(금속제울타리, 차양, 차선분리대 등)"
91,청주시,(주)길원테크,충청북도 청주시 청원구 내수읍 내수리 354-1번지,043-277-8781,"메쉬휀스,디자인휀스,YL휀스"
92,청주시,(주)나노바이오라이프,충청북도 청주시 흥덕구 봉명동 2773번지 202호,,스마트리컴번트자전거
93,청주시,(주)나노솔루션 ,충청북도 청주시 흥덕구 송정동 279-5번지 15층 1509,043-265-9301,PCB 
94,청주시,(주)나노시스,충청북도 청주시 흥덕구 강내면 사곡리 281번지,043-231-6935,인쇄회로기판
95,청주시,(주)나노테크,충청북도 청주시 청원구 북이면 현암리 2번지,043-217-6390,휴대폰 카메라용 부품
96,청주시,(주)나노테크,충청북도 청주시 흥덕구 강내면 석화리 8-4 번지,043-217-6390,"탄성우레탄도료, 초경합금분말"
97,청주시,(주)나노테크,충청북도 청주시흥덕구 송정동 161-10번지,,소결자석
98,청주시,(주)나노플러스,충청북도 청주시 흥덕구 신성동 183-1번지 (주)이인,043-235-9060,"산업용정수기,환경기기"
99,청주시,(주)나라엠에스,충청북도 청주시 흥덕구 강내면 태성리 355 외 2필지,043-276-4568,종이박스(완제품 포장)
100,청주시,(주)나라텍,충청북도 청주시 청원구 내수읍 풍정리 105-3번지,043-213-8231,"토목과련, 콘크리트관련 금속ㅈ구조전기전자부품"
101,청주시,(주)나스콤,충청북도 청주시 서원구 남이면 수대리 183-2번지,043-276-7800,CCTV
102,청주시,(주)나유타,충청북도 청주시 흥덕구 옥산면 호죽리 927번지,031-373-6855,반도체 웨이퍼
103,청주시,(주)나인,충청북도 청주시 청원구 오창읍 양청리 810-13 청주미래누리터(지식산업센터) 3층 305호 3층 305호,043-216-9919,"광학렌즈, 망원경, 현미경 등"
104,청주시,(주)나인텍,충청북도 청주시 흥덕구 송정동 70-73 직지스마트타워 1동 14F층 1430호,,UV LED 경화기
105,청주시,(주)난달,충청북도 청주시 흥덕구 송정동 279-5 세중테크노밸리 1507호 1507호 외 1필지,043-714-3787,실험실용 약품장
106,청주시,(주)남강기계산업,충청북도 청주시 서원구 남이면 외천리 106번지,043-269-0400,"후렌치샤프트, 금속저장 탱크, 건조기"
107,청주시,(주)남경팩키지,충청북도 청주시 서원구 남이면 척산리 48번지,043-269-4600,"골판지, 지관"
108,청주시,(주)남일지관,충청북도 청주시 흥덕구 복대동 250-2번지,043-234-5355,지관
109,청주시,(주)남평건설,충청북도 청주시 서원구 장성동 146번지,043-296-7112,"플라스틱 창호, 알루미늄 창호, 잡철"
110,청주시,(주)네스푸드,충청북도 청주시 서원구 남이면 외천리 355-3,043-239-5577,동결건조 과일
111,청주시,(주)네오비젼 오송지점,충청북도 청주시 흥덕구 오송읍 연제리 620,031-627-5509,시력보정용 콘택트렌즈
112,청주시,(주)네오세미텍,충청북도 청주시 서원구 개신동 12번지 477호(학연산공동기술연구원),043-903-3900,"반도체 장비, ICT 제품 등"
113,청주시,(주)네오텍,충청북도 청주시 흥덕구 화계동 200번지,043-272-5652,인쇄회로기판
114,청주시,(주)네이쳐웍스,충청북도 청주시 서원구 죽림동 346번지 휴먼빌,,HMX엔진오일
115,청주시,(주)네패스,충청북도 청주시 청원구 오창읍 각리 654-2번지,043-240-8312,반도체웨이퍼
116,청주시,(주)네패스 (2공장),충청북도 청주시 청원구 오창읍 송대리 311-2번지,043-240-0391,반도체 웨이퍼
117,청주시,(주)네패스아크,충청북도 청주시 청원구 오창읍 송대리 311-2번지,043-240-0321,"반도체테스트, 전자부품제조"
118,청주시,(주)네패스야하드,충청북도 청주시 청원구 오창읍 송대리 311-2번지,043-240-0221,lead tab
119,청주시,(주)넥소바이오,충청북도 청주시 흥덕구 송정동 70-73 직지스마트타워 1동 5F층 505호,043-298-9775,치과용 충전재
120,청주시,(주)넥소바이오2공장,충청북도 청주시 흥덕구 복대동 100-5 1103호 1103호 외 4필지,043-298-9775,치과용 충전재
121,청주시,(주)넥스,충청북도 청주시 청원구 오창읍 가좌리 150-3번지,043-224-4800,시멘트 콘크리트 판
122,청주시,(주)넥스젬,충청북도 청주시 청원구 북이면 신기리 321번지 외 1필지,043-212-3352,금형
123,청주시,(주)넥스텍,충청북도 청주시 흥덕구 송정동 70-55번지,043-266-1192,"자동차계기반, 자동화기기, 키폰/PBX, 인터넷폰"
124,청주시,(주)넥스팜코리아,492번지,070-4649-5326,혈압강하제외
125,청주시,(주)넥스포,충청북도 청주시 흥덕구 옥산면 남촌리 1112-13 (주)POLE,043-266-9908,전극판부품제조
126,청주시,(주)노바렉스 (1공장),충청북도 청주시 청원구 오창읍 각리 641-2번지,043-218-0510,"기능성식품원료,건강보조식품,특수영양식품"
127,청주시,(주)노바렉스 (2공장),충청북도 청주시 청원구 오창읍 각리 641-7번지 외 1필지,043-218-0510,"건강보조식품,음료"
128,청주시,(주)노아닉스,충청북도 청주시 흥덕구 오송읍 정중리 678번지,043-905-0972,"의료용코팅기기, 의료용코팅,의료용코팅제,코팅장비"
129,청주시,(주)녹십자,충청북도 청주시 청원구 오창읍 송대리 320-2 외 3필지,043-906-1349,생물학적제제
130,청주시,(주)녹원,충청북도 청주시 서원구 남이면 사동리 101번지,043-260-2199,"조미식품,식품첨가물"
131,청주시,(주)농협사료 충청지사,충청북도 청주시 흥덕구 송정동 140-38번지,043-262-1901,"배합사료, 단미사료"
132,청주시,(주)누리라인,충청북도 청주시 청원구 오창읍 석우리 60-2번지,043-217-2964,철도차량부품
133,청주시,(주)뉴영창기획,충청북도 청주시 청원구 내덕동 412-76번지,043-252-5566,"간판,철구조물안전용품"
134,청주시,(주)뉴탑이앤지,충청북도 청주시 서원구 미평동 138 F동 1동 1호,043-285-1119,"일반목적 기계설비, 저장장치 등"
135,청주시,(주)다모아패키지,충청북도 청주시 청원구 북이면 내추리 271-1,043-215-2339,아이스팩
136,청주시,(주)다몬시스템,충청북도 청주시 청원구 북이면 금암리 199번지,043-284-0955,"신호등, 철구조물,교통신호기기,안전시스템무선기기"
137,청주시,(주)다믐,충청북도 청주시 흥덕구 복대동 100-5 810호 810호 외 1필지,,냉동육 가공
138,청주시,(주)다빈치동력패러,충청북도 청주시 청원구 북이면 장재리 424-6번지,043-235-7680,"유,무인 동력패러글라이더 제조"
139,청주시,(주)다산애드컴,충청북도 청주시 상당구 용암동 2575번지,043-221-5400,"전시형 모형,목재 조형물"
140,청주시,(주)다산에코,충청북도 청주시 서원구 개신동 12번지 에스21-1동 202호(충북대학교),,토양안정제
141,청주시,(주)다솔테크놀로지,충청북도 청주시 흥덕구 강내면 궁현리 73-8,,철 구조물
142,청주시,(주)다쓰에너지,충청북도 청주시 청원구 오창읍 송대리 319-1번지,043-218-7468,"MCCB, 바이오드"
143,청주시,(주)다쓰테크,충청북도 청주시 청원구 오창읍 송대리 319-1번지,043-210-8853,태양광발전용인버터 등
144,청주시,(주)다쓰테크 (2공장),충청북도 청주시 청원구 오창읍 송대리 319-5번지,043-210-8853,태양광인버터
145,청주시,(주)다온,충청북도 청주시 흥덕구 옥산면 호죽리 953번지,043-716-2995,자동제어 전기판넬
146,청주시,(주)다온,충청북도 청주시 서원구 현도면 상삼리 180-6,043-277-9301,"스퍼터, 이베퍼레이터 등"
147,청주시,(주)다온네이쳐,충청북도 청주시 청원구 내수읍 원통리 310-16번지,070-4217-3339,"식생매트, 야자매트, 보행매트"
148,청주시,(주)다온아이앤씨,충청북도 청주시 청원구 오창읍 각리 654-1,043-215-1959,의료기기
149,청주시,(주)다온피앤디,충청북도 청주시 서원구 현도면 상삼리 60,043-292-5485,조경시설물 및 경관시설물
150,청주시,(주)다요앤,충청북도 청주시 청원구 오창읍 송대리 316-1번지,043-214-5030,환자용보조기구
151,청주시,(주)다우산업,충청북도 청주시 청원구 북이면 신대리 249번지,043-217-1041,전력량계뚜껑
152,청주시,(주)다우산업2공장,충청북도 청주시 흥덕구 옥산면 호죽리 648번지,043-236-8560,전기개폐기
153,청주시,(주)다원건설,충청북도 청주시 흥덕구 강내면 다락리 365번지,043-238-8978,"알루미늄창호,플라스틱 샷시문틀,울타리,기타 금속제품"
154,청주시,(주)다원엘리베이터,충청북도 청주시 청원구 오창읍 원리 207-29,043-266-1215,엘리베이터 제작
155,청주시,(주)다이아덴트,충청북도 청주시 흥덕구 오송읍 연제리 626번지,043-266-2315,"근관충전기외,치과재료"
156,청주시,(주)다진산업,충청북도 청주시 청원구 오창읍 여천리 20-3번지 외 2필지,043-1588-1074,조립식 판넬
157,청주시,(주)다해레이저,충청북도 청주시 청원구 오창읍 성산리 27-5번지 외 1필지,043-216-8858,목금형
158,청주시,(주)단풍,충청북도 청주시 청원구 내수읍 원통리 310-16번지,043-283-6504,"식생매트, 야자매트"
159,청주시,(주)대건전기,충청북도 청주시 상당구 가덕면 계산리 190-1번지,043-298-2536,"전기함(계량기함),태양광구조물"
160,청주시,(주)대건정보통신,충청북도 청주시 서원구 남이면 가좌리 21-12,043-291-0435,"마을무선방송장치,통합배선반"
161,청주시,(주)대광건설,충청북도 청주시 서원구 장성동 15-8번지,043-287-6000,"미끄럼방지,도막형바닥재"
162,청주시,(주)대광소재,충청북도 청주시 상당구 가덕면 청용리 208-3 외 2필지,,석회석미분
163,청주시,(주)대광인쇄출판,충청북도 청주시 상당구 수동 395-5,,인쇄 및 출판물
164,청주시,(주)대광지관,충청북도 청주시 청원구 오창읍 복현리 285번지,043-217-8626,면방적용 종이깔대기
165,청주시,(주)대덕기업,충청북도 청주시 흥덕구 옥산면 호죽리 산 96-32 외 4필지,,자동차배선부품
166,청주시,(주)대도물산,충청북도 청주시 서원구 남이면 척산리 385-11번지,043-269-2911,이불속천
167,청주시,(주)대림산업,충청북도 청주시 상당구 가덕면 행정리 18-2번지,043-256-0577,"책상,캐비넷, 씽크대"
168,청주시,(주)대림전기,충청북도 청주시 상당구 문의면 남계리 121번지,043-267-9965,"수,배전반"
169,청주시,(주)대림피엔피,충청북도 청주시 상당구 가덕면 행정리 86-3 외 1필지,043-221-8242,종이용기
170,청주시,(주)대림하우인,충청북도 청주시 서원구 남이면 비룡리 336-8 외 1필지,043-272-4204,"알루미늄 창호, PVC 창호"
171,청주시,(주)대명건설엔지니어링,충청북도 청주시 청원구 북이면 장양리 284-1 공장,043-214-6031,H빔 가공
172,청주시,(주)대명사,충청북도 청주시 상당구 운동동 206-11번지,,인쇄물
173,청주시,(주)대범이엔지,충청북도 청주시 청원구 오창읍 신평리 603-7번지 외 1필지,043-276-5017,고속스핀들
174,청주시,(주)대산,충청북도 청주시흥덕구 송정동 66-33번지,043-269-1174,"제화부속, 부직포"
175,청주시,(주)대산제2공장,충청북도 청주시 흥덕구 송정동 70-59번지,043-269-1174,부직포.제화부속
176,청주시,(주)대상이엔지,충청북도 청주시 청원구 내수읍 구성리 378-1번지,043-217-7922,"신호등주,CCTV철주, 조명타워,표지판지주"
177,청주시,(주)대상티케이,충청북도 청주시 청원구 오창읍 중신리 212-0,043-231-9901,전기자동 제어반
178,청주시,(주)대성농업기계,충청북도 청주시 상당구 가덕면 병암리 7-10,,농업용기계(휴립피복기)
179,청주시,(주)대성무선,"충청북도 청주시 서원구 남이면 가마리 267번지 1동, 1층",043-291-9707,"동보장치, 마을무선방송기기, 태양광LED조명"
180,청주시,(주)대성씨엠텍,충청북도 청주시 청원구 북이면 금암리 241,043-216-6314,"수처리장치주문제작,계측기 부품가공"
181,청주시,(주)대성에어텍,충청북도 청주시 청원구 북이면 대율리 126번지,043-215-3275,"전열교환소자, 각종필터"
182,청주시,(주)대성에프앤비,충청북도 청주시 흥덕구 강내면 태성리 244-1번지,043-238-3611,해상 부유구조물
183,청주시,(주)대성이엔지,"충청북도 청주시 청원구 오창읍 양청리 685-1번지 충북테크노파크 선도기업관 306, 307호",043-217-7171,난방용전열관
184,청주시,(주)대성이엔지,충청북도 청주시 청원구 오동동 240-2,043-217-7171,"난방용 전열관, 공기순환기"
185,청주시,(주)대성특장,충청북도 청주시 흥덕구 강내면 사곡리 45-3번지 외 3필지,043-716-1234,wing-boby
186,청주시,(주)대신기공,충청북도 청주시 청원구 북이면 금암리 240번지,,"산업기계,철구조물"
187,청주시,(주)대신기전,충청북도 청주시 청원구 북이면 대율리 54-3번지,043-250-6732,트랜스포머
188,청주시,(주)대아이엔지,충청북도 청주시 청원구 주중동 722번지,043-211-1701,"탱크제조,기계제작,Plant"
189,청주시,(주)대양,충청북도 청주시 흥덕구 옥산면 호죽리 925-2,031-544-7007,코아
190,청주시,(주)대양포리졸,충청북도 청주시 흥덕구 송정동 75-1번지 외 1필지,043-267-4111,접착제
191,청주시,(주)대연전력기술,충청북도 청주시 상당구 남일면 황청리 15-4 주2동,043-269-0530,대양광발전장치지지대 및 발전기
192,청주시,(주)대운엘앤씨,충청북도 청주시 청원구 내수읍 풍정리 121-1,070-7805-4720,"LED매입형고정형등기구, LED가로등(보안등), LED조명기기"
193,청주시,(주)대웅기계,충청북도 청주시 청원구 사천동 576-6번지,043-216-9100,비닐플라스틱관련기계제작
194,청주시,(주)대웅제약,충청북도 청주시 흥덕구 오송읍 연제리 689번지,031-350-8860,"순환계, 신경계질환 치료제"
195,청주시,(주)대원,충청북도 청주시 흥덕구 송정동 140-40번지,043-264-1115,임대업 
196,청주시,(주)대원기계,충청북도 청주시 흥덕구 서촌동 567-32번지 대원기계,043-235-7275,금속공작물
197,청주시,(주)대원디씨,충청북도 청주시 흥덕구 송정동 140-55번지,043-276-2760,"자동차부품(사이드미러,엔진부품)"
198,청주시,(주)대원맨홀,충청북도 청주시 청원구 내수읍 원통리 271-1번지,043-297-7884,스틸그레이팅
199,청주시,(주)대원모방,충청북도 청주시 흥덕구 송정동 140-40번지 (주)대원,043-275-9181,"원사, 모직물 "
200,청주시,(주)대원프라스틱,충청북도 청주시 흥덕구 오송읍 동평리 100-1번지 외 3필지,043-238-5037,"(TV,VTR,전화기)케이스,린스용기"
201,청주시,(주)대원프리시전,충청북도 청주시 흥덕구 옥산면 남촌리 1112-6번지,043-213-6167,"이차전지 관련 정밀금형, 정밀기계부품 및 방산관련 기계부품 등"
202,청주시,(주)대유데칼,충청북도 청주시 흥덕구 신봉동 503-1,043-272-1868,오토바이헬멧전사지
203,청주시,(주)대인이엔씨,충청북도 청주시 서원구 모충동 94-3번지,043-293-4743,전기판넬
204,청주시,(주)대일기업,충청북도 청주시 흥덕구 강내면 황탄리 42-3번지,043-232-6476,"재생가공원료(PP, PE외 플라스틱 일체)"
205,청주시,(주)대일전자,충청북도 청주시 서원구 현도면 죽전리 64-14번지 외 6필지,043-260-3800,전자제품인쇄회로기판
206,청주시,(주)대일특수유리,충청북도 청주시 서원구 남이면 상발리 산 27-3번지 외 1필지,043-286-1066,인쇄유리 및 가공유리
207,청주시,(주)대일특수유리,충청북도 청주시 서원구 남이면 상발리 207-2번지,,복층유리
208,청주시,(주)대정전기,충청북도 청주시 서원구 죽림동 77-1번지,043-236-6842,전기함
209,청주시,(주)대진바이오,충청북도 청주시 흥덕구 복대동 100-5 714호 714호,043-211-4157,시약장 및 실험실 기자재
210,청주시,(주)대진엠에스 농업회사법인,충청북도 청주시 청원구 북이면 석성리 282번지,043-876-6667,"한우, 수입포장육/양념육"
211,청주시,(주)대진테크,충청북도 청주시 흥덕구 옥산면 덕촌리 214-1번지,043-269-2944,플라스틱케이스
212,청주시,(주)대풍산업특장,충청북도 청주시 서원구 현도면 시동리 383-1 B동 101호,,"특장차, 트레일러"
213,청주시,(주)대한스크랩,충청북도 청주시 상당구 문의면 남계리 180-1번지 외 4필지,043-297-9772,고철
214,청주시,(주)대한씨피브이씨산업,충청북도 청주시 흥덕구 지동동 440-1,043-232-3821,소방용 CPVC 배관
215,청주시,(주)대한인쇄,충청북도 청주시 청원구 북이면 신기리 319-7번지 외 1필지,043-213-6761,"일반옵셋인쇄, 카달로그"
216,청주시,(주)대한티앤에스,충청북도 청주시 흥덕구 복대동 100-5번지 4층 416호,043-235-3401,"안전정보판, 정제수, 초순수 등"
217,청주시,(주)대현에스티,충청북도 청주시 청원구 오창읍 송대리 345번지,043-229-7700,산업용테이프
