순번,업종명,업체명,주소,전화번호,단지,데이터기준일자
286,전동기 및 발전기 제조업,(주)한일중기,충청북도 제천시 바이오밸리로 52 (왕암동),043-645-0308,제천제1산업단지,2026-01-12
7,"전기회로 개폐, 보호장치 제조업 외 2 종",(주)대경,충청북도 제천시 송학주천로 79 (고암동),043-642-6610,,2026-01-12
144,"전기회로 개폐, 보호장치 제조업",주식회사 이지시그널,"충청북도 제천시 세명로 65, 세명창업보육센터 305호(신월동, 세명대학교)",,,2026-01-12
135,자동차용 엔진 제조업 외 2 종,제천자동차공업사,충청북도 제천시 내토로 893 (장락동),043-644-6088,,2026-01-12
184,자동차용 엔진 제조업 외 2 종,선경산업(주),충청북도 제천시 강저로 38 (강제동),043-644-7733,제천강저농공단지,2026-01-12
365,자동차용 신품 조향장치 및 현가 장치 제조업 외 5 종,주식회사 일진글로벌(제천4공장),"충청북도 제천시 제3산단로 37(왕암동, 일진글로벌)",043-652-8711,제천제3산업단지,2026-01-12
334,자동차용 신품 조향장치 및 현가 장치 제조업,(주)화영이노텍,충청북도 제천시 제2바이오밸리로5길 35 (왕암동),043-647-5116,제천제2산업단지,2026-01-12
346,자동차용 신품 전기장치 제조업 외 1 종,인팩이피엠(주),충청북도 제천시 제2바이오밸리로5길 16 (왕암동),043-535-5011,제천제2산업단지,2026-01-12
351,자동차용 신품 동력전달장치 제조업 외 6 종,주식회사 일진글로벌(제천3공장),충청북도 제천시 한방엑스포로 170 (왕암동) 외 1필지,043-652-8711,제천제2산업단지,2026-01-12
214,자동차용 신품 동력전달장치 제조업 외 1 종,주식회사화영테크윈,충청북도 제천시 내토로73길 19,043-647-5115,제천고암농공단지,2026-01-12
157,자동차 재제조 부품 제조업 외 1 종,태일자동차공업사,충청북도 제천시 내토로 928(고암동),043-646-7577,,2026-01-12
73,자동차 재제조 부품 제조업,동진특장,충청북도 제천시 강저로 21 (강제동) 외 4필지,043-647-1185,,2026-01-12
167,자동차 재제조 부품 제조업,한독공업주식회사,충청북도 제천시 단양로14길 48-13 (고명동),043-648-2101,,2026-01-12
36,자동차 엔진용 신품 부품 제조업 외 1 종,(주)첨단보링,"충청북도 제천시 내토로65길 12 (장락동, (주)첨단보링)",043-644-0379,,2026-01-12
255,일반용 전기 조명장치 제조업 외 3 종,아트테크,충청북도 제천시 금성면 양월로 46-34 2동,043-646-8510,제천양화농공단지,2026-01-12
206,일반용 전기 조명장치 제조업 외 2 종,삼성파워랩 주식회사,충청북도 제천시 내토로73길 28,043-646-9822,제천고암농공단지,2026-01-12
227,일반용 전기 조명장치 제조업 외 1 종,솔라이트,충청북도 제천시 금성면 청풍호로24길 8,070-4333-8762,제천금성농공단지,2026-01-12
246,일반용 전기 조명장치 제조업,(주)대해,충청북도 제천시 금성면 양월로 46-12,,제천양화농공단지,2026-01-12
256,일반용 전기 조명장치 제조업,주식회사 초록조명,충청북도 제천시 금성면 양월로 46-12,043-646-9695,제천양화농공단지,2026-01-12
309,일반용 도료 및 관련제품 제조업 외 2 종,(주)넥스켐,충청북도 제천시 한방엑스포로5길 45 (왕암동),043-647-1213,제천제2산업단지,2026-01-12
239,일반용 도료 및 관련제품 제조업 외 1 종,(주)무량기술,충청북도 제천시 송학면 송학로10길 3,031-227-7466,제천송학농공단지,2026-01-12
51,일반 제재업 외 6 종,국산목재협동조합,충청북도 제천시 단양로 3021 (대랑동),043-647-2280,,2026-01-12
2,일반 제재업 외 5 종,(자)영창목재상사,충청북도 제천시 단양로 3015 (대랑동) 외 1필지,043-647-2280,,2026-01-12
161,일반 제재업 외 5 종,펠리세이즈(주),충청북도 제천시 의병대로38길 3 (두학동) 외 1필지,043-652-5777,,2026-01-12
61,일반 제재업,대송제재소,충청북도 제천시 봉양읍 북부로 1247 외 1필지,043-646-9799,,2026-01-12
124,일반 제재업,정수목재,충청북도 제천시 백운면 구학산로4길 6,043-645-6202,,2026-01-12
168,일반 제재업,한림산업(주),충청북도 제천시 송학면 송학주천로 182 (총 2 필지),043-652-9751,,2026-01-12
300,인삼식품 제조업,제천인삼약초영농조합법인,"충청북도 제천시 바이오밸리2로 30, 제천인삼약초영농조합법인 (왕암동)",043-642-6909,제천제1산업단지,2026-01-12
265,의약용 화합물 및 항생물질 제조업 외 1 종,(주)광무 제천지점,충청북도 제천시 바이오밸리로 107 (왕암동),043-653-0911,제천제1산업단지,2026-01-12
302,의약용 화합물 및 항생물질 제조업 외 1 종,주식회사 라이프슈티컬,충청북도 제천시 바이오밸리2로 100(왕암동),043-652-8404,제천제1산업단지,2026-01-12
279,의약용 화합물 및 항생물질 제조업,(주)엔지켐생명과학,충청북도 제천시 바이오밸리로 59 (왕암동),043-652-2845,제천제1산업단지,2026-01-12
296,의약용 화합물 및 항생물질 제조업,엠에스팜 주식회사,충청북도 제천시 바이오밸리2로 26 (왕암동),031-354-3175,제천제1산업단지,2026-01-12
268,의료용품 및 기타 의약 관련제품 제조업 외 4 종,(주)리리산업,충청북도 제천시 바이오밸리1로 63 (왕암동),043-646-2175,제천제1산업단지,2026-01-12
53,의료용품 및 기타 의약 관련제품 제조업,그린메디칼,충청북도 제천시 송학면 도화로11길 18,070-4156-1591,,2026-01-12
253,의료용품 및 기타 의약 관련제품 제조업,그린메디칼,충청북도 제천시 금성면 양화리 951번지,070-4156-1591,제천양화농공단지,2026-01-12
247,육상 금속 골조 구조재 제조업 외 4 종,(주)리튼브릿지,충청북도 제천시 금성면 양화리 946번지,02-571-2260,제천양화농공단지,2026-01-12
35,육상 금속 골조 구조재 제조업 외 3 종,(주)천지테크,충청북도 제천시 내토로1길 85-15 (신동),043-756-8182,,2026-01-12
6,육상 금속 골조 구조재 제조업 외 2 종,(주)길교이앤씨,충청북도 제천시 송학면 무도리 478-15번지,02-6121-6700,,2026-01-12
65,육상 금속 골조 구조재 제조업 외 1 종,대한ENG,충청북도 제천시 송학면 흑석무도로12길 105,043-647-0666,,2026-01-12
207,육상 금속 골조 구조재 제조업 외 1 종,삼영기계공업(주),충청북도 제천시 내토로73길 53,043-652-5349,제천고암농공단지,2026-01-12
317,육상 금속 골조 구조재 제조업 외 1 종,(주)승원씨앤디,충청북도 제천시 제2바이오밸리로3길 18 (왕암동),02-2026-5400,제천제2산업단지,2026-01-12
58,육류 포장육 및 냉동육 가공업 (가금류 제외) 외 1 종,농업회사법인 돈마루(주)제천공장,충청북도 제천시 봉양읍 의암로 19,043-645-1271,,2026-01-12
121,육류 포장육 및 냉동육 가공업 (가금류 제외),의림포크,충청북도 제천시 내토로12길 61-1 (영천동),043-652-0003,,2026-01-12
10,육류 도축업(가금류 제외) 외 3 종,(주)박달재엘피씨,충청북도 제천시 봉양읍 의암로 19 외 3필지,043-642-2000,,2026-01-12
11,육류 도축업(가금류 제외) 외 3 종,(주)부농산업,충청북도 제천시 강명길 73 (강제동) 외 2필지,043-652-9972,,2026-01-12
5,육류 도축업(가금류 제외) 외 2 종,(주)금보식품,충청북도 제천시 청풍호로19안길 65 (산곡동) (총 4 필지) 외 3필지,043-645-1712,,2026-01-12
202,육류 기타 가공 및 저장처리업 (가금류 제외) 외 2 종,(주)풀잎라인 제2공장,충청북도 제천시 내토로73길 40,043-642-2151,제천고암농공단지,2026-01-12
275,육류 기타 가공 및 저장처리업 (가금류 제외) 외 15 종,(주)씨엔에스푸드시스템,"충청북도 제천시 바이오밸리1로 121 (왕암동, 씨엔에스푸드시스템) 외 1필지",043-756-1041,제천제1산업단지,2026-01-12
29,육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종,(주)일월식품,충청북도 제천시 하소천4길 11 (신월동),043-647-5432,,2026-01-12
70,육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종,동양플러스(주),충청북도 제천시 봉양읍 의암로 17 (총 3 필지) 외 2필지,043-653-0090,,2026-01-12
97,육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종,송학식육가공영농조합법인,충청북도 제천시 송학면 시곡포전로5길 45,043-648-3334,,2026-01-12
219,육류 기타 가공 및 저장처리업 (가금류 제외),(주)왕선사람들,충청북도 제천시 금성면 청풍호로24길 15,043-648-5107,제천금성농공단지,2026-01-12
199,유선 통신장비 제조업,(주)중앙시스템,충청북도 제천시 내토로73길 28,043-642-6655,제천고암농공단지,2026-01-12
348,위생용 종이제품 제조업,주식회사 리만바이오,충청북도 제천시 한방엑스포로 61(왕암동),02-3785-2800,제천제2산업단지,2026-01-12
236,위생용 및 산업용 도자기 제조업,대림비앤코(주) 제2공장,충청북도 제천시 봉양읍 제원로 80-50,043-648-2620,제천봉양농공단지,2026-01-12
237,위생용 및 산업용 도자기 제조업,대림비앤코(주) 제3공장,충청북도 제천시 봉양읍 제원로 80-50,043-648-2620,제천봉양농공단지,2026-01-12
238,위생용 및 산업용 도자기 제조업,대림비앤코(주) 제천공장,충청북도 제천시 봉양읍 제원로 80-50,043-648-2620,제천봉양농공단지,2026-01-12
363,위생용 및 산업용 도자기 제조업,주식회사 이선테크,충청북도 제천시 왕암동 1509,02-2066-1707,제천제3산업단지,2026-01-12
283,완제 의약품 제조업 외 6 종,(주)유유제약,충청북도 제천시 바이오밸리1로 94 (왕암동),043-652-7981,제천제1산업단지,2026-01-12
284,완제 의약품 제조업 외 3 종,(주)제뉴파마,충청북도 제천시 바이오밸리2로 93(왕암동),043-640-0008,제천제1산업단지,2026-01-12
287,완제 의약품 제조업 외 1 종,(주)휴메딕스,충청북도 제천시 바이오밸리2로 17 (왕암동),043-648-6450,제천제1산업단지,2026-01-12
193,완제 의약품 제조업,한국코러스 주식회사,충청북도 제천시 강저로 30 (강제동),043-644-8457,제천강저농공단지,2026-01-12
288,완제 의약품 제조업,(주)휴온스,충청북도 제천시 바이오밸리로 100 (왕암동),070-7492-3419,제천제1산업단지,2026-01-12
289,완제 의약품 제조업,(주)휴온스 제2공장,충청북도 제천시 바이오밸리로 137(왕암동),070-7492-5100,제천제1산업단지,2026-01-12
290,완제 의약품 제조업,(주)휴온스바이오파마,충청북도 제천시 바이오밸리2로 50 (왕암동),070-7492-3485,제천제1산업단지,2026-01-12
299,완제 의약품 제조업,일양바이오팜(주),충청북도 제천시 바이오밸리3로 8 (왕암동),043-652-5445,제천제1산업단지,2026-01-12
314,완제 의약품 제조업,(주)비앤씨코리아,충청북도 제천시 제2바이오밸리로7가길 24(왕암동),043-646-0212,제천제2산업단지,2026-01-12
225,오락 및 스포츠용 보트 건조업 외 2 종,동연보트,충청북도 제천시 금성면 청풍호로24길 36 (농공지구),,제천금성농공단지,2026-01-12
4,연탄 및 기타 석탄 가공품 제조업,(주)경동개발,"충청북도 제천시 내토로 912 (장락동, (주)경동개발)",043-644-2770,,2026-01-12
134,연탄 및 기타 석탄 가공품 제조업,제천연탄,충청북도 제천시 내토로 938 (고암동),043-644-3731,,2026-01-12
180,액체 펌프 제조업 외 2 종,더블유아이엠(주),충청북도 제천시 강저로2길 42 (강제동),,제천강저농공단지,2026-01-12
251,액체 펌프 제조업 외 13 종,(주)태성,충청북도 제천시 금성면 양월로 46-80,043-646-8493,제천양화농공단지,2026-01-12
259,액체 펌프 제조업 외 13 종,청호(주),충청북도 제천시 금성면 양월로 46-76,043-646-8491,제천양화농공단지,2026-01-12
262,액체 펌프 제조업,㈜천지수자원개발,충청북도 제천시 송학면 송학로10길 41,,제천송학농공단지,2026-01-12
221,액체 여과기 제조업 외 6 종,(주)청명,충청북도 제천시 금성면 청풍호로24길 8,043-645-4561,제천금성농공단지,2026-01-12
223,"알루미늄 압연, 압출 및 연신제품 제조업",(주)한국에이엘,충청북도 제천시 금성면 청풍호로24길 21,043-651-2331,제천금성농공단지,2026-01-12
88,안전유리 제조업 외 1 종,삼원판유리,충청북도 제천시 탑안로 448 (고암동),043-643-7690,,2026-01-12
20,아스팔트 콘크리트 및 혼합제품 제조업 외 1 종,(주)아원,충청북도 제천시 의병대로 713 (두학동) 외 2필지,043-651-5011,,2026-01-12
9,아스팔트 콘크리트 및 혼합제품 제조업,(주)대신아스콘,충청북도 제천시 송학면 송학주천로9길 3 외 1필지,043-645-7551,,2026-01-12
45,아스팔트 콘크리트 및 혼합제품 제조업,(주)한일아스콘,충청북도 제천시 봉양읍 국사봉로 56 외 3필지,043-648-3000,,2026-01-12
106,식물성 유지 제조업 외 1 종,애디드컴퍼니 주식회사,"충청북도 제천시 봉양읍 명암로 439, 농업회사법인 주식회사 애디드팩토리",043-651-2211,,2026-01-12
103,시멘트 제조업,아세아시멘트(주),충청북도 제천시 송학면 송학산로 14 (아세아시멘트) 외 40필지,043-649-5153,,2026-01-12
349,스타킹 및 기타 양말 제조업,주식회사 매스트,충청북도 제천시 제2바이오밸리로2길 19 (왕암동),032-670-7740,제천제2산업단지,2026-01-12
335,수산식물 가공 및 저장 처리업 외 2 종,농업회사법인 천등산(주),"충청북도 제천시 제2바이오밸리로 64, 천등산 (왕암동)",043-651-6347,제천제2산업단지,2026-01-12
198,수산식물 가공 및 저장 처리업,(주)인푸드,충청북도 제천시 내토로73길 65,043-648-9400,제천고암농공단지,2026-01-12
79,수산동물 건조 및 염장품 제조업 외 1 종,박달재씨푸드(주),충청북도 제천시 단양로 3036 (대랑동) 외 1필지,043-652-6550,,2026-01-12
232,속도계 및 적산계기 제조업 외 3 종,주식회사 유엔지니어링,충청북도 제천시 금성면 청풍호로24길 8,,제천금성농공단지,2026-01-12
107,섬유제품 기타 정리 및 마무리 가공업 외 2 종,약초생활건강,충청북도 제천시 수산면 옥순봉로 815,043-651-3335,,2026-01-12
235,설치용 및 위생용 플라스틱제품 제조업,대림바토스(주),충청북도 제천시 봉양읍 제원로 80-50 (대림바토스),043-648-5741,제천봉양농공단지,2026-01-12
244,석회 및 플라스터 제조업 외 1 종,테라코코리아(주),충청북도 제천시 송학면 송학로10길 21 (송학면) 외 1필지,043-645-8814,제천송학농공단지,2026-01-12
282,석탄화학계 화합물 및 기타 기초 유기 화학물질 제조업,(주)위매스,충청북도 제천시 바이오밸리로 107-2 (왕암동),043-653-9700,제천제1산업단지,2026-01-12
324,석탄화학계 화합물 및 기타 기초 유기 화학물질 제조업,(주)엔켐,충청북도 제천시 제2바이오밸리로3길 34 (왕암동),043-653-8312,제천제2산업단지,2026-01-12
326,석탄화학계 화합물 및 기타 기초 유기 화학물질 제조업,(주)위매스 2공장,충청북도 제천시 한방엑스포로 71 (왕암동),043-653-9700,제천제2산업단지,2026-01-12
347,석탄화학계 화합물 및 기타 기초 유기 화학물질 제조업,주식회사 에스켐,"충청북도 제천시 제2바이오밸리로3길 26, 8,9동 (왕암동)",043-653-6222,제천제2산업단지,2026-01-12
1,산업용 그 외 비경화 고무제품 제조업 외 1 종,(자)삼원기업,충청북도 제천시 송학면 송학산로 120,043-648-4900,,2026-01-12
226,비디오 및 기타 영상기기 제조업,선일전자산업(주),충청북도 제천시 금성면 청풍호로24길 30,043-653-8947,제천금성농공단지,2026-01-12
211,비금속류 해체 및 선별업 외 1 종,자연환경(주),충청북도 제천시 내토로73길 64,043-644-4110,제천고암농공단지,2026-01-12
23,비금속광물 분쇄물 생산업 외 2 종,(주)오미아코리아,충청북도 제천시 봉양읍 북부로11길 194 외 2필지,043-648-0031,,2026-01-12
126,비금속광물 분쇄물 생산업 외 1 종,제일신소재 주식회사,충청북도 제천시 금성면 적성로 1344,043-652-5895,,2026-01-12
159,비금속광물 분쇄물 생산업 외 1 종,태창화학,충청북도 제천시 송학면 송학주천로9길 146 (총 4 필지) 외 3필지,043-646-3215,,2026-01-12
46,비금속광물 분쇄물 생산업,(주)한일아스콘 골재공장,충청북도 제천시 봉양읍 국사봉로 56 외 4필지,043-648-3000,,2026-01-12
47,비금속광물 분쇄물 생산업,(주)한일자원투자개발,,043-648-3001,,2026-01-12
86,비금속광물 분쇄물 생산업,삼광석회(주),충청북도 제천시 금성면 적성로 1359-35 (총 5 필지) 외 4필지,043-651-2950,,2026-01-12
111,비금속광물 분쇄물 생산업,엠케이코리아 주식회사,충청북도 제천시 봉양읍 장평로 78 외 2필지,043-644-2225,,2026-01-12
114,비금속광물 분쇄물 생산업,옥타곤주식회사,충청북도 제천시 금성면 신담2길 158,043-651-3908,,2026-01-12
158,비금속광물 분쇄물 생산업,태창케미칼,충청북도 제천시 의병대로57길 37 (두학동),043-653-9945,,2026-01-12
233,비금속광물 분쇄물 생산업,태양신소재(주),충청북도 제천시 금성면 청풍호로24길 8,,제천금성농공단지,2026-01-12
18,부정형 내화 요업제품 제조업,(주)신월이엔지,"충청북도 제천시 금성면 청풍호로19길 94, 2동",043-652-8829,,2026-01-12
122,복합비료 및 기타 화학비료 제조업 외 4 종,인바이오(주)제천공장,"충청북도 제천시 송학면 송학주천로 149, 인바이오(주)제천공장",043-645-4981,,2026-01-12
66,복합비료 및 기타 화학비료 제조업 외 1 종,대한민국상이군경회 중앙사업단,충청북도 제천시 금성면 신담2길 158,031-794-7703,,2026-01-12
120,복합비료 및 기타 화학비료 제조업 외 1 종,유한회사 관동녹화,충청북도 제천시 송학면 입석리 514  외 2필지 외 2필지,043-644-0220,,2026-01-12
127,복합비료 및 기타 화학비료 제조업 외 1 종,제천광역친환경영농조합법인,충청북도 제천시 금성면 동막리 908-4번지 외 2필지,043-646-5285,,2026-01-12
148,복합비료 및 기타 화학비료 제조업 외 1 종,주식회사 태성,충청북도 제천시 송학면 송학주천로13길 142,054-823-2388,,2026-01-12
155,복합비료 및 기타 화학비료 제조업 외 1 종,청풍양돈영농조합법인,충청북도 제천시 의병대로 1190 (자작동) (총 3 필지),043-642-9731,,2026-01-12
224,복합비료 및 기타 화학비료 제조업 외 1 종,(주)혜성,"충청북도 제천시 금성면 청풍호로24길 8, 103호",,제천금성농공단지,2026-01-12
228,복합비료 및 기타 화학비료 제조업 외 1 종,영원,충청북도 제천시 금성면 청풍호로24길 8,,제천금성농공단지,2026-01-12
234,복합비료 및 기타 화학비료 제조업,한국유기농보르도(주),충청북도 제천시 금성면 청풍호로24길 8,043-647-0620,제천금성농공단지,2026-01-12
87,배합 사료 제조업 외 4 종,삼성자원(주),충청북도 제천시 금성면 적성로6길 22,043-651-0011,,2026-01-12
