순번,회사명,전화번호,생산품,공장대표주소,대표업종번호,업종명,데이터기준일
49,(주)에이엠테크,043-834-9597,"N2, Ar, He 기타 혼합가스",충청북도 괴산군 괴산읍 대제산단6길 23,20121,산업용 가스 제조업,2019-09-04
50,(주)에이원로드,043-838-2658,개질아스콘 첨가제,충청북도 괴산군 청안면 광장로 590-1,23999,그 외 기타 분류 안된 비금속 광물제품 제조업,2019-09-04
51,(주)에이치에스메디,043-832-8841,주사기,충청북도 괴산군 불정면 문무로 516 (불정면),27199,그 외 기타 의료용 기기 제조업,2019-09-04
52,(주)에코폴리텍,043-833-2142,합성수지콤파운드,충청북도 괴산군 괴산읍 괴강로공단길 32,20202,합성수지 및 기타 플라스틱 물질 제조업,2019-09-04
53,(주)에코푸드,043-760-7448,"커피, 녹차",충청북도 괴산군 칠성면 칠성로 307-200,10791,커피 가공업 외 1 종,2019-09-04
54,(주)엔케이,043-832-3557,미세목분,충청북도 괴산군 괴산읍 대제산단1길 39-9,16102,표면 가공 목재 및 특정 목적용 제재목 제조업,2019-09-04
55,(주)엔키스,,가루비누 및 주방용 세제,충청북도 괴산군 소수면 원소로고마2길 16,20422,"치약, 비누 및 기타 세제 제조업",2019-09-04
56,(주)엠씨에스,043-833-9711,접착제,충청북도 괴산군 사리면 모래재로 843 (사리면),20493,접착제 및 젤라틴 제조업,2019-09-04
57,(주)엠알이노베이션,043-832-6292,"화장품, 생물비료","충청북도 괴산군 괴산읍 대제산단1길 23, F1동 101호 (괴산읍)",20423,화장품 제조업 외 1 종,2019-09-04
58,(주)오닉스텍,043-832-4819,냉동기 UNIT,충청북도 괴산군 소수면 길선2길 58 (총 2 필지),29171,산업용 냉장 및 냉동 장비 제조업,2019-09-04
59,(주)오씨씨,043-836-5388,플라스틱 스틱,충청북도 괴산군 청안면 청안읍내로 300 (청안면),20203,혼성 및 재생 플라스틱 소재 물질 제조업 외 1 종,2019-09-04
60,(주)옥시스톤,043-838-4402,인조대리석(건축 내.외장용),충청북도 괴산군 사리면 사리로 49,23324,"콘크리트 타일, 기와, 벽돌 및 블록 제조업",2019-09-04
61,(주)우당탕,043-760-7666,"곰탕류, 육수류, 분말조미료",충청북도 괴산군 칠성면 칠성로7길 105-36 (총 3 필지),10742,천연 및 혼합조제 조미료 제조업 외 1 종,2019-09-04
62,(주)우진기전,043-830-5334,"배전반 외, PSD, 전동차자동검사장치, JUMPER, RAXRELAY, ROVRELAY, HSCB, SPRING시험기, lever",충청북도 괴산군 사리면 이곡로1길 9 ((주)우진기전),31202,철도차량 부품 및 관련 장치물 제조업 외 14 종,2019-09-04
63,(주)우진산전,043-820-4111,철도차량 전장품,충청북도 괴산군 사리면 사리로 95 (우진산전(주)),31202,철도차량 부품 및 관련 장치물 제조업 외 12 종,2019-09-04
64,(주)우진산전 제2공장,043-820-4111,"철도차량 부품, 철도연결부착품(전차선, HSVCB)","충청북도 괴산군 사리면 농공단지길 31, (주)우진산전 제2공장 (사리면)",31202,철도차량 부품 및 관련 장치물 제조업 외 8 종,2019-09-04
65,(주)원일개발,043-832-9797,"돌망태, 와이어매쉬",충청북도 괴산군 사리면 화산재로 204 (사리면),25944,금속선 가공제품 제조업 외 2 종,2019-09-04
66,(주)웹스,043-834-8561,Wood Composite(목분함유플라스틱),충청북도 괴산군 괴산읍 괴강로공단길 18 ((주)웹스),16212,강화 및 재생 목재 제조업,2019-09-04
67,(주)유니블록,070-8670-2574,콘크리트 블럭,충청북도 괴산군 감물면 충민로 795 (자움),23324,"콘크리트 타일, 기와, 벽돌 및 블록 제조업",2019-09-04
68,(주)유성실리카,043-832-4700,규석분말,충청북도 괴산군 청천면 금평로 215 (광평규석광산) (총 2 필지),23993,비금속광물 분쇄물 생산업,2019-09-04
69,(주)유성실리카 제2공장,043-832-4700,"규석미분말, 입상규석",충청북도 괴산군 청천면 괴산로 1406-99 (금평주석) (총 2 필지),23993,비금속광물 분쇄물 생산업,2019-09-04
70,(주)이지켐,043-241-2900,"인조대리석, 커플링제, PMMA,합지필름",충청북도 괴산군 사리면 사리로방축골길 44-68 (총 2 필지),22212,플라스틱 필름 제조업 외 1 종,2019-09-04
71,(주)인터컨스텍,043-830-5540,각종 콘크리트 제품,충청북도 괴산군 괴산읍 대제산단1길 39-16,23329,그 외 기타 콘크리트 제품 및 유사제품 제조업,2019-09-04
72,(주)제이비파워텍,043-272-6611,"금속구조물, 제어반",충청북도 괴산군 괴산읍 괴강로공단길 29,28123,배전반 및 전기 자동제어반 제조업 외 6 종,2019-09-04
73,(주)제이케이알,043-836-5443,폐품 재생용품,충청북도 괴산군 사리면 사리로방축골길 44-34,38321,비금속류 해체 및 선별업 외 1 종,2019-09-04
74,(주)제이케이알(사담지점),043-836-5445,플라스틱펠렛,충청북도 괴산군 사리면 사리로 349 (총 2 필지),20203,혼성 및 재생 플라스틱 소재 물질 제조업,2019-09-04
75,(주)제이케이케미칼,043-833-2291,고무제품,충청북도 괴산군 문광면 대명길 7 (문광면) (총 6 필지),22199,그 외 기타 고무제품 제조업,2019-09-04
76,(주)주목씨지알,043-834-9901,"카페트 매트, 골프 매트",충청북도 괴산군 문광면 문법2길 21-31,13910,"카펫, 마루덮개 및 유사제품 제조업",2019-09-04
77,(주)청솔식품,043-838-8307,"부분육, 돈까스, 근위볶음",충청북도 괴산군 사리면 사리로방축골길 44-45 (청솔식품),10121,가금류 가공 및 저장 처리업,2019-09-04
78,(주)청오아스콘,043-832-0601,아스콘,충청북도 괴산군 청안면 질마로 1145-40 ((주)청오아스콘) (총 4 필지),23991,아스팔트 콘크리트 및 혼합제품 제조업,2019-09-04
79,(주)청주아스콘,043-832-3600,"아스콘, 재생아스콘",충청북도 괴산군 청천면 괴산로 1594 (청주아스콘공장),23991,아스팔트 콘크리트 및 혼합제품 제조업,2019-09-04
80,(주)케이씨웰 괴산지점,043-834-7772,"간마늘, 간생강, 데친나물외",충청북도 괴산군 길선2길 42 -32(소수면) ,10309,기타 과실ㆍ채소 가공 및 저장 처리업,2019-09-04
81,(주)케이젠,043-832-3114,재생플라스틱 원료,충청북도 괴산군 청안면 질마로 1420-17 (청안면),20203,혼성 및 재생 플라스틱 소재 물질 제조업,2019-09-04
82,(주)크린테크팩,043-838-6660,빨아쓰는 행주,충청북도 괴산군 사리면 사리로 510 (총 3 필지),17902,위생용 종이제품 제조업,2019-09-04
83,(주)태성알앤에스 충북지점,043-832-0712,철근형상가공품,충청북도 괴산군 괴산읍 관동로신기1길 40-11,24199,그 외 기타 1차 철강 제조업,2019-09-04
84,(주)태원기업,043-833-9702,"자동차샤시프레임, 철제거푸집",충청북도 괴산군 불정면 문무로 590-15 ((주)태원산업),30320,자동차 차체용 신품 부품 제조업 외 2 종,2019-09-04
85,(주)토림산업,031-440-9868,"J.S.B기반재, J.S.B혼화재",충청북도 괴산군 청안면 장암로 108 (총 3 필지),20312,복합비료 및 기타 화학비료 제조업 외 1 종,2019-09-04
86,(주)토비테크,043-833-2703,육묘용 상토,충청북도 괴산군 불정면 탑촌로 269 ((주)토비테크),20312,복합비료 및 기타 화학비료 제조업 외 1 종,2019-09-04
87,(주)투에이취켐,043-832-6760,"기능성 film, 병마개",충청북도 괴산군 괴산읍 충민로 234 (공장) (총 2 필지),22212,플라스틱 필름 제조업 외 1 종,2019-09-04
88,(주)투에이취켐 제1공장,043-832-6760,"폴리에틸렌 파우더, 영구대전방지 필름",충청북도 괴산군 괴산읍 검승리 180-4번지,20202,합성수지 및 기타 플라스틱 물질 제조업 외 2 종,2019-09-04
89,(주)티스테크,043-716-1333,"금속 구조물(H빔, C형강)",충청북도 괴산군 청안면 칠보로 252 (총 2 필지),25113,육상 금속 골조 구조재 제조업 외 1 종,2019-09-04
90,(주)티씨아이,043-838-8004,주차설비금속구조대,충청북도 괴산군 사리면 사리로 128 ((주)미호산기) (총 2 필지),25113,육상 금속 골조 구조재 제조업 외 2 종,2019-09-04
91,(주)펄메이드,043-838-5076,"철구조물,기타자재",충청북도 괴산군 청안면 금신로2길 21-89,25119,기타 구조용 금속제품 제조업,2019-09-04
92,(주)푸른이엔텍,,"건조기,탈수기",충청북도 괴산군 청안면 질마로불당재길 13 (총 2 필지),29299,그 외 기타 특수목적용 기계 제조업 외 1 종,2019-09-04
93,(주)피디씨,043-832-5253,"오리, 닭 가공",충청북도 괴산군 사리면 수암3길 1 (사리면),10121,가금류 가공 및 저장 처리업,2019-09-04
94,(주)피스코,,가루세제,충청북도 괴산군 소수면 소수로 191 (공장),20422,"치약, 비누 및 기타 세제 제조업",2019-09-04
95,(주)피케이크린푸드,043-833-9515,"오이피클,볶음옥수수,볶음보리",충청북도 괴산군 사리면 화산재로 186 (한국하이델식품),10301,김치류 제조업 외 2 종,2019-09-04
96,(주)한양,043-836-8955,건설장비수리,충청북도 괴산군 청안면 금신리 119번지 외 9필지,25113,육상 금속 골조 구조재 제조업 외 1 종,2019-09-04
97,(주)한흥실업,043-833-5177,"석회석분,석회석",충청북도 괴산군 연풍면 은티중리길 248 (한흥실업),20311,"질소화합물, 질소, 인산 및 칼리질 화학비료 제조업 외 2 종",2019-09-04
98,(주)현누리테크놀러지,043-834-1887,"방전램프, 전자식안정기",충청북도 괴산군 괴산읍 남산길 35-46,28410,전구 및 램프 제조업 외 1 종,2019-09-04
99,(주)흙살림,043-833-8179,"흙살림,빗모음,활인산등",충청북도 괴산군 불정면 한불로 1136 (흙살림연구소),20312,복합비료 및 기타 화학비료 제조업 외 3 종,2019-09-04
100,(합)동진에코산업,043-836-9903,하천 블록,충청북도 괴산군 청안면 칠보로 675 (공장) (총 2 필지),23325,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업,2019-09-04
101,(합)서울축산,043-833-6857,유기질비료,충청북도 괴산군 청천면 후평도원로 372 (서울축산) (총 2 필지),20129,기타 기초 무기 화학물질 제조업,2019-09-04
102,(합명)남부산업,043-836-1151,콘크리트수로관,충청북도 괴산군 청안면 칠보로 661 (남부산업) (총 2 필지),23325,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 2 종,2019-09-04
103,(합자)동서콘크리트,043-836-9903,콘크리트 수로관,충청북도 괴산군 청안면 칠보로 670 ((합)동서콘크리트),23325,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업,2019-09-04
104,88휀스,043-838-1967,"대문, 휀스",충청북도 괴산군 청안면 칠보로 723,25113,육상 금속 골조 구조재 제조업,2019-09-04
105,JC청정산업(제1공장),043-834-9293,"원조부대찌개,허니머스타드소스",충청북도 괴산군 소수면 길선리 367-2번지 외 7필지,10751,도시락류 제조업 외 2 종,2019-09-04
106,가온전선(주),043-836-9410,스테인리스 강관 이음쇠,충청북도 괴산군 사리면 사리로방축골길 44-56 (총 5 필지),24132,강관 제조업 외 1 종,2019-09-04
107,개미네농가,043-836-0061,"대학찰옥수수,메주",충청북도 괴산군 청안면 중부로 2977,10743,장류 제조업 외 1 종,2019-09-04
108,거산식품(주),043-834-1688,"된장, 간장",충청북도 괴산군 괴산읍 수진4길 97,10743,장류 제조업,2019-09-04
109,고려이엔티 주식회사,043-838-7204,"CCTV, 유량계, 수배전반 등",충청북도 괴산군 청안면 운곡길 132,26421,방송장비 제조업 외 5 종,2019-09-04
110,괴산 천막사,043-834-3378,플라스틱비닐천막,충청북도 괴산군 괴산읍 수진3길 73 (공장),22299,그 외 기타 플라스틱 제품 제조업,2019-09-04
111,괴산고추조합공동사업법인,043-832-0350,고춧가루,충청북도 괴산군 문광면 괴산로 3204 (괴산청결고춧가루공장),10742,천연 및 혼합조제 조미료 제조업,2019-09-04
112,괴산군농업기술센터,043-830-2720,생균제,충청북도 괴산군 괴산읍 수진4길 60,10801,배합 사료 제조업 외 3 종,2019-09-04
113,괴산농협 미곡종합처리장,043-834-0368,백미,충청북도 괴산군 괴산읍 정용3길 3 (괴산농협미곡처리장),10611,곡물 도정업,2019-09-04
114,괴산성호스틸주식회사,043-836-1906,용접철망,충청북도 괴산군 사리면 중흥로 200-11,25944,금속선 가공제품 제조업 외 1 종,2019-09-04
115,괴산시골절임배추 영농조합법인,043-833-3500,"절임배추,김치",충청북도 괴산군 문광면 괴산로송평1길 65-33,10301,김치류 제조업 외 1 종,2019-09-04
116,괴산아스콘(주),043-834-0690,아스콘,충청북도 괴산군 감물면 감물로 309 ((주)남경아스콘),23991,아스팔트 콘크리트 및 혼합제품 제조업,2019-09-04
117,괴산잡곡,043-832-0555,식품제조가공,충청북도 괴산군 칠성면 도정로 111,10612,곡물 제분업,2019-09-04
118,괴산잡곡영농조합법인,043-832-5772,"곡물(수수,조,보리,기장), 식품제조가공(찹쌀, 옥수수)",충청북도 괴산군 칠성면 도정로 109 (창고) (총 2 필지),10611,곡물 도정업,2019-09-04
119,괴산팜영농조합법인,043-838-1012,"절임배추, 된장, 고추장, 간장, 과일즙, 채소즙",충청북도 괴산군 청안면 효근4길 13 (공장),10301,김치류 제조업 외 3 종,2019-09-04
120,괴산홍삼영농조합법인,043-834-1032,"홍삼,홍삼주",충청북도 괴산군 청천면 지촌리 84  외 3필지,10795,인삼식품 제조업 외 1 종,2019-09-04
121,국제금속(주),043-834-0061,동,충청북도 괴산군 문광면 괴산로 3304,38311,금속류 해체 및 선별업 외 1 종,2019-09-04
122,군자농업협동조합,043-832-7331,곡물가루,충청북도 괴산군 장연면 미선로 775 (발아현미공장),10612,곡물 제분업,2019-09-04
123,금강종합건설(주) 괴산지점,,보은덮개,충청북도 괴산군 괴산읍 충민로검승7길 64,13992,부직포 및 펠트 제조업,2019-09-04
124,금아일렉트론 주식회사,043-259-7474,"마스크, 판유리가공품",충청북도 괴산군 사리면 사리로방축골길 44-54,13229,기타 직물제품 제조업 외 2 종,2019-09-04
125,남일산업,043-836-0060,수전금구부품,충청북도 괴산군 청안면 광장로 590-9 (하이뷰디스플레이테크),25999,그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,2019-09-04
126,내륙콘크리트(주),043-838-2887,"하천용호안블럭,보차도인토로킹블럭,경계블럭,보강토옹벽블럭",충청북도 괴산군 청안면 금신로2길 21-52 (총 2 필지),23324,"콘크리트 타일, 기와, 벽돌 및 블록 제조업",2019-09-04
127,네이처팜바이오(주),02-2668-9166,"천연식물영양제, 단미사료, 탈취제, 살균제 등","충청북도 괴산군 괴산읍 문무로 85, 창업보육센터 405호 (중원대학교)",20322,생물 살균.살충제 및 식물보호제 제조업 외 7 종,2019-09-04
128,농업회사법인 네이처푸드(주),043-832-8313,김치,"충청북도 괴산군 문광면 괴산로 3492,  (광덕리 258) (총 3 필지)",10301,김치류 제조업 외 1 종,2019-09-04
129,농업회사법인 맑은샘(주),043-834-7700,"탁주, 약주, 과실주 등",충청북도 괴산군 문광면 괴산로신기2길 8,11111,탁주 및 약주 제조업,2019-09-04
130,농업회사법인 오색원 주식회사,043-838-0541,"민속주, 탁주, 약주",충청북도 괴산군 청안면 칠보로 310 ((주)감미옥),11111,탁주 및 약주 제조업,2019-09-04
131,농업회사법인 자연(주),,"홍삼추출액, 홍삼농축액, 홍삼주",충청북도 괴산군 청천면 도경로 640,10795,인삼식품 제조업 외 1 종,2019-09-04
132,농업회사법인 자연과 농부주식회사,070-5030-3212,"돈육, 우육",충청북도 괴산군 사리면 사리로 81,10129,육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종,2019-09-04
133,농업회사법인 주식회사 고려인삼,043-834-8979,"건강기능식품,정과,절편",충청북도 괴산군 불정면 쇠실로 286-26 (공장) (총 2 필지) (총 2 필지),10309,기타 과실ㆍ채소 가공 및 저장 처리업 외 1 종,2019-09-04
134,농업회사법인 주식회사 해피푸르츠,043-760-8002,음료,충청북도 괴산군 괴산읍 문무로 446,11209,기타 비알코올 음료 제조업,2019-09-04
135,농업회사법인 풍산 주식회사,043-832-5259,"가공생오리, 가공삶은오리",충청북도 괴산군 소수면 길선2길 86,10121,가금류 가공 및 저장 처리업,2019-09-04
136,농업회사법인 풍산주식회사,043-832-5259,가공생오리.삶은오리,충청북도 괴산군 길선1길 35 -14(소수면) J동,10121,가금류 가공 및 저장 처리업,2019-09-04
137,농업회사법인 한백식품(주),043-836-0885,"조미김(바른김,구운김)김자반",충청북도 괴산군 청안면 광장로 624-33,10220,수산식물 가공 및 저장 처리업,2019-09-04
138,농업회사법인 한살림축산식품 유한회사,043-832-1199,"포장육(소시지,햄,사골)",충청북도 괴산군 소수면 소수로 171 (소수면) (총 6 필지),10129,육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종,2019-09-04
139,농업회사법인(주)괴산청정김치,043-833-2961,"양념우엉, 무말랭이",충청북도 괴산군 문광면 괴산로 3495 (문광면),10301,김치류 제조업 외 1 종,2019-09-04
140,농업회사법인(주)애간장,043-760-7602,"된장,고추장,간장,쌈장,메주,청국장",충청북도 괴산군 괴산읍 자연식품1길 38,10741,"식초, 발효 및 화학 조미료 제조업 외 4 종",2019-09-04
141,농업회사법인(주)천수양조,043-838-3122,탁주 및 약주,"충청북도 괴산군 청안면 청안읍내로 145, 외 1필지 (청안면)",11111,탁주 및 약주 제조업,2019-09-04
142,농업회사법인(주)쿱양곡 (괴산 소포장센터),043-760-7101,유기농산물잡곡등소포장,충청북도 괴산군 괴산읍 자연식품1길 37,10619,기타 곡물 가공품 제조업 외 1 종,2019-09-04
143,농업회사법인(주)현대에이엠티,,"내화단열재, 팽창질석",충청북도 괴산군 청안면 조천로2길 34 ((주)신성미네랄),20312,복합비료 및 기타 화학비료 제조업 외 3 종,2019-09-04
144,농업회사법인농협흙사랑(주),043-836-8627,부산물비료(퇴비),충청북도 괴산군 사리면 사리로 389-1 (삼협농산(주)),20312,복합비료 및 기타 화학비료 제조업 외 1 종,2019-09-04
145,농업회사법인하담푸드(주),070-7864-6433,"소고기육포,돼지고기육포,닭고기가슴살",충청북도 괴산군 소수면 길선1길 35-15,10129,육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종,2019-09-04
146,눈비산농산영농조합법인,043-832-8063,과자류(전병),충청북도 괴산군 소수면 소수로3길 62,10713,과자류 및 코코아 제품 제조업,2019-09-04
147,뉴그린 영농조합법인,043-834-0404,톱밥,충청북도 괴산군 괴산읍 문무로길골길 66-1 (공장),16102,표면 가공 목재 및 특정 목적용 제재목 제조업,2019-09-04
148,다모아영농조합법인,,"국수,라면,스파게티,쫄면",충청북도 괴산군 장연면 주월로 491 (총 2 필지),10730,"면류, 마카로니 및 유사식품 제조업 외 1 종",2019-09-04
149,대기산업기술 주식회사,043-833-1967,"배전반, 엘리베이터 부속품,철도차량부품",충청북도 괴산군 사리면 화산재로 116,28123,배전반 및 전기 자동제어반 제조업 외 1 종,2019-09-04
150,대덕식품,043-832-3488,메주,충청북도 괴산군 괴산읍 대덕길 75,10749,기타 식품 첨가물 제조업 외 1 종,2019-09-04
