연번,시도명,시군구명,업체명,업종구분,산업분류코드,소재지,전화번호,팩스번호,고용인원,데이터기준일
22,충청북도,보은군,(주)바이오플랜,제조업,20312,충청북도 보은군 삼승면 우진리 566 (주)바이오플랜 외 2필지,043-543-3873,043-543-3876,22,2025-09-03
23,충청북도,보은군,(주)백봉샵,제조업,25992,충청북도 보은군 삼승면 우진리 568 공장,02-953-8411,,6,2025-09-03
24,충청북도,보은군,(주)보광화학,제조업,20129,충청북도 보은군 삼승면 우진리 557번지,043-543-2226,043-543-4950,22,2025-09-03
25,충청북도,보은군,(주)보현,제조업,22251,충청북도 보은군 보은읍 길상리 340-2번지 외 1필지,043-543-1870,043-543-1872,21,2025-09-03
26,충청북도,보은군,(주)사랑과사람들,제조업,11209,충청북도 보은군 내북면 상궁리 200-1 외 1필지,,043-543-4003,4,2025-09-03
27,충청북도,보은군,(주)사랑과사람들 제2공장,제조업,11209,충청북도 보은군 내북면 상궁리 201번지,043-544-5112,043-543-4003,5,2025-09-03
28,충청북도,보은군,(주)산마을,제조업,10892,충청북도 보은군 내북면 적음리 80-1번지 외 3필지,043-542-9973,043-542-9975,14,2025-09-03
29,충청북도,보은군,(주)상신,제조업,29177,충청북도 보은군 삼승면 우진리 605번지,031-352-6071,031-352-6121,10,2025-09-03
30,충청북도,보은군,(주)새결,제조업,20499,충청북도 보은군 삼승면 우진리 572번지,043-284-7071,,10,2025-09-03
31,충청북도,보은군,(주)서강엔텍,제조업,29131,충청북도 보은군 장안면 구인리 182-24번지 공장,043-222-1100,043-544-9004,10,2025-09-03
32,충청북도,보은군,(주)서은플랜트기술,제조업,25122,충청북도 보은군 삼승면 우진리 614,,,0,2025-09-03
33,충청북도,보은군,(주)서진테크,제조업,29171,충청북도 보은군 장안면 구인리 182-24 공장,,,0,2025-09-03
34,충청북도,보은군,(주)선진시스템,제조업,25924,충청북도 보은군 삼승면 우진리 286-16번지,043-543-2271,043-543-2273,16,2025-09-03
35,충청북도,보은군,(주)성주콘크리트,제조업,23325,충청북도 보은군 탄부면 상장리 586-2번지 외 1필지,043-544-7773,043-544-7775,8,2025-09-03
36,충청북도,보은군,(주)스마트비케이티,제조업,29169,충청북도 보은군 탄부면 사직리 64-7번지 외 7필지,02-765-8801,02-765-8802,8,2025-09-03
37,충청북도,보은군,(주)신명피피,제조업,25113,충청북도 보은군 보은읍 길상리 55-4번지,043-544-5720,043-544-5727,14,2025-09-03
38,충청북도,보은군,(주)아주엔지니어링,제조업,28123,충청북도 보은군 보은읍 금굴리 302-5 사무소,043-213-2181,,4,2025-09-03
39,충청북도,보은군,(주)양지섬유산업,제조업,14419,충청북도 보은군 보은읍 금굴리 302-6번지 (금굴리 302-6) 외 1필지,043-543-5531,043-543-5533,7,2025-09-03
40,충청북도,보은군,(주)에스앤씨코리아,제조업,10601,충청북도 보은군 산외면 이식리 414-3번지,043-544-2100,043-544-2103,3,2025-09-03
41,충청북도,보은군,(주)에스케이디,제조업,22291,충청북도 보은군 내북면 봉황리 산 23번지,,,4,2025-09-03
42,충청북도,보은군,(주)에이치비글로벌,제조업,20422,충청북도 보은군 장안면 구인리 182-13 사무소,070-4888-0663,,7,2025-09-03
43,충청북도,보은군,(주)에코린,제조업,20321,충청북도 보은군 장안면 구인리 182-10번지,,,6,2025-09-03
44,충청북도,보은군,(주)에코원,제조업,20411,충청북도 보은군 삼승면 달산리 952 (주)계영 주 4동,070-4104-0404,,4,2025-09-03
45,충청북도,보은군,(주)엘림,제조업,22229,충청북도 보은군 장안면 구인리 182-12 공장,043-544-6955,043-544-6959,0,2025-09-03
46,충청북도,보은군,(주)엠알씨,제조업,29223,충청북도 보은군 장안면 구인리 237-3번지 공장,043-542-8582,043-542-8584,10,2025-09-03
47,충청북도,보은군,(주)엠에스시,제조업,20202,충청북도 보은군 삼승면 우진리 139-5번지,044-864-6640,044-864-6642,13,2025-09-03
48,충청북도,보은군,(주)오리엔탈드림,제조업,28512,충청북도 보은군 삼승면 우진리 571,,,15,2025-09-03
49,충청북도,보은군,(주)온테크이엔지,제조업,29175,충청북도 보은군 장안면 구인리 182-24번지 공장,043-224-4114,043-216-6612,9,2025-09-03
50,충청북도,보은군,(주)우진플라임,제조업,29291,충청북도 보은군 장안면 봉비리 795번지,043-540-9128,043-543-1050,476,2025-09-03
51,충청북도,보은군,(주)원경,제조업,20312,충청북도 보은군 보은읍 금굴리 268-4번지,043-543-8880,043-543-8881,3,2025-09-03
52,충청북도,보은군,(주)의련엘엔에스,제조업,20411,충청북도 보은군 장안면 구인리 234-1,055-325-3095,055-338-3094,3,2025-09-03
53,충청북도,보은군,(주)이든에프앤씨,제조업,10839,충청북도 보은군 내북면 성암리 162 외 3필지,043-544-0891,043-544-0893,38,2025-09-03
54,충청북도,보은군,(주)이레,제조업,20203,충청북도 보은군 보은읍 금굴리 302-4번지 사무소,043-543-1133,043-544-3882,11,2025-09-03
55,충청북도,보은군,(주)이킴,제조업,10301,충청북도 보은군 보은읍 금굴리 302-8번지,043-543-1456,043-543-1031,105,2025-09-03
56,충청북도,보은군,(주)이킴 삼승공장,제조업,10301,충청북도 보은군 삼승면 우진리 546번지 외 1필지,043-544-7600,043-544-7601,92,2025-09-03
57,충청북도,보은군,(주)익성화학,제조업,22251,충청북도 보은군 장안면 구인리 182-32번지,043-543-4078,043-542-9928,13,2025-09-03
58,충청북도,보은군,(주)정현산업,제조업,28903,충청북도 보은군 내북면 성티리 198-3,043-544-9005,043-543-1088,2,2025-09-03
59,충청북도,보은군,(주)정화,제조업,10309,충청북도 보은군 삼승면 우진리 609번지,043-543-8754,043-543-8755,15,2025-09-03
60,충청북도,보은군,(주)제이제이정준,제조업,10832,충청북도 보은군 회인면 용곡리 55-1번지,043-543-3087,043-543-3087,2,2025-09-03
61,충청북도,보은군,(주)주안,제조업,22229,충청북도 보은군 장안면 구인리 182-12번지 공장,043-543-6957,043-544-6959,7,2025-09-03
62,충청북도,보은군,(주)주안콘크리트,제조업,23325,충청북도 보은군 보은읍 지산리 254-2번지,043-543-2179,043-544-2179,7,2025-09-03
63,충청북도,보은군,(주)지웰,제조업,10309,충청북도 보은군 삼승면 우진리 563번지,043-543-0027,043-543-0028,0,2025-09-03
64,충청북도,보은군,(주)청솔에프앤비,제조업,10892,충청북도 보은군 장안면 구인리 182-21번지,043-544-4206,043-544-4204,16,2025-09-03
65,충청북도,보은군,(주)케어라인(제1공장),제조업,31991,충청북도 보은군 내북면 적음리 286-1번지,043-543-5722,043-542-6631,7,2025-09-03
66,충청북도,보은군,(주)케어라인(제2공장),제조업,31991,충청북도 보은군 내북면 적음리 285-1번지,043-543-5721,043-542-6631,52,2025-09-03
67,충청북도,보은군,(주)케이디파인켐 보은지점,제조업,20499,충청북도 보은군 장안면 구인리 182-22번지 공장,043-544-1545,043-544-1546,5,2025-09-03
68,충청북도,보은군,(주)케이엔와이테크,제조업,22212,충청북도 보은군 마로면 임곡리 476-5번지,043-543-9907,043-543-9908,8,2025-09-03
69,충청북도,보은군,(주)케이제이이노베이션,제조업,26429,충청북도 보은군 삼승면 우진리 612번지 보은산업단지 8-9BL,02-508-6468,02-508-6469,3,2025-09-03
70,충청북도,보은군,(주)케이티지오 농업회사법인 보은지점,제조업,20312,충청북도 보은군 삼승면 탄금리 401번지 공장 외 2필지,043-543-2835,043-543-2838,7,2025-09-03
71,충청북도,보은군,(주)켐스틸글로벌,제조업,20312,충청북도 보은군 장안면 구인리 182-22번지 공장 (구인리 182-22),043-544-4434,043-544-4432,7,2025-09-03
72,충청북도,보은군,(주)코리아디펜스인더스트리,제조업,25200,충청북도 보은군 내북면 염둔리 111,042-829-1774,042-829-1786,0,2025-09-03
73,충청북도,보은군,(주)코리아아그로,제조업,20312,충청북도 보은군 보은읍 금굴리 302-3번지,043-544-5800,043-544-5805,40,2025-09-03
74,충청북도,보은군,(주)태아포장,제조업,17211,충청북도 보은군 삼승면 천남리 725-1번지,043-543-6045,,19,2025-09-03
75,충청북도,보은군,(주)터보존,제조업,29174,충청북도 보은군 탄부면 덕동리 425번지,,042-931-1824,2,2025-09-03
76,충청북도,보은군,(주)터보존,제조업,29174,충청북도 보은군 삼승면 우진리 610,043-543-1283,043-543-1284,5,2025-09-03
77,충청북도,보은군,(주)테크윈,제조업,29176,충청북도 보은군 삼승면 우진리 580 공장,043-261-8114,043-261-8003,31,2025-09-03
78,충청북도,보은군,(주)테크윈,제조업,22259,충청북도 보은군 삼승면 우진리 345-9번지,043-261-8114,043-261-8003,36,2025-09-03
79,충청북도,보은군,(주)포스하이텍,제조업,23999,충청북도 보은군 삼승면 우진리 570 공장,043-542-1006,043-542-1066,5,2025-09-03
80,충청북도,보은군,(주)풀그린,제조업,10709,충청북도 보은군 장안면 구인리 182-19번지,043-543-1500,043-542-8160,56,2025-09-03
81,충청북도,보은군,(주)한국교량,제조업,25113,충청북도 보은군 삼승면 달산리 953번지,070-8630-6220,032-260-9545,10,2025-09-03
82,충청북도,보은군,(주)한국카본,제조업,23121,충청북도 보은군 삼승면 우진리 633-1 (주)한국카본 외 4필지,055-350-8440,055-355-0088,40,2025-09-03
83,충청북도,보은군,(주)한터농,제조업,20313,충청북도 보은군 삼승면 둔덕리 288-2,,,8,2025-09-03
84,충청북도,보은군,(주)한화 보은사업장,제조업,20494,충청북도 보은군 내북면 111번지,043-540-0211,043-542-0920,738,2025-09-03
85,충청북도,보은군,(주)협동식품,제조업,10832,충청북도 보은군 장안면 오창리 92-7번지 외 1필지,043-544-2050,,1,2025-09-03
86,충청북도,보은군,(합자)미주요업,제조업,23231,충청북도 보은군 삼승면 우진리 258-2번지 외 6필지,043-542-0693,043-543-1798,9,2025-09-03
87,충청북도,보은군,고시랑장독대 영농조합법인,제조업,10833,충청북도 보은군 회인면 신문리 334-9번지 회인면 신문리제2종근린생활시설,043-543-6607,043-544-6608,2,2025-09-03
88,충청북도,보은군,고시랑장독대영농조합법인,제조업,10833,충청북도 보은군 회인면 신문리 198-4 번지 외 2필지,043-543-6607,043-544-6608,2,2025-09-03
89,충청북도,보은군,구록원,제조업,10896,충청북도 보은군 삼승면 우진리 560번지,043-544-4399,042-367-0043,10,2025-09-03
90,충청북도,보은군,극동전기,제조업,28123,충청북도 보은군 수한면 교암리 262 제조업소,,,0,2025-09-03
91,충청북도,보은군,금강공업(주) 보은공장,제조업,25113,충청북도 보은군 삼승면 우진리 318-19,043-543-4117,043-543-4119,10,2025-09-03
92,충청북도,보은군,금양에코파크(주),제조업,35119,충청북도 보은군 삼승면 우진리 730 사무실,043-544-8885,,0,2025-09-03
93,충청북도,보은군,남보은농업협동조합,제조업,10511,충청북도 보은군 탄부면 하장리 351-8번지,043-543-8793,,5,2025-09-03
94,충청북도,보은군,농업회사법인 (주)성덕,제조업,10301,충청북도 보은군 삼승면 우진리 607 공장(제조) 외 2필지,043-544-8280,043-544-8281,32,2025-09-03
95,충청북도,보은군,농업회사법인 (주)아람바이오,제조업,11209,충청북도 보은군 내북면 상궁리 201번지,,043-543-4003,3,2025-09-03
96,충청북도,보은군,농업회사법인 (주)창주,제조업,10603,충청북도 보은군 삼승면 상가리 333번지 보은군창업지원 및 R&D센타 104호,,,2,2025-09-03
97,충청북도,보은군,농업회사법인 보문환경(주),제조업,20312,충청북도 보은군 보은읍 용암리 309번지 외 3필지,043-543-1267,043-544-1267,3,2025-09-03
98,충청북도,보은군,농업회사법인(주)돋움,제조업,10892,충청북도 보은군 삼승면 우진리 561 (주)돋움,043-543-6003,043-544-4003,7,2025-09-03
99,충청북도,보은군,농업회사법인(주)온제향가,제조업,11119,충청북도 보은군 내북면 아곡리 144,043-543-1954,,0,2025-09-03
100,충청북도,보은군,농업회사법인(주)우성,제조업,10901,충청북도 보은군 속리산면 하판리 180-0,,050-7088-0398,4,2025-09-03
101,충청북도,보은군,농업회사법인(주)조은,제조업,10309,충청북도 보은군 삼승면 우진리 250-3 공장,043-543-6709,043-543-6708,9,2025-09-03
102,충청북도,보은군,농업회사법인덕동바이오,제조업,10309,충청북도 보은군 탄부면 덕동리 533-1번지 외 1필지,,043-544-0886,3,2025-09-03
103,충청북도,보은군,대복농산,제조업,10899,충청북도 보은군 탄부면 장암리 7-6 창고 외 1필지,043-542-8056,043-543-9631,3,2025-09-03
104,충청북도,보은군,대영식품(주),제조업,10603,충청북도 보은군 보은읍 금굴리 302-1번지,043-543-7007,043-544-6006,65,2025-09-03
105,충청북도,보은군,대영식품(주) 2공장,제조업,10603,충청북도 보은군 보은읍 금굴리 302-7번지,043-543-7007,043-544-6664,11,2025-09-03
106,충청북도,보은군,대영식품(주) 제3공장,제조업,10603,충청북도 보은군 보은읍 금굴리 302-2번지,043-543-7007,043-544-6006,41,2025-09-03
107,충청북도,보은군,대영에프티,제조업,10519,충청북도 보은군 삼승면 둔덕리 165번지,043-544-5113,043-544-5114,2,2025-09-03
108,충청북도,보은군,대왕인터내셔널,제조업,25113,충청북도 보은군 보은읍 금굴리 302번지 기숙사,043-543-0145,043-543-0147,6,2025-09-03
109,충청북도,보은군,대정엔지니어링,제조업,25113,충청북도 보은군 수한면 소계리 142-1번지,043-543-8321,043-543-8323,5,2025-09-03
110,충청북도,보은군,대청산업,제조업,22291,충청북도 보은군 탄부면 사직리 64-7 공장 (주)건설타워 B동,043-542-7881,043-542-7882,1,2025-09-03
111,충청북도,보은군,대청산업(주),제조업,17904,충청북도 보은군 보은읍 길상리 산-9번지 외 5필지,043-542-7881,043-542-7882,8,2025-09-03
112,충청북도,보은군,대한컨소닉(주),제조업,28302,충청북도 보은군 장안면 구인리 182-26 공장,043-543-2747,,5,2025-09-03
113,충청북도,보은군,동양기업주식회사,제조업,22229,충청북도 보은군 장안면 구인리 182-23번지,043-543-4521,043-543-4515,12,2025-09-03
114,충청북도,보은군,동양산업제약사,제조업,21220,충청북도 보은군 보은읍 풍취리 18번지 외 1필지,043-543-8585,043-543-6244,3,2025-09-03
115,충청북도,보은군,동진기업,제조업,23231,충청북도 보은군 보은읍 금굴리 62-8번지,043-544-2938,043-544-2938,1,2025-09-03
116,충청북도,보은군,루코팩,제조업,22212,충청북도 보은군 삼승면 우진리 534번지,043-544-8264,043-544-8265,10,2025-09-03
117,충청북도,보은군,리오엠엔씨(주),제조업,28302,충청북도 보은군 보은읍 길상리 37 사무소,043-881-0029,,16,2025-09-03
118,충청북도,보은군,마로낙우회영농조합법인,제조업,10901,충청북도 보은군 마로면 갈평리 556-2번지,043-542-9465,043-543-9465,5,2025-09-03
119,충청북도,보은군,맥스콘소재 주식회사,제조업,20499,충청북도 보은군 삼승면 우진리 281-3,043-543-3018,043-543-3019,13,2025-09-03
120,충청북도,보은군,맥스콘소재 주식회사,제조업,20499,충청북도 보은군 삼승면 우진리 559 맥스콘소재(주) 외 1필지,070-4481-4150,043-543-3019,12,2025-09-03
121,충청북도,보은군,바이오 유디아,제조업,20422,충청북도 보은군 보은읍 강산리 216번지,043-543-6698,043-543-6697,1,2025-09-03
122,충청북도,보은군,반도정밀,제조업,25924,충청북도 보은군 마로면 소여리 730번지,043-543-4948,043-543-4940,4,2025-09-03
123,충청북도,보은군,범아기계공업 주식회사,제조업,25924,"충청북도 보은군 삼승면 우진리 541번지 (우진리 541, 541-1) 외 1필지",043-542-5390,043-542-5391,62,2025-09-03
124,충청북도,보은군,보은RPC,제조업,10511,충청북도 보은군 삼승면 원남리 150-13번지 외 3필지,043-542-6407,,5,2025-09-03
125,충청북도,보은군,보은군 창업지원 및 R&D센터,제조업,11209,충청북도 보은군 삼승면 상가리 333번지 외 3필지,043-540-3242,043-540-3249,25,2025-09-03
126,충청북도,보은군,보은군산림조합,제조업,10309,충청북도 보은군 수한면 후평리 10-13번지 외 2필지,043-543-5001,043-543-5004,17,2025-09-03
127,충청북도,보은군,보은농협미곡처리장,제조업,10511,충청북도 보은군 장안면 개안리 175-0번지 외 2필지,043-543-5522,043-542-2761,7,2025-09-03
128,충청북도,보은군,보은레미콘 주식회사,제조업,23322,충청북도 보은군 보은읍 수정리 108-9번지 외 2필지,043-542-4540,043-542-3758,6,2025-09-03
129,충청북도,보은군,보은아스콘(주),제조업,23991,충청북도 보은군 보은읍 지산리 1-18번지,043-543-9017,043-543-9019,5,2025-09-03
130,충청북도,보은군,보은한우영농조합법인,제조업,10901,충청북도 보은군 보은읍 금굴리 1-1번지 외 1필지,043-544-8080,043-544-8070,3,2025-09-03
131,충청북도,보은군,보은황토산업 주식회사,제조업,23231,충청북도 보은군 내북면 성티리 198-1번지 공장 외 1필지,,02-365-3691,2,2025-09-03
132,충청북도,보은군,보은황토인삼 영농조합법인,제조업,10895,충청북도 보은군 삼승면 상가리 30-1번지,,,5,2025-09-03
133,충청북도,보은군,부농,제조업,20312,충청북도 보은군 수한면 병원리 226-3번지,043-543-0592,043-543-0593,2,2025-09-03
134,충청북도,보은군,비케이비바이오(주) ,제조업,20312,충청북도 보은군 산외면 산대리 186-2 공장,043-543-3307,043-542-3307,5,2025-09-03
135,충청북도,보은군,사나래영농조합법인,제조업,20312,충청북도 보은군 수한면 질신리 86 외 2필지,043-543-0086,043-543-0085,5,2025-09-03
136,충청북도,보은군,생고뱅코리아(주),제조업,22291,충청북도 보은군 삼승면 우진리 207-1번지,043-773-7800,043-773-7850,46,2025-09-03
137,충청북도,보은군,성원제재소,제조업,16101,충청북도 보은군 보은읍 금굴리 4-2번지 사무소,043-544-4989,,4,2025-09-03
138,충청북도,보은군,성진석재,제조업,23911,충청북도 보은군 수한면 후평리 291-5번지 외 1필지,043-544-3579,043-542-3579,3,2025-09-03
139,충청북도,보은군,세인플랜트 주식회사,제조업,25113,충청북도 보은군 회인면 고석리 387-5번지,043-544-7999,043-544-7998,1,2025-09-03
140,충청북도,보은군,속리산석재개발,제조업,23911,충청북도 보은군 보은읍 강신리 72번지,043-543-2292,043-544-4467,1,2025-09-03
141,충청북도,보은군,속리산식품,제조업,10894,충청북도 보은군 보은읍 월송리 495-1번지,043-543-6894,043-543-5064,5,2025-09-03
142,충청북도,보은군,신우코스텍(주) 보은지점,제조업,22232,충청북도 보은군 삼승면 우진리 558번지 신우코스텍 외 2필지,043-544-6084,043-544-6091,18,2025-09-03
143,충청북도,보은군,씨케이주식회사,제조업,21220,충청북도 보은군 보은읍 길상리 22-9 외 5필지,043-544-8511,043-544-2369,61,2025-09-03
144,충청북도,보은군,아쿠프리스산업(주),제조업,29133,충청북도 보은군 삼승면 우진리 540번지,043-544-1617,043-544-1619,3,2025-09-03
145,충청북도,보은군,에코세라믹,제조업,23199,충청북도 보은군 내북면 성암리 231번지,043-544-2527,,1,2025-09-03
146,충청북도,보은군,엔탑컨버전스 주식회사,제조업,29163,충청북도 보은군 보은읍 금굴리 302-5번지 사무소,043-288-5822,043-288-6822,5,2025-09-03
147,충청북도,보은군,엘탑(주),제조업,29162,충청북도 보은군 수한면 소계리 122-1번지,043-543-9370,043-543-9373,3,2025-09-03
148,충청북도,보은군,엠피텍,제조업,20321,충청북도 보은군 삼승면 우진리 583번지,,043-543-9894,13,2025-09-03
149,충청북도,보은군,영농조합법인속리바이오텍,제조업,10896,충청북도 보은군 삼승면 우진리 615번지,043-544-7772,043-543-7772,12,2025-09-03
150,충청북도,보은군,영신철망,제조업,25944,충청북도 보은군 내북면 동산리 273번지 외 1필지,043-542-0317,043-542-0318,5,2025-09-03
151,충청북도,보은군,우송영농조합법인,제조업,10309,충청북도 보은군 삼승면 우진리 243-2번지,043-542-6888,043-544-6709,7,2025-09-03
152,충청북도,보은군,우진산업기계,제조업,25924,충청북도 보은군 보은읍 지산리 212번지 공장,043-543-2108,043-543-2107,9,2025-09-03
153,충청북도,보은군,웅비에너지(주),제조업,28119,충청북도 보은군 삼승면 우진리 250-3번지 공장,043-544-1754,043-542-1754,11,2025-09-03
154,충청북도,보은군,월드피씨,제조업,23325,충청북도 보은군 삼승면 우진리 587번지,043-542-0196,30309460196,8,2025-09-03
155,충청북도,보은군,유디아 미네랄,제조업,20422,충청북도 보은군 보은읍 산성리 297-1번지,043-543-6696,043-543-6697,3,2025-09-03
156,충청북도,보은군,유환엔지니어링(주),제조업,29131,충청북도 보은군 장안면 구인리 182-25번지,043-543-2101,043-543-2104,34,2025-09-03
157,충청북도,보은군,이든또르띠아,제조업,10701,충청북도 보은군 내북면 성암리 159-1,,043-544-0803,43,2025-09-03
158,충청북도,보은군,이든푸드영농조합법인,제조업,10701,충청북도 보은군 내북면 성암리 160-2번지,043-544-0802,043-544-0893,48,2025-09-03
159,충청북도,보은군,이에이바이오스(주),제조업,20411,충청북도 보은군 삼승면 우진리 739 공장,043-542-0232,,11,2025-09-03
160,충청북도,보은군,이제이케미칼,제조업,20499,충청북도 보은군 삼승면 우진리 578번지,,032-328-1502,7,2025-09-03
161,충청북도,보은군,인성피앤씨(주),제조업,22212,충청북도 보은군 삼승면 우진리 596번지,043-543-2123,043-544-2123,74,2025-09-03
162,충청북도,보은군,조은비닐,제조업,22212,충청북도 보은군 삼승면 선곡리 52번지 보은산업,043-542-5295,043-542-5296,1,2025-09-03
163,충청북도,보은군,주식회사 네오시티,제조업,23325,충청북도 보은군 삼승면 우진리 588번지,02-417-3700,02-417-3705,15,2025-09-03
164,충청북도,보은군,주식회사 덕산기계,제조업,25113,충청북도 보은군 삼승면 우진리 742 공장,070-4209-8001,043-544-8007,17,2025-09-03
165,충청북도,보은군,주식회사 모도,제조업,29299,충청북도 보은군 장안면 구인리 182 레미콘 주2동 1층,,,0,2025-09-03
166,충청북도,보은군,주식회사 백승패널,제조업,25119,충청북도 보은군 삼승면 우진리 306-1번지,043-544-5500,043-544-5501,67,2025-09-03
167,충청북도,보은군,주식회사 삼보하이드로테크,제조업,25111,충청북도 보은군 장안면 구인리 182,043-543-3877,,3,2025-09-03
168,충청북도,보은군,주식회사 에스에이치콘테크,제조업,23324,충청북도 보은군 마로면 소여리 900번지 외 1필지,043-542-7554,043-542-7554,10,2025-09-03
169,충청북도,보은군,주식회사 에스티알,제조업,27212,충청북도 보은군 장안면 구인리 182 레미콘,053-812-8787,,0,2025-09-03
170,충청북도,보은군,주식회사 와이에스씨엔씨,제조업,28302,충청북도 보은군 장안면 구인리 182-26 공장,043-773-7730,043-773-7731,5,2025-09-03
171,충청북도,보은군,주식회사 집웅건설,제조업,25112,충청북도 보은군 장안면 구인리 182-12 공장,043-543-6959,,6,2025-09-03
172,충청북도,보은군,주식회사 태성제이와이트레이딩,제조업,20203,충청북도 보은군 삼승면 우진리 544번지 (주)금강ENT,,050-4210-9949,8,2025-09-03
173,충청북도,보은군,주식회사 프리피쉬,제조업,25111,충청북도 보은군 장안면 구인리 182,043-543-5138,,3,2025-09-03
174,충청북도,보은군,주식회사 피톤치드환경,제조업,23999,충청북도 보은군 내북면 성티리 198-3,,,0,2025-09-03
175,충청북도,보은군,주식회사 필승아스콘,제조업,23991,충청북도 보은군 수한면 성리 207-1번지,,063-324-2006,3,2025-09-03
176,충청북도,보은군,주식회사 한창엔지니어링,제조업,27215,충청북도 보은군 보은읍 금굴리 302-5 사무소,043-212-3110,,3,2025-09-03
177,충청북도,보은군,중부철망,제조업,25944,충청북도 보은군 보은읍 용암리 288-4번지,043-543-1687,,4,2025-09-03
178,충청북도,보은군,중앙개발산업(주),제조업,23322,충청북도 보은군 장안면 구인리 182-39번지,043-544-7557,043-544-7559,7,2025-09-03
179,충청북도,보은군,중앙레미콘(주),제조업,23322,충청북도 보은군 장안면 구인리 182-30번지,043-544-7557,043-544-7559,3,2025-09-03
180,충청북도,보은군,중앙산업(주) 보은지점,제조업,23322,충청북도 보은군 내북면 화전리 326번지 3필동,043-544-6900,043-544-6902,7,2025-09-03
181,충청북도,보은군,지노건설산업(주),제조업,23911,충청북도 보은군 마로면 기대리 736번지 외 7필지 외 7필지,043-542-8755,043-542-8756,0,2025-09-03
182,충청북도,보은군,지명이엔지(ENG),제조업,29299,충청북도 보은군 내북면 성암리 160-1 지명이엔지,042-639-5188,042-639-5189,6,2025-09-03
183,충청북도,보은군,지황물산(주),제조업,23999,충청북도 보은군 탄부면 고승리 454-100번지,043-543-7334,043-543-7335,1,2025-09-03
184,충청북도,보은군,진미농산영농조합법인,제조업,10309,충청북도 보은군 삼승면 서원리 12번지,043-543-1456,043-543-1031,3,2025-09-03
185,충청북도,보은군,진미농산영농조합법인,제조업,10309,충청북도 보은군 삼승면 우진리 545 공장,043-544-0047,043-544-7601,4,2025-09-03
