연번,업체명,업종구분,산업분류코드,소재지,전화번호,팩스번호,고용인원 수,데이터기준일자
61,(주)구상기업,육상 금속 골조 구조재 제조업 외 1 종,25113,충청북도 음성군 금왕읍 덕금로 904,043-882-3570,043-881-3570,13,2025-08-31
62,(주)국민유로폼,육상 금속 골조 구조재 제조업 외 1 종,25113,충청북도 음성군 삼성면 덕호로 574-28 (총 2 필지) 외 1필지,043-878-4337,043-878-4393,10,2025-08-31
63,(주)국민패키징,기타 종이 상자 및 용기 제조업 외 2 종,17229,충청북도 음성군 대소면 산내로 157,043-881-4031,043-881-4030,28,2025-08-31
64,(주)국민피앤텍,판지 상자 및 용기 제조업 외 2 종,17222,충청북도 음성군 대소면 대동로 607 외 1필지,043-877-8236,043-877-8239,70,2025-08-31
65,(주)국영산업,강관 제조업 외 1 종,24132,충청북도 음성군 생극면 음성로 1376-10 외 1필지,043-878-0727,043-878-0729,12,2025-08-31
66,(주)국영지앤엠,플라스틱 창호 제조업,22223,충청북도 음성군 감곡면 오근로 87,02-2015-0320,02-2015-0398,4,2025-08-31
67,(주)국전약품,그 외 기타 분류 안된 화학제품 제조업 외 3 종,20499,충청북도 음성군 금왕읍 성본산단2로 27,02-3486-2246,031-337-5147,20,2025-08-31
68,(주)국제스케폴딩,육상 금속 골조 구조재 제조업,25113,충청북도 음성군 대소면 대금로 742-18,02-425-0124,02-425-0129,1,2025-08-31
69,(주)그라운드,"전기회로 개폐, 보호장치 제조업 외 1 종",28121,충청북도 음성군 금왕읍 덕금로 950,043-883-2374,043-883-2376,14,2025-08-31
70,(주)그린씨앤티,타일 및 유사 비내화 요업제품 제조업 외 1 종,23232,충청북도 음성군 대소면 산내로 77,043-883-6070,043-883-6069,5,2025-08-31
71,(주)그린아트,일반철물 제조업 외 5 종,25932,"충청북도 음성군 원남면 하노길 26-47, 라동",033-652-2310,033-652-2312,8,2025-08-31
72,(주)그린제약,생물 의약품 제조업 외 1 종,21211,충청북도 음성군 금왕읍 금왕테크노2길 42,043-534-1144,043-534-1146,66,2025-08-31
73,(주)그린팜아그로,"면류, 마카로니 및 유사식품 제조업 외 1 종",10820,충청북도 음성군 삼성면 금일로 679-31,043-750-8882,043-750-8884,6,2025-08-31
74,(주)근옥솔루션,기타 직물제품 제조업,13229,충청북도 음성군 금왕읍 무극로65번길 15 외 2필지,043-881-6687,043-881-0087,41,2025-08-31
75,(주)근우,배전반 및 전기 자동제어반 제조업 외 2 종,28123,충청북도 음성군 삼성면 대성로 355-36,043-881-7188,043-881-7195,100,2025-08-31
76,(주)글라스원,안전유리 제조업 외 1 종,23112,충청북도 음성군 대소면 소석로 169 외 1필지,043-883-2137,,45,2025-08-31
77,(주)글루가,일반용 도료 및 관련제품 제조업 외 1 종,20411,충청북도 음성군 삼성면 대성로547번길 117-64,,,3,2025-08-31
78,(주)금강건영,육상 금속 골조 구조재 제조업,25113,충청북도 음성군 금왕읍 신내로 745,043-881-2724,043-883-2718,10,2025-08-31
79,(주)금강산업,컨베이어장치 제조업,29163,충청북도 음성군 금왕읍 신내로 743,043-750-8447,043-750-8448,6,2025-08-31
80,(주)금강시스템하우징,플라스틱 창호 제조업,22223,충청북도 음성군 대소면 대금로 742-71 외 1필지,02-6014-3669,02-3462-3669,1,2025-08-31
81,(주)금구,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 1 종,23325,충청북도 음성군 감곡면 영산로 402 외 5필지,043-881-1289,043-881-1279,4,2025-08-31
82,(주)금나무,기타 목재가구 제조업,32029,충청북도 음성군 삼성면 덕호로 541,043-882-1848,,2,2025-08-31
83,(주)금성,"금속 문, 창, 셔터 및 관련제품 제조업 외 1 종",25111,충청북도 음성군 금왕읍 생삼로207번길 170,02-504-6332,,20,2025-08-31
84,(주)금용티앤씨,금속 가구 제조업 외 1 종,32091,충청북도 음성군 금왕읍 청평길 120 외 1필지,043-750-8100,043-750-8101,5,2025-08-31
85,(주)금중산업,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 2 종,23325,충청북도 음성군 대소면 신내로391번길 89-12 외 3필지,031-764-7668,031-762-1098,12,2025-08-31
86,(주)금형건설,육상 금속 골조 구조재 제조업,25113,충청북도 음성군 감곡면 상우안길 115-32 외 1필지,,,3,2025-08-31
87,(주)금호엔지니어링,육상 금속 골조 구조재 제조업 외 1 종,25113,충청북도 음성군 금왕읍 행제리 408번지,,,5,2025-08-31
88,(주)금호프라스틱,그 외 기타 플라스틱 제품 제조업,22299,충청북도 음성군 원남면 충청대로 806,043-873-9420,043-873-9419,19,2025-08-31
89,(주)금화전선,"동 압연, 압출 및 연신제품 제조업 외 2 종",24221,충청북도 음성군 금왕읍 생삼로207번길 159 외 14필지,043-877-8157,043-877-9042,50,2025-08-31
90,(주)꿈꾸는콩,두부 및 유사식품 제조업,10894,충청북도 음성군 맹동면 맹동산단로 31,043-883-1701,043-883-1703,51,2025-08-31
91,(주)나라정공,육상 금속 골조 구조재 제조업,25113,충청북도 음성군 금왕읍 대금로 1124-42,043-883-9709,043-883-9789,7,2025-08-31
92,(주)나람,반려동물용 사료 제조업 외 2 종,10901,충청북도 음성군 대소면 소석로 154,043-883-4800,043-883-4600,20,2025-08-31
93,(주)나무,기타 목재가구 제조업,32029,충청북도 음성군 금왕읍 금일로183번길 41-20,043-882-8547,043-882-8548,1,2025-08-31
94,(주)나무이야기,간판 및 광고물 제조업 외 1 종,33910,충청북도 음성군 대소면 대금로105번길 92-21,043-877-4488,,3,2025-08-31
95,(주)나우리함께하는사람들,기타 과실ㆍ채소 가공 및 저장 처리업,10309,충청북도 음성군 음성읍 음성천동길 3-41,,,2,2025-08-31
96,(주)나원,천연 및 혼합조제 조미료 제조업 외 1 종,10832,충청북도 음성군 금왕읍 일생로 321-24,043-878-0490,043-878-0494,17,2025-08-31
97,(주)나이스글로벌,기타 구조용 금속제품 제조업,25119,충청북도 음성군 금왕읍 신내로 543-17 외 1필지,043-851-0560,043-848-0580,2,2025-08-31
98,(주)남경 제1공장,육상 금속 골조 구조재 제조업 외 1 종,25113,충청북도 음성군 삼성면 청천로 104-18,043-753-8070,,15,2025-08-31
99,(주)남경 제2공장,육상 금속 골조 구조재 제조업 외 1 종,25113,충청북도 음성군 삼성면 청천로 104-11 외 11필지,043-753-8070,055-346-4404,15,2025-08-31
100,(주)남선푸드,수산동물 냉동품 제조업,10213,충청북도 음성군 감곡면 음성로 2354-6 외 2필지,031-792-1824,031-792-1829,35,2025-08-31
101,(주)남일엠에스,구조용 금속 판제품 및 공작물 제조업,25112,충청북도 음성군 원남면 원중로 230-12 외 4필지,,,5,2025-08-31
102,(주)네오그린텍,그 외 기타 분류 안된 화학제품 제조업 외 4 종,20499,충청북도 음성군 금왕읍 오선산단로 12 외 1필지,043-877-5804,043-877-5383,7,2025-08-31
103,(주)네오아티잔브루어리,맥아 및 맥주 제조업,11112,충청북도 음성군 원남면 원남산단로 99,02-790-3101,02-790-3103,5,2025-08-31
104,(주)네오엠에스(제2공장),방사선 장치 제조업,27111,충청북도 음성군 대소면 초금로71번길 90 외 5필지,043-881-7785,043-881-8853,11,2025-08-31
105,(주)네오팜,화장품 제조업,20423,충청북도 음성군 삼성면 대성로547번길 62 외 5필지,042-864-0038,043-879-2230,150,2025-08-31
106,(주)네이쳐앤솔루션,비내화 모르타르 제조업,23321,충청북도 음성군 삼성면 상곡리 46-1,02-423-2580,02-423-0400,6,2025-08-31
107,(주)네이코,위생용 종이제품 제조업,17902,충청북도 음성군 금왕읍 쌍봉리 187-1 외 5필지,043-883-5778,070-7966-7284,10,2025-08-31
108,(주)네이코 제2공장,그 외 기타 분류 안된 섬유제품 제조업 외 1 종,13999,충청북도 음성군 금왕읍 금일로284번길 68-12,043-883-5778,070-7966-7284,5,2025-08-31
109,(주)네츄어스베스트푸드,기타 곡물 가공품 제조업,10519,충청북도 음성군 삼성면 대청로 115 외 1필지,043-881-0287,043-882-0287,2,2025-08-31
110,(주)네패스 ,감광재료 및 관련 화학제품 제조업 외 2 종,20491,충청북도 음성군 삼성면 금일로965번길 105 외 12필지,043-877-3040,043-877-3042,17,2025-08-31
111,(주)넥스시스템즈(음성공장),육상 금속 골조 구조재 제조업 외 1 종,25113,충청북도 음성군 소이면 소이로233번길 18-23,043-877-6140,043-877-6141,10,2025-08-31
112,(주)노브,비금속광물 분쇄물 생산업,23993,충청북도 음성군 삼성면 하이텍산단로 36-34,042-824-9407,,20,2025-08-31
113,(주)노이켐,문구용 종이제품 제조업,17901,"충청북도 음성군 대소면 대금로196번길 71,  나동 (총 8 필지) 외 7필지",032-821-8841,032-821-8843,2,2025-08-31
114,(주)녹십자,생물 의약품 제조업 외 3 종,21211,충청북도 음성군 금왕읍 무극로65번길 26,043-879-2900,043-877-1444,116,2025-08-31
115,(주)녹십자엠에스,그 외 기타 의료용 기기 제조업 외 2 종,27199,충청북도 음성군 금왕읍 무극로65번길 26,043-879-2900,043-879-2991,32,2025-08-31
116,(주)녹십자엠에스 음성2지점,생물 의약품 제조업 외 1 종,21211,충청북도 음성군 맹동면 태정로 148,043-870-3600,043-870-3601,30,2025-08-31
117,(주)녹십자웰빙,생물 의약품 제조업 외 3 종,21211,충청북도 음성군 금왕읍 무극로65번길 26,043-879-2900,043-879-2977,8,2025-08-31
118,(주)녹십자웰빙 음성혁신공장,생물 의약품 제조업 외 1 종,21211,충청북도 음성군 맹동면 두레로 173 외 2필지,043-879-2978,043-879-2977,70,2025-08-31
119,(주)놀부,육류 기타 가공 및 저장처리업 (가금류 제외) 외 9 종,10129,충청북도 음성군 금왕읍 멍심이길 167 외 1필지,043-877-1351,043-877-1350,70,2025-08-31
120,(주)농협목우촌 음성육가공공장,육류 도축업(가금류 제외) 외 7 종,10111,충청북도 음성군 금왕읍 대금로1278번길 81,043-879-0001,043-879-0030,60,2025-08-31
121,(주)농협목우촌(대소육가공공장),가금류 가공 및 저장 처리업,10121,충청북도 음성군 대소면 대금로105번길 106 외 1필지,043-879-0007,043-879-0070,30,2025-08-31
122,(주)누리에스티,육상 금속 골조 구조재 제조업,25113,충청북도 음성군 대소면 신내로 168-39,043-882-1609,043-881-1609,6,2025-08-31
123,(주)뉴테크산업,기타 플라스틱 발포 성형제품 제조업,22259,충청북도 음성군 금왕읍 금일로 259,033-734-9722,033-734-6849,15,2025-08-31
124,(주)뉴테크산업,암면 및 유사제품 제조업,23994,충청북도 음성군 금왕읍 금일로 257 외 1필지,043-878-0565,043-878-0566,5,2025-08-31
125,(주)뉴트라젠,건강기능식품 제조업,10897,충청북도 음성군 삼성면 덕호로 114,031-422-7007,031-422-7009,5,2025-08-31
126,(주)뉴트리온,반려동물용 사료 제조업 외 1 종,10901,충청북도 음성군 감곡면 영산로 324 외 1필지,,,3,2025-08-31
127,(주)다가올,플라스틱 창호 제조업,22223,충청북도 음성군 맹동면 덕금로234번길 77-14,043-877-3750,043-877-3752,10,2025-08-31
128,(주)다농원,차류 가공업,10892,충청북도 음성군 금왕읍 유촌리 514 외 4필지 외 4필지,031-266-8345,,24,2025-08-31
129,(주)다미상사,볼트 및 너트류 제조업,25941,충청북도 음성군 삼성면 용성로 126,,,3,2025-08-31
130,(주)다미푸드텍,그 외 기타 식료품 제조업 외 4 종,10899,충청북도 음성군 삼성면 대청로 268 외 1필지,043-883-5421,043-883-5420,26,2025-08-31
131,(주)다성산업,육상 금속 골조 구조재 제조업 외 1 종,25113,"충청북도 음성군 대소면 대금로196번길 67, 다동 외 1필지",043-532-0441,043-536-0442,20,2025-08-31
132,(주)다성스틸,육상 금속 골조 구조재 제조업 외 1 종,25113,충청북도 음성군 생극면 일생로 409-9,043-750-7311,,5,2025-08-31
133,(주)다솔,전동기 및 발전기 제조업,28111,충청북도 음성군 음성읍 시장로 103-3 3층,043-872-9191,043-872-9190,5,2025-08-31
134,(주)다온케미칼,합성수지 및 기타 플라스틱 물질 제조업 외 1 종,20202,충청북도 음성군 삼성면 용성리 118,070-4603-2677,0303-3447-9920,10,2025-08-31
135,(주)다우이노베이션,운송장비 조립용 플라스틱제품 제조업 외 1 종,22241,충청북도 음성군 대소면 산내로 60-40 외 1필지,043-877-1645,043-877-1647,12,2025-08-31
136,(주)다원떡담아,떡류 제조업,10601,충청북도 음성군 삼성면 덕호로36번길 108-18,043-882-9915,043-882-9916,16,2025-08-31
137,(주)다함씨에스,플라스틱 접착처리 제품 제조업,22291,충청북도 음성군 금왕읍 금왕테크노1길 101,043-881-3527,043-881-3528,17,2025-08-31
138,(주)다현산업,아스팔트 콘크리트 및 혼합제품 제조업 외 1 종,23991,충청북도 음성군 삼성면 대덕로 289,043-883-0602,043-882-0818,12,2025-08-31
139,(주)단단산업,"콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 2 종",23324,충청북도 음성군 생극면 오신로445번길 106,,,9,2025-08-31
140,(주)단일산업,"적층, 합성 및 특수표면처리 종이 제조업",17904,충청북도 음성군 삼성면 대성로 438-37,043-883-5400,043-883-5403,15,2025-08-31
141,(주)대건씨앤엘,그 외 기타 플라스틱 제품 제조업 외 3 종,22299,충청북도 음성군 금왕읍 금왕테크노2길 7,043-883-5035,043-883-5039,19,2025-08-31
142,(주)대건씨앤엘,그 외 기타 플라스틱 제품 제조업 외 1 종,22299,충청북도 음성군 금왕읍 신내로 664-13 외 1필지,043-883-5035,043-883-5039,3,2025-08-31
143,(주)대경,육상 금속 골조 구조재 제조업,25113,충청북도 음성군 금왕읍 신평리 221,043-881-7747,043-882-7747,7,2025-08-31
144,(주)대경산업,기타 건축용 플라스틱 조립제품 제조업,22229,충청북도 음성군 삼성면 대성로 161,,,1,2025-08-31
145,(주)대경오앤티,동물성 유지 제조업 외 1 종,10411,충청북도 음성군 삼성면 대청로 136 외 2필지,043-882-0611,043-882-0614,16,2025-08-31
146,(주)대경오앤티,식용 정제유 및 가공유 제조업 외 5 종,10413,충청북도 음성군 대소면 대소산단로 39-19,043-535-8755,043-535-0574,16,2025-08-31
147,(주)대경트라움,주방용 전기기기 제조업,28511,충청북도 음성군 금왕읍 음성로1252번길 100,031-702-6313,031-702-6314,3,2025-08-31
148,(주)대광기계,승강기 제조업,29162,충청북도 음성군 감곡면 오향리 120-5,043-881-2512,043-881-6405,24,2025-08-31
149,"(주)대광레미콘, 아스콘",레미콘 제조업,23322,충청북도 음성군 금왕읍 초금로 457-31 (총 2 필지) 외 1필지,043-882-2505,043-882-2508,7,2025-08-31
150,(주)대광케미칼,그 외 기타 플라스틱 제품 제조업,22299,충청북도 음성군 금왕읍 봉곡길63번길 3-13,,,8,2025-08-31
151,(주)대광푸드텍,천연 및 혼합조제 조미료 제조업,10832,충청북도 음성군 금왕읍 일생로 218,043-878-8033,043-878-8035,6,2025-08-31
152,(주)대금지오웰음성공장,그 외 기타 특수목적용 기계 제조업 외 2 종,29299,충청북도 음성군 삼성면 하이텍산단로 120,043-883-3682,043-883-0120,29,2025-08-31
153,(주)대동일렉트릭,"적층, 합성 및 특수표면처리 종이 제조업",17904,충청북도 음성군 생극면 오신로 458,,043-878-7315,7,2025-08-31
154,(주)대림,설치용 및 위생용 플라스틱제품 제조업,22222,충청북도 음성군 금왕읍 삼봉길150번길 13,,054-382-0117,6,2025-08-31
155,(주)대림 삼양로공장,설치용 및 위생용 플라스틱제품 제조업,22222,충청북도 음성군 대소면 삼양로 1004,043-878-5744,043-878-5745,14,2025-08-31
156,(주)대명스틸,그 외 기타 1차 철강 제조업,24199,충청북도 음성군 대소면 부윤리 439-4번지 외 1필지,043-883-5199,043-883-5198,14,2025-08-31
157,(주)대명에너텍,육상 금속 골조 구조재 제조업 외 1 종,25113,충청북도 음성군 대소면 초금로 169-19 외 1필지,043-873-5990,043-873-6990,10,2025-08-31
158,(주)대복,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 1 종,23325,충청북도 음성군 감곡면 오궁리 477 외 3필지,,043-878-8710,5,2025-08-31
159,(주)대산엔지니어링,일반철물 제조업,25932,충청북도 음성군 용성로 114 (삼성면),,,6,2025-08-31
160,(주)대산푸드 지점,육류 도축업(가금류 제외) 외 1 종,10111,충청북도 음성군 삼성면 금율로 349-36,043-878-5858,043-877-5177,28,2025-08-31
161,(주)대상 제1공장,생물 의약품 제조업 외 1 종,21211,충청북도 음성군 대소면 대소산단로 39-20,043-535-4937,043-535-3723,126,2025-08-31
162,(주)대성지기,식품 위생용 종이 상자 및 용기 제조업 외 3 종,17223,충청북도 음성군 삼성면 덕호로 391-5,043-883-6696,043-883-6697,31,2025-08-31
163,(주)대성철재천막,기타 구조용 금속제품 제조업,25119,충청북도 음성군 대소면 대금로 653-12 외 1필지,043-877-5724,043-883-4916,6,2025-08-31
164,(주)대성테크,도장 및 기타 피막처리업,25923,충청북도 음성군 금왕읍 금율로 220-18 외 5필지,043-877-8277,043-877-8178,22,2025-08-31
165,(주)대승아이앤피,기타 플라스틱 발포 성형제품 제조업,22259,충청북도 음성군 금왕읍 금일로 259 외 3필지,043-878-0565,043-878-0566,8,2025-08-31
166,(주)대영중공업,그 외 자동차용 신품 부품 제조업 외 6 종,30399,충청북도 음성군 원남면 보덕로 358,043-873-6071,031-8059-6071,13,2025-08-31
167,(주)대오정공,승강기 제조업 외 1 종,29162,충청북도 음성군 대소면 소석로 155,043-882-8679,043-882-8680,25,2025-08-31
168,(주)대우가구,금속 가구 제조업 외 1 종,32091,충청북도 음성군 감곡면 가곡로 478-50 외 1필지,043-877-5622,043-877-5611,29,2025-08-31
169,(주)대우가구 제2공장,주방용 및 음식점용 목재가구 제조업 외 1 종,32021,충청북도 음성군 감곡면 가곡로 478-51,043-877-5622,043-877-5611,9,2025-08-31
170,(주)대운테크,플라스틱 접착처리 제품 제조업,22291,충청북도 음성군 금왕읍 유촌로232번길 96-50 외 1필지,043-750-7110,043-750-7113,5,2025-08-31
171,(주)대웅이엔지,육상 금속 골조 구조재 제조업,25113,충청북도 음성군 삼성면 대성로380번길 72-43 외 5필지,043-877-4769,043-877-6270,0,2025-08-31
