시도,시군구,회사명,공장구분,전화번호,생산품,업종명,공장대표주소(도로명)
충청남도,천안시 서북구,(주)건우인터팩,개별입지,041-544-5240,판지상자 및 용기,판지 상자 및 용기 제조업,충청남도 천안시 서북구 성거읍 모전1길 248-30
충청남도,천안시 서북구,(주)건화서비스,계획입지,041-552-1448,보호기기,"전기회로 개폐, 보호장치 제조업 외 2 종",충청남도 천안시 서북구 백석동 555-31번지
충청남도,천안시 서북구,(주)건화서비스,개별입지,041-552-1448,Recloser+ALTS(한전배전선로용차단기) 및 전기회로판넬,"전기회로 개폐, 보호장치 제조업 외 1 종",충청남도 천안시 서북구 신갈1길 71 -12(직산읍)
충청남도,천안시 서북구,(주)견지포장,계획입지,041-584-5001,종이박스,기타 종이 상자 및 용기 제조업,충청남도 천안시 서북구 직산읍 부송1길 49 ((주)삼즈쎌텍)
충청남도,천안시 서북구,(주)경도전자,개별입지,041-581-9742,다이오드+트랜지스터,발광 다이오드 제조업 외 3 종,충청남도 천안시 서북구 성환읍 왕림길 209 외 1필지
충청남도,천안시 서북구,(주)경민에프에이,개별입지,041-587-5425,반도체장비 전기배선 설치,배전반 및 전기 자동제어반 제조업,충청남도 천안시 서북구 직산읍 금곡로 115-24
충청남도,천안시 서북구,(주)경성인더스트리,개별입지,041-581-0701,절삭가공부품,절삭가공 및 유사처리업,충청남도 천안시 서북구 직산읍 군수1길 112-32 외 1필지
충청남도,천안시 서북구,(주)경신엘에스,개별입지,041-621-6789,호텔 린넨(침대커버+이불시트 등),그 외 기타 봉제의복 제조업,충청남도 천안시 서북구 두정동 394-3번지
충청남도,천안시 서북구,(주)경신전선,개별입지,041-539-3600,절연선케이블,기타 절연선 및 케이블 제조업 외 2 종,충청남도 천안시 서북구 입장면 연곡길 567
충청남도,천안시 동남구,(주)경일산업,개별입지,041-566-8485,밸브,"탭, 밸브 및 유사장치 제조업",충청남도 천안시 동남구 풍세면 한우물3길 19
충청남도,천안시 서북구,(주)경진 (2공장),개별입지,,PET Chip,혼성 및 재생 플라스틱 소재 물질 제조업,충청남도 천안시 서북구 2공단5로 97 -5(차암동)
충청남도,천안시 서북구,(주)경진이레,개별입지,02-574-6300,분무기,농업 및 임업용 기계 제조업,충청남도 천안시 서북구 직산읍 수헐리 27
충청남도,천안시 동남구,(주)계명엔지니어링,개별입지,041-565-3988,활정자관(상수도관),그 외 기타 1차 철강 제조업,충청남도 천안시 동남구 광덕면 광풍로 1011
충청남도,천안시 서북구,(주)고려인삼제품공사,개별입지,041-583-3351,인삼 및 각종차류,인삼식품 제조업 외 4 종,"충청남도 천안시 서북구 성환읍 율금6길 22, 외 5필지"
충청남도,천안시 서북구,(주)고향식품,개별입지,,참골드기름(향미유)+들골드기름(향미유)+참+들기름+볶음참깨+들깨가루,기타 식품 첨가물 제조업,충청남도 천안시 서북구 성환읍 잠실길 44-6
충청남도,천안시 서북구,(주)골든포우,개별입지,041-581-6522,부직포+플라스틱필름+푼툰+부표,플라스틱 필름 제조업 외 4 종,충청남도 천안시 서북구 성환읍 가룡길 15
충청남도,천안시 서북구,(주)공협강관,개별입지,041-553-6336,상하수도관+공업용수관,절단가공및표면처리강재생산업,충청남도 천안시 서북구 입장면 호당리 351-4번지
충청남도,천안시 동남구,(주)광성금속,개별입지,041-565-2900,자동차 부품,도금업,충청남도 천안시 동남구 성남면 용원4길 87-61
충청남도,천안시 동남구,(주)광성금속 제2공장,개별입지,041-565-2900,자동차부품(도금체)+금속제받침대(도금체),도금업 외 2 종,충청남도 천안시 동남구 성남면 용원4길 87-45 외 8필지
충청남도,천안시 서북구,(주)광스틸,개별입지,041-581-7773,샌드위치판넬 지붕관+벽판,구조용 금속 판제품 및 공작물 제조업,충청남도 천안시 서북구 입장면 용정리1길 87
충청남도,천안시 서북구,(주)교강산업,개별입지,041-622-0000,디자인형 울타리 등,구조용 금속 판제품 및 공작물 제조업 외 3 종,충청남도 천안시 서북구 직산읍 남산2길 114-40
충청남도,천안시 서북구,(주)구비테크,계획입지,041-622-6602,EDS용 Wafer Chuck,그 외 기타 전자부품 제조업,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 B동 912,913호 (백석동)"
충청남도,천안시 서북구,(주)구성엠에스,계획입지,041-587-6350,반응시스템+반응기주변설비,금속탱크 및 저장용기 제조업 외 1 종,충청남도 천안시 서북구 직산읍 삼은리 43번지 충남테크노파크 생산관 2201호
충청남도,천안시 동남구,(주)국광,개별입지,041-572-7500,레미콘,레미콘 제조업,"충청남도 천안시 동남구 풍세로 575 (신방동, 국광레미콘)"
충청남도,천안시 동남구,(주)국보엔이티,개별입지,041-555-1031,정화조 뚜껑,비금속류 해체 및 선별업 외 1 종,충청남도 천안시 동남구 수신면 발산4길 72
충청남도,천안시 동남구,(주)국보화학,개별입지,041-564-0031,산업용테이프,체외 진단 시약 제조업 외 3 종,충청남도 천안시 동남구 병천면 충절로 1925-23 (케이비켐(주)) 외 2필지
충청남도,천안시 동남구,(주)국영지앤엠,개별입지,041-410-0321,복층 유리+강화 유리+접합 유리,안전유리 제조업 외 7 종,충청남도 천안시 동남구 성남면 용원리 297번지 외 1필지
충청남도,천안시 동남구,(주)국제리프라텍,개별입지,041-522-6833,방열펄프+건축내장재 및 자동차용 내장재,그 외 기타 플라스틱 제품 제조업,충청남도 천안시 동남구 수신면 발산4길 62-28
충청남도,천안시 서북구,(주)굿에어,계획입지,041-571-0221,시스템에어컨 자동세척장비,그 외 기타 특수목적용 기계 제조업,"충청남도 천안시 서북구 직산읍 직산로 136, 생산관 2304호(충남테크노파크)"
충청남도,천안시 동남구,(주)그린글로벌,개별입지,041-622-9120,인조잔디+탄성포장재,그 외 기타 플라스틱 제품 제조업 외 1 종,충청남도 천안시 동남구 동면 충절로 2056
충청남도,천안시 서북구,(주)그린랜드,개별입지,041-588-2100,공조필터,기체 여과기 제조업,충청남도 천안시 서북구 입장면 연곡길 330 ((주)크린에어테크놀로지)
충청남도,천안시 동남구,(주)그린에너지,개별입지,041-522-0373,LED조명기구,일반용 전기 조명장치 제조업,충청남도 천안시 동남구 북면 매송리 359-1
충청남도,천안시 서북구,(주)그린테크산업,개별입지,041-583-1677,금형+자동차 샤시,주형 및 금형 제조업 외 2 종,충청남도 천안시 서북구 직산읍 금곡로 141 ((주)그린테크산업) (총 3 필지) 외 2필지
충청남도,천안시 동남구,(주)그린환경,개별입지,041-565-2121,재생플라스틱 수지,혼성 및 재생 플라스틱 소재 물질 제조업,
충청남도,천안시 서북구,(주)글로벌토크,계획입지,070-7728-1001,통역기(PMP형),사무용 기계 및 장비 제조업,"충청남도 천안시 서북구 직산읍 직산로 136, 충남테크노파크 번영관 2106호"
충청남도,천안시 동남구,(주)글로컬,개별입지,041-566-5665,PCB ASS+Y,메모리용 전자집적회로 제조업 외 1 종,충청남도 천안시 동남구 풍세면 미죽1길 75 (대성테크(주))
충청남도,천안시 서북구,(주)글루가,개별입지,02-6477-7659,네일스티커+젤팁,스크린 인쇄업,"충청남도 천안시 서북구 수레터1길 24, B동(차암동)"
충청남도,천안시 서북구,(주)금강전기산업,개별입지,041-584-7571,자동화시스템(제어판넬),배전반 및 전기 자동제어반 제조업,충청남도 천안시 서북구 상덕매주길 187 -1(성환읍)
충청남도,천안시 동남구,(주)금강콘트롤,개별입지,041-554-5916,배전반+전기자동제어,배전반 및 전기 자동제어반 제조업,충청남도 천안시 동남구 성남면 봉양1길 203-8
충청남도,천안시 동남구,(주)금성코팅,개별입지,041-415-1160,샷시+판넬,도장 및 기타 피막처리업,충청남도 천안시 동남구 동면 화복로 3-50
충청남도,천안시 서북구,(주)금주마리너,개별입지,041-557-7758,어선 그물 인양장치,그 외 기타 전기장비 제조업,충청남도 천안시 서북구 두정동 402-1번지
충청남도,천안시 동남구,(주)금진식품,개별입지,041-569-2772,분말파우더+양념소스,곡물 혼합분말 및 반죽 제조업 외 2 종,충청남도 천안시 동남구 성남면 성남로 230-31
충청남도,천안시 동남구,(주)금화전자,개별입지,041-557-0927,자동차용스위치,그 외 자동차용 신품 부품 제조업 외 3 종,충청남도 천안시 동남구 수신면 5산단로 167
충청남도,천안시 동남구,(주)기륭산업,개별입지,041-523-0411,제지용약품+고체성 표면광택제,그 외 기타 분류 안된 화학제품 제조업 외 3 종,충청남도 천안시 동남구 동면 화계2길 16
충청남도,천안시 서북구,(주)기산판넬,개별입지,041-544-9754,샌드위치 판넬,육상 금속 골조 구조재 제조업 외 1 종,충청남도 천안시 서북구 성거읍 모전1길 354-55
충청남도,천안시 동남구,(주)까뮤이앤씨 천안공장,개별입지,041-566-7747,콘크리트조립부재,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 1 종,충청남도 천안시 동남구 풍세면 용두4길 110 (삼환까뮤(주))
충청남도,천안시 서북구,(주)나노포아,개별입지,041-589-8293,산소멤브레인+산소발생기,기체 여과기 제조업,충청남도 천안시 서북구 입장면 홍천리 35-3번지 한국생산기술연구원내 창업보육센터 연구동 161호
충청남도,천안시 서북구,(주)나비바이오텍,계획입지,041-523-8257,유전자추출키트+동물용의약외품,그 외 기타 분류 안된 화학제품 제조업 외 2 종,"충청남도 천안시 서북구 직산읍 삼은리 506 번지 충남테크노파크 번영관 2304호,2305호"
충청남도,천안시 서북구,(주)나비바이오텍,개별입지,041-523-8257,동물용의약품(돼지정액희석제),동물용 의약품 제조업,충청남도 천안시 서북구 입장면 가산리 627번지 (연곡길 180-7)
충청남도,천안시 서북구,(주)남경연와,개별입지,041-581-3447,적벽돌,"콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 1 종",충청남도 천안시 서북구 성환읍 수향리 178번지
충청남도,천안시 서북구,(주)남경하이테크,개별입지,041-584-2032,기능성필름+필름포장재,오프셋 인쇄업 외 1 종,충청남도 천안시 서북구 성환읍 율금리 749-3
충청남도,천안시 동남구,(주)남영텍스,개별입지,,생지원단류,화학섬유직물 직조업,충청남도 천안시 동남구 성남면 세성로 195 (광천종합건설)
충청남도,천안시 서북구,(주)남일인스트루먼트,개별입지,041-556-0563,반도체 장비부품(배관부품),반도체 제조용 기계 제조업,충청남도 천안시 서북구 직산읍 직산로 223 외 1필지
충청남도,천안시 서북구,(주)내추럴넥스팜,개별입지,041-585-1031,포도식초,과실가공및저장처리업 외 1 종,충청남도 천안시 서북구 입장면 기로리 280번지
충청남도,천안시 서북구,(주)네오그린텍,개별입지,041-561-0138,기체여과기,기체 여과기 제조업,충청남도 천안시 서북구 성거읍 요방리 309번지 외 1필지
충청남도,천안시 서북구,(주)네오스펙,개별입지,041-427-5508,반도체장비부품,반도체 제조용 기계 제조업,충청남도 천안시 서북구 성환읍 율금1길 94-9
충청남도,천안시 서북구,(주)네오테크,계획입지,041-584-9261,전자변성기+Cover Plate 외,"전자코일, 변성기 및 기타 전자 유도자 제조업 외 1 종",충청남도 천안시 서북구 직산읍 4산단4로 27
충청남도,천안시 서북구,(주)네오텍,개별입지,041-584-7400,DOOR FRAME(차종:VQ+D-100+로디우스),자동차 차체용 신품 부품 제조업 외 4 종,충청남도 천안시 서북구 성환읍 임리길 7 ((주)네오텍) (총 14 필지)
충청남도,천안시 서북구,(주)네오텍,개별입지,041-588-6212,자동차 차체용 부품(DOOR FRAME),자동차 차체용 신품 부품 제조업 외 1 종,충청남도 천안시 서북구 천안대로 1654-75 (직산읍)
충청남도,천안시 동남구,(주)네오텍인더스트리,개별입지,041-556-9585,자성씨트+일체형히터,플라스틱 접착처리 제품 제조업 외 1 종,충청남도 천안시 동남구 병천면 가전리 산 72-1번지
충청남도,천안시 서북구,(주)네콘,계획입지,041-589-0766,마이크로 터빈,기타 기관 및 터빈 제조업,"충청남도 천안시 서북구 직산읍 직산로 136, 영상미디어센터 연구동 110호"
충청남도,천안시 서북구,(주)넥스콘세미텍,개별입지,041-620-4200,반도체칩,발광 다이오드 제조업 외 1 종,충청남도 천안시 서북구 성거읍 석문길 95 ((주)텍스콘텍크놀로지)
충청남도,천안시 서북구,(주)넥스트솔루션,계획입지,,반도체/디스플레이 장비 및 영상저장장치,반도체 제조용 기계 제조업,"충청남도 천안시 서북구 백석공단1로 42 (백석동, 대성전자(주))"
충청남도,천안시 서북구,(주)넥스트에어로스페이스,개별입지,070-4415-4589,경비행기+쉘터+경비행기+쉘터+경비행기,"유인 항공기, 항공우주선 및 보조장치 제조업 외 4 종",충청남도 천안시 서북구 직산읍 직산로 135-21
충청남도,천안시 서북구,(주)넥스트젠,개별입지,,다이아몬드공구,톱 및 호환성 공구 제조업,충청남도 천안시 서북구 직산읍 부송로 385-86
충청남도,천안시 서북구,(주)넥스팜,개별입지,041-585-1031,포도식초,기타 과실ㆍ채소 가공 및 저장 처리업 외 2 종,충청남도 천안시 서북구 입장면 기로리 280번지
충청남도,천안시 서북구,(주)노걸대,개별입지,041-545-5085,노걸대양념외,천연 및 혼합조제 조미료 제조업,충청남도 천안시 서북구 성거읍 모전3길 8
충청남도,천안시 서북구,(주)노루오토코팅,개별입지,031-8059-9514,도료,일반용 도료 및 관련제품 제조업,충청남도 천안시 서북구 백석공단1로 111 (백석동)
충청남도,천안시 서북구,(주)노박,개별입지,,일회용마스크,기타 직물제품 제조업,충청남도 천안시 서북구 성환읍 와룡길 47-25
충청남도,천안시 서북구,(주)녹십자메디스,개별입지,041-529-8400,혈당측정기 등+혈당측정기 등+혈당측정기 등+혈당측정기 등+혈당측정기 등,전기식 진단 및 요법 기기 제조업 외 4 종,충청남도 천안시 서북구 성거읍 정자1길 16
충청남도,천안시 서북구,(주)농심미분,계획입지,041-540-4900,쌀가루,곡물 제분업,
충청남도,천안시 동남구,(주)농업회사법인 돈우,계획입지,041-547-9222,돈우 간정허브 불고기+돈우 불맛 고추장불고기+돈우왕할매떡갈비,육류 포장육 및 냉동육 가공업 (가금류 제외) 외 1 종,충청남도 천안시 동남구 풍세면 풍세산단4로 104
충청남도,천안시 서북구,(주)누리바이오,계획입지,041-583-1596,사료,반려동물용 사료 제조업 외 2 종,충청남도 천안시 서북구 직산읍 삼은리 43-12번지
충청남도,,(주)누리바이오,계획입지,041-583-1596,사료,반려동물용 사료 제조업 외 2 종,
충청남도,천안시 서북구,(주)누리바이오,계획입지,041-583-1596,사료첨가제,반려동물용 사료 제조업 외 2 종,충청남도 천안시 서북구 직산읍 삼은리 43-12번지
충청남도,천안시 서북구,(주)누리시스템,개별입지,041-579-2491,반도체조립장비,반도체 제조용 기계 제조업 외 1 종,충청남도 천안시 서북구 직산읍 신갈1길 119
충청남도,천안시 서북구,(주)뉴맨코포레이션,개별입지,,ARCONE 28+DOORI 70외 기타,합성수지 및 기타 플라스틱 물질 제조업,충청남도 천안시 서북구 성환읍 수향리 152-2 외 7필지
충청남도,천안시 서북구,(주)뉴앤뉴,계획입지,041-553-1610,화장품,화장품 제조업,충청남도 천안시 서북구 백석공단1로 85 (백석동)
충청남도,천안시 서북구,(주)다나바이오시스템,계획입지,041-584-6677,유기성폐기물자원화플랜트,그외기타분류안된특수목적용기계제조업,충청남도 천안시 서북구 직산읍 마정리 526번지
충청남도,천안시 서북구,(주)다빈금속,개별입지,,프로브핀,도금업,충청남도 천안시 서북구 두정동 405-7번지
충청남도,천안시 동남구,(주)다산,개별입지,041-583-9348,반도체장비,반도체 제조용 기계 제조업,충청남도 천안시 동남구 목천읍 천정2길 71-19
충청남도,천안시 동남구,(주)다산메디켐,계획입지,041-543-5311,화장품 원료 및 석유화학중간체 및 완제의약품,석유화학계 기초 화학물질 제조업 외 3 종,충청남도 천안시 동남구 수신면 신풍리 543번지
충청남도,천안시 동남구,(주)다스,개별입지,,자동제어부품,반도체 제조용 기계 제조업,충청남도 천안시 동남구 성남면 대흥1길 173-64 외 1필지
충청남도,천안시 서북구,(주)다영푸드,개별입지,041-581-5511,오리훈제바베큐,가금류 가공 및 저장 처리업,충청남도 천안시 서북구 직산읍 양당리 133번지
충청남도,천안시 서북구,(주)다영푸드제2공장,개별입지,041-584-5513,오리훈제 바베큐,가금류 가공 및 저장 처리업,충청남도 천안시 서북구 직산읍 모시2길 122 (다영푸드)
충청남도,천안시 동남구,(주)다온디지텍,개별입지,070-5097-3386,경량판넬+이동식칸막이 등,구조용 금속 판제품 및 공작물 제조업,"충청남도 천안시 동남구 각원사길 69-4, 104호(상명대학교 창업보육 2관) (안서동)"
충청남도,천안시 동남구,(주)다온텍,개별입지,,반도체검사장비(반도체포고핀),"물질 검사, 측정 및 분석기구 제조업",
충청남도,천안시 서북구,(주)다올,계획입지,041-906-5919,감속기,배전반 및 전기 자동제어반 제조업,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 A동 907호 (백석동)"
충청남도,천안시 서북구,(주)다우씨엔에스,개별입지,041-621-5679,전기회로개폐+보호장치(스위치+센서+누전차단기 등),"전기회로 개폐, 보호장치 제조업",충청남도 천안시 서북구 성거읍 소우리 188-3
충청남도,천안시 서북구,(주)다우에프에이,계획입지,041-412-8801,그리퍼 및 그리퍼UNIT,기어 및 동력전달장치 제조업 외 3 종,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 M동 417,418,419,420,421,422,423,424,425호, B동 508,509호 (백석동)"
충청남도,천안시 동남구,(주)다우테크놀로지,개별입지,041-553-3692,자동차부품,그 외 자동차용 신품 부품 제조업 외 2 종,충청남도 천안시 동남구 성남면 세성로 25 (한종공업(주))
충청남도,천안시 동남구,(주)다우테크놀로지 제1공장,개별입지,041-553-3692,B/K ENG  MT`G-RR ASSY,자동차 차체용 신품 부품 제조업 외 1 종,충청남도 천안시 동남구 성남면 세성로 27
충청남도,천안시 서북구,(주)다원기업,개별입지,,방습제(벤토나이트)+방습제(실리카겔),그 외 기타 분류 안된 비금속 광물제품 제조업,
충청남도,천안시 서북구,(주)다원테크,개별입지,041-584-4101,반도체제조용 기계,반도체 제조용 기계 제조업,충청남도 천안시 서북구 직산읍 군서리 415-3
충청남도,천안시 서북구,(주)다윈솔루션,개별입지,,반도체 제조용기계,반도체 제조용 기계 제조업,충청남도 천안시 서북구 직산읍 정자1길 153-17
충청남도,천안시 동남구,(주)다인,개별입지,041-554-8611,리스크휠+가이드레일,자동차 차체용 신품 부품 제조업 외 1 종,충청남도 천안시 동남구 성남면 대흥리 554-3번지 외 1필지
충청남도,천안시 서북구,(주)다인이엔지,개별입지,041-588-8004,엘리베이터 부품,그 외 기타 금속가공업,충청남도 천안시 서북구 입장면 검바위길 11
충청남도,천안시 서북구,(주)다인폴,개별입지,,고성능 진공단열재+금속제 진공단열패널+건축용 단열재 외,암면 및 유사제품 제조업 외 3 종,충청남도 천안시 서북구 입장면 용정리1길 87
충청남도,천안시 서북구,(주)다지트,개별입지,031-916-8918,데코필름,"플라스틱 적층, 도포 및 기타 표면처리 제품 제조업",충청남도 천안시 서북구 성환읍 신방로 162 외 2필지
충청남도,천안시 서북구,(주)단바이오텍,개별입지,041-556-0852,식품첨가물 외,기타 식품 첨가물 제조업 외 3 종,충청남도 천안시 서북구 성거읍 석교리 131번지
충청남도,천안시 서북구,(주)달성산업개발,개별입지,041-582-2678,유압전도수문+frp자동문 외,"금속 문, 창, 셔터 및 관련제품 제조업 외 3 종",충청남도 천안시 서북구 성환읍 성환1로 86
충청남도,천안시 서북구,(주)대광월드,계획입지,041-592-5885,자동차시트,기타 직물제품 제조업,충청남도 천안시 서북구 백석공단5길 25 (백석동)
충청남도,천안시 동남구,(주)대광정보통신,개별입지,041-564-1616,폐쇄회로카메라(CCTV)+대중방송장치,방송장비 제조업,충청남도 천안시 동남구 목천읍 충절로 793
충청남도,천안시 서북구,(주)대광테크,계획입지,,금형,절삭가공 및 유사처리업,충청남도 천안시 서북구 직산읍 4산단3로 52
충청남도,천안시 동남구,(주)대동,개별입지,041-554-3430,필름,플라스틱 필름 제조업 외 1 종,충청남도 천안시 동남구 수신면 장산동길 168-27 외 1필지
충청남도,천안시 동남구,(주)대동,개별입지,041-554-3430,통기성 컴파운드,합성수지 및 기타 플라스틱 물질 제조업,충청남도 천안시 동남구 수신면 발산4길 62-38 ((주)대동필림)
충청남도,천안시 서북구,(주)대동전자 천안공장,개별입지,041-582-3988,전기밥솥부품,가정용전열기기제조업,충청남도 천안시 서북구 성환읍 율금6길 118
충청남도,천안시 서북구,(주)대륙정공,개별입지,041-555-7511,검사구(지그)+금형,기타 가공 공작기계 제조업 외 1 종,충청남도 천안시 서북구 성환읍 율금3길 15
충청남도,천안시 동남구,(주)대림엠티아이,개별입지,041-552-7002,자동차단조부품+요크 샤프트외(자동차조향장치),그 외 자동차용 신품 부품 제조업 외 5 종,충청남도 천안시 동남구 수신면 수신로 262-71
충청남도,천안시 동남구,(주)대명에프에스,개별입지,041-583-8797,닭 로스+양념 돼지고기+양념 소고기+조미 양념,가금류 가공 및 저장 처리업 외 5 종,충청남도 천안시 동남구 성남면 용원1길 30-19
충청남도,천안시 동남구,(주)대명크라샤,개별입지,041-585-0585,산업용기계,그 외 기타 특수목적용 기계 제조업,"충청남도 천안시 동남구 성남면 성남로 230-16, 2-2동"
