순번,회사명,대표자명,공장대표주소(지번),업종명,전화번호,팩스번호,생산품
199,(주)케이에프엠,최준혁,충청남도 예산군 삽교읍 효림리 503번지 (예산일반산업단지),플라스틱 접착처리 제품 제조업 외 1 종,041-338-1201,041-338-1204,"PET 이형필름, PET보호테이프, 산업용특수테이프"
114,(주)씨오엠,박미라,충청남도 예산군 고덕면 오추리 829,"플라스틱 적층, 도포 및 기타 표면처리 제품 제조업 외 1 종",041-404-7620,,"점착테이프, 안면보호구"
43,(주)대현에스티제이비,김기성,충청남도 예산군 고덕면 오추리 829번지,"플라스틱 적층, 도포 및 기타 표면처리 제품 제조업",031-297-5973,031-297-5974,점착테이프
70,(주)명배메탈,문태승,충청남도 예산군 고덕면 상몽리 1031-2,"플라스틱 적층, 도포 및 기타 표면처리 제품 제조업",031-377-6828,031-377-6823,표면 보호 필름
71,(주)명배메탈 2공장,문명배,충청남도 예산군 고덕면 상몽리 1022,"플라스틱 적층, 도포 및 기타 표면처리 제품 제조업",041-337-6822,041-337-6820,표면보호필름
226,(주)한영이엔지,임상원,충청남도 예산군 삽교읍 두리 121-1번지,"플라스틱 선, 봉, 관 및 호스 제조업 외 3 종",041-338-1052,041-338-1053,상하수도관 외
254,금호석유화학(주),백종훈,충청남도 예산군 고덕면 호음리 284번지 외 3필지,"플라스틱 선, 봉, 관 및 호스 제조업 외 1 종",02-6303-3120,02-6303-3149,창호
9,(주)고비,신진욱,충청남도 예산군 고덕면 호음리 937번지,"플라스틱 선, 봉, 관 및 호스 제조업",041-338-8888,041-338-8889,내진 상하수도관 등
300,만대케미칼,김길자,충청남도 예산군 대술면 화산리 482-1 번지,"플라스틱 선, 봉, 관 및 호스 제조업",,032-657-2161,"기어박스밸브,휴대폰케이스"
516,한국벤토나이트(주),신동현,충청남도 예산군 응봉면 주령리 138-1,표면처리 및 적층 직물 제조업 외 1 종,041-333-2130,041-333-2132,"방수시트, 보조사료(혼합제 및 규산염제)"
365,안일산업사,안광호,충청남도 예산군 삽교읍 효림리 522번지 예산일반산업단지내,표면처리 및 적층 직물 제조업,,041-338-2998,초고압전선 피복재
397,예산군산림조합,임운규,충청남도 예산군 오가면 신장리 869-2번지 외 2필지,표면 가공 목재 및 특정 목적용 제재목 제조업,041-333-2501,,톱밥
470,주식회사 아름드리,최은경,충청남도 예산군 대술면 화산리 469-2 외 3필지,표면 가공 목재 및 특정 목적용 제재목 제조업,,041-333-2147,톱밥 및 우드칩
51,(주)동성화학,이재용,충청남도 예산군 삽교읍 효림리 174-10번지 예산일반산업단지,폴리스티렌 발포 성형제품 제조업 외 1 종,051-200-4571,051-204-5636,멜라민 폼
102,(주)스카이협정,김영호,충청남도 예산군 삽교읍 평촌리 191번지,폴리스티렌 발포 성형제품 제조업 외 1 종,041-337-7301,041-337-3302,사과난좌
318,삼박엘에프티(주),윤성택,충청남도 예산군 예산읍 간양리 133-1번지,폴리스티렌 발포 성형제품 제조업 외 1 종,041-330-8541,041-330-8539,프라스틱발포성형제품
380,엘이디라이팅(주),성종제,충청남도 예산군 고덕면 오추리 862번지 예당일반산업단지내,폴리스티렌 발포 성형제품 제조업 외 1 종,032-811-0666,032-812-0666,난연 스틸렌폼
461,주식회사 그린플라스틱,윤숙희,충청남도 예산군 고덕면 대천리 468-5 외 8필지,포장용 플라스틱 성형용기 제조업,,,PET병
305,문화직물주식회사,"배기태,배진태",충청남도 예산군 삽교읍 효림리 509번지 예산일반산업단지내,특수 직물 및 기타 직물 직조업 외 2 종,041-337-4501,041-337-4191,화섬직물
385,영승,박현숙이윤복,충청남도 예산군 신암면 오산리 566-1번지 외 1필지,특수 직물 및 기타 직물 직조업,041-332-2629,,붕대
338,선광자동밸브,주명택,충청남도 예산군 신암면 신종리 222번지 외 5필지,"탭, 밸브 및 유사장치 제조업",031-045-9393,,자동밸브
402,예산주가영농조합법인,전장희,충청남도 예산군 예산읍 간양리 276-2번지,탁주 및 약주 제조업,041-542-0852,,"탁주,약주"
404,예성주가 영농조합법인,이상조,충청남도 예산군 대술면 시산리 483-18번지,탁주 및 약주 제조업,041-331-5591,,탁주
174,(주)이천도예타일,이현규,충청남도 예산군 대술면 궐곡리 45-1번지,타일 및 유사 비내화 요업제품 제조업,041-0333-2267,,벽타일
340,선테크,이득수,충청남도 예산군 예산읍 주교리 511-13번지 예산읍 주교리 511-13,타일 및 유사 비내화 요업제품 제조업,041-332-2268,041-332-2267,아트타일
368,에스엠인더스트리(주) 케이티세라믹 사업부 예산지점,이상근,충청남도 예산군 신암면 두곡리 282번지,타일 및 유사 비내화 요업제품 제조업,041-331-3011,041-331-0400,타일
437,이화산업(주),최동재,충청남도 예산군 신암면 신종리 345-0번지,타일 및 유사 비내화 요업제품 제조업,02-2273-1136,041-331-0116,타일
495,천광산업(주),유관희,충청남도 예산군 신암면 두곡리 282-0번지,타일 및 유사 비내화 요업제품 제조업,041-331-3011,041-333-3009,바닥타일
237,GR테크,김병두,충청남도 예산군 신양면 연리 139-3,"콘크리트 타일, 기와, 벽돌 및 블록 제조업",,041-532-9736,"콘크리트 블럭, 콘크리트 벽돌"
275,대림블럭,임석구,충청남도 예산군 고덕면 대천리 606-1번지,"콘크리트 타일, 기와, 벽돌 및 블록 제조업",041-337-8554,041-331-5773,"시멘트벽돌,블록"
276,대산벽돌,손건수,충청남도 예산군 삽교읍 신가리 393-1번지,"콘크리트 타일, 기와, 벽돌 및 블록 제조업",041-338-5600,041-0338-3736,"시멘트 벽돌,블록"
328,삼태콘크리트,김현호,충청남도 예산군 예산읍 주교리 489-4번지,"콘크리트 타일, 기와, 벽돌 및 블록 제조업",041-331-3740,041-331-0325,"시멘트벽돌,블럭"
449,정남기업,김길남,충청남도 예산군 예산읍 대회리 243-1번지,"콘크리트 타일, 기와, 벽돌 및 블록 제조업",,,"시멘트벽돌,블럭"
487,중앙건재,김수회,충청남도 예산군 오가면 신원리 469-4번지,"콘크리트 타일, 기와, 벽돌 및 블록 제조업",041-335-6661,,"벽돌, 블록"
87,(주)삼진에코텍,이상환,충청남도 예산군 대술면 산정리 132-8번지 (산정리 132-8) 외 3필지,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 2 종,041-333-8616,,"콘크리트수로관,환경블럭, 식생매트"
313,봉명산업개발,어용구,충청남도 예산군 봉산면 당곡리 81-0번지,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업,,,조립식공포
496,청람콘크리트(주),현창성,충청남도 예산군 봉산면 구암리 42-1번지 외 2필지,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업,041-337-0541,041-337-0544,콘크리트수로관
376,에프앤뷰티(주),김진민,충청남도 예산군 삽교읍 효림리 479번지 208호,"치약, 비누 및 기타 세제 제조업 외 2 종",,,"제1종 세척제, 화장품, 샴푸발포정"
205,(주)태정,홍영만,충청남도 예산군 예산읍 주교리 511-8번지,"치약, 비누 및 기타 세제 제조업 외 1 종",041-334-0205,041-335-4474,"세정제,의료용기기"
216,(주)하이브트레이딩,김용배,충청남도 예산군 고덕면 몽곡리 1020,"치약, 비누 및 기타 세제 제조업",0507-1411-8543,0303-3442-8543,세탁세제
299,로드에프,이난희,충청남도 예산군 고덕면 몽곡리 1025,"치약, 비누 및 기타 세제 제조업",041-532-7610,041-532-7612,"주방세제, 합성세제, 세정제, 섬유유연제, 세탁세제"
229,(주)할인점나라,이차영,충청남도 예산군 신암면 조곡리 227-5번지,"체조, 육상 및 체력단련용 장비 제조업 외 1 종",031-475-5501,041-333-3685,"커피,운동기구"
40,(주)대웅자원,황의창,충청남도 예산군 덕산면 광천리 1032-1번지,천연수지 및 나무 화학물질 제조업 외 1 종,041-337-1221,,"숯,톱밥"
509,푸드디자인테크벤쳐(주),박원종,충청남도 예산군 예산읍 대회리 1번지 공주대학교 산업대학 식품 공학과 가공학실험실,천연 및 혼합조제 조미료 제조업 외 2 종,041-330-1491,041-330-2149,"소스, 조미식품"
347,송백식품(주),심호섭,충청남도 예산군 삽교읍 상하리 330-21번지 외 2필지,천연 및 혼합조제 조미료 제조업 외 1 종,,,"쭈꾸미양념, 김치저림양념, 각종무침양념, 고추가루, 포장용 즉석조리 식품(찌개류)"
408,예일테크,조성훈,충청남도 예산군 예산읍 예산리 352-2번지,"천막, 텐트 및 유사 제품 제조업 외 1 종",041-334-2516,,김장매트
494,천광산업,이경수,충청남도 예산군 신암면 계촌리 181-12번지,"천막, 텐트 및 유사 제품 제조업 외 1 종",041-331-1214,041-331-1215,차광망
153,(주)오텍,강성희,충청남도 예산군 고덕면 호음리 930번지,차체 및 특장차 제조업 외 4 종,041-339-3300,041-338-9830,"특장차, 차체용부품,기계식주차설비"
285,대흥특장정공(주),허길용,충청남도 예산군 오가면 월곡리 142-3번지 (월곡리 142-3),차체 및 특장차 제조업 외 2 종,,,셀프로더
194,(주)천지인터내셔널트럭,김미순,충청남도 예산군 봉산면 효교리 143-18번지,차체 및 특장차 제조업 외 1 종,041-337-7666,041-337-9937,특수자동차
312,보물에프엘,박준하,충청남도 예산군 고덕면 오추리 873,차체 및 특장차 제조업 외 1 종,041-338-0996,041-338-0997,"차체 및 특장차, 건설기계"
446,자연건강영농조합법인,조광숙,충청남도 예산군 삽교읍 신리 298-3번지,차류 가공업,041-337-4322,041-337-4322,"더덕차,두충차,솔잎차,영지차"
381,엠에스빌트(주),박력,충청남도 예산군 삽교읍 효림리 516,"증류기, 열교환기 및 가스발생기 제조업",041-404-7766,,지열발전용 지중 열교환기
427,유한책임회사 디엠테크,권충호,충청남도 예산군 고덕면 오추리 853번지,주형 및 금형 제조업,041-330-5011,041-330-5051,금형제조 및 가공기계
468,주식회사 세인,김해범,충청남도 예산군 신암면 오산리 380-5번지 외 1필지,주방용 전기기기 제조업 외 4 종,041-332-6522,041-322-6325,음식물분쇄처리기
95,(주)세라텍,이규민,충청남도 예산군 신암면 신종리 211번지,정형 내화 요업제품 제조업 외 1 종,02-583-3308,,내화모르타르
50,(주)동부켐텍,이상신,충청남도 예산군 고덕면 오추리 867번지,접착제 및 젤라틴 제조업 외 1 종,041-404-8040,041-404-8041,"산업용 접착제, 화학설비"
88,(주)삼호화성,조중환,충청남도 예산군 고덕면 오추리 806번지 (예당일반산업단지),접착제 및 젤라틴 제조업 외 1 종,031-355-4215,031-355-4214,"합성수지, 접착제"
34,(주)대도실업,현종구,충청남도 예산군 응봉면 송석리 288-2번지,"점토 벽돌, 블록 및 유사 비내화 요업제품 제조업 외 1 종",041-333-2316,,적연와
403,예산황토벽돌,임정근,충청남도 예산군 신암면 오산리 산 23-7,"점토 벽돌, 블록 및 유사 비내화 요업제품 제조업",,,황토벽돌
143,(주)영강,마경희,충청남도 예산군 고덕면 오추리 801번지 외 1필지,절삭가공 및 유사처리업 외 1 종,041-338-5240,041-338-5244,"절삭가공제품 및 유사처리제품, 산업용 냉장 및 냉동장비, 판금 냉동부품 등"
225,(주)한승,정해린,충청남도 예산군 고덕면 몽곡리 1022번지 (예당일반산업단지),절삭가공 및 유사처리업 외 1 종,041-337-4100,041-337-4101,특장차용 유압 로타리 조인트 및 전기 슬립링
142,(주)영강,마경희,충청남도 예산군 고덕면 오추리 801-1번지 예당일반산업단지,절삭가공 및 유사처리업,041-338-5240,041-338-5244,밴딩부품및 에어컨부품
288,동광금속,현권섭,충청남도 예산군 삽교읍 역리 243-1번지,절삭가공 및 유사처리업,041-337-3330,,"압력밥솥,냄비"
384,영강정밀산업,마경희,충청남도 예산군 고덕면 오추리 800번지,절삭가공 및 유사처리업,041-338-5240,041-338-5244,밴딩부품및 에어컨부품
452,제레스팜(주),전병준,충청남도 예산군 예산읍 대회리 1-0 공주대학교산업과학대학 학생회관 216호,전시용 모형 제조업,,,수경재배 기자재
322,삼영전기(주),황순태,충청남도 예산군 삽교읍 신가리 737-4번지 외 1필지,전동기 및 발전기 제조업 외 1 종,041-334-4234,,"PLC(프로그램 내장컨트롤러),AC/AD서보모터 등 "
409,오성전기주식회사,오용석,충청남도 예산군 예산읍 예산리 676-10번지,전동기 및 발전기 제조업,041-335-7228,,태양광발전장치
523,한국홀셋커민스터보엔진 주식회사,강창희,충청남도 예산군 응봉면 주령리 132-6,전동기 및 발전기 제조업,,,발전기
383,엠피테크,박선규,충청남도 예산군 예산읍 산성리 839번지 103호(장애인기업종합지원센터),전기회로 접속장치 제조업 외 3 종,042-670-8230,,분전반
66,(주)맥스럭,김홍길,충청남도 예산군 신암면 계촌리 144번지,전구 및 램프 제조업 외 2 종,041-333-8058,041-534-3014,"자동차 전구,조명설비,안정기"
137,(주)엔터상사,이은용,충청남도 예산군 대술면 궐곡리 305번지,"적층, 합성 및 특수표면처리 종이 제조업 외 1 종",041-335-0556,070-7614-2465,"접착테이프,플라스틱제품"
255,기산산업,구성회,충청남도예산군 신암면 두곡리 306-10,"적층, 합성 및 특수표면처리 종이 제조업",,,라미네이팅 면테이프
382,엠파인켐(주),민한기,충청남도 예산군 신암면 두곡리 306-10번지,"적층, 합성 및 특수표면처리 종이 제조업",041-332-4511,041-332-4513,방습포장지
35,(주)대복식품,"김도수, 김도연",충청남도 예산군 삽교읍 효림리 496번지 (예산일반산업단지내) 외 1필지,장류 제조업 외 1 종,041-664-3976,041-664-3976,"청국장, 다시마/미역"
45,(주)더본코리아 백석공장,백종원,충청남도 예산군 오가면 역탑리 359-71 번지,장류 제조업,041-332-2600,,"장류(간장,된장,고추장,메주)"
485,주식회사나누리,임연찬,충청남도 예산군 신암면 신종리 207번지 외 3필지,자동차용 신품 전기장치 제조업 외 4 종,,,"파워윈도우모터,와이퍼시스템"
15,(주)나이스엘엠에스,박용찬,충청남도 예산군 예산읍 관작리 276-6,자동차용 신품 의자 제조업,041-331-6390,041-332-1137,자동차 시트레일
443,일창정공,서상일,충청남도 예산군 고덕면 몽곡리 1014번지 예당일반산업단지내,자동차용 금속 압형제품 제조업 외 2 종,041-338-8790,041-338-8792,냉장고용 압축기 부품및 금형
157,(주)원창엔지니어링,"장봉식, 황옥순",충청남도 예산군 고덕면 몽곡리 1007 외 2필지,자동차용 금속 압형제품 제조업 외 1 종,031-351-0758,031-351-2947,프레스가공품
211,(주)폼텍코리아,박상전,충청남도 예산군 고덕면 호음리 930번지,자동차 차체용 신품 부품 제조업 외 4 종,041-338-4114,,"탑차용판넬,앰블런스,냉동탑차"
10,(주)관작진테크,손덕호,충청남도 예산군 예산읍 관작리 276-2번지,자동차 차체용 신품 부품 제조업 외 1 종,041-6750-0580,041-335-5062,도어 트림
122,(주)에스아이디,손진훈,충청남도 예산군 예산읍 주교리 511-9번지,자동차 차체용 신품 부품 제조업 외 1 종,041-334-2004,041-334-2009,"도어트림, 암레스트"
182,(주)조일,김수열,충청남도 예산군 대술면 화산리 433-1번지 외 8필지,자동차 차체용 신품 부품 제조업 외 1 종,041-332-2622,041-332-2623,자동차 차체용부품
234,(주)화신,정서진,충청남도 예산군 오가면 신장리 903-7번지,자동차 차체용 신품 부품 제조업 외 1 종,041-330-3300,041-333-8448,로우암
294,동화기업,박남준,충청남도 예산군 오가면 오촌리 343번지,자동차 차체용 신품 부품 제조업 외 1 종,041-0333-8252,,자동차차체용부품
493,진테크(주),손덕호,충청남도 예산군 예산읍 관작리 276-3 번지,자동차 차체용 신품 부품 제조업 외 1 종,041-335-5111,041-335-5062,자동차부품(도어)
539,현대제철(주)예산1공장,안동일,충청남도 예산군 삽교읍 효림리 555-0,자동차 차체용 신품 부품 제조업 외 1 종,032-760-2114,032-763-5046,자동차 차체용 부품
540,현대제철(주)예산2공장,안동일,충청남도 예산군 삽교읍 효림리 498,자동차 차체용 신품 부품 제조업 외 1 종,032-760-2114,032-763-5046,"자동차 차체부품, 강관부품"
542,호정산업,이국진,충청남도 예산군 신암면 용궁리 2-3번지,자동차 차체용 신품 부품 제조업 외 1 종,041-331-0261,,자동차 차체부품
89,(주)삼화테크,박용균,충청남도 예산군 예산읍 관작리 276-4번지,자동차 차체용 신품 부품 제조업,053-581-6024,053-584-0338,로어암
111,(주)심원개발,이강섭,충청남도 예산군 삽교읍 효림리 498,자동차 차체용 신품 부품 제조업,070-4901-5152,041-337-4605,자동차 차체용 부품
112,(주)심원개발,이강섭,충청남도 예산군 삽교읍 효림리 555-0,자동차 차체용 신품 부품 제조업,070-4901-5152,041-337-4605,자동차 차체용 부품
181,(주)조일,김수열,충청남도 예산군 대술면 화산리 410-1번지 외 2필지,자동차 차체용 신품 부품 제조업,041-332-2622,,자동차 차체용 부품
538,현대제철(주),안동일,충청남도 예산군 삽교읍 월산리 173번지,자동차 차체용 신품 부품 제조업,032-760-2114,032-763-5046,자동차 차체용 부품
5,(주)경양산업,한은수,충청남도 예산군 대술면 화산리 428번지 외 2필지,자동차 차체용 부품 제조업 외 1 종,041-333-3811,,"자동차용 몰딩품, 표면보호테이프"
90,(주)새한,김해동,충청남도 예산군 응봉면 주령리 407번지 예산일반산업단지내,자동차 엔진용 신품 부품 제조업 외 1 종,041-337-5790,041-337-5792,캠샤프트용부품
439,인지컨트롤스(주),정구용,충청남도 예산군 예산읍 관작리 276-14번지 인지디스플레이(TOX동),자동차 엔진용 신품 부품 제조업 외 1 종,041-334-8462,043-499-0209,자동차부품
504,코로스전지 주식회사,김성훈,충청남도 예산군 예산읍 신례원리 433 112호,일차전지 제조업 외 1 종,02-588-4008,02-598-4009,"리튬일차전지, 이차전지 배터리팩"
129,(주)에스코스틸,유정환,충청남도 예산군 고덕면 상궁리 582-2번지,일반철물 제조업,032-329-3935,,"철골조, 철판플레이드,복공판"
330,삼화그린텍(주),남은정,충청남도 예산군 예산읍 주교리 511-12번지,일반용 전기 조명장치 제조업 외 5 종,041-332-4888,041-332-4887,"가로등, 배전반, 조명등,계측기기,유량계 등"
349,스카이솔라(주),장경희,충청남도 예산군 예산읍 창소리 411-2 외 2필지,일반용 전기 조명장치 제조업,,,태양광가로등
85,(주)삼중,이상문,충청남도 예산군 고덕면 오추리 804번지,일반용 도료 및 관련제품 제조업 외 4 종,041-967-4500,041-967-1821,"도료용 희석제,방수재 실란트, 에폭시 등 "
308,바이켐(주),"이선화, 이범환",충청남도 예산군 삽교읍 효림리 520번지 (예산일반산업단지),일반용 도료 및 관련제품 제조업 외 3 종,041-404-1800,041-404-1888,"도료 및 관련제품 , 산업용친환경세정제"
63,(주)마이크로케미,박제정,충청남도 예산군 삽교읍 효림리 529,일반용 도료 및 관련제품 제조업 외 2 종,041-338-4863,041-338-4865,"도료,  잉크"
119,(주)앰트,김남훈,충청남도 예산군 고덕면 오추리 808번지 (예당일반산업단지),일반용 도료 및 관련제품 제조업 외 1 종,041-338-3723,031-400-3728,기능성재료
56,(주)디에스텍,윤선미,충청남도 예산군 고덕면 몽곡리 1026-1번지,일반용 도료 및 관련제품 제조업,041-338-9667,041-338-9668,광학필름용 코팅 도료
219,(주)한국로바,한승헌,충청남도 예산군 예산읍 주교리 511-16,일반용 도료 및 관련제품 제조업,041-335-4203,041-335-4204,PVC TARPULIN 도료
444,일평산업,이영란,충청남도 예산군 고덕면 대천리 33-15번지,일반용 도료 및 관련제품 제조업,041-337-6015,,합성수지반제품
530,한일제재산업,전차식,충청남도 예산군 예산읍 창소리 504-3번지,일반 제재업,041-334-3000,041-334-3311,"목재,각재"
527,한양잉크(주),임상헌,충청남도 예산군 고덕면 몽곡리 1009번지 외 1필지,인쇄잉크 및 회화용 물감 제조업 외 1 종,02-2676-6667,02-2671-9686,"잉크, 합성수지"
438,인삼곳간영농조합법인,이준호,충청남도 예산군 덕산면 대치리 320-2번지 외 1필지,인삼식품 제조업,,041-338-4997,홍삼가공제품
57,(주)디제이씨,김정호,충청남도 예산군 삽교읍 효림리 502번지 예산일반산업단지내,의약용 화합물 및 항생물질 제조업 외 2 종,041-338-7887,041-337-0604,의약품중간체및 화학제품
183,(주)종근당바이오,강희일,충청남도 예산군 삽교읍 효림리 479번지 본관동 1층 101 101호,의약용 화합물 및 항생물질 제조업 외 1 종,02-2194-0540,02-2194-0585,동물용원료의약품
301,메디앙스(주),박수찬,충청남도 예산군 응봉면 증곡리 524번지 외 3필지,의료용품 및 기타 의약관련제품 제조업 외 2 종,041-330-9500,041-330-9503,"화장품, 의약외품, 생활용품"
2,(부)보령수앤수,진유성,충청남도 예산군 응봉면 증곡리 334-4 번지,의료용품 및 기타 의약관련제품 제조업,02-740-4267,02-708-8426,의료용품
59,(주)레드앤블루,유승모,"충청남도 예산군 예산읍 신례원리 433번지 충남테크노파크 충남테크노파크 자동차센터 301호,302호,313호,314호",의료용품 및 기타 의약 관련제품 제조업 외 4 종,02-545-6119,02-701-4100,"체외충격파, 통증진단 치료장비"
230,(주)해피코리아,한경준,충청남도 예산군 삽교읍 효림리 474번지,의료용품 및 기타 의약 관련제품 제조업 외 1 종,041-338-8387,041-622-8898,의료용 소독제
303,명진기업,조요삼,충청남도 예산군 신암면 오산리 382번지,의료용품 및 기타 의약 관련제품 제조업,041-332-6113,041-332-4345,붕대
345,세양직물,강상도,충청남도 예산군 신암면 오산리 381-2번지,의료용품 및 기타 의약 관련제품 제조업,041-333-1711,041-332-7439,거즈원단
249,교도유시스카이(주),사토에이지,충청남도 예산군 예산읍 주교리 511-10 번지,윤활유 및 그리스 제조업,041-331-2880,041-331-2888,그리스
478,주식회사 창대,이노아,충청남도 예산군 응봉면 계정리 409-2번지,육상 금속 골조 구조재 제조업 외 7 종,041-641-3106,041-641-3107,"가로등,차량방호울타리,난간"
419,웅진산업(주),손익균,충청남도 예산군 대술면 궐곡리 41번지,육상 금속 골조 구조재 제조업 외 4 종,041-331-3565,041-331-3607,상하수도 강관
250,구산금속,허금자,충청남도 예산군 예산읍 관작리 276-6번지 나동,육상 금속 골조 구조재 제조업 외 3 종,,,"가로등주,등기구,LED등기구"
86,(주)삼진알엔피에프건설,임호순,충청남도 예산군 신암면 조곡리 195-15 외 6필지,육상 금속 골조 구조재 제조업 외 1 종,041-4103-1206,,철재류(H빔) 가공품
158,(주)윈스틸,송규정,,육상 금속 골조 구조재 제조업 외 1 종,041-338-0048,041-338-6006,"테크플레이트,금속가설울타리"
291,동방엔지니어링(주),이호건,충청남도 예산군 고덕면 대천리 413-1번지 외 7필지,육상 금속 골조 구조재 제조업 외 1 종,032-562-8493,,원추형나선형철근망
293,동원산업,정동근,충청남도 예산군 응봉면 주령리 133번지 외 3필지,육상 금속 골조 구조재 제조업 외 1 종,,,"H빔, ㄷ형강"
327,삼진중공업(주),임호순,충청남도 예산군 신암면 조곡리 10번지 외 1필지,육상 금속 골조 구조재 제조업 외 1 종,,,철재류(H-BEAM)
353,신성물산,최경희,충청남도 예산군 신암면 오산리 447-2,육상 금속 골조 구조재 제조업 외 1 종,070-4349-3674,,철강교조립구조물
405,예원농자재,유승하,충청남도 예산군 대술면 화산리 475-1번지 외 1필지,육상 금속 골조 구조재 제조업 외 1 종,,,패드(하우스부품)
