연번,산업단지명,입주업체명,주소,전화번호,데이터기준일자
98,예산예당일반산업단지,(주)엠에스머트리얼즈 제2공장,충청남도 예산군 고덕면 예당산단3길 39,041-856-5551,2023-09-15
99,예산예당일반산업단지,(주)엠에스유니켐,충청남도 예산군 고덕면 예당산단4길 62,041-338-2301,2023-09-15
100,예산예당일반산업단지,(주)영강,"충청남도 예산군 고덕면 예당산단2길 14-19, 예당일반산업단지",041-338-5240,2023-09-15
101,예산예당일반산업단지,(주)영강,충청남도 예산군 고덕면 오추리 801번지 외 1필지,041-338-5240,2023-09-15
102,예산예당일반산업단지,(주)영미에너지,"충청남도 예산군 고덕면 예당산단3길 106, (주)영철강 건물 위",062-955-7885,2023-09-15
103,예산예당일반산업단지,(주)영스틸,충청남도 예산군 고덕면 예당산단3길 106,041-337-7885,2023-09-15
104,예산예당일반산업단지,(주)원창엔지니어링,충청남도 예산군 고덕면 몽곡리 1007 외 2필지,031-351-0758,2023-09-15
105,예산예당일반산업단지,(주)인터폴리머코리아,충청남도 예산군 고덕면 오추리 812번지,031-384-2678,2023-09-15
106,예산예당일반산업단지,(주)지에프,충청남도 예산군 고덕면 몽곡리 1016번지 외 1필지,031-483-2300,2023-09-15
107,예산예당일반산업단지,(주)진일테크,"충청남도 예산군 고덕면 예당산단1길 9, 예당일반산업단지내",031-437-0600,2023-09-15
108,예산예당일반산업단지,(주)케이플러스산업,충청남도 예산군 고덕면 예당산단2길 14-16,041-338-1185,2023-09-15
109,예산예당일반산업단지,(주)페트로산업,충청남도 예산군 고덕면 예당산단4길 77,041-337-9071,2023-09-15
110,예산예당일반산업단지,(주)프리맥스,충청남도 예산군 고덕면 예당산단2길 19,041-404-8550,2023-09-15
111,예산예당일반산업단지,(주)하이브트레이딩,충청남도 예산군 고덕면 몽곡리 1020,0507-1411-8543,2023-09-15
112,예산예당일반산업단지,(주)하이퍼케미,충청남도 예산군 고덕면 오추리 874,041-6532-6492,2023-09-15
113,예산예당일반산업단지,(주)한솔패널시스템,충청남도 예산군 고덕면 예당산단2길 14-5,041-338-7633,2023-09-15
114,예산예당일반산업단지,(주)한승,충청남도 예산군 고덕면 몽곡리 1022번지 (예당일반산업단지),041-337-4100,2023-09-15
115,예산예당일반산업단지,(주)화성스틸판넬,"충청남도 예산군 고덕면 예당산단2길 14-5, (예당일반산업단지)",031-655-9333,2023-09-15
116,예산예당일반산업단지,금강기획,충청남도 예산군 고덕면 예당산단7길 42,041-337-5724,2023-09-15
117,예산예당일반산업단지,로드에프,충청남도 예산군 고덕면 몽곡리 1025,041-532-7610,2023-09-15
118,예산예당일반산업단지,보물에프엘,충청남도 예산군 고덕면 오추리 873,041-338-0996,2023-09-15
119,예산예당일반산업단지,삼지금속공업(주),충청남도 예산군 고덕면 오추리 825번지 (예당일반산업단지),041-337-3933,2023-09-15
120,예산예당일반산업단지,선진금속,"충청남도 예산군 고덕면 오추길 96-43, 예당일반산업단지",031-498-1118,2023-09-15
121,예산예당일반산업단지,성광금속(주),충청남도 예산군 고덕면 오추리 849번지 외 1필지,02-2604-5800,2023-09-15
122,예산예당일반산업단지,성광에스티에스,충청남도 예산군 고덕면 오추리 849-1번지 외 2필지,031-986-1992,2023-09-15
123,예산예당일반산업단지,세라(주),충청남도 예산군 고덕면 예당산단1길 15,031-486-3654,2023-09-15
124,예산예당일반산업단지,신영화성(주),"충청남도 예산군 고덕면 예당산단4길 45, (예당일반산업단지)",041-337-5174,2023-09-15
125,예산예당일반산업단지,씨에스아이엠(주),충청남도 예산군 고덕면 예당산단7길 32,041-337-0880,2023-09-15
126,예산예당일반산업단지,씨에스아이엠(주),충청남도 예산군 고덕면 오추리 872번지,070-4335-1591,2023-09-15
127,예산예당일반산업단지,에스에이치테크(주),"충청남도 예산군 고덕면 예당산단4길 137, 예당일반산업단지내",041-404-8040,2023-09-15
128,예산예당일반산업단지,에이치피코리아(주),충청남도 예산군 고덕면 예당산단2길 33 외 1필지,041-338-0703,2023-09-15
129,예산예당일반산업단지,에이치피코리아(주),"충청남도 예산군 고덕면 예당산단2길 14-5, 오추리 798 외 1필지",042-931-6416,2023-09-15
130,예산예당일반산업단지,엔알지(주),충청남도 예산군 고덕면 오추리 837번지 외 4필지,02-2028-1711,2023-09-15
131,예산예당일반산업단지,엔에이치스틸(주),충청남도 예산군 고덕면 예당산단1길 50,041-8905-7741,2023-09-15
132,예산예당일반산업단지,엘이디라이팅(주),충청남도 예산군 고덕면 오추리 862번지 예당일반산업단지내,032-811-0666,2023-09-15
133,예산예당일반산업단지,영강정밀산업,충청남도 예산군 고덕면 오추리 800번지,041-338-5240,2023-09-15
134,예산예당일반산업단지,유한책임회사 대솔아이엔티 예당공장,충청남도 예산군 고덕면 예당산단6길 77,041-338-9471,2023-09-15
135,예산예당일반산업단지,유한책임회사 디엠테크,충청남도 예산군 고덕면 예당산단5길 30,041-330-5011,2023-09-15
136,예산예당일반산업단지,이레테크,충청남도 예산군 고덕면 오추리 812-1번지,041-8717-1557,2023-09-15
137,예산예당일반산업단지,일창정공,"충청남도 예산군 고덕면 예당산단1길 13, 예당일반산업단지내",041-338-8790,2023-09-15
138,예산예당일반산업단지,주식회사 컬러무빙,충청남도 예산군 고덕면 예당산단7길 50,041-337-3327,2023-09-15
139,예산예당일반산업단지,주식회사 피에스케미칼,충청남도 예산군 고덕면 예당산단3길 28,041-338-8727,2023-09-15
140,예산예당일반산업단지,케피온(주)예산공장,충청남도 예산군 고덕면 몽곡리 1026번지 예당일반산업단지내,041-338-5253,2023-09-15
141,예산예당일반산업단지,파인쿡,충청남도 예산군 고덕면 오추리 871번지 예당일반산업단지,041-9982-3002,2023-09-15
142,예산예당일반산업단지,한양잉크(주),충청남도 예산군 고덕면 몽곡리 1009번지 외 1필지,02-2676-6667,2023-09-15
143,예산신소재일반산업단지,(주)대광주철,충청남도 예산군 고덕면 상몽산단로 136,041-337-7250,2023-09-15
144,예산신소재일반산업단지,(주)디케이캐스팅,충청남도 예산군 고덕면 상몽산단로 148,031-996-1721,2023-09-15
145,예산신소재일반산업단지,(주)레드앤블루,충청남도 예산군 고덕면 상몽산단2길 73,041-331-6119,2023-09-15
146,예산신소재일반산업단지,(주)명배메탈,충청남도 예산군 고덕면 상몽산단2길 46,031-377-6828,2023-09-15
147,예산신소재일반산업단지,(주)명배메탈 2공장,충청남도 예산군 고덕면 상몽리 1022,041-337-6822,2023-09-15
148,예산신소재일반산업단지,(주)비씨에스,충청남도 예산군 고덕면 상몽산단2길 44,041-8687-1080,2023-09-15
149,예산신소재일반산업단지,(주)세움환경,충청남도 예산군 고덕면 상몽산단로 162,041-331-5503,2023-09-15
150,예산신소재일반산업단지,(주)오천피에스텍,충청남도 예산군 고덕면 상몽리 1043,041-522-5811,2023-09-15
151,예산신소재일반산업단지,(주)와이파인텍 ,충청남도 예산군 고덕면 상몽리 1012,043-233-4677,2023-09-15
152,예산신소재일반산업단지,(주)우리바이오,충청남도 예산군 고덕면 상몽산단로 162,041-337-7772,2023-09-15
153,예산신소재일반산업단지,(주)유기산업,충청남도 예산군 고덕면 상몽산단2길 72,041-338-2462,2023-09-15
154,예산신소재일반산업단지,(주)이덕아이앤씨,충청남도 예산군 고덕면 상몽산단로 99,02-2146-0940,2023-09-15
155,예산신소재일반산업단지,(주)이수카본,충청남도 예산군 고덕면 상몽산단로 111,02-2613-8778,2023-09-15
156,예산신소재일반산업단지,(주)태진기연,"충청남도 예산군 고덕면 상몽리 산 36-67번지 일원, BL 3-2",032-863-0061,2023-09-15
157,예산신소재일반산업단지,(주)한민,충청남도 예산군 고덕면 상몽리 1028 외 1필지,041-532-8195,2023-09-15
158,예산신소재일반산업단지,(주)한민에코텍,충청남도 예산군 고덕면 상몽리 1025 외 1필지,041-532-8195,2023-09-15
159,예산신소재일반산업단지,대한금속공업(주),충청남도 예산군 고덕면 상몽산단1길 8,041-337-5211,2023-09-15
160,예산신소재일반산업단지,에이비이씨산업(주),충청남도 예산군 고덕면 상몽리 1020번지,052-255-9000,2023-09-15
161,예산신소재일반산업단지,에이치케이스틸 주식회사,충청남도 예산군 고덕면 상몽산단2길 12,041-404-7406,2023-09-15
162,예산신소재일반산업단지,유스코(주),충청남도 예산군 고덕면 상몽리 1014번지,041-6244-3533,2023-09-15
163,예산신소재일반산업단지,이엔지스틸(주) 예산1공장,충청남도 예산군 고덕면 상몽산단2길 51 외 2필지,041-533-9322,2023-09-15
164,예산신소재일반산업단지,이엔지스틸(주) 예산2공장,충청남도 예산군 고덕면 상몽산단2길 54 외 1필지,041-533-9322,2023-09-15
165,예산신소재일반산업단지,일신그린철강(주),충청남도 예산군 고덕면 상몽리 산 36-67번지 BL 3-4,02-6265-0303,2023-09-15
166,예산신소재일반산업단지,주식회사 씨케이텍,충청남도 예산군 고덕면 상몽산단2길 61,070-4651-4241,2023-09-15
167,예산신소재일반산업단지,플래티넘맥주(주),충청남도 예산군 고덕면 상몽산단2길 40,041-337-6003,2023-09-15
