업체명,대표자,주소, 전화 , 주생산품 ,업종구분,산업분류코드,팩스번호,고용인원수
㈜필택산업,송준호,운곡면 청신로 567-25, 041-944-2001 ," 웜 감속기, 농업용 악취탈취기 ", 기어 및 동력전달장치 제조업 외 5종 ,"29142, 22229, 22249, 29131, 29176, 29210",041-944-2223,14
㈜다원산업,현은미,운곡면 청신로 567-34, 041-943-1401 , 용배수로관 ," 콘크리트관 및 기타 구조용 콘크리트 제품 제조업,인조대리석 제품 제조업 ","23325, 23326",041-944-1113,14
계룡환경㈜,송준호,운곡면 청신로 567-83, 041-943-1019 ," 물탱크, 소독기, 정수장치, 무선수위조절기, 상수도관, 자외선살균기, 정수장치 ", 금속탱트 및 저장용기 제조업 외 18종 ,"25122, 25111, 25113, 25114, 25123, 27199, 27215, 27216, 28123, 29131, 29133, 29169, 29171, 29172, 29173, 29175, 29176, 29177, 29210",041-944-1019,11
㈜아라,민경호,운곡면 청신로 567-62,," 가동보, 수문, 수문권양기, 제진기 ", 농업 및 임업용 기계 제조업 외 4종 ,"29210, 29133, 29163, 29169, 29176",0303-3130-0585,4
청양이앤알㈜,조문기,운곡면 청신로 567-51," 041-944-2268,031-469-9998 ", 재생플라스틱 칩 ," 혼성 및 재생 플라스틱,소재 물질 제조업 ",20203,041-944-2269,0
(재)청양군지역활성화재단,윤여권,운곡면 신대길 42, 041-942-9737 , 추출농축액 ," 기타 과실,채소 가공 및,저장 처리업 ",10309,041-942-9739,7
락토코리아㈜,서동석,운곡면 신대길 14-22, 041-943-7513 ," 유제품, 전지분유, 유청분말, 혼합탈지분 ", 액상시유 및 기타 낙농제품 제조업 ,10421,041-943-7506,21
㈜우양 청양공장,"이구열,박경훈",운곡면 신대길 14-5, 041-942-2911 , 냉동식품 ," 기타 과실, 채소 가공 및 저장 처리업,김치류 제조업,과실 및 그외 채소 절임식품 제조업 ","10309, 10301, 10302",041-944-1628,122
㈜우양 청양2공장(뉴뜨레),"이구열,박경훈",운곡면 신대길 14-26, 041-942-2911 ," 과실, 채소 가공품 "," 기타 과실,채소 가공 및 저장 처리업,김치류 제조업 ","10309, 10301",,43
그린텍(주),조영란,운곡면 신대길 14-28, 041-942-8075 , 가공플라스틱(자동차범퍼원료) , 혼성 및 재생 플라스틱 소재 물질 제조업 ,20203,041-942-8076,26
영수식품㈜,정헌민,운곡면 신대길 32-15, 041-943-5697 ," 물엿, 조청, 올리고당 ", 전분제품 및 당류 제조업 외 5종 ,"10520, 10412, 10413, 10832, 10833, 68112",041-943-6183,20
㈜ 동방,김병국,운곡면 신대길 14-24, 041-943-2299 ," 유제품, 떡류 "," 액상시유 및 기타 낙농제품 제조업,떡류 제조업 ","10421, 10601",041-943-2209,70
씨에스테크,성시옥,운곡면 신대길 14-16, 070-7525-7577 , 자동제어반 , 배전반 및 전기 자동제어반 제조업 ,28123,041-943-6578,13
나무들㈜,김기배,운곡면 신대길 14-16," 041-943-6242,042-535-6241 "," 목재데크, 야자매트, 강화목재 ", 일반제제업 플라스틱 제품 제조업 외 5종 ,"16101, 16300, 22299, 25112, 25113, 33302, 68112","041-943-6243,042-535-6243",18
한궁세계화연구소㈜,이옥희,운곡면 신대길 14-38," 041-943-3170,031-487-3170 ", 스포츠기구(한궁) ," 그외 기타 전자부품 제조업,기타 운동 및 경기용구 제조업 ","26299, 33309",041-943-3169,10
애경산업㈜,"김상준,채동석",정산면 충의로 1547-9,"041-940-3333,041-940-3352"," 세제, 비누, 치약 "," 치약,비누 및 기타 세제 제조업,화장품 제조업 ","20422, 20423",041-943-5692,386
애경케미칼㈜ 청양1공장,표경원,정산면 충의로 1547-64,"041-940-6300,041-940-6313", 합성수지 ," 합성수지 및 기타 플라스틱,물질 제조업 ",20202,041-940-6319,164
애경케미칼㈜ 청양2공장,표경원,정산면 충의로 1547-95,"041-940-6300,041-940-6313", 계면활성제 및 의약품 제제 , 계면활성제 제조업 외 3종 ,"20421, 20129, 20499, 21301","041-943-6523,041-940-6319",70
㈜케이비어드히시브스,김기태,화성면 금계동길 32-12," 02-905-7864,041-943-7811 ", 면테이프 ," 플라스틱 접착처리 제품 제조업,플라스틱 적층, 도포 및 기타 표면처리 제품 제조업 ","22291, 22292","02-905-7867,041-943-8848",33
휴먼스㈜,이건,화성면 금계동길 12-10, 070-4070-8305 , 자동차 헤드라이터 ," 자동차 재제조 부품제조업,비주거용 건물 임대업 ","30400, 68112","070-7589-8305,549-1485",2
(주)송학환경개발,이준창,화성면 금계동길 12-10, 041-942-0911 , 소화기 , 분사기 및 소화기 제조업 ,29192,041-944-0911,6
다이어트캠프,이강영,화성면 금계동길 32-11, 041-943-4533 , 식품첨가물(조미식품) , 수프 및 균질화식품제조업 ,10893,041-943-4534,12
선광엘티아이㈜,김동진,화성면 금계동길 30," 041-943-7948,02-872-1500 "," 전기부품(피뢰침, 접지봉, 써지보호기, 테슬라코일, 플라즈마볼) "," 전기회로 개폐, 보호장치 제조업 외 10종 ","28121, 23329, 24329, 25119, 25995, 25999, 26294, 26299, 28122, 28909, 33932",041-943-7950,15
에이엠에스플러스㈜,김재훈,"화성면 금계동길 30 ,(마동일부)",  02-877-3979  ,"  베어링, 샤프트, 카트 ",  기어 및 동력전달장치 제조업  ,29142,,1
㈜수그린파워,김진수,"화성면 금계동길 34, 35", 041-942-2322 ," 목재펠릿, 임산펠릿, 목재칩, 톱밥 외 1 "," 라이터, 연소물 및 흡연용품 제조업 외 3종 ","33992, 23325, 23326, 68112",0504-018-7730,8
이큐솔루션㈜,최정란,화성면 금계동길 34,, 목재펠릿 ," 라이터, 연소물 및 흡연용품 제조업 ",33992,041-943-0098,4
㈜이레산업,한재명,화성면 금계동길 21-12, 041-942-8524 , 콘크리트 제품 ," 콘크리트 관 및 기타 구조용 콘크리트 제품 제조업,인조대리석 제품 제조업 ","23325, 23326",041-942-8525,3
㈜예은,노지훈,화성면 금계동길 11-10, 041-942-8524 ," 콘크리트 관, 경량 콘크리트 블록, 기타조경시설물, 나무울타리 등 ", 콘크리트관 및 기타 구조용 콘크리트 제품 제조업 외 3종 ,"23325, 16229, 23326, 33302",041-942-8525,13
해드림에너지㈜,"최경미,박성언",화성면 금계동길 11-6, 042-343-5577 , 태양광패널 , 전동기 및 발전기제조업 ,28111,042-367-1160,3
해드림이엔지㈜,조상현,화성면 금계동길 11-6, 070-4445-2840 , 태양광 구조물 및 분전반 , 전동기 및 발전기제조업 ,28111,042-367-1160,8
㈜케이비솔루션,전재성,화성면 금계동길 11-6,, 태양광 발전장치 분전반 , 배전반 및 전기 자동제어반 제조업 ,28123,,1
㈜대하산업,신하영,화성면 금계동길 11-8, 041-942-7876 ," 탈취기, 수질오염방지기기, 우수재이용시설, 수처리 및 공급장비, 용수처리 및 공급장비 등 ", 액체 여과기 제조업 외 6종 ,"29176, 25111, 27213, 29133, 29169, 29199, 68112",041-942-7879,4
㈜씨엔에스,유아름,화성면 금계동길 11-8, 041-943-5655 ," 계장제어장치, 현장제어반 ", 배전반 및 전기 자동제어반 제조업 ,28123,044-865-8546,4
농업회사법인㈜보람,현기훈,화성면 금계동길 11-10, 041-942-4228 ," 곡물적재함,(수매통) "," 농업 및 임업용 기계 ,제조업 ",29210,041-942-4229,6
고려특장㈜,이명진,화성면 대청로 35, 041-943-6800 , 특장차 ," 차체 및 특장차 제조업,자동차 구조 및 장치 변경업 ","30201, 30202",041-943-6866,5
성광산업㈜,이항복,화성면 금계동길 12-7, 041-942-7124 , 철골구조재 ," 육상 금속 골조 구조재 제조업,수상 금속 골조 구조재 제조업 ","25113, 25114",041-942-7125,7
대한상사,송미영,화성면 금계동길 12, 041-942-3253 ," 물엿, 조청, 올리고당 ", 전분제품 및 당류 제조업 ,10520,041-942-3254,4
알찬재래김,최정인,화성면 금계동길 12-9, 041-943-4488 , 조미김 , 수산식물 가공 및 저장 처리업 ,10220,"041-936-4256,041-943-3787",9
㈜한울,백창기,비봉면 작은한술길 42, 041-943-6681 , 김치류 , 김치류 제조업 외 3종 ,"10301, 10302, 10309, 10709",041-943-6684,117
디에스우일바이오㈜,김형수,비봉면 작은한술길 48-7," 041-942-9889,02-2243-0205 "," 동물 유지, 단미사료 ", 동물성 유지 제조업 외 3종 ,"10411, 10901, 10902, 10903",041-942-9891,43
㈜진에너텍,홍동욱,비봉면 작은한술길 48-39, 041-942-7234 , 펠렛 ," 라이터,연소물 및 흡연 용품 제조업 ",33992,041-943-7235,0
케이씨그린에너지㈜,백동호,비봉면 작은한술길 48-44, 041-943-0097 ," 펠렛, 유기질비료 "," 라이터,연소물 및 흡연용품 제조업,유기질 비료 및 상토 제조업 ","33992, 20313",041-943-0098,8
대양테크,차재호,비봉면 작은한술길 48-21, 041-944-2321 , 산업용 건조기 , 산업용 건조기 및 장비 제조업 ,29176,,0
㈜송림바이오,송진옥,비봉면 작은한술길 48-30," 041-944-1769,041-942-2322 ", 목재 펠릿 연료탄 ," 라이터,연소물 및 흡연,용품 제조업 ",33992,0504-018-7730,2
㈜수이노베이션,김진수,비봉면 작은한술길 48-27, 041-942-2322 ," 펠렛, 하수슬러지연료탄, 혼합 유기질 비료, 부숙 유기질 비료, 상토 "," 라이터,연소물 및 흡연용품 제조업,유기질 비료 및 상토 제조업 ","33992, 20313",0504-018-7730,10
에이제이엔지니어링㈜,김상훈,비봉면 작은한술길 48-16," 02-3486-2001,02-3475-9582 "," TBM 장비 부품(SLULLY 이송용배관, 유압대차, 전기 조작판넬), BG/BC 수직 굴착용 커터날 ", 건설 및 채광용 기계장비 제조업 ,29241,"070-7500-6890,02-3486-2113",2
㈜으뜸농산,오정호,비봉면 작은한술길 48-22, 041-943-7887 , 단무지 ," 김치류 제조업,과실 및 그외 채소 절임식품 제조업 ","10301, 10302",041-943-4558,129
㈜충청,박성순,비봉면 작은한술길 48-38," 041-943-3922,041-943-3923 "," 철근콘크리드벤치플룸관, 호안블록 ", 콘크리트관 및 기타 구조용 콘크리트 제품 제조업 외 2종 ,"23325, 23324, 23326",041-943-3924,8
청양군장애인재활근로센터(백세김),이중연,청양군 청양읍 칠갑산로 87,041-943-9844,조미김,수산식물 가공 및 저장 처리업,10220,041-943-9846,34
진흥자동차공업(주),이종각,청양군 청양읍 중앙로 116,041-943-2631,토목공사 및 유사용 기계장비,건설 및 채광용 기계장비 제조업,29241,041-943-2600,13
칠갑농산(주),"이영주,이능구,이병선",청양군 청양읍 충절로 872-6,041-943-6670,"국수, 냉면, 떡류, 만두피 등",곡물 혼합분말 및 반죽 제조업 외 7종,"10513, 10519, 10601, 10701, 10709, 10820, 10832, 10893",041-943-6674,225
농업회사법인(유) 오린,이병선,청양군 청양읍 충절로 872-5,041-943-6670,"만두류, 소스류, 냉면육수, 양념장", 기타 식사용 가공처리 조리식품 제조업,10709,,24
청양벽돌,박상균,청양군 청양읍 중앙로 230,041-943-2570,벽돌,"콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 1종","23324, 23326",041-943-3570,8
서부제재소,명재원,청양군 청양읍 충절로 926,041-943-2243,일반 제재 ,일반제재업,16101,,2
근풍실업(주),김혜숙,청양군 청양읍 충절로 974,041-943-0170~2,골판지상자,골판지 제조업 외 2종,"17211, 19109, 17212",041-942-5888,11
칠갑산어머니한과영농조합법인,민근기,청양군 청양읍 충절로 1012-59,041-942-5479,한과,과자류 및 코코아 제품 제조업,10603,041-942-5481,4
(주)칠갑정비,이기열,청양군 청양읍 칠갑산로 343,041-942-5700,토목공사 및 유사용 기계장비,건설 및 채광용 기계장비 제조업,29241,041-942-5829,16
매일유업(주),이인기,청양군 청양읍 충절로 1355-58,041-940-5210,"가공유발효유, 유제품, 유가공 제품",액상시유 및 기타 낙농제품 제조업 외 1 종,"10421, 10891",041-940-5206,106
청양씽크공장,박봉석,청양군 청양읍 문화예술로 73,041-943-5252,"씽크대, 붙박이장",그 외 기타 나무제품 제조업,16299,,0
㈜현진정보통신,김영임,"청양군 청양읍 칠갑산로148, 1층102호",070-4118-1233,"카메라, 캡쳐장치, 스피커",방송장비제조업 외 1종,"26421, 26529",041-944-1234,7
구기자흑염소,명형철,청양군 운곡면 고인돌길 23-8,041-942-7874,장류 제조업,장류 제조업,10833,,1
햇쌀랜드,한영숙,청양군 운곡면 영미선길 53-5,041-942-6005,"찐빵, 떡",빵류 제조업 외 2 종,"10602, 10512, 10601",041-942-6025,0
청양구기자원예농업협동조합,복영수,청양군 대치면 독정길 7,041-943-6998~9,차류  ,차류 가공업,10892,041-943-7998,2
청양둔송구기주,임영순,청양군 운곡면 추광길 2-10,041-942-8138,탁주 및 약주,탁주 및 약주 제조업,11111,041-943-7674,5
청양구기자한과,안향순,청양군 운곡면 후덕리 103-1번지,041-942-8581,구기자 한과,과자류 및 코코아 제품 제조업,10603,041-943-8584,3
청양농협청양고추가공공장,김성훈,청양군 운곡면 방축길 10,041-942-3186,"고춧가루, 표고버섯가루",천연 및 혼합조제 조미료 제조업 외 1종,"10832, 10309",041-943-9909,10
농업회사법인 아리랑주조(주),이윤범,청양군 대치면 방죽골길 46-19,041-943-7678,탁주 및 약주,탁주 및 약주 제조업,11111,041-943-9678,4
미가람제과,정진희,청양군 목면 안심동길 20-34,041-943-7978,곡물과자,기타 곡물가공품 제조업,10519,041-943-7907,10
대평산업기계,김태홍,청양군 목면 가야미길 27-58,041-942-9552,"수문,철문","금속 문, 창, 셔터 및 관련제품 제조업",25111,041-943-3550,2
칠갑산주조(주),윤종림,청양군 목면 무술길 2,041-942-8018,"탁주, 구기자주",탁주 및 약주 제조업,11111,041-942-5666,3
한스텍㈜,정한수,청양군 정산면 충의로 1576-16,070-4106-8742,"비누, 화장품","치약, 비누 및 기타 세제 제조업 외 3종","20422, 20423, 21301, 21309",041-942-8742,15
(주)백도,우종성,청양군 정산면 백곡길 46-5,041-942-6641,"구조용금속판제품,금속가공물",구조용 금속판제품 및 금속공작물 제조업 외 7 종,"25112, 25113, 25114, 25119, 25932, 25993, 28511, 32091",041-943-6641,8
백봉음료,노현준,청양군 정산면 한티고개길 258-14,041-944-1071,먹는샘물,생수생산업,11202,041-940-2687,0
농업회사법인 신선농원㈜,김선호,청양군 정산면 충의로 1078,,"가공염, 볶은 소금",기타 식품 첨가물 제조업,10839,,2
한별주식회사,구광회,청양군 목면 안심길 224,1588-3687,컨테이너 하우스,기타 구조용 금속제품 제조업,25119,041-944-2106,5
(주)우리에프엔비,이대열,청양군 청남면 막골길 7,041-944-2227,"발효유, 유산균음료류 등",액상시유 및 기타 낙농제품 제조업,10421,041-944-2224,79
정산농협,황인국,청양군 청남면 청소리 587-2번지,041-942-0681,부산물비료,복합비료 및 기타 화학비료 제조업 외 1종,"20312, 20313",041-942-0052,2
농업회사법인(주)청남원,홍관훈,청양군 청남면 막골길 7-5,,갈변(과일)요구르트,액상시유 및 기타 낙농제품 제조업,10421,,7
장수식품,여길현,청양군 청남면 명덕산길 53-2,,"족발,소스류",기타 수산동물 가공 및 저장 처리업,10219,,3
꽃뫼영농조합법인,이춘복,청양군 장평면 상지길 39-1,041-943-8002,"맥문동차, 맥문구기차,맥문보리차",차류 가공업,10892,041-943-8005,4
백제인주조,장정화,청양군 장평면 안터골길 6-1,041-943-9464,"탁주, 약주",탁주 및 약주 제조업,11111,041-943-0545,1
(주)에스케이에스이엔지,배채현,청양군 장평면 향촌길 6,02-868-3251,항온항습기,공기조화장치 제조업,"29172, 29173",0504-217-3251,5
신기산업(주),김동복,청양군 남양면 구봉로 783-24,041-943-6688,부산물비료,유기질 비료 및 상토 제조업,20313,041-943-5433,22
아이에스동서(주)청양지점,"배기문,남병옥,허필식",청양군 남양면 구용길 338,041-943-4482,P.H.C 파일(콘크리트 제품),콘크리트관 및 기타 구조용 콘크리트제품 제조업 외 1종,"23325, 23326",041-943-4487,107
선한이웃영농조합법인,유성애,청양군 남양면 충절로 281-9,041-942-0119,"제과,제빵",빵류 제조업,10602,,3
청심산업,전병호,청양군 화성면 산당로 286,041-944-0090,유기질비료,복합비료 및 기타 화학비료 제조업 외 1종,"20312, 20313",041-943-0091,4
칠갑산토종닭혜선식품,박수복,청양군 화성면 장계리 250-5번지,041-942-4448,닭고기냉동포장,육류 기타 가공 및 저장처리업 (가금류 제외),"10129, 10122",041-942-4907,0
(주)삼진레미콘,김만옥. 김자성,청양군 화성면 대청로 577,041-944-0022,레미콘,레미콘 제조업,23322,"041-901-2001,(041-943-7788)",12
감로농원,최정미,청양군 화성면 큰동네길 62-1,041-943-3877,조청,전분제품 및 당류 제조업,10520,,3
농업회사법인㈜한울효시,이상주,청양군 화성면 띠실길 41-2,041-944-0096,무청시래기소스,기타 과실ㆍ채소 가공 및 저장 처리업,10309,041-943-0096,3
제일레미콘(주),권영기,청양군 비봉면 록평용당로 575-20,041-943-7300,레미콘,레미콘 제조업,23322,041-943-7305,19
(주)삼화그린텍,윤호준,청양군 비봉면 록평용당로 347,041-942-5030,질석비료,유기질 비료 및 상토 제조업 외 2종,"20313, 20312, 23999",041-942-9624,35
칠갑산구기자한과영농조합법인,민명옥,청양군 비봉면 은골길 87,041-943-1036,곡분과자제조업,과자류 및 코코아 제품 제조업,10603,041-943-9401,32
(주)영수식품 제1공장,정헌민,청양군 비봉면 홍주길 4,041-943-5697,물엿,전분제품 및 당류 제조업,10520,041-943-6183,26
제일아스콘(주),김증환,청양군 비봉면 록평용당로 575-19,041-943-7300,아스콘,아스팔트 콘크리트 및 혼합제품 제조업,23991,,10
㈜뉴콘,김순대,청양군 정산면 충의로 1183-19,041-942-7500,"보강토옹벽블록, 축조블록 등","콘크리트 타일, 기와, 벽돌 및 블록 제조업  외 1종","23324, 23326",0502-945-7500,6
㈜도담케어,황현환,청양군 정산면 천장호길 154-8,02-485-7723,마스크,기타 직물제품 제조업,13229,02-421-7723,0
㈜청정산업,이주석,청양군 청남면 동대길 147-5,041-942-9336,"휴지, 물티슈, 점보롤",위생용 종이제품 제조업,17902,041-943-9336,2
청양구기자영농조합법인,명문희,청양군 운곡면 청신로 665-3,041-943-4305,구기자 한과,과자류 및 코코아 제품 제조업,10603,,5
대동정미소,정한빛,충청남도 청양군 대치면 칠갑산로 379-23,041-942-2615,"정미 쌀, 도정 현미",곡물 도정업,10511,041-942-2711,3
사자산영농조합법인,이남훈,청양군 화성면 산당로 441,041-943-0089,"고춧가루, 참/들기름, 농산물 가공품",천연 및 혼합조제 조미료 제조업 외 2종,"10832, 10309, 10412",,4
도경하우징㈜,구자령,청양군 목면 안심길 206,,"이동식주택, 컨테이너하우스, 기타이동식화장실",기타 구조용 금속제품 제조업,25119,,2
㈜전진산업환경,유재성,장평면 닭우리고개길 4-1,041-942-6486,금속 조립 구조재,육상 금속 골조 구조재 제조업,25113,041-943-2922,3
충남석재,윤봉균,청양읍 문화예술로 133,,석재가공품,건설용 석제품 제조업 외 1종,"23911, 23919",041-943-3545,0
청양칠갑마늘 영농조합법인,이성연,청양읍 청수길 497-2,041-943-7557,깐마늘,기타 과실 채소 및 저장 처리업,10309,,3
더다인 주식회사,노문희,정산면 충의로 1212-7,041-943-3338,"씽크볼, 수전 월아트",금속 위생용품 제조업,25993,070-7966-3340,2
상상디자인,한상철,청양읍 고리섬들길 68-9,041-943-5111,"명함, 전단지, 책, 간판, 시트지, 현수막",경인쇄업 외 1종,"18111, 33910",041-944-0714,3
엔에이치산업 주식회사,강민정,"대치면 칠갑산로 554-22, 1동 102호",041-944-1713,미끄럼방지 포장재,일반용 도료 및 관련제품 제조업,20411,041-944-1714,4
㈜드로니아 청양지점,정한옥,"청양읍 칠갑산로1길 31, 413호",041-531-0912,드론,인형 및 장난감 제조업,33401,,2
