연번,벤처기업명,벤처확인유형,간략주소,업종분류(기보),업종명(10차),주생산품,벤처확인기관
885,금산홍삼랜드,혁신성장유형,충청남도 금산군,제조업,인삼식품 제조업,홍삼제품.칡즙,벤처기업확인기관
5,주식회사 동진제약,혁신성장유형,충청남도 금산군,제조업,건강 기능식품 제조업,"홍삼인삼제품, 건강기능식품",벤처기업확인기관
417,대동고려삼(주),혁신성장유형,충청남도 금산군,제조업,인삼식품 제조업,홍삼농축액외,벤처기업확인기관
1096,농업회사법인 주식회사 글로벌금산진생,혁신성장유형,충청남도 금산군,제조업,인삼식품 제조업,홍삼농축액 등,벤처기업확인기관
395,㈜뉴트렉스테크놀러지,혁신성장유형,충청남도 금산군,제조업,건강 기능식품 제조업,"홍삼 및 홍삼 가공 원료, 천연물 가공 원료",벤처기업확인기관
538,리브가 푸드시스템 주식회사,혁신성장유형,충청남도 계룡시,제조업,천연 및 혼합 조제 조미료 제조업,혼합소스,벤처기업확인기관
839,주식회사 애드에이블,벤처투자유형,충청남도 천안시,제조업,그 외 기타 의료용 기기 제조업,호흡훈련 시스템,벤처기업확인기관
647,주식회사 대경,혁신성장유형,충청남도 논산시,제조업,단미사료 및 기타 사료 제조업,호마믹스,벤처기업확인기관
1008,주식회사 더기븐,혁신성장유형,충청남도 당진시,제조업,기타 곡물 가공품 제조업,호두강정 답례품,벤처기업확인기관
597,주식회사 에이스로보테크,혁신성장유형,충청남도 천안시,제조업,산업용 로봇 제조업,협동로봇 적용 스마트팩토리 공급 자동차부품,벤처기업확인기관
898,주식회사 힘,혁신성장유형,충청남도 공주시,제조업,기타 악기 제조업,현악기 (소형하프),벤처기업확인기관
859,(주)엘바이오사이언스,혁신성장유형,충청남도 아산시,연구개발서비스,의학 및 약학 연구개발업,"현개발중 : 펜터민+토피라메이트 복합제, 알긴산/ 카르복시메틸셀룰로오스나트륨 복합제, 토피라메이트 서방정, 두타스테리드 서방주사제, 대장하제",벤처기업확인기관
312,㈜하이푸드텍,혁신성장유형,충청남도 금산군,제조업,육류 포장육 및 냉동육 가공업(가금류 제외),햄소시지어육소시지불고기패티,벤처기업확인기관
318,농업회사법인 행복㈜,혁신성장유형,충청남도 보령시,제조업,육류 포장육 및 냉동육 가공업(가금류 제외),햄소시지냉동식품,벤처기업확인기관
226,㈜허스델리,혁신성장유형,충청남도 서천군,제조업,육류 포장육 및 냉동육 가공업(가금류 제외),"햄류, 소시지류, 베이컨류",벤처기업확인기관
77,㈜진양이엔지,혁신성장유형,충청남도 보령시,제조업,기타 선박 건조업,해상부유구조물 부잔교,벤처기업확인기관
719,㈜스템바이오,벤처투자유형,충청남도 아산시,연구개발서비스,의학 및 약학 연구개발업,항암제 세포치료제,벤처기업확인기관
1268,(주)나비바이오텍,연구개발유형,충청남도 천안시,제조업,의료용품 및 기타 의약 관련제품 제조업,"항생제 진단키트, 진단 배지, 축산약품",벤처기업확인기관
366,주식회사 트라,연구개발유형,충청남도 당진시,제조업,그 외 기타 특수 목적용 기계 제조업,항공기선박 탑승교,벤처기업확인기관
9,주식회사 윈디스,연구개발유형,충청남도 천안시,제조업,항공기용 부품 제조업,항공기부품,벤처기업확인기관
698,에스엠테크,혁신성장유형,충청남도 아산시,제조업,항공기용 부품 제조업,항공기부품,벤처기업확인기관
691,주식회사 로만씰,연구개발유형,충청남도 아산시,제조업,항공기용 부품 제조업,항공기 자동차용 씰,벤처기업확인기관
556,명랑시대외식청년창업협동조합,혁신성장유형,충청남도 계룡시,제조업,빵류 제조업,핫도그소스류,벤처기업확인기관
623,주식회사 광천제재소,혁신성장유형,충청남도 홍성군,제조업,일반 제재업,합판및 목재파렛트,벤처기업확인기관
1171,㈜이노본,연구개발유형,충청남도 천안시,연구개발서비스,기타 공학 연구개발업,"합성재료이식용뼈,합성골이식재",벤처기업확인기관
809,현대플러스 주식회사,혁신성장유형,충청남도 논산시,건설운수,유리 및 창호 공사업,합성수지제창,벤처기업확인기관
221,㈜켐베이스,혁신성장유형,충청남도 논산시,제조업,합성수지 및 기타 플라스틱 물질 제조업,합성수지,벤처기업확인기관
571,주식회사 이데크,혁신성장유형,충청남도 예산군,제조업,강화 및 재생 목재 제조업,합성목재,벤처기업확인기관
1016,상상한우농업회사법인주식회사,혁신성장유형,충청남도 천안시,제조업,육류 포장육 및 냉동육 가공업(가금류 제외),한우포장육,벤처기업확인기관
138,농업법인회사 지티엔알,혁신성장유형,충청남도 당진시,기타,"그 외 기타 분류 안된 전문, 과학 및 기술 서비스업",한우 유전자 분석,벤처기업확인기관
219,아토한우 영농조합법인,혁신성장유형,충청남도 홍성군,"농,어,임,광업",축산 관련 서비스업,한우,벤처기업확인기관
376,주식회사 케이엠에스,혁신성장유형,충청남도 천안시,제조업,그 외 기타 의료용 기기 제조업,한방용일회용멸균침,벤처기업확인기관
666,주식회사 웰런비앤에프,혁신성장유형,충청남도 천안시,제조업,그 외 기타 식료품 제조업,한방농축액과채농축액등,벤처기업확인기관
199,㈜농업회사법인 돈우,혁신성장유형,충청남도 아산시,제조업,육류 포장육 및 냉동육 가공업(가금류 제외),한돈한우,벤처기업확인기관
1022,브이에스텍 주식회사,혁신성장유형,충청남도 아산시,연구개발서비스,기타 공학 연구개발업,"학술연구용역, 기술용역, 공학엔지니어링 서비스업",벤처기업확인기관
457,서우산업 주식회사,혁신성장유형,충청남도 금산군,제조업,금속 가구 제조업,"학생용 책상, 교실용 걸상, 이동식스툴테이블",벤처기업확인기관
290,㈜윤성워터텍,혁신성장유형,충청남도 공주시,제조업,액체 여과기 제조업,하수처리장치 및 구성품 외,벤처기업확인기관
528,주식회사 에이치앤엠바이오,혁신성장유형,충청남도 아산시,제조업,그 외 기타 특수 목적용 기계 제조업,하수처리장 협잡물 발효건조 장치,벤처기업확인기관
425,(주)진에너텍,벤처투자유형,충청남도 청양군,제조업,"라이터, 연소물 및 흡연용품 제조업",하수슬러지연료탄,벤처기업확인기관
41,㈜더이앤이솔루션,혁신성장유형,충청남도 당진시,제조업,그 외 기타 분류 안된 섬유제품 제조업,필터원단섬유환경지자재,벤처기업확인기관
910,세데나즈,혁신성장유형,충청남도 천안시,제조업,설치용 및 위생용 플라스틱제품 제조업,필터샤워기,벤처기업확인기관
683,"솔리스엠에스엔주식회사(SOLISMSN.CO.,LTD)",혁신성장유형,충청남도 천안시,제조업,그 외 기타 의료용 기기 제조업,피부과용 마이크로 니들,벤처기업확인기관
1050,에스티전선 주식회사,혁신성장유형,충청남도 천안시,제조업,기타 절연선 및 케이블 제조업,피복절연선및 케이블,벤처기업확인기관
863,주식회사 세진씰,혁신성장유형,충청남도 당진시,제조업,그 외 자동차용 신품 부품 제조업,플루팅씰,벤처기업확인기관
759,이레정밀씰㈜,혁신성장유형,충청남도 천안시,제조업,건설 및 채광용 기계장비 제조업,플로팅씰,벤처기업확인기관
108,㈜플렉시고,벤처투자유형,충청남도 천안시,제조업,디스플레이 제조용 기계 제조업,플렉서블 디스플레이 검사장비,벤처기업확인기관
216,중원플랜트㈜,혁신성장유형,충청남도 천안시,제조업,그 외 기타 일반 목적용 기계 제조업,"플랜트제조, 식품,산업기계제작",벤처기업확인기관
944,(주) 대성에스앤피,혁신성장유형,충청남도 당진시,제조업,도장 및 기타 피막 처리업,플랜트 도장및 피막처리,벤처기업확인기관
993,당진에코머티리얼 주식회사,혁신성장유형,충청남도 당진시,제조업,비금속광물 분쇄물 생산업,플라이애시,벤처기업확인기관
1178,유펙스(주),연구개발유형,충청남도 천안시,제조업,플라스틱 필름 제조업,플라스틱필름,벤처기업확인기관
609,주식회사 케이에스씨에이티,혁신성장유형,충청남도 천안시,제조업,합성수지 및 기타 플라스틱 물질 제조업,플라스틱컴파운드 마스터베치,벤처기업확인기관
923,지앤씨산업㈜,혁신성장유형,충청남도 천안시,제조업,합성수지 및 기타 플라스틱 물질 제조업,플라스틱원재료,벤처기업확인기관
161,㈜에타폴,혁신성장유형,충청남도 예산군,제조업,합성수지 및 기타 플라스틱 물질 제조업,플라스틱원료,벤처기업확인기관
341,주식회사 팩앤팩,혁신성장유형,충청남도 금산군,제조업,포장용 플라스틱 성형용기 제조업,플라스틱식품용기,벤처기업확인기관
506,㈜부광케미컬,혁신성장유형,충청남도 금산군,제조업,포장용 플라스틱 성형용기 제조업,플라스틱식품용기,벤처기업확인기관
895,주식회사 대정테크,혁신성장유형,충청남도 아산시,제조업,플라스틱 시트 및 판 제조업,플라스틱시트,벤처기업확인기관
1105,주식회사 보성,벤처투자유형,충청남도 아산시,제조업,그 외 기타 플라스틱 제품 제조업,플라스틱사출성형 자동차부품,벤처기업확인기관
1065,태성에컴스주식회사,혁신성장유형,충청남도 천안시,제조업,운송장비 조립용 플라스틱제품 제조업,"플라스틱,피브이씨컴파운드,자동차부품",벤처기업확인기관
828,주식회사 아이엠씨,혁신성장유형,충청남도 천안시,제조업,플라스틱 시트 및 판 제조업,플라스틱 필름,벤처기업확인기관
220,㈜성곡,혁신성장유형,충청남도 아산시,제조업,포장용 플라스틱 성형용기 제조업,플라스틱 트레이,벤처기업확인기관
1232,주식회사 제오닉,연구개발유형,충청남도 아산시,제조업,그 외 기타 플라스틱 제품 제조업,플라스틱 제품,벤처기업확인기관
68,㈜그린폴,연구개발유형,충청남도 천안시,제조업,플라스틱 필름 제조업,플라스틱 원료,벤처기업확인기관
136,에이스팩㈜,혁신성장유형,충청남도 천안시,제조업,포장용 플라스틱 성형용기 제조업,플라스틱 식품포장재,벤처기업확인기관
112,㈜삼우코리아,혁신성장유형,충청남도 당진시,제조업,주형 및 금형 제조업,플라스틱 사출금형,벤처기업확인기관
1025,(주)폴리피아,혁신성장유형,충청남도 당진시,제조업,그 외 기타 플라스틱 제품 제조업,플라스틱 복합소재 ,벤처기업확인기관
813,주식회사 에스알텍,혁신성장유형,충청남도 천안시,제조업,주형 및 금형 제조업,플라스틱 벌집,벤처기업확인기관
596,농업회사법인 주식회사 네이처테크놀로지,벤처투자유형,충청남도 천안시,"농,어,임,광업",화훼작물 재배업,"프리저브드 플라워, 수박",벤처기업확인기관
159,주식회사 엔텍바이오에스,혁신성장유형,충청남도 천안시,제조업,배합 사료 제조업,프리바이오 퍼밀레이션 제조 및 판매 및 그린바이오 플랜트,벤처기업확인기관
631,주식회사 아이앤팜,혁신성장유형,충청남도 논산시,제조업,동물용 의약품 제조업,프로페니200액,벤처기업확인기관
1143,덕산테스틱스 주식회사,혁신성장유형,충청남도 아산시,제조업,그 외 기타 전자 부품 제조업,프로브핀,벤처기업확인기관
382,㈜벤플러스,혁신성장유형,충청남도 금산군,제조업,합성수지 및 기타 플라스틱 물질 제조업,폴리올 폴리우레탄,벤처기업확인기관
51,유피씨㈜,혁신성장유형,충청남도 논산시,제조업,플라스틱 필름 제조업,"폴리에틸렌필름, 부직포, 보호복원단",벤처기업확인기관
292,주식회사 청정,혁신성장유형,충청남도 논산시,제조업,기타 플라스틱 발포 성형제품 제조업,폴리에틸렌 생활용기,벤처기업확인기관
573,씨에스(CS)컴퍼니,연구개발유형,충청남도 천안시,제조업,기타 인쇄관련 산업,포장지 등,벤처기업확인기관
118,㈜신영이노텍,혁신성장유형,충청남도 천안시,제조업,"플라스틱 포대, 봉투 및 유사제품 제조업",포장재 인쇄,벤처기업확인기관
638,(주)세림박스,혁신성장유형,충청남도 아산시,제조업,크라프트지 및 상자용 판지 제조업,포장용박스,벤처기업확인기관
1149,에이치비페이퍼 주식회사,혁신성장유형,충청남도 아산시,제조업,골판지 상자 및 가공제품 제조업,"포장박스/허니콤골판지,제지 인쇄,가공,코팅,도로표지병류,도로안전시설물,볼라드,플라스틱사출,각종 금형제작 제조",벤처기업확인기관
1213,주식회사 세일기연,혁신성장유형,충청남도 천안시,제조업,"용기 세척, 포장 및 충전기 제조업",포장기계제조,벤처기업확인기관
858,농업회사법인주식회사도모,혁신성장유형,충청남도 천안시,제조업,육류 포장육 및 냉동육 가공업(가금류 제외),"포션육, 포장육, 양념육 등",벤처기업확인기관
117,주식회사 이엔,혁신성장유형,충청남도 당진시,제조업,액체 여과기 제조업,폐수처리형 수소생산장치,벤처기업확인기관
182,주식회사 해여름바이오,혁신성장유형,충청남도 논산시,기타,지정 외 폐기물 처리업,"폐사축처리업, 사료첨가제",벤처기업확인기관
853,주식회사 웸코천안,벤처투자유형,충청남도 천안시,기타,지정 폐기물 처리업,"폐기물처리용역, 부산물비료",벤처기업확인기관
831,미르종합환경주식회사,혁신성장유형,충청남도 서산시,기타,지정 외 폐기물 처리업,폐기물 중간재활용,벤처기업확인기관
527,주식회사 현대에이아이티,혁신성장유형,충청남도 아산시,제조업,전기식 진단 및 요법 기기 제조업,펫 케어 웨어러블 디바이스,벤처기업확인기관
1288,장한기술(주),혁신성장유형,충청남도 당진시,제조업,금속 탱크 및 저장 용기 제조업,"팽창탱크, 압력용기 및 배관시스템기기, 부스터펌프, 열교환기,전기공사 외",벤처기업확인기관
664,주식회사 화진테크,혁신성장유형,충청남도 아산시,제조업,반도체 제조용 기계 제조업,파이프가공,벤처기업확인기관
326,아이씨피㈜,혁신성장유형,충청남도 당진시,제조업,화물 자동차 및 특수 목적용 자동차 제조업,특장차트레일러,벤처기업확인기관
391,영일특장㈜,혁신성장유형,충청남도 천안시,제조업,차체 및 특장차 제조업,특장차량 제조 등,벤처기업확인기관
612,주식회사 폼텍,혁신성장유형,충청남도 예산군,제조업,그 외 기타 달리 분류되지 않은 제품 제조업,특장차 샌드위치판넬제작,벤처기업확인기관
343,주식회사 세한,혁신성장유형,충청남도 천안시,제조업,의료용품 및 기타 의약 관련제품 제조업,특수약포장지 외,벤처기업확인기관
323,(주)씨에스엠,혁신성장유형,충청남도 천안시,제조업,비내화 모르타르 제조업,"특수시멘트, 콘크리트 2차제품, 콘크리트 공예품",벤처기업확인기관
369,(주)누에보컴퍼니,혁신성장유형,충청남도 계룡시,제조업,차체 및 특장차 제조업,특수목적자동차에보밴,벤처기업확인기관
258,㈜영신특수강,혁신성장유형,충청남도 천안시,제조업,강 주물 주조업,특수강주조품,벤처기업확인기관
945,유엘피㈜,혁신성장유형,충청남도 아산시,제조업,트레일러 및 세미 트레일러 제조업,트레일러 캠핑트레일러,벤처기업확인기관
1119,대흥중공업(주),혁신성장유형,충청남도 홍성군,제조업,트레일러 및 세미 트레일러 제조업,트레일러,벤처기업확인기관
305,주식회사 제이케이테크놀로지,혁신성장유형,충청남도 천안시,제조업,구조용 금속 판제품 및 공작물 제조업,튀김기(주방기구),벤처기업확인기관
811,주식회사 인투시,혁신성장유형,충청남도 아산시,제조업,그 외 기타 전자 부품 제조업,투시 디스플레이 도어 제품,벤처기업확인기관
1077,(주) 태림알앤티,혁신성장유형,충청남도 논산시,기타,토양 및 지하수 정화업,토양정화,벤처기업확인기관
328,농업법인회사 우듬지팜 주식회사,벤처투자유형,충청남도 부여군,"농,어,임,광업","채소, 화훼 및 과실작물 시설 재배업",토마토 및 스테비아 토마토,벤처기업확인기관
231,㈜씨케이엘,혁신성장유형,충청남도 천안시,제조업,반도체 제조용 기계 제조업,테스트 핸들러,벤처기업확인기관
1280,㈜이노베이스,혁신성장유형,충청남도 아산시,제조업,그 외 기타 전자 부품 제조업,"테스트 소켓, 무선통신기기, 외",벤처기업확인기관
191,티에스엠씨솔루션,혁신성장유형,충청남도 아산시,제조업,반도체 제조용 기계 제조업,테스트 소켓,벤처기업확인기관
602,(주) 한내포티,벤처투자유형,충청남도 당진시,제조업,"기타 비철금속 제련, 정련 및 합금 제조업","텅스텐, 바나듐, 티타늄",벤처기업확인기관
151,㈜엠프로텍,혁신성장유형,충청남도 천안시,제조업,그 외 자동차용 신품 부품 제조업,터보차저용 휠 샤프트 하우징,벤처기업확인기관
388,로타렉스코리아 주식회사,혁신성장유형,충청남도 아산시,제조업,"탭, 밸브 및 유사 장치 제조업","탭, 밸브 및 유사장치, 분사기 및 소화기, 그 외 기타 전자부품 제조",벤처기업확인기관
298,(주)이녹스에코엠,벤처투자유형,충청남도 아산시,기타,지정 폐기물 처리업,"태양광용 재생실리콘, 연마제 외",벤처기업확인기관
1267,에스엘디,연구개발유형,충청남도 천안시,건설운수,일반 전기 공사업,태양광설비,벤처기업확인기관
806,큐브에너지 주식회사,혁신성장유형,충청남도 태안군,건설운수,일반 전기 공사업,태양광발전장치 ,벤처기업확인기관
98,㈜이엑스쏠라,혁신성장유형,충청남도 금산군,제조업,기타 전기 변환장치 제조업,태양광발전장치,벤처기업확인기관
915,㈜에스알에너지,혁신성장유형,충청남도 천안시,제조업,기타 구조용 금속제품 제조업,태양광발전장치,벤처기업확인기관
368,썬트랙,연구개발유형,충청남도 천안시,제조업,구조용 금속 판제품 및 공작물 제조업,태양광발전시스템,벤처기업확인기관
1063,주식회사 일신기술,벤처투자유형,충청남도 천안시,기타,경영 컨설팅업,태양광발전소 컨설팅,벤처기업확인기관
25,㈜이멕스,혁신성장유형,충청남도 천안시,제조업,기타 구조용 금속제품 제조업,"태양광구조물,소음기",벤처기업확인기관
593,주식회사 경일그린텍,연구개발유형,충청남도 서산시,제조업,그 외 기타 전기장비 제조업,태양광 에너지저장장치 ,벤처기업확인기관
1220,이연쏠라스톤 주식회사,혁신성장유형,충청남도 천안시,제조업,"콘크리트 타일, 기와, 벽돌 및 블록 제조업","태양광 석제품(보도블럭,경계석,볼라드,교명주,의자석등)",벤처기업확인기관
1281,주식회사 스타에너지,혁신성장유형,충청남도 논산시,제조업,전동기 및 발전기 제조업,태양광 발전장치,벤처기업확인기관
1116,(주)제이에이치케이,혁신성장유형,충청남도 천안시,건설운수,일반 전기 공사업,태양광 구조물,벤처기업확인기관
983,주식회사 한솔정공,혁신성장유형,충청남도 천안시,제조업,차체 및 특장차 제조업,"탑차,윙바디,자동조르다 ",벤처기업확인기관
340,주식회사 모빌에이트,혁신성장유형,충청남도 아산시,제조업,자전거 및 환자용 차량 제조업,"탑승형 전동 모빌리티, 퍼스널 모빌리티, 기계지그, 시제품",벤처기업확인기관
549,주식회사 코츠,혁신성장유형,충청남도 서천군,제조업,비금속광물 분쇄물 생산업,탈크(활석분),벤처기업확인기관
380,주식회사 셀바이오,혁신성장유형,충청남도 천안시,제조업,유기질 비료 및 상토 제조업,탈취제(악취 저감제) 등 소재 관련 제품 생산,벤처기업확인기관
1231,(주)선진환경기술,혁신성장유형,충청남도 아산시,제조업,액체 여과기 제조업,"탈취설비, 여과기, 하수처리용 기계, 폐기물처리용 기계",벤처기업확인기관
204,㈜에스코알티에스,혁신성장유형,충청남도 금산군,제조업,기타 구조용 금속제품 제조업,"탄성받침,러버패드",벤처기업확인기관
1246,주식회사 이루모스,혁신성장유형,충청남도 계룡시,제조업,위생용 종이제품 제조업,"키친타올, 점보롤, 티슈 등",벤처기업확인기관
162,앨지바이오 주식회사,혁신성장유형,충청남도 아산시,기타,"그 외 기타 분류 안된 전문, 과학 및 기술 서비스업",키랄화합물 분리정제 서비스,벤처기업확인기관
430,㈜에이에스텍,벤처투자유형,충청남도 서천군,제조업,의약용 화합물 및 항생물질 제조업,클로피도그렐BEMTS 외,벤처기업확인기관
475,미르지엔아이 주식회사,혁신성장유형,충청남도 천안시,제조업,공기 조화장치 제조업,크린룸드라이룸제습기공조기,벤처기업확인기관
1006,삼공(주),혁신성장유형,충청남도 금산군,제조업,기타 물품 취급장비 제조업,"크레인및운반기계제작설치및판매,리프트장비 및 엑세서리 제작 및 설치,기능성화장실,일반건축업,기계설비업,강구조물공사업,전기공사업,임대,기능성화장실임대",벤처기업확인기관
429,(주)투인테크,혁신성장유형,충청남도 천안시,제조업,공기 조화장치 제조업,"쿨링조끼,펄스제네레이터",벤처기업확인기관
119,카호코리아㈜,연구개발유형,충청남도 아산시,제조업,그 외 자동차용 신품 부품 제조업,쿨링 시스템 모듈 라디에이터 오일쿨러 챠지쿨러),벤처기업확인기관
1255,주식회사 쿠즈락,혁신성장유형,충청남도 논산시,제조업,가금류 가공 및 저장 처리업,쿠즈락 맛있는 고추장소스,벤처기업확인기관
624,주식회사 프레시코,혁신성장유형,충청남도 논산시,제조업,그 외 기타 식료품 제조업,"콤부차, 잼류",벤처기업확인기관
727,㈜서진이엔지,혁신성장유형,충청남도 아산시,제조업,"기타 측정, 시험, 항해, 제어 및 정밀 기기 제조업",콘트롤박스,벤처기업확인기관
877,주식회사 스페셜원메이커스,벤처투자유형,충청남도 아산시,기타,광고 대행업,콘텐츠,벤처기업확인기관
114,주식회사 인터씨엘,혁신성장유형,충청남도 아산시,제조업,안경 및 안경렌즈 제조업,"콘택트렌즈 , 금형",벤처기업확인기관
70,㈜주원이노베이션,혁신성장유형,충청남도 천안시,제조업,광학 렌즈 및 광학 요소 제조업,콘택트렌즈,벤처기업확인기관
428,디케이메디비젼(주),벤처투자유형,충청남도 천안시,제조업,그 외 기타 의료용 기기 제조업,콘택트렌즈,벤처기업확인기관
1042,주식회사 플로우텍,혁신성장유형,충청남도 천안시,제조업,그 외 기타 달리 분류되지 않은 제품 제조업,콘크리트화학혼화제,벤처기업확인기관
1247,(주)천지콘텍,혁신성장유형,충청남도 아산시,제조업,콘크리트 관 및 기타 구조용 콘크리트제품 제조업,"콘크리트조립구조제제품(홀스페이서,매립콘,휀스톤,콘마개) 제조",벤처기업확인기관
847,㈜금호콘텍,혁신성장유형,충청남도 당진시,제조업,그 외 기타 콘크리트 제품 및 유사 제품 제조업,콘크리트제품제조업,벤처기업확인기관
893,㈜이스텍,혁신성장유형,충청남도 논산시,제조업,"콘크리트 타일, 기와, 벽돌 및 블록 제조업",콘크리트블록,벤처기업확인기관
