회사명,전화번호,팩스번호,도로명주소,지번주소,업종명,생산품,대표자명,운영구분,데이터기준일자
(주)대성특장,,,충청남도 부여군 석성면 증산리 727-22번지,충청남도 부여군 석성면 증산리 727-22번지,유압기기 제조업 외 1 종,"유압실린더, 건설기계 적재함, 포크레인 버켓",강은규,,2026-01-26
(주)동방아그로,041-830-4683,041-833-4683,충청남도 부여군 양화면 충절로 148 외 14필지,충청남도 부여군 양화면 벽용리 199번지 ,화학 살균.살충제 및 농업용 약제 제조업 외 2 종,"농약(적시타,스미시마진,스미치온,지오릭스)","염병만, 염병진",,2026-01-26
(주)려암,041-836-8301,041-836-1585,충청남도 부여군 석성면 왕릉로 799,충청남도 부여군 석성면 증산리 785-3번지,전구 및 램프 제조업 외 1 종,전구 및 조명장치,이재엽,,2026-01-26
(주)리버앤텍,031-478-3366,031-478-3367,충청남도 부여군 은산면 충의로 604,충청남도 부여군 은산면 은산리 26번지,금속선 가공제품 제조업 외 2 종,"금속돌망태, 스톤네트, 침수방지용차수판",이용헌,,2026-01-26
(주)리브릿지씨엠씨,,041-834-6779,충청남도 부여군 초촌면 신암로 410-12,충청남도 부여군 초촌면 신암리 2-19,비내화 모르타르 제조업 외 1 종,"비내화모르타르, 기타유기화학물질",이선목,,2026-01-26
(주)미네랄이십일,041-832-7736,,충청남도 부여군 규암면 충절로2599번길 57,충청남도 부여군 규암면 모리 319-1번지,수프 및 균질화식품 제조업,조미식품,이정애,휴업,2026-01-26
(주)별표비니루,041-836-0854,,충청남도 부여군 석성면 증산로 81,충청남도 부여군 석성면 증산리 1291번지,플라스틱 필름 제조업 외 1 종,일반프라스틱 필름,박광준,,2026-01-26
(주)비에스부여공장,041-836-1045,041-836-3987,충청남도 부여군 홍산면 비홍로 39-6,충청남도 부여군 홍산면 홍양리 306-6번지,자동차 차체용 신품 부품 제조업 외 2 종,자동차부품(오일레스베아링),김춘영,,2026-01-26
(주)비엠에스,041-834-7100,041-834-7300,충청남도 부여군 장암면 장암로 113-41 ,충청남도 부여군 장암면 원문리 1번지 ,그 외 기타 분류 안된 비금속 광물제품 제조업 외 6 종,비금속광물제품제조,김기일,,2026-01-26
(주)산들로,041-835-5700,,충청남도 부여군 홍산면 홍산로 85,충청남도 부여군 홍산면 북촌리 166-3번지,"천막, 텐트 및 유사 제품 제조업 외 1 종","텐트,골프넷트",윤영균,,2026-01-26
(주)삼성화약연화 부여지점,041-832-8400,041-832-8406,충청남도 부여군 세도면 청송로 151,충청남도 부여군 세도면 청송리 40-1번지,화약 및 불꽃제품 제조업,꽃불류,박학훈,,2026-01-26
(주)삼정아코텍,041-833-5200,041-833-5202,충청남도 부여군 임천면 부흥로171번길 24,충청남도 부여군 임천면 칠산리 330번지,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 2 종,경량콘크리트판넬,김대유,휴업,2026-01-26
(주)삼화,041-834-8686,041-836-7711,충청남도 부여군 은산면 은남로 30-25,충청남도 부여군 은산면 가중리 566번지,종이 포대 및 가방 제조업,쇼핑백용 종이,윤신근,,2026-01-26
(주)서원코리아,031-430-0369,031-430-0368,충청남도 부여군 임천면 부흥로171번길 27,충청남도 부여군 임천면 칠산리 290번지,정형 내화 요업제품 제조업 외 1 종,"난연재료, 난연패드",고석풍,,2026-01-26
(주)서진기계,041-836-7477,041-836-7479,충청남도 부여군 석성면 금백로 657-29,충청남도 부여군 석성면 증산리 1302번지,육상 금속 골조 구조재 제조업 외 1 종,라이닝폼,오진근,,2026-01-26
(주)성천씨엠에스,041-837-2400,,충청남도 부여군 초촌면 신암로 422 ,충청남도 부여군 초촌면 신암리 1-4번지,디지털 적층 성형기계 제조업 외 1 종,철구조물,김정태,,2026-01-26
(주)시온앤텍,031-478-3366,031-478-3367,충청남도 부여군 은산면 충의로 604,충청남도 부여군 은산면 은산리 26,금속선 가공제품 제조업,"스톤네트, 금속돌망태",신하희영,,2026-01-26
(주)씨엔비테크,041-835-8283,041-835-8293,충청남도 부여군 규암면 흥수로 780,충청남도 부여군 규암면 내리 293-35번지,유선 통신장비 제조업 외 5 종,"감시 및 탐지장비, 교통통제장비",권석규,,2026-01-26
(주)에스엠산업,041-832-1149,041-832-1148,충청남도 부여군 홍산면 비홍로 55,충청남도 부여군 홍산면 홍양리 306-1,구조용 금속 판제품 및 공작물 제조업 외 1 종,"흡음형방음벽 및 방음판(전면판), 흡음형방음벽 및 방음판(후면판)",이상면,,2026-01-26
(주)에스유엔,041-836-4470,041-836-4471,"충청남도 부여군 장암면 위덕로445번길 28-2, 가동",충청남도 부여군 장암면 상황리 328-16 가동,기타 건축용 플라스틱 조립제품 제조업,"플라스틱 축사, 칸막이",문현욱,,2026-01-26
(주)엔케이시스템,041-837-7972,041-835-7972,충청남도 부여군 은산면 충의로622번길 13,충청남도 부여군 은산면 은산리 15번지,일반용 전기 조명장치 제조업 외 10 종,"LED조명, 경관조명, 전광판, 간판 및 광고물 등",임복남,,2026-01-26
(주)영일,041-833-9528,041-832-5543,충청남도 부여군 구룡면 흥수로 7,충청남도 부여군 구룡면 동방리 686-2번지,건설용 석제품 제조업 외 1 종,"묘지석, 장식용 석제품",신영하,,2026-01-26
(주)우리면,041-832-1571,041-833-1573,충청남도 부여군 은산면 충의로 602-32,충청남도 부여군 은산면 은산리 16-14번지,"면류, 마카로니 및 유사식품 제조업 외 1 종",국수,이주현,,2026-01-26
(주)유창면,041-835-7700,041-833-1573,충청남도 부여군 은산면 은남로20번길 44,충청남도 부여군 은산면 가중리 557,"면류, 마카로니 및 유사식품 제조업 외 2 종","면류(비유탕라면), 생면, 생면판, 쌀가루",이주현,,2026-01-26
(주)이수산업,041-837-8701,041-837-8703,충청남도 부여군 석성면 금백로 632 ,충청남도 부여군 석성면 증산리 680-2번지 ,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 1 종,FLY-ASH 정제 SYSTEM,이재문,,2026-01-26
(주)일성에너지산업,02-6052-8004,02-6052-8005,,충청남도 부여군 규암면 모리 313-1,기타 기관 및 터빈 제조업,풍력발전기,차남훈,휴업,2026-01-26
(주)정성면,041-832-1571,041-833-1573,충청남도 부여군 은산면 충의로622번길 31,충청남도 부여군 은산면 은산리 12번지,"면류, 마카로니 및 유사식품 제조업 외 1 종",쌀국수,이주현,,2026-01-26
(주)정우소재,041-834-6778,041-834-6779,충청남도 부여군 초촌면 신암로 410-10 ,충청남도 부여군 초촌면 신암리 2-14번지 ,비내화 모르타르 제조업 외 1 종,"특수시멘트모르타르, 건설토목용 우레탄 및 아크릴계 방수재",박정준,,2026-01-26
(주)제일산업,041-836-8077,041-836-8078,충청남도 부여군 홍산면 비홍로 59-10,충청남도 부여군 홍산면 홍양리 305-3번지,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 2 종,"벤치플륨,호안블럭",김용완,,2026-01-26
(주)케이지콘크리트,,,충청남도 부여군 홍산면 홍양리 307-7번지,충청남도 부여군 홍산면 홍양리 307-7번지,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 1 종,콘크리트관 및 조립구조 등,박승범,,2026-01-26
(주)케이티에프테크,041-835-9070,041-835-9074,충청남도 부여군 석성면 증산로 95,충청남도 부여군 석성면 증산리 1291-26번지,안전유리 제조업 외 3 종,"판유리가공품,태양전지모듈",권량,,2026-01-26
(주)킹스톤,ARS-1566-9760,051-552-2772,충청남도 부여군 세도면 망개남로 5 ,충청남도 부여군 세도면 청포리 264 ,농업 및 임업용 기계 제조업 외 2 종,"전기매트, 온수 구들 건조기",허중,,2026-01-26
(주)태양글로벌,041-837-0340,,충청남도 부여군 장암면 위덕로445번길 28-2,충청남도 부여군 장암면 상황리 328-16번지,플라스틱 필름 제조업 외 1 종,PE슬란트,김동철,폐업,2026-01-26
(주)티제이콘크리트,041-837-8370,,충청남도 부여군 홍산면 비홍로 27 ,충청남도 부여군 홍산면 홍양리 307-4 ,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 2 종,"콘크리트 관 및 조립구조, 콘크리트2차제품",박상범,,2026-01-26
(주)한국에어로테크,041-832-3364,,충청남도 부여군 장암면 위덕로 215-9,충청남도 부여군 장암면 지토리 921-2,육상 금속 골조 구조재 제조업 외 1 종,"LINER PLATE, LINER PLATE",김외숙,,2026-01-26
(주)한국인삼공사 고려인삼창(부여공장),041-830-3267,041-836-3188,충청남도 부여군 규암면 흥수로 846 (한국인삼공사고려인삼창) ,충청남도 부여군 규암면 내리 200번지 한국인삼공사고려인삼창 ,인삼식품 제조업 외 4 종,"홍삼정, 뿌리삼","안빈,임왕섭",,2026-01-26
(주)한길,041-834-0537,041-834-0539,충청남도 부여군 초촌면 신암로 412 ,충청남도 부여군 초촌면 신암리 2번지 ,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 2 종,"수로관,블럭,인공암",차재영,,2026-01-26
(주)한옥새움,041-408-7013,041-408-8485,충청남도 부여군 은산면 충의로622번길 23,충청남도 부여군 은산면 은산리 13번지,그 외 기타 나무제품 제조업 외 2 종,"이동식 한옥 구조물, 이동식 한옥 구조물, 이동식 한옥 구조물","김상협, 조영민",,2026-01-26
(주)한준레미콘,041-834-7952,,충청남도 부여군 초촌면 응신길 260,충청남도 부여군 초촌면 신암리 246-5 번지,레미콘 제조업,레미콘,정현준,,2026-01-26
(주)한중타포린 부여지점,041-735-6900,041-735-6917,충청남도 부여군 석성면 종북로 226-5 ,충청남도 부여군 석성면 증산리 949-2번지 ,화학섬유직물 직조업,타포린원단,박진규,,2026-01-26
(주)한진펌프,031-996-3600,031-996-3604,충청남도 부여군 은산면 가중리 556번지,충청남도 부여군 은산면 가중리 556번지,액체 펌프 제조업 외 1 종,"수중펌프 및 수처리 장비, 구조용 금속 판제품 및 공작물",김영운,폐업,2026-01-26
(주)해송피엘(PL),031-798-1861,031-798-1863,충청남도 부여군 임천면 부흥로171번길 25,충청남도 부여군 임천면 칠산리 290-9,설치용 및 위생용 플라스틱제품 제조업,PET용기,정순웅,,2026-01-26
(주)햇살미트,041-837-9337,,충청남도 부여군 구룡면 흥수로 16,충청남도 부여군 구룡면 동방리 684-3번지,육류 도축업(가금류 제외) 외 1 종,"우육,돈육",박은경,폐업,2026-01-26
(주)현호산업,,050-4192-3236,충청남도 부여군 홍산면 비홍로 39-20,충청남도 부여군 홍산면 홍양리 306-5번지,표면 가공 목재 및 특정 목적용 제재목 제조업,톱밥,강봉호,폐업,2026-01-26
(주)효진엔지니어링 제1공장,041-552-6378,041-552-6379,,충청남도 부여군 은산면 경둔리 30,설치용 및 위생용 플라스틱제품 제조업,"조립된 FRP파이프, 조립된 FRP트랜치",서익환,,2026-01-26
(주)효진엔지니어링 제2공장,041-552-6378,041-552-6379,충청남도 부여군 장암면 위덕로445번길 40,충청남도 부여군 장암면 상황리 328-5,"플라스틱 선, 봉, 관 및 호스 제조업 외 2 종","FRP원형관, FRP수로용, FRP흡착필터용",서익환,휴업,2026-01-26
가나종합(주),041-834-0533,,충청남도 부여군 초촌면 신암로 382,충청남도 부여군 초촌면 신암리 4-5번지 ,기타 편조의복 액세서리 제조업,장갑,진홍철,폐업,2026-01-26
가람예공,041-836-5035,041-836-7374,충청남도 부여군 외산면 만수로 353-4,충청남도 부여군 외산면 장항리 373-1번지,코르크 및 조물제품 제조업 외 3 종,문발,최광호,,2026-01-26
가림직업재활센터,041-834-0294,041-835-1770,충청남도 부여군 임천면 부흥로 229-4,충청남도 부여군 임천면 칠산리 210-5,일반용 전기 조명장치 제조업,"LED가로등, LED보안등, LED터널등 외",이상진,,2026-01-26
가림직업재활센터,041-834-0294,041-835-1770,충청남도 부여군 초촌면 신암로 128-31,충청남도 부여군 초촌면 신암리 485-4,분사기 및 소화기 제조업,분말소화기,이상진,휴업,2026-01-26
규암농업협동조합,041-836-0184,041-835-0186,충청남도 부여군 규암면 흥수로 653,충청남도 부여군 규암면 합송리 403번지,곡물 도정업,백미,천성룡,,2026-01-26
규암농협은산미곡종합처리장,041-832-6280,041-832-3313,충청남도 부여군 은산면 충절로 2851,충청남도 부여군 은산면 은산리 177-31번지,곡물 도정업,백미,천성룡,,2026-01-26
금산인삼농업협동조합,041-832-7884,041-834-7884,충청남도 부여군 은산면 충의로 602-12,충청남도 부여군 은산면 은산리 25-14번지,인삼식품 제조업,"홍삼, 홍삼농축액",강상묵,,2026-01-26
금성공업사,041-835-2810,041-835-2811,충청남도 부여군 규암면 반산로 8,충청남도 부여군 규암면 반산리 100-4번지 ,기타 가공 공작기계 제조업,건설기계장비수리,한순희외1인,,2026-01-26
기흥철망,041-834-5050,,충청남도 부여군 은산면 충의로 600,충청남도 부여군 은산면 은산리 25-13 번지,금속선 가공제품 제조업 외 7 종,"용접철망, 돌망태",양광희,폐업,2026-01-26
남면농업협동조합,041-837-0053,041-832-6377,충청남도 부여군 남면 남성로 746,충청남도 부여군 남면 마정리 868-5번지,곡물 도정업,백미,신대철,,2026-01-26
농업회사법인 두일TMR(주),041-835-0770,041-835-9933,충청남도 부여군 석성면 왕릉로 841-39 ,충청남도 부여군 석성면 증산리 700-1번지 ,반려동물용 사료 제조업 외 2 종,조사료,최두식,,2026-01-26
농업회사법인 비이에프부여(주),041-836-0202,041-835-0288,,충청남도 부여군 장암면 석동리 11,과실 및 그 외 채소 절임식품 제조업,"스테비아 토마토, 스테비아 자두",정상원,,2026-01-26
농업회사법인 송이아저씨 주식회사,041-835-6889,041-836-6809,충청남도 부여군 석성면 왕릉로 516-26 ,충청남도 부여군 석성면 정각리 220-12번지 ,기타 과실ㆍ채소 가공 및 저장 처리업,"버섯류 전처리, 과채가공","도유경, 이인우",,2026-01-26
농업회사법인 우듬지팜 주식회사,041-834-2958,041-832-2958,충청남도 부여군 규암면 흥수로 698,충청남도 부여군 규암면 합송리 29-9 ,과실 및 그 외 채소 절임식품 제조업,스테비아토마토,김호연,,2026-01-26
농업회사법인 현진(주),041-832-4669,,충청남도 부여군 초촌면 마름로329번길 33,충청남도 부여군 초촌면 송정리 539-1번지,곡물 도정업,일반미,이재승,휴업,2026-01-26
농협양곡(주) 부여통합미곡종합처리장,041-836-0181,041-836-9181,충청남도 부여군 규암면 흥수로 679,충청남도 부여군 규암면 합송리 1178-8번지,곡물 도정업,쌀,박종덕,,2026-01-26
늘푸른길 주식회사,041-837-7600,041-835-9193,충청남도 부여군 부여읍 삼충로 301-1,충청남도 부여군 부여읍 자왕리 376-2번지,그 외 기타 특수목적용 기계 제조업,동물 폐사체 처리장비(이동식),김덕환,,2026-01-26
대경이엔에스,041-835-2006,041-836-5034,충청남도 부여군 장암면 위덕로445번길 48,충청남도 부여군 장암면 상황리 335-6번지,설치용 및 위생용 플라스틱제품 제조업,에프알피정화조,박일성,폐업,2026-01-26
대신석재,041-836-5180,041-831-0078,충청남도 부여군 외산면 성충로 13,충청남도 부여군 외산면 만수리 43번지,건설용 석제품 제조업 외 1 종,"비석, 상석, 경계석,각석, 판석, 조경석",곽근부,,2026-01-26
대한레미콘주식회사,041-836-3131,041-836-3136,충청남도 부여군 석성면 왕릉로 619,충청남도 부여군 석성면 증산리 1316-6번지,레미콘 제조업,레미콘,임영국,,2026-01-26
대한폴리텍(주),070-4348-2248,070-4369-9220,충청남도 부여군 임천면 부흥로171번길 27,충청남도 부여군 임천면 칠산리 290-2번지,합성수지 및 기타 플라스틱 물질 제조업 외 2 종,"경질 폴리우레탄 폼 단열재, 연질 폴리우레탄 폼(메모리폼 매트리스)","이종관, 이우석",,2026-01-26
도쿄일렉트론(주),041-832-8737,041-834-8820,충청남도 부여군 장암면 충절로1713번길 43,충청남도 부여군 장암면 합곡리 341번지,기타 가정용 전기기기 제조업,손건조기,백병선,폐업,2026-01-26
동성이앤지(주),041-832-1286,,충청남도 부여군 홍산면 비홍로 31,충청남도 부여군 홍산면 홍양리 307-1번지,액체 여과기 제조업 외 5 종,하수처리기자재,"윤여규, 윤여봉",,2026-01-26
동양산업,041-832-5249,041-832-5250,충청남도 부여군 규암면 함양로 69,충청남도 부여군 규암면 함양리 44-3번지,"목재 포장용 상자, 드럼 및 유사용기 제조업",목재상자,남창규,,2026-01-26
동인화학(주),031-665-0972,,충청남도 부여군 장암면 사동로태동3길 24,충청남도 부여군 장암면 지토리 137-7번지,접착제 및 젤라틴 제조업,접착제류,김선경,,2026-01-26
두두담 농업회사법인 주식회사,041-837-3559,0504-372-3559,충청남도 부여군 남면 마정로 13,충청남도 부여군 남면 마정리 882-1,과자류 및 코코아 제품 제조업,튀김과자제조,나미영,,2026-01-26
라이온후드엔지리어링,02-2608-3363,,충청남도 부여군 초촌면 신암로 281,충청남도 부여군 초촌면 신암리 75-11번지,그 외 기타 종이 및 판지 제품 제조업,생분해성용기,강희영,,2026-01-26
로보시스텍,,041-835-6424,충청남도 부여군 구룡면 흥수로 153-8,충청남도 부여군 구룡면 태양리 383번지,"천막, 텐트 및 유사 제품 제조업 외 1 종",보온차광 커튼,김희선,,2026-01-26
로타리정미소,041-835-3292,041-834-3292,충청남도 부여군 부여읍 성왕로 357-14,충청남도 부여군 부여읍 쌍북리 183-1 번지,곡물 도정업,"쌀,찹쌀",윤석화,,2026-01-26
리니어주식회사,041-834-5821,041-834-5826,충청남도 부여군 임천면 만가로 20-6,충청남도 부여군 임천면 만사리 96-7번지,부직포 및 펠트 제조업,상·하수도 보수용 펠트,김철환,,2026-01-26
메인스틸 주식회사,,,충청남도 부여군 홍산면 비홍로 31,충청남도 부여군 홍산면 홍양리 307-1번지,육상 금속 골조 구조재 제조업,DH-BEAM,전창환,폐업,2026-01-26
미래기계,,,충청남도 부여군 내산면 성충로 1201-41,충청남도 부여군 내산면 율암리 126-7번지 번지,기타 가공 공작기계 제조업,창소(샤시),최종성,,2026-01-26
미화석재(주),041-834-1833,041-834-1834,충청남도 부여군 초촌면 신암로 410-31,충청남도 부여군 초촌면 신암리 2-26번지,건설용 석제품 제조업,건축석재,이미경,폐업,2026-01-26
밤뜨래 영농조합법인,041-836-5548,041-834-7707,충청남도 부여군 은산면 충의로 602-27,충청남도 부여군 은산면 은산리 25-6번지,기타 과실ㆍ채소 가공 및 저장 처리업,마론그랏세,강신황,,2026-01-26
밤뜨래영농조합법인,041-834-7700,041-834-7707,충청남도 부여군 은산면 가중리 568번지,충청남도 부여군 은산면 가중리 568번지,빵류 제조업 외 1 종,"밤케이크,맛밤, 밤양갱, 밤빵 등 밤 가공제품",강신황,,2026-01-26
백동산업 농업회사법인 주식회사,,,충청남도 부여군 석성면 비당로 393-9,충청남도 부여군 석성면 증산리 934-3,곡물 도정업,쌀/현미,이영규,,2026-01-26
백제라이팅,,041-834-0106,충청남도 부여군 은산면 충의로622번길 13,충청남도 부여군 은산면 충의로622번길 13,일반용 전기 조명장치 제조업 외 1 종,LED경관조명기구외,양나예,,2026-01-26
백제라이팅,,041-834-0106,충청남도 부여군 임천면 성흥로 260,충청남도 부여군 임천면 구교리 279,일반용 전기 조명장치 제조업 외 1 종,"LED가로등기구, 기타조명장치 외",양나예,,2026-01-26
백제요,041-836-0300,041-836-0301,충청남도 부여군 부여읍 삼충로 99,충청남도 부여군 부여읍 가증리 483번지,가정용 및 장식용 도자기 제조업,토기,신승복,,2026-01-26
보은산업,041-837-2468,041-839-2469,충청남도 부여군 구룡면 흥수로 407-10 ,충청남도 부여군 구룡면 구봉리 211번지 ,기타 건축용 플라스틱 조립제품 제조업,보온단열재,김용진,,2026-01-26
부여군공동가공센터,041-830-6870,041-830-6874,충청남도 부여군 장암면 의자로1235번길 35,충청남도 부여군 장암면 정암리 347번지,기타 과실ㆍ채소 가공 및 저장 처리업,"환류, 잼류, 즙류, 유제품 등",부여군수,,2026-01-26
부여군농업기술센터,041-830-2772,,충청남도 부여군 규암면 흥수로 496,충청남도 부여군 규암면 노화리 325-1 번지,반려동물용 사료 제조업 외 2 종,보조사료,정의교,,2026-01-26
부여농업협동조합,041-833-2664,041-833-2665,충청남도 부여군 부여읍 가증리 22-1번지,충청남도 부여군 부여읍 가증리 22-1번지,곡물 도정업,백미,김정식,,2026-01-26
부여레미콘주식회사,041-834-6636,041-834-6639,충청남도 부여군 규암면 충절로2599번길 15 ,충청남도 부여군 규암면 모리 150-2번지 ,레미콘 제조업,레미콘,박금희,,2026-01-26
부여바이오 주식회사,041-833-8250,041-836-8250,충청남도 부여군 초촌면 금백로 960-14 ,충청남도 부여군 초촌면 세탑리 24-8 ,그 외 기타 나무제품 제조업,국내산 미이용 산림바이오매스 우드펠릿,조대희,,2026-01-26
부여아스콘(유),041-832-0761,041-832-0763,충청남도 부여군 초촌면 응신길 280,충청남도 부여군 초촌면 신암리 247-1번지,아스팔트 콘크리트 및 혼합제품 제조업,아스콘,김승지,,2026-01-26
부여은산착한표고농원,041-836-8972,041-836-8972,충청남도 부여군 장암면 충절로1713번길 13,충청남도 부여군 장암면 합곡리 334-8,기타 과실ㆍ채소 가공 및 저장 처리업,표고버섯가루,성기현,,2026-01-26
부흥연식품,041-835-2862,,충청남도 부여군 부여읍 반월로 21-7,충청남도 부여군 부여읍 구아리 118-0번지,두부 및 유사식품 제조업,두부,박재학,,2026-01-26
비제이에너지,041-837-8011,041-837-8016,충청남도 부여군 장암면 위덕로 230,충청남도 부여군 장암면 지토리 741-7번지,"라이터, 연소물 및 흡연용품 제조업 외 3 종","섬유질가공사료, 고형연료",정재권,폐업,2026-01-26
사회복지법인 가림복지재단,041-834-0294,041-835-1170,충청남도 부여군 규암면 수북로 65 하성빌딩 제1층 제101호,충청남도 부여군 규암면 규암리 130-3 하성빌딩 제1층 제101호,일반용 전기 조명장치 제조업,LED가로등 보안등 터널등 외,김영륜,,2026-01-26
삼원 농업회사법인 주식회사,041-833-1003,041-835-1005,충청남도 부여군 구룡면 흥수로 409,충청남도 부여군 구룡면 구봉리 207-1,배합 사료 제조업,반추동물용섬유질배합사료,임봉수,,2026-01-26
삼화,041-834-8686,041-836-7711,충청남도 부여군 은산면 은남로 30-25,충청남도 부여군 은산면 가중리 566,종이 포대 및 가방 제조업,"종이, 박스",조창연,,2026-01-26
삼화프린팅(주),031-957-3330,031-957-3332,충청남도 부여군 은산면 가중리 566번지,충청남도 부여군 은산면 가중리 566번지,종이 포대 및 가방 제조업,"쇼핑백, 포장지, BOX, 각종 지류품",윤신근,,2026-01-26
서동석재(주),041-833-5558,,충청남도 부여군 초촌면 신암로 410-34,충청남도 부여군 초촌면 신암리 2-23번지,건설용 석제품 제조업,건축용석재,김용섭,,2026-01-26
석성정미소,041-833-2021,,충청남도 부여군 임천면 군사리 57번지,충청남도 부여군 임천면 군사리 57번지,곡물 도정업,백미,이근제,폐업,2026-01-26
선일수지,041-832-1257,,충청남도 부여군 석성면 금백로 726-14 ,충청남도 부여군 석성면 증산리 539번지 ,비금속류 해체 및 선별업 외 1 종,프라스틱재생원료,김덕재,,2026-01-26
선진기업(주),041-834-6556,041-834-6559,충청남도 부여군 석성면 선사로 12,충청남도 부여군 석성면 증산리 500-1번지,"콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 3 종","수로관,블럭, 인공암",한재명,,2026-01-26
세계식품,,,충청남도 부여군 장암면 위덕로성북1길 21,충청남도 부여군 장암면 지토리 708번지,전분제품 및 당류 제조업,전분,고양순,폐업,2026-01-26
세도석재산업,041-836-2030,,충청남도 부여군 장암면 상황리 328-9번지,충청남도 부여군 장암면 상황리 328-9번지,건설용 석제품 제조업,건축용석재,강원구,,2026-01-26
솔거종합식품,041-836-9973,,충청남도 부여군 석성면 종북로 57,충청남도 부여군 석성면 증산리 1009-3번지,김치류 제조업 외 3 종,"절임식품, 축산물 가공품",박형근,,2026-01-26
수지산업,,,충청남도 부여군 석성면 증산리 367-1번지  ,충청남도 부여군 석성면 증산리 367-1번지  ,"플라스틱 선, 봉, 관 및 호스 제조업 외 1 종",전선관및타포린제품,이병진,폐업,2026-01-26
신흥산업,041-833-9655,,충청남도 부여군 구룡면 망해로 14-1,충청남도 부여군 구룡면 주정리 201-1번지,"천막, 텐트 및 유사 제품 제조업 외 1 종",타포린천막,염기조,,2026-01-26
씨지주식회사,041-741-8305,041-742-5355,"충청남도 부여군 장암면 위덕로445번길 28-2, 나동",충청남도 부여군 장암면 상황리 328-16번지,일반용 도료 및 관련제품 제조업,천연도료,설동익,,2026-01-26
아이솔라에너지 주식회사,02-3152-9000,02-3152-9001,충청남도 부여군 임천면 부흥로171번길 27 ,충청남도 부여군 임천면 칠산리 290번지 ,육상 금속 골조 구조재 제조업 외 3 종,"태양광설치용 패널(건축용 지붕자재), 태양광설치구조물(철강구조물), 배전반, 태양광발전장치 기자재",윤석규,,2026-01-26
아주이엔지주식회사,041-832-1359,041-832-1359,충청남도 부여군 석성면 증산리 948-4번지 ,충청남도 부여군 석성면 증산리 948-4번지 ,육상 금속 골조 구조재 제조업,철구조물(육상금속골조구조재),"박정호, 김영태",,2026-01-26
알칼리 이온수기,,,충청남도 부여군 홍산면 안남로 235,충청남도 부여군 홍산면 홍양리 99-4,구조용 금속 판제품 및 공작물 제조업,온수패널,윤하영,휴업,2026-01-26
양진섬유,041-833-1545,041-833-1546,충청남도 부여군 세도면 인세로53번길 53-11,충청남도 부여군 세도면 귀덕리 452번지,연사 및 가공사 제조업,연사,임태병,,2026-01-26
에스원스틸(주),041-836-2564,041-836-2568,충청남도 부여군 홍산면 비홍로 59-2,충청남도 부여군 홍산면 홍양리 305-1번지,금속선 가공제품 제조업 외 1 종,"용접철망,돌망태",조달형,,2026-01-26
