업체명,대표자,주소, 전화 , 주생산품 ,비고
청양중기공업사,이재만,청양군 청양읍 구봉로 1159-43,041-944-3703,건설기계부품,개별입지
매일유업(주),김환석,청양군 청양읍 충절로 1355-58,041-940-5210,"가공유발효유유제품, 유가공 제품",개별입지
청양씽크공장,박봉석,청양군 청양읍 문화예술로 73,041-943-5252,"씽크대, 붙박이장",개별입지
㈜현진정보통신,김영임,"청양군 청양읍 칠갑산로148, 1층102호",070-4118-1233,"카메라, 캡쳐장치, 스피커",개별입지
구기자흑염소,명형철,청양군 운곡면 고인돌길 23-8,041-942-7874,장류 제조업,개별입지
(주)바이오믹스,홍성빈,청양군 운곡면 청신로 670,031-901-9240,구기자환,개별입지
햇쌀랜드,한영숙,청양군 운곡면 영미선길 53-5,041-942-6005,"찐빵,떡",개별입지
청양구기자원예농업협동조합,복영수,청양군 운곡면 청신로 670,041-943-6998,차류  ,개별입지
청양둔송구기주,임영순,청양군 운곡면 추광길 2-10,041-942-8138,탁주 및 약주,개별입지
청양구기자한과,안향순,청양군 운곡면 후덕리 103-1번지,041-942-8581,한과,개별입지
청양농협청양고추가공공장,김성훈,청양군 운곡면 방축길 10,041-942-3186,고춧가루,개별입지
청양구기자영농조합법인,명명식,청양군 운곡면 청신로 671,041-943-4305,"구기자한과,구기자다림",개별입지
농업회사법인 아리랑주조(주),이윤범,청양군 대치면 방죽골길 46-19,041-943-7678,탁주 및 약주,개별입지
미가람제과,정진희,청양군 목면 안심동길 20-34,041-943-7978,곡물과자,개별입지
대평산업기계,김태홍,청양군 목면 가야미길 27-58,041-942-9552,"수문,철문",개별입지
칠갑산주조(주),윤종림,청양군 목면 무술길 2,041-942-8018,탁주 및 약주,개별입지
한스텍㈜,정한수,청양군 정산면 충의로 1576-16,070-4106-8742,"비누,화장품",개별입지
(주)백도,우종성,청양군 정산면 백곡길 46-5,041-942-6641,"구조용금속판제품,금속가공물",개별입지
농업회사법인 신선농원㈜,김선호,청양군 정산면 충의로 1078,,"가공염, 볶은 소금",개별입지
한별주식회사,구광회,청양군 목면 안심길 224,1588-3687,컨테이너 하우스,개별입지
(주)우리에프엔비,이대열,청양군 청남면 막골길 7,041-944-2227,"발효유, 유산균음료류 등",개별입지
정산농협,김봉락,청양군 청남면 청소리 587-2번지,041-942-0681,부산물비료,개별입지
농업회사법인(주)청남원,홍관훈,청양군 청남면 막골길 7-5,,갈변(과일)요구르트,개별입지
장수식품,여길현,청양군 청남면 명덕산길 53-2,,"족발,소스류",개별입지
꽃뫼영농조합법인,이춘복,청양군 장평면 상지길 39-1,041-943-8002,"맥문동차, 맥문구기차,맥문보리차",개별입지
백제인주조,장정화,청양군 장평면 안터골길 6-1,041-943-9464,"탁주, 약주",개별입지
(주)에스케이에스이엔지,배채현,청양군 장평면 구룡리 250-2번지,02-868-3251,항온항습기,개별입지
신기산업(주),김동복,청양군 남양면 구봉로 783-24,041-943-6688,토양개량제,개별입지
아이에스동서(주)청양지점,"남병옥, 이준길",청양군 남양면 구용길 338,041-943-4482,콘크리트화일,개별입지
선한이웃영농조합법인,유성애,청양군 남양면 충절로 281-9,041-942-0119,"제과,제빵",개별입지
청심산업,전병호,청양군 화성면 산당로 286,041-944-0090,유기질비료,개별입지
(주)삼진레미콘,김만옥. 김자성,청양군 화성면 대청로 577,041-944-0022,레미콘,개별입지
감로농원,최정미,청양군 화성면 큰동네길 62-1,041-943-3877,조청,개별입지
농업회사법인㈜한울효시,이상주,청양군 화성면 띠실길 41-2,041-944-0096,무청시래기소스,개별입지
청양사슴영농조합법인,류시훈,청양군 비봉면 신원리 578-5번지,041-943-8901,"녹용 아이디어,녹용 한방차",개별입지
제일레미콘(주),권영기,청양군 비봉면 록평용당로 575-20,041-943-7300,레미콘,개별입지
(주)삼화그린텍,윤호준,청양군 비봉면 록평용당로 347,041-942-5030,질석비료,개별입지
칠갑산구기자한과영농조합법인,민명옥,청양군 비봉면 은골길 87,041-943-1036,곡분과자제조업,개별입지
(주)영수식품 제1공장,정헌민,청양군 비봉면 홍주길 4,041-943-5697,물엿,개별입지
제일아스콘(주),주미현,청양군 비봉면 록평용당로 575-19,041-943-7300,아스콘,개별입지
㈜뉴콘,김순대,청양군 정산면 충의로 1183-19,,"보강토옹벽블록, 축조블록 등",개별입지
㈜도담케어,황현환,청양군 정산면 천장호길 154-8,02-485-7723,마스크,개별입지
㈜청정산업,이주석,청양군 청남면 동대길 147-5,041-942-9336,"휴지, 물티슈, 점보롤",개별입지
농업회사법인 ㈜미리내,박찬정,청양군 정산면 와촌들길 13,041-942-3363,"홍삼음료, 흑삼음료",개별입지
청양구기자영농조합법인,명문희,청양군 운곡면 청신로 665-3,,구기자 한과,개별입지
농업회사법인 ㈜예원,김수연,충청남도 청양군 대치면 칠갑산로 554-22,041-944-1012,"냉난방기, 공조기, 쇼케이스",개별입지
대동정미소,정한빛,충청남도 청양군 대치면 칠갑산로 379-23,041-943-2536,"정미 쌀, 도정 현미",개별입지
사자산영농조합법인,이남훈,청양군 화성면 산당로 441,041-943-0089,"고춧가루, 참/들기름, 농산물 가공품",개별입지
도경하우징㈜,구자령,청양군 목면 안심길 224,,컨테이너,개별입지
청양군먹거리융복합시설(청양군농산물가공협동조합),청양군수,대치면 탄정리 304-4번지 외 4필지,041-940-2811,"구기자 건조품, 산채나물 건조품 등",개별입지
㈜전진산업환경,유재성,장평면 닭우리고개길 4-1,041-942-6486,금속 조립 구조재,개별입지
충남석재,윤봉균,청양읍 중앙로17길 7,,석재가공품,개별입지
청양칠갑마늘 영농조합법인,이성연,청양읍 청수리 906-17,041-943-7557,마늘 단순가공,개별입지
더다인 주식회사,노문희,정산면 충의로 1212-7,041-943-3338,"씽크볼, 수전 월아트",
상상디자인,한상철,청양읍 고리섬들길 68-9,041-943-5111,"명함, 전단지, 책, 간판, 시트지, 현수막",
엔에이치산업 주식회사,강민정,"대치면 칠갑산로 554-22, 1동 102호",041-944-1713,미끄럼방지 포장재,
㈜드로니아 청양지점,정한옥,"청양읍 칠갑산로1길 31, 413호",041-531-0912,드론,
