기업체명,대표자명,공장대표주소(도로명),공장대표주소(지번),종업원수,생산품,전화번호,팩스번호,데이터 기준일자
한산벽돌,이영춘,충청남도 서천군 한산면 한마로 31 (한산콘크리트(주)),충청남도 서천군 한산면 지현리 96-5번지,9,콘크리트2차제품,041-957-0559,041-951-1982,2025-07-12
서해종합식품,박배순,충청남도 서천군 판교면 종판로887번길 58 (서해종합식품),충청남도 서천군 판교면 현암리 147-9번지,2,"칡즙,포도즙,배즙",041-951-5608,,2025-07-12
주식회사 트래닛,강기완,충청남도 서천군 종천면 종천공단길32번길 14 (종천면) 외 2필지,충청남도 서천군 종천면 석촌리 410 외 2필지,7,"충진칩, 자동차 카매트",041-952-7256,041-952-7257,2025-07-12
농업회사법인 한생 주식회사 종천공장,임순균,충청남도 서천군 종천면 종천공단길62번길 42-10,충청남도 서천군 종천면 석촌리 677번지,14,"채소,야채 ",041-956-1434,,2025-07-12
진성기건,유혁종,충청남도 서천군 장항읍 원수리 923-7번지,충청남도 서천군 장항읍 원수리 923-7번지,4,창호금속구조제,041-956-8947,041-956-5857,2025-07-12
송진정밀공업,조성달,충청남도 서천군 장항읍 장마로 78 (송진공업),충청남도 서천군 장항읍 신창리 38-4번지,2,착유기,041-956-1534,041-956-0153,2025-07-12
금성지관(주),허재욱,충청남도 서천군 종천면 종천공단길 44 (금성지관),충청남도 서천군 종천면 석촌리 420-5번지,36,지관,041-952-4308,041-952-1228,2025-07-12
우일수산(주) 장항1지점,김정림,충청남도 서천군 장항읍 장항공단길28번길 8-1 외 1필지,충청남도 서천군 장항읍 원수리 450-44번지 외 1필지,5,"증숙감자,증숙고구마,쌀분말,오징어분말",041-955-8100,041-956-8161,2025-07-12
우일수산(주) 장항2지점,김정림,충청남도 서천군 장항읍 장산로 327 외 2필지,충청남도 서천군 장항읍 창선1리 307번지 외 2필지,20,"증숙감자,건새우분말,증숙고구마, 냉동새우",041-955-8100,041-955-8181,2025-07-12
(주)남전물산,"이병익, 정석원",충청남도 서천군 장항읍 장항공단길 71 (남전물산),충청남도 서천군 장항읍 원수리 450-15번지,15,"주문형첨가제18종,아델린에프, 단미사료",041-956-7207,041-956-7207,2025-07-12
따봉식품,이희,충청남도 서천군 서면 도둔리 61-19번지,충청남도 서천군 서면 도둔리 61-19번지,10,"조미김,냉동수산(주꾸미,꽃게)",,,2025-07-12
(주)서천원조김,박미영,충청남도 서천군 서면 갯벌체험로 10 외 1필지,충청남도 서천군 서면 도둔리 72-535번지 외 1필지,3,조미김,041-951-5852,070-7675-6162,2025-07-12
(주)해담솔,민근식,충청남도 서천군 서천읍 대백제로 1176-8,충청남도 서천군 서천읍 오석리 458-1번지,4,조미김,041-951-8789,041-951-8768,2025-07-12
마마식품 주식회사,이희택,충청남도 서천군 서면 신월길 131-32,충청남도 서천군 서면 월리 433,23,조미김,041-733-6470,041-732-7440,2025-07-12
서천맛김,김정란,충청남도 서천군 마서면 장천로 921-19 (서천맛김),충청남도 서천군 마서면 한성리 670-26번지,12,조미김,041-953-6009,041-953-6009,2025-07-12
서천해의 어업회사법인(주),조용준,충청남도 서천군 서면 신월길 8-10,충청남도 서천군 서면 신합리 503,36,조미김,041-952-2365,041-951-3365,2025-07-12
서천해초김(주),김종완,"충청남도 서천군 마서면 송신로 313, (옥산리 794-2) 외 1필지",충청남도 서천군 마서면 옥산리 794-2번지 (옥산리 794-2) 외 1필지,4,조미김,041-951-0419,041-951-0420,2025-07-12
어업회사법인 청담 주식회사,이건엽,,충청남도 서천군 서면 월리 421 외 1필지,7,조미김,,,2025-07-12
어업회사법인명품김주식회사,김재철,충청남도 서천군 종천면 희리산길 139,충청남도 서천군 종천면 산천리 580-15번지,12,조미김,041-952-8983,041-953-8958,2025-07-12
어업회사법인천해식품주식회사,석하나,충청남도 서천군 서면 신월길 131-17,충청남도 서천군 서면 월리 422,15,조미김,041-952-8295,,2025-07-12
영신식품,양태용,"충청남도 서천군 서면 신월길 131-22, 서면김가공특화단지",충청남도 서천군 서면 월리 435번지 서면김가공특화단지,25,조미김,041-952-9288,,2025-07-12
왕가어업회사법인(주),최승영,충청남도 서천군 서면 신월길 131-19,충청남도 서천군 서면 월리 422-1,15,조미김,041-952-8593,,2025-07-12
우일식품,정종범,충청남도 서천군 마서면 마서로685번길 1 (우일식품),충청남도 서천군 마서면 죽산리 329번지,12,조미김,041-952-1736,,2025-07-12
유한회사 해랑,장순권,충청남도 서천군 서면 월리 433-1번지 김가공특화단지,충청남도 서천군 서면 월리 433-1번지 김가공특화단지,25,조미김,,041-952-7572,2025-07-12
충남마른김가공수산업협동조합,이대희,충청남도 서천군 서면 신월길 131-9,충청남도 서천군 서면 월리 423 충남마른김가공수산업협동조합,40,조미김,041-953-9811,,2025-07-12
해돋이맛김,이상현,충청남도 서천군 서면 공암남촌길 124-7,충청남도 서천군 서면 도둔리 61-15번지,1,조미김,041-952-2762,,2025-07-12
해락원 영어조합법인,박민자,충청남도 서천군 비인면 비인로201번길 79,충청남도 서천군 비인면 선도리 217-2번지,2,조미김,,,2025-07-12
해미S&F영어조합법인,이창기,충청남도 서천군 서면 신월길 131-23 외 1필지,충청남도 서천군 서면 월리 431 외 1필지,16,조미김,041-953-6300,,2025-07-12
바다로21,이명원,충청남도 서천군 종천면 희리산길 131 ((주)바다로21) 외 2필지,충청남도 서천군 종천면 산천리 580-4번지 외 2필지,24,조미구이김,041-952-5820,041-952-5890,2025-07-12
복영냉동,김복전,충청남도 서천군 장항읍 장산로 306-7 (구내식당),충청남도 서천군 장항읍 창선1리 328-1번지,3,제빙,041-956-4328,041-956-4318,2025-07-12
평택산업(주)서천공장,홍재현,충청남도 서천군 종천면 종천공단길32번길 21,충청남도 서천군 종천면 석촌리 442,4,절삭공구,041-953-2070,041-953-2090,2025-07-12
우일축산,임동희,충청남도 서천군 장항읍 장항공단길 64 (장항읍) 외 1필지,충청남도 서천군 장항읍 원수리 450-20 우일수산 외 1필지,12,절단육,,,2025-07-12
(주)한국글로벌제약,이정우,충청남도 서천군 종천면 종천공단길32번길 26,충청남도 서천군 종천면 석촌리 417-4번지,23,전문의약품,041-951-4300,,2025-07-12
엘에스니꼬동제련(주)장항공장,"구자명,수에나가치카시",충청남도 서천군 장항읍 화송길 123 ((주)LG산전(장항공장)),충청남도 서천군 장항읍 장암리 78-5번지,51,"전기동, 조황산니켈",041-955-3712,041-956-6762,2025-07-12
금강1호 태양광발전소,전기태,충청남도 서천군 장항읍 장항공단길28번길 34,충청남도 서천군 장항읍 원수리 450-29 (주)동흥기업,0,전기,,,2025-07-12
금강2호 태양광발전소,이정화,충청남도 서천군 장항읍 장항공단길28번길 34,충청남도 서천군 장항읍 원수리 450-29 (주)동흥기업,0,전기,,,2025-07-12
금아 태양광발전소,변상숙,충청남도 서천군 종천면 종천공단길 37-8 (대한전기),충청남도 서천군 종천면 석촌리 416-89번지,1,전기,,,2025-07-12
기업과사람들1 태양광발전소,이인숙,"충청남도 서천군 종천면 종천공단길 47, 5동",충청남도 서천군 종천면 석촌리 91 씨엔테크(주) 5동,0,전기,041-953-8408,,2025-07-12
기업과사람들2 태양광발전소,이인숙,"충청남도 서천군 종천면 종천공단길 47, 1동, 5동","충청남도 서천군 종천면 석촌리 91 씨엔테크(주) 1동, 5동",0,전기,041-953-8408,,2025-07-12
기업과사람들3 태양광발전소,이인숙,"충청남도 서천군 종천면 종천공단길 47, 1동, 2동","충청남도 서천군 종천면 석촌리 91 씨엔테크(주) 1동, 2동",0,전기,041-953-8408,,2025-07-12
다웅 태양광발전소,김현곤,충청남도 서천군 종천면 종천공단길 58 (다웅소재(주)),충청남도 서천군 종천면 석촌리 60번지,0,전기,,,2025-07-12
삼영 태양광발전소,김진국,충청남도 서천군 종천면 종천공단길62번길 42-7,충청남도 서천군 종천면 석촌리 674번지,1,전기,,,2025-07-12
하이1 태양광발전소,김종철,충청남도 서천군 종천면 종천공단길 44-1,충청남도 서천군 종천면 석촌리 434-6 그린프러스비치,0,전기,,,2025-07-12
하이2 태양광발전소,김종철,충청남도 서천군 종천면 종천공단길 44-1,충청남도 서천군 종천면 석촌리 434-6 그린프러스비치,0,전기,,,2025-07-12
해본3호 태양광발전소,임천규,충청남도 서천군 종천면 종천공단길32번길 31-16,충청남도 서천군 종천면 석촌리 452 해본조선소,0,전기,,,2025-07-12
삼형수산,이진우,충청남도 서천군 서면 서인로 605 (서인로) (총 2 필지) 외 1필지,충청남도 서천군 서면 도둔리 73-36번지 외 1필지,20,"재래김,파래재래김,김방용김",041-952-7301,,2025-07-12
대성금속공업,신현수,충청남도 서천군 장항읍 장항공단길60번길 15,충청남도 서천군 장항읍 원수리 450-22번지,23,자동차부품,041-956-3972,041-956-3974,2025-07-12
태창금속(주),허미숙,충청남도 서천군 장항읍 장항공단길60번길 10 외 2필지,충청남도 서천군 장항읍 원수리 450-31번지 외 2필지,12,자동차부품,041-956-7757,041-957-7757,2025-07-12
(주)일광폴리머 서천2공장,이은경,,충청남도 서천군 종천면 석촌리 670-1,2,자동차 부품,041-953-2327,041-9533-3485,2025-07-12
(주)부강이엔지,전형권,충청남도 서천군 서천읍 동산길12번길 2,충청남도 서천군 서천읍 두왕리 206-1번지,5,"자동제어반,접속반",041-952-9888,,2025-07-12
(주)성현기업사,김호성,충청남도 서천군 장항읍 장항공단길60번길 20 (총 5 필지) 외 4필지,충청남도 서천군 장항읍 원수리 450-35번지 외 4필지,6,인펠라 샤우트,041-956-0372,041-957-0372,2025-07-12
유한회사 참마을,강성영,충청남도 서천군 마서면 도삼리 524-3번지,충청남도 서천군 마서면 도삼리 524-3번지,10,"육가공 포장품, 모시떡, 돈가스 포장품 등",,,2025-07-12
(주)대동산업,홍관배,충청남도 서천군 종천면 종천공단길32번길 24,충청남도 서천군 종천면 석촌리 417번지,4,"용접철망,돌망태,비닐끈니른,부직포",041-953-2294,041-953-2293,2025-07-12
(주)풍농 장항공장,이동렬,충청남도 서천군 장항읍 장산로 209 ((주)풍농) 외 3필지,충청남도 서천군 장항읍 신창리 419-2번지 외 3필지,148,용성인비,041-955-2510,041-956-0942,2025-07-12
금강중공업,전기태,충청남도 서천군 장항읍 장산로 598,충청남도 서천군 장항읍 원수리 141-20번지,7,"예인선,함선,잔교",041-956-7100,041-956-7103,2025-07-12
하이조선,김종철외1명,충청남도 서천군 종천면 종천공단길 44-1 (그린프러스비치),충청남도 서천군 종천면 석촌리 434-6번지,5,"어장선, 메이저보트, 요선(낚시배)",,,2025-07-12
유한회사 원화산업,임정화,충청남도 서천군 종천면 석촌리 676번지,충청남도 서천군 종천면 석촌리 676번지,5,"액체펌프,수문밸브,전동기,감속기",041-953-9002,,2025-07-12
한울이엔텍(주),추성하,"충청남도 서천군 종천면 종천공단길14번길 48, (석촌리 484-4)",충청남도 서천군 종천면 석촌리 484-4번지 (석촌리 484-4),17,"액체펌프, 산업용송풍기 및 배기장치, 액체여과기",041-952-3445,041-953-7445,2025-07-12
삼영엔비테크,김진국,충청남도 서천군 종천면 종천공단길62번길 42-7,충청남도 서천군 종천면 석촌리 674번지,10,"액체여과기,오수처리기기",041-953-9429,041-953-9430,2025-07-12
주식회사 창원실업,이윤재,충청남도 서천군 기산면 원길길 25 (총 2 필지) 외 1필지,충청남도 서천군 기산면 원길리 370번지 외 1필지,4,알미늄창호,041-951-0980,,2025-07-12
농민식품,김영근,충청남도 서천군 판교면 판교리 221번지,충청남도 서천군 판교면 판교리 221번지,5,"아침이든든,미숫가루,찹쌀가루,도토리묵가루",041-951-5527,,2025-07-12
대주아스콘 주식회사,"김성수, 김석선",충청남도 서천군 기산면 장산로 1671 (기산면),충청남도 서천군 기산면 광암리 121-3번지,4,"아스콘, 순환아스콘",041-951-6681,041-951-6694,2025-07-12
(주)삼남,이준우,충청남도 서천군 판교면 대백제로 2220 (총 4 필지) 외 3필지,충청남도 서천군 판교면 복대리 19-4번지 외 3필지,6,아스콘,041-951-9563,041-951-9565,2025-07-12
(주)일아아스콘,"임효선,김민석",충청남도 서천군 종천면 충서로 513-90 ((주)일아아스콘사업부) 외 1필지,충청남도 서천군 종천면 종천리 502번지 (주)일아아스콘사업부 외 1필지,2,아스콘,041-953-8227,041-953-8229,2025-07-12
농업회사법인 길산산업 주식회사,유호창,충청남도 서천군 서천읍 삼산북길 43-2,충청남도 서천군 서천읍 삼산리 415-2 도정공장,4,쌀,,,2025-07-12
대원미곡종합처리장,나대환,충청남도 서천군 마서면 장서로 373 (대원미곡종합처리장) (총 2 필지) 외 1필지,충청남도 서천군 마서면 덕암리 196-8번지 외 1필지,3,쌀,041-956-7884,041-956-9410,2025-07-12
동서천농업협동조합,성낙석,충청남도 서천군 화양면 화산로282번길 13 (동서천농협미곡처리장),충청남도 서천군 화양면 창외리 350-0번지,5,쌀,041-951-6949,041-951-7003,2025-07-12
(주)부강이엔지,전형권,충청남도 서천군 종천면 종천공단길32번길 8,충청남도 서천군 종천면 석촌리 385-3번지,7,신호등.배전반등,041-952-9888,041-952-9889,2025-07-12
옥산기업,전원석,충청남도 서천군 마서면 송신로 307 (우산기업) (총 2 필지) 외 1필지,충청남도 서천군 마서면 옥산리 435번지 외 1필지,6,시멘트벽돌,041-952-8188,041-952-8189,2025-07-12
푸르미농산,긴태호,충청남도 서천군 마서면 당선리 160-1번지 외 1필지,충청남도 서천군 마서면 당선리 160-1번지 외 1필지,4,"시래기,우거지",,,2025-07-12
농업회사법인 제이에스푸드 주식회사,이재숙,충청남도 서천군 한산면 한산향교길 33-9,충청남도 서천군 한산면 지현리 343-8번지,4,시래기,041-952-1819,041-952-1819,2025-07-12
(주)한산케미칼,이생규,충청남도 서천군 화양면 화촌리 230번지,충청남도 서천군 화양면 화촌리 230번지,16,스티로폴,041-951-2066,041-951-2067,2025-07-12
태흥산업,김수형,충청남도 서천군 장항읍 신창서로 41 (계동산업),충청남도 서천군 장항읍 신창리 303-19번지,4,스크린인쇄,041-956-8797,,2025-07-12
한산케미칼(주),이생규,충청남도 서천군 화양면 화한로 419-1 외 3필지,충청남도 서천군 화양면 화촌리 263-0번지 263-0 외 3필지,16,스치로풀,041-951-2066,041-951-2067,2025-07-12
안동수산,김재우,충청남도 서천군 장항읍 장산로 314-13 (안동수산서울센터),충청남도 서천군 장항읍 창선1리 328-9번지 안동수산서울센터,2,수산물냉동품,041-956-8400,041-956-1056,2025-07-12
우진수산,김종환,충청남도 서천군 장항읍 장항공단길 37-19 (우진주산),충청남도 서천군 장항읍 원수리 450-4번지,5,수산물가공품,041-956-6311,041-956-6315,2025-07-12
(주)태흥물산,김흥식,충청남도 서천군 장항읍 원수리 212번지,충청남도 서천군 장항읍 원수리 212번지,6,"수산물 가공, 냉동품",032-461-3713,,2025-07-12
동인영어조합법인,조갑성,,충청남도 서천군 서면 신합리 90-9 외 2필지,5,수산동물냉동품(냉동멸치),,,2025-07-12
양한물산영어조합법인,조갑영,충청남도 서천군 서면 서인로379번길 9-10 외 1필지,충청남도 서천군 서면 도둔리 919번지 외 1필지,7,수산동물냉동품,,,2025-07-12
(주)제이케이전기,전광섭,충청남도 서천군 종천면 종천공단길14번길 57,충청남도 서천군 종천면 석촌리 417-5번지,5,"수배전반, 분전반, 전동기제어, 태양광발전장치, 영상감시장치",041-956-7021,041-956-7022,2025-07-12
유한회사 한수산업,박종화,충청남도 서천군 종천면 석촌리 676번지,충청남도 서천군 종천면 석촌리 676번지,9,"수문,펌프,호이스트,제진기,수문권양기",,0504-070-9411,2025-07-12
성산에프앤비(주),함재현,충청남도 서천군 장항읍 장항공단길 123 (성산에프앤비(주)),충청남도 서천군 장항읍 원수리 993-1번지,16,"수로관,블럭",041-956-3830,041-956-3832,2025-07-12
(주)동성물산,이 윤 재,충청남도 서천군 종천면 종천공단길14번길 40 (동성물산),충청남도 서천군 종천면 석촌리 484번지,10,소형연마석,041-952-6020,041-952-6031,2025-07-12
삼화양조장,조용돈,"충청남도 서천군 한산면 갈숲길 21, 삼화양조장",충청남도 서천군 한산면 연봉리 268번지 삼화양조장,3,소곡주,041-951-1894,041-951-8225,2025-07-12
앉은뱅이 소곡주,박충식,충청남도 서천군 한산면 충절로1342번길 38-12,충청남도 서천군 한산면 단상리 338,1,소곡주,041-951-8777,,2025-07-12
한산모시소곡주,김덕현,충청남도 서천군 한산면 한마로 25,충청남도 서천군 한산면 동산리 409-6번지,3,소곡주,,,2025-07-12
한산항아리소곡주,유성희,충청남도 서천군 한산면 한마로81번길 17-1,충청남도 서천군 한산면 성외리 111번지,4,소곡주,,,2025-07-12
충남조선소,"노금자,임은정",충청남도 서천군 장항읍 장항로280번길 25,충청남도 서천군 장항읍 원수리 317-4번지,5,"선박건조, 수리",041-956-0433,041-956-5161,2025-07-12
후암석재주식회사,장시용,충청남도 서천군 장항읍 장항공단길 97 (후암석재) 외 1필지,충청남도 서천군 장항읍 원수리 993-5번지 외 1필지,7,"석재, 경계석",041-951-4444,041-952-0747,2025-07-12
화영식품,김항태,충청남도 서천군 서면 도둔길 83,충청남도 서천군 서면 도둔리 889-1번지,4,"생칼국수,김칼국수,새우칼국수",041-952-2271,041-952-2272,2025-07-12
(주)풍천엔지니어링,이병천,충청남도 서천군 종천면 종천공단길14번길 68 (종천면) 외 1필지,충청남도 서천군 종천면 석촌리 416-80 외 1필지,17,산업처리제어장비외 ,041-953-2688,,2025-07-12
주식회사 피씨테크,이진호,충청남도 서천군 종천면 종천공단길14번길 68 (종천면),충청남도 서천군 종천면 석촌리 416-80 (주)풍천엔지니어링,5,산업처리제어장비 외(냉각탑),041-953-2688,,2025-07-12
주식회사 우정이엔지,심우정,충청남도 서천군 종천면 충서로 262-27,충청남도 서천군 종천면 당정리 93-1번지,10,"산업용건조기, 산엉용 난방보일러 및 방열기",041-952-7388,041-952-7386,2025-07-12
(주)지명,임태혁,충청남도 서천군 종천면 종천공단길 37-14,충청남도 서천군 종천면 석촌리 416-78번지,8,산업용 냉동기 및 열교환기,041-952-5198,041-952-5199,2025-07-12
엠엔에프영농조합법인,홍덕순,충청남도 서천군 마산면 한마로 528-63,충청남도 서천군 마산면 소야리 4-7번지,4,산야초효소,,,2025-07-12
삼원에코그린,박준혁,충청남도 서천군 문산면 판문로 652-8 (총 3 필지) 외 2필지,충청남도 서천군 문산면 수암리 235번지 외 2필지,1,"산기관,휠타",,,2025-07-12
서천군농업기술센터 보조사료공장,장순종,충청남도 서천군 마서면 계동리 87-1 번지,충청남도 서천군 마서면 계동리 87-1 번지,2,사료,041-950-6647,041-950-6669,2025-07-12
장산방수산업(주),김동화,충청남도 서천군 서면 도둔리 72-222번지,충청남도 서천군 서면 도둔리 72-222번지,5,분말방수제,041-951-6070,041-951-6066,2025-07-12
(주)청화농산,박은영,충청남도 서천군 장항읍 장항공단길28번길 117-1,충청남도 서천군 장항읍 원수리 996-5번지,3,"볶음참깨, 참기름",041-956-8737,041-956-1435,2025-07-12
(주)재성글로벌,송기석,충청남도 서천군 비인면 충서로 670-16,충청남도 서천군 비인면 관리 563-2,5,보호테이프,,,2025-07-12
금강정공,김주민,충청남도 서천군 종천면 종천공단길32번길 31-6 (금강정공),충청남도 서천군 종천면 석촌리 449번지,12,베어링부품,041-953-9915,,2025-07-12
(유)대호,김우현,충청남도 서천군 장항읍 장산로 149 (한솔제지(장항공장)),충청남도 서천군 장항읍 화천리 481-8번지,152,"백상지,아트지",041-955-1731,,2025-07-12
(유)건우,조건익,충청남도 서천군 장항읍 장산로 149 (한솔제지(장항공장)),충청남도 서천군 장항읍 화천리 481-8번지,70,"백상지, 아트지",041-955-1761,,2025-07-12
유한회사 대원,양준호,충청남도 서천군 장항읍 장산로 149 (한솔제지(장항공장)),충청남도 서천군 장항읍 화천리 481-8번지 한솔제지(장항공장),116,"백상지, 아트지",041-955-1681,041-956-8780,2025-07-12
한솔제지(주)장항공장,한철규,충청남도 서천군 장항읍 장산로 149 (한솔제지(장항공장)),충청남도 서천군 장항읍 화천리 481-8번지,334,"백상지, 아트지",041-955-1211,041-956-6488,2025-07-12
서천군농협쌀조합공동사업법인,나선철,충청남도 서천군 화양면 금당리 283-5번지 외 8필지,충청남도 서천군 화양면 금당리 283-5번지 외 8필지,8,"백미, 현미",041-951-6949,041-951-7003,2025-07-12
대주산업(주)장항공장,정석원,충청남도 서천군 장항읍 장항공단길 59 (장항읍) 외 1필지,충청남도 서천군 장항읍 원수리 450-18 대주사료 외 1필지,65,배합사료,041-956-7211,041-956-7210,2025-07-12
주식회사 이엠테크,전혜연,충청남도 서천군 종천면 종천공단길14번길 48,충청남도 서천군 종천면 석촌리 416-29,5,"배전반,자동제어반,계장제어장치,가로등주",041-953-3434,041-953-6306,2025-07-12
대한전기,강경모,충청남도 서천군 종천면 종천공단길 37-8 (대한전기),충청남도 서천군 종천면 석촌리 416-89번지,5,"배전반,수전반 자동제어장치,스텐렌스가로등주",041-953-9030,041-953-9032,2025-07-12
(주)중앙전기,전순임,충청남도 서천군 종천면 종천공단길 33,충청남도 서천군 종천면 석촌리 380-1번지,25,"배전반 및 전기자동제어반, 태양광 발전장치",041-956-7404,041-951-7472,2025-07-12
(주)성현기업사2공장,김호성,충청남도 서천군 장항읍 장항공단길 77 (한성기계),충청남도 서천군 장항읍 원수리 993-7번지,8,발전풀랜트기자재,041-956-0372,,2025-07-12
(합)세원산업,정윤진,충청남도 서천군 마서면 삼연길 28,충청남도 서천군 마서면 덕암리 143-6번지,10,발전설비기계부품,041-956-0209,041-956-3194,2025-07-12
한산소곡주양조장,우희열,충청남도 서천군 한산면 지현리 66-9번지 외 1필지 외 1필지,충청남도 서천군 한산면 지현리 66-9번지 외 1필지 외 1필지,10,민속주류,041-951-0290,041-952-0290,2025-07-12
서천군농업기술센터 미생물비료공장,장순종,충청남도 서천군 마서면 계동리 87-1번지,충청남도 서천군 마서면 계동리 87-1번지,2,미생물비료,041-950-6647,041-950-6669,2025-07-12
주식회사 연우,홍지연,충청남도 서천군 종천면 종천공단길 57,충청남도 서천군 종천면 석촌리 87,10,"물휴지, 점보롤화장지, 태양광전기발전",,,2025-07-12
