순번,회사명,공장대표주소(도로명),공장대표주소(지번),업종명,전화번호,팩스번호,외국인(남),외국인(여),종업원수,생산품
11,(주)대보,"부산광역시 영도구 절영로 72, 3,4층 (남항동2가)","부산광역시 영도구 남항동2가 65-23번지 3,4층","근무복, 작업복 및 유사의복 제조업 외 2 종",051-412-1775,051-412-1775,,,6,의류
12,(주)대신정밀,부산광역시 영도구 봉래나루로 174 (봉래동2가),부산광역시 영도구 봉래동2가 145-14번지,선박 구성 부분품 제조업,051-417-8874,051-414-8874,0,0,8,선박부품제작 및 가공
13,(주)대영이엔지,,부산광역시 영도구 청학동 1-244,선박 구성 부분품 제조업 외 1 종,051-412-8203,051-413-8203,2,1,12,"선박구성부분품 , 주형 및 금형 제조"
14,(주)동광,부산광역시 영도구 남항서로92번길 26 (남항동2가),부산광역시 영도구 남항동2가 119번지,선박 구성 부분품 제조업,051-418-7335,051-418-7336,,,5,선박기계장비
15,(주)동남비엔씨,부산광역시 영도구 대평남로 66-1 (대평동2가),부산광역시 영도구 대평동2가 89-11번지,선박 구성 부분품 제조업,051-413-1675,051-412-0194,,,5,"선박엔진수리,선박부품"
16,(주)동서산업,부산광역시 영도구 해양로 225 (동삼동),부산광역시 영도구 동삼동 201-49번지,레미콘 제조업,051-403-3055,051-337-7144,,,8,레미콘
17,(주)동신기전,부산광역시 영도구 해양로 221 (동삼동),부산광역시 영도구 동삼동 201-52번지,선박 구성 부분품 제조업,051-418-7880,051-418-7885,,,15,전기판넬등
18,(주)동아디젤,부산광역시 영도구 대평로6번길 14 (남항동1가),부산광역시 영도구 남항동1가 18번지,선박 구성 부분품 제조업 외 1 종,051-415-1250,051-415-1461,0,0,12,선박엔진부품
19,(주)동양이엔씨,"부산광역시 영도구 태종로 40, 202호(대교동1가, 브릿지타워)",부산광역시 영도구 대교동1가 1 브릿지타워 202호,배전반 및 전기 자동제어반 제조업,02-575-9526,070-4850-8160,,,3,빌딩자동제어장치
20,(주)동양터보엔텍,부산광역시 영도구 대평로 63 (대평동2가),부산광역시 영도구 대평동2가 89-1번지,선박 구성 부분품 제조업,051-417-9002,051-417-9004,0,0,5,선박구성부분품제조
21,(주)동진해상교역,부산광역시 영도구 남항서로 64 (남항동3가),부산광역시 영도구 남항동3가 22번지,선박 구성 부분품 제조업 외 1 종,051-418-8501,051-418-8506,0,0,26,"선박기계부속,액체펌프(Impeller,shaft등"
22,(주)두익이엔지,"부산광역시 영도구 해양로 31, 1,3층 (청학동, (주)세화기업 공장)","부산광역시 영도구 청학동 330-147번지 (주)세화기업 공장 1,3층",선박 구성 부분품 제조업,051-466-9492,051-467-8586,1,,8,온도센서
23,(주)디에스 토탈마린,"부산광역시 영도구 해양로111번길 32, 2층(청학동)",부산광역시 영도구 청학동 1-37 2층,선박 구성 부분품 제조업 외 1 종,051-412-9993,051-412-9994,,,1,"선박수리, 선박엔진부품, 수상 부유 구조물"
24,(주)디에스케이,부산광역시 영도구 남항남로 24 (남항동3가),부산광역시 영도구 남항동3가 141-139번지,선박 구성 부분품 제조업 외 5 종,051-417-7800,051-417-7833,7,0,90,"piston crown, 선박엔진수리, 내연기관 부품수리, 자동차 부품, 선박, 선박기자재"
25,(주)매일마린,"부산광역시 영도구 해양로 17 (청학동, (주)매일마린)",부산광역시 영도구 청학동 330-101번지,액체 펌프 제조업 외 1 종,051-417-9271,051-417-9276,0,0,22,"각종 펌프, 선박구성부분품 제조 및 선박 수리"
26,(주)보성일렉트릭,"부산광역시 영도구 남항서로82번길 61 (남항동2가, 신영선박공장)",부산광역시 영도구 남항동2가 186-5번지,"전기회로 개폐, 보호장치 제조업 외 1 종",051-414-8667,051-414-8668,0,0,1,전기변압기 및 판넬
27,(주)부산조선해양,"부산광역시 영도구 해양로15번길 1, 3층 (청학동, 선진조선)",부산광역시 영도구 청학동 330-100번지 선진조선 3층,선박 구성 부분품 제조업 외 2 종,051-416-5511,051-417-3966,,,10,선박수리(철의장)
28,(주)비에스오션,부산광역시 영도구 해양로79번길 30 (청학동),부산광역시 영도구 청학동 217-37번지,선박 구성 부분품 제조업,051-412-8977,051-412-8988,,1,8,선박부품
29,(주)사라콤부산지점,"부산광역시 영도구 남항서로 6-11 (남항동3가, (주)사라콤)",부산광역시 영도구 남항동3가 141-164번지,"레이더, 항행용 무선기기 및 측량기구 제조업 외 6 종",051-600-9086,051-600-9095,0,0,20,"GMDS,AIS 등"
30,(주)삼영테크,부산광역시 영도구 남항남로19번길 41 (남항동3가),부산광역시 영도구 남항동3가 33번지,선박 구성 부분품 제조업,051-413-3030,051-413-9804,0,0,10,선박 철 의장품
31,(주)서윤메탈,부산광역시 영도구 남항서로 74-1 (남항동3가),부산광역시 영도구 남항동3가 1-22번지,선박 구성 부분품 제조업 외 1 종,051-415-2045,051-205-9552,,,2,방식아연
32,(주)서진선박,부산광역시 영도구 해양로 24-9 (청학동),부산광역시 영도구 청학동 322-8번지,선박 구성 부분품 제조업,051-415-4031,051-415-4033,,,3,"슬리브, 라이너"
33,(주)선우선박,부산광역시 영도구 대평로 63-1 (대평동2가),부산광역시 영도구 대평동2가 89번지,선박 구성 부분품 제조업,051-418-1020,051-412-7161,0,0,7,선박구성부분품
34,(주)선진종합,부산광역시 영도구 대평로41번길 3 (대평동2가),부산광역시 영도구 대평동2가  40번지,내연기관 제조업 외 5 종,051-414-7300,051-414-8870,0,0,26,"선박엔진부품및기자재, 선박엔진부품및기자재, 선박엔진부품및기자재, 선박엔진부품및기자재, 선박건조, 선박건조"
35,(주)성광마린,부산광역시 영도구 대평남로51번길 8-5 (대평동2가),부산광역시 영도구 대평동2가 11번지,강선 건조업 외 2 종,051-418-1988,051-416-6174,,,6,"강선건조, 선박수리"
36,(주)성보이엔지,부산광역시 영도구 남항남로 18-1 (남항동3가),부산광역시 영도구 남항동3가 141-151번지,선박 구성 부분품 제조업,051-416-1868,,0,0,3,"조선기자재(선박용 스피커, 콘테이너 연결 자동록킹장치)"
37,(주)세웅,부산광역시 영도구 대평북로 43 (대평동2가),부산광역시 영도구 대평동2가 196번지,선박 구성 부분품 제조업 외 1 종,051-464-3368,051-404-3368,,,3,목의장품
38,(주)세웅컴퍼니,부산광역시 영도구 대평북로 43 (대평동2가),부산광역시 영도구 대평동2가 196,선박 구성 부분품 제조업 외 1 종,051-715-1125,051-269-1155,,,3,목의장품
39,(주)세진비앤씨,부산광역시 영도구 남항서로70번길 12 (남항동3가),부산광역시 영도구 남항동3가 21-1번지,선박 구성 부분품 제조업 외 2 종,051-714-4555,051-714-4554,,,23,"선박용 엔진 및 발전기 수리,제조"
40,(주)순흥,부산광역시 영도구 해양로 248 (동삼동),부산광역시 영도구 동삼동 190번지,선박 구성 부분품 제조업,051-412-8856,051-414-8857,,,5,보온단열재
41,(주)스카이오프쇼어,부산광역시 영도구 해양로15번길 1(청학동),부산광역시 영도구 청학동 330-100,선박 구성 부분품 제조업,051-781-2582,051-781-2584,,,3,선박기계 수리 및 정비
42,(주)신선정밀산업,부산광역시 영도구 남항서로 66 (남항동3가),부산광역시 영도구 남항동3가 21-9번지,유압기기 제조업,051-417-8713,051-417-8722,0,0,3,"공기압축기부품(실린더,샤프트,피스톤)"
43,(주)신한디젤상사,부산광역시 영도구 남항서로 98 (남항동2가),부산광역시 영도구 남항동2가  27-3번지,절삭가공 및 유사처리업,051-415-0987,051-418-5252,0,0,12,선박디젤부품
44,(주)씨넷,"부산광역시 영도구 절영로 542, 2층 (동삼동)",부산광역시 영도구 동삼동 385-7번지 2층,"레이더, 항행용 무선기기 및 측량기구 제조업 외 1 종",051-417-5802,051-417-5804,,,28,UHF Communication System
45,(주)씨넷,부산광역시 영도구 해양로188번길 20 (청학동),부산광역시 영도구 청학동 1-188번지,"레이더, 항행용 무선기기 및 측량기구 제조업 외 1 종",051-417-5802,051-417-5804,,,2,"항해통신장비,조선가자재 외"
46,(주)아라트,부산광역시 영도구 해양로 33-52 (청학동),부산광역시 영도구 청학동 330-59번지,선박 구성 부분품 제조업 외 4 종,051-418-7976,051-418-7975,,,4,"산업용기계,선박수리"
47,(주)아토큐라,부산광역시 영도구 태종로 736 (동삼동),부산광역시 영도구 동삼동 746-2,화장품 제조업,051-403-5207,050-4489-5207,,,1,"화장품, 즉석제조식품(건강차)"
48,(주)애드원플러스,"부산광역시 영도구 동삼서로 52, 지하1층 101호 (동삼동, 장원빌라)",부산광역시 영도구 동삼동 219-61번지 장원빌라 지하1층 101호,경 인쇄업 외 1 종,070-4390-3851,,,,2,인쇄
49,(주)에스케이유니온,부산광역시 영도구 해양로 24 (청학동),부산광역시 영도구 청학동 322번지,선박 구성 부분품 제조업,051-741-9881,051-741-9882,,,2,선박부품
50,(주)에스피,부산광역시 영도구 해양로57번길 13 (청학동),부산광역시 영도구 청학동 217-126번지,선박 구성 부분품 제조업,051-412-2684,,,,3,magnetic compass(자기나침반)
51,(주)에이치케이이,부산광역시 영도구 남항서로104번길 6 (남항동2가),부산광역시 영도구 남항동2가 29-1번지,내연기관 제조업,051-415-2494,051-415-2493,2,,19,선박엔진부품(VALVE CAGE)
52,(주)엔와이일렉트릭,부산광역시 영도구 남항남로19번길 53 (남항동2가),부산광역시 영도구 남항동2가 133-2번지,배전반 및 전기 자동제어반 제조업 외 1 종,051-415-3005,051-413-8260,0,0,9,배전반 제작설치
53,(주)엠바이지,부산광역시 영도구 남항서로 42 (남항동3가),부산광역시 영도구 남항동3가 141-167번지,항공기용 부품 제조업 외 32 종,051-415-0970,051-415-0976,,,16,"전기전자 시험장비, 인쇄회로판등"
54,(주)엠텍통신,부산광역시 영도구 산업로 15 (청학동),부산광역시 영도구 청학동 5-20번지,기타 무선 통신장비 제조업,051-418-6007,051-418-6009,0,0,7,Public address
55,(주)엠티이,"부산광역시 영도구 남항남로 23-5 (남항동3가, (주)D.S.K공장)",부산광역시 영도구 남항동3가 73-27번지 (주)D.S.K공장,선박 구성 부분품 제조업,051-415-3177,051-415-3177,,,2,선박부품
56,(주)오션컴,"부산광역시 영도구 대평로 9-4, (2층,3층) (대평동1가)","부산광역시 영도구 대평동1가 85-5번지 (2층,3층)",기타 무선 통신장비 제조업,051-418-0366,051-418-0368,0,0,5,무선통신기기수리.제작
57,(주)와이에이치마린,부산광역시 영도구 해양로 24 (청학동),부산광역시 영도구 청학동 322번지,선박 구성 부분품 제조업,051-412-7253,051-415-2185,,,9,"선박기 부속, 선박수리"
58,(주)와이케이토탈,부산광역시 영도구 해양로 33-32 (청학동),부산광역시 영도구 청학동 330-134,선박 구성 부분품 제조업,051-464-5939,051-980-5939,,,2,"STEEL PIPE, 선박부품"
59,(주)우성마린엔지니어링,부산광역시 영도구 해양로 33-52 (청학동),부산광역시 영도구 청학동 330-59번지,선박 구성 부분품 제조업 외 6 종,051-418-7977,051-418-7975,,,9,"강판, 강재"
60,(주)월드씨포트엔지니어링,"부산광역시 영도구 해양로 33-52 (청학동, (주)우성오션테크영도공장)",부산광역시 영도구 청학동 330-59번지 (주)우성오션테크영도공장,선박 구성 부분품 제조업 외 6 종,051-417-6678,051-418-7975,,,3,기관부품
61,(주)유니스테크,부산광역시 영도구 봉래나루로246번길 5 (봉래동4가),부산광역시 영도구 봉래동4가 13-3번지,액체 펌프 제조업 외 1 종,051-442-3590,051-442-3593,,,3,"펌프, 선박부품"
62,(주)유니온 부산녹산지점,"부산광역시 영도구 해양로 125(청학동, (주)거청) 외 2필지",부산광역시 영도구 청학동 1-35 (주)거청 외 2필지,선박 구성 부분품 제조업 외 2 종,051-937-9373,051-973-7374,,,25,선박블럭
63,(주)유니원트레이딩,"부산광역시 영도구 해양로111번길 33, 공장A-2동(청학동)",부산광역시 영도구 청학동 1-174 공장A-2동,기타 일반 기계 및 장비 수리업,051-903-9555,051-903-9553,,,12,선박수리
64,(주)유케이엠에스 코퍼레이션,부산광역시 영도구 남항남로19번길 10 (남항동3가),부산광역시 영도구 남항동3가 74-1,선박 구성 부분품 제조업,070-4207-9726,051-418-9900,,,6,"선박부품, 엔진"
65,(주)이강공사,부산광역시 영도구 남항서로 12 (남항동3가),부산광역시 영도구 남항동3가 141-156번지,선박 구성 부분품 제조업 외 10 종,051-413-8801,051-413-8881,0,0,34,선박관련기계부품
66,(주)이든에프에이,부산광역시 영도구 하나길 485(신선동2가),부산광역시 영도구 신선동2가 99-3,기타 가공 공작기계 제조업,051-728-3995,050-4198-3995,,,3,CNC 스마트 AUTO LOADER
67,(주)일성이엔지,부산광역시 영도구 대교로46번길 17-3 (봉래동1가),부산광역시 영도구 봉래동1가 192-1번지,선박 구성 부분품 제조업 외 23 종,051-412-7038,051-416-7038,0,0,16,"의장품, 기부속, 의장품, 기부속, 의장품, 기부속, 의장품, 기부속, 의장품, 기부속, 의장품, 기부속, 의장품, 기부속, 의장품, 기부속, 의장품, 기부속, 의장품, 기부속, 의장품, 기부속, 의장품, 기부속, 의장품, 기부속, 의장품, 기부속, 의장품, 기부속, 의장품, 기부속, 의장품, 기부속, 의장품, 기부속, 의장품, 기부속, 의장품, 기부속, 의장품, 기부속, 의장품, 기부속, 의장품, 기부속, 의장품, 기부속"
68,(주)일성조선,부산광역시 영도구 남항서로 69-1 (남항동3가),부산광역시 영도구 남항동3가 10-1번지,선박 구성 부분품 제조업 외 2 종,051-418-4411,,0,0,15,"선박제조, 수리"
69,(주)자갈치전복,부산광역시 영도구 절영로 483 (동삼동),부산광역시 영도구 동삼동 486번지,"수산동물 훈제, 조리 및 유사 조제식품 제조업",051-244-0001,051-405-8111,0,0,4,"어패류, 냉장, 냉동수산물 가공"
70,(주)정안테크,부산광역시 영도구 대평북로 29 (대평동1가),부산광역시 영도구 대평동1가 14-1,선박 구성 부분품 제조업,051-416-4992,051-416-4998,,,1,선박기자재
71,(주)정원펌프,부산광역시 영도구 남항남로9번길 54 (남항동2가),부산광역시 영도구 남항동2가 93번지,선박 구성 부분품 제조업,051-413-6272,051-413-6270,,,8,펌프
72,(주)조은전기전자,부산광역시 영도구 해양로195번나길 40 (동삼동),부산광역시 영도구 동삼동 201-85,선박 구성 부분품 제조업,051-261-9510,070-8240-9510,,,6,"선박부품,전기자동제어,모터 등"
73,(주)조타코,부산광역시 영도구 해양로182번길 16 (청학동),부산광역시 영도구 청학동 1-218,선박 구성 부분품 제조업 외 1 종,070-8813-7987,0504-397-7987,,,1,"선박로프해제시스템, AI딥러닝 해양안전관리시스템"
74,(주)종합엔텍,부산광역시 영도구 태종로 528 (동삼동),부산광역시 영도구 동삼동 188-38번지,그 외 기타 전기장비 제조업 외 2 종,051-404-9474,051-404-9476,,,4,"오존정수기,오존발생장치,오존설비"
75,(주)종합하이텍,부산광역시 영도구 대평북로 39 (대평동2가),부산광역시 영도구 대평동2가 199,선박 구성 부분품 제조업 외 2 종,051-710-8683,051-710-8687,,,3,선박수리
76,(주)종합해사청학공장,"부산광역시 영도구 해양로23번길 27 (청학동, (주)종합해사)",부산광역시 영도구 청학동 330-106번지,내연기관 제조업 외 2 종,051-413-7707,051-412-1442,0,0,46,"내연기관, 선박구성부분품, 선박구성부분품, 여과기"
77,(주)종합해양,"부산광역시 영도구 해양로23번길 27, 1층(청학동, (주)종합해사)",부산광역시 영도구 청학동 330-106 (주)종합해사 1층,선박 구성 부분품 제조업 외 3 종,051-715-9901,051-715-9902,,,16,선박부품
78,(주)지엠티엔지니어링,부산광역시 영도구 남항새싹길 186 (영선동4가),부산광역시 영도구 영선동4가 180-4번지,"레이더, 항행용 무선기기 및 측량기구 제조업 외 2 종",051-403-4808,051-403-4807,,,4,"선박용 전기용품,계측장비,항해용 무선기기"
79,(주)진양펌프상사,"부산광역시 영도구 남항서로 6-14 (남항동3가, (주)진양펌프상사) 외 1필지",부산광역시 영도구 남항동3가 141-194번지 외 1필지,액체 펌프 제조업 외 1 종,051-414-8624,051-413-8675,0,0,13,펌프제조
80,(주)진플렉스,"부산광역시 영도구 해양로111번길 33, A-3동(청학동)",부산광역시 영도구 청학동 1-174 A-3동,선박 구성 부분품 제조업 외 2 종,051-972-5167,051-972-5169,,,4,"선방구성품제조업, COMPOSITE HOSE, 선박 구성 금속 가공제품"
81,(주)창완냉동,부산광역시 영도구 해양로79번길 22 (청학동),부산광역시 영도구 청학동 217-159번지,선박 구성 부분품 제조업,051-417-7100,051-417-8100,,,5,선박냉동수리
82,(주)창하이엔지,부산광역시 영도구 해양로188번길 16(청학동),부산광역시 영도구 청학동 1-190,선박 구성 부분품 제조업,,0504-204-0471,,,4,"선박수리(준설배,상선)"
83,(주)청운컴퍼니,부산광역시 영도구 대교로46번길 29-6 (봉래동1가),부산광역시 영도구 봉래동1가 202-3번지,선박 구성 부분품 제조업,051-412-2977,051-416-5014,,,4,선박용 가구
84,(주)케이에스브이,부산광역시 영도구 남항서로104번길 6 (남항동2가),부산광역시 영도구 남항동2가 29-1번지,"탭, 밸브 및 유사장치 제조업",051-415-4466,051-415-4469,4,,26,선박용 밸브
85,(주)케이티마린,부산광역시 영도구 해양로111번길 33(청학동),부산광역시 영도구 청학동 1-174,선박 구성 부분품 제조업,051-441-0692,051-441-0695,,,40,선박용부품(액체화물이송용호스)
86,(주)케이티아이 중앙동지점,부산광역시 영도구 해양로79번길 18 (청학동),부산광역시 영도구 청학동 217-155,선박 구성 부분품 제조업,051-293-1918,,,,18,"엔진, 파이프, 펌프 수리"
87,(주)케이티알,부산광역시 영도구 해양로176번길 5(청학동),부산광역시 영도구 청학동 1-208,선박 구성 부분품 제조업,,,,,4,선박수리
88,(주)코끼리와이어,부산광역시 영도구 청학동 217-138번지,부산광역시 영도구 청학동 217-138번지,철강선 제조업 외 1 종,051-412-7116,051-412-4141,,,10,와이어로프
89,(주)코마텍이엔지,부산광역시 영도구 남항서로92번길 42-6 (남항동2가),부산광역시 영도구 남항동2가 65-27번지,선박 구성 부분품 제조업,051-413-5911,052-260-9643,,,0,선박수리
90,(주)코카코,"부산광역시 영도구 해양로 256 (동삼동, (주)코카코) 외 1필지",부산광역시 영도구 동삼동 189-4번지 외 1필지,선박 구성 부분품 제조업,051-403-4114,051-403-6990,0,0,17,선박기계제작 및 수리
91,(주)킴스마린테크,"부산광역시 영도구 남항남로 6, (1층 일부) (남항동3가)",부산광역시 영도구 남항동3가 141-86번지 (1층 일부),선박 구성 부분품 제조업,051-413-2790,051-413-2791,0,0,3,선박기계부품 및 의장품
92,(주)태일비즈,"부산광역시 영도구 일산봉로37번길 20-3, 2층 (청학동)",부산광역시 영도구 청학동 84-83 2층,남자용 겉옷 제조업 외 8 종,051-206-2146,051-206-2147,,,11,"남녀정복, 이불커버, 천막, 셔츠, 체육복, 작업복, 우의, 목도리"
93,(주)태평양 해양산업,부산광역시 영도구 해양로117번길 32 (청학동),부산광역시 영도구 청학동  1-25번지,선박 구성 부분품 제조업,051-414-9300,051-413-0234,0,0,47,선박부품
94,(주)표주레미콘,"부산광역시 영도구 해양로 141(청학동, (주)표주레미콘)",부산광역시 영도구 청학동 1-17 (주)표주레미콘,레미콘 제조업,051-418-0057,051-418-2727,0,0,28,레미콘
95,(주)한국종합냉동,"부산광역시 영도구 해양로79번길 18, 2층 (청학동)",부산광역시 영도구 청학동 217-155 2층,선박 구성 부분품 제조업,051-262-9879,051-262-9879,2,3,16,선박부품 수리
96,(주)한국코스코,"부산광역시 영도구 태종로 535 (동삼동, (주)한국선박설비)",부산광역시 영도구 동삼제3동 187-1번지,기타 직물제품 제조업,051-405-6348,051-405-0804,0,0,27,"구명동의, 구난식수"
97,(주)한서마린엔지니어링,부산광역시 영도구 남항로16번길 22-5 (남항동2가),부산광역시 영도구 남항동2가 80-2번지,선박 구성 부분품 제조업,051-413-6275,051-413-6276,,,17,해상용 펌프
98,(주)한스쉽핑,"부산광역시 영도구 해양로117번길 2 (청학동, (주)한스쉽핑)",부산광역시 영도구 청학동 1-92번지,선박 구성 부분품 제조업,051-418-4712,051-417-7059,0,0,4,선박의장품
99,(주)한양이알,부산광역시 영도구 해양로65번길 26-12(청학동),부산광역시 영도구 청학동 217-88,선박 구성 부분품 제조업,051-256-2233,051-256-4141,2,0,4,"선박부품(선박수리, 전기판넬박스)"
100,(주)한영선박,"부산광역시 영도구 남항남로9번길 58, 1층(남항동2가, 국제선박주식회사)",부산광역시 영도구 남항동2가 91 국제선박주식회사 1층,선박 구성 부분품 제조업,051-414-3602,051-414-9391,,,1,선박부품
101,(주)한조,부산광역시 영도구 남항서로 20 (남항동3가) 외 1필지,부산광역시 영도구 남항동3가 141-127번지 외 1필지,기체 여과기 제조업 외 8 종,051-414-7201,051-413-0224,0,0,65,"여과기,냉각장치,신축이음관,고압파이프"
102,(주)해광조선,부산광역시 영도구 대평남로 65 (대평동2가) 외 1필지,부산광역시 영도구 대평동2가 1번지 외 1필지,강선 건조업 외 2 종,051-416-3965,051-412-0091,0,0,7,"선박수리,기관수리,강선건조"
103,(주)해금이엔지,부산광역시 영도구 봉래나루로 134 (봉래동1가),부산광역시 영도구 봉래동1가 205번지,선박 구성 부분품 제조업,051-414-8401,051-416-8490,,,6,선박부품
104,(주)해성마린토탈서비스,"부산광역시 영도구 해양로 33-26, 1,2층 (청학동) (청학동, 진성엔지니어링 공장)","부산광역시 영도구 청학동 330-139번지 진성엔지니어링 공장 1,2층 (청학동)",선박 구성 부분품 제조업,051-418-0315,,,,2,리듀샤
105,(주)해양무선,부산광역시 영도구 남항서로82번길 70 (남항동3가),부산광역시 영도구 남항동3가 105-17번지,기타 무선 통신장비 제조업,051-413-6113,051-413-1350,0,0,13,"무선통신기기, 방송장비"
106,(주)행한선박기계,부산광역시 영도구 남항서로82번길 23 (남항동2가),부산광역시 영도구 남항동2가 111-2번지,선박 구성 부분품 제조업,051-417-0203,051-415-3549,0,0,7,"실린더,라이너,기관부속"
107,(주)협성선박의장,부산광역시 영도구 절영로50번길 21 (남항동1가),부산광역시 영도구 남항동1가 35-5번지,목재문 및 관련제품 제조업,051-413-1221,051-415-1332,0,0,5,목재방열문
108,(주)협성터보,"부산광역시 영도구 남항남로 28 (남항동3가, 협성터빈)",부산광역시 영도구 남항동3가 141-79번지,선박 구성 부분품 제조업,051-418-7733,051-418-7735,0,0,4,터보차져
109,(주)혜인선박,부산광역시 영도구 대평남로51번길 8-5 (대평동2가),부산광역시 영도구 대평동2가 11번지,강선 건조업 외 2 종,051-417-4991,051-417-4990,,,8,"강선건조, 선박수리"
110,(주)화신냉동엔지니어링,"부산광역시 영도구 해양로23번길 16 (청학동, (주)금남)",부산광역시 영도구 청학동 330-110번지,산업용 냉장 및 냉동 장비 제조업,051-418-7545,051-418-7547,1,0,15,냉동장치기기
111,BR마린서비스,부산광역시 영도구 남항남로19번길 9 (남항동3가),부산광역시 영도구 남항동3가 29-116번지,선박 구성 부분품 제조업,051-418-7959,051-418-7958,,,1,선박구성부분품
112,CORAL MARINE SERVICE,부산광역시 영도구 대평남로 37 (대평동2가),부산광역시 영도구 대평동2가 24-45번지,선박 구성 부분품 제조업,051-418-8480,051-418-8481,,,1,선박구성품
113,DESCO,부산광역시 영도구 동삼동 964번지 외 1필지,부산광역시 영도구 동삼동 964번지 외 1필지,배전반 및 전기 자동제어반 제조업,051-405-6900,051-405-6903,0,0,11,배전반
114,JB마린 주식회사,부산광역시 영도구 해양로87번길 26 (청학동),부산광역시 영도구 청학동 217-109번지,내연기관 제조업 외 3 종,051-412-9314,051-412-9315,,,12,"선박구성부품,내연기관부품"
115,K&C Engineering,부산광역시 영도구 대평남로 70 (대평동2가),부산광역시 영도구 대평동2가 89-3번지,선박 구성 부분품 제조업,051-418-6725,051-418-6726,0,0,2,선박보일러 수리 및 부품제조
116,KBC엔지니어링,부산광역시 영도구 해양로117번길 19 (청학동),부산광역시 영도구 청학동 1-166번지,선박 구성 부분품 제조업,051-413-3916,051-413-3917,,,4,선박부품
117,SMS,"부산광역시 영도구 대평로34번길 15, 1층 일부 (대평동2가)",부산광역시 영도구 대평동2가 205-1번지 1층 일부,선박 구성 부분품 제조업,051-416-4904,051-412-6428,0,0,3,"선박기관부품, 수리"
118,YS선박,부산광역시 영도구 대평로27번길 27 (대평동1가),부산광역시 영도구 대평동1가 138-2,선박 구성 부분품 제조업 외 1 종,051-416-6004,051-416-6005,,,1,선박수리
119,가나기업 주식회사,"부산광역시 영도구 해양로23번길 16, 나동(청학동)",부산광역시 영도구 청학동 330-110 나동,선박 구성 부분품 제조업 외 1 종,051-413-8040,051-413-8041,,,3,와이어 가공
120,거용선박(주),부산광역시 영도구 해양로182번길 26 (청학동),부산광역시 영도구 청학동 1-214번지,선박 구성 부분품 제조업,051-416-6446,051-416-7447,,,12,선박부품
121,건진전기공업사,부산광역시 영도구 대평남로 66 (대평동2가),부산광역시 영도구 대평동2가 89-12번지,선박 구성 부분품 제조업,051-416-2571,051-416-2576,,,5,선박 배전반 및 모터등
122,경남기업,"부산광역시 영도구 남항서로 6-20, 2층 (남항동3가)",부산광역시 영도구 남항동3가 141-105번지 2층,선박 구성 부분품 제조업,051-416-0992,051-416-0976,0,0,1,선박목의장
123,경남스크루공업사,부산광역시 영도구 남항서로 130-1 (대교동1가),부산광역시 영도구 대교동1가 105-4,선박 구성 부분품 제조업,051-416-1761,051-416-1761,0,0,1,스큐류
124,경남조선(주),부산광역시 영도구 봉래나루로 285 (봉래동4가),부산광역시 영도구 봉래동4가 7번지,강선 건조업 외 1 종,051-416-9184,051-416-9188,0,0,16,"선박건조 및 수리, 선박 건조"
