공장관리번호,산업단지명,회사명,도로명주소,대표자,행정기관,전화번호,팩스번호,외국인,고용인원,공장등록일자,업종명,주생산품,홈페이지
262302003054570,개별입지,(주)동성바텍,"부산광역시 부산진구 가야대로552번길 119-1 (가야동, 가야동 공장 주택 B동)",주홍식,부산광역시 부산진구,051-897-8005,051-891-0040,0,5,2003-04-15,분사기 및 소화기 제조업,소화기제조,
000002022798005,개별입지,(주)보람정보통신,"부산광역시 부산진구 동성로 20, 4층(전포동)",김대석,부산광역시 부산진구,051-621-7490,051-621-7492,0,5,2022-03-14,기타 무선 통신장비 제조업 외 1 종,원격단말장치(RTU),
262302018420656,개별입지,(주)성보시스템,"부산광역시 부산진구 백양대로260번길 47, 1층 (개금동)",이경섭,부산광역시 부산진구,051-631-7272,051-631-0440,0,5,2018-09-21,그 외 기타 전기장비 제조업,출입통제시스템,
730627170171000,개별입지,(주)성안세이브,부산광역시 부산진구 중앙대로941번길 65 (양정동),김상우,부산광역시 부산진구,051-853-3200,051-867-7545,0,53,1997-12-31,그 외 기타 플라스틱 제품 제조업 외 1 종,"산업안전용품(안전모, 안전벨트(산업용 안전대))",www.thesseda.com
262302005089957,개별입지,(주)세영애드인,부산광역시 부산진구 중앙대로621번길 14-7 (범천동),염태수,부산광역시 부산진구,051-636-7588,051-633-3647,0,34,2005-01-11,기타 인쇄업 외 3 종,광고인쇄물,
000002020516623,개별입지,(주)신진,부산광역시 부산진구 진남로 487 (양정동),우종식,부산광역시 부산진구,051-853-3208,051-853-3220,0,10,2020-08-27,간판 및 광고물 제조업,간판 및 광고물,
262302015334358,개별입지,(주)아이테크,"부산광역시 부산진구 거제대로36번가길 34, 2층 일부 (양정동)",김창온,부산광역시 부산진구,070-8789-8828,051-863-2781,0,9,2015-07-01,기타 가정용 전기기기 제조업 외 1 종,눈마사지기 외,
441221111741700,개별입지,(주)양지사,"부산광역시 부산진구 전포대로171번길 42 (전포동, 양지사)",하계민,부산광역시 부산진구,051-802-1194,051-803-6400,0,27,1990-11-15,기타 인쇄업 외 3 종,인쇄물,
262302009191067,개별입지,(주)에이에스정보통신,"부산광역시 부산진구 당감로17번길 90,  무궁화상가 107 105 (당감동)",임종현,부산광역시 부산진구,051-897-1456,050-2897-1456,0,6,2009-09-10,방송장비 제조업,cctv 장비 제조,www.ascctv.co.kr
262302008153356,개별입지,(주)오토원,"부산광역시 부산진구 전포대로223번길 19, A동 308호, 411호(전포동, 테크노프라자)",김영욱,부산광역시 부산진구,051-807-5466,051-807-9757,0,8,2008-01-08,배전반 및 전기 자동제어반 제조업 외 11 종,자동제어,
262302006110737,개별입지,(주)조인ENG,"부산광역시 부산진구 전포대로223번길 19, 테크노프라자 A 406호 (전포동)",정춘일,부산광역시 부산진구,051-805-4156,051-818-3273,0,2,2006-06-26,그 외 기타 전기장비 제조업 외 1 종,제어히타,www.johineng.com
262302005103939,개별입지,(주)조일광고,"부산광역시 부산진구 전포대로 206-2, 1층,2층 (전포동)",천성규,부산광역시 부산진구,051-802-2313,051-818-6985,0,3,2005-09-22,간판 및 광고물 제조업 외 6 종,"간판, 광고물,철구조물",http://www.joilad.co.kr
262302023046606,개별입지,(주)케이가꿈,"부산광역시 부산진구 동평로39번길 64, 지하1층 (당감동)",임필숙,부산광역시 부산진구,051-808-0622,051-808-6033,0,2,2023-08-16,"수산동물 훈제, 조리 및 유사 조제식품 제조업 외 25 종","간장게장, 간장새우장, 명품전복장 등",foodlittles.com/
411208111082100,개별입지,(주)테넥스글로벌,"부산광역시 부산진구 냉정로253번길 24 (가야동, 협동물산)",이동한,부산광역시 부산진구,051-892-3842,070-8610-0096,0,9,1977-02-01,유아용 의복 제조업,아동용의류,
262302014317014,개별입지,(주)포스테코,"부산광역시 부산진구 당감서로 175, 제2층 제201호 (당감동, 백양빌딩)",정은영,부산광역시 부산진구,051-832-1420,051-832-1810,2,9,2014-10-27,그 외 기타 특수목적용 기계 제조업 외 3 종,"무대기계, 무대조명, 오토리프트",
262302016354365,개별입지,(주)한신기계,부산광역시 부산진구 전포대로 232-1 (전포동),유현용,부산광역시 부산진구,051-802-5740,051-808-3223,0,19,2016-04-08,기체 펌프 및 압축기 제조업,공기압축기,http://busan.hanshin.co.kr
262302021676940,개별입지,(주)해인정보통신,"부산광역시 부산진구 냉정로 271, 4층(가야동)",박경우,부산광역시 부산진구,051-892-4200,051-897-3827,0,12,2021-08-02,교통 신호장치 제조업,교통바닥신호등,
262302019448245,개별입지,MGS미공사,부산광역시 부산진구 백양순환로119번길 12-16 (부암동),강민곤,부산광역시 부산진구,051-816-5896,051-816-5895,0,1,2019-08-23,간판 및 광고물 제조업,"간판 및 광고물, 현수막 외",www.migongsa.com
262302007131232,개별입지,MPS,부산광역시 부산진구 서전로68번길 64 (전포동),손경환,부산광역시 부산진구,051-804-0084,051-816-0895,0,1,2007-03-26,기타 음향기기 제조업 외 1 종,앰프,http://www.mpsamp.com
262302014300007,개별입지,S&T(에스엔티),"부산광역시 부산진구 황령대로74번길 20, 2층 (전포동)",최준호,부산광역시 부산진구,051-805-8152,051-805-8154,0,5,2014-02-27,기타 직물제품 제조업 외 3 종,"세탁망,토시,마스크,면티,손수건",
262302003066836,개별입지,SPCCOK-영진물산,"부산광역시 부산진구 전포대로223번길 19,  B107호 (전포동)",김영숙,부산광역시 부산진구,051-803-5321,051-807-4853,0,2,2000-11-08,메모리용 전자집적회로 제조업 외 4 종,계측제어장비등,
262302007128637,개별입지,거북인쇄공사,부산광역시 부산진구 부전로 5-1 (부전동),이점식,부산광역시 부산진구,051-808-5571,051-809-5571,0,14,2007-02-15,경 인쇄업 외 3 종,"인쇄,제본,교재",http://www.designgbg.co.kr
262302023969099,개별입지,건강월드,부산광역시 부산진구 가야대로572번가길 7-7(가야동),서상구,부산광역시 부산진구,,,0,4,2023-02-03,기타 직물제품 제조업,각종 보호대,
262302025169881,개별입지,경남사,"부산광역시 부산진구 진사로 11-1, 2층 (개금동)",김형주,부산광역시 부산진구,051-636-1477,,0,5,2025-01-24,"근무복, 작업복 및 유사의복 제조업 외 5 종",근무복 등,
412102022806724,개별입지,경도산업,"부산광역시 부산진구 신암로155번길 7, 1층(범천동)",지현도,부산광역시 부산진구,051-972-5321,051-955-3621,0,3,2022-04-04,비 및 솔 제조업,브러쉬,kyungdobrush.com
671023189071800,개별입지,경인종합인쇄,부산광역시 부산진구 부전로 1 (부전동),강대규,부산광역시 부산진구,051-805-0815,051-805-4007,0,4,1996-02-12,경 인쇄업 외 1 종,인쇄물,
262302015328955,개별입지,광림기업,부산광역시 부산진구 전포대로176번길 41 (전포동),김정수,부산광역시 부산진구,051-808-3211,051-808-3212,0,3,2015-04-20,"전기회로 개폐, 보호장치 제조업 외 1 종",전기회로개폐 보호 및 접속장치,
262302006103761,개별입지,광신공조산업,부산광역시 부산진구 범전로33번길 16 (범전동),김기화,부산광역시 부산진구,051-804-7400,051-804-7060,0,3,2006-03-29,구조용 금속 판제품 및 공작물 제조업,공조용 덕트,
262302018406467,개별입지,금강크리스탈,"부산광역시 부산진구 초읍천로 113-3, 3층 (초읍동, 초읍동 복합상가)",배연희,부산광역시 부산진구,051-817-1192,051-803-3749,0,3,2018-03-21,그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,"상패, 트로피",kumkangcrystal.modoo.at
262302007139853,개별입지,대진전자통신(주),부산광역시 부산진구 전포대로256번길 20-4 (전포동),설진길,부산광역시 부산진구,051-807-5859,051-803-5859,0,10,2007-06-15,유선 통신장비 제조업 외 12 종,케이블경보감시장치외 5종,http://daejine.co.kr
291206110871400,개별입지,대창금망,부산광역시 부산진구 범전로33번길 16 (범전동),김병구,부산광역시 부산진구,051-805-4599,051-816-1271,0,3,1998-08-29,금속선 가공제품 제조업 외 1 종,철망,
262302014303304,개별입지,대창정밀,"부산광역시 부산진구 신암로 111, 1층일부 (범천동)",이창원,부산광역시 부산진구,051-643-1589,,0,3,2014-04-11,날붙이 제조업,각종 재단칼,
262302011225096,개별입지,독일 보청기,"부산광역시 부산진구 중앙대로 722-2,  지하1층, 지상1층 (부전동) 외 2필지",장호창,부산광역시 부산진구,051-803-5588,051-803-1870,0,2,2011-02-23,정형외과용 및 신체보정용 기기 제조업,보청기,
262302004077724,개별입지,독일스타보청기(주),부산광역시 부산진구 중앙대로 724-1 (부전동),황영준,부산광역시 부산진구,051-804-9999,051-803-3316,0,4,2004-06-04,그 외 기타 의료용 기기 제조업,보청기,
262302013286742,개별입지,동건통상,"부산광역시 부산진구 전포대로275번길 20, 102동 110호,115호 (전포동, 서면롯데캐슬스카이)",조정호,부산광역시 부산진구,051-818-7111,051-818-7222,0,9,2013-08-01,액체 여과기 제조업 외 2 종,"음수기,정수기",
262302010200316,개별입지,동남보트레저산업,부산광역시 부산진구 성지로 66-1 (초읍동),박기연,부산광역시 부산진구,051-817-7075,051-816-3374,0,6,2010-02-08,오락 및 스포츠용 보트 건조업,고무보트,www.114boat.com
262302015333413,개별입지,동성상사,"부산광역시 부산진구 거제대로74번길 20, 지하층 (양정동)",정창표,부산광역시 부산진구,051-867-2681,051-867-5832,0,5,2015-06-19,그 외 기타 플라스틱 제품 제조업,주방기물,
360417110851100,개별입지,동양사,부산광역시 부산진구 백양대로34번길 10-14 (부암동),김광수,부산광역시 부산진구,051-809-1801,051-809-4563,0,12,1973-06-25,기체 펌프 및 압축기 제조업,펌프,
262302019439922,개별입지,동일특수제지,부산광역시 부산진구 백양대로136번길 102 (당감동),강석태,부산광역시 부산진구,051-816-1447,051-818-5738,0,8,2019-05-31,위생용 종이제품 제조업,위생용 종이제품 제조업,
262302011229359,개별입지,동진하이테크,"부산광역시 부산진구 전포대로223번길 14-2, 3층, 306호 (전포동)",이경석,부산광역시 부산진구,051-956-2000,051-955-2113,0,5,2011-04-21,배전반 및 전기 자동제어반 제조업 외 3 종,"CCTV, 영상감시기기 외 3종",
262302022936842,개별입지,동화전자,"부산광역시 부산진구 동성로87번길 4, 1,2층(전포동)",박해용,부산광역시 부산진구,051-808-5212,051-808-5213,0,5,2022-11-15,그 외 기타 전자부품 제조업 외 7 종,"IOT관련, 히터/냉각 온도제어장치",dhesys.com
262302013292687,개별입지,두담테크,부산광역시 부산진구 개금본동로23번길 60 (개금동),박정영,부산광역시 부산진구,,050-4266-5511,0,2,2013-11-07,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업,"콘크리트타일, 벽돌 및 블록",
262302022900227,개별입지,디자인 이룸(E.Room),"부산광역시 부산진구 부전로 5-1, 거북골빌딩 7층 (702,703호)(부전동)",박중현,부산광역시 부산진구,051-809-0014,051-803-4114,0,4,2022-08-26,제판 및 조판업 외 3 종,인쇄물,
262302009180702,개별입지,디자인글꼴,"부산광역시 부산진구 중앙대로 591-1 (범천동, 디자인글꼴)",김수진,부산광역시 부산진구,051-636-1210,051-955-2229,1,29,2009-04-07,기타 인쇄업 외 1 종,옵셋인쇄물,www.ggad.co.kr
262302020469640,개별입지,디자인우경,"부산광역시 부산진구 동성로112번나길 6, 1층 (전포동)",신미경,부산광역시 부산진구,051-804-6451,051-804-6450,0,4,2020-04-28,기타 인쇄업 외 1 종,"스티커, 표시판, 디지털프린트(가죽 PU 원단소재 등 특수소재)",
262302010209895,개별입지,미광버티칼,부산광역시 부산진구 동평로 343 (양정동),강상호,부산광역시 부산진구,051-805-1322,051-853-3433,0,4,2010-07-06,커튼 및 유사제품 제조업 외 1 종,"블라인드, 커튼, 롤업셰이드",
000002022781494,개별입지,미래N안전,"부산광역시 부산진구 부전로 14-1, 2층(부전동)",손수진,부산광역시 부산진구,051-808-1336,051-808-1337,0,1,2022-02-10,벽 및 바닥 피복용 플라스틱제품 제조업 외 2 종,스마트LED안전유도블록,www.miraesafety.co.kr
262302015329743,개별입지,미영사,"부산광역시 부산진구 서전로58번길 114, 지하1층 (전포동)",황명옥,부산광역시 부산진구,051-808-2040,051-808-2043,0,10,2015-04-24,"근무복, 작업복 및 유사의복 제조업 외 2 종",교복,
262302014303381,개별입지,미지앤블라인드,부산광역시 부산진구 백양산로 15 (당감동),이동하,부산광역시 부산진구,051-898-0528,051-898-0527,0,5,2014-04-11,커튼 및 유사제품 제조업 외 1 종,"블라인드,버티칼,커텐",
262302019447422,개별입지,범천지기,부산광역시 부산진구 만리산로73번길 40 (범천동),장갑필,부산광역시 부산진구,051-638-0685,051-637-0685,0,2,2019-08-16,골판지 상자 및 가공제품 제조업,박스 종이,
262302014316741,개별입지,부원데코,"부산광역시 부산진구 가야대로 673, 1층, 지하1층 (가야동)",김동길,부산광역시 부산진구,051-631-1325,051-631-1327,0,1,2014-10-22,커튼 및 유사제품 제조업,블라인드,
491010112272100,개별입지,부일엔지니어링,부산광역시 부산진구 전포대로216번길 14 (전포동),김형도,부산광역시 부산진구,051-806-7981,051-806-7982,0,4,1998-10-15,공기 조화장치 제조업,공기조절기 부품,
262302015331236,개별입지,비원이미지 주식회사,"부산광역시 부산진구 엄광로386번길 33, 1층 (범천동)",원종명,부산광역시 부산진구,051-714-5055,051-623-6228,0,8,2015-05-20,방송장비 제조업 외 5 종,"차량 번호 판독기, cctv, 주차관제카메라, 출입통제시스템, 출입통제장치, 자료수집장치",http://www.b1-image.com
262302003053810,개별입지,사복) 신애재활원 신애직업재활원,부산광역시 부산진구 성지로62번길 40 (초읍동),안명희,부산광역시 부산진구,051-816-9128,051-816-9137,0,4,2003-04-01,문구용 종이제품 제조업,사무용지류,
262302005094180,개별입지,산왕건설(주),부산광역시 부산진구 진남로 379-1 (전포동),제태옥,부산광역시 부산진구,051-808-5972,051-808-7062,0,3,2005-03-21,"금속 문, 창, 셔터 및 관련제품 제조업 외 3 종","난간,펜스 등",
262302019436552,개별입지,삼성g2b주식회사,"부산광역시 부산진구 동평로405번길 118, 6층 (양정동)",이상환,부산광역시 부산진구,051-946-8000,051-946-8002,0,8,2019-04-15,방송장비 제조업 외 14 종,"보안용카메라, 전화교환기네트워크연결장치",
262302019454553,개별입지,삼성영상보안주식회사,"부산광역시 부산진구 전포대로223번길 15, B동 407호 (전포동, 테크노프라자)",강석원,부산광역시 부산진구,051-818-9680,051-818-9650,0,3,2019-11-04,기타 음향기기 제조업 외 4 종,"CCTV, 보안장비, 영상감지장치, 방송장치, 동보장치, 배선반",www.sisko.co.kr
380710110961000,개별입지,삼주물산(주),부산광역시 부산진구 동평로214번길 14 (부암동),김연식,부산광역시 부산진구,051-818-1977,051-809-0311,0,29,1999-05-31,그 외 기타 전자부품 제조업,산업용테이프 및 필름 가공품,www.samjums.co.kr
262302013280031,개별입지,새롬콜렉션,"부산광역시 부산진구 신암로71번길 3, 3층 (범천동)",박능서,부산광역시 부산진구,051-647-7111,051-647-7112,0,4,2013-04-29,가방 및 기타 보호용 케이스 제조업,가방,
460312111421500,개별입지,새한세코,부산광역시 부산진구 마철로 106 (당감동),신종순,부산광역시 부산진구,051-898-1323,051-898-1325,0,6,1988-02-02,플라스틱 접착처리 제품 제조업 외 1 종,플라스틱제품,www.shan.co.kr
262302012253893,개별입지,서동메디칼,"부산광역시 부산진구 거제대로36번가길 34,  (2층 일부) (양정동)",김창온,부산광역시 부산진구,051-865-4285,051-863-2781,0,8,2012-04-02,그 외 기타 의료용 기기 제조업 외 1 종,"의료기기, 마사지기",www.nurieye.com
262302015324874,개별입지,서문사,"부산광역시 부산진구 신천대로 106, 1층 (부전동)",박선욱,부산광역시 부산진구,051-819-8623,051-805-4007,0,1,2015-02-23,경 인쇄업 외 2 종,"도서, 광고",
540304210931900,개별입지,성림산업,부산광역시 부산진구 연지로 12-1 (연지동),전석순,부산광역시 부산진구,051-806-4001,051-803-1005,0,8,1998-04-30,화학섬유직물 직조업 외 1 종,인조섬유직물,
262302006111341,개별입지,성준문화,"부산광역시 부산진구 신천대로71번길 33,  1층 (범천동)",이호성,부산광역시 부산진구,051-643-5187,051-633-2027,0,4,2006-06-30,제판 및 조판업,"인쇄물,출판물",
262302011240654,개별입지,세림문화사,"부산광역시 부산진구 신천대로78번길 58, 1F (부전동)",박석곤,부산광역시 부산진구,051-804-9256,,0,0,2011-09-26,기타 인쇄업 외 1 종,"홍보물, 전단지",
262302025194067,개별입지,세창산업,"부산광역시 부산진구 당감로 118, 112동 115호(부암동, 협성피닉스타운)",김영목,부산광역시 부산진구,,051-317-7797,0,0,2025-05-01,기타 직물제품 제조업,"배낭, 요대 등",
262302006119198,개별입지,송백섬유,부산광역시 부산진구 신암로83번길 37 (범천동),이순호,부산광역시 부산진구,051-637-4292,051-637-4294,0,3,2006-10-17,날염 가공업,의류인쇄,
262302008162416,개별입지,승우산업(미라니트),"부산광역시 부산진구 황령대로 73,  362-79 (전포동)",이용식,부산광역시 부산진구,070-8891-2730,051-818-2881,0,17,2008-05-26,편조의복 제조업 외 3 종,의류,dooricollection.co.kr
262302013281520,개별입지,신명전자,"부산광역시 부산진구 전포대로256번길 7, 2층,3층 (전포동)",조용화,부산광역시 부산진구,051-805-0863,051-805-0886,0,4,2013-05-22,전자부품 실장기판 제조업 외 11 종,전자계측장비 등,www.sm-time.com
410121104772100,개별입지,신명정밀가스켓공업사,부산광역시 부산진구 신천대로197번길 26-2 (당감동),홍영조,부산광역시 부산진구,051-898-2007,051-898-0773,0,21,1988-11-22,그 외 기타 일반목적용 기계 제조업 외 6 종,차량부품,
191005111071100,개별입지,신양인쇄사,부산광역시 부산진구 범일로153번길 25 (범천동),배치경,부산광역시 부산진구,051-646-2507,051-646-2507,0,2,1988-12-06,기타 인쇄업 외 1 종,인쇄물,
262302020467713,개별입지,신정애드,부산광역시 부산진구 신천대로65번길 42 (범천동),정은실,부산광역시 부산진구,051-803-0377,051-804-0387,0,2,2020-04-07,경 인쇄업 외 2 종,"인쇄물, 출판물",
262302003064387,개별입지,신흥인쇄사(G.I.S),부산광역시 부산진구 중앙대로989번길 30-5 (양정동),민병선,부산광역시 부산진구,051-852-3377,051-853-8071,0,5,2003-09-24,경 인쇄업 외 6 종,각종인쇄물,
262302022873615,개별입지,쓰리에스시스템,"부산광역시 부산진구 당감서로 152, 213호(당감동, 한국소재융합연구원 창업보육센터)",추성엽,부산광역시 부산진구,,,0,2,2022-07-18,전기회로 접속장치 제조업 외 3 종,교육훈련장비,
540905144881502,개별입지,애드인더스,부산광역시 부산진구 중앙대로644번길 74 (범천동),이규복,부산광역시 부산진구,051-634-8778,051-646-4573,0,9,2024-04-11,간판 및 광고물 제조업 외 15 종,광고물,
262302003064673,개별입지,야베스텍(주),"부산광역시 부산진구 전포대로223번길 19, 410호 (전포동)",이현숙,부산광역시 부산진구,051-808-7861,051-808-7863,0,9,2002-07-11,기타 무선 통신장비 제조업 외 8 종,자동제어장치,
262302020553019,개별입지,에너지절감사업(주),"부산광역시 부산진구 동천로 116, B1층 103호(전포동, 한신밴)",조출규,부산광역시 부산진구,051-811-2277,070-7500-1261,0,3,2020-12-28,비메모리용 및 기타 전자집적회로 제조업 외 1 종,"컨트롤박스, 발전기, 모터",
262302011242911,개별입지,엠씨테크,"부산광역시 부산진구 동천로108번길 11,  창원빌딩 4층 (전포동)",임영대,부산광역시 부산진구,051-803-0514,051-803-0518,0,3,2011-11-01,"레이더, 항행용 무선기기 및 측량기구 제조업 외 1 종","풍향풍속계,LED전광판",www.mc-technology.com
262302003053809,개별입지,영우출판인쇄사,부산광역시 부산진구 부전로 15-2 (부전동),배영미,부산광역시 부산진구,051-806-7654,051-807-7654,0,2,2003-04-01,기타 인쇄업 외 3 종,달력 책,
262302014314047,개별입지,영진니트,"부산광역시 부산진구 신암로71번길 10, 지하 1층 (범천동)",김동진,부산광역시 부산진구,051-831-4803,051-831-4805,3,7,2014-09-05,편조원단 제조업,"니트, 칼라T에리, 시보리",
262302023098662,개별입지,오곡대장제면소,"부산광역시 부산진구 백양산로54번길 13, 2층(부암동, 한솔빌딩)",홍서연 외 1명,부산광역시 부산진구,051-512-5333,051-804-5333,0,2,2023-12-20,"면류, 마카로니 및 유사식품 제조업","쌀국수, 보리면, 현미면, 메밀면",
262302006101102,개별입지,오에이치엠라이팅,"부산광역시 부산진구 신천대로65번길 34,  1층 (범천동)",김승진,부산광역시 부산진구,051-646-8073,051-635-1996,0,3,2006-02-27,일반용 전기 조명장치 제조업 외 5 종,"조명기구, 전주",http://www.ohmsa.co.kr
262302024120663,개별입지,온타임,"부산광역시 부산진구 당감로 102, 2층 (부암동)",박성진,부산광역시 부산진구,,0504-289-9361,0,4,2024-04-29,빵류 제조업,빵류,
262302014296922,개별입지,우신골프,"부산광역시 부산진구 중앙대로941번길 70, 1층,2층 (양정동)",강수자,부산광역시 부산진구,051-867-0409,051-867-5936,0,4,2014-01-09,"사진기, 영사기 및 관련 장비 제조업 ",영사용 스크린,
000002020506461,개별입지,유이워크,부산광역시 부산진구 신암로 147 (범천동) 2층,김동휘,부산광역시 부산진구,051-816-6703,051-816-6704,0,2,2020-08-04,그 외 자동차용 신품 부품 제조업 외 1 종,오토바이 부품,
262302010219329,개별입지,이글스광고기획,부산광역시 부산진구 동평로 187 (부암동),김만,부산광역시 부산진구,051-816-1294,051-816-1294,0,5,2010-12-01,간판 및 광고물 제조업,"간판, 광고물",
264702021706580,개별입지,이은개발,"부산광역시 부산진구 동평로291번길 30-17, 상가동 401호(연지동, 연지2차청구아파트)",탁남규,부산광역시 부산진구,051-980-5875,051-980-5875,0,4,2021-10-18,전자감지장치 제조업 외 1 종,TMS(Tank Monitoring System),
262302019438542,개별입지,인터루체,"부산광역시 부산진구 자유평화로3번길 14-21, 402호 (범천동, 소망빌딩) (범천동, 신부산빌딩)",이성우,부산광역시 부산진구,070-7799-2488,051-637-2487,0,11,2019-05-15,귀금속 및 관련제품 제조업,귀금속,
262302019456299,개별입지,인화전기,"부산광역시 부산진구 전포대로 220, 지하1층, 지상1층 (전포동)",엄경호,부산광역시 부산진구,051-809-0802,051-804-7496,0,2,2019-11-27,방송장비 제조업 외 13 종,전기전자 기기 외 다수,
262302015344104,개별입지,정성의료린넨,"부산광역시 부산진구 성지로137번길 92, 지하1층 (초읍동)",정성운,부산광역시 부산진구,051-816-2377,051-816-2379,0,1,2015-11-10,그 외 기타 봉제의복 제조업,"환자복, 의료복 등",
262302024145883,개별입지,제이앤엘인터내셔널주식회사,"부산광역시 부산진구 중앙대로644번길 68, 3층 (범천동)",제원택,부산광역시 부산진구,070-7537-3700,051-816-6344,0,6,2024-09-04,여자용 겉옷 제조업 외 2 종,"작업복, 유니폼, 코트류",
262302020470484,개별입지,제이에스(J.S),부산광역시 부산진구 동평로39번길 64 (당감동) 101호,신중삼,부산광역시 부산진구,051-808-0622,051-808-0633,0,1,2020-05-12,목재문 및 관련제품 제조업 외 17 종,"목재, 기타 기계 및 장비, 가구 및 기타제품(어린이 용품)",
262302024120611,개별입지,제이투정보통신,"부산광역시 부산진구 백양순환로28번길 21, 3층 (당감동)",김경선,부산광역시 부산진구,051-907-1800,051-715-1801,0,10,2024-04-29,방송장비 제조업 외 1 종,"보안용카메라, 영상감시장치",
262302019455452,개별입지,제이피테크,"부산광역시 부산진구 엄광로 176, 303호, 동의대학교 산학협력관 (가야동)",황희경,부산광역시 부산진구,070-7638-4572,050-4191-4572,0,2,2019-11-13,기기용 자동측정 및 제어장치 제조업,조명제어기기,
262302013284252,개별입지,조은김치,"부산광역시 부산진구 전포대로176번길 26, 지하1층,지상1층 (전포동)",조기식,부산광역시 부산진구,051-807-9890,051-807-9892,0,3,2013-07-01,김치류 제조업 외 1 종,김치,
262302021563781,개별입지,주식회사 가위바위보,부산광역시 부산진구 백양대로320번길 18 (개금동) 1층,임영화,부산광역시 부산진구,051-911-2050,051-915-2050,0,2,2021-01-11,그 외 기타 의복액세서리 제조업 외 7 종,전통악세사리/한복/생활소품(장식품)/전통 문양 및 디자인 판촉물/전통관련 교육 재료,
262302006108404,개별입지,주식회사 나누리식품,부산광역시 부산진구 부전로 144-3 (부전동),손창기,부산광역시 부산진구,051-803-5775,051-803-6006,0,11,2006-05-29,김치류 제조업 외 1 종,"김치, 절임식품",
262302014316092,개별입지,주식회사 네온텍,"부산광역시 부산진구 연수로11번길 15, 2층 (양정동)",박연옥,부산광역시 부산진구,051-861-8204,051-861-8202,0,6,2014-10-14,방송장비 제조업 외 5 종,CCTV 카메라,
400615110182200,개별입지,주식회사 부산어묵 고래사,"부산광역시 부산진구 중앙대로769번길 17, 1층 (부전동)",전현규,부산광역시 부산진구,051-802-5778,051-809-5779,0,4,1980-03-12,두부 및 유사식품 제조업,연제,
262302025206244,개별입지,주식회사 수내츄럴라이트,"부산광역시 부산진구 동성로118번가길 14-1, 1층 (전포동)",정현수,부산광역시 부산진구,051-315-0510,051-317-5980,0,3,2025-06-20,일반용 전기 조명장치 제조업,"빛공해 방지조명, 기능성 LED 식물 조명",
262302014319373,개별입지,주식회사 에스디텍,"부산광역시 부산진구 신천대로 193-1, 1층 (당감동)",윤종진,부산광역시 부산진구,051-326-1861,051-326-1862,0,13,2014-12-01,메모리용 전자집적회로 제조업 외 40 종,"전자제어기, 전자부품 외 다수",www.sdtecelc.com
