순번,회사명,공장대표주소(도로명),공장등록일,전화번호,팩스번호
77,주식회사 어반디자인,"부산광역시 연제구 쌍미천로 35-4, 1층 (연산동)",2025-01-13,051-924-0074,051-924-0075
78,주식회사 에스엠디에이,부산광역시 연제구 월드컵대로187번길 34-2 (거제동),2012-03-06,051-863-2878,051-866-2874
79,주식회사 주원정보통신,"부산광역시 연제구 중앙대로 1167, 505호 (거제동, 중앙빌딩)",2018-01-17,051-865-2228,051-861-2228
80,주식회사 진성정보통신,"부산광역시 연제구 거제대로 128-9, 301호(거제동)",2022-05-20,051-911-9703,051-911-6702
81,주식회사 클라우드스토리,부산광역시 연제구 반송로 22 (연산동) 동서상가 1층,2021-02-22,070-8682-5557,0504-432-5557
82,주식회사 하림아이티,부산광역시 연제구 과정로276번길 14 (연산동) 2층,2021-01-28,051-817-6699,051-818-9500
83,주식회사 한남글로벌,부산광역시 연제구 고분로112번길 5 (연산동) (총 2 필지) 외 1필지,2000-06-09,051-851-6671,051-851-6674
84,주식회사 해양협전사,부산광역시 연제구 월드컵대로164번길 13 (연산동),1998-04-30,055-365-1258,055-365-1260
85,지누애드,"부산광역시 연제구 반송로 68, D동 206호 (연산동)",2015-03-11,051-852-1694,051-852-1695
86,지르코쟌 치과기공소,"부산광역시 연제구 반송로 11, 4층 (연산동)",2010-03-24,051-864-4993,
87,케이미디어,부산광역시 연제구 거제대로96번길 38 (거제동) 401호,2017-10-23,,055-545-8603
88,코사라인,부산광역시 연제구 연수로213번길 20 (연산동) 1층,2021-01-28,051-867-6345,051-865-2852
89,타펨코리아,"부산광역시 연제구 중앙대로1038번길 54 (연산동, 효성아파트) 지하30호",2016-09-20,051-553-6446,051-553-6445
90,태광물산(주),부산광역시 연제구 월드컵대로164번길 17 (연산동),2003-08-01,051-866-8111,051-851-3022
91,하이눈정보통신,"부산광역시 연제구 거제대로252번길 32, 2층 (거제동)",2011-04-21,051-866-0377,
92,하이콤 주식회사,"부산광역시 연제구 연안로13번길 57, 3층 (연산동)",2019-10-11,051-638-3500,051-638-5300
93,해동그린파워펌프,부산광역시 연제구 월드컵대로188번길 33 (거제동),2005-12-08,051-863-3600,051-861-6666
94,해피웍플레이스 주식회사,"부산광역시 연제구 토현로 6, 가상가 105호(연산동, 망미주공아파트)",2025-02-17,051-866-0775,
95,현대미디어,부산광역시 연제구 월드컵대로 34-1 (연산동),2006-12-11,051-868-2022,
96,형제흑판사,부산광역시 연제구 거제대로 294 (거제동),2009-03-30,051-864-7802,051-863-2688
97,화성아이티주식회사,"부산광역시 연제구 거제대로 128-9, 302호(거제동)",2022-05-20,051-852-9690,051-852-9692
98,휴먼코어젠주식회사,부산광역시 연제구 쌍미천로84번길 85 (연산동),2019-10-18,,050-4064-2625
