연번,회사명,주소,종업원수,전화번호,팩스번호,업종명,생산품,외국인종업원수,데이터기준일자
49,(주)더엔진,부산광역시 사하구 하신중앙로54번길 42 3층 ,30,02-6272-7080,02-3273-3676,남자용 겉옷 제조업 외 4 종,의류+잡화,0,2025-07-01
50,(주)덕영어패럴,부산광역시 사하구 을숙도대로724번길 2 ,25,051-291-4441,051-291-4442,셔츠 및 블라우스 제조업 외 1 종,와이셔츠,0,2025-07-01
51,(주)동남팩,부산광역시 사하구 두송로 39 ,8,051-261-9525,051-262-5959,기타 인쇄업 외 1 종,인쇄,0,2025-07-01
52,(주)동림ENG,부산광역시 사하구 하신중앙로3번가길 74 ,8,051-262-0573,051-262-0574,그 외 기타 가구 제조업 외 1 종,로프+선박용가구및의장품,0,2025-07-01
53,(주)동방유통,부산광역시 사하구 감천항로429번길 37 ,35,051-314-4452,051-312-1039,수산동물 냉동품 제조업,굴비류,0,2025-07-01
54,(주)동부엔지니어링,부산광역시 사하구 하신중앙로54번길 43 ,6,051-261-4209,051-265-4991,배전반 및 전기 자동제어반 제조업,판넬,0,2025-07-01
55,(주)동성케미컬 신평공장,부산광역시 사하구 하신번영로 19 ,30,051-200-4573,051-204-5636,신발 부분품 제조업 외 2 종,신발부분품+멜라민품,0,2025-07-01
56,(주)동아위드,부산광역시 사하구 낙동대로 542 301 ,40,051-911-0173,051-294-8500,기타 인쇄업 외 2 종,인쇄,0,2025-07-01
57,(주)동아위드,부산광역시 사하구 낙동대로 536 2층 ,5,051-291-0911,051-294-8500,남자용 겉옷 제조업 외 3 종,작업복+근무복+운동복+정복+잠바,0,2025-07-01
58,(주)동아피앤피,부산광역시 사하구 하신중앙로27번길 6 ,21,051-807-0600,051-807-3667,오프셋 인쇄업,인쇄물,0,2025-07-01
59,(주)동원통영수산,부산광역시 사하구 감천항로 24 외 3필지,30,051-712-6305,051-291-3049,수산동물 냉동품 제조업 외 1 종,간고등어 외,0,2025-07-01
60,(주)동원해사랑,부산광역시 사하구 감천항로 24 ,20,051-291-5101,051-291-9343,수산동물 냉동품 제조업 외 1 종,생선가공외,0,2025-07-01
61,(주)동진금속,부산광역시 사하구 감천항로419번길 21 ,10,051-263-6031,051-262-6031,동 제련·정련 및 합금 제조업,비철금속,4,2025-07-01
62,(주)동진전기,부산광역시 사하구 구평로 7 ,2,051-417-2808,051-413-6765,선박 구성 부분품 제조업,선박 전기 수리,0,2025-07-01
63,(주)동하,부산광역시 사하구 구평로 19-1 ,68,051-256-1774,051-256-1776,컨베이어장치 제조업 외 1 종,컨베이어벨트,10,2025-07-01
64,(주)동하씨푸드,부산광역시 사하구 다산로 12 ,14,051-265-9181,051-265-8954,수산동물 훈제·조리 및 유사 조제식품 제조업,어묵,0,2025-07-01
65,(주)동해로씨푸드,부산광역시 사하구 다대로1066번길 64-10,35,051-909-9229,051-919-9224,수산동물 냉동품 제조업 외 1 종,오징어+문어 가공품,2,2025-07-01
66,(주)동해산업,부산광역시 사하구 하신중앙로3번길 56 ,6,02-472-6077,02-472-6020,기타 건축용 플라스틱 조립제품 제조업,플라스틱+철제 건축 구조재,0,2025-07-01
67,(주)동해엠티,부산광역시 사하구 감천항로405번길 74 ,22,051-266-6877,051-266-6880,선박 구성 부분품 제조업 외 1 종,샤프트+후랜지+슬리브외,6,2025-07-01
68,(주)동호기업,부산광역시 사하구 감천항로 411 외 1필지,10,051-262-1243,051-262-1763,선박 구성 부분품 제조업,선박구성품 등,0,2025-07-01
69,(주)동호기업 제2공장,부산광역시 사하구 감천항로 427 ,10,051-262-1243,,선박 구성 부분품 제조업,선박구성품,0,2025-07-01
70,(주)두성인터내셔날,부산광역시 사하구 감천항로429번길 31 ,3,051-256-6511,051-256-7667,선박 구성 부분품 제조업 외 2 종,선박수리+선박용 기계 및 장비,0,2025-07-01
71,(주)디씨아이테크,부산광역시 사하구 감천항로190번길 8 ,12,051-264-7436,051-263-2104,그 외 기타 전자부품 제조업 외 1 종,자동차부품+금속부품+전자부품,0,2025-07-01
72,(주)디에스아이프리징솔루션,부산광역시 사하구 을숙도대로873번길 26,5,051-959-4315,051-959-4316,산업용 냉장 및 냉동 장비 제조업,horizontal plate freezer,0,2025-07-01
73,(주)디에스앤,부산광역시 사하구 하신중앙로53번길 16 ,6,051-207-9391,051-207-9390,선박 구성 부분품 제조업,선박프로펠라,0,2025-07-01
74,(주)디에이치공업,부산광역시 사하구 감천항로 271-6,4,,,도장 및 기타 피막처리업,도장,0,2025-07-01
75,(주)디에이치하이드록스,부산광역시 사하구 장림로 132 ,51,051-265-5391,051-264-8753,유압기기 제조업 외 6 종,유압기기부품,12,2025-07-01
76,(주)디엘창호,부산광역시 사하구 하신번영로 288,2,051-205-1718,051-205-3533,플라스틱 창호 제조업 외 1 종,알루미늄창+합성수지창,0,2025-07-01
77,(주)디오텍,부산광역시 사하구 낙동대로 301 212호 ,10,051-292-6237,051-292-6258,그 외 기타 의료용 기기 제조업 외 2 종,의료용레이저수술기,0,2025-07-01
78,(주)디와이팩,부산광역시 사하구 장평로138번길 19 ,11,051-941-4005,051-941-4007,기타 인쇄업,포장재,0,2025-07-01
79,(주)디유티코리아,부산광역시 사하구 다산로208번길 32 301호 외 2필지,20,051-202-0586,051-202-0647,고무·화학섬유 및 플라스틱 성형기 제조업 외 2 종,성형기,0,2025-07-01
80,(주)디자인표현,부산광역시 사하구 낙동남로 1352-1 ,6,051-292-9922,051-208-0391,간판 및 광고물 제조업 외 5 종,간판+옥외광고물+인쇄,0,2025-07-01
81,(주)디피이에이,부산광역시 사하구 낙동대로550번길 37 창업관 3층 304호 ,2,051-220-7588,,산업용 오븐·노 및 노용 버너 제조업 외 1 종,수소가스버너,0,2025-07-01
82,(주)라온케이디,부산광역시 사하구 다대로354번안길 20 3층,0,02-953-3320,02-953-3321,근무복·작업복 및 유사의복 제조업 외 15 종,근무복/작업복/운동복,0,2025-07-01
83,(주)래치원,부산광역시 사하구 하신중앙로3번가길 38 ,40,051-325-6542,051-325-6543,전기회로 개폐·보호장치 제조업 외 1 종,전기터미널+소켓+콘센트,0,2025-07-01
84,(주)럭스코 부산지점,부산광역시 사하구 하신중앙로3번길 100 ,25,051-262-8587,051-262-8538,변압기 제조업 외 5 종,절연감시장치+집합경보장치,0,2025-07-01
85,(주)리엔리,부산광역시 사하구 두송로 38 ,24,051-262-8311,051-262-8312,사무 및 회화용품 제조업,문구용 접착제(풀),0,2025-07-01
86,(주)리호,부산광역시 사하구 하신중앙로54번길 68 ,39,051-265-9777,051-265-3868,사무 및 회화용품 제조업,사무용품,7,2025-07-01
87,(주)리호,부산광역시 사하구 장평로195번길 12 ,16,051-265-9777,051-265-3868,사무 및 회화용품 제조업,풀,7,2025-07-01
88,(주)메트로이엔지,부산광역시 사하구 구평로 27 ,0,070-7782-7763,051-263-7763,수상 금속 골조 구조재 제조업,수상금속골조구조재,0,2025-07-01
89,(주)명성알앤티,부산광역시 사하구 을숙도대로569번길 37 ,6,051-204-8262,051-204-8265,산업용 냉장 및 냉동 장비 제조업,냉동장비,0,2025-07-01
90,(주)명심산업,부산광역시 사하구 두송로 232 1층 ,5,051-973-7066,051-973-7067,기타 목재가구 제조업 외 1 종,가구+의자,0,2025-07-01
91,(주)명인수산,부산광역시 사하구 다대로354번길 64 ,16,051-265-4604,051-265-4605,기타 수산동물 가공 및 저장 처리업 외 2 종,연어 외,0,2025-07-01
92,(주)미그린식품,부산광역시 사하구 을숙도대로 823 ,6,051-404-1800,051-404-5533,수산식물 가공 및 저장 처리업,조미김,0,2025-07-01
93,(주)바이넥스,부산광역시 사하구 다대로 368-3 ,196,051-790-4493,051-263-4171,완제 의약품 제조업,비스루트캅셀,0,2025-07-01
94,(주)바이넥스,부산광역시 사하구 다대로 368-2 ,41,051-265-9131,051-263-4171,완제 의약품 제조업,의약품,0,2025-07-01
95,(주)바이넥스,부산광역시 사하구 다대로 368-3,144,051-790-4470,051-790-4400,완제 의약품 제조업,양약+자양강장제+건강기능식품,0,2025-07-01
96,(주)보성공업,부산광역시 사하구 장평로 47 ,10,031-865-8833,031-865-1618,배전반 및 전기 자동제어반 제조업 외 1 종,선박용 통합기관제어장치,0,2025-07-01
97,(주)보은전기,부산광역시 사하구 두송로210번길 13 ,7,051-266-2155,051-261-5897,배전반 및 전기 자동제어반 제조업,전기박스,0,2025-07-01
98,(주)부강,부산광역시 사하구 장평로71번길 45 ,5,051-231-5611,051-231-2615,선박 구성 부분품 제조업,선박 및 산업기기 철물구조,0,2025-07-01
99,(주)부광푸드,부산광역시 사하구 장림번영로 72 ,15,051-262-8733,051-262-9663,육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종,닭고기+오리고기,0,2025-07-01
100,(주)부산정비,부산광역시 사하구 을숙도대로 670,59,051-263-2111,051-261-5861,건설.광업용 기계 및 장비 수리업,중장비.건설기계정비,0,2025-07-01
101,(주)부산해사랑,부산광역시 사하구 을숙도대로 717 3층 4층 외 8필지,30,051-262-1601,051-208-8438,기타 수산동물 가공 및 저장 처리업 외 3 종,수산동물 가공품,0,2025-07-01
102,(주)부영개발,부산광역시 사하구 보덕포1길 56 외 12필지,9,051-263-5811,051-714-5877,아스팔트 콘크리트 및 혼합제품 제조업 외 1 종,아스콘+골재,0,2025-07-01
103,(주)비손,부산광역시 사하구 보덕포1길 22 2층,9,051-715-4880,051-715-4881,간판 및 광고물 제조업 외 15 종,광고물+현수막+조형물+실물모형 등,0,2025-07-01
104,(주)비엠케이메디칼,부산광역시 사하구 하신번영로201번길 13 2층 ,0,051-203-9990,051-203-9911,그 외 기타 의료용 기기 제조업,온열기,0,2025-07-01
105,(주)빌드썬,부산광역시 사하구 하신중앙로54번길 34 ,8,051-972-6464,051-972-6463,육상 금속 골조 구조재 제조업 외 2 종,철골거푸집 등,0,2025-07-01
106,(주)사바페데스탈,부산광역시 사하구 하신중앙로3번길 60-7 ,2,051-331-3338,051-331-3338,벽 및 바닥 피복용 플라스틱제품 제조업,합성수지 블록,0,2025-07-01
107,(주)산들천,부산광역시 사하구 하신중앙로3번길 60-1 1층 ,7,051-271-6450,051-711-7351,기타 과실ㆍ채소 가공 및 저장 처리업,농산물,0,2025-07-01
108,(주)삼명사,부산광역시 사하구 장평로71번길 38 ,92,051-261-3551,051-261-3562,전구 및 램프 제조업 외 4 종,조명기구+방전등용 안전기램프,1,2025-07-01
109,(주)삼명사장림2공장,부산광역시 사하구 장평로71번길 36 ,49,051-261-3551,051-261-3555,전구 및 램프 제조업,램프,0,2025-07-01
110,(주)삼사원금속,부산광역시 사하구 장평로 37 ,22,051-261-7480,051-264-6501,볼트 및 너트류 제조업 외 2 종,볼트+너트,0,2025-07-01
111,(주)삼성냉장,부산광역시 사하구 원양로 313 ,22,051-204-3113,051-204-3345,수산동물 냉동품 제조업,냉동품,0,2025-07-01
112,(주)삼성폴리캠,부산광역시 사하구 장림로 284 외 1필지,16,051-301-2351,,합성수지 및 기타 플라스틱 물질 제조업,합성수지,0,2025-07-01
113,(주)삼신전기,부산광역시 사하구 하신중앙로17번길 22 ,11,051-261-8202,051-261-4606,기타 조명장치 제조업,선박용 등기구,0,2025-07-01
114,(주)삼영엔프라,부산광역시 사하구 장림로 212 외 2필지,14,051-262-6620,051-264-5052,운송장비 조립용 플라스틱제품 제조업 외 1 종,자동차용품,0,2025-07-01
115,(주)삼정개발,부산광역시 사하구 보덕포1길 101-1 ,16,051-264-6660,051-264-1080,금속류 해체 및 선별업 외 1 종,은(Ag),0,2025-07-01
116,(주)삼표산업 서부산공장,부산광역시 사하구 감천항로 269 ,15,051-963-3011,051-963-3015,레미콘 제조업,레미콘,0,2025-07-01
117,(주)삼화제닉스,부산광역시 사하구 장평로71번길 38,5,051-261-7733,051-261-3788,가정용 전기 난방기기 제조업,전기장판,0,2025-07-01
118,(주)생선이야기,부산광역시 사하구 장림로196번길 11 ,9,051-263-6930,,수산동물 냉동품 제조업,장어구이,0,2025-07-01
119,(주)서나실업,부산광역시 사하구 을숙도대로 823 ,1,051-262-6075,051-262-6080,인형 및 장난감 제조업,작동완구,0,2025-07-01
120,(주)서진참치,부산광역시 사하구 장평로76번길 22  2층,10,055-716-1127,055-716-1128,수산동물 냉동품 제조업,참다랑어 뱃살+참다랑어 로인+눈다랑어 뱃살+황새치 뱃살+황다랑어 뱃살 등,0,2025-07-01
121,(주)서흥,부산광역시 사하구 장림번영로 87 ,41,051-901-8502,051-264-3113,신발 부분품 제조업,신발부품,0,2025-07-01
122,(주)선곡산업,부산광역시 사하구 비봉로54번안길 15 ,6,051-505-5502,051-502-9908,금속 문·창·셔터 및 관련제품 제조업,창호,0,2025-07-01
123,(주)선진엔텍,부산광역시 사하구 감천항로405번길 11 ,48,051-262-3510,051-262-3520,선박 구성 부분품 제조업 외 10 종,선박부품+선박건조 및 수리,0,2025-07-01
124,(주)성보냉장,부산광역시 사하구 감천항로 12 ,26,051-292-5356,051-293-4365,수산동물 냉동품 제조업,냉동품 제조,0,2025-07-01
125,(주)성운,부산광역시 사하구 암남공원로 477 ,16,051-293-2145,051-293-2147,낚시 및 수렵용구 제조업,낚시바늘+낚시용품,0,2025-07-01
126,(주)세림수산,부산광역시 사하구 장평로15번길 1-6 외 1필지,22,051-266-4691,051-266-4693,수산동물 훈제·조리 및 유사 조제식품 제조업,장어구이,3,2025-07-01
127,(주)세영하이테크,부산광역시 사하구 다대로354번안길 88 ,0,051-266-5356,051-266-5377,절삭가공 및 유사처리업 외 1 종,크레인전장품,0,2025-07-01
128,(주)세운엔지리어링,부산광역시 사하구 다대로300번길 14 ,17,051-262-1260,051-263-3511,배전반 및 전기 자동제어반 제조업,선박용배전반,0,2025-07-01
129,(주)세운전기,부산광역시 사하구 을숙도대로677번길 5 ,5,051-208-4641,051-208-4643,전기회로 개폐·보호장치 제조업 외 1 종,전기접속장치+소켓 등,0,2025-07-01
130,(주)세운전기,부산광역시 사하구 감천로42번길 47 외 2필지,25,051-208-4641,051-208-4643,전기회로 개폐·보호장치 제조업 외 1 종,조선기자재,0,2025-07-01
131,(주)세원화학,부산광역시 사하구 장평로138번길 17-2 ,12,051-262-3456,051-263-8900,그 외 기타 분류 안된 화학제품 제조업 외 1 종,고무배합제+수지,0,2025-07-01
132,(주)세전사,부산광역시 사하구 을숙도대로755번길 28 ,23,051-262-7723,051-262-5776,일반용 전기 조명장치 제조업 외 2 종,형광등기구,0,2025-07-01
133,(주)세정씨푸드,부산광역시 사하구 장평로 24 ,36,051-264-2005,051-264-4001,수산동물 훈제·조리 및 유사 조제식품 제조업 외 2 종,훈제연어+냉동문어,6,2025-07-01
134,(주)셀프락너트,부산광역시 사하구 감천항로190번안길 18,4,051-263-8233,051-263-8232,볼트 및 너트류 제조업,풀림방지용 너트,0,2025-07-01
135,(주)스미트인더스트리,부산광역시 사하구 장림번영로104번길 28 ,17,051-265-2700,051-265-0333,침구 및 관련제품 제조업 외 1 종,크리너+침장용품,0,2025-07-01
136,(주)스틸마린,부산광역시 사하구 구평로16번길 11 외 2필지,10,051-327-6995,,선박 구성 부분품 제조업,철의장품,0,2025-07-01
137,(주)승진이엔지,부산광역시 사하구 다대로300번길 40 ,6,051-201-5031,051-201-5032,전자부품 실장기판 제조업 외 4 종,LED조명기구 및 전원공급기+기타 전기 변환장치 등,0,2025-07-01
138,(주)시선,부산광역시 사하구 보덕포1길 22 1층,12,051-502-4880,051-501-0220,간판 및 광고물 제조업 외 15 종,광고물+현수막+조형물+실물모형 등,0,2025-07-01
139,(주)신광레포츠,부산광역시 사하구 장평로 31-1 ,58,051-265-4425,051-262-9912,기타 운동 및 경기용구 제조업,화살대,0,2025-07-01
140,(주)신대양,부산광역시 사하구 구평로16번길 67 ,53,051-325-7636,051-325-7638,금속탱크 및 저장용기 제조업 외 3 종,탱크 및 선박수리,0,2025-07-01
141,(주)신도정밀,부산광역시 사하구 보덕포1길 99 ,23,051-832-0235,051-832-0239,자동차용 금속 압형제품 제조업 외 2 종,자동차부품,5,2025-07-01
142,(주)신동,부산광역시 사하구 사하로 102 외 1필지,35,051-203-5111,051-203-5113,기타 인쇄업 외 1 종,인쇄,0,2025-07-01
143,(주)신성정공,부산광역시 사하구 장평로41번길 36 ,22,051-266-5426,051-266-5213,탭·밸브 및 유사장치 제조업 외 3 종,밸브+크레인+제진기+금속문,0,2025-07-01
144,(주)신우농수산,부산광역시 사하구 다대동로6번길 1 ,43,051-263-4911,051-261-4509,수산동물 냉동품 제조업 외 1 종,수산물가공품,0,2025-07-01
145,(주)신우농수산 제2공장,부산광역시 사하구 다대동로6번길 21 외 1종 ,13,051-263-4911,051-263-4955,그 외 기타 달리 분류되지 않은 제품 제조업 외 1 종,재빙,0,2025-07-01
146,(주)신해에프엔지,부산광역시 사하구 장평로41번길 25 ,4,051-972-4795,051-972-4796,어망 및 기타 끈 가공품 제조업,어망+어구,0,2025-07-01
147,(주)신협전자,부산광역시 사하구 신산북로33번길 13 외 1필지,17,051-206-0356,051-201-0231,전자부품 실장기판 제조업 외 2 종,전자회로기판,0,2025-07-01
148,(주)신호씨푸드,부산광역시 사하구 감천항로405번길 66 ,35,051-261-8616,051-261-8615,수산동물 건조 및 염장품 제조업 외 1 종,자반고등어,2,2025-07-01
149,(주)쓰리에스씨푸드,부산광역시 사하구 원양로 340 ,6,051-293-6386,051-292-2642,기타 수산동물 가공 및 저장 처리업,수산물가공품,0,2025-07-01
150,(주)아미스트,부산광역시 사하구 하신중앙로 109,4,051-516-0624,051-901-2927,그 외 기타 분류 안된 화학제품 제조업 외 2 종,플라스틱 물질+접착제+젤라틴+기타화학제품,0,2025-07-01
151,(주)아셈스,부산광역시 사하구 을숙도대로873번길 31 외 1필지,41,051-713-3900,051-711-3900,표면처리 및 적층 직물 제조업,필름접착제,0,2025-07-01
152,(주)아이에스엔지니어링,부산광역시 사하구 서포로 42 3층 ,15,051-317-1374,051-317-1379,배전반 및 전기 자동제어반 제조업 외 1 종,배전반+전기자동제어반+엔진부품,0,2025-07-01
153,(주)아이케이이앤지,부산광역시 사하구 장평로15번길 3 ,0,051-317-9300,051-317-9313,방송장비 제조업 외 3 종,영상감시장치+보안용카메라,0,2025-07-01
154,(주)아즈텍더블유비이,부산광역시 사하구 다대로354번안길 20 3층 ,3,051-202-3101,051-202-2346,남자용 겉옷 제조업 외 13 종,남성용 외투+여성용 외투+전투복+남성용 운동복+장갑+모자+속옷 및 잠옷+셔츠 및 블라우스+가죽의복+봉제의복+모피제품+핸드백 및 지갑+가방 및 기타 보호용 케이스+편조의복,0,2025-07-01
155,(주)아트엔티이,부산광역시 사하구 감천항로190번길 66 ,3,051-442-2236,051-442-2274,기타 목재가구 제조업 외 10 종,원목가구+LED경관조명+경관조명기구+조명제어장치,0,2025-07-01
156,(주)안신,부산광역시 사하구 장평로 23 외 1필지,8,051-266-2392,051-266-5623,과자류 및 코코아 제품 제조업,잘크톤 츄어블정+홍삼캬라멜 외,0,2025-07-01
157,(주)알엠부산그룹,부산광역시 사하구 감천항로 223 ,7,070-7931-8940,051-253-8940,음ㆍ식료품 및 담배 가공기계 제조업,어패류절단기제작,5,2025-07-01
158,(주)알엠부산그룹,부산광역시 사하구 감천항로 223 외 2필지,11,070-7931-8940,051-253-8940,음ㆍ식료품 및 담배 가공기계 제조업,어패류절단기제작,5,2025-07-01
