회사명,주소,전화번호,행정기관,설립구분,용지면적,제조시설면적,종업원수,공장규모,공장등록일,용도지역,지목,업종,생산품
(주)아이오티솔루션,"부산광역시 북구 효열로 111, 4층 402호 (금곡동, 부산지식산업센터) 4층 402호",000-000-0000,부산광역시 북구 만덕동 447-1번지,창업,206.82,100.72,13,소기업,2025-03-25,도시지역,대,"레이더, 항행용 무선기기 및 측량기구 제조업 외 5 종","수위조절기 및 풍향풍속, 강우강도계, 데이터 수집보드, 데이터 수집장치, 종합 계측기, 수위 및 유량계, 무선 통신장치"
(주)아이플러스원,부산광역시 북구 효열로 111 3층 306호,070-5099-7077,"부산광역시 북구 금곡동 812-8번지 502호,504호,505호,506호",일반,191.44,30,6,소기업,2023-07-05,도시지역,대,기타 전기 변환장치 제조업 외 4 종,"레이더비콘, AtoN AIS, 등명기, 충방전조절기, 독립전원 안전표지판, 부표, 침몰위치표시장치"
(주)에스앤에프,부산광역시 북구 구만덕로60번길 34 (만덕동),051-335-1110,"부산광역시 북구 덕천동 420-3 지하층,지상2층",일반,705,147,13,소기업,2005-01-31,도시지역,대,정형외과용 및 신체보정용 기기 제조업,정형외과용 지지대
(주)에스엔비아,"부산광역시 북구 효열로 111, 502호,504호,505호,506호 (금곡동)",051-513-1126,부산광역시 북구 만덕동 696번지,일반,784.46,511.06,9,소기업,2020-03-16,도시지역,공장용지,화장품 제조업 외 1 종,"화장품, 의료기기"
(주)에이원어패럴,"부산광역시 북구 의성로115번길 68 (덕천동) 지하층,지상2층",051-942-6977,부산광역시 북구 금곡동 812-5 지하1층,창업,165.75,145.92,7,소기업,2020-09-16,도시지역,대,남자용 겉옷 제조업 외 5 종,의복
(주)엔시스,부산광역시 북구 만덕1로104번가길 24 (만덕동),051-532-9111,부산광역시 북구 만덕동 447-14,일반,205,132,19,소기업,2015-12-18,도시지역,대,"전자기 측정, 시험 및 분석기구 제조업 외 3 종","교육용실습기자재(공정제어실험장치 외), 소형기기충전기(충전드릴시스템 외)"
(주)엘큐어,"부산광역시 북구 금곡대로550번길 26, 지하1층 (금곡동)",051-904-1351,부산광역시 북구 금곡동 812-8번지 부산지식산업센터 310호,창업,66,24,1,소기업,2024-01-15,도시지역,대,화장품 제조업,화장품 원료
(주)예원강건,부산광역시 북구 구만덕로60번길 38 (만덕동),051-342-1521,부산광역시 북구 만덕동 447-1번지 3층,창업,253.94,253.94,23,소기업,2024-04-17,도시지역,대,"금속 문, 창, 셔터 및 관련제품 제조업",알루미늄 창호
(주)오승이에스,"부산광역시 북구 효열로 111, 부산지식산업센터 310호 (금곡동)",051-342-0070,부산광역시 북구 덕천동 411-7번지,일반,190.79,23.7,4,소기업,2017-06-15,도시지역,공장용지,전자카드 제조업,"스마트카드, PVC카드, 전자카드"
(주)월드전자,"부산광역시 북구 구만덕로60번길 24, 3층 (만덕동)",051-338-2391,"부산광역시 북구 금곡동 812-8 부산지식산업센터 313,314호",일반,301,148.5,8,소기업,2019-06-28,도시지역,대,기기용 자동측정 및 제어장치 제조업 외 1 종,인디게이터
(주)유니다,부산광역시 북구 의성로115번길 33 (덕천동),051-338-2550,부산광역시 북구 금곡동 1116-6번지,일반,1932.24,495.76,46,소기업,1997-03-25,도시지역,대,편조원단 제조업 외 7 종,"섬유, 셔츠"
(주)제이비테크,"부산광역시 북구 효열로 7, 2층 202 (금곡동, 대영인더스빌)",051-413-0704,"부산광역시 북구 금곡동 812-8번지 부산지식산업센터 410,411,412호",일반,462,379,6,소기업,2012-06-07,도시지역,공장용지,메모리용 전자집적회로 제조업 외 4 종,전자회로기판
(주)제이엘유,"부산광역시 북구 효열로 111, 부산지식산업센터 410,411,412호 (금곡동)",051-331-7165,부산광역시 북구 금곡동 812-8 부산지식산업센터 302호,일반,578.07,385.38,5,소기업,2017-02-22,도시지역,공장용지,그 외 기타 의료용 기기 제조업 외 1 종,"의료기기, 미용기기"
(주)지에스티,"부산광역시 북구 효열로 111, 302호(금곡동, 부산지식산업센터) 302호",070-7017-7373,부산광역시 북구 금곡동 812-8번지 부산지식산업센터 401호,일반,134.75,89.465,5,소기업,2020-04-03,도시지역,대,배전반 및 전기 자동제어반 제조업 외 2 종,15인치 터치패널PC
(주)포인트닉스,"부산광역시 북구 효열로 7, 대영인더스빌 B-101호 (금곡동)",051-363-3201,부산광역시 북구 금곡동 1116-6번지,일반,855.31,397,32,소기업,2009-03-06,도시지역,공장용지,치과용 기기 제조업 외 1 종,치과용 임플란트
(주)휴맥,"부산광역시 북구 와석장터로 62, (주)휴맥지식산업센터 1,2층 (화명동)",051-714-4676,부산광역시 북구 만덕동 763-13 부산이노비즈센터 209호,일반,1832,1271293,13,소기업,2022-03-30,도시지역,대,반도체 제조용 기계 제조업 외 2 종,반도체장비 및 디스플레이장비제조
GNT부산의용촌,"부산광역시 북구 덕천로 89-7, 관련지번 241-18 (덕천동)",051-331-2191,"부산광역시 북구 화명동 705번지 (주)휴맥지식산업센터 1,2층",일반,1554,3083.36,282,소기업,2003-08-18,도시지역,대,"근무복, 작업복 및 유사의복 제조업 외 12 종","셔츠.체육복,근무복,작업복,장갑"
KTE라이팅,부산광역시 북구 만덕3로 28-1 (만덕동),051-336-5501,부산광역시 북구 덕천동 241-17 GNT 부산의용촌,일반,135,120.15,1,소기업,2010-06-16,도시지역,대,일반용 전기 조명장치 제조업,산업용조명기구
가가산업개발(주),"부산광역시 북구 금곡대로616번길 25, 3층(금곡동)",051-363-4604,부산광역시 북구 만덕동 908-2 번지,일반,117.35,37.35,5,소기업,2023-02-03,도시지역,대,구조용 금속 판제품 및 공작물 제조업 외 4 종,"바닥신호등, 방초캡, 도로표지병, 조명용제어장치, LED경관조명, 금속제울타리 휀스"
강스코스메티끄,"부산광역시 북구 효열로 111, 부산지식산업센터 511,512호 (금곡동)",051-363-9990,부산광역시 북구 금곡동 95-12 3층,일반,252.02,46.74,2,소기업,2017-01-20,도시지역,공장용지,화장품 제조업,화장품
개금식품,부산광역시 북구 사상로577번길 36 (구포동),000-000-0000,"부산광역시 북구 금곡동 812-8번지 부산지식산업센터 511,512호",일반,193.2,168.41,1,소기업,2000-07-13,도시지역,공장용지,육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종,쇠고기가공품(우포장육)
국제구호기구 피복섬유사업단,부산광역시 북구 만덕2로29번길 19 (만덕동) 2층,051-331-9003,부산광역시 북구 구포동 1188-5번지,창업,133.32,111.32,10,소기업,2020-09-17,도시지역,대,침구 및 관련제품 제조업 외 12 종,"조끼, 체육복, 근무복"
남영목재,부산광역시 북구 사상로 606 (구포동),051-332-5220,부산광역시 북구 만덕동 301-11 2층,일반,1784.1,439.4,9,소기업,1976-11-29,도시지역,공장용지,일반 제재업,"미송각재, 판재"
대성초음파,"부산광역시 북구 중리로 74, (대성초음파건물)1층.2층 (만덕동)",000-000-0000,부산광역시 북구 구포동 1122-1번지,일반,351.4,206.39,3,소기업,2024-03-25,도시지역,대,그 외 기타 특수목적용 기계 제조업,"초음파 세척기, 초음파 용착기"
더페이스,"부산광역시 북구 만덕3로16번길 1, 204호 더페이스(만덕동, 부산이노비즈센터)",02-1661-0593,부산광역시 북구 만덕동 63-44 (대성초음파건물)1층.2층,일반,178,70,1,소기업,2024-04-09,도시지역,대,금속 가구 제조업,"워치와인더, 모듈장식장, 전시용 폴더블 쇼케이스"
망고클라우드 주식회사,"부산광역시 북구 만덕3로16번길 1, 404호(만덕동, 부산이노비즈센터)",051-501-2248,부산광역시 북구 만덕동 763-13 부산이노비즈센터 204호 더페이스,창업,178,128.4,9,소기업,2022-07-22,도시지역,대,컴퓨터 제조업,데스크탑 컴퓨터
부국전자주식회사,"부산광역시 북구 효열로 111, 303호 부산지식산업센터 (금곡동)",051-361-5064,부산광역시 북구 만덕동 763-13 부산이노비즈센터 201호,일반,206.84,80,5,소기업,2019-04-18,도시지역,공장용지,일반용 전기 조명장치 제조업 외 1 종,전기장비
부산유체산업,부산광역시 북구 사상로 597 (구포동),070-4351-0110,부산광역시 북구 만덕동 763-13 부산이노비즈센터 404호,일반,259.24,164,5,소기업,2013-08-05,도시지역,대,"전자기 측정, 시험 및 분석기구 제조업 외 2 종",반도체검사장비 및 전기전자응용기기
사회복지법인 동진복지재단,"부산광역시 북구 의성로115번길 33 (덕천동) 태림빌딩 5층,지하1층",051-337-8008,부산광역시 북구 금곡동 812-8번지 303호 부산지식산업센터,일반,830.98,353.57,25,소기업,2008-07-31,도시지역,대,"근무복, 작업복 및 유사의복 제조업 외 11 종",기성복
세민ENC,"부산광역시 북구 팽나무로 50, 1층 (구포동)",051-513-3341,부산광역시 북구 구포동 1121-4번지,창업,165.08,135,4,소기업,2021-05-21,도시지역,대,"전기회로 개폐, 보호장치 제조업","폴리카본애자, 낙뢰계수기, 단자함 회로 조립, AL콘넥터"
수 바이오(주),"부산광역시 북구 만덕3로16번길 1, 106호 (만덕동, 부산이노비즈센터)",051-343-0906,"부산광역시 북구 덕천동 411-7 태림빌딩 5층,지하1층",일반,112,56,3,소기업,2017-03-08,도시지역,공장용지,건강보조용 액화식품 제조업 외 1 종,"경옥수, 경옥고, 공진단 등"
스튜디오빅,"부산광역시 북구 낙동대로1738번길 9, 지하1층 (구포동)",070-8868-7580,부산광역시 북구 구포동 1205-2 1층,창업,109.38,109.38,1,소기업,2024-07-05,도시지역,대,전시용 모형 제조업 외 11 종,"맞춤형 모형 및 교구, 사인물"
신성필타산업,부산광역시 북구 금곡대로324번길 38 (화명동),051-333-8044,부산광역시 북구 만덕동 763-13번지 부산이노비즈센터 106호,일반,229.8,229.8,4,소기업,1998-12-04,도시지역,공장용지,부직포 및 펠트 제조업 외 3 종,"여과포,필타류"
신테크,부산광역시 북구 산성로48번길 7 (화명동) 지하1층 B호,051-365-1253,부산광역시 북구 구포동 369 지하1층,일반,191.43,150,1,소기업,2021-03-05,도시지역,대,구조용 금속 판제품 및 공작물 제조업 외 1 종,계단용 미끄럼방지 논슬립
에스디(SD)정보통신,"부산광역시 북구 시랑로79번길 8, 202호(구포동, 금호빌라)",051-521-3900,부산광역시 북구 화명동 1425-6번지,일반,446,137.94,5,소기업,2024-07-19,도시지역,대,유선 통신장비 제조업 외 4 종,"CCTV, 구내방송, 전광판, 소프트웨어, 통합배선반"
엔젤식품,"부산광역시 북구 시랑로21번길 6 (구포동, 차고)",051-343-1004,부산광역시 북구 화명동 374 지하1층 B호,일반,309.52,229.49,6,소기업,1999-12-07,도시지역,대,도시락류 제조업 외 2 종,곡물조리식품
엠에스메카텍,"부산광역시 북구 효열로 111, 부산지식산업센터 305호 (금곡동)",051-312-1518,부산광역시 북구 구포동 1223-2 금호빌라 202호,일반,126.01,54,2,소기업,2020-02-27,도시지역,공장용지,그 외 기타 특수목적용 기계 제조업,액추에이터
오렌슈츠 주식회사,"부산광역시 북구 금곡대로 460, 3층(금곡동, OS타워)",051-582-2043,부산광역시 북구 구포동 690-9번지,일반,229.26,100.26,6,소기업,2021-09-17,도시지역,공장용지,그 외 기타 달리 분류되지 않은 제품 제조업 외 3 종,개인 맞춤형 귀마개
유덕산업,"부산광역시 북구 덕천로381번길 17-26, 유덕산업 (만덕동)",051-504-8459,부산광역시 북구 금곡동 812-8번지 부산지식산업센터 305호,창업,438.82,402.82,0,소기업,2024-05-17,도시지역,대,절삭가공 및 유사처리업,커튼박스
이스톰,부산광역시 북구 효열로 111 (금곡동) 6층609호,051-361-3667,부산광역시 북구 금곡동 1114-5 OS타워 3층,일반,124.64,72.7,2,소기업,2018-09-12,도시지역,공장용지,기기용 자동측정 및 제어장치 제조업,"전기,전자 제어장치모듈"
제이투정보통신,"부산광역시 북구 백양대로 1025, 상가동 지하1층 47호(구포동, 협진태양아파트)",051-907-1800,부산광역시 북구 만덕동 84 유덕산업,창업,49.32,33,7,소기업,2022-07-19,도시지역,대,방송장비 제조업 외 1 종,"보안용 카메라, 영상감시장치, 출입통제시스템"
주식회사 가주정보기술,부산광역시 북구 효열로 111 지상5층 503호,051-746-4056,부산광역시 북구 금곡동 812-8 6층609호,일반,206.84,134.75,6,소기업,2024-03-15,도시지역,대,컴퓨터 제조업,"서버, 컴퓨터, 소프트웨어"
주식회사 다인지엘테크,부산광역시 북구 용당로20번길 18 (화명동) 2층,051-362-6890,부산광역시 북구 구포동 1084-3 협진태양아파트 상가동 지하1층 47호,일반,0,92.26,2,소기업,2020-10-21,도시지역,대,"기타 측정, 시험, 항해, 제어 및 정밀기기 제조업 외 1 종","시험장비(컬럼세척기), 어댑터(용기)"
주식회사 두일하우,"부산광역시 북구 효열로 111, 부산지식산업센터 604호 (금곡동)",051-363-7656,부산광역시 북구 금곡동 812-8번지,일반,126,71.4,4,소기업,2018-01-25,도시지역,공장용지,생물 살균.살충제 및 식물보호제 제조업,"요오드화 은, 향균볼"
주식회사 디메디코리아,"부산광역시 북구 만덕3로16번길 1, 301호(만덕동, 부산이노비즈센터)",000-000-0000,부산광역시 북구 화명동 2024-1 2층,창업,139,56,3,소기업,2022-01-13,도시지역,대,그 외 기타 의료용 기기 제조업,이갈이 방지가드
주식회사 바로콤,"부산광역시 북구 구남언덕로 5, 2층(구포동, 청운빌딩)",051-331-7722,부산광역시 북구 금곡동 812-8번지 부산지식산업센터 604호,창업,138.24,47.97,2,소기업,2023-05-23,도시지역,대,포장용 플라스틱 성형용기 제조업 외 5 종,"분전함, 분전함 케이스, cctv제조, 비상벨, 조경용 플라스틱 제품, 교통안전삼각"
주식회사 씨티엔에스,"부산광역시 북구 효열로 111, (금곡동, 부산지식산업센터) 1동 지상1층 107호 외 3필지",055-294-9555,부산광역시 북구 구포동 1075-5 청운빌딩 2층,창업,994.8,495.72,53,소기업,2025-04-18,도시지역,대,축전지 제조업 외 1 종,이차전지 배터리
주식회사 아크인터내셔널,"부산광역시 북구 만덕3로16번길 1, 405호(만덕동, 부산이노비즈센터) 외 1필지",051-714-3195,부산광역시 북구 만덕동 763-13 부산이노비즈센터 402호,일반,356,178,6,소기업,2024-01-26,도시지역,대,축전지 제조업 외 1 종,"리튬배터리팩, 벤치"
주식회사 앤즈글로벌,"부산광역시 북구 만덕3로16번길 1, 104(만덕동, 부산이노비즈센터)",051-331-2523,부산광역시 북구 금곡동 95-12 2층,일반,224,56,17,소기업,2022-01-25,도시지역,공장용지,단미 사료 및 기타 사료 제조업,"여유견생 껍질째 고구마 - 황태, 여유견생 껍질째 고구마-피쉬콜라겐, 여유견생 껍질째 고구마-크림치즈, 여유견생 껍질째 고구마-한우 , 여유견생 강원도 황태3합, 여유견생 치즈황태가루 -크림치즈/체다치즈, 여유견생 황태스틱-황태 /크림치즈/체다치즈"
주식회사 에스와이이노테크,"부산광역시 북구 만덕3로16번길 1, 302호(만덕동, 부산이노비즈센터)",051-747-7610,부산광역시 북구 만덕동 763-13 부산이노비즈센터 405호,일반,224,30,12,소기업,2023-03-14,도시지역,대,기타 주변기기 제조업,비티케어 (BT-CARE)
주식회사 우드트랙,부산광역시 북구 금곡대로636번길 7 (금곡동),051-365-7471,부산광역시 북구 만덕동 763-13 부산이노비즈센터 104,일반,444.56,355.56,9,소기업,2014-11-04,도시지역,대,커튼 및 유사제품 제조업 외 1 종,커튼 및 유사제품제조업
주식회사 젠라이프,부산광역시 북구 효열로 111 1동 지상3층 313호,051-515-7775,부산광역시 북구 만덕동 763-13 부산이노비즈센터 302호,일반,0,85.617,6,소기업,2023-06-19,도시지역,대,그 외 기타 의료용 기기 제조업 외 1 종,"액상형 대사체 분석기기, 기상형 대사체 분석기기, M13박테리오파지 용액"
주식회사 케이오씨엔지니어링,부산광역시 북구 와석장터로 62 (화명동) 1동 지상3층 305호,051-975-3004,부산광역시 북구 금곡동 641-8,창업,172,65,4,소기업,2020-07-30,도시지역,공장용지,그 외 기타 특수목적용 기계 제조업,전용기(기계 및 전장판넬)
주식회사 퍼씨엠,부산광역시 북구 효열로 111 1동 지상5층 501호 외 1필지,070-7543-1442,부산광역시 북구 금곡동 812-8번지,일반,204.08,18,10,소기업,2024-03-15,도시지역,대,산업처리공정 제어장비 제조업 외 8 종,"AMT-P(Automation Mechatronics Trainer), AMT-H(Automation Mechatronics Trainer), AR-MP, SPICIAL Expirence"
주식회사 피알지테크,"부산광역시 북구 만덕2로17번길 1, 지하101호(만덕동, 다산타워)",070-7554-7967,부산광역시 북구 화명동 705-0,일반,112.23,78,2,소기업,2024-01-15,도시지역,대,공기 조화장치 제조업 외 1 종,차량매연 집진 정화기기
지니에듀테크(주),부산광역시 북구 만덕3로 34-1 (만덕동),051-331-0110,부산광역시 북구 금곡동 812-8번지 외 1필지,일반,77.8,57.8,1,소기업,2018-10-30,도시지역,대,디지털 적층 성형기계 제조업,3D프린터
태산어패럴,"부산광역시 북구 만덕2로29번길 19, 1층 (만덕동)",000-000-0000,부산광역시 북구 만덕동 302 다산타워 지하101호,일반,133.32,121.3,20,소기업,2017-07-17,도시지역,대,남자용 겉옷 제조업 외 6 종,군복
한신ENG,"부산광역시 북구 만덕3로16번길 1, ２０８호(만덕동, 부산이노비즈센터)",000-000-0000,부산광역시 북구 만덕동 908-8번지,창업,86,47.75,5,소기업,2023-08-03,도시지역,공장용지,산업용 냉장 및 냉동 장비 제조업,장례식장 안치냉장고
한일DUCT산업,"부산광역시 북구 사상로 610-1 (구포동, 한일닥트산업)",051-343-3500,부산광역시 북구 만덕동 301-11번지 1층,일반,326.8,325.04,3,소기업,2005-07-14,도시지역,대,산업용 송풍기 및 배기장치 제조업,닥트
효성전장,"부산광역시 북구 금곡대로616번길 9, 지하 (금곡동)",051-343-0570,부산광역시 북구 만덕동 763-13 부산이노비즈센터 ２０８호,일반,255,100,5,소기업,2019-03-21,도시지역,대,그 외 자동차용 신품 부품 제조업,자동차 부품
한일DUCT산업,"부산광역시 북구 사상로 610-1 (구포동, 한일닥트산업)",000-000-0000,부산광역시 북구 구포동 1118-8번지,일반,326.8,325.04,3,소기업,2005-07-14,도시지역,대,산업용 송풍기 및 배기장치 제조업,
효성전장,"부산광역시 북구 금곡대로616번길 9, 지하 (금곡동)",000-000-0000,부산광역시 북구 금곡동 95-11번지 지하,일반,255,100,5,소기업,2019-03-21,도시지역,대,그 외 자동차용 신품 부품 제조업,
