순번,회사명,공장주소,전화번호,대표업종번호,업종명,종업원수,생산품
1346,(주)케이에이엠,부산광역시 강서구 녹산산단382로50번길 30 (송정동),051-832-0384,31322,항공기용 부품 제조업 외 1 종,43,"항공기용 치공구,금형"
1347,(주)케이에이엠,부산광역시 강서구 녹산산단382로50번길 28 (송정동),051-832-0384,31322,항공기용 부품 제조업,62,항공기부품
1348,(주)케이에이엠,부산광역시 강서구 가리새1로25번길 45 (생곡동),051-832-0384,31322,항공기용 부품 제조업,6,항공기 부품
3087,삼홍기계,부산광역시 강서구 과학산단1로 145 (지사동),051-714-2611,31322,항공기용 부품 제조업,7,항공기 부품
4005,윤항공,부산광역시 강서구 대저중앙로357번길 60-2 (대저1동),,31322,항공기용 부품 제조업,1,항공기부품
4006,윤항공,부산광역시 강서구 강동중곡3길 38-3(강동동),051-972-0998,31322,항공기용 부품 제조업,2,항공기용 부품
4126,정원테크,부산광역시 강서구 평강로171번길 30-21 (대저1동),,31322,항공기용 부품 제조업,2,항공기부품
5080,포스텍,부산광역시 강서구 맥도길415번길 70 (대저2동),055-314-8344,31322,항공기용 부품 제조업,4,항공기용 연결부품 및 SEAL
5109,하스테크(주),부산광역시 강서구 녹산산단46로 85 (송정동),051-974-6558,31322,항공기용 부품 제조업,27,항공기부품
5118,하이즈항공(주),부산광역시 강서구 미음동 0-0번지 국제산업물류도시(1단계) i26B 8L,055-850-8800,31322,항공기용 부품 제조업,130,항공기 부품 가공 및 구성품 조립 등
5119,하이즈항공(주),부산광역시 강서구 가리새2로 44 (범방동),055-850-8800,31322,항공기용 부품 제조업,130,항공기용 부품
5179,한국항공금형,부산광역시 강서구 미음동 0 번지 I29 5놋트,,31322,항공기용 부품 제조업,0,항공기 부품
5267,항공산업,부산광역시 강서구 식만로93번길 17 (죽림동),051-941-3007,31322,항공기용 부품 제조업,7,항공기부품
5268,항공산업,부산광역시 강서구 식만로93번길 17-1 (죽림동),051-941-3007,31322,항공기용 부품 제조업,7,항공기부품
5342,현항공산업(주),부산광역시 강서구 녹산산단46로 91 (송정동) (총 3 필지) 외 2필지,051-832-0270,31322,항공기용 부품 제조업,98,항공기 기체부품
5343,현항공산업(주),부산광역시 강서구 녹산산단46로 97 (송정동),051-974-6500,31322,항공기용 부품 제조업,15,항공기 부품류
5344,현항공산업(주),부산광역시 강서구 녹산산단27로 138 (송정동),051-974-6512,31322,항공기용 부품 제조업,15,항공기 부품
3531,씨제이대한통운(주),부산광역시 강서구 미음국제4로 28(미음동),055-911-1363,52941,항공 및 육상 화물 취급업,5,육상화물취급업
1045,(주)우리해양기술,부산광역시 강서구 녹산산업북로 249 (송정동),051-973-1280,31112,합성수지선 건조업 외 5 종,21,선박용 엔진(내연기관)
1935,광동FRP산업,부산광역시 강서구 녹산산단382로60번길 42 (송정동) (총 2 필지) 외 1필지,051-831-2266,31112,합성수지선 건조업 외 5 종,9,합성수지선 등
248,(주)대원마린텍,부산광역시 강서구 녹산산단382로60번길 42 (송정동) (총 2 필지),051-831-7540,31112,합성수지선 건조업 외 11 종,28,"FRP선박,건조및수리외, 합성수지제품, 합성수지선, 알루미늄선, 방산기자재"
2637,디텍(주),부산광역시 강서구 미음산단로 327 (미음동),051-831-6880,31112,합성수지선 건조업 외 1 종,5,기타항해용선박
4222,주식회사 나루,부산광역시 강서구 녹산산단77로 58 (송정동),051-972-0614,31112,합성수지선 건조업 외 1 종,1,보트건조
3357,수진산업,부산광역시 강서구 범방2로 62 (범방동),051-915-5345,31112,합성수지선 건조업,3,소형선박
4852,카본테크,부산광역시 강서구 녹산산단382로50번길 24 (송정동),051-702-3942,31112,합성수지선 건조업,4,카본 성형제품류
224,(주)대성테크,부산광역시 강서구 녹산산단165로14번길 25 (송정동),051-831-4440,20302,합성수지 및 기타 플라스틱물질 제조업 외 2 종,8,"실리콘,고무성형품"
2035,금영화학(주),부산광역시 강서구 녹산산단262로13번길 23 (송정동),051-831-2340,20202,합성수지 및 기타 플라스틱 물질 제조업 외 4 종,16,"폴리 에스테르 수지,1,2 Hexanediol"
1963,국도화학(주),부산광역시 강서구 녹산산단165로 64-5 (송정동) (총 2 필지),051-832-2267,20202,합성수지 및 기타 플라스틱 물질 제조업 외 3 종,33,"에폭시 수지,폴리우레탄수지"
1201,(주)정원화학,부산광역시 강서구 녹산산업중로168번길 27 (송정동),051-832-1009,20202,합성수지 및 기타 플라스틱 물질 제조업 외 2 종,34,아크릴중합체
2194,대덕산업,부산광역시 강서구 녹산산단262로 11 (송정동),051-831-0645,20202,합성수지 및 기타 플라스틱 물질 제조업 외 1 종,5,실리콘 고무 제품 등
2461,동승정밀화학,부산광역시 강서구 과학산단로333번길 77-44 (지사동),051-941-8280,20202,합성수지 및 기타 플라스틱 물질 제조업 외 1 종,10,"방염제, 코팅제"
4654,주식회사디아이산업,부산광역시 강서구 신덕길18번길 15-26(대저1동),051-710-1080,20202,합성수지 및 기타 플라스틱 물질 제조업 외 1 종,3,"미끄럼방지포장재, 도막형바닥재"
4675,준세산업,부산광역시 강서구 녹산산단290로 27-21 (송정동),051-831-2445,20202,합성수지 및 기타 플라스틱 물질 제조업 외 1 종,3,"합성수지(섬유코팅제), 접착제"
4828,청우산업,부산광역시 강서구 녹산산단382로50번길 21 (송정동),051-265-0382,20202,합성수지 및 기타 플라스틱 물질 제조업 외 1 종,5,비닐류
225,(주)대성테크,부산광역시 강서구 녹산산단165로14번길 25 (송정동),051-831-4440,20202,합성수지 및 기타 플라스틱 물질 제조업,5,페놀수지
877,(주)아트플러스 ,부산광역시 강서구 녹산산업중로168번길 13 (송정동),051-552-8025,20202,합성수지 및 기타 플라스틱 물질 제조업,6,미끄럼방지 포장재
1714,(주)흥일폴리켐,부산광역시 강서구 녹산산단262로13번길 12 (송정동),051-831-8871,20202,합성수지 및 기타 플라스틱 물질 제조업,40,P.U RESIN
1964,국도화학(주),부산광역시 강서구 녹산산단290로 42 (송정동) 외 3필지,051-832-2267,20202,합성수지 및 기타 플라스틱 물질 제조업,42,합성수지등
2063,기동산업,부산광역시 강서구 녹산산단261로73번길 25 (송정동),051-973-8420,20202,합성수지 및 기타 플라스틱 물질 제조업,4,식품용 PE비닐
2064,기동산업,부산광역시 강서구 공항로393번길 60-12 (대저2동),051-973-8420,20202,합성수지 및 기타 플라스틱 물질 제조업,3,비닐백
2445,동방화학공업사,부산광역시 강서구 녹산산단290로 27-21 (송정동),,20202,합성수지 및 기타 플라스틱 물질 제조업,3,합성수지
2572,동화정밀화학,"부산광역시 강서구 미음산단5로41번길 71, 303호(미음동)",051-262-8280,20202,합성수지 및 기타 플라스틱 물질 제조업,3,"방염제, 실리콘 점 접착제"
3101,상미사,부산광역시 강서구 가락대로1397번길 99-12 (봉림동),051-264-6254,20202,합성수지 및 기타 플라스틱 물질 제조업,7,"특수화밑창, 자동차부품 등"
3214,성원에스티,부산광역시 강서구 가달2로55번길 38 (생곡동),051-831-3556,20202,합성수지 및 기타 플라스틱 물질 제조업,3,비닐필름
3253,성호포리켐(주),부산광역시 강서구 녹산산단165로14번길 11-17 (송정동),051-831-1141,20202,합성수지 및 기타 플라스틱 물질 제조업,16,메라민수지
3750,영신소재,부산광역시 강서구 녹산산단231로 6 (송정동),051-831-6291,20202,합성수지 및 기타 플라스틱 물질 제조업,3,플라스틱
4136,제이 프라택,부산광역시 강서구 녹산산단262로13번길 47 (송정동),051-831-4425,20202,합성수지 및 기타 플라스틱 물질 제조업,6,합성 PE
4425,주식회사 아트로드,부산광역시 강서구 녹산산업중로168번길 11 (송정동) (총 2 필지) 외 1필지,,20202,합성수지 및 기타 플라스틱 물질 제조업,5,미끄럼 방지 포장재
4481,주식회사 와이오엠,부산광역시 강서구 호계로145번길 36 (죽동동),051-972-7175,20202,합성수지 및 기타 플라스틱 물질 제조업,5,공업용필름
4652,주식회사 흥일폴리켐,부산광역시 강서구 녹산산단290로 8 (송정동),051-831-8871,20202,합성수지 및 기타 플라스틱 물질 제조업,4,합성수지
5048,티엔케미칼,부산광역시 강서구 과학산단1로103번길 38 (지사동),,20202,합성수지 및 기타 플라스틱 물질 제조업,3,플라스틱 컴파운드
5063,파인머트리얼즈 주식회사,"부산광역시 강서구 녹산산단261로14번길 45-13,(송정동1610-5) (송정동)",051-891-2984,20202,합성수지 및 기타 플라스틱 물질 제조업,6,열전도 갭패드 배합원료
5187,한길토건(주),부산광역시 강서구 금호순서길282번나길 5 (대저2동),051-802-0536,20202,합성수지 및 기타 플라스틱 물질 제조업,3,지오셀
5269,항도 M/T,부산광역시 강서구 대저로171번가길 57-1 (대저1동),051-303-2437,20202,합성수지 및 기타 플라스틱 물질 제조업,2,매직테프
4263,주식회사 동아텍스,부산광역시 강서구 녹산산단261로 15 (송정동),,20501,합성섬유 제조업 외 1 종,5,직물원단
1947,광성화섬,부산광역시 강서구 녹산산업중로168번길 17 (송정동),051-831-2700,20501,합성섬유 제조업,16,폴리에스테르 스테이플 화이버
2936,부원화성(주) 지점,부산광역시 강서구 미음국제5로라길 11 (미음동),051-831-6723,20501,합성섬유 제조업,4,자동차 시트원단
2937,부원화성주식회사,부산광역시 강서구 녹산산단382로 17 (송정동),051-831-6723,20501,합성섬유 제조업,4,섬유가공(자동차 시트)
3278,세영글로벌주식회사,부산광역시 강서구 녹산산업대로 95-15 (송정동),051-710-1925,20501,합성섬유 제조업,24,폴리에스테르 단섬유
399,(주)디엠텍,부산광역시 강서구 미음산단로403번길 8 (미음동),055-327-9000,24113,합금철 제조업 외 1 종,19,합금철
5378,화성금속공업(주),부산광역시 강서구 미음산단3로 159 (미음동),051-714-3846,24113,합금철 제조업,10,몰리브데늄합금철
1719,-,부산광역시 강서구 지사동 1215-4번지,,56111,한식 일반 음식점업 외 5 종,2,임대업
1660,(주)현대식모,부산광역시 강서구 녹산산단382로14번가길 13 (송정동) (총 2 필지) 외 1필지,051-831-4057,22214,플라스틱 합성피혁 제조업,40,합성피혁
3805,오성산업,부산광역시 강서구 녹산산단262로 11 (송정동),051-831-0786,22214,플라스틱 합성피혁 제조업,3,PVC 코팅시트
4179,조은산업,부산광역시 강서구 녹산산단262로49번길 46 (송정동) 외 1필지,051-302-8586,22214,플라스틱 합성피혁 제조업,1,합성피혁
5380,화성아이피에스(주),부산광역시 강서구 녹산산단261로13번길 33 (송정동),051-923-9506,22214,플라스틱 합성피혁 제조업,3,특수합포
2065,기동산업사,부산광역시 강서구 상덕로97번길 31-1 (강동동),,22212,플라스틱 필름 제조업 외 1 종,4,자동차시트카바
3193,성림화학산업,부산광역시 강서구 맥도강변길835번길 42 (대저2동),051-242-3939,22212,플라스틱 필름 제조업 외 1 종,5,폴리에치렌필름
3571,애니백,부산광역시 강서구 대저중앙로 204 (대저1동),051-941-2720,22212,플라스틱 필름 제조업 외 1 종,1,전자제품용 진공포장지
4155,제이피코리아,부산광역시 강서구 녹산산업중로 120 (송정동),051-831-9940,22212,플라스틱 필름 제조업 외 1 종,9,가격표시기
5085,풍산산업,부산광역시 강서구 낙동북로108번길 51 (강동동),051-972-7960,22212,플라스틱 필름 제조업 외 1 종,3,식생시트
2631,디케이(DK)폴리테크,부산광역시 강서구 식만로 13-41 (죽림동),051-972-5968,22212,플라스틱 필름 제조업,3,"비닐(공업용,산업용,식품용)"
2690,만덕비닐산업,부산광역시 강서구 식만로 13-39 (죽림동),051-972-5968,22212,플라스틱 필름 제조업,5,비닐(산업용)
4228,주식회사 뉴펠,부산광역시 강서구 녹산산단165로 36-19 (송정동),051-714-6825,22212,플라스틱 필름 제조업,4,비닐봉투
2978,사단법인 한국장애인자립협회,부산광역시 강서구 체육공원로52번길 79 (대저1동),051-959-4511,22231,"플라스틱 포대, 봉투 및 유사제품 제조업 외 6 종",21,"합성수지 (HDPE, LDPE 비닐봉투))"
871,(주)아이에스테크,부산광역시 강서구 녹산산단262로 21 (송정동),051-831-0911,22231,"플라스틱 포대, 봉투 및 유사제품 제조업 외 2 종",23,PE  FILM
5177,한국포재 주식회사,부산광역시 강서구 제도로1092번나길 128-33 (강동동),051-973-1492,22231,"플라스틱 포대, 봉투 및 유사제품 제조업 외 2 종",10,"특수표면처리종이,플라스틱포대"
166,(주)다원테크,부산광역시 강서구 녹산산단382로50번길 29 (송정동),051-831-8733,22231,"플라스틱 포대, 봉투 및 유사제품 제조업",18,비닐포장지
1810,가성포장,부산광역시 강서구 평강로171번길 42-1 (대저1동),,22231,"플라스틱 포대, 봉투 및 유사제품 제조업",3,비닐가공
2380,대흥실업,부산광역시 강서구 대저중앙로348번길 32-1 (대저1동),,22231,"플라스틱 포대, 봉투 및 유사제품 제조업",4,비닐
2501,동양산업,부산광역시 강서구 공항앞길85번길 55-2 (대저2동),051-973-2725,22231,"플라스틱 포대, 봉투 및 유사제품 제조업",2,비닐봉투
2914,부산포리빽,부산광역시 강서구 대저중앙로348번길 24-24 (대저1동),,22231,"플라스틱 포대, 봉투 및 유사제품 제조업",1,"PE,PP,OPP 포장지"
3299,세종그린팩,부산광역시 강서구 낙동북로102번길 57-1 (강동동),051-941-0456,22231,"플라스틱 포대, 봉투 및 유사제품 제조업",3,쇼핑 백
3300,세종그린팩,부산광역시 강서구 낙동북로126번길 16-39(강동동),,22231,"플라스틱 포대, 봉투 및 유사제품 제조업",7,비닐봉투
3301,세종그린팩,부산광역시 강서구 낙동북로126번길 16-37 (강동동),,22231,"플라스틱 포대, 봉투 및 유사제품 제조업",5,플라스틱 봉투
3572,애니팩,부산광역시 강서구 대저중앙로 202(대저1동),051-941-2720,22231,"플라스틱 포대, 봉투 및 유사제품 제조업",0,식품포장지 가공
3743,영모화학,부산광역시 강서구 대저중앙로 360-5 (대저1동),051-971-3594,22231,"플라스틱 포대, 봉투 및 유사제품 제조업",3,비닐봉지 봉투
3779,영진포장,부산광역시 강서구 대저중앙로347번길 64-1 (대저1동),,22231,"플라스틱 포대, 봉투 및 유사제품 제조업",2,봉투제조(비닐제)
3974,유일비닐포장,부산광역시 강서구 대저로3번길 72-3(대저1동),,22231,"플라스틱 포대, 봉투 및 유사제품 제조업",3,비닐포장지
5070,팩코리아,부산광역시 강서구 대저로155번가길 33 (대저1동),051-973-2522,22231,"플라스틱 포대, 봉투 및 유사제품 제조업",3,비닐 포장지
5355,협창package,부산광역시 강서구 가락대로1397번길 137 (봉림동),051-973-2955,22231,"플라스틱 포대, 봉투 및 유사제품 제조업",4,"비닐봉투, 포장지"
564,(주)살렘,부산광역시 강서구 미음국제5로다길 37 (미음동),,22223,플라스틱 창호 제조업 외 1 종,4,창호
2210,대륜기업,부산광역시 강서구 식만로 266 (식만동),051-907-0026,22223,플라스틱 창호 제조업 외 1 종,3,"알미늄 창호 및, 플라스틱 창호 제작"
2711,명성건업,부산광역시 강서구 공항로1347번길 98-1 (대저1동),051-341-1356,22223,플라스틱 창호 제조업,1,PVC창호
3233,성진건업,부산광역시 강서구 낙동북로126번길 27 (강동동),070-8887-4123,22223,플라스틱 창호 제조업,3,샤시
3455,신우창호,부산광역시 강서구 낙동남로605번길 24-21 (녹산동),051-205-1948,22223,플라스틱 창호 제조업,3,"하이샤시 창호, 유리"
3818,와이바이오,부산광역시 강서구 낙동북로138번길 21-2(강동동),,22223,플라스틱 창호 제조업,7,"출입문 손끼임방지 일체형 안전도어, 출입문 부착형 손끼임방지대"
4258,주식회사 도원건설창호,부산광역시 강서구 대저중앙로357번길 26-15 (대저1동),051-317-5525,22223,플라스틱 창호 제조업,2,샤시(창호)
4338,주식회사 부원기업,부산광역시 강서구 대저중앙로357번길 60-5 (대저1동),051-303-1165,22223,플라스틱 창호 제조업,4,플라스틱창호 완제품
4416,주식회사 아르피나디엔씨,부산광역시 강서구 제도로1041번길 513 (강동동),051-552-1615,22223,플라스틱 창호 제조업,3,건축용 플라스틱 창호
4417,주식회사 아르피나디엔씨,부산광역시 강서구 제도로1041번길 511 (강동동),051-552-1616,22223,플라스틱 창호 제조업,3,건축용 플라스틱창호
4946,태광창호 주식회사,부산광역시 강서구 평강로211번길 11 (대저1동),051-301-7801,22223,플라스틱 창호 제조업,15,창호
110,(주)글로발브릿지,부산광역시 강서구 범방3로30번길 22 (범방동),070-4020-9266,22292,"플라스틱 적층, 도포 및 기타 표면처리 제품 제조업 외 1 종",7,"태양광 발전, 태양광 발전"
1257,(주)지비라이트,부산광역시 강서구 범방3로30번길 22 (범방동),051-831-2777,22292,"플라스틱 적층, 도포 및 기타 표면처리 제품 제조업 외 1 종",103,재귀반사필름
1260,(주)지비테크,부산광역시 강서구 범방3로30번길 22 (범방동),051-832-0461,22292,"플라스틱 적층, 도포 및 기타 표면처리 제품 제조업",10,재귀반사제품
3592,에스에이치신소재 주식회사,"부산광역시 강서구 낙동북로102번가길 21, 에스에이치신소재(주) (강동동)",051-928-0714,22213,플라스틱 시트 및 판 제조업,2,단열재
5199,한미케이블(주),부산광역시 강서구 녹산산단382로14번가길 9 (송정동),051-831-7151,22211,"플라스틱 선, 봉, 관 및 호스 제조업 외 5 종",58,"플라스틱튜브등, 우산,양산 부붐품, 자동차부품, 열수축튜브"
4661,주식회사우성솔루텍,부산광역시 강서구 미음국제5로마길 6(미음동),,22211,"플라스틱 선, 봉, 관 및 호스 제조업 외 2 종",1,친환경 부표 등
1545,(주)하나 에스. 디,부산광역시 강서구 녹산산단382로14번길 6 (송정동),051-303-7466,22211,"플라스틱 선, 봉, 관 및 호스 제조업 외 1 종",31,"배수설비기기, 내화 충전재"
5123,한결 주식회사,부산광역시 강서구 낙동북로76번길 21-5 (강동동),051-255-2023,22211,"플라스틱 선, 봉, 관 및 호스 제조업 외 1 종",3,"건축용 플라스틱, 난간대,  "
513,(주)부산로드,부산광역시 강서구 대저중앙로71번가길 40-22 (대저1동),051-941-3700,22211,"플라스틱 선, 봉, 관 및 호스 제조업",2,무단횡단 금지대(차선분리대)
576,(주)삼미피앤씨,부산광역시 강서구 제도로1041번길 537 (강동동),051-302-8995,22211,"플라스틱 선, 봉, 관 및 호스 제조업",3,환봉지지결합형연결구 등
1047,(주)우림산업,부산광역시 강서구 녹산산업북로 188 (송정동),051-973-6903,22211,"플라스틱 선, 봉, 관 및 호스 제조업",4,"오수받이,환봉지지대"
2721,명성태크,"부산광역시 강서구 울만로25번길 104, A동 (대저2동)",,22211,"플라스틱 선, 봉, 관 및 호스 제조업",8,"폴리저압인류애자, 분기슬리브(한전용)"
1027,(주)와이아이영인,부산광역시 강서구 생곡산단1로 61(생곡동),051-972-8812,23323,플라스터 혼합제품 제조업,12,플라스터 제품
4185,조일산업(주),부산광역시 강서구 녹산산단290로 20 (송정동) 외 2필지,051-831-6030,13994,표면처리 및 적층 직물 제조업 외 6 종,67,"배합고무, 라텍스, 자동차시트"
1699,(주)화성인터내셔날,부산광역시 강서구 녹산산단261로13번길 33 (송정동),051-204-3077,13994,표면처리 및 적층 직물 제조업 외 1 종,10,신발갑피 외
154,(주)뉴텍글로벌,부산광역시 강서구 녹산산단261로13번길 49 (송정동),051-831-3171,13994,표면처리 및 적층 직물 제조업,17,합포원단
424,(주)리더나인,"부산광역시 강서구 녹산산단382로14번길 55 (송정동, 부산광역시 신발산업진흥센타)",051-832-0708,13994,표면처리 및 적층 직물 제조업,5,"가방,신발용 가죽"
1101,(주)유니크라미,부산광역시 강서구 새진목길11번길 30 (명지동),051-271-6270,13994,표면처리 및 적층 직물 제조업,6,산업용원자재
4462,주식회사 엔글로벌,"부산광역시 강서구 과학산단1로60번길 31, 2B동 106층 2B동 106층",070-7006-7979,20424,표면광택제 및 실내가향제 제조업 외 2 종,8,"생산품 방향제, 디퓨저, 탈취제, 생산품 방향제, 디퓨저, 탈취제, 생산품 방향제, 디퓨저, 탈취제"
4274,주식회사 동호에스디,부산광역시 강서구 낙동북로125번길 98-1 (강동동),051-555-5091,20424,표면광택제 및 실내가향제 제조업,3,"클린나노(향균, 탈취제)"
3580,에스디상사(주),부산광역시 강서구 정주산단로 75 (지사동),051-831-9100,16102,표면 가공 목재 및 특정 목적용 제재목 제조업 외 9 종,50,목재가공
2946,브이지(주),부산광역시 강서구 식만로 41-12 (죽림동),051-717-2689,16102,표면 가공 목재 및 특정 목적용 제재목 제조업 외 4 종,7,목재가공
3917,원더그린 주식회사,부산광역시 강서구 정주산단로 49 (지사동),051-714-4034,16102,표면 가공 목재 및 특정 목적용 제재목 제조업 외 10 종,11,"목재가공, 목재가공, 목재가공, 목재가공, 목재가공, 목재가공, 목재가공, 목재가공, 목재가공, 목재가공, 전기"
1803,가락우드,부산광역시 강서구 식만로 13-28 (죽림동),,16102,표면 가공 목재 및 특정 목적용 제재목 제조업 외 1 종,6,목재깔판류 등
1834,강서우드,부산광역시 강서구 식만로 13-24 (죽림동),,16102,표면 가공 목재 및 특정 목적용 제재목 제조업 외 1 종,6,목재깔판류 등
3579,에스디상사(주),부산광역시 강서구 녹산산단381로12번길 76 (송정동),051-831-9100,16102,표면 가공 목재 및 특정 목적용 제재목 제조업 외 1 종,20,"집성목, 제재목"
3841,우드스타(주),부산광역시 강서구 녹산산단261로73번길 37 (송정동),051-832-1119,16102,표면 가공 목재 및 특정 목적용 제재목 제조업,5,목재덱
4040,이호켐앤텍(주),부산광역시 강서구 대저2동 1243번지 외 1필지 외 1필지,051-973-2820,16102,표면 가공 목재 및 특정 목적용 제재목 제조업,7,배(잠수정) 조타석등 가공목
4522,주식회사 인어스,부산광역시 강서구 신노전로 398-11 (대저2동),051-513-0229,16102,표면 가공 목재 및 특정 목적용 제재목 제조업,3,선박용 나무 천정 및 벽판 목갑판 목재가공
249,(주)대진산업,"부산광역시 강서구 과학산단1로60번길 31, 2층 202-2 (지사동)",051-728-7278,22251,폴리스티렌 발포 성형제품 제조업 외 2 종,2,우레탄완충기
