순번,회사명,대표자명,팩스번호,공장대표주소(도로명),생산품,업종명
57,보명수산,장현웅,051-266-6022,"부산광역시 서구 원양로 1, B동 5층 507 (암남동) B동 5층 507호",수산물가공,"수산동물 훈제, 조리 및 유사 조제식품 제조업 외 1 종"
58,보성냉장(주),김재현,051-253-3073,부산광역시 서구 원양로 139 (암남동),진미 오징어 가공,수산동물 냉동품 제조업
59,부산감천항수산물시장(주),박인걸,051-220-8057,"부산광역시 서구 원양로 35, 부산국제수산물도매시장 냉장/냉동보관시설 3층 (암남동)",어업용 얼음,얼음 제조업
60,부산공동어시장 조합공동사업법인,정연송,051-254-3222,부산광역시 서구 충무대로 184 (남부민동),"인조빙(어업용), 냉동냉장",수산동물 냉동품 제조업 외 1 종
61,부산서구지역자활센터(마스크),송상철,051-247-1970,"부산광역시 서구 암남공원로 42, 1층(암남동)",마스크(KF94),기타 직물제품 제조업
62,사조씨푸드(주),김치곤,051-253-9029,부산광역시 서구 원양로 71 (암남동),횟감용참치,기타 수산동물 가공 및 저장 처리업
63,삼공세이프(주),한효숙,051-245-5709,"부산광역시 서구 까치고개로239번길 7-2, (2층) (토성동2가)","방열복, 우의",그 외 기타 봉제의복 제조업
64,삼양씨푸드(주),이권주,,"부산광역시 서구 원양로 1, (암남동, 수산가공선진화단지) B동 4층 408호, 306호",명란젓갈,수산동물 건조 및 염장품 제조업 외 1 종
65,삼진식품(주),박용준,051-415-5468,"부산광역시 서구 원양로 1, A동 405호(암남동, 수산가공선진화단지)",어묵류,기타 수산동물 가공 및 저장 처리업
66,성진수산(주)암남동공장,이성규,051-231-7909,부산광역시 서구 원양로 87 (암남동),수산가공식품(게맛살),"수산동물 훈제, 조리 및 유사 조제식품 제조업 외 1 종"
67,성화조명,정관수,051-245-7843,"부산광역시 서구 보수대로 210, 4층 (동대신동3가)",조명 기구,전구 및 램프 제조업
68,세동상사,박희석,,부산광역시 서구 충무대로 174 (남부민동),냉동수산물,수산동물 냉동품 제조업
69,송가수산 주식회사,송관석,051-243-3695,"부산광역시 서구 원양로 1, B동 4층 401 (암남동, 수산가공선진화단지) B동 4층 401호",명란젓갈,수산동물 건조 및 염장품 제조업
70,수협중앙회 감천항물류센타,정일중,051-253-3483,부산광역시 서구 원양로 119 (암남동),"수산물 가공, 수산물 냉동식품",기타 수산동물 가공 및 저장 처리업
71,신아냉동(주),정희동,051-243-5875,부산광역시 서구 등대로 117 (남부민동),어업용 얼음,얼음 제조업
72,신태양전력,윤경민,051-257-2049,"부산광역시 서구 보수대로 41-9 (토성동1가, 토성동1가 10-2 제2종근린생활시설 (윤경민)",전기 배전반,배전반 및 전기 자동제어반 제조업
73,어업회사법인 해농수산(주),최광운,051-257-8162,"부산광역시 서구 원양로 1, B동 2층 207 (암남동, 수산가공선진화단지)","삼치살,고등어살,오징어채,명태필레",기타 수산동물 가공 및 저장 처리업
74,영동공업사,배근수,,부산광역시 서구 천마로 96 (남부민동),공드럼뚜껑및 플라스틱제패킹,운송장비 조립용 플라스틱제품 제조업 외 1 종
75,영문사,오창호,051-247-0575,부산광역시 서구 대영로86번길 55-8 (동대신동1가),"일반인쇄물, 책자, 전단",기타 인쇄업 외 1 종
76,영진상사,이일삼,051-246-0213,부산광역시 서구 해돋이로 281 (아미동2가),의류,"근무복, 작업복 및 유사의복 제조업 외 6 종"
77,오션엔지니어링,배종헌,,"부산광역시 서구 충무대로34번길 37-7 (암남동, 월드오피스텔)",선박구성부품제조,선박 구성 부분품 제조업
78,옥이푸드,손상옥,,"부산광역시 서구 원양로 1, A동 4층 401 (암남동, 수산가공선진화단지)","고등어필렛, 오징어활복 등",기타 수산동물 가공 및 저장 처리업
79,왕성유통,김근주,051-242-0310,"부산광역시 서구 원양로 1, B동 5층 504 (암남동, 수산가공선진화단지) B동 5층 504호",간고등어,기타 수산동물 가공 및 저장 처리업
80,우양냉장(주),조효식,051-248-7625,부산광역시 서구 충무대로 226 (남부민동),제조 및 창고업,육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종
81,위너스마린(주),신경순,051-250-9903,부산광역시 서구 보수대로 187 (동대신동2가),운반및포장용 목재상자,"목재 포장용 상자, 드럼 및 유사용기 제조업"
82,이음,박장원,,"부산광역시 서구 충무대로 56, 201호(암남동, 송도탑스빌)","조형물, 간판",전시용 모형 제조업 외 2 종
83,일광인쇄사,송성조,051-241-1011,부산광역시 서구 아미동2가 20번지,"인쇄물,책자",기타 인쇄관련 산업
84,일광전기,배종성,051-246-6249,"부산광역시 서구 구덕로280번길 5 (동대신동1가, 두손 빌라)","형광등, 스위치, 벨",운송장비용 조명장치 제조업 외 1 종
85,임자 컴퍼니,김은영,0504-263-7414,"부산광역시 서구 구덕로226번길 3, 202호 (부민동1가)",구명조끼,기타 직물제품 제조업
86,주식회사 광명코팅,문미란,051-254-3837,부산광역시 서구 암남동 660-1번지 외 1필지,장갑,그 외 기타 의복액세서리 제조업
87,주식회사 더붐컴퍼니,홍용찬,051-253-9994,"부산광역시 서구 천마로187번길 19, 1층 (남부민동)","인티렉티브화이트보드외, -, -, -, -, --, --",컴퓨터 모니터 제조업 외 6 종
88,주식회사 더이룸,이효주,051-231-3986,"부산광역시 서구 원양로 1, B동 603, 604호(암남동, 수산가공선진화단지)","냉동 손질 오징어, 금게 간장게장, 꽃게양념순살장",수산동물 냉동품 제조업 외 1 종
89,주식회사 동양,정진학,051-253-3308,부산광역시 서구 원양로 291-1 (암남동) 외 1필지,"슬래그 시멘트, 슬래그 파우더",시멘트 제조업 외 1 종
90,주식회사 등푸른식품,이재철,051-262-6403,"부산광역시 서구 원양로 1, A동 402호(암남동, 수산가공선진화단지) 외 1필지","고등어, 갈치,새우",기타 수산동물 가공 및 저장 처리업
91,주식회사 마린에프앤비,박혜진,051-265-7039,"부산광역시 서구 원양로 1, B동 307호(암남동, 수산가공선진화단지)","명태, 갈치, 고등어",수산동물 냉동품 제조업 외 1 종
92,주식회사 백화,김양언,051-244-8855,"부산광역시 서구 원양로 1, B동 2층 201호(암남동, 수산가공선진화단지)","꽃게(손질), 자숙골뱅이",기타 수산동물 가공 및 저장 처리업 외 1 종
93,주식회사 부산정식품,박태형,,"부산광역시 서구 원양로 1, B동 3층 304 (암남동) B동 3층 304호",어묵류,기타 수산동물 가공 및 저장 처리업 외 1 종
94,주식회사 세린,오광삼,051-710-4504,"부산광역시 서구 암남공원로 238, 모지포그라운드 5층 (암남동)",커피 원두,커피 가공업
95,주식회사 어메이징팩토리,최성훈,051-256-5468,"부산광역시 서구 원양로 1 (암남동) 수산가공선진화단지 A동 2층 205호, 206호",어묵,기타 수산동물 가공 및 저장 처리업
96,주식회사 에스엔씨메이드,박경환,051-266-6077,"부산광역시 서구 원양로 1, (암남동) B동 5층 505호,506호",냉동수산물 등,수산동물 냉동품 제조업
97,주식회사 엠에스,박상경,051-253-8220,"부산광역시 서구 원양로 1, B동 3층 302 (암남동, 수산가공선진화단지)","오징어채, 고등어자반",기타 수산동물 가공 및 저장 처리업
98,주식회사 지은씨푸드,김창열,051-247-0779,"부산광역시 서구 원양로 1, B동 4층 407 (암남동, 수산가공선진화단지) B동 4층 407호","고등어필렛, 삼치필렛",수산동물 건조 및 염장품 제조업
99,주식회사 합리적인푸드,조용일,051-256-3814,"부산광역시 서구 원양로 1, A동 403호, 504호(암남동, 수산가공선진화단지)",냉동 전복슬라이스,기타 수산동물 가공 및 저장 처리업 외 1 종
100,지나푸드 주시회사,최영철,051-248-3213,"부산광역시 서구 원양로 1, B동 3층 305 (암남동, 수산가공선진화단지) B동 3층 305호",초밥용 냉동 북방대합조개,수산동물 냉동품 제조업
101,참손푸드(주),윤재현,051-250-7027,부산광역시 서구 원양로 171 (암남동),"생선후라이, 수산 어획물,해물완자, 치킨너켓, 햄버거스테이크","수산동물 훈제, 조리 및 유사 조제식품 제조업 외 4 종"
102,풍미어장,최혁수,,부산광역시 서구 원양로 71 (암남동) 11층,"손질오징어, 간고등어",기타 수산동물 가공 및 저장 처리업
103,한국냉열공사,노세환,051-248-7969,부산광역시 서구 구덕로250번길 14-1(부용동1가),항온항습기,가정용 및 산업용 공기 조화장치 제조업 외 2 종
104,한성종합상사,이상진,051-242-0011,부산광역시 서구 원양로 96 (암남동),"수산물냉동품,어분",수산동물 냉동품 제조업 외 3 종
105,한신씨푸드,강태규,,"부산광역시 서구 등대로 123,  희창빌딩 504호 (남부민동)",명란젓갈,기타 수산동물 가공 및 저장 처리업
106,합천수산,정주헌,051-208-7638,"부산광역시 서구 충무대로 140,  동양섬유(주)송도지점 3층 (남부민동)","오징어채, 가오리채",기타 수산동물 가공 및 저장 처리업
107,해성넷 주식회사,최윤정,02-403-2433,"부산광역시 서구 원양로 1, B동 3층 307 (암남동, 수산가공선진화단지) B동 3층 307호","명란, 장어필렛, 방어필렛",기타 수산동물 가공 및 저장 처리업 외 1 종
108,호원정수공업사,임귀자,051-246-2407,부산광역시 서구 구덕로200번길 15 (부민동1가),공업용정수기,액체 여과기 제조업
109,희창물산(주),권중천,051-241-2434,부산광역시 서구 충무대로 146 (남부민동),"명란맛젖,수생동물,김치",수산동물 냉동품 제조업
