순번,회사명,공장대표주소(도로명),업종명,등록일,전화번호,팩스번호,종업원수,생산품
46,주식회사 대현상회,부산광역시 수영구 과정로55번길 15 (망미동),식물성 유지 제조업,2024-08-23,051-755-0107,,2,"참기름, 들기름, 볶은참깨"
47,주식회사 무스마,"부산광역시 수영구 망미번영로52번길 3, 1층 (수영동)",기타 무선 통신장비 제조업,2024-07-31,070-8670-0812,0504-727-5453,50,"산업용 무선통신단말기, 게이트웨이"
48,주식회사 성진시스템,"부산광역시 수영구 연수로275번길 21, 2층 (망미동)",방송장비 제조업,2024-08-12,051-926-1900,051-926-1903,6,영상감시장치
49,주식회사 신우정보기술,부산광역시 수영구 망미번영로85번길 25 (망미동) 4층,유선 통신장비 제조업 외 6 종,2023-03-28,051-851-0459,051-852-0459,7,"감시카메라, 영상감시장치, 방송장비, 무선장비, 컴퓨터제조, 전기설비 및 자동제어설비, 기타음향기기, 기타주변기기"
50,주식회사 에스탑,부산광역시 수영구 구락로 107 (망미동),어망 및 기타 끈 가공품 제조업 외 1 종,2013-09-05,051-754-5353,,36,"안전모,안젠대"
51,"주식회사 이즈모(ISMO Co., Ltd)","부산광역시 수영구 구락로117번길 14, 2층(망미동, 동영산업(주))","전자기 측정, 시험 및 분석기구 제조업 외 6 종",2021-07-23,,,5,분석장비
52,주식회사 코아트,"부산광역시 수영구 망미번영로52번길 94, 1층(수영동)",기타 종이 상자 및 용기 제조업,2021-07-20,070-4922-1230,051-754-7234,7,커피봉투
53,천우조구,부산광역시 수영구 구락로 26-6 (수영동),낚시 및 수렵용구 제조업,1979-05-15,051-757-0126,051-753-2008,2,낚시바늘
54,코리아푸드,"부산광역시 수영구 무학로 44, 1층 (광안동)",가금류 가공 및 저장 처리업 외 2 종,2019-01-30,051-759-0199,051-759-0177,4,"오리불고기, 막창"
55,태화산업사,"부산광역시 수영구 좌수영로179번길 9 (망미동, 태화산업사)","박판, 합판 및 유사 적층판 제조업",2005-08-08,051-754-3288,051-752-2191,4,"합판,단판"
56,티엘엔지니어링(주),부산광역시 수영구 민락본동로 29-1 (민락동) 1층,"금속 문, 창, 셔터 및 관련제품 제조업 외 4 종",2022-01-26,051-623-3999,051-623-4222,38,"금속제 창, 조형물, 소음기, 간판, 실물모형"
57,현대후렘,"부산광역시 수영구 좌수영로210번길 36 (망미동, 현대후램)",구조용 금속 판제품 및 공작물 제조업 외 4 종,2016-03-15,051-751-0488,051-759-0488,11,"간판 frame,알미늄금속명패,도로표지판"
