순번,업체명,업종구분,소재지(도로명),전화번호,팩스번호,데이터기준일자
53,광원중기공업사,건설 및 채광용 기계장비 제조업,광주광역시 남구 송하동번지 300번지외1필지,062-674-0680,062-674-0680,2025-09-04
54,광일국악사,기타 악기 및 전자 악기 제조업,"광주광역시 남구 중앙로 60 (서동, 광일국악사)",062-672-5576,062-672-5563,2025-09-04
55,광일모터스,자동차 종합 수리업,광주광역시 남구 송하동번지 258-4,062-681-8885,062-6818-889,2025-09-04
56,광주남구로컬푸드가공협동조합,김치류 제조업 외 9 종,광주광역시 남구 포충로 937 (양과동),062-375-5510,062-375-5590,2025-09-04
57,그리운식품,떡류 제조업,광주광역시 남구 독립로 5-4 (백운동),062-434-2218,062-681-0153,2025-09-04
58,금호오토마스터(주),자동차 종합 수리업,광주광역시 남구 송암로 78 (송하동),062-674-0675,062-712-0002,2025-09-04
59,금호익스프레스(주)정비공장,자동차 종합 수리업,광주광역시 남구 송암로 78 (송하동),062-674-1124,062-674-0261,2025-09-04
60,금호정비(국민고속),자동차 종합 수리업,광주광역시 남구 송암로 78 (송하동),062-385-9955,062-385-9956,2025-09-04
61,남광주서비스기아오토큐주식회사,차체 및 특장차 제조업 외 1 종,"광주광역시 남구 송암로24번나길 7, 지1층~4층 (송하동)",ARS-1588-2213,062-672-6657,2025-09-04
62,남부중기자동차공업사,건설 및 채광용 기계장비 제조업,"광주광역시 남구 송암로58번길 23 (송하동, 남부중기)",062-674-3301,062-674-0247,2025-09-04
63,농업회사법인(주)다원,기타 곡물 가공품 제조업,"광주광역시 남구 천변좌로 476, 1층(양림동)",02-1544-6298,062-443-0032,2025-09-04
64,다온모터스,자동차 종합 수리업,광주광역시 남구 송암로24번나길 50-14 (송하동),062-674-2666,062-674-2667,2025-09-04
65,다온솔루션 주식회사,기타 음향기기 제조업,"광주광역시 남구 회재로1230번길 12, 1층(주월동, 안디옥중앙교회)",062-675-0790,062-675-0794,2025-09-04
66,대광자동차공업사,트레일러 및 세미트레일러 제조업,"광주광역시 남구 송암로24번나길 21, 외1필지(257-3) (송하동)",062-676-0783,,2025-09-04
67,대양공업사,자동차 재제조 부품 제조업 외 1 종,광주광역시 남구 송암로 52 (송하동),062-456-6721,062-430-7777,2025-09-04
68,대원자동차공업사,건설 및 채광용 기계장비 제조업,광주광역시 남구 송암로58번길 47 (송하동),062-676-8844,062-674-0259,2025-09-04
69,대창가스공업사,수소 제조업 외 1 종,광주광역시 남구 서문대로473번길 12 (송하동),062-674-3332,062-674-3334,2025-09-04
70,동성산업,플라스틱 필름 제조업 외 1 종,"광주광역시 남구 송암로58번길 40 (송하동, 동성산업)",062-673-1233,062-673-1234,2025-09-04
71,동성자동차주식회사,자동차 엔진용 신품 부품 제조업,광주광역시 남구 송암로24번나길 13 (송하동),062-674-2366,062-676-1298,2025-09-04
72,동아실사.스카시,간판 및 광고물 제조업 외 1 종,"광주광역시 남구 월산로 60, 청운빌1층 (월산동)",062-368-0034,062-365-0035,2025-09-04
73,동양레미콘(주),레미콘 제조업,광주광역시 남구 송암로76번길 35 (송하동),062-674-1814,062-674-0633,2025-09-04
74,동일특장,차체 및 특장차 제조업 외 1 종,광주광역시 남구 송암로24번나길 32-11 (송하동),062-676-1686,062-676-1687,2025-09-04
75,디벨론건설기계전남판매(주),건설 및 채광용 기계장비 제조업,광주광역시 남구 송암로24번나길 14-32 (송하동),062-674-4700,062-111-1111,2025-09-04
76,디자인플러스,남자용 겉옷 제조업 외 3 종,"광주광역시 남구 구성로 88, 2층 (월산동)",062-654-6665,062-671-6663,2025-09-04
77,런던베이직,그 외 기타 봉제의복 제조업 외 6 종,"광주광역시 남구 금화로 370 (주월동, 신세대학생복*)",062-368-0163,062-369-1319,2025-09-04
78,르노코리아남광주정비사업소(주),자동차 종합 수리업,광주광역시 남구 송암로24번나길 32-1(송하동),,,2025-09-04
79,미공사,간판 및 광고물 제조업,광주광역시 남구 중앙로50번안길 1 (백운동),062-672-6969,062-651-6981,2025-09-04
80,미래모터스,자동차 종합 수리업,"광주광역시 남구 송암로24번나길 32-3,  미래모터스(송하동)",062-671-3729,062-6713-730,2025-09-04
81,민경식품,천연 및 혼합조제 조미료 제조업,광주광역시 남구 신창길 138-7 (화장동),062-655-2900,062-655-2901,2025-09-04
82,반도문화사,일반 서적 출판업,"광주광역시 남구 중앙로 73-1 (서동, 두레전산폼)",062-673-5988,062-676-4800,2025-09-04
83,백제도재,"산업용 오븐, 노 및 노용 버너 제조업","광주광역시 남구 중앙로107번길 10 (구동, 백제도자)",062-672-4127,062-672-9025,2025-09-04
84,봉선자동차검사정비공업사,그 외 자동차용 신품 부품 제조업,"광주광역시 남구 송암로24번길 15 (송하동, 지구카서비스)",062-653-0071,062-653-0073,2025-09-04
85,삼양공업사,자동차 종합 수리업,"광주광역시 남구 송암로24번가길 10,  삼양공업사(송하동, 삼양공업사)",062-674-0031,062-674-0033,2025-09-04
86,새로나산업사,"플라스틱 선, 봉, 관 및 호스 제조업",광주광역시 남구 고싸움로 140 (지석동),062-374-4554,062-373-8371,2025-09-04
87,서울실사광고사,간판 및 광고물 제조업,광주광역시 남구 양림로 15-2 (백운동),062-651-9115,062-654-9115,2025-09-04
88,서일자동차공업사,자동차 구조 및 장치 변경업 ,"광주광역시 남구 송암로24번나길 32-6, 가동 (송하동)",062-674-0821,,2025-09-04
89,선일모터스(주),자동차 종합 수리업,광주광역시 남구 송암로24번가길 39 (송하동) 외 1필지,062-676-8371,062-676-8370,2025-09-04
90,성광농기계,일반 창고업,광주광역시 남구 서문대로473번길 8-1(송하동),,,2025-09-04
91,성민D/M시스템,경 인쇄업 외 2 종,광주광역시 남구 천변좌로428번길 4 (양림동),062-228-8896,062-228-8586,2025-09-04
92,성용실업,"근무복, 작업복 및 유사의복 제조업 외 2 종",광주광역시 남구 백운로 50-1 (백운동),062-675-3568,062-675-3566,2025-09-04
93,소화자매원(소화아람일터),"치약, 비누 및 기타 세제 제조업",광주광역시 남구 용대로74번길 25-1 (봉선동),062-710-4030,062-710-4032,2025-09-04
94,스카니아광주센터(유)동양,자동차 재제조 부품 제조업 외 1 종,광주광역시 남구 송암로58번길 45 (송하동),062-673-5568,062-674-5562,2025-09-04
95,스타메디스포,남자용 겉옷 제조업 외 3 종,"광주광역시 남구 대남대로 252, 2층 우측 (백운동)",,,2025-09-04
96,승진산업(주),기타 음향기기 제조업 외 2 종,"광주광역시 남구 봉선중앙로131번길 17 (주월동, 일신메디칼)",062-675-2333,062-675-2344,2025-09-04
97,신세계자동차공업사,자동차 차체용 신품 부품 제조업 외 1 종,광주광역시 남구 송암로24번가길 39 (송하동) 외 1필지,062-675-1296,,2025-09-04
98,씨엔케이메디칼(주),체외 진단 시약 제조업 외 1 종,광주광역시 남구 송암로24번나길 7 (송하동),062-654-1940,062-674-1980,2025-09-04
99,아주산소(주),수소 제조업 외 1 종,광주광역시 남구 송암로58번길 46 (송하동),062-674-2684,062-676-9777,2025-09-04
100,아태기전,그 외 기타 전기장비 제조업,"광주광역시 남구 회서로 3 (주월동, 정카센터)",062-430-9119,062-430-9120,2025-09-04
101,아트기획,육상 금속 골조 구조재 제조업 외 3 종,광주광역시 남구 도금동 147-2번지,062-363-1104,062-363-1105,2025-09-04
102,아트기획,간판 및 광고물 제조업 외 4 종,광주광역시 남구 도금마을길 78-15 (도금동),062-363-1104,,2025-09-04
103,에스에이치메디칼,기타 직물제품 제조업 외 2 종,광주광역시 남구 송암로24번나길 7 (송하동),062-654-1940,,2025-09-04
104,엔에이치종합철강 주식회사,기타 구조용 금속제품 제조업,광주광역시 남구 회재로 192(지석동),062-374-9294,062-74-9297,2025-09-04
105,연이음,떡류 제조업,광주광역시 남구 대남대로398번길 11 (월산동),062-523-2882,,2025-09-04
106,염주골두부,두부 및 유사식품 제조업,광주광역시 남구 봉주5길 32 (주월동),062-654-8944,062-654-8944,2025-09-04
107,영무sp,남자용 겉옷 제조업 외 6 종,"광주광역시 남구 대남대로 252-1, 1층, 2층 (백운동)",062-653-4141,062-653-4142,2025-09-04
108,영성인쇄광고,간판 및 광고물 제조업 외 1 종,광주광역시 남구 서강사길 1 (방림동),062-653-7070,062-653-9966,2025-09-04
109,우창어페럴,셔츠 및 블라우스 제조업 외 2 종,"광주광역시 남구 독립로53번길 8 (백운동, 우창스포츠)",062-653-1409,,2025-09-04
110,원광전력(주),기타 조명장치 제조업 외 1 종,"광주광역시 남구 대남대로 398, 5층(월산동, WG빌딩)",062-384-9118,062-971-9172,2025-09-04
111,유)글로리아,방송장비 제조업 외 5 종,"광주광역시 남구 효덕로 277, 광주대학교 창업보육센터 513호 (진월동)",070-4352-3147,,2025-09-04
112,유니폼을만드는사람들,"근무복, 작업복 및 유사의복 제조업 외 2 종",광주광역시 남구 제중로134번길 11 (서동),062-652-3707,062-652-3807,2025-09-04
113,유한회사 나모애드,간판 및 광고물 제조업,광주광역시 남구 구성로 88 (월산동),062-433-8900,062-434-8900,2025-09-04
114,유한회사 대신공업사,자동차 종합 수리업,"광주광역시 남구 송암로58번길 42,  (송하동)",,,2025-09-04
115,유한회사 케이비엠텍,그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,"광주광역시 남구 봉선중앙로 123, 지하층(봉선동)",062-456-1123,062-456-1124,2025-09-04
116,이노블,남자용 겉옷 제조업 외 6 종,"광주광역시 남구 독립로 150, 2층 (월산동)",062-676-3871,062-676-3872,2025-09-04
117,이문,경 인쇄업 외 10 종,광주광역시 남구 천변좌로 450 (양림동),062-225-9913,062-225-9914,2025-09-04
118,이에스지홀딩스(주),응용 소프트웨어 개발 및 공급업,광주광역시 남구 송암로58번길 36(송하동),062-6519-080,062-651-3050,2025-09-04
119,장원모터스,자동차 종합 수리업,광주광역시 남구 송암로24번나길 32-8 (송하동),062-415-4982,,2025-09-04
120,제이엘테크 주식회사,육상 금속 골조 구조재 제조업 외 3 종,광주광역시 남구 중앙로6번길 8-4(월산동),,0504-482-3083,2025-09-04
121,주식회사 고고탁,기타 운동 및 경기용구 제조업,"광주광역시 남구 진다리로 18, 2층 (백운동)",070-4118-8989,062-222-0235,2025-09-04
122,주식회사 김치타운,김치류 제조업 외 1 종,"광주광역시 남구 김치로 60 (임암동, 김치종합센터)",062-234-4478,,2025-09-04
123,주식회사 바이오큐,기체 여과기 제조업,광주광역시 남구 봉주7안길 12 (주월동),,,2025-09-04
124,주식회사 반디가스,운송장비용 가스 충전업 외 1 종,광주광역시 남구 송암로 28 (송하동),062-655-8301,062-655-8302,2025-09-04
125,주식회사 송루산업,금속류 해체 및 선별업,광주광역시 남구 송암로24번나길 14-13 (송하동),062-676-7979,062-433-8689,2025-09-04
126,주식회사 승진어패럴,셔츠 및 블라우스 제조업 외 15 종,광주광역시 남구 회재로1218번길 17 (주월동),062-676-4665,062-654-4665,2025-09-04
127,주식회사 아이콘,기타 가정용 전기기기 제조업,"광주광역시 남구 송암로 73, 청솔관 2층 18호 (송하동, 송원대학)",062-953-2606,,2025-09-04
128,주식회사 아크,금속 가구 제조업 외 4 종,광주광역시 남구 옹정1길 2 (주월동),062-655-9660,062-655-9661,2025-09-04
129,주식회사 에이티그룹,기타 무선 통신장비 제조업 외 3 종,광주광역시 남구 봉선로 57 (봉선동),062-416-8900,,2025-09-04
130,주식회사 이엘,배전반 및 전기 자동제어반 제조업 외 3 종,"광주광역시 남구 백양로61번길 1 (백운동, (주)대영사옥)",062-670-0300,062-670-0399,2025-09-04
131,주식회사 지구 광주공장,"근무복, 작업복 및 유사의복 제조업 외 9 종","광주광역시 남구 회재로1218번길 17, 2층(주월동, 의류상설매장)",053-253-8812,053-256-6327,2025-09-04
132,주식회사 케이디에스,방송장비 제조업 외 6 종,광주광역시 남구 수박등로6번길 10 (월산동),062-351-8124,,2025-09-04
133,주식회사 한유에너지 대광충전소,기체연료 및 관련제품 도매업,"광주광역시 남구 송암로24번나길 14-20 (송하동, SK대광가스충전소)",062-676-7979,062-674-3520,2025-09-04
134,주식회사에덴뷰,기타 가죽제품 제조업,광주광역시 남구 고싸움로 18 (칠석동),062-652-2587,,2025-09-04
135,주연상사,기타 보관 및 창고업,"광주광역시 남구 송암로24번나길 50-14 (송하동, 고려정비공업사)",062-676-8180,062-676-8182,2025-09-04
136,주원갤러리,일반용 전기 조명장치 제조업 외 10 종,"광주광역시 남구 금화로 401, 5층(월산동)",,062-368-7004,2025-09-04
137,중앙자동차공업사,건설 및 채광용 기계장비 제조업,"광주광역시 남구 송암로 72 (송하동, 중앙공업사)",062-674-1212,062-674-1674,2025-09-04
138,청운섬유,속옷 및 잠옷 제조업 외 5 종,"광주광역시 남구 독립로54번길 36 (백운동, 싸이버pc스타)",053-551-9901,053-563-3964,2025-09-04
139,커민스광주,건설 및 채광용 기계장비 제조업,광주광역시 남구 송암로24번길 53 (송하동),062-674-0453,062-674-2267,2025-09-04
140,케이지모빌리티광주서비스센터주식회사,건설 및 채광용 기계장비 제조업,광주광역시 남구 서문대로499번길 26 (송하동),062-670-5619,062-670-5619,2025-09-04
141,코오롱모터스 주식회사,자동차 종합 수리업,광주광역시 남구 송암로24번길 55(송하동),062-676-7301,062-676-5816,2025-09-04
142,쿠팡로지스틱스서비스 유한회사,개인 화물자동차 운송업 외 1 종,광주광역시 남구 송암로24번나길 54(송하동),070-7772-1582,062-671-3516,2025-09-04
143,한빛디스플레이,간판 및 광고물 제조업 외 6 종,"광주광역시 남구 천변좌로 374 (사동, 대성아크릴)",062-671-8585,062-671-2023,2025-09-04
144,합자회사 을로운수,자동차 종합 수리업,광주광역시 남구 송암로24번나길 12(송하동),062-674-1457,062-674-1530,2025-09-04
145,헤펠레목공방광주남구점,그 외 기타 나무제품 제조업,광주광역시 남구 송암로24번가길 11(송하동),062-671-5808,062-671-5809,2025-09-04
146,현대건설장비 주식회사 ,건설 및 채광용 기계장비 제조업,광주광역시 남구 송하동 562-2번지 외 1필지,062-681-8611,,2025-09-04
147,현대자동차(주)광주하이테크센터,자동차 종합 수리업,광주광역시 남구 송암로76번길 31(송하동),062-670-1900,062-674-0478,2025-09-04
148,황토밀빵,빵류제조업,"광주광역시 남구 대남대로410번길 3 (월산동, 화랑책방)",062-362-8981,062-362-8981,2025-09-04
