연번,업체명,소재지,업종구분,산업분류코드,전화번호,팩스번호,고용인원수,데이터기준일자
32,(유)삼우산업,광주광역시 광산구 북문대로 342-84 (신창동),"금속 문, 창, 셔터 및 관련제품 제조업",25111,,,5,2025-09-04
33,(유)삼환,평동산단7번로 98-19 외 1필지,육상 금속 골조 구조재 제조업,25113,062-974-4100,062-974-4102,21,2025-09-04
34,(유)새광산업,광주광역시 광산구 어등대로533번길 62-9 (운수동),그 외 기타 플라스틱 제품 제조업,22299,,062-228-3232,7,2025-09-04
35,(유)새광산업,광주광역시 광산구 임곡로 610 (안청동),그 외 기타 플라스틱 제품 제조업,22299,062-224-4200,062-224-4201,1,2025-09-04
36,(유)새한플러스 하남산단지점,광주광역시 광산구 하남산단4번로 126(장덕동),"플라스틱 선, 봉, 관 및 호스 제조업",22211,062-941-5237,062-941-5238,3,2025-09-04
37,(유)새한하이테크,광주광역시 광산구 하남산단9번로 148 (안청동),기타 가정용 전기기기 제조업,28519,062-951-5237,,9,2025-09-04
38,(유)설앤드찬,광주광역시 광산구 복룡동 91-15번지 외 2필지 외 2필지,목재 깔판류 및 기타 적재판 제조업,16231,,,3,2025-09-04
39,(유)세완,광주광역시 광산구 하남산단천변우로 126-9 (도천동),주형 및 금형 제조업,29293,062-962-0703,,8,2025-09-04
40,(유)승건,광주광역시 광산구 하남산단4번로 131-22(장덕동),기타 조명장치 제조업,28429,070-4027-0418,070-8611-8600,4,2025-09-04
41,(유)승산,광주광역시 광산구 하남산단5번로 102 (장덕동),골판지 제조업,17211,062-961-7777,062-953-5331,25,2025-09-04
42,(유)신일화학,광주광역시 광산구 하남산단5번로 10 (장덕동),운송장비 조립용 플라스틱제품 제조업,22241,062-953-9562,062-953-9562,9,2025-09-04
43,(유)신진이엔지,광주광역시 광산구 진곡산단3번로 24(오선동),기타 기계.장비 조립용 플라스틱 제품 제조업,22249,062-952-0668,,3,2025-09-04
44,(유)애니체,광주광역시 광산구 소촌로 25-12 (소촌동),기타 목재가구 제조업,32029,062-942-1814,062-942-1755,13,2025-09-04
45,(유)엠지테크,광주광역시 광산구 하남산단8번로 112 (오선동),포장용 플라스틱 성형용기 제조업,22232,062-710-9630,062-710-9631,4,2025-09-04
46,(유)엠탑코리아,광주광역시 광산구 소촌로 143 (소촌동),유선 통신장비 제조업,26410,062-531-7807,062-531-7808,9,2025-09-04
47,(유)엠탑코리아,"광주광역시 광산구 평동산단6번로 74, 주3동 (월전동)","금속 문, 창, 셔터 및 관련제품 제조업 ",25111,062-531-7807,062-531-7808,3,2025-09-04
48,(유)엠피아이테크,광주광역시 광산구 하남산단8번로 137-12 (안청동),그 외 기타 일반목적용 기계 제조업,29199,062-956-2008,,3,2025-09-04
49,(유)은진하이테크,광주광역시 광산구 진곡산단6번로 30 (고룡동),주형 및 금형 제조업,29293,062-959-8179,,21,2025-09-04
50,(유)일오삼이앤씨,광주광역시 광산구 하남산단9번로 186-43 (도천동),"체조, 육상 및 체력단련용 장비 제조업",33301,062-944-0153,062-944-0154,3,2025-09-04
51,(유)정석포장 ,광주광역시 광산구 하남산단3번로 14-36 (장덕동),골판지 상자 및 가공제품 제조업,17212,062-955-4755,062-955-4755,1,2025-09-04
52,(유)제일마케팅,광주광역시 광산구 사암로92번길 79-29 (우산동) 외 1필지,산업용 냉장 및 냉동 장비 제조업,29171,062-944-2256,062-945-2256,7,2025-09-04
53,(유)조선복,광주광역시 광산구 어등대로648번길 95 (선암동),주방용 및 음식점용 목재가구 제조업,32021,,,3,2025-09-04
54,(유)지제이,광주광역시 광산구 평동산단9번로 11(연산동),"동 압연, 압출 및 연신제품 제조업",24221,062-953-0537,062-953-0538,20,2025-09-04
55,(유)창해,"광주광역시 광산구 풍영철길로 15, 콜롬버스월드 302호 (우산동, 콜럼버스웨팅홀)",기타 인쇄업 ,18119,,,3,2025-09-04
56,(유)케이에이치정밀,광주광역시 광산구 하남산단10번로 115-20 (안청동),절삭가공 및 유사처리업,25924,062-710-9354,,4,2025-09-04
57,(유)태호,광주광역시 광산구 평동산단3번로 219 (장록동) (총 2 필지),기타 물품 취급장비 제조업,29169,062-943-7997,062-943-1661,38,2025-09-04
58,(유)테폴,광주광역시 광산구 풍영정길 391 (산월동),육상 금속 골조 구조재 제조업 ,25113,062-961-3401,062-961-5404,4,2025-09-04
59,(유)포스텍,광주광역시 광산구 임곡로 616 (안청동),그 외 기타 전자부품 제조업,26299,062-710-7763,062-953-7762,1,2025-09-04
60,(유)하나로가구,"광주광역시 광산구 상무대로419번길 40, 나동 (우산동)",기타 목재가구 제조업,32029,062-942-3900,062-941-4540,10,2025-09-04
61,(유)하남금속,광주광역시 광산구 하남산단4번로 131-25 (장덕동),도금업,25922,062-951-2241,062-951-2147,6,2025-09-04
62,(유)한국공조시스템,광주광역시 광산구 평동산단8번로 28-16(연산동),산업용 냉장 및 냉동 장비 제조업,29171,062-224-3988,062-224-3987,12,2025-09-04
63,(유)한라산업,광주광역시 광산구 하남산단6번로 32 (오선동),기타 기계.장비 조립용 플라스틱 제품 제조업,22249,062-955-8838,,14,2025-09-04
64,(유)한미비철금속,광주광역시 광산구 손재로 376-7 (오선동),그 외 기타 일반목적용 기계 제조업,29199,062-952-3709,062-952-3706,5,2025-09-04
65,(유)한미산업,광주광역시 광산구 하남산단9번로 49 (안청동),육상 금속 골조 구조재 제조업 ,25113,062-954-2007,062-954-1008,8,2025-09-04
66,(유)해성알앤디,"광주광역시 광산구 하남산단3번로 126-9, 나동 1층 (장덕동)",그 외 기타 특수목적용 기계 제조업,29299,062-954-3085,062-954-3086,2,2025-09-04
67,(유)현대테크,광주광역시 광산구 비아로127번길 16-16 (비아동),배전반 및 전기 자동제어반 제조업,28123,062-974-3656,062-974-3654,5,2025-09-04
68,(유)휴먼엘이디,"광주광역시 광산구 첨단중앙로 23, 4107호 (월계동)",일반용 전기 조명장치 제조업 ,28422,062-971-9695,,4,2025-09-04
69,(주) 그린몰드 ,광주광역시 광산구 하남산단3번로 23-20 (장덕동),주형 및 금형 제조업,29293,062-972-0370,062-972-0307,13,2025-09-04
70,(주) 길상엔지니어링,광주광역시 광산구 진곡산단5번로 60 (진곡동),배전반 및 전기 자동제어반 제조업,28123,062-956-7483,062-955-7483,14,2025-09-04
71,(주) 덕봉산업,광주광역시 광산구 연산동 1175 외 1필지,육상 금속 골조 구조재 제조업,25113,062-953-4461,062-9524-4461,3,2025-09-04
72,(주)195에프앤비,"광주광역시 광산구 평동산단5번우로 18, 다동 (월전동)",빵류 제조업,10602,,062-959-7981,8,2025-09-04
73,(주)H.K,광주광역시 광산구 소촌로123번길 14-19 (소촌동),그 외 자동차용 신품 부품 제조업,30399,062-943-8311,062-943-8694,43,2025-09-04
74,(주)JHP,광주광역시 광산구 도천남길 38-64 (도천동),주형 및 금형 제조업,29293,062-955-7758,,7,2025-09-04
75,(주)YHB ,광주광역시 광산구 하남산단5번로 45 (장덕동),금속 절삭기계 제조업 ,29223,062-952-6633,062-952-6635,17,2025-09-04
76,(주)가나건강,광주광역시 광산구 평동산단5번우로 28 (월전동),기타 건축용 나무제품 제조업 ,16229,062-943-3406,062-943-3402,15,2025-09-04
77,(주)가나다,광주광역시 광산구 상무대로419번길 8-28 (신촌동),가금류 가공 및 저장 처리업,10121,062-457-9999,062-941-0771,7,2025-09-04
78,(주)가나피엔엘,광주광역시 광산구 평동산단로169번길 24-13 (월전동),"목재 포장용 상자, 드럼 및 유사용기 제조업",16232,062-945-4105,062-945-4108,23,2025-09-04
79,(주)가람앤플러스,광주광역시 광산구 도천동 122-97 외 1필지,커피 가공업,10891,,,3,2025-09-04
80,(주)가람앤플러스,광주광역시 광산구 도천동 122-96,빵류 제조업,10602,,,3,2025-09-04
81,(주)가리온,광주광역시 광산구 빛중앙12로 4(덕림동),"플라스틱 적층, 도포 및 기타 표면처리 제품 제조업 ",22292,062-714-3085,062-943-0113,16,2025-09-04
82,(주)가배하우스,광주광역시 광산구 손재로 167-1 (산정동),커피 가공업,10891,062-952-5735,062-952-5734,3,2025-09-04
83,(주)가보유공압테크,광주광역시 광산구 용아로 534-30 (장덕동),유압기기 제조업,29120,062-961-9600,062-961-9603,11,2025-09-04
84,(주)가야산업,광주광역시 광산구 장수동 428번지 외 3필지,배전반 및 전기 자동제어반 제조업,28123,,,6,2025-09-04
85,(주)가온아이피엠,광주광역시 광산구 평동산단6번로 78-12(월전동),분사기 및 소화기 제조업,29192,02-431-9775,02-431-9778,19,2025-09-04
86,(주)가온코리아,광주광역시 광산구 월봉반월길 236 (산월동),"전자기 측정, 시험 및 분석기구 제조업",27212,070-4880-3613,070-4880-3613,11,2025-09-04
87,(주)가이디,광주광역시 광산구 침산안길 18 (하산동) (총 4 필지) 외 3필지,기타 목재가구 제조업,32029,,062-575-0458,10,2025-09-04
88,(주)가이오,광주광역시 광산구 평동옥동로 72(월전동),기타 식품 첨가물 제조업,10839,,062-369-9262,3,2025-09-04
89,(주)거광기업,"광주광역시 광산구 손재로 512-25,  외1 (안청동)","금속 문, 창, 셔터 및 관련제품 제조업",25111,062-525-7600,062-525-7601,19,2025-09-04
90,(주)거도,광주광역시 광산구 하남산단천변우로 126-5 (도천동),그 외 기타 달리 분류되지 않은 제품 제조업,33999,062-972-3040,062-972-3041,5,2025-09-04
91,(주)거북전기,광주광역시 광산구 도천남길 24 (도천동),배전반 및 전기 자동제어반 제조업,28123,062-956-3555,062-956-3558,4,2025-09-04
92,(주)거산수출포장,광주광역시 광산구 평동산단2번로 37-4 (용동),골판지 제조업  ,17211,062-944-9260,062-944-9261,9,2025-09-04
93,(주)거원,광주광역시 광산구 동곡상선길 80 (복룡동),육상 금속 골조 구조재 제조업  ,25113,062-944-9084,062-944-9085,9,2025-09-04
94,(주)건아푸드,광주광역시 광산구 평동산단로143번길 25 (월전동),육류 기타 가공 및 저장처리업 (가금류 제외)  ,10129,062-366-5501,062-941-5504,40,2025-09-04
95,(주)건영기업,광주광역시 광산구 평동로803번길 122 (옥동),자동차 차체용 신품 부품 제조업,30320,062-945-6530,062-945-6529,3,2025-09-04
96,(주)건영특수가스,광주광역시 광산구 고봉로164번길 125 (장수동),수소 제조업  ,20121,062-954-0050,062-954-0054,15,2025-09-04
97,(주)건우이엔티,광주광역시 광산구 진곡산단6번로 25-18 (고룡동),일반용 전기 조명장치 제조업,28422,062-675-8718,,6,2025-09-04
98,(주)건창정밀,광주광역시 광산구 월전동 1031-9번지,주형 및 금형 제조업,29293,062-955-8533,062-955-8533,10,2025-09-04
99,(주)건화,광주광역시 광산구 하남산단10번로 115-16 (안청동),금속선 가공제품 제조업,25944,062-943-0652,,8,2025-09-04
100,(주)경광기업 ,광주광역시 광산구 진곡산단3번로 5 (진곡동),농업 및 임업용 기계 제조업,29210,062-955-1270,062-955-1271,17,2025-09-04
101,(주)경도,광주광역시 광산구 평동산단9번로 30-9(연산동),가정용 전기 난방기기 제조업,28512,,062-942-5808,7,2025-09-04
102,(주)경동기어 ,광주광역시 광산구 하남산단2번로 73 (하남동),기어 및 동력전달장치 제조업,29142,062-955-2218,062-951-0417,11,2025-09-04
103,(주)경동산업,광주광역시 광산구 평동로803번길 117-15 (용동),그 외 자동차용 신품 부품 제조업,30399,062-956-8647,062-956-8648,16,2025-09-04
104,(주)경신케이블 ,광주광역시 광산구 진곡산단6번로 25-31 (고룡동),절연 코드세트 및 기타 도체 제조업,28303,062-955-3177,062-955-3144,8,2025-09-04
105,(주)경원산업,광주광역시 광산구 금봉로 67 (소촌동),가정용 및 산업용 공기 조화장치 제조업  ,29172,062-943-0882,062-941-6943,5,2025-09-04
106,(주)경전,광주광역시 광산구 평동로803번안길 93-6 (용동),자동차 차체용 신품 부품 제조업  ,30320,062-942-0628,062-942-0696,11,2025-09-04
107,(주)경전콘크리트,광주광역시 광산구 평동산단외로 201-3 (지죽동),콘크리트 관 및 기타 구조용 콘크리트 제품 제조업  ,23325,062-945-9100,062-945-8285,4,2025-09-04
108,(주)경희광주공장,광주광역시 광산구 하남산단3번로 14-12 (장덕동),기타 기계.장비 조립용 플라스틱 제품 제조업,22249,062-951-9390,062-951-9392,40,2025-09-04
109,(주)고든테크,광주광역시 광산구 하남산단천변좌로 63-11 (안청동),기타 플라스틱 발포 성형제품 제조업,22259,,,3,2025-09-04
110,(주)고려윙바디,광주광역시 광산구 동곡로 675-23 (송촌동),차체 및 특장차 제조업  ,30201,062-944-3800,062-944-7116,3,2025-09-04
111,(주)고성산업 ,광주광역시 광산구 하남산단3번로 23-29 (장덕동),그 외 금속 압형제품 제조업  ,25914,062-716-6966,062-716-6967,8,2025-09-04
112,(주)골드라인,광주광역시 광산구 평동산단1번로 137 (장록동),기타 물품 취급장비 제조업  ,29169,062-953-0555,062-953-4633,29,2025-09-04
113,(주)골든썬,"광주광역시 광산구 진곡산단중앙로 178, 1동 (진곡동)",그 외 기타 1차 철강 제조업  ,24199,062-523-5511,062-575-5622,20,2025-09-04
114,(주)공간디자인가구,광주광역시 광산구 평동로803번길 117-50 (용동),주방용 및 음식점용 목재가구 제조업  ,32021,062-371-5496,062-371-5497,9,2025-09-04
115,(주)공간코리안,광주광역시 광산구 평동로803번길 115 (용동),그 외 기타 가구 제조업,32099,062-945-5564,062-941-5584,14,2025-09-04
116,(주)광산기전,광주광역시 광산구 송촌길79번길 32 (송촌동),배전반 및 전기 자동제어반 제조업,28123,062-941-8873,062-941-8874,7,2025-09-04
117,(주)광산기전,광주광역시 광산구 평동산단8번로 110-4 (연산동) 광산기전,배전반 및 전기 자동제어반 제조업,28123,062-941-8873,062-941-8874,6,2025-09-04
118,(주)광선우디자인,광주광역시 광산구 고봉로68번길 15 (하남동),간판 및 광고물 제조업,33910,062-952-9948,,5,2025-09-04
119,(주)광선우디자인,광주광역시 광산구 하남산단7번로 42-8 (오선동),간판 및 광고물 제조업,33910,062-952-9948,,3,2025-09-04
120,(주)광신로지스틱,광주광역시 광산구 하남산단천변우로 120 (도천동),그 외 기타 일반목적용 기계 제조업  ,29199,,,20,2025-09-04
121,(주)광신스틸,광주광역시 광산구 하남산단천변우로 118 (도천동),그 외 기타 1차 철강 제조업,24199,062-959-9933,,21,2025-09-04
122,(주)광영산업,광주광역시 광산구 하남산단1번로 109 (하남동),육상 금속 골조 구조재 제조업  ,25113,062-952-4461,062-952-4461,2,2025-09-04
123,(주)광우파이텍,광주광역시 광산구 평동산단외로 142-25 (옥동),그 외 자동차용 신품 부품 제조업  ,30399,062-946-3001,062-941-3000,8,2025-09-04
124,(주)광원,"광주광역시 광산구 진곡산단3번로 59-35, 임차기업 (진곡동)",기타 기계.장비 조립용 플라스틱 제품 제조업  ,22249,062-952-0032,062-952-0031,14,2025-09-04
125,(주)광원,광주광역시 광산구 소촌로123번길 40-17 (소촌동),그 외 기타 전자부품 제조업  ,26299,062-952-0032,062-952-0031,18,2025-09-04
126,(주)광원이엔지(GWE),광주광역시 광산구 진곡산단3번로 59-35 (진곡동),그 외 기타 전자부품 제조업  ,26299,062-952-0032,062-952-0031,40,2025-09-04
127,(주)광일기공,광주광역시 광산구 하남산단천변우로 120 (도천동),그 외 자동차용 신품 부품 제조업  ,30399,062-951-6013,,48,2025-09-04
128,(주)광일기공,광주광역시 광산구 하남산단천변우로 120 (도천동),그 외 자동차용 신품 부품 제조업  ,30399,062-951-6013,062-951-3917,46,2025-09-04
129,(주)광일테크,광주광역시 광산구 하남산단4번로 33 (장덕동),주방용 전기기기 제조업,28511,062-951-9442,062-951-9443,5,2025-09-04
130,(주)광주글로벌모터스,"광주광역시 광산구 빛그린산단로 333(덕림동, (주)광주글로벌모터스)",내연기관 승용차 및 기타 여객용 자동차 제조업  ,30121,062-612-3111,062-616-5099,642,2025-09-04
131,(주)광주금형,"광주광역시 광산구 첨단중앙로 23, 창업보육센터 8B08호 (월계동, 남부대학교)",주형 및 금형 제조업,29293,,062-974-5500,3,2025-09-04
132,(주)광주삼양연마,"광주광역시 광산구 평동산단3번로 60,  (옥동1232-2) (옥동)",연마재 제조업,23992,062-951-0678,062-951-5322,8,2025-09-04
133,(주)광주식품 농업회사법인,광주광역시 광산구 우산동 219-10번지,육류 기타 가공 및 저장처리업 (가금류 제외)  ,10129,,062-941-9993,30,2025-09-04
134,(주)광주연마,광주광역시 광산구 평동로803번길 43-29(옥동),주형 및 금형 제조업,29293,062-952-7508,062-951-9167,9,2025-09-04
135,(주)광주특강,광주광역시 광산구 평동산단로169번길 24-1 (월전동),주형 및 금형 제조업,29293,062-955-1877,062-955-1878,19,2025-09-04
136,(주)광주프리텍,광주광역시 광산구 진곡산단6번로 5 (고룡동),주형 및 금형 제조업  ,29293,062-959-1949,062-959-1950,13,2025-09-04
137,(주)광주하림비엔에프,광주광역시 광산구 신촌동 681-20번지,가금류 가공 및 저장 처리업,10121,062-456-9999,062-943-9225,4,2025-09-04
138,(주)광진산업 ,광주광역시 광산구 임곡로 399-10 (고룡동),기타 기계.장비 조립용 플라스틱 제품 제조업,22249,062-952-4116,062-953-6115,20,2025-09-04
139,(주)광진산업하남지점,광주광역시 광산구 하남산단10번로 25 (안청동),"전기회로 개폐, 보호장치 제조업  ",28121,062-602-7853,062-602-7854,10,2025-09-04
140,(주)광진상공,광주광역시 광산구 평동산단1번로 58 (옥동),자동차 차체용 신품 부품 제조업,30320,070-8686-7655,062-945-4128,7,2025-09-04
141,(주)광진이앤씨,"광주광역시 광산구 진곡산단4번로 31-9, 임차기업 (진곡동)",전동기 및 발전기 제조업,28111,062-972-6122,062-945-6124,3,2025-09-04
142,(주)광진전자,광주광역시 광산구 손재로287번길 99 (하남동),그 외 기타 전자부품 제조업  ,26299,062-954-5102,,21,2025-09-04
143,(주)광호피앤에스,광주광역시 광산구 하남산단2번로 72 (하남동),운송장비 조립용 플라스틱제품 제조업  ,22241,062-953-6995,062-953-6996,1,2025-09-04
144,(주)국도산업개발,광주광역시 광산구 장신로 342-19 (신창동),육상 금속 골조 구조재 제조업  ,25113,062-951-7112,062-951-7113,5,2025-09-04
145,(주)국제바이오텍,광주광역시 광산구 도천남길 65 (도천동),산업용 난방보일러 및 방열기 제조업,25121,062-959-6201,,5,2025-09-04
146,(주)국제이엔지,광주광역시 광산구 평동산단로 239-43 (옥동),전자 응용 절삭기계 제조업,29221,062-943-5905,062-943-5906,1,2025-09-04
147,(주)국제이엔지 제2공장,광주광역시 광산구 월전동 1031번지,기타 구조용 금속제품 제조업  ,25119,,062-943-5906,12,2025-09-04
148,(주)그린몰드 2공장 ,광주광역시 광산구 장덕동 987-4번지 가동,주형 및 금형 제조업  ,29293,062-972-0370,062-972-0307,13,2025-09-04
149,(주)그린아트산업,광주광역시 광산구 비아로135번길 1 (비아동),구조용 금속 판제품 및 공작물 제조업,25112,062-945-0036,,6,2025-09-04
150,(주)그린인슐레이터,광주광역시 광산구 평동산단로 217 (옥동),"1차 유리제품, 유리섬유 및 광학용 유리 제조업",23121,062-951-8600,062-951-1852,16,2025-09-04
151,(주)그린토크,광주광역시 광산구 진곡산단5번로 66 (진곡동),기타 기계.장비 조립용 플라스틱 제품 제조업,22249,062-716-0995,062-716-0996,3,2025-09-04
152,(주)극동종합금속 ,광주광역시 광산구 용아로 587 (장덕동),그 외 기타 금속가공업  ,25929,062-951-0836,062-951-0834,8,2025-09-04
153,(주)근영산업,"광주광역시 광산구 어등대로 417, 호남대학교창업보육센터 3층 5311호 (서봉동, 호남대학교)",기타 구조용 금속제품 제조업,25119,070-7812-9921,070-7812-9923,2,2025-09-04
154,(주)글로벌오토테크,광주광역시 광산구 평동산단2번로 213 (장록동),그 외 자동차용 신품 부품 제조업  ,30399,062-946-1265,062-946-1266,8,2025-09-04
155,(주)글로벌전자,광주광역시 광산구 진곡산단1번로 30 (오선동),그 외 기타 전자부품 제조업,26299,062-972-4810,,3,2025-09-04
156,(주)금강기건,광주광역시 광산구 하남산단10번로 168 (도천동),운송장비 조립용 플라스틱제품 제조업  ,22241,,,3,2025-09-04
157,(주)금강중공업,광주광역시 광산구 용아로 534-30 (장덕동),구조용 금속 판제품 및 공작물 제조업,25112,062-961-5101,062-961-5100,2,2025-09-04
158,(주)금경테크,광주광역시 광산구 손재로 436-51 (오선동),운송장비 조립용 플라스틱제품 제조업  ,22241,062-951-5442,062-951-5443,28,2025-09-04
159,(주)금덕,광주광역시 광산구 장덕동 977-39 외 1필지,그 외 기타 금속가공업,25929,062-945-8351,062-945-8356,26,2025-09-04
160,(주)금명하이텍,광주광역시 광산구 빛그린동로 33(삼거동),그 외 기타 특수목적용 기계 제조업,29299,062-972-1515,062-974-1266,10,2025-09-04
161,(주)금명하이텍,광주광역시 광산구 삼거동 1402-11,그 외 기타 특수목적용 기계 제조업,29299,062-972-1515,062-974-1266,11,2025-09-04
162,(주)금명하이텍,광주광역시 광산구 삼거동 1402-12,그 외 기타 특수목적용 기계 제조업,29299,062-971-1515,062-971-1266,11,2025-09-04
163,(주)금부테크엘리베이터,"광주광역시 광산구 하남산단6번로 57,  (오선동) 산업동 3층 307호",산업처리공정 제어장비 제조업,27216,062-234-5570,,18,2025-09-04
164,(주)금성유리건업,광주광역시 광산구 상무대로 413-20 (신촌동),안전유리 제조업  ,23112,,062-942-2211,4,2025-09-04
165,(주)금성플레이트,광주광역시 광산구 하남산단1번로 109 (하남동),그 외 기타 1차 철강 제조업  ,24199,062-951-4165,062-951-0087,13,2025-09-04
166,(주)금성플레이트,광주광역시 광산구 하남산단1번로 125 (하남동),그 외 기타 1차 철강 제조업  ,24199,062-959-3401,062-959-3402,14,2025-09-04
167,(주)금속공업,광주광역시 광산구 도천남길 41-30 (도천동),육상 금속 골조 구조재 제조업  ,25113,,,3,2025-09-04
168,(주)금아,광주광역시 광산구 고봉로114번길 5 (하남동),그 외 기타 일반목적용 기계 제조업  ,29199,062-952-2983,062-952-2930,10,2025-09-04
169,(주)금오광통신,"광주광역시 광산구 하남산단6번로 57, (오선동) 산업동 3층 302호",광섬유 케이블 제조업  ,28301,062-974-0128,,8,2025-09-04
170,(주)금정기전,광주광역시 광산구 산월동 858-3번지,배전반 및 전기 자동제어반 제조업  ,28123,062-973-8083,062-973-8087,10,2025-09-04
171,(주)금천산업,"광주광역시 광산구 사암로 501, 중소기업지원상가 A 102호 (장덕동) (총 6 필지) 외 5필지",기기용 자동측정 및 제어장치 제조업,27215,062-959-2020,062-959-2033,3,2025-09-04
172,(주)금포,광주광역시 광산구 풍영정길 65-1(신창동),그 외 기타 봉제의복 제조업,14199,062-954-4888,062-953-4432,3,2025-09-04
173,(주)금하테크,광주광역시 광산구 풍영정길 59 (신창동),방송장비 제조업,26421,,062-443-3300,7,2025-09-04
