 연번 , 업종 ,업체명,소재지,주생산품,종업원수(명),전화번호
56,10301,다옴유통,광주광역시 북구 일곡택지로 50 광주일곡대우아파트 101동 401호,절임배추,1,
57,29250,해창이엔알,광주광역시 광산구 비아로24번길 16  ,"곡물 선별기, 제분용 기계, 베이커리용 오븐 등 제조",1,
58,27192,더단치과기공소,광주광역시 남구 방림로 38-1  ,인공치아,1,
59,10711,꿈사모 모시송편,광주광역시 광산구 광산로77번길 23  A동 101호,송편,1,062-943-9398
60,25111,흥일기업,광주광역시 북구 독립로375번길 9-4  ,"금속창문,셔터",1,
61,25111,준영하이텍,광주광역시 광산구 도산로12번길 11  ,알루미늄 샷시,1,062-942-8760
62,15129,플레인베르,광주광역시 서구 화개중앙로87번길 15 매월동 아델리움&로제비앙 아파트 107동 503호,"트렁크, 안경 케이스 등 제조",1,
63,34019,현테크,광주광역시 동구 의재로86번길 11-8  ,"산업용 보일러, 농업용 기계, 항공기 부품 등 수리",1,
64,28123,우수전기,광주광역시 광산구 수등로 287 신가부영아파트 112동 503호,조립,1,
65,16102,지산뜰문화예술연구소,광주광역시 광산구 왕버들로252번길 46 신창지구도시공사아파트 102동 409호,표면 가공목재 생산,1,
66,23324,아트드림,광주광역시 광산구 왕버들로251번길 27 신창5차호반베르디움 511동 511동 1802호,"타일,기와,벽돌등제조",1,
67,23221,청염,광주광역시 남구 효우로60번길 37 송화마을휴먼시아 203동 204호,도자기판매,1,
68,28122,준영시스템,광주광역시 광산구 신창로161번길 19 신창3차호반베르디움아파트 304동 801호,컨트롤러 제작,1,070-8724-8218
69,13409,송학상사,광주광역시 북구 중가로115번길 14  ,섬유가공,1,062-526-0116
70,14111,옷페라샵(otpera#),광주광역시 동구 남문로 307 월남호반베르디움2차 203동 1703호,남성의류제조,1,062-608-8590
71,27192,이로치과기공소,광주광역시 동구 필문대로165번길 15-8  ,인공치아 제공,1,
72,10759,조선국밥,광주광역시 남구 포충로 7  ,국밥 소매,1,
73,29294,준테크,광주광역시 광산구 목련로 307-11 주공아파트 307동 1506호,금형제작,1,
74,34019,와이티,광주광역시 광산구 풍영로330번길 34 수완 신안실크밸리 105동 2305호,기계장비수리,1,
75,18111,에스엠몰,광주광역시 광산구 첨단중앙로181번길 16 벽산아파트 102동 303호,인쇄업,1,
76,34019,오성건설기계,광주광역시 북구 경양로165번길 3  ,산업용기계수리,1,
77,20202,대산산업,광주광역시 광산구 진곡산단6번로 25-38  ,사출,1,
78,10712,드민베이크샵,광주광역시 북구 서강로54번길 11 롯데캐슬아파트 106동 1603호,빵제조,1,
79,25929,청송테크,광주광역시 북구 서암대로90번길 25  502호,금속 용접가공 처리,1,
80,33910,스마일광고기획,광주광역시 북구 제봉로324번길 21  ,간판,1,062-515-2858
81,10796,함평건강원,광주광역시 서구 상무대로1005번길 10  ,"즙,한약재혼합액상추출",1,062-382-9939
82,25111,한진공업사,광주광역시 동구 지원로6번길 19  ,금속제 창문 새시,1,
83,13221,태훈솜재생,광주광역시 광산구 월곡중앙로47번길 16  ,이불,1,062-952-7414
84,34019,지엠알,광주광역시 광산구 평동로803번안길 93-9  ,장비 수리,1,
85,33910,명진에스디,광주광역시 서구 쌍촌로51번길 16  ,옥외간판제작,4,
86,34019,영화공업,광주광역시 동구 증심천로89번길 16 현대APT 103-802 ,골재선별기수리,1,062-226-0790
87,20422,스테이 인(stay inn`),광주광역시 광산구 월계로118번길 30-9  ,비주공예,1,062-974-2444
88,28422,뷰티라이팅,광주광역시 북구 동문대로456번길 40 호남연수원 101호,"가정용, 사무실용 조명기,전자제품구 제조",1,
89,10794,번영식품,광주광역시 서구 죽봉대로119번길 25  (1층)층 ,도토리묵 제조,1,
90,13999,엄마 뜨게방,광주광역시 동구 운림길 59 광명샤인빌 702호,옷뜨기,1,
91,22249,온테크,광주광역시 광산구 하남대로 248-10 주공아파트 507동 704호 ,고무성형 카트 제조,1,
92,17909,디데이(HARU),광주광역시 서구 상무중앙로 7 상무타워 5층 501호,인터넷 판매,1,
93,10309,아담과일,광주광역시 광산구 임방울대로358번길 20  ,"수제청 제조(레몬청, 생강청)",1,0507-1314-7549
94,22249,건희테크,광주광역시 광산구 비아로62번길 7 중흥아파트 105동 105동 1106호,에어컨부품,1,
95,33120,슈가스토리,광주광역시 광산구 신창로138번길 20  102호,케이크 설탕공예,1,
96,33910,하루비디자인,광주광역시 북구 양산제로 3 한국아파트 102동 1104호,웹디자인.배너제작,1,
97,34019,세경시스템,광주광역시 광산구 와산길 59  ,"산업용 보일러, 농업용 기계, 항공기 부품 등 수리",1,062-385-1200
98,25923,창신산업,광주광역시 광산구 산월로 81 부영이그린1차아파트 1101동 304호,도색,1,
99,18119,JCH경제발전연구원,광주광역시 남구 군분로104번길 5-5  ,보고서 책자,1,
100,34019,광주설비,광주광역시 남구 용대로 177-16 광명샤인빌아파트 1104호,펌프수리,1,062-675-0127
101,15211,로타리 양화점,광주광역시 동구 지원로12번길 5-2  ,장애인구두제작,1,
102,28123,패스트(FAST),광주광역시 광산구 삼암길 43  ,전기BOX,1,
103,25994,씨와이산업,광주광역시 남구 입하1길 10  ,금속표시판제조,1,
104,14199,꼼지락공방,광주광역시 북구 우치로537번길 5 벽산아파트 101동 305호,애견의류 제조,1,
105,33933,샛터표구사,광주광역시 서구 쌍촌로27번길 3-2  ,액자표구 판매,1,
106,16221,세화문집,광주광역시 동구 화산로351번길 14  ,목재 문 제작,1,
107,29120,서니기전,광주광역시 광산구 목련로21번길 20 하남2지구 중흥S-클래스 105동 601호,수배전반제작,1,
108,29120,명선기전,광주광역시 광산구 목련로21번길 20 하남2지구중흥S클래스 105동 601호,수배전반제작,1,
109,15129,우성가방,광주광역시 북구 대천로157번길 56  ,"트렁크, 안경 케이스 등 제조",1,
110,33932,와우캘리,광주광역시 남구 백운로 100 백운휴먼시아 3단지 307동 1006호,갤리(그림)제공,1,
111,28123,수현테크,광주광역시 광산구 사암로340번길 30 영천마을 1006동 2호,배전반 박스설계 제작,1,
112,33120,소브레,광주광역시 북구 양산택지로37번길 62-1 노블랜드 204호,"모조 목걸이, 팔찌, 브로치 등 제조",1,
113,15190,해봉츄,광주광역시 서구 풍암순환로 86 삼능남양아파트 103동 1507호,강아지목줄,1,
114,25119,동남산업,광주광역시 광산구 동곡로 28-239  ,판넬,1,062-269-0365
115,18129,시온프린팅,광주광역시 남구 용대로 131 라인효친아파트 209동 1211호,디자인편집,1,062-652-9700
116,33120,로즈데이드,광주광역시 북구 유림로 175 삼익아파트 114동 1705호,비즈팔찌,1,
117,28302,성주테크,광주광역시 광산구 산정로18번길 8  ,전선케이블제조,1,
118,32029,호남인테리어,광주광역시 북구 경양로 22 평화아파트 1동 1308호,목제가구제조,1,062-941-0653
119,34020,그린씨큐,광주광역시 서구 풍암1로 42 풍암부영2차아파트(신암마을) 203동 2004호,전기.전자 및 정밀 기기 전문 수리,1,
120,34019,성현냉동,광주광역시 서구 죽봉대로147번길 18  ,냉동기설치 수리,1,
121,34019,다인냉동플랜트,광주광역시 북구 일곡택지로 50 광주일곡대우아파트 102동 305호,기타 일반 기계 및 장비 수리업,1,062-511-4887
122,13221,감성패브릭,광주광역시 북구 유림로 175 삼익아파트 105동 2004호,침구류제조,1,
123,33933,풀리(puli),광주광역시 남구 용대로74번길 8 모아엘가아파트 103동 204호,작품제작,1,
124,10791,메누하 MENUHA,광주광역시 남구 광복마을3길 7 진아하이빌아파트 101동 606호,원두커피,1,
125,29120,금산유압솔루션,광주광역시 서구 상무중앙로 57 S클래스 상가 402호,유압기기 제조,1,
126,33932,미스릴,광주광역시 북구 매곡로 37 삼익아파트 101동 1309호,"조형, 모형",1,
127,34019,태율냉동,광주광역시 광산구 소촌로86번길 20-17 대성베르힐 104동 1301호,산업용 냉동냉장기 수리,1,
128,29210,대성농자재,광주광역시 북구 두방길 15-2  ,"경운기, 콤바인 등 제조",1,
129,33401,마이돌핏,광주광역시 광산구 어등대로647번길 32 송광파크맨션 202동 1001호,인형옷 제조업,1,
130,28123,유에프오ENG,광주광역시 북구 양산제로 110 연제주공아파트 107동 203호,배전반 및 전기 자동제어반제조업,1,
131,16292,옵스,광주광역시 북구 송월로20번길 28  ,목재 액자 제조,1,
132,34019,광주냉동산업,광주광역시 북구 첨단연신로 250 첨단휴먼시아 102동 1308호,냉동기기 수리,1,
133,20423,시네라리아,광주광역시 북구 우치로303번길 26-21  ,"향수, 화장품 샴푸, 구강 위생용품 등 제조",1,
134,32021,엔비스퍼니처,광주광역시 남구 군분로94번길 10-1  ,씽크대제작,1,
135,27216,모든시스템,광주광역시 서구 시청로 97 상무중흥S클래스 스카이31오피스텔 1910호,"습도.압력 측정장치, 산업처리 자동조절용 기기 등 제조",1,062-954-0369
136,32021,송정엘지씽크,광주광역시 광산구 상무대로 328-3  ,씽크대제작,1,
137,26529,제이엑스미디어,광주광역시 광산구 월곡중앙로1번길 3  ,"스피커, 이어폰, 확성기 등 제조",1,
138,13222,또바기,광주광역시 북구 임방울대로1041번길 15 용두주공아파트 113동 701호,자수공예품제조,1,
139,29180,대한정밀,광주광역시 광산구 월전로 20 스타빌라 305호,기계 및 장비,1,
140,20499,광주활성탄,광주광역시 서구 화개2로9번길 9-10  303호,"정유 혼합물, 합성 향료 혼합물 등 제조",1,
141,34019,양산에어컨,광주광역시 북구 연양로 43-10 새봄아파트 101동 1311호,"산업용 보일러, 농업용 기계, 항공기 부품 등 수리",1,
142,15129,문슬,광주광역시 서구 상무대로902번길 20-1 신인빌 B동 406호,핸드폰케이스 제작,1,
143,27199,웰젯,광주광역시 광산구 송도로162번길 11-6 호반아파트 203동 603호,재활의료기기생산,1,
144,20424,아네비떼Aneveite,광주광역시 광산구 금봉로 18 소촌2차 라인아파트 208동 801호,방향제,1,
145,20423,다은팜,광주광역시 북구 운암산길 48 운암산대광로제비앙 102동 802호,화장품 제조,1,
146,28111,나스루로NASRULLO,광주광역시 광산구 산정공원로94번길 24 해밀가 403호,제조설치,1,
147,25923,첨단정밀,광주광역시 광산구 창암길 109  ,피막처리,1,
148,29174,시엠,광주광역시 광산구 산정로37번길 8-19  ,"여과기, 공기청정기, 집진지 등 제조",1,062-356-6115
149,33120,로조컴퍼니,광주광역시 남구 구성로20번길 19  301호,악세사리,1,
150,34019,현테크,광주광역시 광산구 월곡로39번길 16  ,"산업용 보일러, 농업용 기계, 항공기 부품 등 수리",1,
151,34019,현대설비,광주광역시 광산구 송정공원로 7  ,산업용기계,1,
152,18111,푸른문화사,광주광역시 북구 북문대로242번길 50 푸른마을주공 2단지아파트 204동 703호,인쇄,1,062-232-3486
153,28123,하나종합환경기계,광주광역시 광산구 임방울대로826번길 60-5  605호,"프로세스제어반,자동제어반",1,062-682-3661
154,23911,진성엔지니어링,광주광역시 서구 마산길 9-7  ,자동차리프트 설치,1,
155,33999,옥이네풍선가게,광주광역시 광산구 선운로 65 선운지구 리버프라임 304동 204호,헬륨풍선,1,
156,10743,승S2NE,광주광역시 서구 마산길 12-1  ,청국장제조,1,070-7675-3737
157,22299,단희,광주광역시 남구 거북언덕길 12  4층 3호,핸드폰케이스 제조,1,
158,26429,엔페이,광주광역시 서구 상무누리로 33 갤러리303 106동 201호,무선통신기계,1,
159,34020,인화통신,광주광역시 북구 양일로 70 연제1차대주피오레 101동 1601호,정밀기기수리업,1,
160,28123,미르테크,광주광역시 광산구 수등로258번길 46 해광샹그릴라 101동 1608호,자동제어시설설치,1,
161,28123,건강나라,광주광역시 광산구 풍영로145번길 18 수완중흥에스클래스3단지아파트 302동 901호,자동제어반제작,1,
162,33992,세영캔들,광주광역시 북구 서암대로 268 광주역 다사로움 101동 1606호,양초재작,1,
163,25924,대호,광주광역시 광산구 사암로340번길 30 영천마을주공아파트 1010동 1503호,절삭 가공,1,062-524-0556
164,17909,실버핑거silverfinger,광주광역시 광산구 비아로 102-10  101호,메모지.스티커,1,
165,16292,보아아트,광주광역시 광산구 침산안길 5-19  ,미니서랍장,1,062-944-0999
166,27193,미미의마법공방,광주광역시 서구 풍암2로 66 금호아파트 204동 101호,플라스택제품판매,1,
167,34019,부광냉동,광주광역시 북구 자라봉로56번길 4  303호,산업용 냉장고 냉동기 수리,1,
168,33910,발해디자인,광주광역시 서구 내방로278번길 7 솔뫼타운 102동 1306호,조감도.이미지출력,1,
169,32019,루아인테리어,광주광역시 동구 필문대로106번길 26  ,내장의자제조,1,
170,32029,덕남목공소,광주광역시 남구 덕남마을길 6-1  ,목제가구제조,1,062-672-9362
171,13221,들꽃노래,광주광역시 북구 두방길 14  ,침구,1,
172,29169,아인시스템,광주광역시 서구 동천로 11 동천마을2단지휴먼시아아파트 209동 704호,"전기함,신규장비개발",1,062-470-1299
173,18121,행운드림,광주광역시 북구 버들로 23  ,"인쇄용 사진 제판, 인쇄용 활판, 동판, 고무판 식각",1,
174,18112,아트씨,광주광역시 서구 죽봉대로147번길 7-6  ,실크스크린,1,
175,34019,천마ENG,광주광역시 광산구 첨단중앙로68번길 131 부영아파트 306동 302호,냉장고,1,062-576-5559
176,33999,플로르페이퍼florpaper,광주광역시 광산구 장신로 306 신창동 대광로제비앙아파트 102동 1803호,케이크토퍼,1,
177,33999,날라리본,광주광역시 광산구 선운중앙로 45 선운지구 모아엘가 104동 903호,인터넷상거래,1,
178,29294,일진테크,광주광역시 광산구 첨단중앙로68번길 99 첨단3-5차호반리젠시빌 326동 101호,가공,1,
179,33120,리본드림RibbonDream,광주광역시 북구 천변우로79번길 25 한국아델리움2차아파트 205동 606호,핸드메이드 악세사리,1,
180,27212,태영테크,광주광역시 광산구 사암로340번길 30  1016동 1501호,제어장치 설계 제작,1,062-961-8741
181,28423,독일공작소바우하우스,광주광역시 북구 서방로 164  3층 ,전기조명장치,1,062-224-2076
182,10711,다올,광주광역시 서구 쌍촌로 44-1  ,떡제조,1,
183,15121,고꼼더홈,광주광역시 남구 군분로71번길 6-4  ,핸드백지갑제조,1,
184,20424,로맨스코드,광주광역시 광산구 사암로 271 일신아파트 105동 1411호,"방향제,캔들제조",1,
185,14130,손더하기,광주광역시 북구 서암대로 66 중흥파크맨션 2동 1010호,한복제작,1,
186,33992,윤맘Yunm,광주광역시 광산구 선운중앙로 45 선운지구 모아엘가 104동 201호,"석고, 캔들",1,
187,16221,솔나무공방,광주광역시 광산구 임곡두동안길 63-8  ,"목재 창문, 목재 문틀 등 관련제품 제조",1,062-951-6389
188,10711,도덕떡방앗간,광주광역시 광산구 삼도로 354  ,떡,1,062-943-0021
189,18122,주식회사 국제사,광주광역시 동구 문화전당로23번길 8-1  ,"도서제본, 도서제책 인쇄물 제본, 인쇄물 제책",2,062-226-9357
190,18111,정명인디고,광주광역시 동구 천변우로 439 덕인빌딩 ,인쇄.복사,9,062-675-5596
191,10794,즉석두부사랑,광주광역시 동구 증심천로 25  ,두부생산,2,
192,10796,삼보가공소,광주광역시 동구 중흥로 240  ,건강보조용액화식품제조,1,
193,18111,창조사,"광주광역시 동구 백서로125번길 21-2 ,98-3 ",마스터인쇄,3,062-232-8938
194,18122,책과생활,광주광역시 동구 제봉로 100-1  ,도서제본 도서제책,3,070-8639-9231
195,18111,해양인쇄사,광주광역시 동구 백서로137번길 13-1  ,광고물전단지,1,062-225-0345
196,10791,털보의커피놀이터부설연구소,광주광역시 동구 동계천로 180  3층 ,커피 개발 ,2,062-233-2228
197,16221,담양목공소,광주광역시 동구 서암대로 314-1  ,목재창문창틀등 제조,1,062-512-9881
198,10711,제일떡집,광주광역시 동구 경양로 334  ,가래떡 백설기제조 ,3,062-223-2369
199,18111,진성인쇄 라미네이팅,광주광역시 동구 문화전당로23번길 27  ,광고물.전단지마스터인쇄,1,062-233-3203
200,25999,필승광고사,광주광역시 동구 서남로 6  ,금속제 틀제작,1,062-222-6957
201,18111,향림문화사,광주광역시 동구 백서로125번길 22  ,마스터인쇄,2,062-223-5564
202,15129,그린가방,광주광역시 동구 독립로 372  ,"트렁크, 안경 케이스 등 제조",1,062-512-3726
203,20411,한국 촉매 기술원 주식회사,광주광역시 동구 중흥로 195  ,페인트락카,2,070-7523-4602
204,18121,하나인디고,광주광역시 동구 문화전당로23번길 5-16  ,오브셋인쇄판,11,062-222-9942
205,16221,현우문집,광주광역시 동구 경양로 320  ,"목재 창문, 목재 문틀 등 관련제품 제조",1,
206,33910,콤마,광주광역시 동구 무등로 447  ,"현수막,간판제작및 설치",1,
207,14112,드레스디바,광주광역시 동구 필문대로 148  ,연주드레스,1,
208,18111,(주)프린트시티 광주점,광주광역시 동구 백서로125번길 20-1  ,명함 경인쇄,23,062-236-2788
209,17129,하늘디자인,광주광역시 동구 문화전당로 9 성민디지털 1호,박스제작,1,
210,18129,정밀재단,광주광역시 동구 문화전당로23번길 5  ,인쇄물재단서비스,1,062-225-3386
211,33933,미담,광주광역시 동구 동계천로 85  ,표구,1,062-228-8500
212,18129,하임북,광주광역시 동구 천변우로 439  4층 ,인쇄,11,062-375-0505
213,18119,대한인쇄,광주광역시 동구 백서로 121-1  ,인쇄,3,062-222-8881
214,18111,성보인쇄,광주광역시 동구 백서로125번길 10  ,경인쇄,2,062-226-5933
215,14130,천일한복,광주광역시 동구 제봉로17번길 14-3  105호,한복 제조,1,
216,18111,금성정보출판사,광주광역시 동구 문화전당로 35-1  ,"프린트, 마스터 제판 인쇄",2,062-223-1323
217,18111,주식회사 우리출력,광주광역시 동구 백서로137번길 23-1  ,마스터 제판 인쇄,3,062-224-5174
218,14192,백의까운사,광주광역시 동구 문화전당로 33  ,"근무복, 작업복제조",2,062-222-3620
219,14111,가온비스포크,광주광역시 동구 동명로20번길 4  ,남자양복제조 ,3,
220,10711,영성방앗간,광주광역시 동구 경양로223번길 18-19  ,가래떡 백설기제조 ,2,062-223-2578
221,25111,모던공사,광주광역시 동구 동계로15번길 17  ,"샷시,조립식판넬",1,
222,15121,아이필엔,광주광역시 동구 무등로321번길 9  ,가방,1,
223,10619,튀밥집,광주광역시 동구 경양로 386-1  ,"쌀,곡물 튀밥 ",2,
224,18111,지상낙원,광주광역시 동구 백서로125번길 20-1  ,양식 광고지,1,
225,18111,글빛문화원,광주광역시 동구 문화전당로 15 호암빌딩 ,"명함,리플렛",1,
226,18122,형제인쇄출판사,광주광역시 동구 백서로137번길 8  1층층 ,"도서제본,제책",4,062-227-4171
227,18111,정음,광주광역시 동구 백서로125번길 12-3  ,광고 전단지마스터인쇄,1,062-232-4868
228,18111,디자인충전소,광주광역시 동구 문화전당로23번길 3-1  ,카달로그인쇄,1,062-228-6100
229,18111,도서출판 예원,광주광역시 동구 문화전당로 15 호암 3층 ,인쇄,1,062-222-7848
230,13221,그린라이프,광주광역시 동구 의재로 231  202호,침대커버,5,062-367-1877
231,26299,주식회사 원인터내셔널 광주아이플랙스점,광주광역시 동구 동계천로 150 I-PLEX 광주 109호,기타 전자 부품 제조(전자접속자),7,062-222-0112
232,10302,정가네총각반찬,광주광역시 동구 경양로 234  118동 710호,"즉석식품(반찬,도시락)",1,
233,11209,원조두유,광주광역시 동구 무등로 513-2  ,두유제조,3,062-263-2690
234,10301,김치야,광주광역시 동구 무등로375번길 28  ,배추김치  제조,4,062-465-4748
235,20121,아주산소（주）,광주광역시 남구 송암로58번길 46  ,"액체산소, 액체질소 액체가스주입, 기화처리",13,062-674-2684
236,33910,가온애드테크,광주광역시 남구 서동로 36  ,간판및광고물,5,062-654-0488
237,10711,복떡집,광주광역시 동구 필문대로192번길 16-2  ,송편인절미 제조.판매,1,062-223-9982
238,10796,약초랑즙이랑,광주광역시 동구 필문대로 135  ,"붕어즙,배즙",1,062-268-0048
239,16221,남도목공소,광주광역시 동구 경양로 315  ,목재창문 목재창틀 제조 ,1,
240,10759,식사준비 효천지구점,광주광역시 남구 효천2로가길 7  101호,밀키트제조,2,062-676-8228
241,33932,송원모션즈,광주광역시 남구 송암로 73 송원관 N동 1층 ,건축모형제조,2,
242,27192,라인아치 치과기공소,광주광역시 남구 용대로 193-1  ,"보청기, 의치, 부목 등 제조",2,
243,13221,이불나라,광주광역시 남구 월산로52번길 3  ,"침구류, 식탁용린넨류  제품 제조",1,062-368-2671
244,10402,형제식품,광주광역시 남구 중앙로 27  ,조유를 제공,1,
245,33910,범우디자인,광주광역시 남구 덕림길 4  ,광고물제작,1,
246,10796,모두가건강원,광주광역시 남구 회재로1218번길 10  ,"과일즙,붕어즙",1,
247,25111,대흥출도기업,광주광역시 남구 회재로1230번길 10  ,금속제의 문 및 관련 금속제품 제조,1,
248,10612,효자제분소,광주광역시 남구 서문대로 768 라인가든아파트 2동 ,콩가루,1,
249,32029,조희옥 도예공방,광주광역시 남구 봉선1로37번길 2  ,가정용목재제조,1,
250,10796,우승건강원,광주광역시 남구 천변좌로 522-2  ,과일즙,1,062-673-4997
251,33910,두리종합광고,광주광역시 남구 덕림중앙길 17  ,현수막및간판제작,3,
252,10796,무등 가시오가피,광주광역시 남구 서동로 41-1  ,오가피즙 판매,1,062-367-0188
253,18111,삼호피엘,광주광역시 남구 백양로 49  B동 ,"프린트, 마스터 제판 인쇄",3,062-672-0841
254,22232,마블코퍼레이션 주식회사,광주광역시 광산구 평동공단산정로 12  ,수산물운반용기,3,062-941-0036
255,25944,(주)현대철망,광주광역시 광산구 동곡로 386  ,"철망제품, 금속 케이블 등 제조",5,062-943-5604
256,25111,더 프리머,광주광역시 광산구 평동산단로 30  ,"금속 문, 창, 셔터 및 관련제품 제조업",1,
257,32091,주식회사 풍년이앤지,광주광역시 광산구 평동산단2번로 31-2  ,"금속가구, 캐비닛, 침대 등 제조",8,062-944-5567
258,25934,엠피케이정공(유),광주광역시 광산구 평동로 845  ,"스틸, 주물 절단.절곡, 소재발주.성형",23,062-953-1411
259,30320,(주)푸름,광주광역시 광산구 평동로803번길 162  ,"고무 원자재입고, 재단",10,
