회사명,대표자,소재지,업체전화번호,업체팩스번호,업종,종업원 합계,남자종업원,여자종업원,외국인종업원,관리기관명,전화번호
㈜민성테크,강윤환,방어진 순환도로 100(방어동),052-209-6175,052-0504-487-3941,선박구성 부분품 제조업,55,37,2,16,울산광역시 동구 노사외국인지원과,052-209-4566
㈜대영전력,전영길,방어진 순환도로 100(방어동),052-250-6937,052-235-6937,선박구성 부분품 제조업,69,53,2,14,울산광역시 동구 노사외국인지원과,052-209-4566
현대애드월드,김병철,바드레길 12(전하동),052-234-2957,052-234-2956,간판및 광고물 제조업,2,1,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
정진ENG,심상길,방어진순환도로 100(방어동),052-250-6946,052-232-7586,선박구성 부분품 제조업,73,46,5,22,울산광역시 동구 노사외국인지원과,052-209-4566
세영산업,유태균,방어진순환도로 100(방어동),052-250-1650,052-251-1650,선박구성 부분품 제조업,95,44,3,48,울산광역시 동구 노사외국인지원과,052-209-4566
㈜인화엔지니어링,남광희,방어진순환도로 100(방어동),052-250-6944,052-201-6235,선박구성 부분품 제조업,62,43,5,14,울산광역시 동구 노사외국인지원과,052-209-4566
태경기업㈜,임영남,방어진순환도로 100(방어동),052-209-6109,052-0508-946-9608,선박구성 부분품 제조업,48,29,4,15,울산광역시 동구 노사외국인지원과,052-209-4566
가온산업,나상호,방어진순환도로 100(방어동),052-250-6955,052-252-5560,선박구성 부분품 제조업,80,47,1,32,울산광역시 동구 노사외국인지원과,052-209-4566
㈜태현,홍현태,방어진순환도로 100(방어동),052-203-1942,052-236-1825,선박구성 부분품 제조업,150,89,10,51,울산광역시 동구 노사외국인지원과,052-209-4566
㈜신현,김기홍,방어진순환도로 100(방어동),052-250-1957,052-234-3424,선박구성 부분품 제조업,85,55,2,28,울산광역시 동구 노사외국인지원과,052-209-4566
㈜일영기업,김용회,방어진순환도로 100(방어동),052-250-6984,052-201-6984,선박구성 부분품 제조업,50,13,22,15,울산광역시 동구 노사외국인지원과,052-209-4566
비앤에스테크,임재덕,방어진순환도로 100(방어동),052-250-6919,052-252-1362,선박구성 부분품 제조업,31,28,3,0,울산광역시 동구 노사외국인지원과,052-209-4566
지산엔지니어링,배덕원,방어진순환도로 663 103호,052-201-0283,052-234-0283,선박구성 부분품 제조업,1,1,0,0,울산광역시 동구 노사외국인지원과,052-209-4566
태경선박,하재섭,방어진순환도로 100(방어동),052-252-6966,052-252-7803,선박구성 부분품 제조업,75,40,5,30,울산광역시 동구 노사외국인지원과,052-209-4566
㈜영창테크,김성곤,방어진순환도로 100(방어동),052-250-6932,052-235-2997,선박구성 부분품 제조업,58,37,5,16,울산광역시 동구 노사외국인지원과,052-209-4566
㈜수원기업,조수원,방어진순환도로 100(방어동),052-250-6922,052-251-0701,선박구성 부분품 제조업,84,61,4,17,울산광역시 동구 노사외국인지원과,052-209-4566
(주)번영이엔지,김영균,방어진순환도로 100(방어동),052-250-6960,052-201-0407,선박구성 부분품 제조업,56,24,10,22,울산광역시 동구 노사외국인지원과,052-209-4566
금양기업㈜,정재수,방어진순환도로 100(방어동),052-250-6948,052-232-3887,선박구성 부분품 제조업,81,41,20,30,울산광역시 동구 노사외국인지원과,052-209-4566
㈜동아산업,윤근식,방어진순환도로 100(방어동),052-250-6924,052-252-2887,선박구성 부분품 제조업,97,54,13,30,울산광역시 동구 노사외국인지원과,052-209-4566
청원이엔티,정재욱,방어진순환도로 100(방어동),052-252-6822,052-252-6824,선박구성 부분품 제조업,50,25,5,20,울산광역시 동구 노사외국인지원과,052-209-4566
세화이엔지,김종복,방어진순환도로 100(방어동),052-202-7380,052-201-7888,절삭가공및 유사처리업제조업,58,16,10,32,울산광역시 동구 노사외국인지원과,052-209-4566
㈜정운산업,최순철,방어진순환도로 1000(전하동),052-202-4827,052-252-7179,선박구성 부분품 제조업,50,36,3,11,울산광역시 동구 노사외국인지원과,052-209-4566
지테크,김명구,방어진순환도로 1000(전하동),052-202-7389,052-201-7087,선박구성 부분품 제조업,91,60,11,20,울산광역시 동구 노사외국인지원과,052-209-4566
덴코㈜,김문식,방어진순환도로 1000(전하동),052-232-9797,052-251-4377,기타선박건조업,40,29,3,8,울산광역시 동구 노사외국인지원과,052-209-4566
건영 ENG,조연택,방어진순환도로 1000(전하동),052-202-4799,052-251-5150,기타선박건조업,73,60,3,10,울산광역시 동구 노사외국인지원과,052-209-4566
㈜만석,조만길,방어진순환도로 1000(전하동),052-203-1840,052-233-9121,기타선박건조업,90,53,3,34,울산광역시 동구 노사외국인지원과,052-209-4566
유하 CNP,김병기,방어진순환도로 1000(전하동),052-202-7376,052-235-2481,기타선박건조업,73,15,20,38,울산광역시 동구 노사외국인지원과,052-209-4566
대상기업,강유선,방어진순환도로 1000(전하동),052-203-4430,052-233-2640,기타선박건조업,50,34,1,15,울산광역시 동구 노사외국인지원과,052-209-4566
안진테크,박상복,방어진순환도로 1000(전하동),052-250-6925,052-209-2434,선박구성부분품제조업,87,39,4,44,울산광역시 동구 노사외국인지원과,052-209-4566
㈜주원기업,김동선,방어진순환도로 1000(전하동),052-250-6921,052-251-4678,선박구성부분품제조업,110,65,10,35,울산광역시 동구 노사외국인지원과,052-209-4566
㈜성후,맹인영,방어진순환도로 100(방어동),052-250-6964,052-201-6787,선박구성부분품제조업,80,36,4,40,울산광역시 동구 노사외국인지원과,052-209-4566
영품기공,이영일,방어진순환도로 1000(전하동),052-201-3418,052-234-1312,기타선박건조업,90,77,1,12,울산광역시 동구 노사외국인지원과,052-209-4566
동광씽크,박재석,대송로 142(화정동),052-251-9989,052-251-1008,주방용및 음식점용 목재가구 제조업,1,1,0,0,울산광역시 동구 노사외국인지원과,052-209-4566
㈜두영산업,전학철,방어진순환도로 1000(전하동),052-202-4350,052-236-5114,기타선박건조업,130,108,8,14,울산광역시 동구 노사외국인지원과,052-209-4566
인영테크,고민석,방어진순환도로 1000(전하동),052-251-3363,052-251-3364,기타선박건조업,109,73,5,31,울산광역시 동구 노사외국인지원과,052-209-4566
나드마린㈜,신건수,방어진순환도로 1000(전하동),052-202-5060,052-251-5060,선박구성부분품제조업,96,83,3,10,울산광역시 동구 노사외국인지원과,052-209-4566
금영산업,최영태,방어진순환도로 1000(전하동),052-203-6978,052-236-2387,선박구성부분품제조업,101,56,10,35,울산광역시 동구 노사외국인지원과,052-209-4566
시온산업,박춘길,방어진순환도로 1000(전하동),052-202-4190,052-209-2111,선박구성부분품제조업,125,65,20,40,울산광역시 동구 노사외국인지원과,052-209-4566
동천ENG,김상빈,방어진순환도로 1000(전하동),052-202-6315,052-233-2365,선박구성부분품제조업,72,44,11,17,울산광역시 동구 노사외국인지원과,052-209-4566
㈜혜성산업,전경원,방어진순환도로 1000(전하동),052-202-4286,052-236-5006,기타선박건조업,46,25,5,16,울산광역시 동구 노사외국인지원과,052-209-4566
㈜유진이엔지,최승민,방어진순환도로 1000(전하동),052-203-2492,052-236-9994,기타선박건조업,102,77,4,21,울산광역시 동구 노사외국인지원과,052-209-4566
명신ENG,김주호,방어진순환도로 1000(전하동),052-202-7377,052-234-5053,선박구성부분품제조업,94,52,4,38,울산광역시 동구 노사외국인지원과,052-209-4566
선진기업,김진국,방어진순환도로 1000(전하동),052-203-4407,052-232-4229,선박구성부분품제조업,90,56,8,26,울산광역시 동구 노사외국인지원과,052-209-4566
(주)창민기업,정종민,방어진순환도로 1000(전하동),052-202-3164,052-232-4568,선박구성부분품제조업,119,85,14,20,울산광역시 동구 노사외국인지원과,052-209-4566
세인이엔지㈜,문용석,방어진순환도로 1000(전하동),052-202-0990,052-235-1181,기타선박건조업,70,60,4,6,울산광역시 동구 노사외국인지원과,052-209-4566
㈜미주이엔지,곽광섭,방어진순환도로100(방어동),052-250-6972,052-232-2102,선박구성부분품제조업,83,35,14,34,울산광역시 동구 노사외국인지원과,052-209-4566
㈜아이엔유,김남익,방어진순환도로 1000(전하동),052-202-6445,,기타선박건조업,2,1,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
㈜제이엔제이테크,김준배,방어진순환도로 1000(전하동),052-202-5972,052-235-9752,기타선박건조업,115,75,10,30,울산광역시 동구 노사외국인지원과,052-209-4566
경덕테크,우종은,방어진순환도로 1000(전하동),052-203-2679,052-236-5190,기타선박건조업,60,56,4,0,울산광역시 동구 노사외국인지원과,052-209-4566
㈜대연테크,진인탁,방어진순환도로 1000(전하동),052-203-3036,052-233-6400,기타선박건조업,62,61,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
지원이엔지,최원일,방어진순환도로 1000(전하동),052-203-3040,052-235-4219,기타선박건조업,60,58,1,1,울산광역시 동구 노사외국인지원과,052-209-4566
모던설비㈜,최낙범,방어진순환도로 1000(전하동),052-203-2773,052-234-8494,기타선박건조업,45,44,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
진우산업,변유선,방어진순환도로 1000(전하동),052-202-9838,052-202-2999,기타선박건조업,41,32,2,7,울산광역시 동구 노사외국인지원과,052-209-4566
해인기업㈜,조해현,방어진순환도로 1000(전하동),052-203-9245,052-236-3131,기타선박건조업,160,109,15,36,울산광역시 동구 노사외국인지원과,052-209-4566
㈜세민기업,손용준,방어진순환도로 1000(전하동),052-202-4996,052-201-4996,기타선박건조업,78,52,6,20,울산광역시 동구 노사외국인지원과,052-209-4566
㈜서호기업,문선권,방어진순환도로 1000(전하동),052-203-2433,052-209-1611,기타선박건조업,88,42,12,34,울산광역시 동구 노사외국인지원과,052-209-4566
금농산업,배진근,방어진순환도로 1000(전하동),052-202-0499,052-233-9313,기타선박건조업,82,57,25,0,울산광역시 동구 노사외국인지원과,052-209-4566
㈜대선이엔지,김선일,방어진순환도로 1000(전하동),052-203-4466,052-233-4666,기타선박건조업,94,45,10,39,울산광역시 동구 노사외국인지원과,052-209-4566
㈜해림,장세곤,방어진순환도로 1000(전하동),052-202-4873,052-232-4028,기타선박건조업,90,60,3,27,울산광역시 동구 노사외국인지원과,052-209-4566
한국무브넥스㈜1공장,이현덕,미포1길2(동부동),052-250-5051,052-235-8548,트레일러제조업,200,200,0,0,울산광역시 동구 노사외국인지원과,052-209-4566
한국무브넥스㈜3공장,이현덕,방어진순환도로1100(동부동),052-250-5051,052-235-8548,트레일러제조업,199,199,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
대흥공업,김정대,꽃바위로 372(방어동),052-250-7070,,"금속문, 창, 셔터및 관련제품 제조업",1,1,0,0,울산광역시 동구 노사외국인지원과,052-209-4566
해림기업,황성욱,방어진순환도로100(방어동),052-250-6977,052-252-0330,강성건조업,60,24,10,26,울산광역시 동구 노사외국인지원과,052-209-4566
엔에스산업,김창익,방어진순환도로100(방어동),052-250-6938,052-233-6938,강성건조업,67,45,2,20,울산광역시 동구 노사외국인지원과,052-209-4566
㈜한솔선박,윤병용,방어진순환도로100(방어동),052-250-6993,052-251-3677,강선건조업,70,23,5,42,울산광역시 동구 노사외국인지원과,052-209-4566
노아이앤티㈜,김세완,방어진순환도로100(방어동),052-250-6935,052-236-9801,강선건조업,50,41,1,8,울산광역시 동구 노사외국인지원과,052-209-4566
㈜성원엔지니어링,백오현,방어진순환도로1000(전하동),052-202-9003,052-235-7109,선박구성부분품제조업,95,45,25,25,울산광역시 동구 노사외국인지원과,052-209-4566
㈜일안,이겨레,방어진순환도로100(방어동),052-250-6952,052-234-6900,강성건조업,49,13,1,35,울산광역시 동구 노사외국인지원과,052-209-4566
㈜장진,신동,방어진순환도로100(방어동),052-209-5160,052-238-5426,강성건조업,120,66,9,45,울산광역시 동구 노사외국인지원과,052-209-4566
㈜석영,이경탁,방어진순환도로100(방어동),052-236-0701,052-236-0702,강성건조업,57,16,20,21,울산광역시 동구 노사외국인지원과,052-209-4566
㈜현승도크야드,이종만,방어진순환도로100(방어동),052-250-6936,052-236-4752,강선건조업,55,30,5,20,울산광역시 동구 노사외국인지원과,052-209-4566
대성티에스㈜,최재규,방어진순환도로1000(전하동),052-203-3039,052-233-8810,강선건조업,71,57,1,13,울산광역시 동구 노사외국인지원과,052-209-4566
성윤이엔지,김칠호,방어진순환도로1000(전하동),052-202-5976,052-235-3475,강선건조업,102,42,15,45,울산광역시 동구 노사외국인지원과,052-209-4566
청우물류,황원철,방어진순환도로1000(전하동),052-203-2792,052-236-9491,"기타소사장제조업,강선건조업",60,56,4,0,울산광역시 동구 노사외국인지원과,052-209-4566
㈜신아,조민석,방어진순환도로1000(전하동),052-203-4437,052-233-1201,강선건조업,110,55,15,40,울산광역시 동구 노사외국인지원과,052-209-4566
㈜영신이엔지,박성운,방어진순환도로1000(전하동),052-203-8539,052-201-8539,선박임가공업,120,88,6,26,울산광역시 동구 노사외국인지원과,052-209-4566
티엠,문용석,방어진순환도로1000(전하동),052-201-1644,052-201-1645,기타선박건조업,102,72,5,25,울산광역시 동구 노사외국인지원과,052-209-4566
㈜지우산업,송혁명,방어진순환도로1000(전하동),052-202-9817,052-252-9902,기타선박건조업,100,45,10,45,울산광역시 동구 노사외국인지원과,052-209-4566
㈜건명기업,강형규,방어진순환도로1000(전하동),052-202-0423,052-201-5799,선박구성부분품제조업,124,109,5,10,울산광역시 동구 노사외국인지원과,052-209-4566
다온산업,최인석,방어진순환도로1000(전하동),052-202-6944,052-235-1107,기타선박건조업,144,99,7,38,울산광역시 동구 노사외국인지원과,052-209-4566
㈜승리이엔지,배영철,방어진순환도로1000(전하동),052-202-4606,052-232-7967,기타선박건조업,120,80,11,29,울산광역시 동구 노사외국인지원과,052-209-4566
효진기업,이기봉,방어진순환도로1000(전하동),052-203-3037,052-201-0099,기타선박건조업,58,57,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
금원,유상근,방어진순환도로1000(전하동),052-202-6794,052-251-7670,기타선박건조업,116,42,14,60,울산광역시 동구 노사외국인지원과,052-209-4566
㈜드림공조서비스,전병이,방어진순환도로1000(전하동),052-203-2776,052-201-7153,산업용냉장및 냉동장비제조업,30,29,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
㈜영인,권오인,고늘로 77(일산동),052-203-2413,052-236-5454,차체및 특장차제조업,87,82,5,0,울산광역시 동구 노사외국인지원과,052-209-4566
㈜성우하이텍,손용기,방어진순환도로 700(일산동),052-202-9193,052-233-5277,변압기제조업,97,82,15,0,울산광역시 동구 노사외국인지원과,052-209-4566
도우ENG,김규영,방어진순환도로 700(일산동),052-203-4481,052-234-6740,변압기제조업,19,19,0,0,울산광역시 동구 노사외국인지원과,052-209-4566
아마존㈜,윤재필,남목 15길 21-8(동부동),052-234-0674,,그외 기타 분류안된금속가공 제품 제조업,1,1,0,0,울산광역시 동구 노사외국인지원과,052-209-4566
성원공사,임춘환,남목 19길 16(동부동),,052-900-5706,그외 기타 분류안된금속가공 제품 제조업,1,1,0,0,울산광역시 동구 노사외국인지원과,052-209-4566
㈜대륜이엔지,손병윤,방어진순환도로 1000(전하동),052-203-4409,052-252-9664,강선건조업,150,126,5,19,울산광역시 동구 노사외국인지원과,052-209-4566
㈜지원산업,이민재,방어진순환도로 1000(전하동),052-203-4490,052-233-2045,강선건조업,72,47,3,22,울산광역시 동구 노사외국인지원과,052-209-4566
금산ENG,박진규,방어진순환도로 1000(전하동),052-203-2456,052-252-7319,기타선박건조업,65,53,7,5,울산광역시 동구 노사외국인지원과,052-209-4566
㈜호성이엔지,박주성,방어진순환도로 1000(전하동),052-202-3970,052-233-0914,기타선박건조업,81,64,2,15,울산광역시 동구 노사외국인지원과,052-209-4566
현영기업,전병열,방어진순환도로 1000(전하동),052-202-7371,052-251-2296,선박구성부분품제조업,92,44,8,40,울산광역시 동구 노사외국인지원과,052-209-4566
영광씽크(공장)산업,김난용,옥류로 43-9(동부동),052-232-7715,052-233-1884,주방용및 음식점용 목재가구 제조업,1,1,0,0,울산광역시 동구 노사외국인지원과,052-209-4566
단비종합기술,하영대,방어진순환도로 1000(전하동),052-203-2992,052-233-2011,기타선박건조업,42,41,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
보승기업,주재필,방어진순환도로 1000(전하동),052-202-4326,,기타선박건조업,81,59,1,21,울산광역시 동구 노사외국인지원과,052-209-4566
㈜영진,이종철,방어진순환도로 1000(전하동),052-252-7734,052-252-7735,기타선박건조업,81,59,1,21,울산광역시 동구 노사외국인지원과,052-209-4566
㈜선미산업,권윤진,방어진순환도로 1000(전하동),052-203-2448,052-209-2140,선박구성부분품제조업,120,83,6,31,울산광역시 동구 노사외국인지원과,052-209-4566
김예숙한복,김예숙,진성14길77(전하동),052-251-5553,,한복제조업,1,1,0,0,울산광역시 동구 노사외국인지원과,052-209-4566
유니크교복,김유도,학문로39(일산동),052-233-8097,,"근무복,작업복및유사의복제조업",1,1,0,0,울산광역시 동구 노사외국인지원과,052-209-4566
대전마크사,정병수,방어진순환도로65(전하동),052-232-6036,052-236-7882,그외 기타 의복 액세사리제조업,1,1,0,0,울산광역시 동구 노사외국인지원과,052-209-4566
신용사,최진관,월봉1가길27(방어동),052-710-3188,052-710-3189,기타 인쇄업,2,1,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
고려통상,김명숙,동진3길18(방어동),052-252-6787,,인쇄 및 기록매체 복제업,2,1,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
현대인쇄사,최재경,방어진순환도로576,052-232-9898,052-235-9898,인쇄 및 기록 매체 복제업,1,1,0,0,울산광역시 동구 노사외국인지원과,052-209-4566
마루이엔지,진광현,방어진순환도로100(방어동),052-209-6110,052-234-0399,선박구성부분품제조업,55,36,6,13,울산광역시 동구 노사외국인지원과,052-209-4566
패밀리치과기공소,손문일,방어진순환도로787(전하동),,,정형외과용및신체보정용기기제조업,1,1,0,0,울산광역시 동구 노사외국인지원과,052-209-4566
진희치과기공㈜,홍영호,방어진순환도로745,052-201-8244,052-201-8211,정형외과용및신체보정용기기제조업,5,1,4,0,울산광역시 동구 노사외국인지원과,052-209-4566
㈜조영엠텍,김준학 ,방어진순환도로1000(전하동),052-202-6952,052-209-2023,전동기발전기조립제조업,74,42,30,2,울산광역시 동구 노사외국인지원과,052-209-4566
대도ENG,서재도,방어진순환도로700(일산동),052-203-0754,052-209-1622,변압기제조업,85,75,10,0,울산광역시 동구 노사외국인지원과,052-209-4566
(주)엠씨하이텍,조열,방어진순환도로700(일산동),052-202-8689,052-201-6864,변압기제조업,100,72,9,19,울산광역시 동구 노사외국인지원과,052-209-4566
㈜대호기공,하상현,방어진순환도로100(방어동),052-250-6945,052-201-6660,강성건조업,85,61,6,18,울산광역시 동구 노사외국인지원과,052-209-4566
재성씨에스㈜,최재호,방어진순환도로1000(전하동),052-202-9903,052-252-0511,선박구성부분품제조업,125,87,17,21,울산광역시 동구 노사외국인지원과,052-209-4566
우승기업,김영표,방어진순환도로100(방어동),052-250-6923,052-252-5401,선박구성부분품제조업,65,51,3,11,울산광역시 동구 노사외국인지원과,052-209-4566
대진ENG,이근목,방어진순환도로1000(전하동),052-232-5222,052-232-5221,선박구성부분품제조업,80,50,5,25,울산광역시 동구 노사외국인지원과,052-209-4566
선진기업,김진국,방어진순환도로1000(전하동),052-203-4407,052-232-4229,선박구성부분품제조업,90,56,8,26,울산광역시 동구 노사외국인지원과,052-209-4566
명신테일러,함병태,방어진순환도로 619(일산동),052-232-7558,052-700-7558,"근무복,작업복및유사의복제조업",1,1,0,0,울산광역시 동구 노사외국인지원과,052-209-4566
피닉스교복사,강명원,미포1길 18(방어동),052-251-5401,,"근무복,작업복및유사의복제조업",1,1,0,0,울산광역시 동구 노사외국인지원과,052-209-4566
㈜조영기업,오우식,방어진순환도로 100(방어동),052-250-6903,052-201-5135,기타선박건조업,62,37,1,24,울산광역시 동구 노사외국인지원과,052-209-4566
성원공구,임세계,등대로 3(화정동),052-251-1987,052-235-6533,일반철물제조업,1,1,0,0,울산광역시 동구 노사외국인지원과,052-209-4566
대원철물,김남호,꽃바위로 343(방어동),052-233-5676,,일반철물제조업,2,1,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
부민열쇠,김민균,대송로 90(화정동),052-201-1313,052-252-0909,일반철물제조업,1,1,0,0,울산광역시 동구 노사외국인지원과,052-209-4566
방어진열쇠,김병수,대송7길 26(대송동),052-236-1313,,일반철물제조업,1,1,0,0,울산광역시 동구 노사외국인지원과,052-209-4566
동구 열쇠 전문점,김인수,녹수길 75(전하동),052-252-8211,,일반철물제조업,1,1,0,0,울산광역시 동구 노사외국인지원과,052-209-4566
중앙열쇠,강은준,진성 14길 77(전하동),052-251-4690,,일반철물제조업,2,1,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
현대열쇠 만물,이삼숙,방어진순환도로 925(서부동),052-234-7262,052-234-0067,일반철물제조업,1,1,0,0,울산광역시 동구 노사외국인지원과,052-209-4566
삼성씽크공장,오재동,문재로 13(방어동),,,주방용및 음식점용 목재가구 제조업,1,1,0,0,울산광역시 동구 노사외국인지원과,052-209-4566
아이투비,장정인,봉수로 100(화정동),052-234-0988,,인쇄및기록매체복제업,2,2,0,0,울산광역시 동구 노사외국인지원과,052-209-4566
제일인쇄기획,류성렬,봉수로 98(화정동),052-233-7007,,인쇄및기록매체복제업,2,1,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
현대인장부,신현상,방어진순환도로 859(전하동),052-235-3696,052-233-3696,인쇄및기록매체복제업,3,1,2,0,울산광역시 동구 노사외국인지원과,052-209-4566
태산도장인쇄,김익수,방어진순환도로 855(전하동),052-236-6991,052-236-6992,인쇄및기록매체복제업,1,1,0,0,울산광역시 동구 노사외국인지원과,052-209-4566
전하열쇠,김순규,진성 14길(전하동),052-236-8918,,일반철물제조업,1,1,0,0,울산광역시 동구 노사외국인지원과,052-209-4566
대학복사,김신희,봉수로 106(화정동),052-252-0252,052-252-0252,인쇄및기록매체복제업,1,1,0,0,울산광역시 동구 노사외국인지원과,052-209-4566
HD현대건설기계㈜,최철곤,고늘로 77(일산동),052-203-0445,052-202-8700,차체및 특장차제조업,1398,1291,107,0,울산광역시 동구 노사외국인지원과,052-209-4566
㈜서문,김준호,방어진순환도로 1000(전하동),052-202-4170,052-201-9209,선박구성부분품제조업,104,52,12,40,울산광역시 동구 노사외국인지원과,052-209-4566
정안에엔지,백승우,방어진순환도로 1000(전하동),052-203-2791,052-232-1344,기타선박건조업,57,56,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
전하인쇄사,배용준,진성10길 22(전하동),052-233-4555,052-235-5008,인쇄및기록매체복제업,2,1,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
대성유리,박후선,양지4길 9(화정동),052-251-8987,,가정용 유리제품 제조업,1,1,0,0,울산광역시 동구 노사외국인지원과,052-209-4566
