회사명,전화번호,팩스번호,공장대표주소,업종명
(주)남부산업,052-269-6003,052-269-6002,"울산광역시 울주군 웅촌면 고연로 183-7, (고연리 357) 외 1필지",그 외 기타 금속가공업
(주)남양케미칼,052-254-1559,052-264-1470,울산광역시 울주군 삼남읍 반구대로 322-9 (주)남양케미칼 외 1필지,일반용 도료 및 관련제품 제조업
(주)남영산업,052-263-7682,052-263-7682,울산광역시 울주군 상북면 길천산업2길 18,자동차 차체용 신품 부품 제조업 외 1 종
(주)너와테크,055-362-8712,,울산광역시 울주군 웅촌면 와지공단2길 37,자동차 차체용 신품 부품 제조업
(주)네오,052-237-0451,052-237-0745,울산광역시 울주군 온산읍 화산로 13,기타 석유정제물 재처리업 외 2 종
(주)네오,052-237-0451,052-237-0745,울산광역시 울주군 온산읍 우봉강양로 3-92,기타 석유정제물 재처리업 외 1 종
(주)네오필드,055-342-9461,055-342-9465,울산광역시 울주군 웅촌면 은현공단2길 21,그 외 기타 플라스틱 제품 제조업
(주)네이첸,052-256-8907,052-256-8906,울산광역시 울주군 웅촌면 고연공단2길 130,목재문 및 관련제품 제조업 외 1 종
(주)넥스플레이,051-513-6955,050-4371-2039,울산광역시 울주군 웅촌면 고연공단2길 5,놀이터용 장비 제조업
(주)농막하우스,052-271-9433,052-272-9433,울산광역시 울주군 웅촌면 고연공단2길 110,기타 구조용 금속제품 제조업
(주)누리하이텍,052-264-1277,052-264-1279,울산광역시 울주군 삼동면 삼동로 105,그 외 기타 전자부품 제조업 외 1 종
(주)누보,052-238-3307,052-238-3305,울산광역시 울주군 온산읍 대정로 106,복합비료 및 기타 화학비료 제조업 외 1 종
(주)뉴캐스트인더스트리,052-933-2904,052-933-2925,울산광역시 울주군 청량읍 처용산업5길 11,정형외과용 및 신체보정용 기기 제조업 외 2 종
(주)니프코코리아 언양공장,052-255-5713,052-263-4770,울산광역시 울주군 상북면 양등농공길 37,운송장비 조립용 플라스틱제품 제조업 외 1 종
(주)니프코코리아울산공장,052-264-4771,052-264-6280,울산광역시 울주군 상북면 길천산업로 185,운송장비 조립용 플라스틱제품 제조업 외 1 종
(주)다산바이오,,02-3453-8421,울산광역시 울주군 온산읍 화산로 43,일반용 도료 및 관련제품 제조업 외 1 종
(주)다선테크,052-260-0999,052-267-0777,울산광역시 울주군 웅촌면 연답2길 5,합성수지 및 기타 플라스틱 물질 제조업
(주)다원식품,052-269-9809,052-269-9806,울산광역시 울주군 웅촌면 고연로 98-4,천연 및 혼합조제 조미료 제조업 외 2 종
(주)다원알로이 울산공장,052-237-0814,,울산광역시 울주군 온산읍 화산1길 30,"알루미늄 제련, 정련 및 합금 제조업"
(주)다윈이엔지,052-260-5509,070-7610-9830,울산광역시 울주군 웅촌면 고연공단3길 33,그 외 기타 플라스틱 제품 제조업 외 2 종
(주)다코다글로벌,052-254-5686,02-5262-6608,울산광역시 울주군 두서면 구량차리로 282-17,기타 운동 및 경기용구 제조업
(주)대경오앤티,052-716-2330,052-716-2331,울산광역시 울주군 삼동면 암리하방길 74,배합 사료 제조업 외 1 종
(주)대경이엔씨,055-337-6071,,울산광역시 울주군 온양읍 광청로 379-50,그 외 기타 1차 철강 제조업 외 2 종
(주)대경피씨아이,052-700-7144,052-700-7145,울산광역시 울주군 서생면 에너지산업1로 3,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업
(주)대공,052-256-4191,052-256-4192,울산광역시 울주군 온산읍 처용산업1길 23,금속탱크 및 저장용기 제조업 외 2 종
(주)대교통상,052-264-6061,052-264-6041,울산광역시 울주군 삼남읍 중남2길 20-6 (총 7 필지) 외 6필지,석회 및 플라스터 제조업
(주)대덕테크,052-273-3700,052-258-0709,울산광역시 울주군 청량읍 화창9길 21,그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종
(주)대도테크라,052-269-9997,052-265-3552,"울산광역시 울주군 상북면 길천산업3길 28-5,  울산광역시 울주군 상북면 거리 1167-5번지",그 외 기타 특수목적용 기계 제조업 외 1 종
(주)대동기업,052-227-1957,052-261-8963,울산광역시 울주군 웅촌면 곡천검단로 271-36,선박 구성 부분품 제조업
(주)대동테크,,,울산광역시 울주군 온양읍 옥수곡길 26-5,그 외 자동차용 신품 부품 제조업 외 3 종
(주)대림콘크리트,,,"울산광역시 울주군 삼동면 암리하방길 13, 외 1필지","콘크리트 타일, 기와, 벽돌 및 블록 제조업"
(주)대명바이오,052-271-5936,,울산광역시 울주군 상북면 길천산업로 473-3,액체 여과기 제조업
(주)대명사,052-269-6421,,울산광역시 울주군 웅촌면 고연공단1길 57,주형 및 금형 제조업
(주)대명오션월드,02-566-0665,02-475-4171,울산광역시 울주군 웅촌면 밭마당길 32,트레일러 및 세미트레일러 제조업 외 2 종
(주)대명정공,052-264-5482,,울산광역시 울주군 상북면 길천산업1길 37,주형 및 금형 제조업
(주)대미,052-223-2164,052-223-2163,울산광역시 울주군 온산읍 회학3길 56-14,합성수지 및 기타 플라스틱 물질 제조업 외 2 종
(주)대성사 상북공장,052-254-1770,052-254-1773,울산광역시 울주군 상북면 양등농공길 91,자동차 차체용 신품 부품 제조업 외 1 종
(주)대성산기,052-238-1530,052-238-8348,울산광역시 울주군 온산읍 공단로 436,핵반응기 및 증기보일러 제조업 외 2 종
(주)대성정공,055-372-2007,055-387-2570,울산광역시 울주군 상북면 길천산업로 211,주형 및 금형 제조업 외 2 종
(주)대영목재,,,울산광역시 울주군 웅촌면 곡천검단로 158-4,일반 제재업
(주)대영아이엔디,052-271-9244,,울산광역시 울주군 온산읍 화산로 121-5,그 외 기타 금속가공업 외 1 종
(주)대오,,,울산광역시 울주군 삼동면 은현작동로 391,"플라스틱 선, 봉, 관 및 호스 제조업"
(주)대오산업,052-260-5919,052-260-5240,울산광역시 울주군 웅촌면 고연공단5길 48,도장 및 기타 피막처리업
(주)대용,052-264-9501,052-264-9508,울산광역시 울주군 삼남읍 방기가천로 428,배전반 및 전기 자동제어반 제조업
(주)대운산업,052-211-6655,052-211-6658,울산광역시 울주군 범서읍 천상리 300번지,식품 위생용 종이 상자 및 용기 제조업
(주)대운자원,,,울산광역시 울주군 서생면 신암리 510-6 (분양구획 C13),기타 1차 비철금속 제조업
(주)대원레미콘,052-262-9999,052-263-9599,울산광역시 울주군 언양읍 반천강변길 20 외 5필지,레미콘 제조업
(주)대원산기,052-700-7001,052-711-1288,울산광역시 울주군 온산읍 공단로 192,"증류기, 열교환기 및 가스발생기 제조업"
(주)대원씨앤엠,052-246-5151,052-246-5161,울산광역시 울주군 범서읍 정지불길 166,비금속광물 분쇄물 생산업
(주)대원이엔엠,052-237-3320,052-237-3345,울산광역시 울주군 온산읍 공단로 438 외 1필지,기타 가공 공작기계 제조업 외 1 종
(주)대원이엔엠,052-237-4380,,울산광역시 울주군 서생면 에너지산업4로 49,기타 가공 공작기계 제조업 외 1 종
(주)대일이앤씨,052-905-5611,,울산광역시 울주군 서생면 신암리 510-4,"탭, 밸브 및 유사장치 제조업"
(주)대주아스콘,052-239-6991,052-239-6992,울산광역시 울주군 온산읍 화산3길 38,아스팔트 콘크리트 및 혼합제품 제조업
(주)대진화공,052-258-3487,,울산광역시 울주군 웅촌면 고연리 477-17,목재 깔판류 및 기타 적재판 제조업
(주)대창솔루션,052-711-7722,052-711-7770,울산광역시 울주군 삼동면 조일리 680번지 외 1필지,강주물 주조업
(주)대창솔루션 제2공장,052-711-7700,052-711-7770,울산광역시 울주군 삼동면 삼동로 387-22 외 1필지,강주물 주조업
(주)대창솔루션 제3공장,052-711-7722,052-711-7770,울산광역시 울주군 삼동면 삼동로 387-22,강주물 주조업
(주)대한,052-270-1000,052-269-8564,울산광역시 울주군 청량읍 처용산업3길 74,금속 캔 및 기타 포장용기 제조업 외 1 종
(주)대한,052-270-1000,052-269-8564,울산광역시 울주군 온산읍 처용산업3길 30-27,금속 캔 및 기타 포장용기 제조업
(주)대한스텐레스 웅촌공장,052-222-8088,052-222-1500,"울산광역시 울주군 웅촌면 웅비공단길 105, (대대리 885-1번지 외 3필지(884, 885-3, 885-4))",그 외 자동차용 신품 부품 제조업 외 4 종
(주)대한스텐레스파이프,052-225-9326,052-225-9329,울산광역시 울주군 웅촌면 웅비공단길 105 (총 4 필지) 외 3필지,그 외 자동차용 신품 부품 제조업 외 3 종
(주)대한스텐레스파이프 제2공장,052-225-6300,052-225-9329,울산광역시 울주군 웅촌면 대대리 966-3번지 외 2필지 외 2필지,그 외 자동차용 신품 부품 제조업 외 3 종
(주)대한정공,054-745-9651,054-745-9657,울산광역시 울주군 온산읍 대정로 74,선박 구성 부분품 제조업
(주)대현글로벌,052-912-8001,052-912-8004,울산광역시 울주군 언양읍 반천산업로 219-13,금속 캔 및 기타 포장용기 제조업
(주)대협스프레이,052-247-7113,052-277-9115,울산광역시 울주군 웅촌면 장기터2길 88,선박 구성 부분품 제조업
(주)대협스프레이,052-277-9110,052-277-9114,울산광역시 울주군 서생면 에너지산업6로 55,선박 구성 부분품 제조업
(주)대협테크,052-277-9110,052-277-9114,울산광역시 울주군 웅촌면 장기터2길 88,선박 구성 부분품 제조업
(주)대협테크,052-277-9110,052-277-9114,울산광역시 울주군 서생면 에너지산업6로 45,선박 구성 부분품 제조업 외 1 종
(주)더원테크,052-263-1641,,울산광역시 울주군 삼동면 사촌신복로 112,육상 금속 골조 구조재 제조업 외 1 종
(주)더케이에스,02-6953-1953,02-6953-1954,울산광역시 울주군 온산읍 우봉길 35,그 외 기타 분류 안된 화학제품 제조업 외 1 종
(주)덕성에스아이,052-237-2717,052-237-2719,울산광역시 울주군 온산읍 산남길 77,선박 구성 부분품 제조업 외 2 종
(주)덕원,052-293-7751,052-294-4000,울산광역시 울주군 온산읍 처용산업로 129-55,자동차용 금속 압형제품 제조업 외 1 종
(주)덕천웅촌공장,052-225-4570,052-225-4544,울산광역시 울주군 웅촌면 웅촌로 585-9 외 2필지,그 외 기타 일반목적용 기계 제조업 외 1 종
(주)데이먼인더스트리,052-998-1661,052-998-1669,울산광역시 울주군 언양읍 반천산업로 113-20 (언양읍),절삭가공 및 유사처리업
(주)덱코,052-225-0329,052-225-0328,울산광역시 울주군 웅촌면 광청로 76 외 2필지,금속 절삭기계 제조업
(주)뎀코코리아,052-262-2346,052-246-2346,울산광역시 울주군 상북면 산전후리로 40-5,자동차 엔진용 신품 부품 제조업
(주)도현윈시스템,052-254-8125,,울산광역시 울주군 웅촌면 당고개1길 42-34,플라스틱 창호 제조업
(주)도호,052-922-3300,052-922-3301,울산광역시 울주군 서생면 에너지산업3로 34,선박 구성 부분품 제조업
(주)돈흥원,052-258-6048,052-266-6043,"울산광역시 울주군 웅촌면 은현공단3길 6-1, (은현리 1-32, 1-34)",떡류 제조업
(주)동광화학 온산공장,052-238-9315,052-238-9315,울산광역시 울주군 온산읍 산암로 53,산업용 가스 제조업 외 2 종
(주)동남,052-256-9081,052-256-9084,울산광역시 울주군 웅촌면 고연로 172,그 외 자동차용 신품 부품 제조업 외 3 종
(주)동남 울산공장,052-707-0800,055-552-3816,울산광역시 울주군 온산읍 석당길 29,"알루미늄 제련, 정련 및 합금 제조업"
(주)동남GMT,052-260-9088,052-260-9086,울산광역시 울주군 웅촌면 고연공단5길 17-5,자동차 차체용 신품 부품 제조업 외 1 종
(주)동남기계,052-258-6241,052-258-6245,울산광역시 울주군 웅촌면 고연공단4길 28 (총 2 필지) 외 1필지,그 외 자동차용 신품 부품 제조업 외 3 종
(주)동남팩,052-716-2335,055-372-2334,울산광역시 울주군 언양읍 반천산업로 108-84,골판지 상자 및 가공제품 제조업 외 1 종
(주)동부엔지니어링,052-287-6268,052-287-6269,울산광역시 울주군 서생면 신암리 66번지 에너지융합 일반산업단지 산업시설용지-분양구역 C29(획지12B-11) (도로명 : 서생면 에너지산업3로 82) / 산업시설용지 C29(획지 12B-11),"탭, 밸브 및 유사장치 제조업"
(주)동성C-TECH,052-223-1700,052-237-2701,울산광역시 울주군 온산읍 당월로 128,기타 부동산 임대업
(주)동성케미컬 바이오플라스틱 컴플렉스,052-255-9562,052-255-9562,울산광역시 울주군 상북면 지화길 122 외 1필지,기타 플라스틱 발포 성형제품 제조업 외 2 종
(주)동성화인텍,052-254-1116,052-254-1185,울산광역시 울주군 삼동면 암리3길 22-5,그 외 기타 분류 안된 화학제품 제조업 외 1 종
(주)동신건업,052-254-5100,052-254-9090,울산광역시 울주군 상북면 향산다개로 159,"금속 문, 창, 셔터 및 관련제품 제조업 외 2 종"
(주)동신하이텍,052-258-3404,052-257-3410,울산광역시 울주군 웅촌면 은현공단3길 16,운송장비 조립용 플라스틱제품 제조업 외 11 종
(주)동아테크놀로지,052-257-7208,052-711-1263,울산광역시 울주군 웅촌면 와지공단2길 18,자동차 차체용 신품 부품 제조업
(주)동양/건재부문 울산공장,052-249-0752,052-249-0757,"울산광역시 울주군 웅촌면 웅촌로 607-31, 대복리 988-1번지 외 1필지",레미콘 제조업
(주)동양테크,052-257-9220,052-257-9225,울산광역시 울주군 웅촌면 반계길 4-12,자동차 차체용 신품 부품 제조업 외 1 종
(주)동양플랜트,052-268-7950,052-266-2640,울산광역시 울주군 청량읍 온산로 740-16,금속탱크 및 저장용기 제조업 외 3 종
(주)동언산업,052-224-2571,052-223-2521,울산광역시 울주군 웅촌면 와지공단1길 9-5,그 외 자동차용 신품 부품 제조업 외 3 종
(주)동언테크,052-254-2520,052-263-2521,울산광역시 울주군 웅촌면 와지공단1길 9-5,도장 및 기타 피막처리업
(주)동영산업,052-227-5627,052-227-5629,울산광역시 울주군 웅촌면 은현공단3길 18,금속탱크 및 저장용기 제조업 외 1 종
(주)동우이엔지울산2공장,070-4659-6730,055-367-6536,울산광역시 울주군 웅촌면 은현공단3길 9,도장 및 기타 피막처리업
(주)동원엔텍,052-249-8230,052-222-8230,울산광역시 울주군 온산읍 회학3길 56-13,그 외 기타 봉제의복 제조업 외 2 종
(주)동일메탈,052-261-6125,052-261-6126,울산광역시 울주군 온양읍 광청로 394-37 (온양읍),선박 구성 부분품 제조업 외 4 종
(주)동진전기,052-254-5533,052-254-5115,울산광역시 울주군 삼남읍 가천지내길 22-3 외 4필지,금속 단조제품 제조업 외 9 종
(주)동진전기,052-254-5533,052-254-5115,울산광역시 울주군 삼남읍 공암길 19 외 4필지,자동차 엔진용 신품 부품 제조업 외 3 종
(주)동화팬시,052-225-8848,,울산광역시 울주군 온산읍 화산로 110-22,계면활성제 제조업 외 1 종
(주)두인,052-222-3381,,울산광역시 울주군 청량읍 화창1길 42-11,배전반 및 전기 자동제어반 제조업
(주)디아이씨,052-255-0500,052-262-8466,울산광역시 울주군 두동면 봉계리 660번지,자동차용 신품 동력전달장치 제조업 외 1 종
(주)디아이씨 가공공장,052-262-6331,052-262-6345,울산광역시 울주군 두서면 전읍농공길 27-1,농업 및 임업용 기계 제조업
(주)디아이씨 두서공장,052-262-6331,052-262-6345,울산광역시 울주군 두서면 전읍농공길 48,농업 및 임업용 기계 제조업
(주)디아이씨두동공장,052-255-0500,052-262-9094,울산광역시 울주군 두동면 봉계농공길 8,그 외 자동차용 신품 부품 제조업 외 3 종
(주)디아이씨언양공장,052-255-0700,052-255-0774,울산광역시 울주군 상북면 양등농공길 69,자동차용 신품 동력전달장치 제조업 외 5 종
(주)디알레보텍,070-8640-6754,052-926-6900,울산광역시 울주군 온산읍 덕신로 505,그 외 기타 분류 안된 화학제품 제조업 외 1 종
(주)디알씨,052-235-6030,052-252-6915,"울산광역시 울주군 서생면 에너지산업3로 140, 134, 140","콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 2 종"
(주)디알액시온 온산공장,070-8640-6500,,울산광역시 울주군 온산읍 이진로 6,알루미늄주물 주조업 외 1 종
(주)디알액시온 원산공장,070-8640-6500,,울산광역시 울주군 온산읍 산남길 55,알루미늄주물 주조업 외 1 종
(주)디에이치아이,052-254-8071,052-254-8077,"울산광역시 울주군 언양읍 고하길 89, 외 1필지",자동차 엔진용 신품 부품 제조업 외 1 종
(주)디에프아이,052-223-9790,052-223-9791,울산광역시 울주군 웅촌면 와지공단1길 18-26,화장품 제조업
(주)디엔에프,042-932-7939,042-932-7947,울산광역시 울주군 온산읍 대정로 10-19,산업용 가스 제조업
(주)디엔오토모티브 울산1공장,052-240-7500,052-240-7510,울산광역시 울주군 온산읍 처용산업2길 12,축전지 제조업
(주)디엔오토모티브 울산2공장,052-240-7513,052-237-2437,울산광역시 울주군 온산읍 화산1길 3,포장용 플라스틱 성형용기 제조업
(주)디엔오토모티브 울산2공장,052-240-7513,052-237-2437,울산광역시 울주군 온산읍 화산2길 20,축전지 제조업
(주)디엠에스케미칼,052-707-9393,,울산광역시 울주군 온산읍 대정로 10-17,기타 기초 무기 화학물질 제조업
(주)디케이오스텍 고연공장,052-256-7757,052-256-7759,울산광역시 울주군 웅촌면 고연공단2길 12,그 외 자동차용 신품 부품 제조업 외 3 종
(주)디케이유업 온산공장,052-238-3589,052-238-3588,울산광역시 울주군 온산읍 회학3길 38-19,기타 석유정제물 재처리업
(주)랩시스텍,052-225-9600,052-225-9601,"울산광역시 울주군 청량읍 처용산업3길 135, 경공업2동 2층 서쪽",플라스틱 접착처리 제품 제조업 외 10 종
(주)럭스코,052-287-8588,052-287-8598,울산광역시 울주군 언양읍 갈전길 58 외 1필지,기타 전기 변환장치 제조업 외 3 종
(주)레베산업,052-265-9752,052-261-0076,울산광역시 울주군 웅촌면 곡천검단로 178,액체 여과기 제조업
(주)레베산업 3공장,052-265-9752,052-261-0076,울산광역시 울주군 웅촌면 부채골길 17-1,액체 여과기 제조업
(주)레베산업제2공장,070-4902-6360,052-265-0129,울산광역시 울주군 웅촌면 부채골길 1,액체 여과기 제조업
(주)로길,052-276-8038,,울산광역시 울주군 청량읍 처용산업3길 128,디지털 적층 성형기계 제조업 외 2 종
(주)로파,052-260-7047,052-260-7028,울산광역시 울주군 언양읍 반천반송산업로 125,그 외 기타 특수목적용 기계 제조업 외 1 종
(주)루시스,070-7729-0333,052-249-3219,울산광역시 울주군 삼남읍 방기8길 24-10,그 외 기타 특수목적용 기계 제조업 외 2 종
(주)류일,052-263-0407,052-263-0405,"울산광역시 울주군 언양읍 남천로 154, 2층",전구 및 램프 제조업 외 4 종
(주)리보너스,052-244-7077,052-244-7077,울산광역시 울주군 온산읍 처용산업1길 8,"기타 측정, 시험, 항해, 제어 및 정밀기기 제조업"
(주)마린이노베이션,052-247-0582,,울산광역시 울주군 청량읍 처용산업3길 135 경공업2동 2층,펄프 제조업
(주)매크로졸,052-254-5004,052-264-1060,울산광역시 울주군 삼남읍 가천금사길 224-6,접착제 및 젤라틴 제조업
(주)매크론,052-716-0063,052-716-0064,울산광역시 울주군 청량읍 처용산업3길 129,"전자기 측정, 시험 및 분석기구 제조업 외 2 종"
(주)맥스벨로,052-265-6911,,울산광역시 울주군 삼동면 은현공단4길 18 (총 2 필지) 외 1필지,놀이터용 장비 제조업 외 2 종
(주)맥스벨로 울산지점,052-265-6911,052-265-7227,울산광역시 울주군 삼동면 작동리 773-7번지 외 1필지 외 1필지,구조용 금속 판제품 및 공작물 제조업
(주)맥스시스템,052-227-2330,,울산광역시 울주군 웅촌면 은현작동로 206,육상 금속 골조 구조재 제조업 외 1 종
(주)메가테크,052-913-3830,052-913-3831,울산광역시 울주군 상북면 길천산업1길 30-3,자동차용 신품 제동장치 제조업 외 1 종
(주)메츠,052-959-9506,,울산광역시 울주군 청량읍 처용산업4길 14-16,금속탱크 및 저장용기 제조업 외 1 종
