구군명,제조업체명,대표자,전화번호,업종명,소재지주소,데이터기준일자
중구,유니크학생복,김유도,052-243-6174,근무복  작업복 및 유사 의복 제조업,울산광역시 중구 학성로 58 (중앙동),2025-11-26
중구,울산까운유니폼,양지애,052-297-9149,근무복  작업복 및 유사 의복 제조업,울산광역시 중구 학성1길 54  2층 (학성동),2025-11-26
중구,오엔가죽공방,류민수,,가방 및 기타 보호용 케이스 제조업,울산광역시 중구 구루미8길 29  102호 (다운동),2025-11-26
중구,태창양화점,박해용,052-296-7565,구두류 제조업,울산광역시 중구 학성로 233-1 (학성동),2025-11-26
중구,현대구두공장,김동성,,구두류 제조업,울산광역시 중구 옥교동길 54 (복산동),2025-11-26
중구,영림홈도어,박시원,,목재 문 및 관련제품 제조업,울산광역시 중구 가구거리 46 (학성동),2025-11-26
중구,우성문집,황정목,052-282-4630,목재 문 및 관련제품 제조업,울산광역시 중구 도화골길 30 (복산동),2025-11-26
중구,중구장애인보호작업장,김두영,052-243-0051,문구용 종이제품 제조업,울산광역시 중구 성안14길 26 (성안동),2025-11-26
중구,삼정상사,손희식,052-297-6215,위생용 종이제품 제조업,울산광역시 중구 학성공원5길 6 (학성동),2025-11-26
중구,로얄맘스,김근경,052-286-6522,위생용 종이제품 제조업,울산광역시 중구 도화골9길 6 (복산동),2025-11-26
중구,진영산업,송영호,052-267-7742,위생용 종이제품 제조업,울산광역시 중구 구루미7길 71-1 (다운동),2025-11-26
중구,유나정보,오용택,,그 외 기타 종이 및 판지 제품 제조업,울산광역시 중구 해오름14길 45  108호 (남외동  유화빌라),2025-11-26
중구,한솔전산인쇄,복기홍,052-227-2270,경 인쇄업,울산광역시 중구 함월13길 12 (성안동),2025-11-26
중구,대양,김종은,052-248-2181,경 인쇄업,울산광역시 중구 성안2길 29  1층 (성안동),2025-11-26
중구,지구상사,이윤희,052-294-8522,경 인쇄업,울산광역시 중구 해오름길 13 (반구동),2025-11-26
중구,청원인쇄기획,황윤학,052-294-6844,경 인쇄업,울산광역시 중구 구교13길 44 (반구동),2025-11-26
중구,대성명판사,김광석,052-246-4235,스크린 인쇄업,울산광역시 중구 염포로 84-1 (반구동),2025-11-26
중구,밝은세상,곽진우,052-286-4473,스크린 인쇄업,울산광역시 중구 성안로 215  2층 (성안동),2025-11-26
중구,동성씨링인쇄사,이동균,052-281-0072,기타 인쇄업,울산광역시 중구 북부순환도로609  1층 (복산동),2025-11-26
중구,주식회사 한아름기획,나선미,052-211-8387,기타 인쇄업,울산광역시 중구 성안로 149  1층 (성안동),2025-11-26
중구,베베구쯔 주식회사,김언령,,제책업,울산광역시 중구 종가4길 9  301호 (유곡동),2025-11-26
중구,㈜스탠다드그래핀,이정훈,052-225-3921,기타 기초 무기화학 물질 제조업,울산광역시 중구 종가로15  413호 (다운동  울산테크노파크정밀화학소재기술연구소),2025-11-26
중구,성림영농조합법인,이재문,052-245-8894,기타 기초 무기화학 물질 제조업,울산광역시 중구 외솔큰길 524 (장현동),2025-11-26
중구,이엠생활환경㈜,최상수,052-249-1255,복합비료 및 기타 화학비료 제조업,울산광역시 중구 다운8길 47 (다운동),2025-11-26
중구,아련,김춘란,052-4991-8429,치약  비누 및 기타 세제 제조업,울산광역시 중구 병영로15  2층 (남외동),2025-11-26
중구,꿀비공방,신하나,052-3231-0860,화장품 제조업,울산광역시 중구 오산2길 28-5 (태화동),2025-11-26
중구,㈜리보너스,김흥석,052-244-0030,그 외 기타 분류 안된 화학제품 제조업,울산광역시 중구 백양로167 (성안동),2025-11-26
중구,해왕잠수복,고창부,052-211-1424,고무 의류 및 기타 위생용 비경화 고무제품 제조업,울산광역시 중구 학성로46  2층 (성남동),2025-11-26
중구,진특수고무라이닝,김진현,,그 외 기타 고무제품 제조업,울산광역시 중구 백양로126  4층 (성안동),2025-11-26
중구,㈜신일엔터프라이즈,이경희,052-227-1771,고무패킹류 제조업,울산광역시 중구 동천1길 40  세영이노세븐지식산업센터 BB125호  BB128호 (서동),2025-11-26
중구,작은연못,심규운,,기타 판유리 가공품 제조업,울산광역시 중구 우정6길 7 (우정동),2025-11-26
중구,죽장,이우곤,052-293-6226,기타 판유리 가공품 제조업,울산광역시 중구 학성로136 (학산동),2025-11-26
중구,돌고래해양,장일환,,기타 판유리 가공품 제조업,울산광역시 중구 구루미7길 71 (다운동),2025-11-26
중구,금강ENG,이상범,052-297-9282,기타 판유리 가공품 제조업,울산광역시 중구 해오름5길 30-6 (남외동),2025-11-26
중구,동인공업,이종규,052-243-0851,강관 가공품 및 관 연결구류 제조업,울산광역시 중구 학성로16 (중앙동),2025-11-26
중구,공신건업,권혁구,,금속 문  창  셔터 및 관련제품 제조업,울산광역시 중구 명난로4 (태화동),2025-11-26
중구,대한샷다금속,윤대석,052-269-8003,금속 문  창  셔터 및 관련제품 제조업,울산광역시 중구 북부순환도로718 (약사동),2025-11-26
중구,와룡상사,장용기,052-249-3081,금속 문  창  셔터 및 관련제품 제조업,울산광역시 중구 구루미7길 93 (다운동),2025-11-26
중구,경남복층유리,김기택,,금속 문  창  셔터 및 관련제품 제조업,울산광역시 중구 산전길 48-1 (동동),2025-11-26
중구,광명건업,박주식,,금속 문  창  셔터 및 관련제품 제조업,울산광역시 중구 구루미2길 11 (다운동),2025-11-26
중구,울산문수리,문태성,052-282-7040,금속 문  창  셔터 및 관련제품 제조업,울산광역시 중구 학성공원3길 60 (학성동),2025-11-26
중구,동화우리샷시,박남희,,금속 문  창  셔터 및 관련제품 제조업,울산광역시 중구 신기1길 10 (태화동),2025-11-26
중구,대원셔터EC,이지원,,금속 문  창  셔터 및 관련제품 제조업,울산광역시 중구 화합로367 (반구동),2025-11-26
중구,공신건업,권혁구,,금속 문  창  셔터 및 관련제품 제조업,울산광역시 중구 명난로4 (태화동),2025-11-26
중구,금강자바라,박진호,052-294-1567,금속 문  창  셔터 및 관련제품 제조업,울산광역시 중구 구교로95 (학성동),2025-11-26
중구,신명공작소,원용학,052-243-5484,구조용 금속 판제품 및 공작물 제조업,울산광역시 중구 중앙길19 (우정동),2025-11-26
중구,삼성닥트공작소,김동근,052-296-5936,구조용 금속 판제품 및 공작물 제조업,울산광역시 중구 구교로140 (반구동),2025-11-26
중구,오토렉스이엔에스,권태규,052-254-7100,수상 금속 골조 구조재 제조업,울산광역시 중구 종가로406-21  1011호 (복산동  울산비즈파크) ,2025-11-26
중구,㈜이노션테크,홍정기,052-249-5426,도장 및 기타 피막 처리업,울산광역시 중구 종가로15  A동 301호 (다운동  울산테크노파크),2025-11-26
중구,㈜대경솔루션,황진기,052-288-7132,절삭 가공 및 유사 처리업,울산광역시 중구 병영8길 58 (동동),2025-11-26
중구,대진상사,남효순,052-293-6780,금속 표시판 제조업,울산광역시 중구 해오름11길 25 (남외동),2025-11-26
중구,성신테크,심수호,,그 외 기타 분류 안된 금속 가공제품 제조업,울산광역시 중구 향교길 31-3 (교동),2025-11-26
중구,우주명판사,임정숙,052-292-1567,그 외 기타 분류 안된 금속 가공제품 제조업,울산광역시 중구 성안1길 171 (성안동),2025-11-26
중구,㈜성안친환경디자인,박영민,052-292-5859,그 외 기타 분류 안된 금속 가공제품 제조업,울산광역시 중구 화합로 502 (복산동),2025-11-26
중구,천상기업,이상도,052-291-1444,그 외 기타 분류 안된 금속 가공제품 제조업,울산광역시 중구 번영로 631-1  1층 일부 (남외동),2025-11-26
중구,㈜엔티에스솔루션,김재홍,052-245-9551,컴퓨터 제조업,울산광역시 중구 종가로406-21  1025호 (복산동  울산비즈파크) 외 3필지,2025-11-26
중구,㈜원우전자,최창영,052-247-1572,방송장비 제조업,울산광역시 중구 서원길4  201호 (복산동),2025-11-26
중구,가온아이티에스㈜,유영일,052-936-5055,방송장비 제조업,울산광역시 중구 동천1길 40 C동 1001호  1002호 (서동  세영이노세븐),2025-11-26
중구,㈜울산전자,장동원,052-244-6977,방송장비 제조업,울산광역시 중구 중앙길 187 (옥교동),2025-11-26
중구,에이티엠㈜,류항기,052-273-8727,비디오 및 기타 영상 기기 제조업,울산광역시 중구 함월20길 92 (성안동),2025-11-26
중구,우신치과기공소,김태주,,치과기공물 제조업,울산광역시 중구 구교로 186 (반구동),2025-11-26
중구,월드치과기공소,장용철,052-291-2800,치과기공물 제조업,울산광역시 중구 염포로 9 (반구동),2025-11-26
중구,영일치과기공소,김용중,052-246-0500,치과기공물 제조업,울산광역시 중구 태화로 33  2층 (태화동),2025-11-26
중구,드림치과기공소,천경민,,치과기공물 제조업,울산광역시 중구 구교9길 1  3층 (반구동),2025-11-26
중구,동국치과기공소,손진웅,052-292-6713,치과기공물 제조업,울산광역시 중구 학성로 203 (학성동),2025-11-26
중구,㈜에이비에이치,한아람,052-277-9855,물질 검사  측정 및 분석기구 제조업,울산광역시 중구 종가로 406-21  B동 325호 (복산동),2025-11-26
중구,서원티엠에스(주),김득중,02-3402-7549,산업 처리공정 제어장비 제조업,울산광역시 중구 동천1길 40  A동 5층 13호 (서동),2025-11-26
중구,명지시스템(주),이상근,052-245-3615,배전반 및 전기 자동제어반 제조업 ,울산광역시 중구 성안8길 104 (성안동),2025-11-26
중구,이앤에프 주식회사,장성준,070-4194-8977,배전반 및 전기 자동제어반 제조업 ,울산광역시 중구 동천1길 40  B동 B1층 27 (서동 세영이노세븐 지식산업센터),2025-11-26
중구,한성기전,신태수,052-244-9467,배전반 및 전기 자동제어반 제조업 ,울산광역시 중구 성안11길 39 (성안동),2025-11-26
중구,아이텍,김민수,052-234-1313,배전반 및 전기 자동제어반 제조업 ,울산광역시 중구 종가17길 24-21  304호 (서동),2025-11-26
중구,(주)프로텍,이정환,052-297-3314,배전반 및 전기 자동제어반 제조업 ,울산광역시 중구 해오름4길 40 (남외동),2025-11-26
중구,주식회사 제이제이시스템,윤정목,,배전반 및 전기 자동제어반 제조업 ,울산광역시 중구 성안8길 102  2층 (성안동),2025-11-26
중구,성도산업,최경영,052-211-1150,배전반 및 전기 자동제어반 제조업 ,울산광역시 중구 성안3길 44 (성안동),2025-11-26
중구,용성FA(주),장성기,052-212-0331,배전반 및 전기 자동제어반 제조업 ,울산광역시 중구 함월20길 70 (성안동),2025-11-26
중구,주식회사 아이엔,김선극,052-243-9663,배전반 및 전기 자동제어반 제조업 ,울산광역시 중구 종가로 406-21  913호 (복산동  울산비즈파크),2025-11-26
중구,한국아즈빌주식회사,SATOU NOBUYUKI,02-2168-7800,배전반 및 전기 자동제어반 제조업 ,울산광역시 중구 동천1길 40  357호 (서동  세영이노세븐),2025-11-26
중구,㈜썬에이치에스티,이진용,052-296-0883,배전반 및 전기 자동제어반 제조업 ,울산광역시 중구 남외2길 46 (남외동),2025-11-26
중구,영신계전,김영호,052-297-3904,배전반 및 전기 자동제어반 제조업 ,울산광역시 중구 내황9길 39 (반구동),2025-11-26
중구,예스이엔지,김동희,052-285-3300,배전반 및 전기 자동제어반 제조업 ,울산광역시 중구 종가로 651  212호 (서동),2025-11-26
중구,경인테크,장효인,052-244-2252,배전반 및 전기 자동제어반 제조업 ,울산광역시 중구 성안7길 22 (성안동),2025-11-26
중구,삼호산업,유병해,052-292-8855,배전반 및 전기 자동제어반 제조업 ,울산광역시 중구 외솔큰길524 (장현동),2025-11-26
중구,성도엔지니어링,정윤섭,052-243-0020,배전반 및 전기 자동제어반 제조업 ,울산광역시 중구 성안3길 44  1층 (성안동),2025-11-26
중구,(주)파노텍,정광우,070-8270-5500,배전반 및 전기 자동제어반 제조업 ,울산광역시 중구 종가로406-21  C동 1143호 (복산동  울산비즈파크),2025-11-26
중구,대영계전,김상철,052-296-6860,배전반 및 전기 자동제어반 제조업 ,울산광역시 중구 성안8길 102 (성안동),2025-11-26
중구,(주)덕림테크,손종훈,052-295-1555,기타 절연선 및 케이블 제조업,울산광역시 울산광역시 중구 종가17길 37  401호 (서동  새솔빌딩),2025-11-26
중구,(주)성진하이텍,김은영,052-256-7223,일반용 전기 조명장치 제조업,울산광역시 중구 함월6길 29-10 (성안동),2025-11-26
중구,세종조명주식회사,이재원,052-212-3100,일반용 전기 조명장치 제조업,울산광역시 중구 종가로 406-21  C동 631호 (복산동),2025-11-26
중구,웰메이크,이명근,,일반용 전기 조명장치 제조업,울산광역시 중구 우정5길 9 (우정동),2025-11-26
중구,대성 G.C,김진구,052-294-0070,전시 및 광고용 조명장치 제조업,울산광역시 중구 화합로327 (학성동),2025-11-26
중구,한강기획,한강식,052-260-7174,전시 및 광고용 조명장치 제조업,울산광역시 중구 염포로 52 (반구동),2025-11-26
중구,삼산광고,전현식,,전시 및 광고용 조명장치 제조업,울산광역시 중구 내황6길 24 (반구동),2025-11-26
중구,주식회사 인텍,최병주,052-716-5066,전기 경보 및 신호장치 제조업,울산광역시 중구 종가17길 37  301호 (서동  새솔빌딩),2025-11-26
중구,주식회사 광운산업,김경연,052-222-2252,교통 신호장치 제조업,울산광역시 중구 종가로 15  기술혁신A동 402호(다운동  울산테크노파크),2025-11-26
중구,(주)한라이엔지,심상욱,052-249-2421,교통 신호장치 제조업,울산광역시 중구 종가로15  A동 406호 (다운동  울산테크노파크),2025-11-26
중구,성풍ICT,윤준필,052-222-9800,교통 신호장치 제조업,울산광역시 중구 종가로15  A동 202호  (다운동  울산테크노파크),2025-11-26
중구,주식회사 성진하이텍,김은영,052-256-7223,일반용 전기 조명장치 제조업,울산광역시 중구 함월6길 29-10 (성안동),2025-11-26
중구,유니온랜드,이상주,052-293-4711,배전반 및 전기 자동제어반 제조업 ,울산광역시 중구 북부순환도로 834-1 (서동),2025-11-26
중구,주식회사 신진이텍,여지은,052-257-0560,배전반 및 전기 자동제어반 제조업 ,울산광역시 중구 동천3길 11 (서동),2025-11-26
중구,고운엔지니어링,최순철,052-903-8442,배전반 및 전기 자동제어반 제조업,울산광역시 중구 동천1길 40  세영이노세븐 지하1층 BB107호 (서동),2025-11-26
중구,원테크,장석원,052-223-6713,유압 기기 제조업,울산광역시 중구 구루미7길 5 (다운동),2025-11-26
중구,주식회사 엠벡,박원주,052-903-5003,기체 펌프 및 압축기 제조업,울산광역시 중구 종가로362-11 803호  906호 (교동  울산그린카기술센터),2025-11-26
중구,금오동력기계,김성호,052-297-0937,기어 및 동력전달장치 제조업,울산광역시 중구 염포로84 (반구동),2025-11-26
중구,신용산업,이명일,052-293-0912,기타 물품 취급장비 제조업,울산광역시 중구 산전길 82 (동동),2025-11-26
중구,알피에이테크날러지,황영규,052-227-7290,액체 여과기 제조업,울산광역시 중구 학성공원13길 26-1 (학성동),2025-11-26
중구,성광엔지니어링,권성복,052-292-0306,그 외 기타 일반 목적용 기계 제조업,울산광역시 중구 북부순환도로 848 (서동),2025-11-26
중구,아이에스테크,권순일,052-289-7597,그 외 기타 일반 목적용 기계 제조업,울산광역시 중구 함월3길 9  1층 (성안동),2025-11-26
중구,유콘크리에이티브(주),강종진,052-903-5119,산업용 로봇 제조업,울산광역시 중구 중앙길 29  2층 (우정동),2025-11-26
중구,(주)케이시스템,김찬성,052-295-8200,그 외 기타 특수 목적용 기계 제조업,울산광역시 중구 종가21길 51 (서동),2025-11-26
중구,(주)오토노머스에이투지,한지형,052-700-3710,내연기관 승용차 및 기타 여객용 자동차 제조업,울산광역시 중구 종가로 362-11 (교동),2025-11-26
중구,일성ENG,김선일,052-287-2793,자동차 엔진용 신품 부품 제조업,울산광역시 중구 외솔큰길524 (장현동),2025-11-26
중구,지원산업,양종태,,자동차용 신품 의자 제조업,울산광역시 중구 성안8길 55  2층 (성안동),2025-11-26
중구,동강시트,이부열,052-223-8653,자동차용 신품 의자 제조업,울산광역시 중구 구루미길138 (다운동),2025-11-26
중구,NS테크,권혁남,052-293-7659,자동차용 신품 의자 제조업,울산광역시 중구 동천1길 83 (서동),2025-11-26
중구,대진실업,권순주,052-295-9776,자동차용 신품 의자 제조업,울산광역시 중구 성안13길 17 (성안동),2025-11-26
중구,민유산업,김철민,,자동차용 신품 의자 제조업,울산광역시 중구 성안1길 155-3 (성안동),2025-11-26
중구,(주)우현테크,서우찬,052-248-9418,자동차용 신품 의자 제조업,울산광역시 중구 함월20길 88 (성안동),2025-11-26
중구,전진산업(주),송인철,052-246-1056,자동차용 신품 의자 제조업,울산광역시 중구 성안1길 155-3 (성안동),2025-11-26
중구,선희산업,전선희,,자동차용 신품 의자 제조업,울산광역시 중구 옥교6길 8 (옥교동),2025-11-26
중구,우리산업,김희순,,그 외 자동차용 신품 부품 제조업,울산광역시 중구 병영성4길 131 (서동),2025-11-26
중구,우리집장애인보호작업장,고동원,052-242-0031,그 외 자동차용 신품 부품 제조업,울산광역시 중구 함월1길 22 (성안동),2025-11-26
중구,(주)모토웨이,강해준,,그 외 자동차용 신품 부품 제조업,울산광역시 중구 종가로 362-11  504호 (교동  울산그린카기술센터),2025-11-26
중구,대흥기계주식회사,김철환,,그 외 자동차용 신품 부품 제조업,울산광역시 중구 동천1길 40  A동 916호 (서동  세영이노세븐),2025-11-26
중구,제이제이모델,이동진,,선박 구성 부분품 제조업,울산광역시 중구 산전길54 (동동),2025-11-26
중구,티아이코리아 주식회사,토마스스탁,052-900-8983,선박 구성 부분품 제조업,울산광역시 중구 종가로 310  610호 (우정동  M빌딩),2025-11-26
중구,주식회사 해솔,유이기,052-251-2302,선박 구성 부분품 제조업,울산광역시 중구 평산로 59 (약사동),2025-11-26
중구,주식회사 이이에스,추경훈,052-051-710-8861,선박 구성 부분품 제조업,울산광역시 중구 종가로 15  기술혁신 A동 510호 (다운동),2025-11-26
중구,강남쇼파,김병근,052-291-2086,소파 및 기타 내장 가구 제조업,울산광역시 중구 학성1길 54 (학성동),2025-11-26
중구,모던쇼파,장경순,052-292-1589,소파 및 기타 내장 가구 제조업,울산광역시 중구 화합로287 (학성동),2025-11-26
중구,한일쇼파,최정일,052-296-0373,소파 및 기타 내장 가구 제조업,울산광역시 중구 가구거리76 (반구동),2025-11-26
중구,현대쇼파,류지돌,052-296-0068,소파 및 기타 내장 가구 제조업,울산광역시 중구 가구거리 70 (반구동),2025-11-26
중구,우드씽크,윤초희,052-0507-1328-9153,주방용 및 음식점용 목재 가구 제조업,울산광역시 중구 성안로 247 (성안동),2025-11-26
중구,대륭씽크,최시영,052-275-0274,주방용 및 음식점용 목재 가구 제조업,울산광역시 중구 구교로 106 (학성동),2025-11-26
중구,조아부엌가구,정중훈,,주방용 및 음식점용 목재 가구 제조업,울산광역시 중구 구루미7길 72 (다운동),2025-11-26
중구,솔향기목공방,강영성,,주방용 및 음식점용 목재 가구 제조업,울산광역시 중구 다운로 23 (다운동),2025-11-26
중구,다원주방산업,이현주,052-292-1128,금속 가구 제조업,울산광역시 중구 구교로50 (학산동),2025-11-26
중구,월성세공,박도균,,귀금속 및 관련제품 제조업,울산광역시 중구 옥교2길 3 (옥교동),2025-11-26
중구,대신세공,최상열,052-286-4822,귀금속 및 관련제품 제조업,울산광역시 중구 옥교3길 53 (학산동),2025-11-26
중구,반지만들기카페성남점,김동락,052-245-8004,모조 귀금속 및 모조 장신용품 제조업,울산광역시 중구 젊음의거리 29-5 (성남동),2025-11-26
중구,테오도르,김가은,,인형 및 장난감 제조업,울산광역시 중구 신기길 31  103동 106호 (태화동),2025-11-26
중구,선화기업,박권엽,052-292-4726,간판 및 광고물 제조업,울산광역시 중구 병영1길 7 (남외동),2025-11-26
중구,(주)태화조경,변재영,052-296-7177,간판 및 광고물 제조업,울산광역시 중구 번영로 631-1  3층 (남외동),2025-11-26
중구,하늘물고기장애인보호작업장,김미라,052-245-7081,간판 및 광고물 제조업,울산광역시 중구 백양로 123 (성안동),2025-11-26
중구,무룡광고사,한용선,,간판 및 광고물 제조업,울산광역시 중구 학성1길 38 (학성동),2025-11-26
중구,서림사,이금식,,사무 및 회화용품 제조업,울산광역시 중구 옥골샘4길 5 (중앙동),2025-11-26
중구,디자인엔터이플러스,황용익,,간판 및 광고물 제조업,울산광역시 중구 도화골5길 13  3층 (복산동),2025-11-26
중구,미래유압,박영호,,건설·광업용 기계 및 장비 수리업,울산광역시 중구 약사로10  107동 605호 (약사동),2025-11-26
중구,유신전기,김상식,052-297-5265,전기·전자 및 정밀 기기 수리업,울산광역시 중구 병영성7길 25 (서동),2025-11-26
남구,은지부산어묵,이광년,052-258-4889,수산동물 훈제  조리 및 유사 조제식품 제조업,울산광역시 남구 봉월로102번길 34-1 (신정동),2025-11-26
남구,비에마르,최효린,052-707-0712,식물성 유지 제조업,울산광역시 남구 꽃대나리로 57  1층 (달동),2025-11-26
남구,현미 제분소,김수련,052-278-2511~2,곡물 제분업,울산광역시 남구 팔등로 60  2층 (신정동),2025-11-26
남구,㈜삼양사 울산2공장,최낙현  강호성,052-243-8013,전분제품 및 당류 제조업,울산광역시 남구 매암로 115 (매암동),2025-11-26
남구,야망떡집,박정식,052-271-4848,떡류 제조업,울산광역시 남구 돋질로 95-2 (신정동),2025-11-26
남구,울산고래떡방협동조합,신용일,052-273-3199,떡류 제조업,울산광역시 남구 삼산로202번길 17-15 (달동),2025-11-26
남구,도투락식품,윤운룡,052-279-4541,빵류 제조업 외 1종,울산광역시 남구 돋질로446번길 19 (삼산동),2025-11-26
남구,㈜삼양사 울산1공장,최낙현  강호성,052-287-7705,설탕 제조업,울산광역시 남구 장생포로 285 (매암동),2025-11-26
남구,고래국수,김남리,052-228-4812,면류  마카로니 및 유사식품 제조업,울산광역시 남구 장생포고래로 271-1  14동 (매암동),2025-11-26
남구,청아푸드,윤병권,052-226-4004,도시락류 제조업 외 1종,울산광역시 남구 산업로340번길 22 (선암동),2025-11-26
남구,㈜농협사료 울산지사,백승관,052-223-4118,배합 사료 제조업 외 1종,울산광역시 남구 용잠로 461 (용잠동),2025-11-26
남구,경남냉동,최규목,052-257-7200,얼음 제조업 외 1종,울산광역시 남구 산업로 432 (여천동) (총 5필지),2025-11-26
남구,로즈하트,신갑진,052-265-5765,침구 및 관련제품 제조업,울산광역시 남구 두왕로22번길 31 (선암동),2025-11-26
남구,㈜브랜드뉴컴퍼니,임형택,052-707-8286,침구 및 관련제품 제조업,울산광역시 남구 돋질로37번길 27  1층 (신정동),2025-11-26
남구,C&B창앤블라인드커튼,이재근,052-269-7366,커튼 및 유사제품 제조업 외 1종,울산광역시 남구 정동로 145  1층 (삼산동),2025-11-26
남구,㈜동주산업,정용수,052-256-0436,표면처리 및 적층 직물 제조업 외 3종,울산광역시 남구 용잠로 418 (용잠동),2025-11-26
남구,진광후직물산업,김옥진,052-276-4289,그 외 기타 분류 안된 섬유제품 제조업 외 2종,울산광역시 남구 거마로133번길 14 (신정동),2025-11-26
남구,란체,심정수,052-998-6543,남자용 겉옷 제조업 외 1종,울산광역시 남구 왕생로 132-1  1층 (달동),2025-11-26
남구,백조한복 연구실,장도영,052-272-4500,한복 제조업,울산광역시 남구 삼호로 137 (무거동),2025-11-26
남구,상보어패럴,박의환,052-273-0932,근무복  작업복 및 유사 의복 제조업 외 2종,울산광역시 남구 꽃대나리로 65 (달동),2025-11-26
남구,주식회사 엘나인,안영주,052-911-1919,근무복  작업복 및 유사 의복 제조업,울산광역시 남구 삼호로 22 (무거동),2025-11-26
