회사명,공장대표주소(도로명),업종명,생산품,전화번호
평화테크,울산광역시남구장생포로19번길19(여천동),구조용금속판제품및금속공작물제조업,자동차관련제품,052-276-7815
대영알앤비주식회사,울산광역시남구장생포고래로125번길30-1(장생포동),그외금속압형제품제조업,압형제품주문제작,052-257-9600
지아이이엔지,"울산광역시남구용연로248번길50(황성동,일진기계)(총2필지)",그외기타1차철강제조업,대형선박BASE프레임,052-260-7802
일진기계(주)2공장,"울산광역시남구처용로766(황성동,일진기계(주))",그외기타1차철강제조업,철강제조,052-259-8883
제일강건,"울산광역시남구산안로84(여천동,제일강건)",그외기타1차철강제조업,철판절단품,052-261-6379
아이엠티,울산광역시남구산안로12-2,그외기타1차철강제조업,내연기관부품,052-265-1975
지아이컴퍼니,울산광역시남구테크노산업로55번길104(공장)/남구용연로248번길52우편발송,그외기타1차철강제조업,철판절단및가공,052-259-8883+052-707-2700
주식회사에이스금속,울산광역시남구납도로90(여천동),그외기타1차철강제조업,철판가공,052-266-1700
탬프주식회사,울산광역시남구신두왕로36(두왕동),그외기타고무제조업,고무방충재(방현재),052-966-1118
(주)우진레이져,"울산광역시남구산업로254(선암동,흥진자원(주))(총3필지)",그외기타금속가공업,구조용금속제품가공,052-269-3335
(주)서진에스앤피,울산광역시남구상개로30(상개동),그외기타금속가공업,금속처리(쇼트블라스트),052-274-5522
(주)금영기업,울산광역시남구장생포로53(여천동),그외기타금속가공업,보온단열재외알루미륨가공,052-271-1980
(주)조양,"울산광역시남구여천로129,A동1층(여천동)",그외기타금속가공업,철판절단가공,052-272-7333+052-269-8200
(주)부산레이저,울산광역시남구신여천로87(여천동)B동,그외기타금속가공업,"레이저철판절단,절곡등",052-275-5634
(주)태산로테이트먼트,"울산광역시남구장생포로19번길21-13(여천동,환경산업기계)",그외기타금속가공업,CompressorValve및Packing,02-579-6271
주식회사데카텍,울산광역시남구신항로716번길126(황성동),그외기타금속가공업외1종,"화공약품주입설비등,수처리장치등",052-708-9500+070-4658-1512
부산스텐레스,"울산광역시남구신여천로87(여천동,부산스텐수집소)A동",그외기타금속가공업외2종,"알루미늄판,청동판",052-275-5634
(주)엠피웍스,"울산광역시남구테크노산업로55번길79-10,b동3층303호(두왕동)",그외기타분류안된금속가공제품제조업,금속3D프린팅제조업,052-225-6203
나이스정공,"울산광역시남구산업로440번길10(여천동,호성스털(주))(총2필지)",그외기타분류안된금속가공제품제조업외1종,정밀금속부품,052-261-2668
인성에이앤티㈜울산유화공장,"울산광역시남구납도로64(여천동,인성산업(주))",그외기타분류안된비금속광물제품제조업,유화아스팔트,052-228-3600+3662+041-546-2511
진광후직물산업,울산광역시남구거마로133번길14(신정동),그외기타분류안된섬유제품제조업외2종,산업용필터,052-276-4289
용산케미라화학㈜,"울산광역시남구사평로32,외4필지(부곡동)",그외기타분류안된화학제품제조업,"DPAM,폴리아크릴아미드",052-226-8821
한덕화학(주),울산광역시남구여천로217번길19(여천동),그외기타분류안된화학제품제조업,반도체현상액(TMAH),052-270-6815+02-6974-4888
송원산업㈜,울산광역시남구장생포로83,그외기타분류안된화학제품제조업,플라스틱안정제,052-273-9841
송원산업㈜매암공장,울산광역시남구매암로14,그외기타분류안된화학제품제조업,산화방지제,052-210-9600
하이스테크㈜,울산광역시남구산업로340번길10(선암동),그외기타분류안된화학제품제조업,수처리약품,052-249-6040
(주)헤라실업,"울산광역시남구용연로50번길94(용연동,헤라실업(주))",그외기타분류안된화학제품제조업외1종,"부식방지제,유화방지제",052-266-1962
(주)용진유화,"울산광역시남구여천로215-84(여천동,(주)용진유화)",그외기타분류안된화학제품제조업외1종,"안티옥시던트(고무노화방지제),노화방지제",052-255-9632
(주)이수화학울산공장,"울산광역시남구사평로108-224(부곡동,이수화학(주))",그외기타분류안된화학제품제조업외1종,"연성,경성,알칼벤젠",052-278-2712
(주)보명,"울산광역시남구신여천로35번길40(여천동,보명(주))",그외기타분류안된화학제품제조업외1종,"스테인레스탈청제,염욕제등",052-257-8860
메케마코리아(주),"울산광역시남구용연로211번길21(용연동,메케마코리아)",그외기타분류안된화학제품제조업외1종,액상촉매(CMBSolution),052-256-0888
서진화학(주),"울산광역시남구용연로211번길1(용연동,서진화학(주))",그외기타분류안된화학제품제조업외1종,"윤활유및그리스,유동피라핀",052-712-0482+0454
아성정밀화학(주),"울산광역시남구용연로179번길5(용연동,아성정밀화학(주))",그외기타분류안된화학제품제조업외1종,"산업용방부제,향균제",052-256-4444
에스엔에프코리아(주),울산광역시남구여천로215-100(여천동),그외기타분류안된화학제품제조업외1종,"고분자응집제,탈색제",052-270-0704
오에스씨(주),"울산광역시남구용연로50번길98(용연동,캠프로코리아(주))",그외기타분류안된화학제품제조업외1종,PTA용산화촉매제,052-256-0920
태화환경(주),울산광역시남구두왕로34번길14(선암동)1.2.4층,그외기타분류안된화학제품제조업외1종,탈취제,052-260-0007
에스케이케미칼대정주식회사,울산광역시남구처용로714,그외기타분류안된화학제품제조업외1종,"아세토나이트릴,메탄올등",025-279-1861
한화솔루션(주)울산3공장,"울산광역시남구용연로230번길22(황성동,동양제철화학(주))(총2필지)(총2필지)",그외기타분류안된화학제품제조업외2종,"DOP,DINP,DOTP,가소제",052-279-2109
아성정밀화학(주),"울산광역시남구용연로179번길5(용연동,아성정밀화학(주))",그외기타분류안된화학제품제조업외2종,"공업용보존제,산업용방부제",052-256-4444
(주)넥스트코어,"울산광역시남구테크노산업로55번길79-10,A동,504호(두왕동)",그외기타의료용기기제조업,의료기기,052-277-9321
금화테크,울산광역시남구수암로43번길11(신정동),그외기타의복액세서리제조업,장갑,052-274-4983
정문기계㈜,울산광역시남구두왕로22번길33-16(선암동),그외기타일반목적용기계제조업,"가스켓,필터,산업기계부품",052-273-7872
이글버그만코리아(주),울산광역시남구테크노산업로55번길133-13b동(두왕동),그외기타일반목적용기계제조업,씰(seal),052-256-4095
우석산업㈜,"울산광역시남구산업로382번길49,E동(여천동,일진에이테크(주))",그외기타일반목적용기계제조업,"압착식쿨러,열처리프레임",052-707-9300
한아금속,울산광역시남구테크노산업로55번길133-3(두왕동),그외기타일반목적용기계제조업,"차량용볼트,너트",
평화하이텍,"울산광역시남구장생포로19번길25(여천동,나이스휀스개발(주))",그외기타일반목적용기계제조업,산업용저울,052-269-1188
동아기연(주),울산광역시남구용잠로40번길53(부곡동),그외기타일반목적용기계제조업외1종,자동차자동변속기용V/BGASKET,052-256-7075
멀티스,"울산광역시남구갈밭로24,5층505호울산산업공구월드(삼산동)",그외기타일반목적용기계제조업외1종,메카니칼씰,052-266-6717
오성피앤이(주),울산광역시남구신여천로98(여천동)(총2필지),그외기타일반목적용기계제조업외1종,"샤프트,주문부품",052-257-6890
(주)조은,울산광역시남구여천로215-73(여천동),그외기타일반목적용기계제조업외4종,"철구조물,산업기계",052-268-7600
흥일정밀,울산광역시남구장생포로19번길1(여천동),그외기타자동차부품제조업,선박엔진부품,052-261-6239
주식회사글로비스타,"울산광역시남구삼산로366번길10,2층",그외기타전기장비제조업,구조용장비,052-282-9070
(주)현대히스코,울산광역시남구장생포로38(여천동),그외기타전기장비제조업,"수배전반,분전반",052-254-8339
태율,"울산광역시남구테크노산업로29번길172(두왕동,대명S&P)",그외기타전기장비제조업외1종,전기장비제조,052-295-3636+070-4000-8100
KPX일렉트로켐주식회사울산공장,"울산광역시남구납도로103(여천동,케이피엑스케미칼(주))",그외기타전자부품제조업,CMPPAD,052-279-0359
부록계전,울산광역시남구돋질로350번길8(삼산동),그외기타전자부품제조업외1종,로드리미트소프트스타트,052-227-2223
에스티엔,"울산광역시남구테크노산업로55번길79-10,A동314호",그외기타전자부품제조업외1종,환경측정설비,052-716-4550
주식회사에이피코,"울산광역시남구봉월로151번길25,1층(신정동)",그외기타전자부품제조업외2종,"공기청정기및오수정화장치용전자부품,공기청정기,오수정화장치",
(주)오엘테크,울산광역시남구장생포로54(여천동),그외기타특수목적용기계제조업,"폐수처리장배관,탈수기,가압부상조부속품등",052-915-3553
(주)드림엔지니어링,울산광역시남구처용로790(용연동),그외기타특수목적용기계제조업외1종,산업기계,052-238-6091
㈜수성바이오,"울산광역시남구산업로130, 라동(상개동)",그외기타튿수목적용기계제조업,음식물처리기,052-266-0606
필드터프승목(주),울산광역시남구두왕로34번길28-6(선암동),그외기타플라스틱제품제조업,조립식인조잔디모듈,052-257-1989
모트라스울산3공장,"울산광역시남구장생포고래로8(매암동,현대자동차(주))",그외자동차용신품부품+제조업외2종,자동차부품,02-2018-5057
(주)자인,울산광역시남구납도로228(여천동),그외자동차용신품부품제조업,차량용카펫,052-256-6252
삼기산업㈜,울산광역시남구테크노산업로29번길175(두왕동),그외자동차용신품부품제조업,"연료탱크,뱅크",052-283-5700
모트라스울산2공장,"울산광역시남구장생포고래로37(장생포동,모트라스)",그외자동차용신품부품제조업외2종,자동차모듈,052-228-9515
영신기업사,"울산광역시남구신여천로75(여천동,영신기업사)",그외자동차용신품부품제조업외3종,자동차부품,052-265-8462
(주)동희산업,"울산광역시남구처용로675(황성동,동희산업(주))(총6필지)",그외자동차용신품부품제조업외3종,"서스팬션,차량연료탱크",070-8290-5485+070-7093-6019본사
말레동현필터시스템(주)부곡공장,울산광역시남구용잠로40번길18(부곡동),그외자동차용신품부품제조업외3종,"오일필터,CHC등",031-831-3300+7
한국무브넥스4공장,"울산광역시남구여천로192(여천동,한국프랜지공업(주))",그외자동차용신품부품제조업외3종,"자동차부품,CV조인트외",052-279-4211+052-250-5043(본사)
한일튜브㈜울산공장,"울산광역시남구사평로203(부곡동,한일튜브㈜)",그외자동차용신품부품제조업외3종,파이프,052-226-8522+032-714-7700
정우테크1공장,"울산광역시남구장생포로19번길42(여천동,정우테크)",그외자동차용신품부품제조업외4종,"밸브,자동차부품밸트",052-269-4027
(주)유창파워텍(성암공장),"울산광역시남구처용로487번길24(성암동,(주)유창파워택)",그외자동차용신품부품제조업외5종,자동차스틸휠디스크,052-276-2600
㈜우리기업울산공장,울산광역시남구여천로163번길21(여천동),그외자동차용신품제조업,자동차부품(카페트및내장재),052-288-2184
주식회사엘나인,울산광역시남구삼호로18(무거동),"근무복,작업복및유사의복제조업",근무복,052-911-1919
주식회사부경럭키,울산광역시남구산업로517번길20-7,"근무복,작업복및유사의복제조업외10종","가방,모자,피복",052-268-3342
상보어패럴,울산광역시남구꽃대나리로65,"근무복,작업복및유사의복제조업외2종","근무복,작업복,특수근무복등",052-273-0932
(주)삼우울산공장,울산광역시남구처용로487번길18-30(성암동),금속가공제품제조,코일가공,052-270-1240+031-789-4930
알피엔지니어링,울산광역시남구테크노산업로 29번길134(두왕동),금속가공제품제조,"적치대,자동차부품",0507-1357-3569
동성기업,울산광역시남구돋질로384번길8,"금속구조물,창호공사업,지붕판금,건축물조립공사업","알루미늄,금속제패널",052-277-6821
한국단조(주),울산광역시남구사평로227-30(선암동),금속단조제품제조업,프랜지생산(열간단조품),052-274-5501
한국무브넥스2공장,"울산광역시남구신여천로35번길45(여천동,한국프랜지공업(주))",금속단조제품제조업,차부품단조품,052-279-4211
진영산업㈜,"울산광역시남구처용로487번길18-39(성암동,현대위아㈜울산1공장)",금속단조제품제조업,금속단조제품(크랭크샤프트),052-239-3990
(주)티에스피,울산광역시남구상개로34-74(상개동),금속단조제품제조업외,실린더라이너,052-991-6692
주식회사진우건업,울산광역시남구신화로125-87(야음동),"금속문,창,셔터및관련제품제조업외1종",합성수지제창및금속제창,052-266-7281+6983
덕창산업안전,"울산광역시남구갈밭로24,153~154호(삼산동)",금속선가공제품제조업,와이어,052-268-4048
(주)금영철망,울산광역시남구신여천로81(여천동),금속선가공제품제조업,체인링크철망,052-269-2345
(주)삼영이엔지,"울산광역시남구처용로487번길32(성암동,삼영ENG공장)",금속열처리업,제관열처리,052-271-0732
울산종합열처리,"울산광역시남구용연로98번길24(용연동,고주파열처리)",금속열처리업,금속열처리,052-256-0506
전예산업,울산광역시남구용연로50번길161,금속열처리제조업,금속열처리,052-287-9651
부영기계,울산광역시남구산업로340번길10-1(선암동)(총3필지),금속절삭기계제조업,산업기계부품가공제작,052-267-1894~5
보광정밀,울산광역시남구화합로26(여천동),금속조립구조재제조업,"현대일렉트랙,엔진부품가공",052-261-9111
(주)태현이엔지,울산광역시남구신여천로94(여천동),금속주조및기타야금용기계제조업,"필터,기계부품",052-227-8022
우신산업,"울산광역시남구신여천로35번길26(여천동,우신산업(주))",금속캔및기타포장용기제조업,200L재생공드럼,052-275-9848
명성기업(주),"울산광역시남구장생포로19번길11-31(여천동,명성기업(주))",금속캔및기타포장용기제조업,재생공드럼,052-276-6500
용인금속(주),"울산광역시남구신여천로35번길28(여천동,용인금속공업사)(총2필지)",금속캔및기타포장용기제조업,"공드럼,금속캔,New스틸드럼",052-273-8131
한길(주),"울산광역시남구용연로189(용연동,한길(주))",금속캔및기타포장용기제조업,"재생공드럼,PA,DOP",052-256-6543
우신산업(주),"울산광역시남구신여천로35번길26(여천동,우신산업(주))",금속캔및기타포장용기제조업,재생공드럼,052-275-9848
(주)영진리사이클,"울산광역시남구장생포로19번길37(여천동,덕화산업)",금속캔및기타포장용기제조업,"드럼,IBC탱크등",052-272-6325
인성산업㈜울산공장,"울산광역시남구납도로64(여천동,인성산업(주))",금속캔및기타포장용기제조업외1종,"금속포장용기,건설용개질아스팔트",052-228-3606
명진산업2공장,울산광역시남구장생포로19번길5(여천동),금속캔및기타포장용기제조업외1종,플라스틱드럼재생,052-274-6766
삼영기업(주),"울산광역시남구용연로98번길28(용연동,삼영기업)",금속캔및기타포장용기제조업외4종,"재생공드럼,고철괴,플라스틱",052-257-0110
㈜일진에너지,"울산광역시남구용잠로40번길29(부곡동,(일진에너지)/울주군온산읍산업로42사무실로우편발송",금속탱크및저장용기제조업,금속탱크및저장용기,052-240-1000+070-5121-6410울산사업소
(주)모아산업울산공장,"울산광역시남구처용로487번길28(성암동,울프(주))",금속탱크및저장용기제조업외1종,경판,051-831-0165
대운가스프랜트(주),"울산광역시남구용연로131(용연동,청도공업(주))(총2필지)",금속탱크및저장용기제조업외1종,"금속저장탱크,용기",052-275-6024
진진ENG,"울산광역시남구장생포로19번길40(여천동,동현산업)",금속탱크및저장용기제조업외1종,열교환기부품외,052-275-4466
주식회사디케이텍,울산광역시남구신여천로67(여천동),금속탱크및저장용기제조업외1종,"산업용냉각장치,증류기,가스발생기등",052-267-1135
(주)건호이엔씨,울산광역시남구용잠로74번길48(부곡동),금속탱크및저장용기제조업외2종,"금속탱크,저장소및유사용기,탭밸브및유사장치",052-268-0294
유한티유(주),울산광역시남구테크노산업로55번길80-25(두왕동),금속탱크및저장용기제조업외3종,"금속탱크,파이프",052-268-6182
(주)유벡,"울산광역시남구용연로106(용연동,유벡(주))",금속탱크및저장용기제조업외4종,"설치용압력용기,저장탱크,열교환기등",052-257-8352
(주)국제산업개발,"울산광역시남구장생포로19번길36(여천동,국제산업개발(주))",금속표시판제조업외3종,"교통신호등주,교통신호제어기,교통표지판등",052-260-3200
(주)기산테크,울산광역시남구테크노산업로29번길108,기계및장비수리업,"펌프제작,수리",052-223-4624
에이디엠앤아이㈜,울산광역시남구신여천로96(여천동),기계제조업,산업기계제조,052-261-3344
제이엠기어주식회사,울산광역시남구신두왕로50(두왕동),기어및동력전달장치제조업외2종,"트랜스미션기어,오일펌프기어",052-254-2380
큐바이오텍(주),울산광역시남구용잠로74번길12(부곡동),기체여과기제조업,여과기,052-240-1311
한국후지필터(주),울산광역시남구용연로195번길29(용연동),기체여과기제조업외1종,공업용필터용기제품,052-958-8281
환경산업기계,"울산광역시남구장생포로19번길21-13(여천동,환경산업기계)",기체여과기제조업외1종,"환경관련기기,여과기,산업기계",052-260-4992
(주)엔코아네트웍스,울산광역시남구테크노산업로81번길33(두왕동),기체여과기제조업외2종,"공기정화기시스템제조,수처리고액분리장치제조,차체및특장차제조",052-237-6120
원일기계,울산광역시남구장생포로19번길21-23(여천동),기체펌프및압축기제조업,"펌프,압축기",052-274-6639
(주)아이엔티,울산광역시남구신두왕로36(두왕동),기체펌프및압축기제조업외1종,"실링기능부품,실링제어제어반",070-4000-8100+052-708-3636
진연공업,"울산광역시남구신여천로92(여천동,진연)",기타구조용금속제품제조업,수리가공품,052-266-7406
스타테크,울산광역시남구장생포로19번길13(여천동),기타구조용금속제품제조업,"철구조물,지그류등",052-958-2455
㈜한림토건,울산광역시남구매암동523-66/납도로156(공장),기타기초무기화학물질제조,"폐열증기,무기화합물질(유황)",055-289-9000
대화정밀화학(주),"울산광역시남구여천로143(여천동,대화정밀화학(주))",기타기초무기화학물질제조업,질산소다액상된산소다수,052-272-6357
홍인화학㈜,울산광역시남구사평로216,기타기초무기화학물질제조업,"염소,고순도염소고순도염화수소",052-273-9191
(주)한솔케미칼울산공장,"울산광역시남구납도로116(여천동,한솔케미칼(주))(총4필지)(총4필지)",기타기초무기화학물질제조업,"과산화수소,SD,BPO,TMF",052-259-8000
(유)에스케이씨에보닉페록사이드코리아,울산광역시남구상개로99(상개동),기타기초무기화학물질제조업,과산화수소,052-270-4000
(주)유니드,울산광역시남구상개로142(상개동)(총2필지),기타기초무기화학물질제조업,"KOH,K2CO3,HCI외",052-279-0000
(주)삼광,"울산광역시남구용연로248번길83(황성동,(주)삼광)",기타기초무기화학물질제조업,"혼합알카리,질산나트륨",052-227-9680
(주)대정티씨,울산광역시남구용잠로40번길31,기타기초무기화학물질제조업,수산화나트륨(저농도),052-260-9971
(주)풍진상사울산,울산광역시남구용잠로791(용연동),기타기초무기화학물질제조업,PTC(염화칼리화합물),02-783-5881
(주)한울화학,울산광역시남구용연로98번길18(용연동),기타기초무기화학물질제조업,가성소다,052-256-8891
영진화학,울산광역시남구납도로216(여천동),기타기초무기화학물질제조업,염산,052-261-5776
(주)자이언트케미칼,울산광역시남구용연로64(용연동),기타기초무기화학물질제조업,마그네슘실리케이트,052-944-2000
(주)피앤씨,"울산광역시남구장생포로277(매암동,국일공장)",기타기초무기화학물질제조업,탄산나트륨(액상),052-256-6461
미원화학(주),"울산광역시남구장생포로247(매암동,미원상사(주))",기타기초무기화학물질제조업외2종,"황산,계면활성제,분말유황",052-261-7988
엘앤피케미칼주식회사,"울산광역시남구신여천로93(여천동,하강산업(주))외1필지",기타기초무기화학물질제조업외2종,"요소수,탄산암모늄",052-227-3800
효성네오켐(주)용연1공장,울산광역시남구처용로561번길31(성암동),기타기초무기화학물질제조업외2종,산업용가스(NF3등),052-208-9023
(주)부흥산업사,울산광역시남구신항로716번길110(황성동),기타기초유기화학물질제조업,일산화탄소및수소와그유도체,031-494-6016
에스티에이씨(STAC)㈜,"울산광역시남구산업로24(상개동,SK합성수지공장)",기타기초유기화합물질제조업,이소프로필알콜,052-273-7100
로텍이엔씨(주),울산광역시남구테크노산업로55번길133-3(두왕동),기타무선통신장비제조업,전자통신장비,052-257-7509+0507-1369-6564
에프엠테크(주),울산광역시남구테크노산업로29번길74(두왕동),기타무선통신장비제조업외3종,"유량계,기타무선통신장비,밸브,자동화설비,프로세스제어반",052-275-8585
(주)한컴유비마이크로,울산광역시남구테크노산업로81번길14(두왕동)1층,기타무선통신장비제조업외7종,"기타전자유도자제조,무선통신장비제조,전자기측정시험분석기구제조,물질검사측정분석기구제조,기기용자동측정제어장치제조,산업처리공정제어장지제조,전기경보신호장치제조,모니터링소프트웨어개발",052-289-8051
반도호이스트울산,울산광역시남구산업로384(여천동),기타물품취급장비제조업,호이스트,052-261-2468
주식회사이엠엘울산지점,"울산광역시남구테크노산업로55번길79-10,B동305호(두왕동)B동305호","기타비철금속제련,정련및합금제조업",선박가스터빈엔진용부품,031-5186-6282
(주)부천,울산광역시남구신여천로41(여천동),"기타비철금속제련,정련및합금제조업","주석,니켈정련",052-258-8599
(주)동남유화,"울산광역시남구용연로273(황성동,동남유화(주))",기타석유정제물재처리업,"용제,아스팔트,왁스",052-270-0600
(주)에너텍,울산광역시남구신여천로99(여천동)(총4필지),기타석유정제물재처리업,재생연료,052-276-3914
안국석유산업(주),"울산광역시남구장생포로182(여천동,안국석유산업(주))",기타석유정제물재처리업,유화아스팔트,052-272-7016+02-2270-1880
한국석유공업(주),"울산광역시남구처용로91(여천동,한국석유공업(주))",기타석유정제물재처리업외,석유정제,052-259-3702
필리아,울산광역시남구돋질로102(달동),기타인쇄업,"책자인쇄,카다록외각종인쇄물",052-272-3679
주식회사아이엔씨,"울산광역시남구대학로21번길5-1,1층(무거동)",기타인쇄업,기록매체(고지서),052-227-1120
디오출력센터,울산광역시남구신정로148번길32(신정동)(총2필지),기타인쇄업외1종,옵셋인쇄물,052-258-7686
(주)미림산업,울산광역시남구신여천로35번길16(여천동),기타일반기계및장비수리업,밸브및열교환기등수리,052-265-4615
하우덴코리아(유),울산광역시남구산안로12-1(여천동),기타일반기계및장비수리업외1종,"압축기수리,배관제작",052-266-1011
현대머티리얼,울산광역시남구납도로90,기타일반목적용기계제조업외1종,배기후처리장치,070-4348-6468
현대인버터솔루션㈜,울산광역시남구신여천로35번길46,기타전기변환장치제조업,리튬배터리,052-209-2689+070-4439-1567
(주)해강전력,울산광역시남구테크노산업로29번길143(두왕동),기타전기변환장치제조업,정류기,052-269-8709
(주)엔사이트,울산광역시남구신여천로35번길46(여천동),기타전기변환장치제조업외2종,"전력변환장치,PCS,인버터등,자동제어반,수배전반등,데이터수입장치(DAQ)등",
(주)밸티,울산광역시남구테크노산업로55번길90(두왕동),기타조명장치제조업,LED제품,052-287-9703
㈜한국아쿠오시스,울산광역시남구용잠로791(용연동),기타특수목적용기계제조업외,초미세기포발생기등,052-222-6051
상개장애인보호작업장,울산광역시남구상개로202-21(상개동),기타편조의복액세서리제조업,"면장갑,반코팅",052-267-7034+052-267-7033
협성기업,울산광역시남구산업로340번길16(선암동),기타플라스틱발포성형제품제조업,합성수지,052-271-7737
비케이이엔지(주),울산광역시남구용연로165(용연동),기타플라스틱발포성형제품제조업,"단열재,방음재",052-256-9715
란체,"울산광역시남구왕생로132-1,1층(달동)",남자용겉옷제조업외1,"남자용컽옷(정장,수트)",052-998-6543
(주)세창기공2공장,울산광역시남구용잠로40번길56(부곡동),내연기관제조업,선박엔진부품,052-287-5802
(주)일신정밀2공장,울산광역시남구테크노산업로55번길101,내연기관제조업외3종,선박엔진부품,052-285-5000
(주)일신에너지,울산광역시남구테크노산업로55번길95(두왕동)외1필지,내연기관제조업외3종,"피스톤스커트외다수,피스톤스커트외다수,피스톤스커트외다수,피스톤스커트외다수",052-700-3007
㈜존코커릴하몬,울산광역시남구두왕로190번길21,냉각기제조,필터(산업용CoolingTouer),052-227-2537
