회사명,업종명,소재지도로명주소,소재지지번주소,전화번호,팩스번호,데이터기준일자
(주)나이스,그 외 자동차용 신품 부품 제조업 외 3 종,울산광역시 북구 무룡로 144 (연암동),울산광역시 북구 연암동 1435번지,052-277-4455,052-277-9633,2025-11-27
(주)네모엘텍,일반용 전기 조명장치 제조업 외 4 종,울산광역시 북구 산성로 40(효문동 울산지식산업센터) 1호동 B1층 B-103호 외 1필지,울산광역시 북구 효문동 812-1 울산지식산업센터 1호동 B1층 B-103호 외 1필지,052-289-8808,052-289-8803,2025-11-27
(주)다이아트,주형 및 금형 제조업,울산광역시 북구 매곡산업1길 17 (매곡동 (주)다이아트),울산광역시 북구 매곡동 354-1번지,052-286-4041,052-286-4050,2025-11-27
(주)대광산업,자동차 차체용 신품 부품 제조업,울산광역시 북구 모듈화산업로 12(효문동),울산광역시 북구 효문동 1010-2,052-288-1341,052-289-1341,2025-11-27
(주)대명기전,그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,울산광역시 북구 농공단지2길 32-2 (달천동),울산광역시 북구 달천동 211-7번지,052-282-2338,052-282-2335,2025-11-27
(주)대명엘리베이터,승강기 제조업 외 1 종,울산광역시 북구 활밤로 19 (효문동) 외 1필지,울산광역시 북구 효문동 813-10 외 1필지,052-288-2700,052-288-2224,2025-11-27
(주)대명엘리베이터,승강기 제조업,울산광역시 북구 활밤로 27 (효문동),울산광역시 북구 효문동 813-8,052-288-2700,052-288-2724,2025-11-27
(주)대성,선박 구성 부분품 제조업 외 1 종,울산광역시 북구 제내6길 13-3 (매곡동 대성ENG),울산광역시 북구 매곡동 740-3번지,052-285-2096,052-285-2227,2025-11-27
(주)대성테크,자동차 엔진용 신품 부품 제조업 외 2 종,울산광역시 북구 농공단지4길 30 (달천동) (총 2 필지),울산광역시 북구 달천동 207-4번지,052-295-2282,052-295-2284,2025-11-27
(주)대원산업,기타 기관 및 터빈 제조업,울산광역시 북구 중산산업1길 6 (중산동),울산광역시 북구 중산동 1271-3번지,052-282-9550,052-282-9556,2025-11-27
(주)대원산업기술,그 외 자동차용 신품 부품 제조업 외 3 종,울산광역시 북구 매곡산업1길 22 (매곡동 대원산업),울산광역시 북구 매곡동  347-5번지,052-264-2244,052-264-2246,2025-11-27
(주)대원에스앤피,금속 캔 및 기타 포장용기 제조업 외 1 종,울산광역시 북구 효암로 84-13 (명촌동),울산광역시 북구 명촌동 225-1번지,052-288-0041,052-288-0911,2025-11-27
(주)대인,플라스틱 필름 제조업 외 1 종,울산광역시 북구 무룡로 60-29 (연암동 대인화학(주)) 외 4필지,울산광역시 북구 연암동 533번지 외 4필지,052-288-5555,052-287-9104,2025-11-27
(주)대일매곡산업,그 외 자동차용 신품 부품 제조업,울산광역시 북구 매곡산업2길 15(매곡동),울산광역시 북구 매곡동 353-2,052-282-4588,052-293-4518,2025-11-27
(주)대일산업,자동차 차체용 신품 부품 제조업 외 1 종,울산광역시 북구 약수8길 22 1필지 (중산동),울산광역시 북구 중산동 1009-5번지,052-282-4588,052-295-4518,2025-11-27
(주)대일산업 산단지점,그 외 자동차용 신품 부품 제조업 외 3 종,울산광역시 북구 중산산업2길 22 (중산동),울산광역시 북구 중산동 1265-3번지,052-282-4588,052-295-4518,2025-11-27
(주)대창기계,기타 가공 공작기계 제조업,울산광역시 북구 중산산업2길 62 (중산동),울산광역시 북구 중산동 1264-3번지,052-292-4966,052-292-4968,2025-11-27
(주)대현시스템,육상 금속 골조 구조재 제조업,울산광역시 북구 농서로 422(달천동),울산광역시 북구 달천동 556-2,052-258-5322,052-286-5322,2025-11-27
(주)대홍,가정용 및 산업용 공기 조화장치 제조업 외 1 종,울산광역시 북구 호계7길 145(호계동 승진기업),울산광역시 북구 호계동 37 승진기업,052-295-9527,052-970-4994,2025-11-27
(주)덕양가스,수소 제조업 외 1 종,울산광역시 북구 농공단지2길 9 (달천동),울산광역시 북구 달천동 210-8,052-282-8100,052-282-9100,2025-11-27
(주)덕양가스,금속탱크 및 저장용기 제조업 외 1 종,울산광역시 북구 농공단지2길 13 (달천동),울산광역시 북구 달천동  210-7번지,052-290-5152,052-282-9100,2025-11-27
(주)덕양에코,액체 펌프 제조업 외 4 종,울산광역시 북구 농공단지2길 27(달천동 디에스케이),울산광역시 북구 달천동 210-6 디에스케이,052-1670-6275,052-264-2231,2025-11-27
(주)덕천,천막 텐트 및 유사 제품 제조업 외 1 종,울산광역시 북구 산성로 40(효문동 울산지식산업센터) 1호동 3층 319호,울산광역시 북구 효문동 812-1 울산지식산업센터 1호동 3층 319호,052-288-2084,052-288-2087,2025-11-27
(주)동남산기,그 외 자동차용 신품 부품 제조업 외 3 종,울산광역시 북구 염포로 260-23 (효문동),울산광역시 북구 효문동 642-7번지,052-288-1598,052-288-1597,2025-11-27
(주)동서기공,그 외 기타 특수목적용 기계 제조업 외 2 종,울산광역시 북구 중산산업로 17 (중산동),울산광역시 북구 중산동 1258-3번지,052-296-8166,052-296-8168,2025-11-27
(주)동서기공,그 외 기타 특수목적용 기계 제조업,울산광역시 북구 매곡산업6길 49 (매곡동),울산광역시 북구 매곡동 883-1번지,052-296-8166,052-296-8168,2025-11-27
(주)동성피에스씨,그 외 자동차용 신품 부품 제조업,울산광역시 북구 중산산업로 58 (중산동),울산광역시 북구 중산동 1254-2,052-295-8849,052-295-8850,2025-11-27
(주)동아기업,선박 구성 부분품 제조업,울산광역시 북구 숙보로 21 (효문동) 외 1필지,울산광역시 북구 효문동 816-7번지 외 1필지,052-289-1104,052-289-0756,2025-11-27
(주)동아기업,내연기관 제조업,울산광역시 북구 효자로 39 효문동 816-4번지 (효문동),울산광역시 북구 효문동 816-4번지 효문동 816-4번지,052-219-9101,052-219-9199,2025-11-27
(주)동아기업,트레일러 및 세미트레일러 제조업,울산광역시 북구 효성로 21 (효문동),울산광역시 북구 효문동 817-4번지,052-219-9101,052-219-9199,2025-11-27
(주)동아기업 2공장,선박 구성 부분품 제조업,울산광역시 북구 숙보로 22 (효문동 동아기업),울산광역시 북구 효문동 817-6번지,052-289-1104,052-289-0756,2025-11-27
(주)동양산업,선박 구성 부분품 제조업,울산광역시 북구 염포로 266-1 (효문동),울산광역시 북구 효문동 643-3번지,052-288-8132,052-288-8136,2025-11-27
(주)동양피앤지,그 외 기타 일반목적용 기계 제조업 외 1 종,울산광역시 북구 산성로 48-2 (효문동 광선),울산광역시 북구 효문동 812-2번지 아파트형공장 624호,052-287-2595,052-287-2597,2025-11-27
(주)동일,기타 기관 및 터빈 제조업,울산광역시 북구 중산산업2길 70 (중산동),울산광역시 북구 중산동 1264-1번지,052-282-7304,052-282-7307,2025-11-27
(주)동희산업,자동차 차체용 신품 부품 제조업 외 1 종,울산광역시 북구 매곡산업3길 4 (매곡동),울산광역시 북구 매곡동 344-3번지,070-7094-7013,,2025-11-27
(주)두나우,유선 통신장비 제조업 외 3 종,울산광역시 북구 명촌1길 11-12 (진장동),울산광역시 북구 진장동 880번지,052-296-1188,052-296-1343,2025-11-27
(주)두리로직스,자동차 재제조 부품 제조업,울산광역시 북구 매곡산업로 127 (매곡동),울산광역시 북구 매곡동 351-13,052-291-2625,,2025-11-27
(주)두올 울산공장,자동차용 신품 의자 제조업 외 2 종,울산광역시 북구 효산2길 21-2 (효문동),울산광역시 북구 효문동 262번지,052-288-0001,,2025-11-27
(주)두원공조,그 외 자동차용 신품 부품 제조업 외 3 종,울산광역시 북구 효암로 184 (효문동 재호화성(주)),울산광역시 북구 효문동 694번지,052-288-7841,052-288-7853,2025-11-27
(주)디에스시,자동차용 신품 의자 제조업,울산광역시 북구 책골길 65 (연암동) 외 2필지,울산광역시 북구 연암동 139 외 2필지,054-770-1006,054-746-0228,2025-11-27
(주)디에이치에코,자동차용 신품 전기장치 제조업,울산광역시 북구 농공단지4길 55(달천동 진보산업),울산광역시 북구 달천동 205-8 진보산업,052-281-5579,052-281-5578,2025-11-27
(주)디와이티,자동차 엔진용 신품 부품 제조업 외 1 종,울산광역시 북구 중산산업3길 47 (중산동),울산광역시 북구 중산동 1262-3,052-946-5062,052-946-5061,2025-11-27
(주)럭스코,배전반 및 전기 자동제어반 제조업 외 5 종,울산광역시 북구 활밤로 24 (효문동 럭스코),울산광역시 북구 효문동 814번지,052-287-8588,052-287-8590,2025-11-27
(주)로리텍,배전반 및 전기 자동제어반 제조업,울산광역시 북구 송도길 58 (효문동 (주)로리텍),울산광역시 북구 효문동 460-1번지,052-288-7114,,2025-11-27
(주)로리텍 2공장,배전반 및 전기 자동제어반 제조업,울산광역시 북구 산성로 40(효문동 울산지식산업센터) 1호동 4층 404호,울산광역시 북구 효문동 812-1 울산지식산업센터 1호동 4층 404호,052-288-7114,052-288-7124,2025-11-27
(주)로보아트,배전반 및 전기 자동제어반 제조업,울산광역시 북구 효천3길 14 (효문동 로보아트),울산광역시 북구 효문동 458-1번지,052-288-7199,052-288-7198,2025-11-27
(주)로토몰드,주형 및 금형 제조업,울산광역시 북구 산성로 40(효문동 울산지식산업센터) 1호동 8층 820호,울산광역시 북구 효문동 812-1 울산지식산업센터 1호동 8층 820호,052-282-1671,052-287-2558,2025-11-27
(주)로파,그 외 기타 일반목적용 기계 제조업 외 3 종,울산광역시 북구 산성로 40(효문동 울산지식산업센터) 1호동 4층 405호,울산광역시 북구 효문동 812-1 울산지식산업센터 1호동 4층 405호,052-260-7047,052-260-7028,2025-11-27
(주)만도,그 외 자동차용 신품 부품 제조업 외 3 종,울산광역시 북구 중산산업3길 41 (중산동),울산광역시 북구 중산동 1262-1번지,052-933-7600,052-933-7614,2025-11-27
(주)만앤휴멜동우 울산지점,기체 여과기 제조업,울산광역시 북구 죽전로 18 (효문동 (주)동우),울산광역시 북구 효문동 816-1번지,052-287-2036,052-287-2305,2025-11-27
(주)명문오토텍,자동차 엔진용 신품 부품 제조업,울산광역시 북구 중산산업로 89 (중산동 현대파워텍(주)),울산광역시 북구 중산동 1257-1번지 현대파워텍(주),052-283-0809,052-283-0803,2025-11-27
(주)명성엔지니어링,배전반 및 전기 자동제어반 제조업,울산광역시 북구 책골길 50 (효문동),울산광역시 북구 효문동 158-2번지,052-257-6401,052-257-6403,2025-11-27
(주)명성티엔지,그 외 기타 금속가공업,울산광역시 북구 농공단지3길 45(달천동 대영기공),울산광역시 북구 달천동 206-10 대영기공,052-296-5140,052-296-5141,2025-11-27
(주)모던,수소 제조업 외 1 종,울산광역시 북구 중산산업로 66 (중산동),울산광역시 북구 중산동 1253-5번지,052-295-1913,052-295-1914,2025-11-27
(주)모스캠텍,그 외 기타 분류 안된 금속 가공 제품 제조업,울산광역시 북구 산성로 40(효문동 울산지식산업센터) 1호동 1층 116호,울산광역시 북구 효문동 812-1 울산지식산업센터 1호동 1층 116호,052-288-3346,052-288-3314,2025-11-27
(주)모팜,자동차 엔진용 신품 부품 제조업 외 1 종,울산광역시 북구 모듈화산업로 31 (효문동),울산광역시 북구 효문동  994번지,052-255-2300,,2025-11-27
(주)바르계,가금류 가공 및 저장 처리업,울산광역시 북구 당수골26길 44 (호계동),울산광역시 북구 호계동 1020-8,052-245-7914,052-245-5289,2025-11-27
(주)베스틱,자동차 차체용 신품 부품 제조업,울산광역시 북구 모듈화산업로 24 (효문동),울산광역시 북구 효문동 1010번지,052-289-7100,052-289-3456,2025-11-27
(주)보문,산업용 냉장 및 냉동 장비 제조업 외 2 종,울산광역시 북구 매곡산업1길 30 (매곡동),울산광역시 북구 매곡동 347-9번지,052-295-1086,052-295-1087,2025-11-27
(주)복산종합전기,전동기 및 발전기 제조업,울산광역시 북구 진장17길 34 (명촌동),울산광역시 북구 명촌동 761-1,052-201-8994,052-201-8904,2025-11-27
(주)브랜드뉴,절삭가공 및 유사처리업 외 2 종,울산광역시 북구 매곡산업로 35 협업혁신관 B동 5호(매곡동 자동차부품기술연구소),울산광역시 북구 매곡동 342-1 자동차부품기술연구소 협업혁신관 B동 5호,052-710-3396,052-912-0580,2025-11-27
(주)삼광케미칼,그 외 자동차용 신품 부품 제조업 외 3 종,울산광역시 북구 산성로 83 (효문동),울산광역시 북구 효문동 1018,051-203-0019,051-205-3055,2025-11-27
(주)삼미기계,기타 가공 공작기계 제조업,울산광역시 북구 매곡산업1길 7 (매곡동 (주)삼미기계),울산광역시 북구 매곡동 345-1번지,052-281-7844,052-281-7848,2025-11-27
(주)삼미기계,기타 가공 공작기계 제조업,울산광역시 북구 매곡산업로 11 (매곡동) (주)성일메탈,울산광역시 북구 매곡동 342-4 (주)성일메탈,052-281-7844,052-281-7848,2025-11-27
(주)삼미에이지브이,그 외 기타 특수목적용 기계 제조업 외 1 종,울산광역시 북구 매곡산업4길 21 (매곡동),울산광역시 북구 매곡동 872-1번지,052-298-2311,052-298-2316,2025-11-27
(주)삼미정공,기타 가공 공작기계 제조업,울산광역시 북구 매곡산업3길 9 (매곡동 (주)삼미정공),울산광역시 북구 매곡동  350-2번지,052-298-2311,,2025-11-27
(주)삼산전자통신,방송장비 제조업,울산광역시 북구 진장20길 7-5 (진장동),울산광역시 북구 진장동 492-2,052-268-2233,0505-262-2233,2025-11-27
(주)삼성하이테크시스템,비디오 및 기타 영상기기 제조업,울산광역시 북구 화봉로 178 (연암동 웰라이프비즈),울산광역시 북구 연암동 317-6번지 웰라이프비즈,052-288-4533,052-287-4994,2025-11-27
(주)삼양특수강,그 외 기타 금속가공업,울산광역시 북구 중산산업3길 56 (중산동),울산광역시 북구 중산동 1263-3번지,052-295-2768,052-295-2775,2025-11-27
(주)삼우하이텍,운송장비 조립용 플라스틱제품 제조업 외 1 종,울산광역시 북구 중산산업로 73 (중산동),울산광역시 북구 중산동  1255-3번지,052-286-4211,,2025-11-27
(주)서연이화,자동차용 신품 의자 제조업 외 6 종,울산광역시 북구 효암로 336 (연암동) (총 19 필지) 외 18필지,울산광역시 북구 연암동 925-1번지 외 18필지,052-219-5119,052-219-5115,2025-11-27
(주)서울특수엔지니어링,산업처리공정 제어장비 제조업,울산광역시 북구 산성로 48-10 (효문동 서울특수엔지니어링),울산광역시 북구 효문동 812-3번지,052-287-0153,052-287-4284,2025-11-27
(주)서진테크,전동기 및 발전기 제조업,울산광역시 북구 농공단지1길 54 (달천동),울산광역시 북구 달천동 212-4번지,052-286-8931,052-286-8930,2025-11-27
(주)서진하이텍,전동기 및 발전기 제조업 외 1 종,울산광역시 북구 중산산업1길 26 (중산동),울산광역시 북구 중산동 1271-1번지,052-236-9939,052-236-2604,2025-11-27
(주)선우오토텍,산업용 송풍기 및 배기장치 제조업 외 5 종,울산광역시 북구 중산산업로 35 (중산동 (주)선우오토텍),울산광역시 북구 중산동  1256-2번지,052-298-6881,052-258-0517,2025-11-27
(주)선진시스템,기기용 자동측정 및 제어장치 제조업,울산광역시 북구 산성로 40(효문동 울산지식산업센터) 1호동 7층 711호,울산광역시 북구 효문동 812-1 울산지식산업센터 1호동 7층 711호,052-287-2287,052-947-2155,2025-11-27
(주)성도이엔지,운송장비 조립용 플라스틱제품 제조업,울산광역시 북구 농공단지4길 55(달천동),울산광역시 북구 달천동 205-8,041-532-9605,041-532-9606,2025-11-27
(주)성림기업,그 외 자동차용 신품 부품 제조업 외 3 종,울산광역시 북구 효자로 134 (연암동),울산광역시 북구 연암동 694-1번지,052-288-6008,052-288-6019,2025-11-27
(주)성웅인더스트리,자동차용 신품 의자 제조업,울산광역시 북구 매곡산업3길 7 (매곡동),울산광역시 북구 매곡동 350-3번지,052-289-6547,052-288-6547,2025-11-27
(주)세강,유압기기 제조업 외 6 종,울산광역시 북구 산성로 22 (효문동),울산광역시 북구 효문동 813-6번지,051-818-2482,,2025-11-27
(주)세림정공,그 외 기타 일반목적용 기계 제조업 외 1 종,울산광역시 북구 매곡산업로 35  자동차부품혁신센터 협업혁신관 (매곡동),울산광역시 북구 매곡동 342-1번지 자동차부품혁신센터 협업혁신관,052-288-4634,052-288-3634,2025-11-27
(주)세왕공업,그 외 자동차용 신품 부품 제조업,울산광역시 북구 중산산업로 22 (중산동),울산광역시 북구 중산동 1259번지,052-287-8808,052-287-8668,2025-11-27
(주)세일,주형 및 금형 제조업,울산광역시 북구 매곡산업5길 30 (매곡동),울산광역시 북구 매곡동 884-2번지,052-285-2200,052-281-3960,2025-11-27
(주)세창기공,내연기관 제조업,울산광역시 북구 무룡1로 63-9 (연암동),울산광역시 북구 연암동 588-2번지,052-287-5802,052-287-0760,2025-11-27
(주)송광,그 외 기타 전기장비 제조업,울산광역시 북구 산성로 40(효문동 울산지식산업센터) 1호동 1층 118호 외 1필지,울산광역시 북구 효문동 812-1 울산지식산업센터 1호동 1층 118호 외 1필지,052-283-3891,052-283-3890,2025-11-27
(주)수산뉴텍,전기회로 접속장치 제조업 외 1 종,울산광역시 북구 매곡산업로 35 협업혁신관 B4호실 (매곡동),울산광역시 북구 매곡동 342-1번지 협업혁신관 B4호실,052-259-4246,054-280-3999,2025-11-27
(주)수산이앤에스,전기회로 접속장치 제조업 외 1 종,울산광역시 북구 매곡산업로 21 3층 (주)수산이엔에스 (매곡동 자동차조선기술관),울산광역시 북구 매곡동 342-2번지 자동차조선기술관 3층 (주)수산이엔에스,052-258-3860,052-258-3865,2025-11-27
(주)신기로직스,그 외 자동차용 신품 부품 제조업,,울산광역시 북구 매곡동 370-6 외 1필지,052-281-2722,,2025-11-27
(주)신기로직스,그 외 자동차용 신품 부품 제조업,,울산광역시 북구 매곡동 183-4 외 1필지,052-281-2722,,2025-11-27
(주)신성이엔씨,컨베이어장치 제조업 외 1 종,울산광역시 북구 산성로 40(효문동 울산지식산업센터) 1호동 3층 305호,울산광역시 북구 효문동 812-1 울산지식산업센터 1호동 3층 305호,052-238-0124,052-237-5196,2025-11-27
(주)신영,자동차 차체용 신품 부품 제조업 외 1 종,울산광역시 북구 책골길 36 (효문동 신영금속주식회사),울산광역시 북구 효문동 176번지,052-288-3010,052-288-1810,2025-11-27
(주)신우정밀,기타 가공 공작기계 제조업 외 1 종,울산광역시 북구 농공단지5길 27 (달천동),울산광역시 북구 달천동 204-5번지,052-295-2860,052-282-2862,2025-11-27
(주)신우지엠티,그 외 기타 일반목적용 기계 제조업 외 2 종,울산광역시 북구 매곡산업로 5(매곡동 (주)대원산업),울산광역시 북구 매곡동 342-5 (주)대원산업,052-281-6265,052-292-6266,2025-11-27
(주)신우하이테크,가죽의복 제조업,울산광역시 북구 산성로 40(효문동 울산지식산업센터) 1호동 B1층 B-114호,울산광역시 북구 효문동 812-1 울산지식산업센터 1호동 B1층 B-114호,052-265-3291,052-265-3292,2025-11-27
(주)신일,수소 제조업 외 1 종,울산광역시 북구 활밤로 13 (효문동),울산광역시 북구 효문동 813-12번지,052-287-6700,052-287-6704,2025-11-27
(주)신텍,주형 및 금형 제조업,울산광역시 북구 매곡산업6길 12 (매곡동),울산광역시 북구 매곡동 886-3,052-282-0003,,2025-11-27
(주)신화인텍,그 외 기타 일반목적용 기계 제조업 외 2 종,울산광역시 북구 매곡산업6길 7(매곡동),울산광역시 북구 매곡동 885-4,052-288-6610,052-288-6613,2025-11-27
(주)신화테크,농업 및 임업용 기계 제조업 외 18 종,울산광역시 북구 매곡산업6길 20(매곡동),울산광역시 북구 매곡동 886-2,052-282-0003,052-282-1717,2025-11-27
(주)썬에이치에스티,배전반 및 전기 자동제어반 제조업,울산광역시 북구 산성로 40(효문동 울산지식산업센터) 1호동 9층 908-2호,울산광역시 북구 효문동 812-1 울산지식산업센터 1호동 9층 908-2호,052-296-0883,052-294-0884,2025-11-27
(주)씨앤투스,기체 여과기 제조업 외 1 종,울산광역시 북구 매곡산업로 59(매곡동),울산광역시 북구 매곡동 351-1,02-585-5915,,2025-11-27
(주)씨앤투스,기체 여과기 제조업,울산광역시 북구 매곡산업로 63(매곡동 (주)씨앤투스성진),울산광역시 북구 매곡동 351-2 (주)씨앤투스성진,02-585-5915,02-585-5911,2025-11-27
(주)씨앤투스,기체 여과기 제조업,울산광역시 북구 중산산업로 57(중산동),울산광역시 북구 중산동 1255-1,052-716-2503,052-292-2503,2025-11-27
(주)씨엔더블유,산업용 로봇 제조업,울산광역시 북구 염포로 266-1 2층 (효문동),울산광역시 북구 효문동 643-3번지 2층,052-988-6553,052-988-6554,2025-11-27
(주)씨제이프로텍,주형 및 금형 제조업,울산광역시 북구 매곡산업5길 7-7 (매곡동 현대계전산업(주)),울산광역시 북구 매곡동 351-12번지 현대계전산업(주),052-286-9052,052-286-9045,2025-11-27
(주)씨티알모빌리티,그 외 자동차용 신품 부품 제조업,울산광역시 북구 모듈화산업로 115(효문동 센트랄모텍),울산광역시 북구 효문동 979 센트랄모텍,052-290-1300,052-289-9572,2025-11-27
(주)씨티코리아,고무패킹류 제조업 외 2 종,울산광역시 북구 제내3길 6-4 (신천동) 외 1필지,울산광역시 북구 신천동 279-4번지 외 1필지,052-294-2210,052-282-9401,2025-11-27
(주)아세아스틸,자동차 차체용 신품 부품 제조업 외 1 종,울산광역시 북구 모듈화산업로 158 (연암동),울산광역시 북구 연암동  1392번지,053-584-0616,053-584-0616,2025-11-27
(주)아세아철강,자동차 차체용 신품 부품 제조업 외 1 종,울산광역시 북구 모듈화산업로 146 (연암동 아세아철강(주)),울산광역시 북구 연암동  1393번지,053-584-0616,053-584-0616,2025-11-27
(주)아울,그 외 기타 특수목적용 기계 제조업 외 1 종,울산광역시 북구 매곡산업1길 26 (매곡동),울산광역시 북구 매곡동 347-7번지,052-716-4700,052-716-4701,2025-11-27
(주)아이셈,기체 펌프 및 압축기 제조업 외 2 종,울산광역시 북구 농공단지3길 40 (달천동),울산광역시 북구 달천동 210-5번지,052-281-1372,052-281-1375,2025-11-27
(주)아일,금속 절삭기계 제조업,울산광역시 북구 효자로 54 (효문동) 외 6필지,울산광역시 북구 효문동 769-5번지 외 6필지,052-287-7291,052-287-7296,2025-11-27
(주)알파시스템,산업용 로봇 제조업 외 5 종,울산광역시 북구 무룡1로 95-1 (연암동 동남정비(주)),울산광역시 북구 연암동 622-1번지 동남정비(주),052-292-0829,052-281-6713,2025-11-27
(주)야정,액체 펌프 제조업,울산광역시 북구 산성로 40(효문동 울산지식산업센터) 1호동 5층 517호,울산광역시 북구 효문동 812-1 울산지식산업센터 1호동 5층 517호,052-260-5755,052-274-3942,2025-11-27
(주)에스에이치비,자동차 차체용 신품 부품 제조업 외 1 종,울산광역시 북구 염포로 272-1 (효문동),울산광역시 북구 효문동 620-1번지,052-289-8521,052-289-8525,2025-11-27
(주)에스에프코퍼레이션,분사기 및 소화기 제조업,울산광역시 북구 산성로 40(효문동 울산지식산업센터) 1호동 8층 812호,울산광역시 북구 효문동 812-1 울산지식산업센터 1호동 8층 812호,02-433-8444,,2025-11-27
(주)에이원,에너지 저장장치 제조업 외 4 종,울산광역시 북구 효천1길 24(효문동 주식회사 에이원),울산광역시 북구 효문동 1027 주식회사 에이원,052-289-7775,052-289-7707,2025-11-27
(주)에이피(AP),그 외 자동차용 신품 부품 제조업,울산광역시 북구 매곡산업2길 15 에이동 1층(매곡동 (주)대일매곡산업),울산광역시 북구 매곡동 353-2 (주)대일매곡산업 에이동 1층,052-282-4588,052-293-4518,2025-11-27
(주)에이피피텍,그 외 자동차용 신품 부품 제조업 외 3 종,울산광역시 북구 중산산업3길 7 (중산동),울산광역시 북구 중산동 1268-2번지,052-710-5200,052-710-5201,2025-11-27
(주)엔사이트,그 외 자동차용 신품 부품 제조업,울산광역시 북구 중산산업로 31-7 (중산동),울산광역시 북구 중산동 1258-1,052-287-1505,,2025-11-27
(주)엘앤씨에프앤씨,도시락류 제조업 외 1 종,울산광역시 북구 진장유통로 46-6 (진장동),울산광역시 북구 진장동 산 284-29번지,052-236-7126,052-236-7127,2025-11-27
(주)엠멕,전기회로 개폐 보호장치 제조업 외 2 종,울산광역시 북구 산성로 40(효문동 울산지식산업센터) 1호동 8층 814호,울산광역시 북구 효문동 812-1 울산지식산업센터 1호동 8층 814호,070-4240-5030,,2025-11-27
