회사명,업종명,생산품,주소,연락처,출처파일,전화번호,대표자명,공장대표주소(지번),공장대표주소(도로명)
에이치제이산전(주),자동차용 금속 압형제품 제조업 외 5 종,"차단기,저압배전반,공기청정기","경기도 수원시 권선구 오목천로132번길 33, 5층 505호 (고색동, 휴먼스카이밸리) 5층 505호 외 6필지",031-895-4545,경기도 수원시_제조업현황_20250214.csv,,,,
주식회사 세븐미어캣,교통 신호장치 제조업,"주차주제어장치, 차량인식기","경기도 시흥시 서울대학로 59-21, 6층 622 (정왕동) 6층 622호",,경기도 시흥시_공장등록현황_20250618.csv,,,,
(주)늘솜,전기경보 및 신호장치 제조업 외 3 종,어린이 보호차량 안전장치,경기도 시흥시 목감우회로114번길 38 (목감동),,경기도 시흥시_공장등록현황_20250618.csv,,,,
(주)우현모터스,자동차 종합 수리업 외 1 종,"자동차 타이어 교환, 수리, 판매, 자동차 세차",경기도 시흥시 공단1대로195번길 14(정왕동),,경기도 시흥시_공장등록현황_20250618.csv,,,,
(주)다인전자통신,전기경보 및 신호장치 제조업 외 2 종,"차량차단기, 경광등, 차량검지기 외",경기도 시흥시 은계남길 32 (은행동) 성강해오름 지식산업센터 1동 9층 905호,,경기도 시흥시_공장등록현황_20250618.csv,,,,
주식회사 성원그룹,자동차 세차업,자동차 세차,경기도 시흥시 매화산단로 61 (도창동),,경기도 시흥시_공장등록현황_20250618.csv,,,,
(주)동성이엔지,교통 신호장치 제조업 외 3 종,"주차관제설비, 차량차단기",경기도 여주시 가남읍 삼승1길 57-20,,경기도 여주시_공장등록_20251229.csv,,,,
(주)굿링크,방송장비 제조업 외 7 종,"보안용카메라, 영상감시장치, 원격접속장치, 통합배선반, 계장제어장치, LED전광판, 전원공급장치, 버스 및 차량 정보안내장치",경상남도 진주시 동진로 307 (상대동),055-742-0090,경상남도 진주시_공장등록현황_20250212.csv,,,,
(주)성오전력,비디오 및 기타 영상기기 제조업 외 1 종,버스및차량정보안내장치,경상남도 진주시 진성면 동부로1307번길 47,055-757-0365,경상남도 진주시_공장등록현황_20250212.csv,,,,
(주)소프트윙스,방송장비 제조업 외 3 종,"CCTV카메라, 통합관제시스템, 지능형영상분석시스템, 버스차량정보안내장치","경상남도 진주시 진주대로 501, A동 111호(가좌동, 경상국립대학교 가좌캠퍼스)",055-759-0590,경상남도 진주시_공장등록현황_20250212.csv,,,,
(주)소프트윙스 2공장,방송장비 제조업 외 3 종,"CCTV카메라, 통합관제시스템, 지능형영상분석시스템, 버스차량정보안내장치","경상남도 진주시 진주대로 501, 창업보육센터 B동 210호(가좌동, 경상국립대학교 가좌캠퍼스)",055-759-0590,경상남도 진주시_공장등록현황_20250212.csv,,,,
(주)아이피캠프,방송장비 제조업 외 3 종,"CCTV 카메라, 통합관제시스템, 지능형영상분석시스템, 버스차량 정보 안내 장치, 간판, 안내전광판","경상남도 진주시 동부로169번길 12, A동 13층 1308 (충무공동) A동 13층 1308호 외 2필지",055-763-3437,경상남도 진주시_공장등록현황_20250212.csv,,,,
대지정보통신㈜,비디오 및 기타 영상기기 제조업,버스차량 정보안내장치,경상남도 진주시 돗골로20번길 15(상평동),055-759-6464,경상남도 진주시_공장등록현황_20250212.csv,,,,
주식회사 부성정보통신,방송장비 제조업 외 6 종,"방송장비, 무선통신장비, 강우량계, 원격제어시스템 배전반 및 전기 자동제어반, 무인안내시스템, 버스 및 차량정보 안내장치, 기상관측장비",경상남도 진주시 동부로169번길 12 (충무공동) B동 17층 1711호,055-763-1035,경상남도 진주시_공장등록현황_20250212.csv,,,,
주식회사 시온이엔씨,전시 및 광고용 조명장치 제조업 외 2 종,"led전광판, 버스 및 차량정보 안내장치","경상남도 진주시 돗골로 22, 2층 (상평동)",055-758-8808,경상남도 진주시_공장등록현황_20250212.csv,,,,
삼광쉴드공업,자동차용 금속 압형제품 제조업 외 1 종,"모터,차단기",경상남도 김해시 유하로59번길 41 (유하동),055-314-7003,경상남도_제조업 현황_20240610.csv,,,,
싱크팩토리,교통 신호장치 제조업,"주차관제장치,차량인식기","경상남도 김해시 주촌면 소망길 88, 경남테크노파크 203호",055-724-2066,경상남도_제조업 현황_20240610.csv,,,,
해강정보통신(주),방송장비 제조업 외 5 종,"보안용카메라,영상감시장치,차량번호판동기,통합배선,안내전광판,교통정보전광판,구내방",경상남도 김해시 칠산로 367 (화목동),055-339-3366,경상남도_제조업 현황_20240610.csv,,,,
(주)유디피시스,유선 통신장비 제조업 외 6 종,"보안용카메라,영상감시장치,종합계측기,동보장치,계장제어장치,안내전광판,무선통신장치,마을무선방송장치,차량차단기,프로세스제어반,폐쇄형배전반,분전반,전동기제어반","경상남도 사천시 사천읍 수양로 80-41, 1층",055-832-3322,경상남도_제조업 현황_20240610.csv,,,,
(주)씨지티,유선 통신장비 제조업 외 5 종,"폐쇄회로텔레비전, 구내방송장치, 출입통제시스템, 주차관제장치, 자동차주차장지, 전화교환기, 네트워크연결장치, IP동보방송, 교통정보전광판, 안내전광판","경상남도 양산시 물금읍 범어로 114, 3층 309호",031-445-1010,경상남도_제조업 현황_20240610.csv,,,,
(주)웨이제닉테크,방송장비 제조업 외 1 종,"보안용카메라, 차량번호판독기",경상남도 양산시 외홈2길 33 (명동),055-366-3900,경상남도_제조업 현황_20240610.csv,,,,
(주)유명통신,방송장비 제조업 외 4 종,"영상감시장치,차량번호판독기",경상남도 창원시 마산합포구 노산남7길 3 (상남동),055-246-2344,경상남도_제조업 현황_20240610.csv,,,,
거송산업,그 외 자동차용 신품 부품 제조업 외 3 종,"유모차부품,자동차부품",경상남도 함안군 칠원읍 광려천북로 280-1,055-587-9944,경상남도_제조업 현황_20240610.csv,,,,
주식회사 케이엔엘이디,전시 및 광고용 조명장치 제조업 외 6 종,"LED조명등,LED전광판, CCTV카메라, 컴퓨터 , 버스 및 차량정보안내시스템, 무인안내시스템",경상남도 함안군 군북면 오장골길 139,055-266-1004,경상남도_제조업 현황_20240610.csv,,,,
(주)유에이썬,방송장비 제조업 외 19 종,"차량번호판독기,영상감시장치,정보검색소프트웨어,구내방송장치,배전반",경상북도 김천시 남면 옥산길 38-37,054-436-0530,경상북도 김천시_제조업체 등록현황_20251230.csv,,,,
(주)동해이엔에스,방송장비 제조업 외 1 종,"CCTV, 영상감시장치, 차량번호판독기",경상북도 포항시 남구 대해로 140 (대도동),,경상북도 포항시_제조업공장현황_20250813.csv,,,,
(주)에이치아이티,방송장비 제조업 외 2 종,디지털영상저장장치 버스및차량정보안내장치,경상북도 포항시 북구 흥해읍 달전로85번길 7-74,,경상북도 포항시_제조업공장현황_20250813.csv,,,,
청명산업,25999,차량번호판,광주광역시 북구 본촌마을길 55 B ,062-572-4747,광주광역시_제조업체 현황_20230201.csv,,,,
한빛솔루션,34019,자동차세차장비수리,광주광역시 광산구 용진로 563  ,,광주광역시_제조업체 현황_20230201.csv,,,,
주식회사 미래정보기술,,"보안용카메라, 영상감시장치, 차량판독기, 배전반, 계장제어장치",,,강원특별자치도 홍천군_제조업 공장 등록 현황_20240923.csv,033-433-6200,신동운,,
주식회사 미래정보기술,,"보안용카메라, 영상감시장치, 차량판독기, 배전반, 계장제어장치, 옥외조명설비",,,강원특별자치도 홍천군_제조업 공장 등록 현황_20240923.csv,033-433-6200,신동운,,
(주)대성무역,자동차 세차업 외 1 종,자동 세차 서비스,대구광역시 서구 와룡로 480 (이현동),,대구광역시_산업단지 기업 등록현황_20250707.csv,,,,
(주)라온에이치씨,기타 주변기기 제조업 외 5 종,"주차관제장치,영상감시장치,차량번호판독장치외","대구광역시 달서구 성서공단남로 37, 5층 514 (월암동) 5층 514호",,대구광역시_산업단지 기업 등록현황_20250707.csv,,,,
(주)엔슨소프트,방송장비 제조업 외 5 종,"cctv, 컴퓨터서버, 차량판독카메라, 기상전광판, 차량차단기, 차량인식기, 주차안내판","대구광역시 북구 검단동로 5, 207호, 407호, 408호(검단동)",,대구광역시_산업단지 기업 등록현황_20250707.csv,,,,
(주)엔티아이,자동차 세차업,세차장 운영,대구광역시 서구 와룡로 335(중리동),,대구광역시_산업단지 기업 등록현황_20250707.csv,,,,
(주)제이더블유엠,방송장비 제조업 외 2 종,"구내방송장치, 폐쇄회로 텔레비전시스템(보안용카메라, 차량판독기), 전광판","대구광역시 북구 오봉로 164, 506호 (침산동) 외 2필지",,대구광역시_산업단지 기업 등록현황_20250707.csv,,,,
(주)트라피스,방송장비 제조업 외 3 종,"보안용 카메라, 영상 감지 장치, 차량판독기, 컴퓨터 서버, 기상전광판","대구광역시 북구 검단동로 5, 401호(검단동)",,대구광역시_산업단지 기업 등록현황_20250707.csv,,,,
(주)한맥아이피에스 ,응용 소프트웨어 개발 및 공급업,차량번호판인식기,"대구광역시 수성구 달구벌대로604길 14-1, 수성의료지구 B4-6 (대흥동)",,대구광역시_산업단지 기업 등록현황_20250707.csv,,,,
고(Go)광택,자동차 세차업,자동차 세차(서비스),"대구광역시 서구 와룡로97길 25, 1층(이현동, 주)애플테크)",,대구광역시_산업단지 기업 등록현황_20250707.csv,,,,
금호이현대리점,자동차 종합 수리업 외 1 종,"자동차수리, 세차장",대구광역시 서구 평리로35길 67(중리동),,대구광역시_산업단지 기업 등록현황_20250707.csv,,,,
대하카써비스,자동차 전문 수리업 외 1 종,"자동차정비, 세차",대구광역시 서구 평리로35길 67 (중리동),,대구광역시_산업단지 기업 등록현황_20250707.csv,,,,
메인터넌스센터더블유(M.C.W),자동차 세차업,"세차,광택",대구광역시 서구 와룡로 489 (이현동),,대구광역시_산업단지 기업 등록현황_20250707.csv,,,,
서대구IC세차장,자동차 세차업,세차장,"대구광역시 서구 북비산로 48 (이현동, 서대구IC충전소 , 주유소)",,대구광역시_산업단지 기업 등록현황_20250707.csv,,,,
에이치투,자동차 신품 타이어 및 튜브 판매업 외 1 종,"타이어 소매, 차량 세차",대구광역시 서구 와룡로 360(중리동),,대구광역시_산업단지 기업 등록현황_20250707.csv,,,,
엠광택,자동차 세차업,세차서비스,대구광역시 서구 문화로 37 (이현동) 지하2층 세차장호,,대구광역시_산업단지 기업 등록현황_20250707.csv,,,,
워시뱅크 서대구점,자동차 세차업,자동차 세차,대구광역시 서구 와룡로 480 (이현동),,대구광역시_산업단지 기업 등록현황_20250707.csv,,,,
원대금속,그 외 기타 분류 안된 금속 가공 제품 제조업 외 5 종,차량번호판,"대구광역시 서구 와룡로 350 (중리동, 원대기계)",,대구광역시_산업단지 기업 등록현황_20250707.csv,,,,
월드광택,자동차 세차업,자동차 세차,"대구광역시 서구 문화로 37, 지하2층 정비공장 7~10호 (이현동)",,대구광역시_산업단지 기업 등록현황_20250707.csv,,,,
재광세차장,자동차 세차업,자동차 세차(서비스),대구광역시 서구 문화로13길 31(이현동),,대구광역시_산업단지 기업 등록현황_20250707.csv,,,,
제우스모형,인형 및 장난감 제조업,전동식무선조종자동차,대구광역시 북구 검단공단로 60-8 (검단동),,대구광역시_산업단지 기업 등록현황_20250707.csv,,,,
제이디 퍼포먼스,자동차 세차업,자동차 세차,"대구광역시 서구 문화로 49-1, B동 (이현동)",,대구광역시_산업단지 기업 등록현황_20250707.csv,,,,
제이엔지 디테일링,자동차 세차업,자동차세차,"대구광역시 북구 노원로 111, 1층 (노원동3가)",,대구광역시_산업단지 기업 등록현황_20250707.csv,,,,
주식회사 홍광,자동차 세차업,자동차세차,"대구광역시 서구 문화로 37, 지하2층 11, 12, 25, 27호 (이현동, M-world)",,대구광역시_산업단지 기업 등록현황_20250707.csv,,,,
평화카워시,자동차 세차업,자동차 세차,대구광역시 서구 평리로35길 14 (중리동),,대구광역시_산업단지 기업 등록현황_20250707.csv,,,,
프리비전(주),방송장비 제조업 외 3 종,"보안용 카메라, 영상감시장치, 차량번호판독기, 무인교통감시장치, 컴퓨터서버, LED 전광판","대구광역시 북구 검단동로 5, 208호 (검단동)",,대구광역시_산업단지 기업 등록현황_20250707.csv,,,,
하유광택,자동차 세차업,세차업,대구광역시 북구 노원로 111 (노원동3가),,대구광역시_산업단지 기업 등록현황_20250707.csv,,,,
(주)대유정보통신,유선 통신장비 제조업 외 6 종,"보안용카메라, 영상감사장치, 차량번호판독기 등","대구광역시 달성군 논공읍 비슬로366길 6, 1층",,대구광역시_제조업체(공장등록업체)현황_20250707.csv,,,,
(주)창완에이엘,알루미늄주물 주조업 외 2 종,"알미늄판, 차량번호판, 알미늄판",대구광역시 북구 오봉로 162 (침산동),,대구광역시_제조업체(공장등록업체)현황_20250707.csv,,,,
새로이,방송장비 제조업 외 4 종,"CCTV 및 방송장비, 스피커, 표식장비, 차량차단기, 컴퓨터 서버, 주차안내판, 차량인식기","대구광역시 북구 대현로 74, 4층 (대현동)",,대구광역시_제조업체(공장등록업체)현황_20250707.csv,,,,
주식회사 다올인포텍,방송장비 제조업,"영상감시장치, 보안용카메라, 차량번호 판독기","대구광역시 동구 동호로5길 14, 2층 (신서동)",,대구광역시_제조업체(공장등록업체)현황_20250707.csv,,,,
주식회사 유니버셜코리아,기타 물품 취급장비 제조업 외 1 종,"이동식 경사로, 차량인식기","대구광역시 달서구 구마로 131, 2층 (본리동)",,대구광역시_제조업체(공장등록업체)현황_20250707.csv,,,,
주식회사 한국엔지니어링웍스,,주차관제 차량차단기,"대전광역시 대덕구 대화로52번길 30 (대화동, 대화산기)",,대전광역시 대덕구_제조업공장등록현황_20250818.csv,,,,
(주)신우씨앤에스,,"보안용카메라, 영상감시장치, 차량번호판독기, 음향장치",대전광역시 동구 산내로1305번길 36-13 (낭월동),042-548-9983,대전광역시 동구_제조업 현황_20250711.csv,,,,
(주)이레테크,방송장비 제조업,"CCTV카메라, 오토리프트 장치","대전광역시 서구 복수동로87번길 13-6, 나동 (복수동)",042-670-8166,대전광역시 서구_공장등록 현황_20260202.csv,,,,
화성전기(주),,"CCTV카메라, 오토리프트 장치",대전광역시 서구 변동로 104 (변동),042-544-2782,대전광역시 서구_공장등록 현황_20260202.csv,,,,
노아전자,전기경보 및 신호장치 제조업 외 2 종,차량 내 갇힘 방지 경보 시스템,"부산광역시 강서구 미음산단5로41번길 21, 첨단융복합소재센터 303호 (미음동)",051-972-9943,부산광역시 강서구_공장 현황_20250113.csv,,,,
비원이미지 주식회사,방송장비 제조업 외 5 종,"차량 번호 판독기, cctv, 주차관제카메라, 출입통제시스템, 출입통제장치, 자료수집장치","부산광역시 부산진구 엄광로386번길 33, 1층 (범천동)",051-714-5055,부산광역시 부산진구_공장등록현황_20250630.csv,,,,
(주)제일시스템,기타 음향기기 제조업 외 7 종,"매트릭스스위쳐, CCTV용카메라,차량검지기.,출차주의등,장내경광등,루프코일",부산광역시 수영구 망미번영로 73 (망미동),051-802-0920,부산광역시 수영구_기업체(공장등록) 현황_20250619.csv,,,,
(주)단해,전기경보 및 신호장치 제조업 외 1 종,"중앙집중여과설비 및 차량후방카메라, 전동실린더","인천광역시 서구 갑문2로 43(오류동, 단해창도클러스터-(주)단해)",032-455-5581,인천광역시 서구_제조업체_20250402.CSV,,,,
(주)라이트로드,교통 신호장치 제조업,"LED교통신호등(차량, 보행, 숫자형), 바닥형 보행신호등","인천광역시 서구 거북로 17, (석남동, 인천테크피아) A동 6층 601-2호",031-282-3947,인천광역시 서구_제조업체_20250402.CSV,,,,
(주)케이엘에스티,비디오 및 기타 영상기기 제조업 외 1 종,"키오스크, 차량정보안내장치","인천광역시 서구 건지로153번길 11-13, 2층(석남동)",02-3667-5214,인천광역시 서구_제조업체_20250402.CSV,,,,
대산금속,도금업 외 1 종,차량번호판,"인천광역시 서구 가람로 14, 2층 인천표면처리센터 코아텍 221호 (오류동)",032-577-8463,인천광역시 서구_제조업체_20250402.CSV,,,,
주식회사 씨티콘,기체 여과기 제조업 외 13 종,"공기정화 퍼걸러(스마트 쉘터), 버스 승강장, 차량정보안내장치, 기상전광판","인천광역시 서구 정서진로 410, D동201호(오류동, 창업·벤처 녹색융합클러스터)",032-565-6369,인천광역시 서구_제조업체_20250402.CSV,,,,
(주)글로벌브릿지,기타 무선 통신장비 제조업 외 3 종,"교통관제시스템, 무선통신장치, 차량번호판동그, 교통관제시스템","인천광역시 연수구 송도미래로 30, A동 17층 1710 (송도동) A동 17층 1710호 외 1필지",032-715-8337,인천광역시 연수구_공장등록 현황_20250531.csv,,,,
주식회사 시온이엔지,교통 신호장치 제조업 외 3 종,"영상감시장치, 차량번호판독기, LED전광판, 서버, CCTV카메라",전북특별자치도 군산시 성산면 동군산로 122,063-453-7722,전북특별자치도 군산시_제조업공장현황_20250623.csv,,,,
