회사명,업종명,생산품,주소,연락처,출처파일
(주)세노텍,,"Power trans, 무선충전기, 차량용 안테나, 비접촉체온계 등",충청북도 청주시 흥덕구 복대동 100-5 409호 409호 외 2필지,043-275-1701,충청북도_제조업체 현황_20241231.csv
(주)세농테크,,정미기 부품,충청북도 청주시 흥덕구 송정동 70-73 직지스마트타워 1331호 1331호,043-266-7300,충청북도_제조업체 현황_20241231.csv
(주)세종디지털통신,,"통신모듈,전기전자부품",충청북도 청주시 서원구 남이면 척산리 323-4,044-866-9149,충청북도_제조업체 현황_20241231.csv
(주)세종레이저,,"특장차 부품, 기계부품",충청북도 청주시 흥덕구 강내면 태성리 373-3,043-235-6301,충청북도_제조업체 현황_20241231.csv
(주)신광전자,,자동차부품 및 차단기부품,충청북도 청주시 청원구 북이면 대율리 126-6번지,043-213-3784,충청북도_제조업체 현황_20241231.csv
(주)신성엘앤씨,,자동차내장제,충청북도 청주시 흥덕구 강내면 황탄리 272-2번지,043-235-9846,충청북도_제조업체 현황_20241231.csv
(주)신우텍,,"플라스틱, 자동차 개폐장치",충청북도 청주시 흥덕구 옥산면 신촌리 31번지 외 1필지,043-278-2125,충청북도_제조업체 현황_20241231.csv
(주)신흥테크,,자동차부품,충청북도 청주시 청원구 북이면 신대리 161번지,043-214-6604,충청북도_제조업체 현황_20241231.csv
(주)심텍,,반도체PKG부품,충청북도 청주시 청원구 오창읍 양청리 810-8번지,043-269-9000,충청북도_제조업체 현황_20241231.csv
(주)썬에어로시스,,"항공기/헬기/전차/자동차/보트/선박/지진 외 시뮬레이터, 4D게임장비 등",충청북도 청주시 서원구 현도면 선동리 128번지,043-268-2177,충청북도_제조업체 현황_20241231.csv
(주)쎄타텍,,우주항공용 부품,충청북도 청주시 흥덕구 오송읍 정중리 653,043-234-9677,충청북도_제조업체 현황_20241231.csv
(주)씨에스오토메이션,,산업용자동밸브,"충청북도 청주시 흥덕구 송정동 279-5번지 세중테크노밸리 8층 804호, 805호",043-276-1332,충청북도_제조업체 현황_20241231.csv
(주)씨지에스,,"DEVICE(풍력발전기용), 자동화기계부품, 손세정기, 광역살포기, 퍼팅연습기",충청북도 청주시 청원구 외남동 268번지,043-213-6873,충청북도_제조업체 현황_20241231.csv
(주)아산이.엔.지,,배기장치부품,충청북도 청주시 흥덕구 송정동 279-5번지 세중테크노밸리 5층 510호,043-233-7970,충청북도_제조업체 현황_20241231.csv
(주)아이에스엘테크,,반도체장비 및 부품,충청북도 청주시 청원구 오동동 54-12 주 2동,043-218-5918,충청북도_제조업체 현황_20241231.csv
(주)아이엔이티,,솔라장비부품,충청북도 청주시 청원구 오창읍 기암리 146-7번지,043-716-2223,충청북도_제조업체 현황_20241231.csv
(주)아이엠,,반도체 부품,충청북도 청주시 청원구 오창읍 후기리 152-18,043-213-2055,충청북도_제조업체 현황_20241231.csv
(주)아이엠,,반도체부품,충청북도 청주시 청원구 오창읍 후기리 152-17번지 외 1필지,043-213-2055,충청북도_제조업체 현황_20241231.csv
(주)알에스오토,,2차전지 자동화설비,충청북도 청주시 흥덕구 복대동 100-5 610호 610호 외 2필지,043-212-0501,충청북도_제조업체 현황_20241231.csv
(주)앨트론 ,,"반도체장비부품, 전자빔장치 ",충청북도 청주시 흥덕구 송정동 27-14번지 (주)한국합성 3층,043-267-7898,충청북도_제조업체 현황_20241231.csv
(주)에스앤지시스템,,전기전자부품(송수신기) 등,충청북도 청주시 서원구 개신동 12번지 충북대학교 학연산공동기술연구원 E475호,043-262-1111,충청북도_제조업체 현황_20241231.csv
(주)에스에이치테크,,"냉장고, 세탁기 선풍기 부품,기계부품",충청북도 청주시 서원구 남이면 외천리 94번지,043-269-2947,충청북도_제조업체 현황_20241231.csv
(주)에스에이치테크,,샤프트기계부품 외,충청북도 청주시 서원구 남이면 척산리 500-1 외 12필지,043-269-2947,충청북도_제조업체 현황_20241231.csv
(주)에스엠알오토모티브모듈코리아,,전동식백미러,충청북도 청주시 흥덕구 옥산면 남촌리 1112-14번지 외 1필지,043-710-8111,충청북도_제조업체 현황_20241231.csv
(주)에스와이,,자동차사이드미러,충청북도 청주시 흥덕구 옥산면 과학산업1로 170,043-263-3030,충청북도_제조업체 현황_20241231.csv
(주)에스티에스테크놀로지,,"반도체장비, 가로등주, 등기구, 태양광 가로등, 태양광발전설비, LED조명, 항공기부품",충청북도 청주시 흥덕구 송절동 144-4번지 (송절동 144-4번지),043-212-9041,충청북도_제조업체 현황_20241231.csv
(주)에스티테크,,"금형(프레스용),금형용 부품",충청북도 청주시 흥덕구 강내면 연정리 198,043-234-3907,충청북도_제조업체 현황_20241231.csv
(주)에이브이지니어스,,자율주행부품,충청북도 청주시 청원구 오창읍 주성리 311-4 충북대학교 오창캠퍼스 융합기술원 B동 423호,043-217-0919,충청북도_제조업체 현황_20241231.csv
(주)에이스테크촉매,,자동차 촉매,충청북도 청주시 서원구 남이면 척산리 18-2,,충청북도_제조업체 현황_20241231.csv
(주)에이아이테크,,"PCB, 반도체 PKG부품 검사 및 포장",충청북도 청주시 흥덕구 옥산면 남촌리 1111-3,043-241-1560,충청북도_제조업체 현황_20241231.csv
(주)에이에스텍 ,,반도체 장비부품(코팅공정 등) ,충청북도 청주시 흥덕구 송정동 123-2번지,043-272-1423,충청북도_제조업체 현황_20241231.csv
(주)에이엔피 청주공장,,자동차 시트 커버,충청북도 청주시 흥덕구 봉명동 362-24번지,043-236-2434,충청북도_제조업체 현황_20241231.csv
(주)에이치앤엔코퍼레이션 ,,"정수기필터, 반도체장비부품 ",충청북도 청주시 흥덕구 송정동 279-5 세중테크노밸리 1305호 1305호,070-8756-7779,충청북도_제조업체 현황_20241231.csv
(주)에코앤드림,,"자동차부품, 자동차 친환경 구조변경(일반정비 제외)",충청북도 청주시 흥덕구 옥산면 남촌리 1108-3,043-268-8588,충청북도_제조업체 현황_20241231.csv
(주)에코플럭스,,"휴대폰전자부품,연마제",충청북도 청주시 흥덕구 옥산면 남촌리 1108-1번지,043-219-5900,충청북도_제조업체 현황_20241231.csv
(주)엔씨인베스트,,자동차용 첨가제,충청북도 청주시 서원구 남이면 대련리 54,043-268-5185,충청북도_제조업체 현황_20241231.csv
(주)엔씨테크,,반도체 등 제조장비 부품,충청북도 청주시 흥덕구 외북동 34-15,043-271-7430,충청북도_제조업체 현황_20241231.csv
(주)엔에스플라텍,,"수도배관부품,정화조부품,콩나물재배통",충청북도 청주시 서원구 현도면 시동리 369번지 외 2필지,043-260-3200,충청북도_제조업체 현황_20241231.csv
(주)엘라인이브이솔루션,,전기차 부품,충청북도 청주시흥덕구 봉명동 417-45번지 외 2필지,,충청북도_제조업체 현황_20241231.csv
(주)엘씨,,전기전자 장비부품,충청북도 청주시 청원구 내수읍 은곡리 287-2번지 외 3필지,043-285-9000,충청북도_제조업체 현황_20241231.csv
(주)엘씨,,"공작기계, 정밀기계부품 외",충청북도 청주시 흥덕구 송정동 279-5번지 세중테크노밸리 1동 13층 1313,043-285-9000,충청북도_제조업체 현황_20241231.csv
(주)엘에스테크,,반도체부품,충청북도 청주시 흥덕구 복대동 331-5,043-233-8872,충청북도_제조업체 현황_20241231.csv
(주)엠비젼,,"산업용 LED조명, 광학부품",충청북도 청주시 흥덕구 신성동 221번지,043-273-2910,충청북도_제조업체 현황_20241231.csv
(주)엠비젼,,머신비전 시스템용 부품,충청북도 청주시 흥덕구 복대동 100-5 806호 806호,043-273-2910,충청북도_제조업체 현황_20241231.csv
(주)엠에이테크,,"UPS(무정전전원장치),자동차충전기",충청북도 청주시 청원구 내수읍 구성리 303번지 (주)엠에이테크,043-233-3884,충청북도_제조업체 현황_20241231.csv
(주)엠티이엔지,,"하수구청소차,렉카차,트레일러,자동차연료탱크",충청북도 청주시 청원구 오창읍 모정리 141-2번지 외 7필지,043-216-9595,충청북도_제조업체 현황_20241231.csv
(주)오토라트,,자동제어반,충청북도 청주시 흥덕구 복대동 100-5 703호 703호,,충청북도_제조업체 현황_20241231.csv
(주)오토시스템,,자동제어반,충청북도 청주시 청원구 사천동 62-2번지,043-216-4111,충청북도_제조업체 현황_20241231.csv
(주)온누리테크,,자동차 부품,충청북도 청주시흥덕구 송정동 27-18번지,043-265-4792,충청북도_제조업체 현황_20241231.csv
(주)와이에스피 청주지점,,자동차시트커버,충청북도 청주시 흥덕구 봉명동 362-24번지,043-236-3434,충청북도_제조업체 현황_20241231.csv
(주)와이에스피전자 청주공장,,자동차용 PCB,충청북도 청주시 흥덕구 송정동 140-62,,충청북도_제조업체 현황_20241231.csv
(주)와이즈오토모티브,,Ez Parking(주차보조장치),충청북도 청주시 흥덕구 옥산면 환희리 124번지,02-888-8374,충청북도_제조업체 현황_20241231.csv
(주)와이케이신터링,,자동화 기계 부품,충청북도 청주시 흥덕구 송정동 70-73 직지스마트타워 807호 807호,043-272-5301,충청북도_제조업체 현황_20241231.csv
(주)용산 청주공장,,자동차용 전자제어 PCB,충청북도 청주시 흥덕구 송정동 140-62,043-236-2434,충청북도_제조업체 현황_20241231.csv
(주)우리정보통신,,인터넷전화기 부품,충청북도 청주시 상당구 가덕면 삼항리 192-5번지,043-260-4126,충청북도_제조업체 현황_20241231.csv
(주)우림하이테크,,"기계정밀부품,운반대차",충청북도 청주시 흥덕구 옥산면 가락리 326-3 외 3필지,043-260-4147,충청북도_제조업체 현황_20241231.csv
(주)우림하이테크,,"기계정밀부품, 운반대차",충청북도 청주시 흥덕구 옥산면 가락리 438-3번지 외 3필지,,충청북도_제조업체 현황_20241231.csv
(주)우진산전,,"경량전철및철도차량전기품, 저탄소 버스",충청북도 청주시 흥덕구 옥산면 남촌리 1108-6번지,043-210-0987,충청북도_제조업체 현황_20241231.csv
(주)우진에이엠티,,"DISPLAY 부품, DISPLAY부품에 적용가능한 점착 소재",충청북도 청주시 청원구 오창읍 후기리 152-27,,충청북도_제조업체 현황_20241231.csv
(주)우진하이텍,,자동차 사이드 미러,충청북도 청주시 청원구 북이면 대율리 499번지 외 2필지,043-211-6588,충청북도_제조업체 현황_20241231.csv
(주)위드큐브,,반도체장비설계및부품제조,충청북도 청주시 청원구 북이면 장재리 6-1번지 외 1필지,043-217-6768,충청북도_제조업체 현황_20241231.csv
(주)유라코퍼레이션,,자동차부품 외,충청북도 청주시 흥덕구 오송읍 연제리 388-13번지,070-7878-2400,충청북도_제조업체 현황_20241231.csv
(주)유진테크놀로지,,"금형,정밀기게가공부품",충청북도 청주시 청원구 오창읍 신평리 602-1번지,043-237-1113,충청북도_제조업체 현황_20241231.csv
(주)이노에어,,"송풍기및공기순환용팬,공기조화기,차량용순환팬",충청북도 청주시 청원구 오창읍 성산리 135-1번지 외 1필지,043-217-7061,충청북도_제조업체 현황_20241231.csv
(주)이알시스템,,"항공기 부품, 항공기부품점검장비, 외 13종",충청북도 청주시 청원구 내수읍 도원리 222-6,043-239-0300,충청북도_제조업체 현황_20241231.csv
(주)이엔씨테크,,"반도체부품, 장비제작",충청북도 청주시 흥덕구 화계동 207번지 (주)이엔씨테크,043-234-0006,충청북도_제조업체 현황_20241231.csv
(주)이지오,,자동차부품(TML ASSY),충청북도 청주시 흥덕구 오송읍 연제리 388-10,043-231-8580,충청북도_제조업체 현황_20241231.csv
(주)일양,,자동차용플라스틱부품,충청북도 청주시 청원구 북이면 석성리 345-1번지 (주)일양 외 9필지,043-211-6624,충청북도_제조업체 현황_20241231.csv
(주)일양테크,,자동차부품,충청북도 청주시 흥덕구 옥산면 국사리 487-1번지 외 3필지,043-268-6732,충청북도_제조업체 현황_20241231.csv
(주)일월산업,,산업기계및부품,충청북도 청주시 서원구 남이면 구미리 221-16번지 외 2필지,043-236-4423,충청북도_제조업체 현황_20241231.csv
(주)장원특장산업,,"왕겨운송차량, 톱밥운송차량, 농기계",충청북도 청주시 흥덕구 신전동 312-1,043-211-4851,충청북도_제조업체 현황_20241231.csv
(주)조은산업,,자동차 시트 봉제 가공품,충청북도 청주시 흥덕구 복대동 100-5 307호 307호 외 1필지,043-234-0382,충청북도_제조업체 현황_20241231.csv
(주)중부상사,,자동차 에어필터,충청북도 청주시 서원구 남이면 척산리 388-1 외 1필지,043-272-9994,충청북도_제조업체 현황_20241231.csv
(주)지쓰리,,"전자기기, 소프트웨어,차량용디지털운행기록계,분석프로그램",충청북도 청주시 서원구 수곡동 151-12번지,070-4740-4770,충청북도_제조업체 현황_20241231.csv
(주)지에스테크,,차단기부품케이스커버클로스바,충청북도 청주시 청원구 북이면 내추리 267-3번지 외 2필지,043-212-5053,충청북도_제조업체 현황_20241231.csv
(주)지엠에스티,,산업용 필터 부품,충청북도 청주시 흥덕구 복대동 100-5번지 11층 1119 11층 1119호,043-263-4284,충청북도_제조업체 현황_20241231.csv
(주)지트론,,"PCB가공, 자동차 전장제품 등, 건축용 플라스틱 조립품",충청북도 청주시 흥덕구 송정동 70-8번지,043-272-1104,충청북도_제조업체 현황_20241231.csv
(주)진명에이엘씨,,자동차 핸들카바 및 시트용 가죽,충청북도 청주시 흥덕구 봉명동 417-65번지,043-269-5543,충청북도_제조업체 현황_20241231.csv
(주)충북종합정비,,중기및 자동차정비,충청북도 청주시 흥덕구 신봉동 229-3번지 충북건설기계검사소,043-262-9661,충청북도_제조업체 현황_20241231.csv
(주)충청금속,,"난간, 차량방호울타리, 금속재울타리",충청북도 청주시 서원구 현도면 중삼리 297-5,043-243-3100,충청북도_제조업체 현황_20241231.csv
(주)케미닉스,,반도체 및 전자부품용 특수 필름,충청북도 청주시 청원구 내수읍 풍정리 115-12 외 1필지,043-715-6179,충청북도_제조업체 현황_20241231.csv
(주)케어라인(청원제2공장),,"장애자용전동의자차부품,스테어리프트",충청북도 청주시 상당구 미원면 운암리 519번지,043-543-5721,충청북도_제조업체 현황_20241231.csv
(주)케이와이,,"자동차용오디오스피커커버,자동차물딩",충청북도 청주시 흥덕구 옥산면 신촌리 39번지,043-278-3639,충청북도_제조업체 현황_20241231.csv
(주)코테스,,컴퓨터 주변기기 및 전자부품,충청북도 청주시 흥덕구 비하동 165-20 3층,043-235-7292,충청북도_제조업체 현황_20241231.csv
(주)크래프터 ,,"실험용장비, 자동화장비 부품 ",충청북도 청주시 흥덕구 송정동 407번지 1동 6층 605,042-934-1121,충청북도_제조업체 현황_20241231.csv
(주)크린플로,,반도체장비부품,"충청북도 청주시 흥덕구 송정동 279-5번지 세중테크노밸리 15층 1514호, 1515호",043-273-2700,충청북도_제조업체 현황_20241231.csv
(주)클라비스,,리튬이온전지부품,충청북도 청주시 청원구 오창읍 송대리 319-10번지,043-217-6146,충청북도_제조업체 현황_20241231.csv
(주)탑엔지니어링,,자동차부품,충청북도 청주시 흥덕구 옥산면 남촌리 1108-1번지,043-270-4687,충청북도_제조업체 현황_20241231.csv
(주)태강기업,,"특장차부품,특장차,기계구조물",충청북도 청주시 서원구 현도면 죽암리 242-0 외 1필지,043-269-5335,충청북도_제조업체 현황_20241231.csv
(주)토마스,,"전선, 자동화 부품",충청북도 청주시 청원구 오창읍 여천리 20-4번지,043-240-0727,충청북도_제조업체 현황_20241231.csv
(주)토마스케이블,,"전선, 자동화 부품, 기타절연선 및 케이블",충청북도 청주시 청원구 오창읍 여천리 20-7번지,043-240-0727,충청북도_제조업체 현황_20241231.csv
(주)티앤와이,,전자부품용 프레스COVER,충청북도 청주시 청원구 북이면 내둔리 453-1번지,043-217-8269,충청북도_제조업체 현황_20241231.csv
(주)퍼스타,,"수배전반, 자동제어반, 전기전자 부품 외",충청북도 청주시 서원구 남이면 척산리 323-4번지,042-863-8648,충청북도_제조업체 현황_20241231.csv
(주)플렉스로직,,"시험계측장비, 철도용 신호장치 및 부품 등",충청북도 청주시 흥덕구 송정동 279-5 세중테크노밸리 1404호 1404호 외 2필지,043-265-0833,충청북도_제조업체 현황_20241231.csv
(주)피아이에스(제2공장),,전기자동차 충전기,충청북도 청주시 청원구 내수읍 풍정리 235-1 외 4필지,,충청북도_제조업체 현황_20241231.csv
(주)피코프리시젼,,반도체소켓용 JIG(반도체부품),충청북도 청주시 흥덕구 휴암동 183-8,043-715-5513,충청북도_제조업체 현황_20241231.csv
(주)하나플라텍,,Gasket(2차전지용 에너지부품),충청북도 청주시 흥덕구 옥산면 덕촌리 16 외 2필지,070-4652-2680,충청북도_제조업체 현황_20241231.csv
(주)하영에스엠씨,,크린탱크정밀부품,충청북도 청주시 청원구 오창읍 성산리 403-5번지,043-298-4302,충청북도_제조업체 현황_20241231.csv
(주)한국차폐시스템,,"컴퓨터주변기기,멀티미디어방송장비,자동차미션시험장치",충청북도 청주시 서원구 남이면 척북리 124-1번지,043-263-5573,충청북도_제조업체 현황_20241231.csv
(주)한길에스브이,,"레이져,특장차부품",충청북도 청주시 흥덕구 강내면 황탄리 242-5번지,043-231-5012,충청북도_제조업체 현황_20241231.csv
(주)한림의료기,,"의료용기기,전자부품,전기장치,금형,의료용침대",충청북도 청주시 청원구 오창읍 송대리 316-11번지,043-241-3271,충청북도_제조업체 현황_20241231.csv
(주)한울이엔지,,"분광계 부품, 의료용 방사선 부품",충청북도 청주시 흥덕구 오송읍 정중리 679,070-7559-7115,충청북도_제조업체 현황_20241231.csv
(주)현태,,"복합센서모듈,기타전자부품",충청북도 청주시 서원구 개신동 12번지 충북대학교학연산공동기술연구원 774호,043-235-6258,충청북도_제조업체 현황_20241231.csv
(주)화성이엔지,,"배관재,덕트부품",충청북도 청주시 청원구 사천동 169-15번지,043-239-4489,충청북도_제조업체 현황_20241231.csv
(주)화인텍코리아,,"전자기기부품, 금속금형부품",충청북도 청주시 흥덕구 옥산면 호죽리 173-2,043-260-6289,충청북도_제조업체 현황_20241231.csv
GMT,,기계장비 부품,충청북도 청주시 청원구 오창읍 일신리 198,043-271-2663,충청북도_제조업체 현황_20241231.csv
K. T. AN,,"건설기계부품, 버켓 및 건설기계수리",충청북도 청주시 흥덕구 옥산면 가락리 641번지,043-260-3577,충청북도_제조업체 현황_20241231.csv
