회사명,업종명,생산품,주소,연락처,출처파일
세진기업,그 외 기타 플라스틱 제품 제조업,악기부품,경기도 고양시 일산동구 성현로135번안길 117-36 (성석동),031-975-9468,경기도_고양시_공장등록 현황_20251210.csv
주)센서라인,그 외 기타 전자부품 제조업 외 6 종,"감지기,CCTV,녹화장치,출입통제,LPR,주차관제","경기도 고양시 일산동구 호수로 646-24, 위너스21빌딩408 (장항동)",031-908-8562,경기도_고양시_공장등록 현황_20251210.csv
(주)이에이치,그 외 기타 전자부품 제조업 외 1 종,"전자회로용 스위치 및 릴레이 제조(26429), 트랜시버(transceiver, 휴대용 무선기) 제조(무선)(26299)",경기도 고양시 덕양구 원흥동 704번지 1동 6층 612호 외 1필지,031-974-2848,경기도_고양시_공장등록 현황_20251210.csv
(주)정은전자,그 외 기타 전자부품 제조업 외 1 종,어댑터,"경기도 고양시 일산동구 일산로358번길 53, 지하1층 (정발산동)",031-969-8822,경기도_고양시_공장등록 현황_20251210.csv
(주)태양경보시스템,그 외 기타 전자부품 제조업 외 1 종,"방범,방재,통신기기","경기도 고양시 일산동구 일산로 142, 910호 (백석동)",031-908-0497,경기도_고양시_공장등록 현황_20251210.csv
(주)로보웰,그 외 기타 일반목적용 기계 제조업 외 2 종,용접기기 및 부품,"경기도 고양시 일산동구 일산로 138,  일산테크노타운 103,103-1호(관리:109~112호) (백석동)",031-909-8700,경기도_고양시_공장등록 현황_20251210.csv
(주)이화바이오메딕스,그 외 기타 의료용 기기 제조업,의료기기부품,경기도 고양시 덕양구 대주로410번길 41 (주교동),031-968-4760,경기도_고양시_공장등록 현황_20251210.csv
주식회사 상진,그 외 기타 금속가공업,"인쇄기 기기 , 전기 부품, 부속설비 가공",경기도 고양시 일산동구 장항로 203-163 (장항동),031-901-6874,경기도_고양시_공장등록 현황_20251210.csv
(주)서돌전자통신,교통 신호장치 제조업 외 5 종,"전기식 교통신호장치 제조(28903), 전기감지장치(제조)(26295), 모뎀제조(26299), 감시용카메라 전용부품 제조(26421),  비디오 및 기타 영상기기 제조(26519), 인버터(무정전전원장치, UPS) 제조(28119)","경기도 고양시 일산동구 일산로 138, 9층 903-3호, 903-4호, 903-5호, 10층 1002-1호(백석동, 일산테크노타운)",031-901-5130,경기도_고양시_공장등록 현황_20251210.csv
(주)비티컴퍼스,교통 신호장치 제조업 외 3 종,"차량번호인식기,차량차단기,무인정산기,주차권발권기",경기도 고양시 덕양구 통일로 140 (동산동) 삼송테크노밸리 비동 4층 404호,031-810-9394,경기도_고양시_공장등록 현황_20251210.csv
(주)다이노,교통 신호장치 제조업 외 2 종,"차량차단기, 주차요금계산기, 차량인식기, 차량번호 판독기",경기도 고양시 일산서구 덕산로244번길 23 (덕이동) 2동,031-919-9889,경기도_고양시_공장등록 현황_20251210.csv
(주)오토게이트,교통 신호장치 제조업,주차주제어장치,경기도 고양시 덕양구 통일로 140 (동산동) A동 2층 253호,02-6951-1131,경기도_고양시_공장등록 현황_20251210.csv
(주)동명부품산업,건설 및 채광용 기계장비 제조업 외 1 종,"건설장비부품 및 산업기계제작, 금속가공제품 등",경기도 고양시 일산서구 송산로334번길 247-70 (법곳동) 다동,031-911-1158,경기도_고양시_공장등록 현황_20251210.csv
주식회사 메이크띵즈,가방 및 기타 보호용 케이스 제조업 외 30 종,"매트리스 침구류, 마대, 헬기구조망, 남성정장, 원피스, 내의, 셔츠, 운동복, 가죽의류, 모자, 지갑, 가방, 카디건, 기계자수, 구명조끼, 방탄복, 장갑, 방호복, 단추, 커튼유사제품, 천막, 융단, 변기커버, 민속의류, 유아복 내의, 직물제 모자, 가죽 끈, 호스 제조(강관), 자동차용 의자제조, 해머 제조(수공구), 식탁 및 주방용기, 안전핀/레버 및 기타 부분품","경기도 고양시 일산동구 문봉길 70, 3동 일부(문봉동)",032-684-7847,경기도_고양시_공장등록 현황_20251210.csv
인퓨즈(주),그 외 기타 전자부품 제조업,임베디드 마이크로콘트롤러 모듈,"경기도 과천시 과천대로7길 33, A동 9층 903호(갈현동, 디테크타워)",02-2685-1588,경기도 과천시_공장 현황_20260114.csv
(주)셀콤,기타 무선 통신장비 제조업,"유선통신기기부품, 기타","경기도 과천시 과천대로7길 65, B동 8층 802호(갈현동, 과천상상자이타워)",,경기도 과천시_공장 현황_20260114.csv
RFHIC㈜,기타 무선 통신장비 제조업,"전력증폭기 및 RF부품 외(GaAs MMIC, Gan Amp, LNA)","경기도 과천시 과천대로12길 110(갈현동, RFHIC(주)과천사옥)",031-8069-3045,경기도 과천시_공장 현황_20260114.csv
(주)거화전자,그 외 자동차용 신품 부품 제조업 외 3 종,자동차부품조립(Power window s/w),경기도 광명시 광명동 720-5번지,02-2681-8810,경기도 광명시_공장등록현황_20251208.csv
(주)남일커넥션,그 외 기타 전자부품 제조업 외 4 종,"와이어링 하네스, 와이어링 하네스, 와이어링 하네스, 와이어링 하네스, 와이어링 하네스",경기도 광명시 소하동 1345 광명테크노파크 C동 11층 1110호,02-808-0889,경기도 광명시_공장등록현황_20251208.csv
(주)네오텔,그 외 기타 전자부품 제조업 외 1 종,통신기기 부품,경기도 광명시 소하동 1345번지 광명테크노파크 E동 10층 1004호,02-2083-1885,경기도 광명시_공장등록현황_20251208.csv
(주)도래샘(5공장),"금속 문, 창, 셔터 및 관련제품 제조업 외 3 종","차수판, 자동차수장치, 차단게이트",경기도 광명시 노온사동 365-6,02-861-8048,경기도 광명시_공장등록현황_20251208.csv
(주)동원행거,일반철물 제조업,자동차부품(행거),경기도 광명시 철산동 123-2번지,02-2686-1858,경기도 광명시_공장등록현황_20251208.csv
(주)동한전자,그 외 기타 전자부품 제조업 외 1 종,보드아세이,경기도 광명시 소하동 1365번지,02-895-4531,경기도 광명시_공장등록현황_20251208.csv
(주)드라스타,"탭, 밸브 및 유사장치 제조업 외 1 종","가스 레귤레이터, 압력조정기, 반도체장비 및 부품",경기도 광명시 하안동 303 401호 401호 외 24필지,02-2637-0114,경기도 광명시_공장등록현황_20251208.csv
(주)디앤지오토매틱,배전반 및 전기 자동제어반 제조업,자동문 오퍼레이터,"경기도 광명시 소하동 1345 번지 광명테크노파크 에이동 3층 에이306, 에이307호",02-6112-2800,경기도 광명시_공장등록현황_20251208.csv
(주)문화테크,자동차용 신품 전기장치 제조업 외 1 종,"자동차부품(콘덴서, led외)",경기도 광명시 하안동 201번지 아파트형공장 제1동 2동 5층 3,02-898-8886,경기도 광명시_공장등록현황_20251208.csv
(주)삼일양행,시계 및 시계부품 제조업,시계,경기도 광명시 하안동 36-1번지,02-895-0011,경기도 광명시_공장등록현황_20251208.csv
(주)상진,자동차용 금속 압형제품 제조업 외 1 종,"컴퓨터 주변기기,정보통신부품",경기도 광명시 광명동 153-1번지,02-2615-5571,경기도 광명시_공장등록현황_20251208.csv
(주)샘플피씨비,전자부품 실장기판 제조업 외 3 종,"인쇄회로기판, 계측기기",경기도 광명시 소하동 1345 광명테크노파크 A동 1303호,02-8667-1992,경기도 광명시_공장등록현황_20251208.csv
(주)서울신소재,주형 및 금형 제조업,금형부품,경기도 광명시 가학동 781-10번지,02-2611-6187,경기도 광명시_공장등록현황_20251208.csv
(주)세코인터페이스,그 외 자동차용 신품 부품 제조업 외 3 종,매연저감장치용 전장품,경기도 광명시 소하동 1345 번지 광명테크노파크 비동 4층 비402호,070-7781-0300,경기도 광명시_공장등록현황_20251208.csv
(주)스피드레이저기술,그 외 기타 전기장비 제조업,"레이저용접기, 지그기, 마킹기, 레이저기계부품, 레이저용접봉",경기도 광명시 소하동 1365 에이스 광명타워 208호,02-808-3399,경기도 광명시_공장등록현황_20251208.csv
(주)승영,그 외 자동차용 신품 부품 제조업 외 4 종,자동차부품,경기도 광명시 옥길동 225-3번지,02-2616-4493,경기도 광명시_공장등록현황_20251208.csv
(주)아이엔지,그 외 기타 전자부품 제조업 외 1 종,CABLE ASSEMBLY,경기도 광명시 소하동 1345번지 광명테크노파크 D동 8층 813 D동 8층 813호,02-2083-1470,경기도 광명시_공장등록현황_20251208.csv
(주)에프피텍,전자감지장치 제조업,"BLDC게이트 차단기컨트롤보드, 차량검지기",경기도 광명시 소하동 1345번지 광명테크노파크 A동 8층 809,02-6112-3800,경기도 광명시_공장등록현황_20251208.csv
(주)엔비엘,그 외 기타 플라스틱 제품 제조업,"정수기 부품, 환경용품",경기도 광명시 하안동 201번지,02-6298-7887,경기도 광명시_공장등록현황_20251208.csv
(주)엔에스엠테크,그 외 기타 금속가공업 외 2 종,"의료용 가구 부품, 호이스트부품",경기도 광명시 일직동 515-1 A동 19층 1913호,,경기도 광명시_공장등록현황_20251208.csv
(주)엠투플러스,산업처리공정 제어장비 제조업,자동화 부품 및 설비,경기도 광명시 소하동 1345 광명테크노파크 C동 8층 802호,02-2083-1611,경기도 광명시_공장등록현황_20251208.csv
(주)여주전자,그 외 자동차용 신품 부품 제조업 외 5 종,"Power Window s/w, Remote Control s/w, DMB Module, LED LAMP ","경기도 광명시 소하동 1365-0 에이스 광명타워 309,310호",02-894-6121,경기도 광명시_공장등록현황_20251208.csv
(주)영창비엔비테크,"고무, 화학섬유 및 플라스틱 성형기 제조업 외 1 종",휴대폰부품,경기도 광명시 소하동 1345번지 광명테크노파크 D동 1층 102,02-2083-2570,경기도 광명시_공장등록현황_20251208.csv
(주)예림 엘.엔.아이,방사선 장치 제조업,"자동차용,전장품,적외선치료기",경기도 광명시 철산동 66-11번지,02-2615-3403,경기도 광명시_공장등록현황_20251208.csv
(주)오토빌,그 외 기타 특수목적용 기계 제조업 외 1 종,전시체험물,경기도 광명시 노온사동 419-3번지,02-2626-9696,경기도 광명시_공장등록현황_20251208.csv
(주)우림,폴리스티렌 발포 성형제품 제조업 외 1 종,"전자부품,악기부품",경기도 광명시 소하동 1105-2번지,02-898-6454,경기도 광명시_공장등록현황_20251208.csv
(주)위쥬테크,그 외 기타 전자부품 제조업 외 7 종,"주차관제기기, 주차관제시스템, CCTV, 방송설비, 통합배선, CATV",경기도 광명시 소하동 1344 광명G타워 B1층 제지110호 B1층 제지110호,02-2663-2366,경기도 광명시_공장등록현황_20251208.csv
(주)유피테크광명,그 외 기타 전자부품 제조업,METAL MASK,경기도 광명시 소하동 1365번지 5층 521,031-344-1913,경기도 광명시_공장등록현황_20251208.csv
(주)윤진전자,전자부품 실장기판 제조업,자동차용 LED PCB ASSY,"경기도 광명시 소하동 1365번지 405호, 409호, 410호",02-896-7757,경기도 광명시_공장등록현황_20251208.csv
(주)이노시스템,"전기회로 개폐, 보호장치 제조업 외 2 종",산업용 자동차 분전반,경기도 광명시 일직동 515-1번지 B-1406,02-2060-5868,경기도 광명시_공장등록현황_20251208.csv
(주)이레산업,주형 및 금형 제조업,"금형메인코어 ,슬라이스코어, 변형코어 등 금형관련 부품 ",경기도 광명시 노온사동 212-4,02-857-8277,경기도 광명시_공장등록현황_20251208.csv
(주)이미지포커스,그 외 기타 전자부품 제조업 외 1 종,"조명, 조명controller",경기도 광명시 소하동 1345번지 광명테크노파크 D동 12층 1214,02-6112-2770,경기도 광명시_공장등록현황_20251208.csv
(주)장흥넥스트론,그 외 기타 전자부품 제조업 외 2 종,"파워코드, 비타민샤워필터, 센서",경기도 광명시 노온사동 436-10 지하 1층,02-2687-2152,경기도 광명시_공장등록현황_20251208.csv
(주)지아이비코리아,컴퓨터 제조업,IPU(고속도로 자동차 번호인식 장치),경기도 광명시 하안동 201 453호 453호,070-8849-5797,경기도 광명시_공장등록현황_20251208.csv
(주)칩센,"라디오, 녹음 및 재생 기기 제조업","산업용 무선통신부품, 모듈, 무선통신제품","경기도 광명시 일직동 501-4 501, B226호 501, B226호",02-1599-6005,경기도 광명시_공장등록현황_20251208.csv
(주)코스템,방송장비 제조업 외 2 종,"CCTV제품, 차량번호식별 제품",경기도 광명시 하안동 201번지 아파트형공장 제1동 4동 7층 4호,070-4640-2867,경기도 광명시_공장등록현황_20251208.csv
(주)피에스테크,기타 무선 통신장비 제조업,통신전자부품,경기도 광명시 소하동 1345 번지 광명테크노파크 이동 6층 이602호,02-2614-0511,경기도 광명시_공장등록현황_20251208.csv
(주)한국장애인복지일자리나눔,방송장비 제조업 외 2 종,"CCTV 등 영상감시장치, 인쇄물, 차량인식기, 장애인주차구역 단속시스템",경기도 광명시 소하동 1344 광명G타워 402호 402호,02-703-6793,경기도 광명시_공장등록현황_20251208.csv
MSTECH,그 외 기타 전자부품 제조업 외 2 종,주차관제 설비,경기도 광명시 하안동 201번지 아파트형공장 제1동 3동 6층 2-1,02-6672-1700,경기도 광명시_공장등록현황_20251208.csv
가달하이테크,주형 및 금형 제조업,금형부품,경기도 광명시 노온사동 197-2,02-2618-1251,경기도 광명시_공장등록현황_20251208.csv
거성정밀,그 외 기타 금속가공업 외 1 종,기계부품,경기도 광명시 옥길동 139-7번지,02-2611-1178,경기도 광명시_공장등록현황_20251208.csv
광성정밀,절삭가공 및 유사처리업,"볼스크류 가공, 기계부품 가공",경기도 광명시 하안동 201 4동 2층 2호,,경기도 광명시_공장등록현황_20251208.csv
금강공업사,자동차용 금속 압형제품 제조업 외 1 종,자동차번호판,경기도 광명시 철산동 123-2번지,02-867-1114,경기도 광명시_공장등록현황_20251208.csv
기아(주),승용차 및 기타 여객용 자동차 제조업,자동차,경기도 광명시 소하1동 781-1번지,02-801-4290,경기도 광명시_공장등록현황_20251208.csv
기호정밀공업,절삭가공 및 유사처리업,금형부품,경기도 광명시 소하동 1345 번지 광명테크노파크 에이동 10층 에이1004호,02-807-0263,경기도 광명시_공장등록현황_20251208.csv
네오텍(주),그 외 기타 전자부품 제조업,스마트폰 기능성 복합시트,경기도 광명시 소하동 1345번지 광명테크노파크 B동 1층 109,02-2083-2828,경기도 광명시_공장등록현황_20251208.csv
대성기업,그 외 기타 금속가공업,기계 부품,경기도 광명시 노온사동 382-28번지,02-2612-9346,경기도 광명시_공장등록현황_20251208.csv
대윤전자(주),배전반 및 전기 자동제어반 제조업,"중량제어시스템,출하자동차",경기도 광명시 하안동 201번지,02-807-9555,경기도 광명시_공장등록현황_20251208.csv
대정초경,주형 및 금형 제조업,반도체용 금형부품,경기도 광명시 하안동 201번지,02-896-3434,경기도 광명시_공장등록현황_20251208.csv
더함비즈(주),철도차량 부품 및 관련 장치물 제조업 외 1 종,주차관제시스템,경기도 광명시 하안동 303 1411호 1411호,02-2632-3230,경기도 광명시_공장등록현황_20251208.csv
동우산업,플라스틱 접착처리 제품 제조업 외 1 종,"자동차,전자부품",경기도 광명시 소하동 1345번지,02-2618-5673,경기도 광명시_공장등록현황_20251208.csv
두일산업,기체 여과기 제조업 외 2 종,"필터, 산업기기부품",경기도 광명시 철산동 626-3번지 광명조명타운 7층 702-1,02-855-4385,경기도 광명시_공장등록현황_20251208.csv
디아이디시스템 주식회사,전시 및 광고용 조명장치 제조업,버스 및 차량정보 안내 LED 전광판,경기도 광명시 소하동 1345 광명테크노파크 B동 906호 B동 906호,02-2083-1980,경기도 광명시_공장등록현황_20251208.csv
미크론정밀방전,주형 및 금형 제조업,"메인코어, 부품코어",경기도 광명시 노온사동 434-3 1층,02-855-5022,경기도 광명시_공장등록현황_20251208.csv
백천전자(주),그 외 기타 전자부품 제조업 외 1 종,커넥터,경기도 광명시 소하동 1365 에이스광명타워 411호,02-804-4748,경기도 광명시_공장등록현황_20251208.csv
블루텍플러스 주식회사,철도차량 부품 및 관련 장치물 제조업 외 9 종,"철도차량부품, 인쇄회로기판",경기도 광명시 하안동 201 번지 광명시범공단 161-2호,02-3275-0542,경기도 광명시_공장등록현황_20251208.csv
비엔티이엠에스,인쇄회로기판용 적층판 제조업 외 5 종,"인버터, 차량용시계",경기도 광명시 하안동 201번지,02-893-6121,경기도 광명시_공장등록현황_20251208.csv
삼주정밀,그 외 자동차용 신품 부품 제조업 외 4 종,자동차부품,경기도 광명시 소하동 1140-1번지,02-803-8175,경기도 광명시_공장등록현황_20251208.csv
삼진사,인형 및 장난감 제조업,"깨스쇼파반제품,의자,자동차",경기도 광명시 소하동 3-4번지,02-807-9063,경기도 광명시_공장등록현황_20251208.csv
선일정밀,그 외 기타 전자부품 제조업 외 1 종,전자부품,경기도 광명시 노온사동 673-7번지,02-2687-1509,경기도 광명시_공장등록현황_20251208.csv
성광정밀,"전기회로 개폐, 보호장치 제조업 외 2 종","전자부품(콘넥터), 시계부품",경기도 광명시 노온사동 666-2번지,02-2613-4471,경기도 광명시_공장등록현황_20251208.csv
성우화학공업사,폴리스티렌 발포 성형제품 제조업 외 1 종,전자부품(스윗치),경기도 광명시 소하동 31-14번지,02-804-9610,경기도 광명시_공장등록현황_20251208.csv
성원건기,건설 및 채광용 기계장비 제조업,기계부품,경기도 광명시 가학동 909-4번지 1층,02-853-2731,경기도 광명시_공장등록현황_20251208.csv
세원아이엔씨,"산업용 오븐, 노 및 노용 버너 제조업",공업용 전기히터 및 부품,경기도 광명시 소하동 1365 에이스 광명타워 506호 506호,02-2631-4950,경기도 광명시_공장등록현황_20251208.csv
솔텍엔지니어링,방송장비 제조업 외 2 종,"GPS, 휴대폰 부품",경기도 광명시 하안동 201-0번지,02-896-0124,경기도 광명시_공장등록현황_20251208.csv
스피드센서,그 외 기타 전자부품 제조업 외 1 종,온도센서,경기도 광명시 소하동 1345번지 광명테크노파크 C동 13층 1307,02-939-8604,경기도 광명시_공장등록현황_20251208.csv
신신전자공업(주),그 외 기타 전자부품 제조업 외 1 종,온도센서,"경기도 광명시 소하동 1337-7번지 6층, 7층",02-894-2694,경기도 광명시_공장등록현황_20251208.csv
씨케이라이프(주),그 외 기타 전자부품 제조업 외 1 종,"반도체장비용 케이블, ass,y, LED랩프",경기도 광명시 소하동 1240-2번지 한성빌딩 4층,02-899-7993,경기도 광명시_공장등록현황_20251208.csv
알코엔지니어링(주),"산업용 오븐, 노 및 노용 버너 제조업 외 2 종",산업용버너 및 버너관련부품,경기도 광명시 철산동 626-3번지,02-2060-6477,경기도 광명시_공장등록현황_20251208.csv
에벤에셀기업,시계 및 시계부품 제조업 외 9 종,"손목시계,벽시계",경기도 광명시 광명4동 158-847번지,02-2687-4675,경기도 광명시_공장등록현황_20251208.csv
