회사명,업종명,생산품,주소,연락처,출처파일
(유)와이케이,그 외 자동차용 신품 부품 제조업 외 3 종,"자동차부품, 농업용 육묘상자",전북특별자치도 군산시 가도로 129-19(오식도동),063-465-7884,전북특별자치도 군산시_제조업공장현황_20250623.csv
(유)이레산업,기타 가공 공작기계 제조업,자동차부품 제조설비,"전북특별자치도 군산시 중가도길 112 (오식도동, (유)이레산업)",063-467-9054,전북특별자치도 군산시_제조업공장현황_20250623.csv
(유)진테크,건설 및 채광용 기계장비 제조업 외 2 종,"휠로더 굴삭기 주요부품, 압축점화 피스톤식 엔진 제조(굴삭기, 도저 등), 건설중장비 Sub Ass'y 조립",전북특별자치도 군산시 동장산1길 44 (소룡동),063-468-6900,전북특별자치도 군산시_제조업공장현황_20250623.csv
(유)진테크,건설 및 채광용 기계장비 제조업,건설중장비  sub ass'y 조립,"전북특별자치도 군산시 외항로 598 (소룡동, 오토젠)",063-468-6900,전북특별자치도 군산시_제조업공장현황_20250623.csv
(유)천일테크,그 외 자동차용 신품 부품 제조업 외 2 종,자동차 부품,전북특별자치도 군산시 산단남북로 70 (오식도동),063-466-1704,전북특별자치도 군산시_제조업공장현황_20250623.csv
(유)케이특수선,합성수지선 건조업 외 6 종,"선박, 항공기 부품, 특장차 개조(예정)",전북특별자치도 군산시 무역로 80 (오식도동),063-471-1300,전북특별자치도 군산시_제조업공장현황_20250623.csv
(유)한빛페이퍼,펄프 제조업,화장지,전북특별자치도 군산시 옥산면 산성로 58-3 (자동차 부품),063-463-2558,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)NS테크,자동차용 신품 전기장치 제조업,와이어하네스,"전북특별자치도 군산시 서수면 용천로 334-12, (마룡리 93-25, 93-26번지)",041-742-0288,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)경덕산업,운송장비 조립용 플라스틱제품 제조업 외 1 종,자동차 도어핸들 외,전북특별자치도 군산시 소룡동번지 1645-3번지,032-562-4277,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)경신,자동차용 신품 동력전달장치 제조업 외 1 종,자동차배선조립,전북특별자치도 군산시 서수면 용천로 352 (경신공업㈜),063-730-3300,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)광산,그 외 자동차용 신품 부품 제조업,"c필라, 휠부품",전북특별자치도 군산시 산단로 133-9 (소룡동),063-463-2550,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)광석,운송장비 조립용 플라스틱제품 제조업 외 3 종,"플라스틱제 자동차 구성품, 특장차, 자동차용 새시 프라임, 금속 압형제품",전북특별자치도 군산시 소룡동 1648-10번지,063-462-5243,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)군장조선,선박 구성 부분품 제조업 외 3 종,"선박 구성부품, 선박",전북특별자치도 군산시 외항로 744(소룡동),041-952-9551,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)군진자동차,화물자동차 및 특수목적용 자동차 제조업,"K-AUTO, P-AUTO, T-AUTO, K-EPB, K-POWER, K-AIR SUSPENSION, 2WD&lt;&gt;4WD",전북특별자치도 군산시 외항로 925-21 (오식도동),063-732-9351,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)기성 군산공장,자동차 차체용 신품 부품 제조업 외 2 종,자동차용 조립판넬 등,전북특별자치도 군산시 자유로 85(소룡동),063-471-9341,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)농업회사법인 시원코리아,표면 가공 목재 및 특정 목적용 제재목 제조업,우드칩,"전북특별자치도 군산시 중가도길 111(오식도동, ㈜대동오토플러스)",000-0000-0000,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)뉴월드이엔이텍,자동차 엔진용 신품 부품 제조업 외 1 종,배기가스 저감장치,전북특별자치도 군산시 오식도동 515-16번지,063-291-6505,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)뉴파워스틸,항공기용 부품 제조업,항공기용 부품,전북특별자치도 군산시 중가도길 48(오식도동),000-0000-0000,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)다이브텍,그 외 자동차용 신품 부품 제조업 외 2 종,"자동차 차체부품, 특장차 제작부품, 보조전우너 시스템 제작","전북특별자치도 군산시 산단로 42, 2층 202호(오식도동)",063-732-9284,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)대성정밀,그 외 자동차용 신품 부품 제조업 외 7 종,"자동차부품, 금형, 금속압형제품",전북특별자치도 군산시 중가도길 56 (오식도동),063-468-7431,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)대우로지스틱스,일반 화물자동차 운송업,일반화물자동차운송업,"전북특별자치도 군산시 자유무역로 273 (오식도동, ㈜대우로지스틱스)",02-759-3654,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)대정,자동차 차체용 신품 부품 제조업 외 5 종,"자동차부품 ,robot service engine",전북특별자치도 군산시 자유로 15-15 (소룡동),063-471-7637,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)대정,자동차 차체용 신품 부품 제조업 외 4 종,"자동차용 새시 모듈 (DECK), sub-Frame, Device",전북특별자치도 군산시 산단남북로 158 (오식도동),063-471-7637,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)더넥스트,자동차 차체용 신품 부품 제조업 외 1 종,"자동차용 범퍼, 그릴","전북특별자치도 군산시 산단남북로 56, A동 105호(오식도동, 한국산업단지공단)",063-910-4200,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)더무브먼트,자동차 차체용 신품 부품 제조업 외 1 종,자동차 부품,전북특별자치도 군산시 동장산로 105-9(소룡동),063-212-6622,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)디케이텍,자동차 차체용 신품 부품 제조업,"프레임, 에어클리너, SHAFT 등",전북특별자치도 군산시 산단동서로 170 (오식도동),063-471-9588,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)명신,승용차 및 기타 여객용 자동차 제조업 외 1 종,"전기자동차, 자동차부품",전북특별자치도 군산시 자유로 34 (소룡동) 외 9필지,041-530-9800,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)무광특수강,강주물 주조업,레미콘 및 산업용부품,전북특별자치도 군산시 나포면 서왕길 48 외 1필지,063-453-8155,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)미도 ,운송장비 조립용 플라스틱제품 제조업 외 2 종,"자동차플라스틱 부품, 도장","전북특별자치도 군산시 자유무역로 149 (오식도동, ㈜미도)",063-467-3033,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)미래엠에스,자동차용 신품 전기장치 제조업 외 7 종,"전기제어컨트롤러, 무선통신장비 등",전북특별자치도 군산시 중가도길 64(오식도동),063-468-3322,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)발산공업,농업 및 임업용 기계 제조업,농기계부품,전북특별자치도 군산시 서수면 상장곤윗길 124,063-451-3253,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)보광,그 외 자동차용 신품 부품 제조업 외 3 종,자동차부품(레이저단품),전북특별자치도 군산시 중가도길 21 (오식도동),070-4350-3627,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)비에스엠신소재 군산공장,기체 여과기 제조업 외 3 종,"필터(자동차용, 공기청정기용), 첨착활성탄, 구리니켈코팅, 옥외용벤치, 발열전기패널","전북특별자치도 군산시 산단남북로 153-20(오식도동, 비에스엠신소재)",063-464-5495,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)비티엑스코리아,그 외 자동차용 신품 부품 제조업 외 3 종,"도어리치, 엔진마운틴브라켓",전북특별자치도 군산시 소룡동번지 1641-2번지 외 1필지 외 1필지,063-468-8922,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)삼성종합물류,안전유리 제조업 외 1 종,자동차용 유리 가공,전북특별자치도 군산시 자유로 41 (소룡동),063-466-3758,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)삼우임산,자동차 차체용 신품 부품 제조업 외 2 종,자동차 적재함용 목재,전북특별자치도 군산시 서수면 상장곤윗길 89 (㈜삼우임산) (총 2 필지) 외 1필지,063-451-1271,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)삼우테크 군산지점,그 외 자동차용 신품 부품 제조업 외 3 종,Axle Ass'y,전북특별자치도 군산시 소룡동번지 1596-8번지,032-813-7511,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)삼원오토텍,운송장비 조립용 플라스틱제품 제조업 외 1 종,I/P SIDE LH,"전북특별자치도 군산시 외항로 758 (소룡동, (주)삼원오토텍)",063-467-2145,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)삼화,자동차 차체용 신품 부품 제조업 외 1 종,상용차 프레임용 MBR,전북특별자치도 군산시 소룡동번지 1635-4번지,055-852-4700,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)서울정밀,자동차용 신품 동력전달장치 제조업 외 1 종,자동차용 동력전달장치용 부품,전북특별자치도 군산시 자유무역2길 15 (오식도동),063-461-6012,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)세아베스틸,제강업 외 9 종,"특수강,자동차부품,철도용품","전북특별자치도 군산시 외항로 522 (소룡동, 세아베스틸) (총 10 필지)",063-460-8619,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)세아씨앤에스(C&S),자동차 차체용 신품 부품 제조업 외 2 종,"자동차 차체용 게이트 생산, 금속가공업, 자동차 차체용 적재함 조립(상용차,덤프차량)",전북특별자치도 군산시 자유로 15-26(소룡동) 외 1필지,063-453-3116,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)스페이스솔루션,"탭, 밸브 및 유사장치 제조업 외 3 종","벨로우즈, 방산부품류, 과산화수소, 반도체 부품",전북특별자치도 군산시 산단남북로 78(오식도동) 외 1필지,042-939-4460,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)신성이엔지,그 외 자동차용 신품 부품 제조업 외 3 종,자동차부품(후크),전북특별자치도 군산시 산단남북로 154-22 (오식도동),063-467-4058,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)신성이엔지,건설 및 채광용 기계장비 제조업,중장비부품(굴착기),전북특별자치도 군산시 산단남북로 154-21(오식도동),063-467-4058,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)신호테크,자동차용 금속 압형제품 제조업 외 1 종,크레인 붐,"전북특별자치도 군산시 군산산단로 146-29 (오식도동, (유)나산기업)",063-464-7244,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)신호테크,자동차용 금속 압형제품 제조업 외 2 종,"크레인붐, 믹서유닛, 고소작업대, 차량용고소작업대","전북특별자치도 군산시 무역로 155 (오식도동, 대림철강)",063-464-7244,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)아르텍,자동차용 신품 동력전달장치 제조업 외 9 종,"동력장치, 피막처리, 철강구조물 등",전북특별자치도 군산시 소룡동번지 1640-2번지,063-467-6634,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)아이더블유케이(IWK),건설 및 채광용 기계장비 제조업,중장비부품,전북특별자치도 군산시 동가도길 50 (오식도동),063-466-8467,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)아이에스테크,자동차 차체용 신품 부품 제조업 외 6 종,,"전북특별자치도 군산시 동장산로 106-22 (소룡동, 아이에스테크)",063-460-5834,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)아이에스테크,그 외 자동차용 신품 부품 제조업 외 6 종,,전북특별자치도 군산시 산단남북로 84 (오식도동),063-460-5834,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)아이에스테크,자동차 차체용 신품 부품 제조업 외 7 종,,"전북특별자치도 군산시 동장산1길 2 (소룡동, is테크(생산기술연구소))",063-460-5821,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)아이에스테크,자동차 차체용 신품 부품 제조업 외 2 종,,전북특별자치도 군산시 외항로 712 (소룡동),063-460-5834,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)아이에스테크,자동차 차체용 신품 부품 제조업 외 6 종,,"전북특별자치도 군산시 외항로 750 (소룡동, 아이에스테크)",063-460-5834,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)아이제이테크,그 외 자동차용 신품 부품 제조업 외 3 종,자동차부품,전북특별자치도 군산시 산단동서로 268 (오식도동),063-462-9636,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)아이테크원 군산공장,농업 및 임업용 기계 제조업,농기계부품,전북특별자치도 군산시 서수면 서라로 108-8,000-0000-0000,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)아이텍,그 외 자동차용 신품 부품 제조업 외 5 종,"Air Spring 등, 차체용 러버마운트",전북특별자치도 군산시 오식도동 867-2번지,063-731-0033,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)에스와이훠징,금속 단조제품 제조업 외 3 종,"자동차 및 농기계 부품, 자동차 부품, 철도차량 부품",전북특별자치도 군산시 동가도길 89 (오식도동),063-471-9710,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)에스틸,건설 및 채광용 기계장비 제조업,굴삭기 부품,"전북특별자치도 군산시 무역로 150 (오식도동, (주)에스틸)",032-584-4600,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)에스틸 군산2지점,건설 및 채광용 기계장비 제조업 외 1 종,굴삭기 부품 제조,전북특별자치도 군산시 외항로 1158 (오식도동),063-467-1021,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)에이엠티,운송장비 조립용 플라스틱제품 제조업 외 1 종,자동차 부품,전북특별자치도 군산시 오식도동 871-14번지,063-463-7124,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)에이피솔루션,그 외 자동차용 신품 부품 제조업,자동차 부품,"전북특별자치도 군산시 산단남북로 56, A동 107호(오식도동, 한국산업단지공단)",063-734-3235,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)에프엔에스텍,주형 및 금형 제조업 외 1 종,"산업용 금형, 자동차 부품",전북특별자치도 군산시 소룡동번지 1640-2번지,063-910-1184,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)예스테크,자동차용 신품 전기장치 제조업,자동차전기부품제조,전북특별자치도 군산시 자유무역2길 15 (오식도동),000-0000-0000,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)예안,주형 및 금형 제조업,자동차용 프레스 금형,전북특별자치도 군산시 산단로 42 (오식도동) 금형비즈니스프라자 201호,063-731-2770,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)오토티앤에스 ,자동차 차체용 신품 부품 제조업 외 1 종,"특장차 덤프차량용 부품, 대체인증부품 등",전북특별자치도 군산시 자유로 15-15 (소룡동),000-0000-0000,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)우남기공,그 외 자동차용 신품 부품 제조업 외 1 종,"브라켓, 잠수함 레일",전북특별자치도 군산시 동장산로 126 (소룡동),063-465-4409,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)우림,그 외 기타 금속가공업,중장비부품,전북특별자치도 군산시 자유무역3길 79(오식도동) 외 2필지,063-465-2020,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)우석엔지니어링,그 외 자동차용 신품 부품 제조업 외 4 종,자동차 부품(오일 파이프 등),전북특별자치도 군산시 산단로 133-9(소룡동),063-464-7321,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)우석엔지니어링,자동차용 신품 조향장치 및 현가 장치 제조업 외 1 종,"자동차 부품(ACCEL CONTROL 메커니즘, Oil Pipe, Purge Tank 등)",전북특별자치도 군산시 산단로 134-6 (소룡동),070-7872-7169,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)우성이앤에스,차체 및 특장차 제조업 외 3 종,"특장차, 자동차부품 등",전북특별자치도 군산시 산단남북로 134-13 (오식도동),063-467-7302,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)우일오토텍,자동차 차체용 신품 부품 제조업 외 1 종,crank case,전북특별자치도 군산시 자유로 20 (소룡동),063-730-5400,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)우진이엔지,그 외 자동차용 신품 부품 제조업 외 6 종,"브라켓, 건기frame 외 지그류","전북특별자치도 군산시 동장산2길 31-8 (소룡동, 우진이엔지군산공장)",063-464-0511,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)우진정공,그 외 자동차용 신품 부품 제조업 외 3 종,"BRAKE, FUEL PIPE",전북특별자치도 군산시 소룡동번지 1643-3번지,063-468-2031,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)원진다이캐스팅,그 외 자동차용 신품 부품 제조업 외 4 종,자동차부품,"전북특별자치도 군산시 산단남북로 154-14 (오식도동, (주)원진다이캐스팅)",063-446-6112,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)원진에이티,그 외 자동차용 신품 부품 제조업 외 3 종,자동차배기가스ATS,전북특별자치도 군산시 외항로 991 (오식도동),02-2635-1761,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)월드비젼코리아,그 외 자동차용 신품 부품 제조업 외 6 종,"금속압형제품, 자동차부품, 기어및 동력전달장치",전북특별자치도 군산시 소룡동번지 1596-4번지,063-462-7614,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)유니온기업,그 외 자동차용 신품 부품 제조업,자동차용 배기파이프,"전북특별자치도 군산시 산단남북로 154-22, 다동(오식도동)",063-468-1345,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)유니와이테크,자동차 차체용 신품 부품 제조업 외 1 종,특장차용 부품,전북특별자치도 군산시 산단남북로 158 (오식도동),000-0000-0000,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)유엔어스,운송장비 조립용 플라스틱제품 제조업,조립용 자동차부품,전북특별자치도 군산시 산단동서로 44-26(오식도동),063-468-1704,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)유제이,"질소화합물, 질소, 인산 및 칼리질 화학비료 제조업 외 2 종","조류퇴치제, 비산방지표면경화제, 토양안정제, 대쉬보드, 범퍼 등 차체용 부품 조립",전북특별자치도 군산시 자유무역로 143-26(오식도동),063-910-2925,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)유패스트코리아,볼트 및 너트류 제조업 외 3 종,지게차부품 및 산업용화스너,"전북특별자치도 군산시 자유무역2길 15, 표준공장 7동 (오식도동, DAT SYSTEM)",063-468-5255,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)이씨스,전자부품 실장기판 제조업 외 1 종, HI-PASS,,032-215-0952,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)이씨스,전자부품 실장기판 제조업 외 1 종,"하이패스단말기(ETCS), 차량용 블루투스-와이파이 모듈(BT-WIFI), 차량 전자장치 제어모듈(BCM), 모터제어기(BLDC) 등","전북특별자치도 군산시 새만금산단2로 308(오식도동, (주)이씨스)",032-215-0800,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)전진스틸,절삭가공 및 유사처리업,중기부품제조,전북특별자치도 군산시 뒷고지길 25 (개사동),063-464-5545,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)제이티오토모티브,운송장비 조립용 플라스틱제품 제조업 외 5 종,자동차부품,"전북특별자치도 군산시 산단동서로 80-23 (오식도동, 중원E&T)",063-466-0511,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)제이피씨오토모티브,운송장비 조립용 플라스틱제품 제조업 외 1 종,자동차 플라스틱 부품,전북특별자치도 군산시 산단동서로 80-23 (오식도동),063-466-0511,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)지글라스텍,안전유리 제조업,자동차안전유리,전북특별자치도 군산시 산단동서로 80-15 (오식도동) 외 1필지,063-463-6281,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)지디엔,자동차 차체용 신품 부품 제조업 외 1 종,"차량용 도어, 샤시 프레임, 차량용 도어, 샤시 프레임",전북특별자치도 군산시 자유로 15-32 (소룡동),063-461-4790,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)지에스엠,그 외 자동차용 신품 부품 제조업 외 12 종,"금형, 자동차부품",전북특별자치도 군산시 동장산로 105-9 (소룡동),063-467-7999,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)진흥주물,선철주물 주조업 외 2 종,"선철 주조, 자동차 부품",전북특별자치도 군산시 가도로 56 (오식도동),063-467-8334,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)청연,자동차용 금속 압형제품 제조업 외 2 종,"자동차 부품(금속압형), 용접",전북특별자치도 군산시 자유로 15-32 (소룡동),063-471-7637,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)청우에이티에스,,굴삭기부품,전북특별자치도 군산시 중가도길 39 (오식도동),032-863-9906,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)카라,자동차 차체용 신품 부품 제조업 외 4 종,"자동차부품(내ㆍ외장제, 범퍼 등)","전북특별자치도 군산시 동장산1길 50-20 (소룡동, (주)카라)",063-463-3442,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)컴윈스,건설 및 채광용 기계장비 제조업,건설기계부품(휀다 및 외판 등),전북특별자치도 군산시 자유로 15-42 (소룡동),031-363-6805,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)케이엠앤아이 군산2공장,자동차용 신품 의자 제조업 외 2 종,자동차 시트,전북특별자치도 군산시 오식도동 868 번지,032-577-7781,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)케이제이로지스,그 외 자동차용 신품 부품 제조업 외 3 종,자동차부품,전북특별자치도 군산시 동장산1길 49-10(소룡동) 외 1필지,063-463-7613,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)코스텍,그 외 자동차용 신품 부품 제조업 외 6 종,"플라스틱 피스톤, 히트씽크, 플라스틱 플레이트","전북특별자치도 군산시 군산산단로 46 (오식도동, 주식회사코스텍)",063-468-1669,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)크레아군산,운송장비 조립용 플라스틱제품 제조업 외 1 종,자동차부품(console),"전북특별자치도 군산시 동장산2길 7-5 (소룡동, (주)한산)",063-469-1325,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)크레아군산,운송장비 조립용 플라스틱제품 제조업 외 1 종,자동차 부품,전북특별자치도 군산시 동장산2길 7-20 (소룡동),063-469-1300,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)크리아,자동차 차체용 신품 부품 제조업,"자동차부품(내ㆍ외장제, 몰딩 외)",전북특별자치도 군산시 동장산2길 31-20(소룡동),063-463-3442,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)타모스,그 외 자동차용 신품 부품 제조업 외 3 종,자동차부품 조립(모듈),전북특별자치도 군산시 소룡동번지 1637-9번지,063-471-8840,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)타모스,그 외 자동차용 신품 부품 제조업 외 1 종,자용자용 엔진 및 트랜스미션,전북특별자치도 군산시 자유무역로 265 (오식도동) 외 1필지,063-471-8840,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)태명산업,트레일러 및 세미트레일러 제조업,차량용 컨테이너,전북특별자치도 군산시 오식도동 862-5번지,063-464-8244,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)태진 군산공장,자동차 차체용 신품 부품 제조업 외 7 종,자동차 차체 부품 (범퍼 등),전북특별자치도 군산시 산단동서로 43 (오식도동),063-465-8661,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)태화정공,기타 물품 취급장비 제조업 외 3 종,"산업차량, 건설장비, 환경개선설비, 자동차부품, 특장차 제조",전북특별자치도 군산시 소룡동번지 1596번지,063-465-4427,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)테라솔루션,축전지 제조업,차량용 보조배터리,전북특별자치도 군산시 동장산2길 6 (소룡동),063-466-5066,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)파인중공업,육상 금속 골조 구조재 제조업 외 3 종,선박부품절단제작,전북특별자치도 군산시 자유무역1길 134 (오식도동),063-467-1238,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)피앤에이,기타 전기 변환장치 제조업,전기차 충전기,"전북특별자치도 군산시 동장산2길 6(소룡동, (재)자동차융합기술원)",031-217-3081,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)하나패널,그 외 자동차용 신품 부품 제조업 외 6 종,"외벽마감패널, 옥상방수스틸패널",전북특별자치도 군산시 옥구읍 광월길 44-12,063-464-9916,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)한국메가와트,"산업용 오븐, 노 및 노용 버너 제조업 외 1 종",차량용히터,전북특별자치도 군산시 소룡동번지 1637-8번지,032-813-6291,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)한양에스앤씨,자동차 차체용 신품 부품 제조업 외 7 종,자동차부품(덤프적재함),"전북특별자치도 군산시 동장산1길 64 (소룡동, (주)한양정밀)",063-467-8900,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)한엑스,운송장비 조립용 플라스틱제품 제조업,플라스틱 자동차 부품,전북특별자치도 군산시 산단로 42 (오식도동),063-715-3737,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)해운테크,자동차 차체용 신품 부품 제조업 외 2 종,"자동차 부품, 철구조물","전북특별자치도 군산시 산단동서로 44-26 (오식도동, (주)해운테크)",063-471-8172,전북특별자치도 군산시_제조업공장현황_20250623.csv
(주)혜성지테크,그 외 자동차용 신품 부품 제조업,자동차부품,전북특별자치도 군산시 자유로 15-26(소룡동),063-453-3116,전북특별자치도 군산시_제조업공장현황_20250623.csv
가나이엔텍,그 외 자동차용 신품 부품 제조업 외 3 종,자동차부품,전북특별자치도 군산시 중가도길 70 (오식도동),031-319-1921,전북특별자치도 군산시_제조업공장현황_20250623.csv
