회사명,업종명,생산품,주소,연락처,출처파일,전화번호,대표자명,공장대표주소(지번),공장대표주소(도로명)
(주)그린테크,,음수기+차량,경기도 광주시 초월읍 동막골길 75-6,031-798-3006,경기도 광주시_공장등록 현황_20260130.csv,,,,
(주)네오마그네틱,,자동차용부품,경기도 광주시 곤지암읍 만선로 99 외 2필지,02-422-4311,경기도 광주시_공장등록 현황_20260130.csv,,,,
(주)세일엔지니어링,,철동차량부품,경기도 광주시 곤지암읍 광여로 412,031-797-2784,경기도 광주시_공장등록 현황_20260130.csv,,,,
(주)수산홈텍,,가스누출자동차단장치,경기도 광주시 삼지곡길 87 (삼동) (총 4 필지) 외 3필지,031-797-1778,경기도 광주시_공장등록 현황_20260130.csv,,,,
(주)아맥스,,화장품냉장고+차량용공기청정기+마스크,경기도 광주시 도척면 방도길 49-81,031-767-3522,경기도 광주시_공장등록 현황_20260130.csv,,,,
(주)예카,,자동차 중고 부품,경기도 광주시 오포로 445-10 (문형동),1899-7133,경기도 광주시_공장등록 현황_20260130.csv,,,,
(주)오토기기,,롤러+자동차검사기기 등,경기도 광주시 초월읍 경충대로1284번길 70 (총 6 필지),02-2299-3406,경기도 광주시_공장등록 현황_20260130.csv,,,,
(주)제미스코,,자동 원단 정렬장치+오토 스플라이서,경기도 광주시 오포안로 62-9 (총 2 필지) 외 1필지,031-767-4580,경기도 광주시_공장등록 현황_20260130.csv,,,,
(주)제일특장차,,차량용내장탑+냉동탑,경기도 광주시 초월읍 경충대로963번길 37,031-764-1730,경기도 광주시_공장등록 현황_20260130.csv,,,,
(주)조은산업,,자동차 오일필터,경기도 광주시 도척면 저수지길 12-14 외 2필지,031-798-7334,경기도 광주시_공장등록 현황_20260130.csv,,,,
니드유티에프,,제단기용 턴 테이블+소형 판유리용 이도면 취기+오토 크래이브용 턴 테이블+절단 테이블,"경기도 광주시 초월읍 경수길153번길 21, 1동",031-768-8447,경기도 광주시_공장등록 현황_20260130.csv,,,,
대웅ENG,,자동차봉인구,경기도 광주시 초월읍 설월길 47,031-763-3429,경기도 광주시_공장등록 현황_20260130.csv,,,,
로드파워디자인,,자동차 차체용 부품제조,경기도 광주시 매자리길27번길 110,02-6959-5959,경기도 광주시_공장등록 현황_20260130.csv,,,,
삼원정공(주),,자동차용스프링,경기도 광주시 도척면 도척로 242-21,031-761-4747,경기도 광주시_공장등록 현황_20260130.csv,,,,
제이와이커스텀(주),,전기+전자+차량용부품,경기도 광주시 초월읍 산수로 642-12 외 3필지,031-798-1512,경기도 광주시_공장등록 현황_20260130.csv,,,,
주식회사 태일화성,,스폰지가공+차량용 등속고무,경기도 광주시 도척면 도척로 376-108,031-763-5356,경기도 광주시_공장등록 현황_20260130.csv,,,,
(주) 위오,그 외 자동차용 신품 부품 제조업 외 6 종,"지능형차량용 카메라 부품, CGV, 지능형로봇부품, 홈네트워크부품",경기도 군포시 당정로60번길 16 (당정동),031-427-5771,경기도 군포시_공장등록 현황_20250915.csv,,,,
(주)경신정밀,그 외 자동차용 신품 부품 제조업 외 3 종,자동차부품,경기도 군포시 산본로77번길 14 (당정동),031-451-2670,경기도 군포시_공장등록 현황_20250915.csv,,,,
(주)공진,자동차용 금속 압형제품 제조업 외 1 종,산업용핸들,경기도 군포시 당정로 10 (당정동),031-452-4896,경기도 군포시_공장등록 현황_20250915.csv,,,,
(주)다위실업정공,주형 및 금형 제조업,"자동차부품,전자부품","경기도 군포시 봉성로 82-7, 202호(당정동, 삼풍프라자)",031-453-1605,경기도 군포시_공장등록 현황_20250915.csv,,,,
(주)대신아이텍,안경 및 안경렌즈 제조업 외 1 종,"광학계,3차원측정기,오토펀칭기,조명콘트롤러","경기도 군포시 엘에스로 172, 3층 301, 301-1, 301-2호 (금정동, 한림휴먼타워)",031-427-0100,경기도 군포시_공장등록 현황_20250915.csv,,,,
(주)동부자동차공업사,트레일러 및 세미트레일러 제조업 외 1 종,자동차 및 트레일러 제조,경기도 군포시 산본로 90 (당정동) 2층,031-429-3355,경기도 군포시_공장등록 현황_20250915.csv,,,,
(주)디텍,방송장비 제조업 외 3 종,"차량용 블랙박스, DVR","경기도 군포시 군포첨단산업2로 57, 2층 일부 (부곡동)",031-706-2514,경기도 군포시_공장등록 현황_20250915.csv,,,,
(주)러스텍오토,고무패킹류 제조업 외 1 종,자동차용 고무제품 제조,경기도 군포시 당정로75번길 15 (당정동),031-457-2693,경기도 군포시_공장등록 현황_20250915.csv,,,,
(주)삼화엔터코,주형 및 금형 제조업,자동차부품,경기도 군포시 군포첨단산업1로 34 (부곡동),031-477-6488,경기도 군포시_공장등록 현황_20250915.csv,,,,
(주)서영피엔아이,주형 및 금형 제조업,자동차부품,경기도 군포시 군포첨단산업1로 48 (부곡동),031-461-2600,경기도 군포시_공장등록 현황_20250915.csv,,,,
(주)싸이텍,"도금, 착색 및 기타 표면처리강재 제조업 외 1 종",자동차 부품,"경기도 군포시 당정로 39-1, 1층 (당정동)",031-459-2985,경기도 군포시_공장등록 현황_20250915.csv,,,,
(주)아바테크놀러지,자동차용 신품 전기장치 제조업,콜드체인 Display 및 컨트롤박스,"경기도 군포시 고산로148번길 17, A동 807호 (당정동, 군포IT밸리)",031-8086-0660,경기도 군포시_공장등록 현황_20250915.csv,,,,
(주)아원,그 외 기타 일반목적용 기계 제조업 외 1 종,산업용 및 차량용 자동 윤활장치 및 그 부분품 제조 및 도매업 등,"경기도 군포시 당정로 70, 지층 3층 전체 (당정동)",031-451-0628,경기도 군포시_공장등록 현황_20250915.csv,,,,
(주)엠티씨,주형 및 금형 제조업,"자동차금형(플라스틱, 다이캐스팅)","경기도 군포시 산본로54번안길 8 (당정동, 엠티씨군포공장)",031-457-7512,경기도 군포시_공장등록 현황_20250915.csv,,,,
(주)영풍산업,도금업,"금형,자동차부품",경기도 군포시 당정로60번길 21 (당정동),031-451-2675,경기도 군포시_공장등록 현황_20250915.csv,,,,
(주)유니티엠에스,운송장비 조립용 플라스틱제품 제조업 외 1 종,자동차부품(플라스틱),"경기도 군포시 고래들길 56, 금봉테크노벨리 401호 (당정동)",031-429-4211,경기도 군포시_공장등록 현황_20250915.csv,,,,
(주)이브릿지에스앤티,방송장비 제조업,자동차용 후방 감시카메라,"경기도 군포시 고래들길 56, 303호(당정동, 금봉테크노벨리)",,경기도 군포시_공장등록 현황_20250915.csv,,,,
(주)이엘솔루션,"전자기 측정, 시험 및 분석기구 제조업 외 1 종",에이머(자동차 헤드램프 검사장비),"경기도 군포시 군포첨단산업2로22번길 5, 503호(부곡동, 군포도시공사·산업진흥원)",031-423-0312,경기도 군포시_공장등록 현황_20250915.csv,,,,
(주)이즈소프트,"물질 검사, 측정 및 분석기구 제조업",머신비전/ 자동차 검사정비,"경기도 군포시 공단로140번길 46, 1001호 (엠테크노센터) (당정동)",031-436-1422,경기도 군포시_공장등록 현황_20250915.csv,,,,
(주)제이에스영테크,자동차 차체용 신품 부품 제조업 외 1 종,프레임부품,경기도 군포시 흥안대로27번길 25-1 (금정동),031-445-2819,경기도 군포시_공장등록 현황_20250915.csv,,,,
(주)청운파워텍,그 외 자동차용 신품 부품 제조업 외 3 종,"자동차부품,key box",경기도 군포시 산본로 85-8 (당정동),031-458-3317,경기도 군포시_공장등록 현황_20250915.csv,,,,
(주)카마루,"카펫, 마루덮개 및 유사제품 제조업",(완제품)차량용매트,경기도 군포시 흥안대로27번길 28-6 (금정동),031-429-7960,경기도 군포시_공장등록 현황_20250915.csv,,,,
(주)케이에이씨티씨(KACTC),주형 및 금형 제조업 외 1 종,자동차부품,경기도 군포시 산본로48번길 12 (당정동),031-455-8493,경기도 군포시_공장등록 현황_20250915.csv,,,,
(주)페트라산업모델,기타 가공 공작기계 제조업 외 2 종,"자동차부품검사구, 전기장비제조,전자부품가공",경기도 군포시 맑은내1길 85 (당정동),031-459-0360,경기도 군포시_공장등록 현황_20250915.csv,,,,
(주)하나정공,반도체 제조용 기계 제조업,"자동화장비, 자동차부품가공(현대)",경기도 군포시 공단로140번안길 10-15 (당정동),031-455-3215,경기도 군포시_공장등록 현황_20250915.csv,,,,
(주)하나텔콤,그 외 자동차용 신품 부품 제조업 외 3 종,차량용 영상 저장장치,"경기도 군포시 당정로 90, 가동 6층 601호 (당동, 신라테크노빌)",031-427-0611,경기도 군포시_공장등록 현황_20250915.csv,,,,
(주)현대케피코,자동차 엔진용 신품 부품 제조업 외 2 종,"인젝터, 전자제어장치","경기도 군포시 고산로 102(당정동, 케피코(주))",031-450-9015,경기도 군포시_공장등록 현황_20250915.csv,,,,
그린크라운,그 외 기타 분류 안된 섬유제품 제조업 외 1 종,"위생변기커버, 다용도마스크, 자동차매트필터",경기도 군포시 엘에스로91번길 59 (금정동) 4층 401호,031-452-0020,경기도 군포시_공장등록 현황_20250915.csv,,,,
나노테크,알루미늄주물 주조업,"자동차,전자통신 부품",경기도 군포시 흥안대로 15-27 (금정동) 1층,031-453-7577,경기도 군포시_공장등록 현황_20250915.csv,,,,
다인전자(주),자동차용 신품 전기장치 제조업 외 1 종,"자동차용 전기장치,조명기구",경기도 군포시 엘에스로182번길 7 (산본동),031-459-0565,경기도 군포시_공장등록 현황_20250915.csv,,,,
대광산업,운송장비 조립용 플라스틱제품 제조업 외 1 종,"자동차부품(안전밸트부품),하드텍","경기도 군포시 흥안대로18번길 10 (금정동, 대광산업)",031-458-4657,경기도 군포시_공장등록 현황_20250915.csv,,,,
대흥솔루션,주형 및 금형 제조업,자동차 부품용 금형 및 사출부품,"경기도 군포시 당정로28번길 40, 청솔A동 1층 (당정동)",031-477-8823,경기도 군포시_공장등록 현황_20250915.csv,,,,
덕성정밀(주),그 외 자동차용 신품 부품 제조업 외 3 종,자동차 현가장치 부품,"경기도 군포시 당정로60번안길 8, 1층 (당정동)",031-455-8064,경기도 군포시_공장등록 현황_20250915.csv,,,,
동남정밀,주형 및 금형 제조업,"금형(자동차, 전자제품)",경기도 군포시 군포첨단산업1로 14 (부곡동),031-456-0806,경기도 군포시_공장등록 현황_20250915.csv,,,,
동서몰드 주식회사,주형 및 금형 제조업,자동차 금형 부품,경기도 군포시 산본로48번길 54(당정동),031-429-0091,경기도 군포시_공장등록 현황_20250915.csv,,,,
두리정공,자동차용 금속 압형제품 제조업 외 1 종,전자파 차폐장치,경기도 군포시 당정로60번길 7 (당정동),031-429-0560,경기도 군포시_공장등록 현황_20250915.csv,,,,
마루기술,그 외 자동차용 신품 부품 제조업 외 3 종,차량용운행기록계,"경기도 군포시 경수대로 455, 9층 905-3호 (당정동, 한솔테크노타운)",031-454-9451,경기도 군포시_공장등록 현황_20250915.csv,,,,
모두의트럭,자동차 구조 및 장치 변경업 ,"소형 화물차 적재함, 공구함, 구조물","경기도 군포시 산본로48번길 10-28, 1층 (당정동)",031-427-8812,경기도 군포시_공장등록 현황_20250915.csv,,,,
반도NCT레이저,자동차용 금속 압형제품 제조업 외 1 종,반도체장비카바,경기도 군포시 엘에스로182번길 10 (산본동),031-459-2838,경기도 군포시_공장등록 현황_20250915.csv,,,,
볼트라인(주),전자부품 실장기판 제조업 외 2 종,"자동차전자, 기타무선통신장비",경기도 군포시 군포첨단산업2로21번길 4 (부곡동),031-429-8125,경기도 군포시_공장등록 현황_20250915.csv,,,,
봉산엔지니어링,자동차용 금속 압형제품 제조업 외 1 종,전선기계부품,"경기도 군포시 산본로77번안길 1, 1층 (당정동)",031-455-8551,경기도 군포시_공장등록 현황_20250915.csv,,,,
부일테크,절삭가공 및 유사처리업,"부품가공(절삭가공), 자동차부품, 반도체장비부품 등",경기도 군포시 흥안대로27번길 14-12 (금정동),031-429-6699,경기도 군포시_공장등록 현황_20250915.csv,,,,
새한퍼스트,그 외 기타 플라스틱 제품 제조업,"자동차부품, 문구류","경기도 군포시 엘에스로 13, B108호 (당정동, 신일IT유토지식산업센터)",031-341-2368,경기도 군포시_공장등록 현황_20250915.csv,,,,
선경플라텍,기타 플라스틱 발포 성형제품 제조업,차량용 스마트폰 거치대 케이스,경기도 군포시 당정로28번길 12 (당정동),031-457-1011,경기도 군포시_공장등록 현황_20250915.csv,,,,
선일공업사,운송장비 조립용 플라스틱제품 제조업 외 1 종,자동차용 플라스틱 사출물,경기도 군포시 엘에스로115번길 66 (금정동),031-427-2741,경기도 군포시_공장등록 현황_20250915.csv,,,,
선진와이어,그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,"(가공) 자동차부품, 가전제품","경기도 군포시 당정로28번길 31, 1층 (당정동)",031-455-5630,경기도 군포시_공장등록 현황_20250915.csv,,,,
세광이엔지,"물질 검사, 측정 및 분석기구 제조업",자동차 엔진 시험 부품지그 가공 외 자동차 부품,"경기도 군포시 산본로86번길 29, 102호, 당정동 339-2, 1층 일부 (당정동)",031-349-7591,경기도 군포시_공장등록 현황_20250915.csv,,,,
세원정밀 (주),주형 및 금형 제조업,"휴대폰기기부품, 의료기부품, 자동차부품, ATM기 부품외",경기도 군포시 산본로48번길 10-9 (당정동) 1층,031-429-5435,경기도 군포시_공장등록 현황_20250915.csv,,,,
씨엘전자 주식회사,비디오 및 기타 영상기기 제조업 외 1 종,"차량용블랙박스,led조명기기","경기도 군포시 산본로48번길 32, 7층 701호,702호 (당정동, 금봉아파트형공장)",031-424-0365,경기도 군포시_공장등록 현황_20250915.csv,,,,
양명산업사주식회사,"고무, 화학섬유 및 플라스틱 성형기 제조업",자동차도어래치 캐치코팅,"경기도 군포시 당정로27번길 37, 양명산업사 (당정동)",031-451-3049,경기도 군포시_공장등록 현황_20250915.csv,,,,
엔비에스랩 주식회사,유선 통신장비 제조업 외 3 종,"전자투표시스템, 차량용블랙박스,유 무선 통신장비,하네스","경기도 군포시 고산로151번길 11, 수미르빌딩 4층 (당정동)",070-8286-1590,경기도 군포시_공장등록 현황_20250915.csv,,,,
엘에스이브이코리아 주식회사,자동차용 신품 전기장치 제조업,친환경 자동차 부품 및 ESS부품,"경기도 군포시 공단로140번길 27, A동 5층, B동 1~6층(당정동, 군포LS R&D센터)",031-687-6911,경기도 군포시_공장등록 현황_20250915.csv,,,,
울진몰드테크,주형 및 금형 제조업,"자동차 내장품, 에어컨 외장품, 전자 내외장품","경기도 군포시 당정로28번길 42, 1충 (당정동)",031-427-9982,경기도 군포시_공장등록 현황_20250915.csv,,,,
월드탑,"전자기 측정, 시험 및 분석기구 제조업",자동차경비용 계측기,"경기도 군포시 경수대로 455, 2층 207호 (당정동, 한솔테크노타운)",031-0424-1277,경기도 군포시_공장등록 현황_20250915.csv,,,,
유니크하이텍,그 외 기타 전자부품 제조업 외 1 종,"자동차배선,에어컨전장품",경기도 군포시 군포로683번길 48 (금정동),031-456-7068,경기도 군포시_공장등록 현황_20250915.csv,,,,
유성정밀,주형 및 금형 제조업,"자동차,전자,기타부품 프레스금형제작",경기도 군포시 산본로 63(당정동),031-458-5011,경기도 군포시_공장등록 현황_20250915.csv,,,,
인테크,주형 및 금형 제조업,"금형(자동차, 기타등등)","경기도 군포시 엘에스로182번길 34-13, 103호 (산본동)",031-451-8806,경기도 군포시_공장등록 현황_20250915.csv,,,,
주식회사 강원이엠,자동차 차체용 신품 부품 제조업,"초소형 자동차 DECK ASSY,TOP ASSY,TIRE ASSY","경기도 군포시 공단로140번길 47-7, 1층일부,2층일부 (당정동)",,경기도 군포시_공장등록 현황_20250915.csv,,,,
주식회사 다온에스엠티,전자부품 실장기판 제조업,전자부품 ASSY(차량용 후방카메라),"경기도 군포시 당정로 70, 2층 일부 (당정동)",,경기도 군포시_공장등록 현황_20250915.csv,,,,
주식회사 삼부엠티에스,"물질 검사, 측정 및 분석기구 제조업 외 1 종",자동차부품시험장치,경기도 군포시 산본로86번안길 22(당정동),031-458-3600,경기도 군포시_공장등록 현황_20250915.csv,,,,
주식회사 엠오토텍,전기회로 접속장치 제조업 외 2 종,"케이블용 커넥터,산업용 전기 충전기 컨트롤러,차량용 와이어 하네스 제조 ","경기도 군포시 공단로140번길 27, B동3층(당정동, 군포LS R&D센터)",031-360-3970,경기도 군포시_공장등록 현황_20250915.csv,,,,
주식회사 엠피텍,기타 전기 변환장치 제조업 외 8 종,"무선용 통신장비, 군통신장비, 자동차용 무선장치 외","경기도 군포시 공단로 284, 503호 (금정동, 한림벤쳐타운)",031-451-8705,경기도 군포시_공장등록 현황_20250915.csv,,,,
주식회사 젠커스,자동차용 신품 전기장치 제조업,"EVCC,SECC,과금형콘센트","경기도 군포시 고산로 166, 103동 6층 602호(당정동, SK벤티움)",,경기도 군포시_공장등록 현황_20250915.csv,,,,
주식회사 포엔,자동차 재제조 부품 제조업,"자동차 부품, 재사용 배터리",경기도 군포시 공단로 107 (당동) 청풍빌딩 1층,031-429-7139,경기도 군포시_공장등록 현황_20250915.csv,,,,
주식회사 피이컨,기타 전기 변환장치 제조업,산업용/차량용 인버터,"경기도 군포시 공단로 298-8, 2층(금정동)",031-360-1228,경기도 군포시_공장등록 현황_20250915.csv,,,,
진우 TMS,주형 및 금형 제조업,자동차 금형,경기도 군포시 산본로77번안길 19 (당정동),031-458-1152,경기도 군포시_공장등록 현황_20250915.csv,,,,
진호테크(주),메모리용 전자집적회로 제조업 외 1 종,"자동차 윈도우 시험기, 쏠라셀 무선 감시시스템, 원격감시제어시스템(자동제어)","경기도 군포시 엘에스로 13, 1301호 (당정동, 신일IT유토지식산업센터)",031-476-1140,경기도 군포시_공장등록 현황_20250915.csv,,,,
창신정밀,자동차용 금속 압형제품 제조업 외 1 종,샷시류(LCD모니터케이스),"경기도 군포시 엘에스로91번길 86, 외 2필지(3,4) (금정동)",031-451-1586,경기도 군포시_공장등록 현황_20250915.csv,,,,
창조산업,기타 가공 공작기계 제조업,자동차 지그,경기도 군포시 산본로85번길 18(당정동),031-457-8063,경기도 군포시_공장등록 현황_20250915.csv,,,,
