순번,회사명,대표자명,전화번호,공장대표주소(도로명),업종명,생산품,데이터기준일자
16,(주)대주씨에스,이현주,054-373-8710,경상북도 청도군 풍각면 봉기1길 31-19,그 외 기타 가구 제조업 외 1 종,"열경화성주지천장판,야광점자블록및유도타일",2024-05-16
17,(주)대주이엔지 청도2공장,이현주,054-371-8715,경상북도 청도군 풍각면 봉기1길 31-19,설치용 및 위생용 플라스틱제품 제조업,"건축자재, 플라스틱",2024-05-16
18,(주)대주이엔지 청도지점,이현주,054-373-8710,경상북도 청도군 풍각면 봉기1길 32-10,벽 및 바닥 피복용 플라스틱제품 제조업 외 1 종,천정 및 바닥제품,2024-05-16
19,(주)대하정공,김형득,054-373-8561,경상북도 청도군 청도읍 월곡2길 29-6,그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,사무용의자기계부품,2024-05-16
20,(주)두은식품,박근석,054-373-1529,경상북도 청도군 풍각면 월봉리 788번지,장류 제조업 외 1 종,"된장,간장,메주,엿기름,참깨",2024-05-16
21,(주)바이오원,이순란,054-371-1177,경상북도 청도군 금천면 구터길 1,장류 제조업,"간장, 된장",2024-05-16
22,(주)베가,김태원,054-373-6280,경상북도 청도군 풍각면 봉기1길 51-9,모직물 직조업 외 2 종,"면,혼방직물",2024-05-16
23,(주)삼성연사,김진수,054-373-5800,경상북도 청도군 풍각면 봉기1길 64,연사 및 가공사 제조업,연사,2024-05-16
24,(주)삼정씨엔지,김석겸,053-588-1442,경상북도 청도군 풍각면 봉기1길 69,비금속광물 분쇄물 생산업,스치로폼,2024-05-16
25,(주)생기메디온,이동인,054-371-5888,경상북도 청도군 화양읍 연지로 274,그 외 기타 의료용 기기 제조업 외 3 종,"좌훈기, 뜸침대, 쑥뜸기, 뜸벨트, 무연쑥볼",2024-05-16
26,(주)세방에이에프,김연희,054-373-7804,경상북도 청도군 청도읍 팔치길 121,배합 사료 제조업 외 1 종,단미사료,2024-05-16
27,(주)세정,김득주,054-373-0292,경상북도 청도군 풍각면 봉기1길 31-29,혼성 및 재생 플라스틱 소재 물질 제조업,PE미세분쇄품,2024-05-16
28,(주)셀푸드인터내셔널,"유종일, 유종진",054-371-0015,경상북도 청도군 청도읍 월곡2길 35,기타 과실ㆍ채소 가공 및 저장 처리업,고구마원물가공식품,2024-05-16
29,(주)솔레미콘,박재관,054-373-7911,경상북도 청도군 풍각면 봉기1길 52,레미콘 제조업,레미콘,2024-05-16
30,(주)순수코리아,양칠식,054-372-5118,경상북도 청도군 풍각면 봉기1길 51,위생용 종이제품 제조업 외 1 종,"물티슈, 마스크팩",2024-05-16
31,(주)신일,박순화,054-371-0534,경상북도 청도군 각남면 예리리 992-72번지,기타 산업용 유리제품 제조업 외 1 종,마쇄유리,2024-05-16
32,(주)에스앤비인터내셔널,오동환,054-370-1000,경상북도 청도군 각남면 한재로 1346 외 6필지,수산동물 냉동품 제조업,냉동수산물,2024-05-16
33,(주)엔씨(NC),변춘광,02-1588-9694,경상북도 청도군 청도읍 덕암리 836-2번지 외 1필지,기타 과실ㆍ채소 가공 및 저장 처리업,양배추즙외30종,2024-05-16
34,(주)영농,김수태,054-371-0566,경상북도 청도군 풍각면 봉기1길 54,폴리스티렌 발포 성형제품 제조업 외 1 종,과일포장재(난좌),2024-05-16
35,(주)와이엔테크,김양숙,,경상북도 청도군 풍각면 안산리 399번지 외 3필지 외 3필지,"플라스틱 포대, 봉투 및 유사제품 제조업 외 2 종",과일포장재,2024-05-16
36,(주)와이엔테크,김양숙,,경상북도 청도군 풍각면 금곡리 819번지 외 2필지,"플라스틱 포대, 봉투 및 유사제품 제조업",과일포장재,2024-05-16
37,(주)은성무역,강경수,054-371-5680,경상북도 청도군 풍각면 봉기1길 12-10,연사 및 가공사 제조업,화섬연사,2024-05-16
38,(주)이건프라스틱,박세광,053-353-4455,경상북도 청도군 풍각면 봉기1길 31-11,혼성 및 재생 플라스틱 소재 물질 제조업,재생플라스틱칩생산,2024-05-16
39,(주)이노테크,박인호,054-373-8071,경상북도 청도군 화양읍 연지로 310,금속 열처리업,컨벡스롤테이프,2024-05-16
40,(주)자연으로 농업회사법인,김성호,,경상북도 청도군 청도읍 중앙로 192-155,기타 수산동물 가공 및 저장 처리업,수산물가공품,2024-05-16
41,(주)재온,최은정,054-371-2015,경상북도 청도군 청도읍 월곡1길 29,부직포 및 펠트 제조업,"수직보호망, 수직형추락방지망",2024-05-16
42,(주)청농산,"조만재,백윤정",054-371-5881,경상북도 청도군 청도읍 월곡2길 29-16,기타 과실ㆍ채소 가공 및 저장 처리업,"땅콩나물,감,복숭아가공품",2024-05-16
43,(주)청도레미콘,김숙,054-373-7000,경상북도 청도군 금천면 소천길 112 외 1필지,레미콘 제조업 외 1 종,레미콘,2024-05-16
44,(주)청도명감농업회사법인,최영한,054-373-7114,경상북도 청도군 화양읍 합천2길 94-34 외 1필지,기타 과실ㆍ채소 가공 및 저장 처리업,"반건시,감말랭이,아이스홍시",2024-05-16
45,(주)청도샘물,박배창,,경상북도 청도군 각북면 덕촌1길 38-7 외 7필지,생수 생산업,생수,2024-05-16
46,(주)청도샘물 제2공장,박배창,054-372-8585,경상북도 청도군 풍각면 봉기1길 17 외 1필지,기타 무선 통신장비 제조업,영상감시장치(카메라),2024-05-16
47,(주)청하아스콘,"박광환, 서대순",054-373-8582,경상북도 청도군 청도읍 새마을로 403,아스팔트 콘크리트 및 혼합제품 제조업,아스콘,2024-05-16
48,(주)케이앤에스에너지 ,김동윤,053-802-0529,경상북도 청도군 풍각면 석통차산길 57,"산업용 오븐, 노 및 노용 버너 제조업",태양열 집열기 ,2024-05-16
49,(주)케이텍,박종숙,054-371-3347,경상북도 청도군 청도읍 청매로 172-28,기타 건축용 플라스틱 조립제품 제조업,보온단열재,2024-05-16
50,(주)크린랩라텍스,이재윤,054-373-1001,경상북도 청도군 청도읍 중앙로 115,고무 의류 및 기타 위생용 비경화 고무제품 제조업,고무장갑,2024-05-16
51,(주)태광가연,이정자,053-857-2220,경상북도 청도군 풍각면 봉기1길 14,연사 및 가공사 제조업,"화섬가연사,폴리에스테르, 나일론",2024-05-16
52,(주)태광이엔지,조태제,054-371-1131,경상북도 청도군 노산길 138 (화양읍),육상 금속 골조 구조재 제조업 외 1 종,H빔 구조물,2024-05-16
53,(주)태림케미칼,김태하,054-371-3562,경상북도 청도군 풍각면 봉기1길 70,부직포 및 펠트 제조업,"부직포,펠트",2024-05-16
54,(주)튜링겐코리아,강연자,054-373-7136,경상북도 청도군 풍각면 봉기1길 52-10,화장품 제조업,기초및기능성화장품,2024-05-16
55,(주)티앤엘,김영규,054-373-8611,경상북도 청도군 청도읍 청매로 136-15 외 2필지,배합 사료 제조업 외 1 종,고단백배합사료,2024-05-16
56,(주)티앤제이,주봉경 ,054-373-7187,경상북도 청도군 풍각면 봉기1길 17 외 1필지,배전반 및 전기 자동제어반 제조업 외 9 종,"배전반, 자동제어반외 8",2024-05-16
57,(주)한가람산업,신승태,,경상북도 청도군 청도읍 월곡2길 29-15 ((주)내외섬유),"금속 문, 창, 셔터 및 관련제품 제조업 외 2 종","기둥보,수문",2024-05-16
58,(주)한샘조경,박세헌,054-371-1222,경상북도 청도군 청도읍 새마을로 1102-22,그 외 기타 나무제품 제조업 외 1 종,"정자,파고라",2024-05-16
59,(주)혁신이앤씨,김수화,,경상북도 청도군 풍각면 석통차산길 57,"산업용 오븐, 노 및 노용 버너 제조업",지열히트펌프,2024-05-16
60,(주)현경시스템,허자현,,경상북도 청도군 청도읍 내호리 276-124번지,"금속 문, 창, 셔터 및 관련제품 제조업 외 1 종","알미늄창호, 캐노피",2024-05-16
61,(주)혜성정보통신,박혜성,054-371-9775,경상북도 청도군 이서면 이서로 183-11,유선 통신장비 제조업 외 6 종,,2024-05-16
62,(주)호성케미텍,김연실,054-373-3546,경상북도 청도군 청도읍 팔치길 281 (총 2 필지) 외 1필지,접착제 및 젤라틴 제조업,산업용테이프,2024-05-16
63,KIMCO(킴코),김현주,054-372-8938,경상북도 청도군 화양읍 진라길 16-9,그 외 기타 분류 안된 비금속 광물제품 제조업 외 3 종,애완용품,2024-05-16
64,감미인영농조합법인,전민규,054-371-5610,경상북도 청도군 매전면 청매로 642-3,기타 과실ㆍ채소 가공 및 저장 처리업,"아이스홍시, 감말랭이, 반건시",2024-05-16
65,거상산업,박희정,,경상북도 청도군 금천면 갈지리 1333-10 외 1필지,육상 금속 골조 구조재 제조업 외 1 종,프레타이(금속지지대),2024-05-16
66,건강지키미,박순봉,054-372-8596,경상북도 청도군 금천면 동곡리 908-1번지,전기식 진단 및 요법 기기 제조업,"한방온열찜질팩,온열찜질기",2024-05-16
67,경동산업,박상순,054-371-7337,경상북도 청도군 화양읍 연지로 170,운송장비 조립용 플라스틱제품 제조업 외 1 종,"자동차휠커버,범프보호대",2024-05-16
68,금강,박병도,054-371-0717,경상북도 청도군 각남면 구곡길 88,그 외 기타 분류 안된 금속 가공 제품 제조업,분무기 부품,2024-05-16
69,금곡철망,김상태,054-371-1679,경상북도 청도군 풍각면 봉기1길 52-12,금속선 가공제품 제조업 외 1 종,"철선, 철망",2024-05-16
70,금천탁주합동제조장,김한광,054-371-3015,경상북도 청도군 금천면 동곡3길 16,탁주 및 약주 제조업,탁주,2024-05-16
71,나노피아,박필희,,경상북도 청도군 각남면 칠성길 133,유기질 비료 및 상토 제조업,유기농업자재,2024-05-16
72,나지나,박보화,,경상북도 청도군 각남면 구곡길 43-12,섬유제품 기타 정리 및 마무리 가공업,"감물가죽(식물성가죽), 천연염색",2024-05-16
73,농업회사법인 (주)열매선,이경미,,경상북도 청도군 매전면 용산3길 264-10,기타 곡물 가공품 제조업 외 1 종,"단팥죽, 통단팥,감자스프,메밀팥차",2024-05-16
74,농업회사법인 그린합명회사,박희주,054-371-6333,경상북도 청도군 각남면 녹명리 84 번지,기타 비알코올 음료 제조업,미나리추출음료,2024-05-16
75,농업회사법인 대흥농산주식회사,양항석,054-373-7500,경상북도 청도군 각남면 각남로 253 외 2필지,김치류 제조업 외 1 종,버섯가공품,2024-05-16
76,농업회사법인 주식회사 생생초,권승혁,053-593-6868,경상북도 청도군 화양읍 삼신리 1191-6 외 2필지,"식초, 발효 및 화학 조미료 제조업","발효식초(쌀,감),과즙쥬스,음료베이스",2024-05-16
77,농업회사법인 주식회사 청도원감,정진석,054-372-0940,경상북도 청도군 청도읍 새마을로 574 외 4필지,기타 과실ㆍ채소 가공 및 저장 처리업,"감말랭이, 반건시, 아이스홍시",2024-05-16
78,농업회사법인 주식회사 청도코리아,박연희,0502-011-0101,경상북도 청도군 화양읍 학산토평길 276,천연 및 혼합조제 조미료 제조업,고춧가루,2024-05-16
79,농업회사법인 청수(주),손현익,054-373-8338,경상북도 청도군 청도읍 팔치길 63,기타 과실ㆍ채소 가공 및 저장 처리업,콩나물,2024-05-16
80,농업회사법인(주)네이처팜,예정수,054-373-7561,경상북도 청도군 청도읍 월곡2길 29-16,기타 과실ㆍ채소 가공 및 저장 처리업,냉동딸기 등,2024-05-16
81,농업회사법인(주)미강,권화순,054-373-7744,경상북도 청도군 각남면 화리길 81-52 외 1필지,기타 과실ㆍ채소 가공 및 저장 처리업,"아이스홍시, 반건시, 감말랭이, 냉동딸기",2024-05-16
82,농업회사법인(주)장원,서은주,054-372-4401,경상북도 청도군 각남면 화리길 81-58,기타 과실ㆍ채소 가공 및 저장 처리업,"반건시,감말랭이",2024-05-16
83,농업회사법인(주)청도운석농장,이시형,,경상북도 청도군 매전면 호화리 752-34번지,그 외 기타 식료품 제조업,"곶감,반건시",2024-05-16
84,농업회사법인(주)한결농산2공장,황철민,054-372-4466,경상북도 청도군 이서면 서원리 387-2번지,기타 과실ㆍ채소 가공 및 저장 처리업,"감,배,사과말랭이",2024-05-16
85,농업회사법인(주)한길웰바이오,김현주,054-371-9890,경상북도 청도군 청도읍 월곡2길 35,기타 과실ㆍ채소 가공 및 저장 처리업 외 1 종,"고구마말랭이, 빵",2024-05-16
86,농업회사법인감누리(주),김종진,,경상북도 청도군 청도읍 월곡1길 29 (총 2 필지),기타 과실ㆍ채소 가공 및 저장 처리업,"반건시,감말랭이",2024-05-16
87,농업회사법인다정다감주식회사,이근식,054-373-4058,경상북도 청도군 이서면 원고철길 74,기타 과실ㆍ채소 가공 및 저장 처리업,"반건시, 감말랭이, 아이스홍시",2024-05-16
88,농업회사법인주식회사 서진,이갑수,,경상북도 청도군 이서면 각계길 10 외 1필지,기타 과실ㆍ채소 가공 및 저장 처리업,"아이스홍시, 감말랭이",2024-05-16
89,농업회사법인주식회사시그널케어,양동섭,070-4772-4763,경상북도 청도군 화양읍 합천리 133-3,배합 사료 제조업,사랑하개,2024-05-16
90,농업회사법인주식회사팜텍,김주희,054-373-9966,경상북도 청도군 청도읍 안송읍길 7,농업 및 임업용 기계 제조업,농업용기계,2024-05-16
91,농업회사법인주식회사한결농산,황철민,054-372-4433,경상북도 청도군 이서면 서원길 117,기타 과실ㆍ채소 가공 및 저장 처리업,"감말랭, 반건시",2024-05-16
92,농업회사법인합자회사 가득,이영남,054-373-4898,경상북도 청도군 각남면 각남로 35 외 4필지,장류 제조업 외 1 종,"된장, 감고추장",2024-05-16
93,뉴지케이푸드,이태희,054-373-7881,경상북도 청도군 화양읍 남성현로 146,육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종,축산물가고,2024-05-16
94,늘푸른 영농조합법인 ,박주억,,경상북도 청도군 청도읍 송읍리 555-9,기타 과실ㆍ채소 가공 및 저장 처리업,감말랭이,2024-05-16
95,대명산업,강성국,,경상북도 청도군 금천면 김전1길 14,육상 금속 골조 구조재 제조업 외 3 종,"이동식화장실,간이사무실등",2024-05-16
96,대명섬유,권영찬,054-373-2253,경상북도 청도군 풍각면 봉기1길 12-9,화학섬유직물 직조업,섬유,2024-05-16
97,대성산업,박정민,,경상북도 청도군 풍각면 청려로 503,분말 야금제품 제조업,알미늄분말,2024-05-16
98,대성중공업(주),정동진,054-373-8818,경상북도 청도군 청도읍 부야1길 23,농업 및 임업용 기계 제조업,농업용및임업용기계제조업,2024-05-16
99,대흥엔지니어링,민경민,,경상북도 청도군 청도읍 안내길 129,볼트 및 너트류 제조업 외 2 종,"나사,파스너",2024-05-16
100,더블유에스엠,최경수,054-373-4214,경상북도 청도군 화양읍 남성현로 222,기타 1차 비철금속 제조업,비철금속가공품,2024-05-16
101,도주영농조합,박태천,054-373-9177,경상북도 청도군 화양읍 신봉리 69번지,기타 과실ㆍ채소 가공 및 저장 처리업,감말랭이,2024-05-16
102,동곡벽돌,최종달,054-371-3986,경상북도 청도군 금천면 청려로 4402,"콘크리트 타일, 기와, 벽돌 및 블록 제조업","벽돌,블록",2024-05-16
103,동남농산,박영창,054-373-2288,경상북도 청도군 이서면 서원리 258-1번지,천연 및 혼합조제 조미료 제조업,고추가루,2024-05-16
104,동산영농조합,최일권,,경상북도 청도군 매전면 내동길 6-5,기타 발효주 제조업 외 1 종,대추와인.대추원액.건대추,2024-05-16
105,동산영농조합,최일권,,경상북도 청도군 매전면 구촌2길 53 외 3필지,기타 과실ㆍ채소 가공 및 저장 처리업,"반건시, 감말랭이, 아이스홍시",2024-05-16
106,동우당제약(주),허담,053-332-8855,경상북도 청도군 풍각면 안국길 63,장류 제조업,"청국장,간장,잼",2024-05-16
107,두레티에스,송현호,,경상북도 청도군 청도읍 남성현로 20-32,그 외 기타 분류 안된 금속 가공 제품 제조업,농자재 철강류,2024-05-16
108,리빙스킨,공언자,054-373-0935,경상북도 청도군 청도읍 중앙로 123-16 외 3필지,고무 의류 및 기타 위생용 비경화 고무제품 제조업,고무장갑,2024-05-16
109,마린전자상사,김광식,051-441-1922,경상북도 청도군 청도읍 청매로 172-36 외 4필지,"레이더, 항행용 무선기기 및 측량기구 제조업 외 2 종","전자해도시스템, 선박조종시뮬레이터, 레이더",2024-05-16
110,무원영농조합,박재홍,054-371-5571,경상북도 청도군 화양읍 남성현로 185-9,기타 비알코올 음료 제조업 외 2 종,"감음료,감와인,아이스홍시",2024-05-16
111,바이더웰,정에스더,,경상북도 청도군 금천면 김전1길 14,육상 금속 골조 구조재 제조업 외 2 종,이동식화장실,2024-05-16
112,방영비닐(주),현영주,054-371-5601,경상북도 청도군 화양읍 연지로 272,"플라스틱 포대, 봉투 및 유사제품 제조업",비닐제품,2024-05-16
113,부강가쓰오,오동환,054-370-1000,경상북도 청도군 각남면 한재로 1356 외 4필지,"수산동물 훈제, 조리 및 유사 조제식품 제조업 외 1 종","가스오부시,냉동참치",2024-05-16
114,부강수산,오동환,054-370-1000,경상북도 청도군 각남면 사리 1307 번지 외 3필지 외 3필지,"수산동물 훈제, 조리 및 유사 조제식품 제조업 외 1 종","가스오부시,냉동참치",2024-05-16
115,삼신라텍스,이재생,054-373-1001,경상북도 청도군 청도읍 중앙로 119,고무 의류 및 기타 위생용 비경화 고무제품 제조업,고무장갑,2024-05-16
116,삼우연사,최병철,054-373-8222,경상북도 청도군 이서면 연지로 318,연사 및 가공사 제조업,연사,2024-05-16
117,새한합성산업(주),류호대,054-371-0071,경상북도 청도군 풍각면 봉기1길 24,"플라스틱 선, 봉, 관 및 호스 제조업 외 1 종",폴리에틸렌관,2024-05-16
118,새한합성산업(주),류호대,054-371-0071,경상북도 청도군 풍각면 봉기1길 32-9,"플라스틱 선, 봉, 관 및 호스 제조업 외 1 종",연결관 및 호스,2024-05-16
119,서청도농업협동조합 미곡종합처리장,예정희,054-373-7127,경상북도 청도군 화양읍 청려로 1677,곡물 도정업,"쌀,보리",2024-05-16
120,성대식품,예영주,054-373-4016,경상북도 청도군 각북면 헐티로 542,장류 제조업,청국장,2024-05-16
121,세인컴퍼니 주식회사,김학수,053-766-9722,경상북도 청도군 명포길 112 -158(금천면) 세인푸드,커피 가공업,"커피(원두,생두)",2024-05-16
122,세인푸드농업회사법인 주식회사 ,김재은,054-372-0300,경상북도 청도군 금천면 명포길 112-158,김치류 제조업 외 1 종,김치류,2024-05-16
123,수성산업,이수원,054-373-4302,경상북도 청도군 풍각면 봉기1길 31-29,운송장비 조립용 플라스틱제품 제조업 외 3 종,"기계장비조립용플라스틱,성형용기,탱크용기",2024-05-16
124,수정특수화학,배정숙외 1명,054-373-8951,경상북도 청도군 풍각면 헐티로 134,윤활유 및 그리스 제조업,"윤활유,그리스",2024-05-16
125,신정옥콜렉션,신정옥,054-371-1456,경상북도 청도군 이서면 양원리 309-7 번지,안전유리 제조업 외 1 종,접합유리,2024-05-16
126,아이스홍시청도영농조합,이해두,054-373-6785,경상북도 청도군 청도읍 월곡2길 63,기타 과실ㆍ채소 가공 및 저장 처리업,"연시과육,퓨레",2024-05-16
127,아이스홍시청도영농조합,이해두,054-373-6784,경상북도 청도군 화양읍 소라길 28,기타 과실ㆍ채소 가공 및 저장 처리업,"아이스홍시, 감말랭이, 반건시",2024-05-16
128,아주휀스철망,이태동,,경상북도 청도군 풍각면 봉기1길 52-12,금속선 가공제품 제조업 외 1 종,"용접철망, 육각매트리스개비온",2024-05-16
129,야자야,구나은,1577-7797,경상북도 청도군 풍각면 봉기1길 12-9,특수 직물 및 기타 직물 직조업,"코아네트, 보행매트",2024-05-16
130,에스알에스영농조합,박노춘,054-373-0147,경상북도 청도군 매전면 구촌리 213번지,기타 과실ㆍ채소 가공 및 저장 처리업,감말랭이,2024-05-16
131,에스티,이혜옥,054-373-7673,경상북도 청도군 풍각면 봉기1길 70,특수 직물 및 기타 직물 직조업,나일론타브라,2024-05-16
132,에코프렌즈,양태식,054-372-2118,경상북도 청도군 풍각면 봉기1길 53 ((주)피닉스세라믹스),"치약, 비누 및 기타 세제 제조업",세재등,2024-05-16
133,에프알영농조합법인,김재홍,054-371-5547,경상북도 청도군 매전면 호화리 131번지 외2필지 외 2필지 외 2필지,기타 과실ㆍ채소 가공 및 저장 처리업,"감말랭이,반건시",2024-05-16
134,엠케이푸드(MK FOOD),최수열,054-372-2480,경상북도 청도군 이서면 삼성산길 148,육류 기타 가공 및 저장처리업 (가금류 제외),"소시지, 떡갈비",2024-05-16
135,영남농산,이영남,054-373-3989,경상북도 청도군 각남면 녹명리 332-2번지 외 1필지,기타 과실ㆍ채소 가공 및 저장 처리업 외 1 종,"감말랭이,감식초",2024-05-16
136,영농산업,김수태,054-373-9952,경상북도 청도군 풍각면 금곡리 820번지,폴리스티렌 발포 성형제품 제조업 외 1 종,식품용기,2024-05-16
137,영진산업,김외숙,054-373-3283,경상북도 청도군 매전면 덕산리 710-1번지,연사 및 가공사 제조업,폴리에스텔가공,2024-05-16
138,영화산업사,조명수,054-372-6245,경상북도 청도군 각남면 칠성리 207-3번지,곡물 도정업,"쌀,보리",2024-05-16
139,오성&학교가구,"이미영,황수일",054-373-7755,경상북도 청도군 금천면 갈마리길 61-6,기타 목재가구 제조업 외 6 종,사무용가구,2024-05-16
140,오성&학교가구 2공장,"이미영,황수일",,경상북도 청도군 금천면 갈지리 160번지 외3필지,일반 제재업 외 6 종,사무용가구,2024-05-16
141,유진택,최병각,054-373-3131,경상북도 청도군 풍각면 봉기1길 32-7,"식초, 발효 및 화학 조미료 제조업",식초,2024-05-16
142,유천미곡종합처리장,박두한,054-373-4962,경상북도 청도군 청도읍 내리길 26-5,곡물 도정업,쌀.보리,2024-05-16
143,윤철수외1,윤철수,,경상북도 청도군 풍각면 봉기1길 63,모직물 직조업,모직물직조업,2024-05-16
144,이로움,오동엽,,경상북도 청도군 화양읍 교촌리 130,장류 제조업,"된장, 간장",2024-05-16
145,임당영농조합법인,이상호,054-371-0410,경상북도 청도군 금천면 방지리 990번지 외 1필지,기타 과실ㆍ채소 가공 및 저장 처리업,"곶감, 감말랭이, 아이스홍시",2024-05-16
146,장원산업,장은철,054-373-0347,경상북도 청도군 풍각면 지리골길 87,혼성 및 재생 플라스틱 소재 물질 제조업,"모판,건축자재",2024-05-16
147,장원식품,안재철,054-373-4312,경상북도 청도군 청도읍 고수동3길 49,두부 및 유사식품 제조업,"두부,묵,비지",2024-05-16
148,장인촌,양봉금,,경상북도 청도군 이서면 가금구라길 197-45,장류 제조업,된장,2024-05-16
149,재호농산 ,이정민  ,,경상북도 청도군 청도읍 덕암리 731번지 외 1필지,기타 과실ㆍ채소 가공 및 저장 처리업,감말랭이  ,2024-05-16
150,제이엠지(주),윤상돈,054-371-8899,"경상북도 청도군 풍각면 봉기1길 63, 제이엠지(주)",모직물 직조업,모직물직조,2024-05-16
151,주식회사 다원,정영화,,경상북도 청도군 청도읍 원정리 924-1,장류 제조업,"메주, 된장 등 장류",2024-05-16
152,주식회사 비에이치 ,조보금 ,054-373-8024,경상북도 청도군 풍각면 봉기1길 70,전기회로 접속장치 제조업 외 8 종,자동제어,2024-05-16
153,주식회사 선진펫,이권형,053-982-1550,경상북도 청도군 송읍길 79 (청도읍) 외 5필지,배합 사료 제조업,애완용품(개사료),2024-05-16
154,주식회사 온정바이오기술,이동인,054-373-5889,경상북도 청도군 화양읍 연지로 274,표면 가공 목재 및 특정 목적용 제재목 제조업,"서재가구, 책걸상, 데크재, 계단재",2024-05-16
155,주식회사 원기술,김영담,054-552-5508,경상북도 청도군 풍각면 봉기1길 69 (풍각면),속도계 및 적산계기 제조업 외 5 종,"유량계, 자동제어반, 프로세스제어반, CCTV, 여과기, 약품투입기, 탈수 및 배수장치, 탈취기",2024-05-16
156,주식회사 하이제트이엔지,정미애,054-373-4068,경상북도 청도군 청도읍 원정리 576-1,유압기기 제조업,유압실린더,2024-05-16
157,주식회사오즈텍,서정배,054-371-6883,경상북도 청도군 금천면 명포길 42,구조용 금속 판제품 및 공작물 제조업 외 2 종,"어닝(경량 차양), 블라인드",2024-05-16
158,주은농산,이승국,054-372-5941,경상북도 청도군 매전면 관하리 1232-2 번지,기타 과실ㆍ채소 가공 및 저장 처리업,감말랭이,2024-05-16
159,주흥식품,장석형,,경상북도 청도군 화양읍 남성현로 167-15,기타 과실ㆍ채소 가공 및 저장 처리업,"감말랭이, 반건시",2024-05-16
160,지씨에스마이크로글래스(주),양성진,054-372-7768,경상북도 청도군 풍각면 봉기1길 17,안전유리 제조업 외 1 종,강화유리,2024-05-16
161,진흥모방,손진태,054-371-6091,경상북도 청도군 풍각면 봉기1길 63 ((주)베가공장),모 방적업,방모사,2024-05-16
162,천우식품제조장,"박용민,최원준",054-373-3135,경상북도 청도군 풍각면 봉기1길 32-7,"식초, 발효 및 화학 조미료 제조업","와사비,왕겨자,후추",2024-05-16
163,청도감가공유통조합법인,박필숙,054-371-5656,경상북도 청도군 화양읍 동고길 133-10,기타 과실ㆍ채소 가공 및 저장 처리업,"아이스홍시,갈말랭이",2024-05-16
164,청도감영농조합,이준수,054-371-4604,경상북도 청도군 매전면 가례길 60,기타 과실ㆍ채소 가공 및 저장 처리업,"감말랭이,반건시",2024-05-16
165,청도감영농조합법인,이준수,,경상북도 청도군 매전면 가례길 5,기타 과실ㆍ채소 가공 및 저장 처리업,"감말랭이, 아이스홍시",2024-05-16
166,청도감와인(주),하상오,054-371-1100,경상북도 청도군 풍각면 봉기1길 27,기타 발효주 제조업 외 1 종,감와인,2024-05-16
