업체명,대표자,주소,생산품,연락처
농업회사법인 온샘(주),김진억,경상북도 안동시 풍산읍 산업단지2길 15,"참마분말, 생강분말",054-855-8201
농업회사법인 (주)헴프앤알바이오,김영민,"경상북도 안동시 풍산읍 산업단지길 88, 301호",대마종자유,054-843-3660
넨시스(주),박광수,경상북도 안동시 풍산읍 매곡리 1132번지,판크레아틴장용과립 외,054-843-5285
YMF,권혁,경상북도 안동시 풍산읍 괴정리 1016번지,"멸치액젓, 액체육젓, 까니리액젓 등",054-854-7401
(주)한국아스텐,김성례,경상북도 안동시 풍산읍 괴정리 990번지 외 1필지,"된장, 간장, 고추장",054-858-2180
(주)태산물산,박창호,경상북도 안동시 풍산읍 산업단지5길 46,고춧가루,054-854-1863
(주)케일,김용욱,"경상북도 안동시 풍산읍 산업단지길 88, 304호","테네브리오밀웜박, 건조밀웜",070-4645-3700
(주)케미메디 한국전통의학연구소 식품사업부,최건섭,"경상북도 안동시 풍산읍 산업단지길 88, 바이오벤처프라자 302호",건강기능식품,070-4866-5776
(주)지엠바이오메드,장무경,"경상북도 안동시 풍산읍 산업단지길 88, GIB 5동 2층","샴푸, 마스크 팩",054-859-3100
(주)주원정공 2공장,정연미,경상북도 안동시 풍산읍 산업단지길 227,"주방기구, 음수대 등",054-822-7171
(주)영동농기계 제2공장,김이한,경상북도 안동시 풍산읍 괴정리 1006번지,"건조기,파종기",054-821-2583
(주)에이프로에스앤씨,권오준,경상북도 안동시 풍산읍 괴정리 1012번지,"니켈합금강, 스테인리스튜브, 탄소강 파이프",032-777-8818
(주)에이트리에프앤비,전동우,경상북도 안동시 풍산읍 산업단지길 87,"컵쥬스, 파우치쥬스",054-841-9990
(주)신화콘크리트,조임숙,경상북도 안동시 풍산읍 괴정리 1015 번지,콘크리트 블록,054-859-7718
(주)비앤엘아그로,최석원,"경상북도 안동시 풍산읍 산업단지길 88, 경북바이오벤처프라자 301호","기능성 식품, 천연작물 보호제",-
(주)두일,강문규,경상북도 안동시 풍산읍 산업단지5길 32,포장용 풀라스틱 제품,054-805-7300
(주)네오켄바이오,함정엽,"경상북도 안동시 풍산읍 산업단지2길 5, GIB-3동 302호","수용성 헴프 씨드 오일 분말, 화장푼 원료",02-964-9011
(주)내츄럴씨앤에프,최재홍,"경상북도 안동시 풍산읍 산업단지길 88, 경북바이오벤처프라자 303호","화장품 및 식품원료,식품,화장품",054-855-1300
(재)한국천연색소산업화센터,윤종찬,경상북도 안동시 풍산읍 산업단지2길 31,"추출액/농축액, 농축분말, 액상차",054-850-0100
(재)백신글로벌산업화기반구축사업단 동물세포실증지원센터,이홍균,경상북도 안동시 풍산읍 괴정리 1018번지,생물학적제제(백신 등),054-842-6400
(재)경북바이오산업연구원 백신상용화기술지원센터,전익조,경상북도 안동시 풍산읍 산업단지1길 48-13,백신 등,054-850-6881
(재)경북바이오산업연구원,(재)경북바이오산업연구원장,경상북도 안동시 풍산읍 산업단지2길 5,"건강기능식품, 일반식품, 음료",054-850-6901
H&H엔지니어링,김정엽,경상북도 안동시 풍산읍 절뒤길 49,액체펌프제조,-
키즈케어랩,전소영,"경상북도 안동시 풍산읍 절뒤길 59, 주건축물 제2동","완구, 교구, 교재",054-858-8948
천일제면(주),임상오,경상북도 안동시 풍산읍 풍산공단길 26,"국수,떡국",054-857-2480
주식회사 에스더블유티,김상민,경상북도 안동시 풍산읍 절뒤길 53,"산업용 건조기, 목재가공장비, 퇴비 펠렛기",070-8868-8854
주식회사 나우,김봉덕,경상북도 안동시 풍산읍 풍산공단길 17,LED 안내전광판,-
오케이에프음료㈜,박정진,경상북도 안동시 풍산읍 절뒤길 52,음료,054-856-1877
신도물산,김점곤,경상북도 안동시 풍산읍 절뒤길 53,"생산제어장치, 논슬립",-
마카다프룻 농업회사법인 주식회사,장영태,경상북도 안동시 풍산읍 절뒤길 49,과채주스,-
라성에너지(주),유은상,경상북도 안동시 풍산읍 절뒤길 53,"목재, 가로등주, LED램프, 난간, 자동열림시스템, 지진비상경보기, 비상운반용간판, 헬멧, 전자감지장치, 전시용 모형 제조",054-853-5696
루빛,이상이,"경상북도 안동시 풍산읍 절뒤길 59, 제2동",LED경관조명 등,-
동방산업가스,김태건,경상북도 안동시 풍산읍 절뒤길 34,산소(충전),054-858-7593
더파크산업(주),박재동,경상북도 안동시 풍산읍 절뒤길 53,"가동보, 수문, 수문권양기, 상하수도설비 등",054-901-0888
다산농업회사법인(주),유은상,경상북도 안동시 풍산읍 절뒤길 53,작물 생산 제어장치,054-853-5697
글로벌아그로(주),이용진,경상북도 안동시 풍산읍 절뒤길 18,"토양보습제, 농업 미생물제",054-858-2971
(주)현무,"한정구, 이민주",경상북도 안동시 풍산읍 절뒤길 59,"계장계측제어장치, 제어반, 배전반, 영상감시장치, 약품투입기",054-534-1007
(주)태진산업,"이주원, 정연미",경상북도 안동시 풍산읍 산업단지길 253,"급수대,조회대,운동기구,샤시제작조립",054-822-0970
(주)주원정공,정연미,경상북도 안동시 풍산읍 산업단지길 253,"주방기구, 음수대, 주방용전기기기",054-822-7171
(주)정우비앤에스,조헌호,경상북도 안동시 풍산읍 절뒤길 53,"방송장비,전광판,감시기기",054-821-4720
(주)이티씨(풍산공장),윤영희,경상북도 안동시 풍산읍 풍산공단길 17,"배전반, 제어반, 컨트롤러 등",054-842-5596
(주)유니콘스,최영철,경상북도 안동시 풍산읍 절뒤길 59,헬스장비 및 말타기운동기구,-
(주)위즈플러스,이홍실,경상북도 안동시 풍산읍 절뒤길 59,"인쇄물, LED경관조명기구, 간판, 조형물, 우산, 금속, 목재 가구, 표식장비, 영상정보디스플레이장치",054-1577-6396
(주)와이케이건기,채호선,경상북도 안동시 풍산읍 풍산공단길 13,건설기계부품,070-4884-0604
(주)신화콘크리트,조임숙,경상북도 안동시 풍산읍 절뒤길 15,콘크리트관및조립구조재,054-859-7718
(주)배광산업,장대진,경상북도 안동시 풍산읍 절뒤길 49,합판 코팅,054-858-7900
(주)대양강업,임종철,경상북도 안동시 풍산읍 풍산공단길 5-8,샌드위치판넬,054-858-8989
(주)금복주 안동공장,김일환,경상북도 안동시 풍산읍 절뒤길 33,소주,054-843-0363
현대샤인건업,변단흠,경상북도 안동시 남후면 큰광음길 111,PVC샷시,054-854-4887
한국에코산업(주),권태형,경상북도 안동시 남후면 농공길 65-12,"식생매트,철근,이중벽관,삼중벽관",054-843-7301
한국바이오콘주식회사,최금화,경상북도 안동시 남후면 농공길 65-9,"오수맨홀,호안블럭 등",054-843-6300
주인산업(주),권인호,경상북도 안동시 남후면 농공길 39,"호안블럭,잔디.주차블럭,식생매트",054-843-7300
주식회사 에스티맥스,이혜옥,경상북도 안동시 남후면 큰광음길 89,기계부품,-
주식회사 무릉도원,김창문,경상북도 안동시 남후면 농공길 23,알콜음료,-
익스트림 에어바운스,서상훈,경상북도 안동시 남후면 농공길 37-9,"에어바운스, 공기조형물",-
원스틸(주),이병경,경상북도 안동시 남후면 농공길 36-11,피복강관,054-859-3607
우성케미칼(주),전인택,경상북도 안동시 남후면 큰광음길 115,폴리에스테르 섬유,054-854-7668
우성첨단소재(주),전병건,경상북도 안동시 남후면 농공길 5,Polyester Staple Fiber,054-858-8709
영진폴리텍,민춘홍,경상북도 안동시 남후면 농공길 36-9,PE 이음관,054-853-5173
영농조합법인 안동민속티엠알,권명옥,경상북도 안동시 남후면 농공길 52-10,한우용 사료,054-843-3113
애드앤포토,김은숙,경상북도 안동시 남후면 농공길 52-9,홍보안내표지판,054-859-3186
안동종가에프씨(주),김영일,경상북도 안동시 남후면 농공길 52-9,김치,054-858-6811
안동시고추종합처리장,권기봉,경상북도 안동시 남후면 농공길 45,세절건고추,054-858-0860
안동명가 고추가루,신연옥,경상북도 안동시 남후면 큰광음길 83,고춧가루,-
복주(주),권귀순,경상북도 안동시 남후면 농공길 37-10,물탱크,054-823-9500
라인리사이클(주),유원모,경상북도 안동시 남후면 농공길 57,재생아스콘,054-843-9920
동아산업,정삼조,경상북도 안동시 남후면 농공길 65,폴리에스터 단섬유,054-859-7705
대원산업(주),권이화,경상북도 안동시 남후면 농공길 37,보도블럭 등,054-842-5777
대림정미소,임상철,경상북도 안동시 남후면 큰광음길 119,쌀,054-859-0598
농업회사법인(주)한국라이스텍,최해천,경상북도 안동시 남후면 농공길 24,"현미,백미,누룽지,빵",054-842-0400
농업회사법인 유토피아(주),서주현,경상북도 안동시 남후면 큰광음길 107,"주류, PP마포",054-841-3378
농업회사법인 원푸드(주),김도원,경상북도 안동시 남후면 농공길 52-11,"곡류가공품, 한과, 약과",-
남안동농협가공사업소,권기봉,경상북도 안동시 남후면 농공길 45,"고추가루, 세절건고추",054-858-8085
남안동농업협동조합,권기봉,경상북도 안동시 남후면 농공길 51,"망양파, 깐양파",054-853-4281
경안농기계,이교섭,경상북도 안동시 남후면 큰광음길 79,"탈곡기,절단기,풍로",054-859-1799
경북산업,안휘철,경상북도 안동시 남후면 농공길 52-9,"농기계, 고춧가루가공",054-821-4000
건창건설(주),변단흠,경상북도 안동시 남후면 큰광음길 111,PVC 샷시,054-854-4887
(합)대덕산업2공장,심재덕,경상북도 안동시 남후면 농공길 28,식생 부직포,054-858-4816
(합)대덕산업,심재덕,경상북도 안동시 남후면 농공길 19,"철전주,가로등주,생태블록",054-858-4816
(주)한국파이프,민춘홍,경상북도 안동시 남후면 농공길 36-7,폴리에틸렌관,054-843-5577
(주)태광수지,한종숙,경상북도 안동시 남후면 농공길 36-9,PE관,054-854-5173
(주)제이에스엔지니어링,문지호,경상북도 안동시 남후면 농공길 76,"펌프, 여과기, 혼합기",054-857-9998
(주)유일산업,최춘영,경상북도 안동시 남후면 농공길 37-9,"철망, 구조용 금속, 교량용 이음장치 등",054-822-6162
(주)원금산업,김순옥,경상북도 안동시 남후면 농공길 25,"옥외간판,금속표시판,교통표시판,게비온,돌망태",054-857-3100
(주)영남이엔지,이미영,경상북도 안동시 남후면 농공길 37-10,"배전반, 전기자동제어반",054-857-7722
(주)신호,이경희,경상북도 안동시 남후면 농공길 6,"도로표지판,지주(신호등,표지판), 도로표지병",054-856-4800
(주)수영산업,이정연,경상북도 안동시 남후면 농공길 52-9,펌프 등,054-855-2501
(주)세영산업,권기주,경상북도 안동시 남후면 농공길 36-10,"도복강관,이형관, 철구조물",054-850-5205
(주)누리정보기술,김승규,경상북도 안동시 남후면 농공길 37-9,"CCTV,방송장비(스피커),LED전광판",054-842-1003
현대아스콘주식회사,차오석,경상북도 안동시 남선면 농공단지길 17,"아스콘, 재생아스콘",054-822-7878
한국벨트산업(주),권오훈,경상북도 안동시 남선면 농공단지길 18,산업용 벨트,054-821-3223
퍼팩트안동파이프(주),김용희,경상북도 안동시 남선면 농공단지길 14-9,"PE관, 목재데크, 디자인형 울타리 등",054-822-7790
예인산업,박희대,경상북도 안동시 남선면 농공단지길 14-9,금속선,054-823-8100
영농상사,이학형,경상북도 안동시 남선면 농공단지길 16-1,복합비료,054-822-0051
에스알(주),권오환,경상북도 안동시 남선면 농공단지길 14-9,"계장계측제어, 자동제어반",054-852-5125
아트 인 스마일,권오준,"경상북도 안동시 남선면 농공단지길 39, 2층 201호",옥외용벤치,-
아이엔지팩토리,이정민,경상북도 안동시 남선면 농공단지길 39,"광고 간판 등, 컨테이너 및 금속구조물",-
동영기업,박현신,경상북도 안동시 남선면 농공단지길 33-6,목관,054-822-5954
대성골재(주) 아스콘지점,장경수,경상북도 안동시 남선면 농공단지길 32,"아스콘, 재생아스콘",054-858-6377
(주)한남,권민재,경상북도 안동시 남선면 농공단지길 16,"안내간판,미끄럼방지,포장재,",054-821-3490
(주)케이아이디,강문호,경상북도 안동시 남선면 농공단지길 17,당구대,02-712-1001
(주)이앤에스,김춘옥,경상북도 안동시 남선면 농공단지길 14-9,흡음천장재 등,054-853-1233
(주)삼정산업,김명하,경상북도 안동시 남선면 농공단지길 14-9,일반용폴리에틸렌이음관,054-822-2796
(주)대광정보통신,오경택,경상북도 안동시 남선면 농공단지길 14-9,"계장계측제어, 프로세스제어반",054-856-0980
(주)경북파이프산업,임채련,경상북도 안동시 남선면 농공단지길 35,"PE이중관,삼중관",054-823-5111
