연번,업체명,도로명주소,지번주소,산업분류코드,업종명,전화번호,팩스번호,종업원수
37,(주)대도화학 제2공장,경상북도 성주군 선남면 관용로 469,경상북도 성주군 선남면 오도리 1-8번지,"22213, ",플라스틱 시트 및 판 제조업,,054-932-9420,5
38,(주)대동,"경상북도 성주군 선남면 선노로 58-10, 1034-2.-3.1155-1 외 1필지",경상북도 성주군 선남면 소학리 1034-1 외 1필지,"30320, ",자동차 차체용 신품 부품 제조업,,054-931-9165,3
39,(주)대명전통주,경상북도 성주군 선남면 동암리 299번지,경상북도 성주군 선남면 동암리 299번지,"11111, ",탁주 및 약주 제조업,,053-587-6222,4
40,(주)대명하이텍,경상북도 성주군 성주읍 성산9길 79,경상북도 성주군 성주읍 성산리 176-8,"29210, ",농업 및 임업용 기계 제조업,054-933-1164,,6
41,(주)대성스크린,경상북도 성주군 선남면 명관로 337-61,경상북도 성주군 선남면 취곡리 258-4번지,"25944, ",금속선 가공제품 제조업,053-614-7373,053-616-7071,7
42,(주)대성식품,경상북도 성주군 월항면 월항농공단지2길 15 (대성식품),경상북도 성주군 월항면 장산리 1549번지,"10302, ",과실 및 그 외 채소 절임식품 제조업,054-931-7229,054-931-9227,4
43,(주)대성알엠비,경상북도 성주군 선남면 명관로 337-55,경상북도 성주군 선남면 취곡리 251-14,"22199, ",그 외 기타 고무제품 제조업,,053-616-7071,5
44,(주)대성이엔지,경상북도 성주군 선남면 명관로 337-39,경상북도 성주군 선남면 취곡리 239-16,"27216, ",산업처리공정 제어장비 제조업,054-931-6338,054-931-6337,16
45,(주)대세케미칼,경상북도 성주군 용암면 사곡공단1길 48,경상북도 성주군 용암면 사곡리 1014-5번지,"20421, ",계면활성제 제조업,,054-931-2351,6
46,(주)대아,경상북도 성주군 선남면 나선로 936 ((주)대아),경상북도 성주군 선남면 선원리 626-3번지,"29175, ",기체 여과기 제조업,,054-931-3391,4
47,(주)대양,경상북도 성주군 선남면 문방공단길 159 ((주)대왕),경상북도 성주군 선남면 문방리 1400번지,"13219, ",특수 직물 및 기타 직물 직조업,054-933-1771,054-933-1773,3
48,(주)대영건업,경상북도 성주군 선남면 선노로 357-17 외 7필지,경상북도 성주군 선남면 용신리 224-1 외 7필지,"22223, 25111",플라스틱 창호 제조업 외 1 종,054-931-1731,054-931-9593,20
49,(주)대영합섬,경상북도 성주군 성주읍 성주산업단지로4길 28-13,경상북도 성주군 성주읍 금산리 46-1번지,"13104, ",연사 및 가공사 제조업,053-567-7929,053-567-7928,13
50,(주)대우주차산업,경상북도 성주군 용암면 운용로 1449 ((주)K-Tech),경상북도 성주군 용암면 문명리 492번지 (주)K-Tech,"29199, ",그 외 기타 일반목적용 기계 제조업,,053-584-5818,5
51,(주)대원,경상북도 성주군 선남면 관용로 479 (동양황토흙벽돌),경상북도 성주군 선남면 오도리 1-6번지,"20313, ",유기질 비료 및 상토 제조업,054-931-9992,054-931-9982,7
52,(주)대원에스비,경상북도 성주군 선남면 도성2길 235 외 1필지,경상북도 성주군 선남면 소학리 760번지 외 1필지,"28123, ",배전반 및 전기 자동제어반 제조업,054-931-3632,054-933-3631,7
53,(주)대일테크,경상북도 성주군 선남면 명관로 337-30 (선남면) 외 1필지,경상북도 성주군 선남면 동암리 531-22번지 외 1필지,"29261, ","산업용 섬유 세척, 염색, 정리 및 가공 기계 제조업",054-933-3280,054-933-3281,5
54,(주)대일텍스타일,경상북도 성주군 성주읍 성주농공단지길 14 (대창물산),경상북도 성주군 성주읍 성산리 1447번지,"13213, ",화학섬유직물 직조업,054-701-1559,054-933-9963,13
55,(주)대정이엔시,"경상북도 성주군 선남면 명관로 429-33, (동암리 419-19) 외 1필지",경상북도 성주군 선남면 동암리 419-19번지 (동암리 419-19) 외 1필지,"22222, ",설치용 및 위생용 플라스틱제품 제조업,,054-932-6781,10
56,(주)대진,경상북도 성주군 월항면 월항로 161,경상북도 성주군 월항면 장산리 1556번지,"13213, ",화학섬유직물 직조업,054-933-6280,054-973-0021,10
57,(주)대한실업성주지점,"경상북도 성주군 벽진면 문덕로 112, 외 2필",경상북도 성주군 벽진면 가암리 169-2번지,"38322, 22199, 22221, 22249, 22299",비금속류 원료 재생업 외 4 종,054-931-3452,054-931-4353,16
58,(주)대흥,"경상북도 성주군 초전면 문덕로 249-13,  (외1필)",경상북도 성주군 초전면 문덕리 774번지 (외1필),"23324, 23326","콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 1 종",054-933-1888,054-932-1888,5
59,(주)더블유지웍스,경상북도 성주군 선남면 도성리 602-3번지 외 1필지,경상북도 성주군 선남면 도성리 602-3번지 외 1필지,"23122, ",디스플레이 장치용 유리 제조업,054-932-1004,054-933-6543,30
60,(주)덕수테크,경상북도 성주군 선남면 나선로 932-34,경상북도 성주군 선남면 선원리 455-2번지,"25923, ",도장 및 기타 피막처리업,054-933-2311,054-933-2313,3
61,(주)덕우,경상북도 성주군 선남면 나선로 1002-29 (명원E&T),경상북도 성주군 선남면 선원리 660-1번지,"29169, 25119, 25929",기타 물품 취급장비 제조업 외 2 종,054-933-5088,054-933-5078,13
62,(주)덕제산업,경상북도 성주군 선남면 명관로 446-26,경상북도 성주군 선남면 동암리 362-1번지,"13992, ",부직포 및 펠트 제조업,054-933-7724,054-932-7724,5
63,(주)데스코성주3공장,경상북도 성주군 월항면 보암공단길 26-69 외 7필지,경상북도 성주군 월항면 보암리 775번지 외 7필지,"20202, 20203",합성수지 및 기타 플라스틱 물질 제조업 외 1 종,054-970-5883,054-973-2358,25
64,(주)도립,경상북도 성주군 용암면 운용로 1380,경상북도 성주군 용암면 기산리 166-6번지,"13300, ",편조원단 제조업,,054-933-0716,8
65,(주)도원환경,경상북도 성주군 선남면 도흥5길 65 (선남면),경상북도 성주군 선남면 도흥리 374번지,"22199, ",그 외 기타 고무제품 제조업,,054-933-6242,6
66,(주)도현,경상북도 성주군 선남면 선노로 691 ((주)도현금속),경상북도 성주군 선남면 용신리 958-4 번지,"24311, ",선철주물 주조업,,054-931-4314,21
67,(주)동국철강,경상북도 성주군 선남면 관용로 357-7,경상북도 성주군 선남면 오도리 204번지,"24290, ",기타 1차 비철금속 제조업,054-932-7006,054-932-5666,15
68,(주)동서남북,경상북도 성주군 성주읍 주천로 220-73,경상북도 성주군 성주읍 금산리 산 11-8,"13922, ",어망 및 기타 끈 가공품 제조업,054-931-2301,054-931-2302,8
69,(주)동성중공업,경상북도 성주군 선남면 나선로 945,경상북도 성주군 선남면 선원리 647-1,"25113, 25119",육상 금속 골조 구조재 제조업 외 1 종,053-753-4747,0507-1796-3201,10
70,(주)동양테크,경상북도 성주군 용암면 운용로 954 외 1필지,경상북도 성주군 용암면 용정리 80번지 외 1필지,"20202, 20203",합성수지 및 기타 플라스틱 물질 제조업 외 1 종,,054-974-1110,4
71,(주)동양페시마,"경상북도 성주군 용암면 성암로 1241, (62-4번지) ((주)동양페시마)",경상북도 성주군 용암면 용정리 62-4번지 (주)동양페시마 (62-4번지),"24113, ",합금철 제조업,054-932-3456,054-932-3939,7
72,(주)동원케이블,경상북도 성주군 선남면 관화1길 21-43,경상북도 성주군 선남면 관화리 1041-1,"28302, ",기타 절연선 및 케이블 제조업,054-932-2841,054-932-1556,3
73,(주)동일,경상북도 성주군 월항면 유월공단길 52,경상북도 성주군 월항면 유월리 175-1번지,"38321, 38322",비금속류 해체 및 선별업 외 1 종,054-931-8865,054-933-8818,7
74,(주)동일개발,경상북도 성주군 성주읍 본성로 840-14,경상북도 성주군 성주읍 성산리 1018번지,"25112, 22229",구조용 금속 판제품 및 공작물 제조업 외 1 종,054-604-9988,054-604-9989,8
75,(주)동주테크,경상북도 성주군 선남면 소학리 1084-1번지,경상북도 성주군 선남면 소학리 1084-1번지,"22241, ",운송장비 조립용 플라스틱제품 제조업,054-933-0296,054-933-0298,13
76,(주)동호분섬,경상북도 성주군 선남면 유서리길 128,경상북도 성주군 선남면 유서리 362-1번지,"13104, ",연사 및 가공사 제조업,,054-931-8851,13
77,(주)동화하이텍 공장,경상북도 성주군 선남면 성주로 3781-30,경상북도 성주군 선남면 관화리 1043-1,"22299, ",그 외 기타 플라스틱 제품 제조업,053-582-5639,053-582-5639,6
78,(주)동흥스틸,경상북도 성주군 선남면 관용로 463,경상북도 성주군 선남면 오도리 1-11번지,"25113, ",육상 금속 골조 구조재 제조업,054-931-6685,054-931-6684,7
79,(주)두성산업,경상북도 성주군 선남면 선원2길 19 ((주)두성산업),경상북도 성주군 선남면 선원리 543번지,"30331, ",자동차용 신품 동력전달장치 제조업,,054-931-6635,7
80,(주)디에스,경상북도 성주군 선남면 나선로 863 (총 5 필지),경상북도 성주군 선남면 선원리 330번지,"29229, 29199, 29299",기타 가공 공작기계 제조업 외 2 종,054-933-8130,054-933-8185,7
81,(주)디에스,"경상북도 성주군 초전면 주천로 1306-6, (용봉리 56-5)",경상북도 성주군 초전면 용봉리 산 58-17번지 (용봉리 56-5),"13992, ",부직포 및 펠트 제조업,054-931-0500,054-931-1213,10
82,(주)디에스테크,경상북도 성주군 용암면 사곡공단2길 28,경상북도 성주군 용암면 사곡리 848-8번지,"22299, ",그 외 기타 플라스틱 제품 제조업,,054-931-1336,1
83,(주)디에스피이엔씨,경상북도 성주군 월항면 월항농공단지1길 42-29,경상북도 성주군 월항면 장산리 1540,"28111, ",전동기 및 발전기 제조업,,,2
84,(주)디와이스틸밴드,경상북도 성주군 금수강산면 성주로 1941-19,경상북도 성주군 금수강산면 광산리 161-2번지,"25112, ",구조용 금속 판제품 및 공작물 제조업,,053-615-8523,0
85,(주)디와이에코,경상북도 성주군 용암면 운용로 954,경상북도 성주군 용암면 용정리 80번지,"22299, 22199",그 외 기타 플라스틱 제품 제조업 외 1 종,,054-974-1110,4
86,(주)디지에쓰,경상북도 성주군 선남면 관용로 297 외 3필지,경상북도 성주군 선남면 오도리 284-1번지 외 3필지,"30399, ",그 외 자동차용 신품 부품 제조업,054-931-9567,054-931-9570,42
87,(주)럭키산업,경상북도 성주군 월항면 대산2길 22-62 (럭키산업),경상북도 성주군 월항면 대산리 617번지,"20411, ",일반용 도료 및 관련제품 제조업,054-933-7288,054-933-7289,0
88,(주)로드텍,경상북도 성주군 선남면 관화5길 54-37,경상북도 성주군 선남면 관화리 513-1,"22299, ",그 외 기타 플라스틱 제품 제조업,053-593-8833,053-593-0054,2
89,(주)리버유토피아,경상북도 성주군 성주읍 성주농공단지길 14,경상북도 성주군 성주읍 성산리 1447번지,"23911, 13994, 16102, 16300, 25944",건설용 석제품 제조업 외 4 종,054-934-4387,054-932-7414,2
90,(주)만년부직포,경상북도 성주군 월항면 유월1길 15 (만년보온덮게),경상북도 성주군 월항면 유월리 211-4번지,"13992, ",부직포 및 펠트 제조업,054-932-9101,054-933-7877,16
91,(주)매일,경상북도 성주군 대가면 참별로 2288,경상북도 성주군 대가면 옥성리 720-1,"29210, ",농업 및 임업용 기계 제조업,054-933-7456,054-933-7457,2
92,(주)명륜산업,경상북도 성주군 지산로 179 (월항면) 외 1필지,경상북도 성주군 월항면 지방리 36번지 외 1필지,"16102, 16299",표면 가공 목재 및 특정 목적용 제재목 제조업 외 1 종,054-931-3872,054-931-3874,43
93,(주)명언,경상북도 성주군 성주읍 성주농공단지길 36 ((주)명언),경상북도 성주군 성주읍 성산리 1447번지,"25119, ",기타 구조용 금속제품 제조업,054-933-8945,054-933-2332,19
94,(주)명진플라텍,경상북도 성주군 선남면 관용로 316-22,경상북도 성주군 선남면 오도리 271-9,"22241, ",운송장비 조립용 플라스틱제품 제조업,054-933-2999,054-933-3999,4
95,(주)모아,경상북도 성주군 선남면 문방공단길 83 (총 2 필지) 외 1필지,경상북도 성주군 선남면 문방리 1415번지 외 1필지,"13993, 38321, 38322",특수사 및 코드직물 제조업 외 2 종,054-933-9201,054-933-9206,92
96,(주)모코,경상북도 성주군 용암면 운용로 871 외 2필지,경상북도 성주군 용암면 용정리 398-2 주식회사 모코 외 2필지,"25913, 30391, 30392, 30399, 30400",자동차용 금속 압형제품 제조업 외 4 종,054-930-8500,054-930-8599,35
97,(주)무안,경상북도 성주군 용암면 용정공단길 26 (이화산업(주)),경상북도 성주군 용암면 용정리 385번지,"13104, ",연사 및 가공사 제조업,054-931-4300,054-931-4301,24
98,(주)미강기업,경상북도 성주군 선남면 문방길 25-27,경상북도 성주군 선남면 오도리 495-1번지,"29163, 29176",컨베이어장치 제조업 외 1 종,053-566-6183,053-564-1970,2
99,(주)미래퍼니처 ,경상북도 성주군 월항면 주산로 242 외 1필지,경상북도 성주군 월항면 대산리 901-0 외 1필지,"32099, 32021, 32091",그 외 기타 가구 제조업 외 2 종,054-933-6680,054-933-6690,2
100,(주)미래환경산업,경상북도 성주군 성주읍 주천로 220-45,경상북도 성주군 성주읍 금산리 32-1번지,"23324, 23326","콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 1 종",054-932-6999,054-932-4695,5
101,(주)미르철강,옥성1길 30 외 2필지,경상북도 성주군 대가면 옥성리 645-1 외 2필지,"25113, 25114",육상 금속 골조 구조재 제조업 외 1 종,054-932-8874,054-932-0901,3
102,(주)미성공업,경상북도 성주군 초전면 대장2길 16-10,경상북도 성주군 초전면 대장리 680번지,"23322, 23991",레미콘 제조업 외 1 종,054-931-6030,054-931-6034,7
103,(주)미성에이엠스틸,경상북도 성주군 성주읍 주산로 201 외 2필지,경상북도 성주군 성주읍 삼산리 22-1번지 외 2필지,"29210, ",농업 및 임업용 기계 제조업,054-931-8177,054-932-8176,7
104,(주)미소산업,,경상북도 성주군 선남면 도흥리 791-4,"33302, 25119",놀이터용 장비 제조업 외 1 종,054-933-6300,054-933-6301,5
105,(주)반석정공,경상북도 성주군 선남면 명관로 337-119,경상북도 성주군 선남면 취곡리 268-4,"25913, 25914",자동차용 금속 압형제품 제조업 외 1 종,054-933-7680,054-932-7680,4
106,(주)백봉환경산업,"경상북도 성주군 용암면 사곡공단1길 31, 사곡리 993 외 3필지",경상북도 성주군 용암면 사곡리 993번지 백봉환경산업(주) 사곡리 993 외 3필지,"38321, 38322",비금속류 해체 및 선별업 외 1 종,054-933-0356,054-933-0365,6
107,(주)베스트모카,경상북도 성주군 선남면 도흥길 47-21,경상북도 성주군 선남면 도흥리 산111-6,"14419, ",기타 편조의복 액세서리 제조업,054-932-2240,054-932-2226,15
108,(주)벤트월,경상북도 성주군 선남면 명관로 429-6,경상북도 성주군 선남면 동암리 419-5번지,"25112, ",구조용 금속 판제품 및 공작물 제조업,053-424-0014,053-424-0085,5
109,(주)보권인더스트리,경상북도 성주군 용암면 운용로 1478-23,경상북도 성주군 용암면 문명리 530-17번지,"13225, ",직물포대 제조업,054-933-1950,054-932-3588,6
110,(주)보몽드,경상북도 성주군 선남면 명관로 452,경상북도 성주군 선남면 동암리 410,"13221, ",침구 및 관련제품 제조업,053-586-1779,053-587-1779,20
111,(주)볼텍스,경상북도 성주군 선남면 선원2길 28,경상북도 성주군 선남면 선원리 559-1,"13992, ",부직포 및 펠트 제조업,,054-933-6447,2
112,(주)부건니트,,경상북도 성주군 월항면 장산리 1541,"13104, ",연사 및 가공사 제조업,054-931-3052,,1
113,(주)불스,경상북도 성주군 용암면 성암로 1272 외 1필지,경상북도 성주군 용암면 용정리 235-1번지 외 1필지,"29210, ",농업 및 임업용 기계 제조업,,054-954-2720,40
114,(주)비에이치스틸,경상북도 성주군 선남면 나선로 987-37,경상북도 성주군 선남면 선원리 649-4 대광산업,"25113, ",육상 금속 골조 구조재 제조업,054-933-5486,054-933-5487,6
115,(주)삼보공영,경상북도 성주군 월항면 유월리 981-1번지 외 1필지,경상북도 성주군 월항면 유월리 981-1번지 외 1필지,"25113, ",육상 금속 골조 구조재 제조업,054-932-4286,054-932-4287,6
116,(주)삼우텍스텍,"경상북도 성주군 선남면 유서리길 174-17, 365-8",경상북도 성주군 선남면 유서리 365-7번지,"13104, ",연사 및 가공사 제조업,,054-933-8899,19
117,(주)삼일강업,경상북도 성주군 성주읍 성주산업단지로4길 79 외 1필지,경상북도 성주군 성주읍 학산리 974번지 외 1필지,"25113, 25114",육상 금속 골조 구조재 제조업 외 1 종,054-976-2332,054-931-0266,25
118,(주)삼진,"경상북도 성주군 월항면 유월리 922-2번지 923,924,927","경상북도 성주군 월항면 유월리 922-2번지 923,924,927","38321, 38322",비금속류 해체 및 선별업 외 1 종,054-933-7470,054-933-7460,6
119,(주)삼화산업,경상북도 성주군 월항면 장산리 877번지 외 1필지,경상북도 성주군 월항면 장산리 877번지 외 1필지,"20203, ",혼성 및 재생 플라스틱 소재 물질 제조업,054-931-6224,054-931-6223,4
120,(주)상록농산 농업회사법인,경상북도 성주군 수륜면 신정3길 2 (상록농산),경상북도 성주군 수륜면 신정리 657-57번지,"20313, ",유기질 비료 및 상토 제조업,054-933-6218,054-933-6219,5
121,(주)상산기계,경상북도 성주군 선남면 동암리 524-2번지 외 2필지,경상북도 성주군 선남면 동암리 524-2번지 외 2필지,"29280, ",산업용 로봇 제조업,054-716-0033,054-716-0034,10
122,(주)상신산업,"경상북도 성주군 용암면 용정공단길 20,  361,362,363",경상북도 성주군 용암면 용정리 360번지,"23993, 23322",비금속광물 분쇄물 생산업 외 1 종,054-933-8954,054-933-8958,1
123,(주)새한테크,경상북도 성주군 대가면 용흥3길 21-66,경상북도 성주군 대가면 용흥리 896,"25111, ","금속 문, 창, 셔터 및 관련제품 제조업",054-933-3303,054-933-3325,5
124,(주)서동,경상북도 성주군 월항면 유월리 993번지 외 7필지,경상북도 성주군 월항면 유월리 993 외 7필지,"29299, ",그 외 기타 특수목적용 기계 제조업,,,3
125,(주)서림,경상북도 성주군 선남면 문방공단길 150 ((주)서림),경상북도 성주군 선남면 문방리 1399-1번지,"13213, ",화학섬유직물 직조업,054-933-6600,054-933-6604,22
126,(주)서보,경상북도 성주군 선남면 선노로 55-35,경상북도 성주군 선남면 도성리 864-2,"28111, ",전동기 및 발전기 제조업,,053-564-6005,20
127,(주)서인산업,"경상북도 성주군 용암면 덕평로 98,  (398-4) 외 2필지",경상북도 성주군 용암면 덕평리 398-4번지 (398-4) 398-4 외 2필지,"22211, 25119","플라스틱 선, 봉, 관 및 호스 제조업 외 1 종",054-931-0993,054-931-1955,6
128,(주)석화,경상북도 성주군 용암면 선송리 42번지 외 2필지,경상북도 성주군 용암면 선송리 42번지 외 2필지,"25121, 22251, 29150",산업용 난방보일러 및 방열기 제조업 외 2 종,,054-933-1337,7
129,(주)선농,"경상북도 성주군 선남면 명관로 337-24, (동암리 531-35) 외 1필지",경상북도 성주군 선남면 동암리 531-35번지 (동암리 531-35) 외 1필지,"29210, ",농업 및 임업용 기계 제조업,054-933-1670,054-933-1662,7
130,(주)선진,경상북도 성주군 대가면 도남리 662번지 외 7필지 외 7필지,경상북도 성주군 대가면 도남리 662번지 외 7필지,"25914, ",그 외 금속 압형제품 제조업,054-931-2295,054-931-2296,10
131,(주)성산후레쉬,경상북도 성주군 성주읍 용대로 69 외 1필지,경상북도 성주군 성주읍 용산리 158-2번지 외 1필지,"10121, ",가금류 가공 및 저장 처리업,054-932-5507,054-954-5591,10
132,(주)성원화이바,경상북도 성주군 초전면 칠선리 110번지,경상북도 성주군 초전면 칠선리 110번지,"20501, ",합성섬유 제조업,,054-933-8606,16
133,(주)성일테크,"경상북도 성주군 선남면 나선로 932-33, (선원리 432-1)",경상북도 성주군 선남면 선원리 432-1번지 (선원리 432-1),"25913, ",자동차용 금속 압형제품 제조업,,054-931-5536,4
134,(주)성진산업,경상북도 성주군 선남면 용신리 902,경상북도 성주군 선남면 용신리 902,"25113, ",육상 금속 골조 구조재 제조업,054-933-6693,054-933-6691,5
135,(주)성진텍,경상북도 성주군 대가면 참별로 2288 E동,경상북도 성주군 대가면 옥성리 720-1 E동,"29210, ",농업 및 임업용 기계 제조업,054-933-7456,054-933-7457,1
136,(주)성창기공,경상북도 성주군 성주읍 금산리 27-2번지 외 3필지,경상북도 성주군 성주읍 금산리 27-2번지 외 3필지,"29192, 29210",분사기 및 소화기 제조업 외 1 종,054-932-3314,054-933-7922,32
137,(주)세광,경상북도 성주군 월항면 유월공단길 39 ((주)세광) 외 9필지,경상북도 성주군 월항면 유월리 172번지 외 9필지,"13109, ",기타 방적업,054-933-7504,054-933-7507,23
