회사명,전화번호,팩스번호,공장대표주소,업종명,생산품,데이터기준일자
김춘화자연염색,,054-857-2666,경상북도 안동시 풍산읍 소산리 43-4번지 2층,솜 및 실 염색가공업 외 1 종,"천연염색의류, 침구류, 생활용품 등",2025-08-28
남안동농협가공사업소,054-858-8085,054-858-7149,경상북도 안동시 일직면 운산리 259번지,식물성 유지 제조업 외 2 종,"고추가루,고추장,된장,메주,참기름",2025-08-28
남탑산방,054-859-0582,,경상북도 안동시 이천동 521-1번지,차류 가공업,국화차,2025-08-28
남탑산방,054-859-0582,054-855-0582,경상북도 안동시 서후면 태장리 666-11번지,기타 식품 첨가물 제조업,국화차,2025-08-28
농생아그로텍,054-823-3110,,"경상북도 안동시 서후면 교리 496번지 대학교 1402호(안동과학대학교, 창업보육센터)",복합비료 및 기타 화학비료 제조업,복합비료,2025-08-28
농생아그로텍,054-823-3110,,경상북도 안동시 서후면 교리 496번지 대학교 1402호(안동과학대학교 창업보육센터),복합비료 및 기타 화학비료 제조업,복합비료,2025-08-28
농업회사법인 (주) 청어람푸드,054-856-9282,054-856-9283,경상북도 안동시 풍산읍 안교리 296,육류 기타 가공 및 저장처리업 (가금류 제외),양념육,2025-08-28
농업회사법인 (주)약선푸드,054-822-3341,,경상북도 안동시 송천동  817-5번지,기타 곡물 가공품 제조업,현미마죽,2025-08-28
농업회사법인 HB바이오랜드주식회사,,054-841-2650,경상북도 안동시 풍산읍 괴정리 산25-4,기타 비알코올 음료 제조업,"엔오리바이이브, 엔오바이탈",2025-08-28
농업회사법인 명품안동소주(주),054-854-1200,054-856-1200,경상북도 안동시 풍산읍 노리 988-3 외 2필지,소주 제조업,증류주,2025-08-28
농업회사법인 안동반가 주식회사,054-841-0050,054-853-0050,경상북도 안동시 옥동 1246,기타 과실ㆍ채소 가공 및 저장 처리업 외 1 종,"생강청 등, 생강주 등",2025-08-28
농업회사법인 안동인 주식회사,,,경상북도 안동시 태화동 418-1,천연 및 혼합조제 조미료 제조업 외 2 종,"안동찜닭, 안동찜닭 소스",2025-08-28
농업회사법인 안동제비원전통식품(주),054-841-2778,054-841-6779,경상북도 안동시 서후면 저전리 201-1번지 외 1필지,장류 제조업,"된장,간장,청국장,고추장",2025-08-28
농업회사법인 안동제비원전통식품(주) 제2공장,054-841-2778,054-841-6779,경상북도 안동시 서후면 저전리 200-3번지,장류 제조업,"고추장,된장",2025-08-28
농업회사법인 주식회사 마다솜,054-859-8200,054-859-4552,경상북도 안동시 남후면 무릉리 1319-4번지,곡물 제분업,마 분말,2025-08-28
농업회사법인 주식회사 화단비,054-859-1337,050-4285-1336,경상북도 안동시 대석동 259-9 1층,식물성 유지 제조업,"대마종자유, 참기름, 들기름 등",2025-08-28
농업회사법인 한국농산합자회사,054-755-5188,054-788-5187,경상북도 안동시 풍산읍 괴정리 673-7 403동,농업 및 임업용 기계 제조업,전자식활성수기,2025-08-28
농업회사법인 한성원 주식회사,054-858-8389,054-859-8389,경상북도 안동시 와룡면 중가구리 568번지,과실 및 그 외 채소 절임식품 제조업,"땅콩나물장아찌, 땅콩나물김치",2025-08-28
농업회사법인(주)우돈엠피피,054-859-1717,054-859-1719,경상북도 안동시 안막동 527-3,육류 포장육 및 냉동육 가공업 (가금류 제외),"축산물, 식육포장처리업(소, 돼지)",2025-08-28
농업회사법인(주)차오름,054-859-2901,054-859-2903,경상북도 안동시 풍산읍 수리 102 외 1필지,기타 과실ㆍ채소 가공 및 저장 처리업,깐양파,2025-08-28
농업회사법인주식회사류충현약용버섯,054-822-7535,054-823-7535,경상북도 안동시 임하면 오대리 533-7번지,곡물 제분업 외 6 종,"하회탈빵, 하회탈쿠키, 뽕나무상황버섯차, 상황홍삼진액, 버섯식초, 상황버섯분말",2025-08-28
농업회사법인주식회사영미글로벌팜스,,,경상북도 안동시 풍천면 기산리 1069,떡류 제조업,"떡볶이, 기능성 떡볶이",2025-08-28
농업회사법인콩마실주식회사,,,경상북도 안동시 와룡면 이하리 322-5,장류 제조업,"고추장, 간장, 된장",2025-08-28
농정식품,054-823-3321,054-823-3320,경상북도 안동시 길안면 현하리 165-2번지,기타 과실ㆍ채소 가공 및 저장 처리업,사과즙,2025-08-28
농협양곡(주) 안동라이스센터,054-858-9901,054-858-9903,경상북도 안동시 풍산읍 소산리 184번지,곡물 도정업,양반쌀(정미),2025-08-28
누가얌,,,경상북도 안동시 동부동 197-2 1동 3층 303호,과자류 및 코코아 제품 제조업,캔디류,2025-08-28
뉴그린자동차정비공장,054-857-7777,,경상북도 안동시 수상동 222-3번지,건설 및 채광용 기계장비 제조업,건설기계,2025-08-28
대림정미소,054-858-0598,054-858-6682,경상북도 안동시 남후면 무릉리 312-1번지,곡물 도정업,양곡,2025-08-28
대안냉동상사,054-821-4178,054-821-8509,경상북도 안동시 용상동 1444-2번지,수산동물 냉동품 제조업,"얼음,냉동",2025-08-28
대원정미소,054-859-0611,054-859-0016,경상북도 안동시 일직면 송리리 179-3번지,곡물 도정업,"정미,정맥,압맥",2025-08-28
대창농산,,054-841-0920,경상북도 안동시 북후면 물한리 453번지,떡류 제조업,찹쌀떡,2025-08-28
대한산업,054-859-7871,054-859-7872,경상북도 안동시 수하동 654번지,구조용 금속 판제품 및 공작물 제조업,"건물용철재계단,물홈통,기타 건툭물자재",2025-08-28
대한주물공업(주),054-858-7501,054-858-7504,경상북도 안동시 수상동 197-1번지,주철관 제조업 외 2 종,"배수용주철관,난방용 주철방열기",2025-08-28
대흥스틸산업,054-858-8185,,경상북도 안동시 수상동 578-2 외 5필지,구조용 금속 판제품 및 공작물 제조업 외 2 종,"철구조물, 콘크리트블록",2025-08-28
대흥식품,054-853-6587,054-853-6587,경상북도 안동시 옥야동 345-2번지,전분제품 및 당류 제조업,맥아엿,2025-08-28
도연요,054-852-5280,054-855-7366,경상북도 안동시 이천동 306-1번지,위생용 및 산업용 도자기 제조업,"도기, 자기",2025-08-28
도움소,054-858-4458,054-843-5701,경상북도 안동시 운안동 338-2번지 삼영빌딩 5층,문구용 종이제품 제조업,"바인더, 페이퍼크레프트",2025-08-28
도원종합식품,054-858-9222,054-859-0274,경상북도 안동시 남후면 무릉리 501번지,김치류 제조업 외 1 종,"김치,깍두기",2025-08-28
동건산업,054-823-1276,054-823-1277,경상북도 안동시 송천동 118-1 외 1필지,석회 및 플라스터 제조업,탄산칼슘,2025-08-28
동서선영식품,054-853-8472,54,경상북도 안동시 풍산읍 수리 1353-13번지,김치류 제조업 외 1 종,단무지,2025-08-28
동서식품,054-853-8472,054-853-8473,경상북도 안동시 풍산읍 수리 1353-14번지,김치류 제조업 외 1 종,단무지,2025-08-28
동성개발(주),054-859-2765,054-859-2725,경상북도 안동시 남후면 무릉리 995-2 외 1필지,아스팔트 콘크리트 및 혼합제품 제조업,아스콘,2025-08-28
동성레미콘,054-855-3998,054-859-2725,경상북도 안동시 남후면 무릉리 996번지,레미콘 제조업,레미콘,2025-08-28
동아애드컴,054-856-9060,054-852-2800,경상북도 안동시 풍천면 하회리 1092-4번지,기타 인쇄업 외 1 종,인쇄물,2025-08-28
동아의료보조기보청기,054-858-3334,,"경상북도 안동시 당북동 110-6 주1동 1층, 주2동",의료용 가구 제조업,"의수, 보조기 등",2025-08-28
동아콘크리트,054-858-5750,054-858-5249,경상북도 안동시 수상동 272-2번지,"콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 1 종","벽돌,블럭,호안블럭",2025-08-28
동안동농업협동조합,054-822-2012,,경상북도 안동시 길안면 천지리 455,기타 과실ㆍ채소 가공 및 저장 처리업,"컵과일, 절단채소",2025-08-28
동안동농협가공사업소,054-823-5508,054-823-5509,경상북도 안동시 길안면 천지리 814-113번지,기타 과실ㆍ채소 가공 및 저장 처리업,조각사과,2025-08-28
동원석재,054-841-6073,054-841-6533,경상북도 안동시 서후면 저전리 757번지,건설용 석제품 제조업,건축용 석제품,2025-08-28
동화목재사,054-852-5452,054-852-5452,경상북도 안동시 당북동 118-7번지,일반 제재업,각재,2025-08-28
두레엔지니어링(주),054-857-0013,054-857-0014,경상북도 안동시 수하동 311-1번지 제4동 2층,유선 통신장비 제조업 외 2 종,"방송 및 전광판 응용장치 제품, RF-모듈레이터",2025-08-28
두원테크,070-4256-9180,054-841-7072,경상북도 안동시 수상동 223-6번지 B동,설치용 및 위생용 플라스틱제품 제조업 외 2 종,"상하수수량계보호통, 오수받이 등",2025-08-28
로지시스템(주),031-275-5062,031-275-5061,경상북도 안동시 대석동 212-2 202호,배전반 및 전기 자동제어반 제조업,"자동제어반, 계장(계측)제어반",2025-08-28
리안농업회사법인 주식회사,,,경상북도 안동시 풍산읍 괴정리 481-3,가금류 가공 및 저장 처리업,양념닭갈비 등,2025-08-28
모두드림(주),054-854-8528,054-853-8526,경상북도 안동시 풍천면 하회리 176 외 6필지,두부 및 유사식품 제조업,두부,2025-08-28
미소주방가구,054-821-2441,054-821-2440,경상북도 안동시 안막동 819번지,주방용 및 음식점용 목재가구 제조업,싱끄대 및 가구,2025-08-28
민속주안동소주,054-858-4541,054-858-0760,경상북도 안동시 수상동 280번지,기타 증류주 및 합성주 제조업,소주(민속주안동소주),2025-08-28
백두실업,054-855-2151,,경상북도 안동시 수상동 137-1번지,"근무복, 작업복 및 유사의복 제조업 외 7 종","산불진화용작업복, 수공구",2025-08-28
백조씽크 안동점,054-855-0896,,경상북도 안동시 노하동 23-42,주방용 및 음식점용 목재가구 제조업,"주방가구, 싱크대, 식탁 제조",2025-08-28
보경농산,054-822-3388,054-822-1339,경상북도 안동시 남선면 신석리 463,천연 및 혼합조제 조미료 제조업,고추가루,2025-08-28
보운건설기계,054-854-0797,054-854-0797,경상북도 안동시 수상동 277-5번지,건설 및 채광용 기계장비 제조업,건설기계부품,2025-08-28
보화다원,054-821-3572,054-821-3572,경상북도 안동시 서후면 금계리 807-1번지,차류 가공업,국화차,2025-08-28
복주정미소,054-858-3703,,경상북도 안동시 안막동 830번지,곡물 도정업,쌀,2025-08-28
부성레미콘(주),054-822-0010,054-822-2109,경상북도 안동시 임하면 신덕리 1186-5번지,레미콘 제조업,레미콘,2025-08-28
부성산업(주),054-858-7855,054-858-7858,경상북도 안동시 남선면 이천리 9-1번지,아스팔트 콘크리트 및 혼합제품 제조업,아스콘,2025-08-28
부성정비,054-854-9090,,경상북도 안동시 수상동 241-5,건설 및 채광용 기계장비 제조업,건설기계부품,2025-08-28
북안동농협산약가공공장,054-859-3774,054-859-3775,경상북도 안동시 북후면 옹천리 509-2번지,그 외 기타 식료품 제조업 외 1 종,"음료,분말류",2025-08-28
빌드업주식회사,054-805-8020,054-841-5864,경상북도 안동시 수상동 820-84번지 1층,컴퓨터 제조업 외 2 종,"개인용컴퓨터, 음향기기, 금속제 선반 받침대",2025-08-28
산내들식품,054-854-3224,054-854-3433,경상북도 안동시 북후면 장기리 178-13 외 6필지,기타 식품 첨가물 제조업 외 1 종,"삼계탕 재료(약재) 및 티백, 누룽지",2025-08-28
삼덕제약사,054-822-9668,054-856-1709,경상북도 안동시 남선면 신석리 557-2번지,한의약품 제조업,"숙지, 황",2025-08-28
서안동농협풍산김치공장,054-858-8233,054-858-8231,경상북도 안동시 풍산읍 소산리 874번지 (소산리 874) 874 외 5필지,김치류 제조업 외 1 종,"김치,채소절임식품",2025-08-28
선산식품,054-823-5556,054-823-5557,경상북도 안동시 용상동 535-35번지,가금류 가공 및 저장 처리업,"닭발, 근위가공",2025-08-28
성광건재철물종합상사,054-856-6060,054-855-6068,경상북도 안동시 풍산읍 안교리 135-1번지,기타 건축용 나무제품 제조업,"거푸집용 합판, 바닥데크재",2025-08-28
성심,054-857-8051,054-841-8051,경상북도 안동시 옥동 944-11번지 1층,기타 인쇄업 외 1 종,인쇄물,2025-08-28
성원레미콘(주),054-857-3131,054-852-4365,경상북도 안동시 풍산읍 수곡리 833-13 외 1필지,레미콘 제조업,"레미콘,모르타르",2025-08-28
성원마끼나,054-843-4000,,경상북도 안동시 서후면 금계리 388 번지,농업 및 임업용 기계 제조업,예취기,2025-08-28
성원아스콘(주),054-857-3133,054-852-4365,경상북도 안동시 풍산읍 수곡리 833-14번지,아스팔트 콘크리트 및 혼합제품 제조업,아스콘,2025-08-28
세진종합식품,054-853-0067,054-854-0068,경상북도 안동시 태화동 716-9 번지,수산동물 건조 및 염장품 제조업,간고등어,2025-08-28
수창콘크리트,054-858-5633,54,경상북도 안동시 풍산읍 수리 1073-1번지,비주거용 건물 임대업,"벽돌,호완블럭",2025-08-28
신우에스에프,054-854-6670,,경상북도 안동시 풍산읍 괴정리 354 외 2필지,폴리스티렌 발포 성형제품 제조업 외 1 종,스티로폴,2025-08-28
신재숙식초마당농업회사법인주식회사,,,경상북도 안동시 서후면 금계리 276-4,"식초, 발효 및 화학 조미료 제조업",발효식초 등,2025-08-28
아우리움 주식회사,,,경상북도 안동시 남선면 원림리 299,가금류 가공 및 저장 처리업 외 1 종,"닭가공품, 곡물가공품",2025-08-28
아이엠커뮤니케이션,054-856-8060,054-856-8062,경상북도 안동시 정상동 산 77-13번지,전시용 모형 제조업 외 1 종,조형물(미니어처) 및 콘텐츠모형제작,2025-08-28
아트보다(ART VODA),,,경상북도 안동시 동부동 197-2 1동 3층 3001호,"치약, 비누 및 기타 세제 제조업",비누 등,2025-08-28
안동농협 농산물유통센터,054-859-7246,054-859-7249,경상북도 안동시 남선면 원림리 593번지 (593번지 외 7필지),곡물 도정업,"백미,현미",2025-08-28
안동농협 한약재유통센터,054-859-7893,,경상북도 안동시 풍산읍 노리 802-1,한의약품 제조업,"한약재가공품, 농산물가공품",2025-08-28
안동농협더햇식품사업소,054-823-0008,054-823-0660,경상북도 안동시 송천동 832-1번지,두부 및 유사식품 제조업,두부,2025-08-28
안동명가 영농조합법인,054-842-5000,,경상북도 안동시 일직면 원호리 433-2,김치류 제조업,김치,2025-08-28
안동봉화축산업협동조합,054-858-8530,054-858-8539,경상북도 안동시 서후면 대두서리 1068-8,그 외 기타 식료품 제조업 외 2 종,"꿀, 화분떡",2025-08-28
안동봉화축협 안동축산물공판장,054-820-9292,054-843-3402,경상북도 안동시 서후면 대두서리 1070-16,육류 도축업(가금류 제외) 외 1 종,"지육, 부분육 포장 제품, 내장 등 부산물",2025-08-28
안동석재산업(주),054-855-0741,054-855-0743,경상북도 안동시 녹전면 죽송리 46-1번지 외 2필지,건설용 석제품 제조업,"보도경계석,건축대리석판재",2025-08-28
안동소주일품(주),054-854-6080,054-854-6083,경상북도 안동시 풍산읍 괴정리 926-5 외 1필지,소주 제조업 외 1 종,"증류식소주, 탁주 및 약주",2025-08-28
안동옛맛된장주식회사,054-822-0035,,경상북도 안동시 임하면 금소리 529,장류 제조업,각종장류,2025-08-28
안동종가문화원(주)농업회사법인,054-853-0045,054-853-0355,경상북도 안동시 일직면 운산리 182번지,차류 가공업,생강액상차,2025-08-28
안동종가문화원(주)농업회사법인,,054-853-0355,경상북도 안동시 서후면 금계리 400-4,기타 과실ㆍ채소 가공 및 저장 처리업,"생강청, 생강소금, 생강티백 등",2025-08-28
안동종합정비(주),054-821-5113,,경상북도 안동시 임하면 신덕리 1298-180 번지,건설 및 채광용 기계장비 제조업,건설기계부품,2025-08-28
안동종합중기정비공장,054-858-5555,054-858-1301,경상북도 안동시 수상동 820-69번지,건설 및 채광용 기계장비 제조업,정비품목,2025-08-28
안동탁주합동제조제1공장,054-853-7364,054-853-7364,경상북도 안동시 광석동 20-1번지,탁주 및 약주 제조업,탁주,2025-08-28
안동톱밥산업,054-858-8877,054-858-7367,경상북도 안동시 일직면 국곡리 39 외 2필지,표면 가공 목재 및 특정 목적용 제재목 제조업,버섯용 톱밥,2025-08-28
