순번,시도,시군구,회사명,소재지도로명주소,소재지지번주소,우편번호,사업자등록번호,전화번호,데이터기준일자
41,경상북도,고령군,(주)미광배연창,경상북도 고령군 성산면 안어실길 56 ,경상북도 고령군 성산면 어곡리 327 ,40118,362-86-01013,054-906-9951,2026-01-02
42,경상북도,고령군,(주)미젠드,경상북도 고령군 개진면 양전길 130-32,경상북도 고령군 개진면 양전리 595,40145,127-86-23127,054-853-0720,2026-01-02
43,경상북도,고령군,(주)배명,경상북도 고령군 쌍림면 쌍림공단길 50,경상북도 고령군 쌍림면 고곡리 199-39,40159,503-81-57001,053-593-0283,2026-01-02
44,경상북도,고령군,(주)보광석재,경상북도 고령군 다산면 석재단지길 38,경상북도 고령군 다산면 나정리 714-7,40112,503-81-98322,054-955-8888,2026-01-02
45,경상북도,고령군,(주)부영산업,경상북도 고령군 쌍림면 쌍림공단길 31,경상북도 고령군 쌍림면 고곡리 199-17,40159,503-81-91090,054-956-0590,2026-01-02
46,경상북도,고령군,(주)비엠아이,경상북도 고령군 성산면 성산로 748,경상북도 고령군 성산면 기족리 411-5,40119,503-81-54061,054-956-3693,2026-01-02
47,경상북도,고령군,(주)삼진,경상북도 고령군 대가야읍 회천로 257,경상북도 고령군 대가야읍 장기리 557,40134,503-81-19986,054-955-1355,2026-01-02
48,경상북도,고령군,(주)상일섬유,경상북도 고령군 쌍림면 쌍림공단길 96,경상북도 고령군 쌍림면 고곡리 199-43,40159,514-81-45145,053-616-4097,2026-01-02
49,경상북도,고령군,(주)새해성,경상북도 고령군 대가야읍 덕경길 31-2,경상북도 고령군 대가야읍 지산리 905-1,40139,503-81-35201,054-956-1280,2026-01-02
50,경상북도,고령군,(주)석림산업,경상북도 고령군 개진면 개진산단길 40-3 ,경상북도 고령군 개진면 양전리 313,40145,503-81-36699,054-956-6177,2026-01-02
51,경상북도,고령군,경북콘크리트㈜,경상북도 고령군 다산면 다산로 339,경상북도 고령군 다산면 월성리 1187,40111,209-81-64987,054-956-4500,2026-01-02
52,경상북도,고령군,(주)성지,경상북도 고령군 쌍림면 방아실길 67,경상북도 고령군 쌍림면 안림리 739,40160,503-86-11859,054-956-9488,2026-01-02
53,경상북도,고령군,(주)성창에너지,경상북도 고령군 다산면 다산산단로 148-12,경상북도 고령군 다산면 송곡리 1057-5,40113,196-87-03309,054-956-2459,2026-01-02
54,경상북도,고령군,(주)성한,경상북도 고령군 다산면 상곡1길 21-26,경상북도 고령군 다산면 상곡리 159-3,40108,503-81-50987,054-955-4139,2026-01-02
55,경상북도,고령군,(주)세영산업,경상북도 고령군 개진면 반운공단길 43,경상북도 고령군 개진면 반운리 111-2,40145,503-86-05420,054-955-4346,2026-01-02
56,경상북도,고령군,(주)스타폴,경상북도 고령군 대가야읍 큰골길 49,경상북도 고령군 대가야읍 지산리 959-41,40139,503-86-09810,053-943-8419,2026-01-02
57,경상북도,고령군,(주)신영금속,경상북도 고령군 대가야읍 장기공단1길 38-23,경상북도 고령군 대가야읍 장기리 284-3,40142,503-81-85851,054-954-1871,2026-01-02
58,경상북도,고령군,(주)신우텍,경상북도 고령군 개진면 치산길 43,경상북도 고령군 개진면 인안리 237,40150,503-81-66835,054-954-9201,2026-01-02
59,경상북도,고령군,(주)신화원축산,경상북도 고령군 다산면 성암로 527,경상북도 고령군 다산면 송곡리 839,40113,480-81-00447,070-4179-3849,2026-01-02
60,경상북도,고령군,(주)쌍림,경상북도 고령군 성산면 안어실길 38-16,경상북도 고령군 성산면 어곡리 303-1,40118,503-86-07447,053-954-7227,2026-01-02
61,경상북도,고령군,(주)아이원하이텍,경상북도 고령군 다산면 평리6길 17,경상북도 고령군 다산면 곽촌리 131-10,40104,514-81-84416,054-954-9994,2026-01-02
62,경상북도,고령군,(주)에스브이에프,경상북도 고령군 성산면 개경포로 2120,경상북도 고령군 성산면 득성리 237-10,40117,503-86-01079,054-954-1153,2026-01-02
63,경상북도,고령군,(주)에스앤지,경상북도 고령군 성산면 개경포로 1704-9,경상북도 고령군 성산면 오곡리 432,40117,891-87-02481,054-954-1210,2026-01-02
64,경상북도,고령군,(주)에이치씨보광아스콘,경상북도 고령군 성산면 성암로 86-43,경상북도 고령군 성산면 박곡리 409-17,40115,503-81-53757,053-210-5031,2026-01-02
65,경상북도,고령군,(주)엘피테크,경상북도 고령군 성산면 성산로 618  ,경상북도 고령군 성산면 기산리 435-3,40119,772-88-00229,054-954-6077,2026-01-02
66,경상북도,고령군,(주)영광씨엠씨,경상북도 고령군 다산면 나정길 18,경상북도 고령군 다산면 나정리 368-2,40112,503-81-99369,054-955-7239,2026-01-02
67,경상북도,고령군,(주)우성산업,경상북도 고령군 성산면 상용로 222-38,경상북도 고령군 성산면 대흥리 18,40114,874-87-00514,054-973-5775,2026-01-02
68,경상북도,고령군,(주)우일팩,경상북도 고령군 개진면 치산길 7,경상북도 고령군 개진면 인안리 402-2,40150,615-81-76733,054-956-7572,2026-01-02
69,경상북도,고령군,(주)원방산업,경상북도 고령군 쌍림면 쌍림공단길 93,경상북도 고령군 쌍림면 고곡리 181-12,40159,503-81-95169,054-931-2097,2026-01-02
70,경상북도,고령군,(주)원진용사,경상북도 고령군 성산면 운성로 750-13  ,경상북도 고령군 성산면 고탄리 607-1 ,40118,505-81-19298,054-956-3441,2026-01-02
71,경상북도,고령군,(주)유래섬유,경상북도 고령군 쌍림면 쌍림공단길 66,경상북도 고령군 쌍림면 고곡리 199-40,40159,503-81-97565,054-956-6130,2026-01-02
72,경상북도,고령군,(주)유성울텍,경상북도 고령군 개진면 개진산단길 56,경상북도 고령군 개진면 신안리 7,40145,504-81-46792,054-956-5777,2026-01-02
73,경상북도,고령군,(주)유알오테크,경상북도 고령군 다산면 다산로 181-24,경상북도 고령군 다산면 월성리 1286-1,40111,514-81-70149,054-955-4627,2026-01-02
74,경상북도,고령군,(주)유일랙시스,경상북도 고령군 개진면 개진산단길 61,경상북도 고령군 개진면 신안리 22,40145,503-81-57694,054-956-4404,2026-01-02
75,경상북도,고령군,(주)유진산업,경상북도 고령군 쌍림면 대가야로 649-1,경상북도 고령군 쌍림면 귀원리 80,40163,503-81-93803,054-955-1011,2026-01-02
76,경상북도,고령군,(주)윤성알엠씨,경상북도 고령군 성산면 성산로 572-132,경상북도 고령군 성산면 기산리 316,40119,503-85-20050,053-581-9058,2026-01-02
77,경상북도,고령군,(주)일신정공,경상북도 고령군 성산면 성산로 492-19,경상북도 고령군 성산면 사부리 298,40120,503-81-93856,054-956-1271,2026-01-02
78,경상북도,고령군,(주)자이디,경상북도 고령군 다산면 성암로 537-13,경상북도 고령군 다산면 송곡리 814,40113,510-81-33915,054-954-7080,2026-01-02
79,경상북도,고령군,(주)제이씨,경상북도 고령군 대가야읍 장기공단1길 112,경상북도 고령군 대가야읍 장기리 281,40142,503-85-19252,054-956-4508,2026-01-02
80,경상북도,고령군,(주)제일코어텍,경상북도 고령군 다산면 성암로 538-35,경상북도 고령군 다산면 송곡리 2072,40113,371-88-00007,,2026-01-02
81,경상북도,고령군,(주)제일테크,경상북도 고령군 성산면 신기길 69-7,경상북도 고령군 성산면 용소리 402-3,40114,158-87-02929,,2026-01-02
82,경상북도,고령군,(주)주왕이엔지,경상북도 고령군 다산면 성암로 661-47,경상북도 고령군 다산면 송곡리 497,40113,398-88-02238,054-955-4014,2026-01-02
83,경상북도,고령군,(주)지산타포린,경상북도 고령군 개진면 회천로 309,경상북도 고령군 개진면 반운리 742 ,40144,503-81-87465,054-956-9501,2026-01-02
84,경상북도,고령군,(주)진푸드,경상북도 고령군 개진면 개진산단길 73,경상북도 고령군 개진면 신안리 21,40145,503-81-93730,054-956-4223,2026-01-02
85,경상북도,고령군,(주)참미푸드,경상북도 고령군 성산면 성산로 772-6,경상북도 고령군 성산면 기족리 459,40119,503-81-99302,054-954-1105,2026-01-02
86,경상북도,고령군,(주)청아바이오,경상북도 고령군 개진면 창동길 12,경상북도 고령군 개진면 부리 182-1,40150,278-81-02560,054-954-8856,2026-01-02
87,경상북도,고령군,(주)최고,경상북도 고령군 성산면 개경포로 2046,경상북도 고령군 성산면 삼대리 232-2,40117,742-86-00942,,2026-01-02
88,경상북도,고령군,(주)케이에스기술정보,경상북도 고령군 개진면 양전길 12,경상북도 고령군 개진면 반운리 310,40145,412-86-01512,054-473-6611,2026-01-02
89,경상북도,고령군,(주)케이지티,경상북도 고령군 성산면 성산로 772-8,경상북도 고령군 성산면 기족리 461,40119,513-81-63984,054-977-2470,2026-01-02
90,경상북도,고령군,(주)케이피엔,경상북도 고령군 쌍림면 칠등길 15 ,경상북도 고령군 쌍림면 고곡리 159 ,40159,503-86-08301,054-956-9000,2026-01-02
91,경상북도,고령군,(주)태강테크놀리지,경상북도 고령군 성산면 운성로 675-42,경상북도 고령군 성산면 고탄리 529,40118,695-88-02328,054-986-4061,2026-01-02
92,경상북도,고령군,(주)태산파우텍,경상북도 고령군 다산면 다산산단로 54-42  ,경상북도 고령군 다산면 송곡리 1036-5 ,40113,502-81-68373,054-954-0156,2026-01-02
93,경상북도,고령군,(주)평진산업,경상북도 고령군 성산면 도룡길 89 ,경상북도 고령군 성산면 사부리 466 ,40120,609-86-08934,,2026-01-02
94,경상북도,고령군,(주)포리원,경상북도 고령군 개진면 구곡길 88-31,경상북도 고령군 개진면 구곡리 728,40148,554-81-00826,054-954-6051,2026-01-02
95,경상북도,고령군,(주)하나바이오,경상북도 고령군 대가야읍 회천로 186-8,경상북도 고령군 대가야읍 장기리 425,40134,774-86-00177,054-956-4902,2026-01-02
96,경상북도,고령군,(주)하림산업,경상북도 고령군 성산면 성산로 990-8,경상북도 고령군 성산면 득성리 154,40116,501-81-30419,054-956-7561,2026-01-02
97,경상북도,고령군,(주)하이탑,경상북도 고령군 개진면 양전길 59,경상북도 고령군 개진면 반운리 147,40145,503-81-87086,054-956-3342,2026-01-02
98,경상북도,고령군,(주)한국케노피,경상북도 고령군 다산면 좌학길 69-14,경상북도 고령군 다산면 상곡리 520,40109,237-81-00839,053-616-5335,2026-01-02
99,경상북도,고령군,(주)한독철강,경상북도 고령군 성산면 성산로 456,경상북도 고령군 성산면 사부리 332-5,40120,503-81-87747,054-956-2677,2026-01-02
100,경상북도,고령군,(주)한마음아스콘,경상북도 고령군 쌍림면 방아실길 73,경상북도 고령군 쌍림면 안림리 740-1,40160,177-88-00458,054-956-6111,2026-01-02
101,경상북도,고령군,(주)한일타포린,경상북도 고령군 개진면 양전공단길 22,경상북도 고령군 개진면 양전리 678,"	40145",503-81-48079,054-956-3344,2026-01-02
102,경상북도,고령군,(주)합동메탈,경상북도 고령군 성산면 개경포로 2132-4,경상북도 고령군 성산면 득성리 143-1,40116,503-81-86239,054-956-1595,2026-01-02
103,경상북도,고령군,(주)해단지,경상북도 고령군 쌍림면 명덕길 40,경상북도 고령군 쌍림면 하거리 117,40157,503-86-12289,054-955-3633,2026-01-02
104,경상북도,고령군,(주)해피랜드,경상북도 고령군 다산면 좌학길 69-14,경상북도 고령군 다산면 상곡리 520,40106,508-81-39876,054-954-0041,2026-01-02
105,경상북도,고령군,(주)현대목재산업,경상북도 고령군 성산면 박곡1길 54-45,경상북도 고령군 성산면 박곡리 187,40115,503-81-82058,054-954-5401,2026-01-02
106,경상북도,고령군,(주)호명,경상북도 고령군 개진면 개진산단길 40-33,경상북도 고령군 개진면 양전리 306 ,40145,503-81-55018,054-955-9844,2026-01-02
107,경상북도,고령군,(주)호성기업,경상북도 고령군 개진면 옥섬길 6,경상북도 고령군 개진면 옥산리 245,40149,503-81-96116,054-956-0054,2026-01-02
108,경상북도,고령군,(주)홈테크,경상북도 고령군 개진면 새리길 18-4,경상북도 고령군 개진면 직리 412,40146,513-81-63193,054-971-8880,2026-01-02
109,경상북도,고령군,(주)효성코어메탈,경상북도 고령군 다산면 다산로 1442,경상북도 고령군 다산면 월성리 951 ,40111,503-81-91483,,2026-01-02
110,경상북도,고령군,(주)흥신,경상북도 고령군 성산면 개경포로 2118,경상북도 고령군 성산면 득성리 237-11,40117,503-86-10729,053-965-0103,2026-01-02
111,경상북도,고령군,DNR나노바이오,경상북도 고령군 쌍림면 쌍림공단길 78,경상북도 고령군 쌍림면 고곡리 215-4,40159,242-14-02477,,2026-01-02
112,경상북도,고령군,JS테크,경상북도 고령군 개진면 개경포로 1353-26,경상북도 고령군 개진면 부리 325,40150,513-08-80511,054-955-1688,2026-01-02
113,경상북도,고령군,NC테크,경상북도 고령군 개진면 개경포로 1112-18,경상북도 고령군 개진면 옥산리 192-4,40149,504-10-24653,054-954-6900,2026-01-02
114,경상북도,고령군,가나인터피아,경상북도 고령군 쌍림면 쌍림공단길 49  ,경상북도 고령군 쌍림면 고곡리 199-37 ,40159,503-16-43682,054-956-1190,2026-01-02
115,경상북도,고령군,가야리엔텍,경상북도 고령군 개진면 회천로 453,경상북도 고령군 개진면 반운리 387,40145,226-01-73908,054-946-1346,2026-01-02
116,경상북도,고령군,가야산업,경상북도 고령군 성산면 성산로 816,경상북도 고령군 성산면 기족리 589,40119,503-24-39164,054-954-2234,2026-01-02
117,경상북도,고령군,가야석재사,경상북도 고령군 다산면 석재단지길 30 ,경상북도 고령군 다산면 나정리 714-3 ,40112,503-02-87058,054-955-7863,2026-01-02
118,경상북도,고령군,갑오텍스,경상북도 고령군 성산면 운성로 750-31,경상북도 고령군 성산면 고탄리 600-1,40118,514-31-61418,054-956-7277,2026-01-02
119,경상북도,고령군,강산R&C,경상북도 고령군 개진면 개진산단길 508-3,경상북도 고령군 개진면 개포리 525-1,40145,503-24-41447,054-955-5602,2026-01-02
120,경상북도,고령군,대아테크,경상북도 고령군 개진면 개경포로 1477,경상북도 고령군 개진면 생리 163,40150,514-21-92305,053-616-5400,2026-01-02
121,경상북도,고령군,개진영농조합법인,경상북도 고령군 개진면 개경포로 860,경상북도 고령군 개진면 구곡리 352,40148,503-81-25682,054-954-8134,2026-01-02
122,경상북도,고령군,개진정미소,경상북도 고령군 개진면 양전길 126,경상북도 고령군 개진면 양전리 1064,40145,412-28-77593,,2026-01-02
123,경상북도,고령군,거류산업,경상북도 고령군 개진면 개경포로 255-6,경상북도 고령군 개진면 직리 513-1 ,40146,503-24-75802,054-954-1773,2026-01-02
124,경상북도,고령군,거송산업사,경상북도 고령군 성산면 성산로 968-19,경상북도 고령군 성산면 득성리 137-14,40116,514-17-72355,053-633-0823,2026-01-02
125,경상북도,고령군,건양기업,경상북도 고령군 다산면 성암로 661-37,경상북도 고령군 다산면 송곡리 508,40113,237-20-00653,0507-1307-6386,2026-01-02
126,경상북도,고령군,건자재몰,경상북도 고령군 성산면 운성로 763,경상북도 고령군 성산면 고탄리 164,40118,727-06-01386,1588-9264,2026-01-02
127,경상북도,고령군,건풍산업,경상북도 고령군 개진면 인안길 25,경상북도 고령군 개진면 생리 121-2,40150,503-11-72159,054-954-2960,2026-01-02
128,경상북도,고령군,경남보드(주),경상북도 고령군 성산면 개경포로 2104,경상북도 고령군 성산면 삼대리 166-1,40117,503-81-25135,054-954-5100,2026-01-02
129,경상북도,고령군,경동케미칼,경상북도 고령군 다산면 석재단지길 33,경상북도 고령군 다산면 나정리 714-12,40112,503-18-87893,054-955-3685,2026-01-02
130,경상북도,고령군,경동플랜트,경상북도 고령군 다산면 성암로 779,경상북도 고령군 다산면 송곡리 110-7,40113,739-05-01719,054-956-9235,2026-01-02
131,경상북도,고령군,경득산업,경상북도 고령군 개진면 개경포로 542,경상북도 고령군 개진면 개포리 488,40147,503-08-88442,054-956-1204,2026-01-02
132,경상북도,고령군,경안프라스틱,경상북도 고령군 다산면 벌지로 248-3,경상북도 고령군 다산면 벌지리 418,40112,514-04-84996,053-639-0110,2026-01-02
133,경상북도,고령군,경현섬유,경상북도 고령군 쌍림면 쌍림공단길 33,경상북도 고령군 쌍림면 고곡리 199-34,40159,503-35-63224,054-955-7037,2026-01-02
134,경상북도,고령군,고려산업,경상북도 고령군 다산면 상곡3길 3,경상북도 고령군 다산면 상곡리 151-2,40108,503-34-63756,054-955-9025,2026-01-02
135,경상북도,고령군,고려정밀공업,경상북도 고령군 개진면 양전1길 43,경상북도 고령군 개진면 양전리 398-3,40145,503-18-53302,054-954-0997,2026-01-02
136,경상북도,고령군,고령기와,경상북도 고령군 개진면 개경포로 888-15,경상북도 고령군 개진면 구곡리 400-1,40148,503-34-90078,054-954-8008,2026-01-02
137,경상북도,고령군,고령요(특산단지),경상북도 고령군 운수면 운용로 501,경상북도 고령군 운수면 신간리 478,40123,503-35-63898,054-955-9449,2026-01-02
138,경상북도,고령군,공진식품,경상북도 고령군 개진면 개진산단길 62,경상북도 고령군 개진면 신안리 8,40145,503-14-40212,054-956-2111,2026-01-02
139,경상북도,고령군,광명그린도아,경상북도 고령군 성산면 신기길 107-20 ,경상북도 고령군 성산면 용소리 484-1 ,40114,503-16-35483,054-955-2458,2026-01-02
140,경상북도,고령군,광명산업,경상북도 고령군 성산면 신기길 26,경상북도 고령군 성산면 용소리 336,40114,503-06-21883,054-955-9551,2026-01-02
141,경상북도,고령군,광명산업,경상북도 고령군 개진면 개경포로 508-18,경상북도 고령군 개진면 개포리 529,40147,503-08-99731,054-954-2893,2026-01-02
142,경상북도,고령군,국제건공,경상북도 고령군 성산면 성산로 614,경상북도 고령군 성산면 기산리 438,40119,503-48-71888,054-956-4315,2026-01-02
143,경상북도,고령군,국제산업,경상북도 고령군 개진면 양전길 71,경상북도 고령군 개진면 반운리 102 ,40145,504-05-45445,054-956-4700,2026-01-02
144,경상북도,고령군,그린이피에스(EPS),경상북도 고령군 우곡면 우곡로 376,경상북도 고령군 우곡면 연리 218-1,40155,503-36-96116,054-955-7755,2026-01-02
145,경상북도,고령군,근호상사,경상북도 고령군 성산면 운성로 750-27,경상북도 고령군 성산면 고탄리 605,40118,514-04-59385,,2026-01-02
146,경상북도,고령군,금강산업,경상북도 고령군 성산면 성산로 740,경상북도 고령군 성산면 기족리 413,40119,515-08-49082,054-954-5942,2026-01-02
147,경상북도,고령군,금강테크,경상북도 고령군 개진면 회천로 351,경상북도 고령군 개진면 반운리 746-3,40144,404-09-34651,054-956-7387,2026-01-02
148,경상북도,고령군,금문철강,경상북도 고령군 성산면 신기길 69-6,경상북도 고령군 성산면 용소리 418-4,40114,775-57-00530,054-954-0125,2026-01-02
149,경상북도,고령군,금산중기자동차정비,경상북도 고령군 성산면 성산로 492-13,경상북도 고령군 성산면 사부리 296,40120,701-27-00828,053-633-7394,2026-01-02
150,경상북도,고령군,금성포장공업(주),경상북도 고령군 성산면 동고령산단1길 27,경상북도 고령군 성산면 박곡리 781,40118,503-81-06424,054-954-4199,2026-01-02
151,경상북도,고령군,금이플라스틱,경상북도 고령군 개진면 양전길 67 ,경상북도 고령군 개진면 반운리 100 ,40145,640-26-00716,,2026-01-02
152,경상북도,고령군,금창유리,경상북도 고령군 성산면 신기길 47,경상북도 고령군 성산면 용소리 385,40114,538-60-00305,054-955-9369,2026-01-02
153,경상북도,고령군,금화산업사,경상북도 고령군 성산면 성산로 492-19,경상북도 고령군 성산면 사부리 298,40120,503-19-94159,054-955-2738,2026-01-02
154,경상북도,고령군,금흥산업사,경상북도 고령군 성산면 기산길 76,경상북도 고령군 성산면 기산리 619,40119,503-34-61082,054-954-4892,2026-01-02
155,경상북도,고령군,기운산업,경상북도 고령군 개진면 개경포로 1012,경상북도 고령군 개진면 옥산리 559,40149,504-35-61592,054-954-0680,2026-01-02
156,경상북도,고령군,기창산업,경상북도 고령군 쌍림면 용당길 38,경상북도 고령군 쌍림면 합가리 610,40165,503-35-63603,054-955-8018,2026-01-02
157,경상북도,고령군,기창테크,경상북도 고령군 쌍림면 용당길 40,경상북도 고령군 쌍림면 합가리 610-1,40165,503-17-72582,054-955-8040,2026-01-02
158,경상북도,고령군,나진섬유,경상북도 고령군 성산면 삼대길 35-7,경상북도 고령군 성산면 삼대리 427-4,40117,503-04-35627,053-584-0607,2026-01-02
159,경상북도,고령군,남경산업사,경상북도 고령군 개진면 회천로 339,경상북도 고령군 개진면 반운리 746-4,40144,503-04-26958,054-956-1277,2026-01-02
160,경상북도,고령군,남경특수목재,경상북도 고령군 대가야읍 외옥산길 31,경상북도 고령군 대가야읍 본관리 75,40133,503-19-70308,054-956-7828,2026-01-02
161,경상북도,고령군,남양견직(주),경상북도 고령군 쌍림면 쌍림공단길 21,경상북도 고령군 쌍림면 고곡리 199-15,40159,503-81-07592,054-955-1618,2026-01-02
162,경상북도,고령군,남영화학공업사,경상북도 고령군 개진면 개경포로 311-18,경상북도 고령군 개진면 직리 201,40146,503-20-51200,054-954-0652,2026-01-02
