연번,업체명,업종구분,산업분류코드,소재지주소,전화번호,고용인원수
43,농업회사법인 미강,제조업,C10309,경북 청도군 각남면 칠성리 899번지,054-373-7744,3
44,대성산업,제조업,C25929,경북 청도군 풍각면 흑석리 283-1번지,054-373-7751,
45,도주 영농조합법인,제조업,C10309,경북 청도군 화양읍 신봉리 46번지,054-373-9177,3
46,하이제트이엔지,제조업,C3411,경북 청도군 청도읍 원정리 576-1번지,070-4875-0006,3
47,자연담다,제조업,C10799,경북 청도군 풍각면 봉기리 1128번지 2층,,
48,농업회사법인시그널케어,제조업,C10801,경북 청도군 화양읍 합천리 133번지,,8
49,재온,제조업,C20202,경북 청도군 풍각면 봉기리 1129번지,,
50,청도농원,제조업,C10309,경북 청도군 매전면 금천리 1154번지,054-373-1847,
51,정글인터내셔널,제조업,C10791,경북 청도군 청도읍 송읍리 292번지,070-4100-0997,
52,호성케미텍,제조업,C20493,경북 청도군 청도읍 운산리 761-1번지,054-373-3546,6
53,이로움,제조업,C10743,경북 청도군 화양읍 교촌리 130번지,054-373-4863,
54,농업회사법인  머쉬앤파머스,제조업,C10309,경북 청도군 금천면 소천리 550번지 1층,,10
55,농업회사법인서진,제조업,C10309,경북 청도군 이서면 각계리 48번지,054-373-3158,
56,스마트원코리아,제조업,C10792,경북 청도군 이서면 대곡리 1306-1번지,,3
57,농업회사법인에스아이,제조업,C10791,경북 청도군 청도읍 고수리 56-6번지,,
58,동산영농조합,제조업,C10309,경북 청도군 매전면 구촌리 209번지,054-373-9876,3
59,부림정공,제조업,C27219,경북 청도군 금천면 오봉리 123번지,055-256-4810,
60,장원산업,제조업,C22299,경북 청도군 풍각면 흑석리 1280번지,054-371-1918,
61,씨커스 커피,제조업,C10791,경북 청도군 청도읍 고수리 56-6번지 2층,,
62,에코프렌즈,제조업,C20422,경북 청도군 풍각면 봉기리 1128번지 가동,070-4249-1550,
63,지우씽크,제조업,C3221,경북 청도군 화양읍 범곡리 500번지,054-371-5568,
64,동성물산,제조업,C20499,경북 청도군 화양읍 소라리 378번지,054-372-6781,
65,방영비닐,제조업,C22231,경북 청도군 화양읍 유등리 610-2번지,054-372-3123,
66,백연지 녹색마을 영농조합법인,제조업,C10792,경북 청도군 이서면 수야리 492-1번지,070-4156-4916,
67,대구불로탁주,제조업,C11111,경북 청도군 풍각면 봉기리 1115번지,053-983-6601,24
68,엔씨,제조업,C10799,경북 청도군 청도읍 덕암리 838번지,054-371-1995,
69,청도반시사랑 영농조합법인,제조업,C10309,경북 청도군 화양읍 삼신리 1135번지,054-373-3332,
70,바이오원,제조업,C10743,경북 청도군 금천면 갈지리 799번지 803번지 804번지,054-371-1177,
71,손가네식품,제조업,C10711,경북 청도군 풍각면 송서리 493-5번지,,
72,농업회사법인 수,제조업,C10309,경북 청도군 화양읍 서상리 493-1번지 1층,,
73,산나래,제조업,C10792,경북 청도군 이서면 학산리 633-2번지,054-371-1125,
74,동영종합상사,제조업,C33910,경북 청도군 청도읍 고수리 691-5번지,,
75,하늘감마을농업회사법인,제조업,C10309,경북 청도군 풍각면 봉기리 1340-30번지,054-373-9222,
76,좋은예감영농조합법인,제조업,C10309,경북 청도군 금천면 방지리 990번지,,
77,제이엠지,제조업,C13999,경북 청도군 풍각면 봉기리 1129번지,054-371-8899,
78,농업회사법인  행복한 감,제조업,C13409,경북 청도군 매전면 관하리 1226-1번지,054-372-1228,
79,삼성텍스타일,제조업,C15211,경북 청도군 각남면 화리 494번지,,
80,하늘담은 영농조합법인,제조업,C10402,경북 청도군 금천면 신지리 533-4번지,054-372-9383,3
81,농업회사법인 팜텍,제조업,C29210,경북 청도군 청도읍 송읍리 556-3번지,054-373-9966,4
82,청강,제조업,C26310,경북 청도군 청도읍 원리 652번지,,
83,감천지,제조업,C10712,경북 청도군 이서면 팔조리 479번지,,12
84,아라원,제조업,C10743,경북 청도군 이서면 고철리 513번지,053-427-4233,
85,대풍산업,제조업,C29133,경북 청도군 청도읍 월곡리 300번지,054-373-4360,
86,이건프라스틱,제조업,C20203,경북 청도군 풍각면 봉기리 1118번지,054-372-2468,6
87,청도반시가공유통조합농업회사법인유한회사,제조업,C10309,경북 청도군 화양읍 신봉리 46번지,,
88,농업회사법인자연의사람,제조업,C10309,경북 청도군 화양읍 서상리 720-9번지,054-371-6067,
89,청도볕뉘농원,제조업,C10309,경북 청도군 이서면 서원리 355-2번지,,
90,농업회사법인합자회사알땀농원,제조업,C10309,경북 청도군 청도읍 원정리 584번지,,
91,풍각두부공장,제조업,C10794,경북 청도군 풍각면 송서리 571-2번지,,
92,영화산업사,제조업,C10611,경북 청도군 각남면 칠성리 207번지,054-373-5225,
93,농업발전소,제조업,C10309,경북 청도군 청도읍 원정리 777번지,054-373-2558,
94,국왕푸드,제조업,C10309,경북 청도군 청도읍 송읍리 292-2번지,,3
95,반트에이치앤에프,제조업,C10759,경북 청도군 풍각면 봉기리 1105번지,,
96,금강기술,제조업,C29250,경북 청도군 이서면 서원리 216-2번지,053-814-0000,
97,농업회사법인창성,제조업,C10309,경북 청도군 청도읍 고수리 941번지 호원뷰 A동 501호,,
98,온정바이오기술,제조업,C27199,경북 청도군 화양읍 유등리 610-17번지,,
99,삼성연사,제조업,C13104,경북 청도군 풍각면 봉기리 1101번지,,3
100,삼광섬유,제조업,C13104,경북 청도군 풍각면 봉기리 1101번지,054-373-5800,
101,일화산업,제조업,C25121,경북 청도군 청도읍 월곡리 300-3번지,,
102,현경시스템,제조업,C22223,경북 청도군 청도읍 내호리 276-92번지,,17
103,엠케이푸드,제조업,C10799,경북 청도군 이서면 흥선리 895-19번지,054-372-2480,
104,코렌지,제조업,C29250,경북 청도군 이서면 서원리 216-2번지,,
105,감익는마을농업회사법인,제조업,C10309,경북 청도군 화양읍 유등리 1932번지,054-371-3300,
106,신원미트,제조업,C10129,경북 청도군 청도읍 내리 507-1번지,,5
107,신원식품,제조업,C10129,경북 청도군 청도읍 내리 507-1번지,,
108,동우프레시 농업회사법인,제조업,C10309,경북 청도군 청도읍 내리 691번지,,
109,나지나,제조업,C13402,경북 청도군 각남면 구곡리 66번지,,
110,청광산업,제조업,C28520,경북 청도군 청도읍 월곡리 300번지,,
111,위드텍,제조업,C30399,경북 청도군 화양읍 합천리 133번지,,
112,몰트앤파머스,제조업,C10799,경북 청도군 화양읍 서상리 401번지,,3
