업체명,업종구분,소재지,전화번호,팩스번호
엠제이푸드 영농조합법인,식품제조가공업,경상북도 칠곡군 지천면 금송로 329-18(2동),054-973-9621,
(주)남풍,식품제조가공업,경상북도 경주시 천북면 서평길 5,0505-300-0626,
이노푸드,식품제조가공업,경상북도 구미시 장천면 강동로 225-2(1층),0506-504-0078,
(주)진현식품,식품제조가공업,경상북도 영천시 북안면 못안길 2-54,0054-0331-3000,
동방제유(주),식품제조가공업,"경상북도 영천시 대전길 93(대전동, 대전길 98)",0054-0331-6353,
농업회사법인(주) 모아,식품제조가공업,경상북도 영천시 도동구역길 113(외12필지동 도동),0054-0331-8030,
종동한과,식품제조가공업,경상북도 영천시 금호읍 종동길 32-5,0054-0332-4282,
녹전식품,식품제조가공업,경상북도 영천시 임고면 운주로 32-8,0054-0333-5100,
영천합동두부,식품제조가공업,경상북도 영천시 완산로 60-18(완산동),0054-0334-2206,
주식회사생초록농원,식품제조가공업,경상북도 영천시 청통면 사일로 113-31,0054-0334-7171,
(주)청아냉동식품,식품제조가공업,경상북도 영천시 도남공단길 94-11(봉동),0054-0335-6434,
하명영농조합하림식품개발원,식품제조가공업,경상북도 영천시 명산길 97-12(녹전동),0054-0335-7887,
영천양잠농업협동조합,식품제조가공업,경상북도 영천시 고경면 호국로 1349,0054-0336-2775,
하명식품테크,식품제조가공업,경상북도 영천시 매산1길 4(매산동),0054-0336-3939,
농업회사법인(주)이비채,식품제조가공업,경상북도 영천시 임고면 황강공단길 21,0054-0336-5300,
옥진식품,식품제조가공업,경상북도 영천시 화북면 금계길 29,0054-0337-2566,
경북농축산영농조합,식품제조가공업,경상북도 영천시 화산면 대암길 136,0054-0338-7557,
별빛촌산삼배양영농조합법인,식품제조가공업,경상북도 영천시 도동구역길 28(도동),0054-0338-9933,
맑은샘h&f,식품제조가공업,경상북도 상주시 외서면 행복동길 17,054-0535-0506,
영양복지재단 영양식품,식품제조가공업,경상북도 영양군 청기면 청기로 1242,0054-0682-1580,
(주) 오사랑어업회사법인,식품제조가공업,경상북도 영덕군 축산면 축산항2길 37,054-9906-0191,
골드팜바이오,식품제조가공업,경상북도 문경시 산양면 우본길 105,070-4178-5735,
농업회사법인 영양그린푸드(주),식품제조가공업,경상북도 영양군 일월면 주실1길 80,070-4218-7514,
(주)키즈마루,식품제조가공업,경상북도 성주군 선남면 선노로 737,070-4350-5032,
반트 에이치앤에프,식품제조가공업,경상북도 청도군 풍각면 봉기1길 52-10,070-4410-7982,
농업회사법인 (주) 젠틀파머스,식품제조가공업,경상북도 의성군 금성면 하리길 167,070-5022-2352,
자연이야기(주),식품제조가공업,경상북도 경주시 불국신택지7길 21(진현동),070-7560-4040,
주식회사 베풀장어 어업회사법인,식품제조가공업,경상북도 안동시 풍천면 풍요5길 16-9(1층),070-7599-4682,
블루라마,식품제조가공업,경상북도 포항시 북구 법원로 137(101호 장성동),070-7640-1725,
황씨네옹고집전통식품,식품제조가공업,경상북도 문경시 산북면 윗한두리길 1-13,070-7749-2215,
프로틴컴퍼니,식품제조가공업,경상북도 성주군 선남면 도성1길 70-3(1층),070-8774-0022,
한채담 농업회사법인 주식회사,식품제조가공업,경상북도 청도군 화양읍 삼신길 61(한채담),0502-0057-0707,
농업회사법인(주)더가득,식품제조가공업,경상북도 문경시 가은읍 성유신기길 138,0507-1419-0276,
밀리리터커피로스터리,식품제조가공업,경상북도 안동시 복주1길 12(나동 1층 101호 옥동),0507-1426-7716,
(주)보부식품,식품제조가공업,"경상북도 포항시 북구 신광면 비학로 759(A,B,C동)",,
넛프랜드,식품제조가공업,경상북도 포항시 북구 장량로139번길 38(양덕동),,
다산푸드시스템,식품제조가공업,경상북도 포항시 남구 오천읍 원동로131번길 11(1층),,
대백야채,식품제조가공업,경상북도 포항시 북구 기계면 인비길45번길 16-5(1층),,
두울원 FNC,식품제조가공업,경상북도 포항시 북구 장량로128번길 27(1층 장성동),,
디왈리주식회사,식품제조가공업,경상북도 포항시 북구 신광면 신흥로 86-80(A동 1층),,
어업회사법인 바다주시게(주),식품제조가공업,경상북도 포항시 남구 구룡포읍 일출로 365(B동 1층),,
주식회사 씨투더네이쳐,식품제조가공업,경상북도 포항시 북구 중앙로 328(2층 덕산동),,
콩사장,식품제조가공업,경상북도 포항시 북구 장량로190번길 6-11(1층 양덕동),,
포스푸드,식품제조가공업,"경상북도 포항시 남구 오천읍 충무로 43-3(가동 1층 102,103,104호)",,
포항해맞이수산,식품제조가공업,경상북도 포항시 북구 삼호로 342-25(1층 두호동),,
(주)수미가,식품제조가공업,경상북도 경주시 외동읍 구어공단길 72,,
(주)아지야,식품제조가공업,경상북도 경주시 양남면 동해안로 656,,
(주)이뮨마이셀,식품제조가공업,경상북도 경주시 외동읍 어령길 100-9,,
(주)제선당 2공장,식품제조가공업,경상북도 경주시 서면 부운율전길 23-1,,
(주)천명,식품제조가공업,경상북도 경주시 원효로52번길 16(노서동),,
(주)천호물산,식품제조가공업,경상북도 경주시 서면 대경로 2929-124(가동),,
054푸드,식품제조가공업,경상북도 경주시 태종로 440(2층 충효동),,
HY컴퍼니,식품제조가공업,경상북도 경주시 건천읍 작원1길 64-5,,
coffee whistle(커피휘슬),식품제조가공업,경상북도 경주시 광중3길 56-5(용강동),,
가실마을푸드,식품제조가공업,경상북도 경주시 천북면 산업로 4845,,
경주프레시,식품제조가공업,경상북도 경주시 충효녹지길 58-5(충효동),,
교동경주빵,식품제조가공업,경상북도 경주시 충효구획3길 17(충효동),,
꽃내 체리팜,식품제조가공업,경상북도 경주시 건천읍 대곡사일길 25-6,,
농업회사법인 수곡된장 주식회사,식품제조가공업,경상북도 경주시 외동읍 아기봉길 154,,
농업회사법인 자이안트팜농장유한회사,식품제조가공업,경상북도 경주시 안강읍 화전길 36,,
농업회사법인 황새말주식회사,식품제조가공업,경상북도 경주시 안강읍 황새마을길 26,,
다다티하우스,식품제조가공업,경상북도 경주시 건천읍 단석로 1757,,
다미방푸드,식품제조가공업,경상북도 경주시 백률로82번길 34(동천동),,
다올에프앤디 주식회사,식품제조가공업,경상북도 경주시 안강읍 곤실길 223-9,,
다원식품,식품제조가공업,경상북도 경주시 천북면 서평길 39-44,,
다원씨엔델리,식품제조가공업,경상북도 경주시 충효천길 263-12(2층 201호 충효동),,
도화식품,식품제조가공업,경상북도 경주시 감포읍 연동길 49-25,,
라선재농업회사법인(주),식품제조가공업,경상북도 경주시 현곡면 용담로 443-51,,
미경전통식문화연구소,식품제조가공업,경상북도 경주시 교촌길 39-1(교동),,
보리선수들,식품제조가공업,경상북도 경주시 강동면 수궁서당길 26-4,,
봉선당,식품제조가공업,경상북도 경주시 천북면 신당2길 13,,
서가 농업회사법인 주식회사,식품제조가공업,경상북도 경주시 외동읍 전곡길 37,,
숨결로스터리,식품제조가공업,경상북도 경주시 보불로 204-7(1층 하동),,
신수단180년 오대한방가식품회사 윤보당,식품제조가공업,경상북도 경주시 문무대왕면 불암길 23-8,,
신창식품,식품제조가공업,경상북도 경주시 감포읍 감포로 252-4,,
씨엔엘바이오(C&L Bio),식품제조가공업,경상북도 경주시 내남면 이조중앙길 9-3(나동),,
아코(ACOH),식품제조가공업,경상북도 경주시 건천읍 천포방내길 10-2,,
양동민속한과 다온,식품제조가공업,경상북도 경주시 강동면 양동마을길 92-16,,
어코어,식품제조가공업,경상북도 경주시 광중1길 8-1(용강동),,
오늘선식(경주점),식품제조가공업,경상북도 경주시 용황로6길 17(용강동),,
온푸드(on-food),식품제조가공업,경상북도 경주시 양남면 나아봉길로 168(가동),,
옳;온,식품제조가공업,경상북도 경주시 구매3길 53(시래동),,
장군푸드시스템,식품제조가공업,경상북도 경주시 용황구획1길 21-1(황성동),,
장항뿌리영농조합,식품제조가공업,경상북도 경주시 양북면 와읍용동서길 173-14,,
주)약선 오대가,식품제조가공업,경상북도 경주시 강동면 천강로 846-43,,
주식회사 부자수산,식품제조가공업,경상북도 경주시 감포읍 동해안로 2381-7,,
주식회사 수미제과,식품제조가공업,경상북도 경주시 외동읍 별미길 35-54,,
지운푸드,식품제조가공업,경상북도 경주시 문무대왕면 하범길 199-11,,
천재식품,식품제조가공업,경상북도 경주시 안강읍 안강중앙로 47,,
충효닭집,식품제조가공업,경상북도 경주시 원효로51번길 5(성건동),,
코리아 바이오피아,식품제조가공업,경상북도 경주시 내남면 현동길 26-5,,
콩이랑 팥이랑 작목반,식품제조가공업,경상북도 경주시 내남면 망성2길 133-56,,
하임스,식품제조가공업,경상북도 경주시 충현로4길 8(3층 충효동),,
한반도 수산,식품제조가공업,경상북도 경주시 감포읍 감포로11길 5-1(3층),,
김가네식품,식품제조가공업,경상북도 김천시 황산로 24(지좌동),,
주식회사진성바이오김천지점,식품제조가공업,경상북도 김천시 아포읍 포아로 15,,
경북바이오에프엔비,식품제조가공업,경상북도 안동시 풍산읍 산업단지길 88(경북바이오산업연구원 5동 1층 101호 3동 3층 303호),,
고담촌,식품제조가공업,경상북도 안동시 풍산읍 산업단지길 88(경북바이오산업연구원 4동 2층 204호),,
귀래정 농업회사법인 주식회사,식품제조가공업,경상북도 안동시 대안로 59-5(1층 당북동),,
농업회사법인 에이치비바이오랜드 주식회사,식품제조가공업,경상북도 안동시 풍산읍 괴정2길 106-32(105동),,
농업회사법인(주) 미쁘캐나비스,식품제조가공업,경상북도 안동시 불무골2길 30(2층 태화동),,
농업회사법인주식회사푸드팩토리,식품제조가공업,경상북도 안동시 풍산읍 산업단지길 88(경북바이오산업연구원 GIB-5동 1층 102호),,
대복물산,식품제조가공업,경상북도 안동시 풍산읍 산업단지길 217,,
더옥,식품제조가공업,경상북도 안동시 북후면 물한덕거리길 84,,
부엉이소리커피공방,식품제조가공업,경상북도 안동시 도산면 선성4길 31,,
안동명가 고추가루,식품제조가공업,경상북도 안동시 남후면 큰광음길 83,,
엔이스트,식품제조가공업,경상북도 안동시 경동로 1279(송천동),,
이득나누리,식품제조가공업,경상북도 안동시 맑은샘5길 5(2층 운흥동),,
일두산방,식품제조가공업,경상북도 안동시 풍산읍 산업단지길 88(경북바이오산업연구원 4동 2층 203호),,
주식회사 엔오바이오랜드,식품제조가공업,"경상북도 안동시 풍산읍 괴정2길 106-24(주1,4동)",,
주식회사 팔팔,식품제조가공업,경상북도 안동시 남후면 암산1길 15(1층),,
청해식품,식품제조가공업,"경상북도 안동시 용상북1길 6(에이스아울렛 D동 1층 6,7,8호 용상동)",,
(주)지엘바이오코리아,식품제조가공업,경상북도 구미시 봉곡로13길 31(가동 봉곡동),,
굳띵즈,식품제조가공업,경상북도 구미시 인동21길 22-11(브이티이코프사옥 4층 인의동),,
김한땡초푸드,식품제조가공업,경상북도 구미시 구미중앙로45길 7(2동 1층 신평동),,
농바우부부식품,식품제조가공업,경상북도 구미시 도개면 궁기5길 19(1층),,
농업회사법인다올주식회사,식품제조가공업,경상북도 구미시 인동가산로 337-88(1층 구평동),,
농업회사법인주식회사모들,식품제조가공업,"경상북도 구미시 도개면 도안로 308(주4,5동 1층)",,
다비다쿡,식품제조가공업,경상북도 구미시 도봉로3길 7-3(1층 봉곡동),,
리파이커피컴퍼니,식품제조가공업,경상북도 구미시 산동면 강동로 979(1층),,
밀앤밀베이커리,식품제조가공업,경상북도 구미시 고아읍 들성로11길 45-9(1동 1층),,
수경왕만두찐빵,식품제조가공업,경상북도 구미시 인동9길 12-1(1층 인의동),,
아엠푸드펙토리농업회사법인주식회사,식품제조가공업,경상북도 구미시 임수로 30-16(E-4동 1층 임수동),,
어썸푸드,식품제조가공업,경상북도 구미시 금오대로24길 8(1동 1층 오태동),,
예달행,식품제조가공업,경상북도 구미시 원남로 33(1층 남통동),,
이명가식품,식품제조가공업,경상북도 구미시 선산읍 선산중앙로7길 22(1층),,
이타카커피로스터스,식품제조가공업,경상북도 구미시 신시로 40(3층 형곡동),,
주식회사브라운핸즈,식품제조가공업,경상북도 구미시 3공단3로 41(1동 1층 시미동),,
청앤장,식품제조가공업,경상북도 구미시 인동32길 35-9(1층 진평동),,
카페클라우든,식품제조가공업,경상북도 구미시 인동21길 10-1(1층 인의동),,
콩들푸드,식품제조가공업,경상북도 구미시 산동읍 동백로 136-12(주1동 1층),,
태천바이오,식품제조가공업,경상북도 구미시 문장로12길 13(1층 도량동),,
퍼블릭커피로스터즈,식품제조가공업,경상북도 구미시 산동읍 첨단기업1로 42(메트로빌딩 1동 1층),,
푸리,식품제조가공업,경상북도 구미시 봉곡서로11안길 5-12(1층 봉곡동),,
하늘산식품,식품제조가공업,경상북도 구미시 봉곡로5길 10(백천전자 1층 봉곡동),,
한둘아식품,식품제조가공업,경상북도 구미시 고아읍 들성로 119-59(1동 1층),,
한성물산,식품제조가공업,경상북도 구미시 고아읍 동평로 63(1층),,
해마루건강푸드,식품제조가공업,경상북도 구미시 옥계신당로1길 5-19(1층 옥계동),,
감토정,식품제조가공업,경상북도 영주시 영주로 167(영주동),,
농업회사법인(주)해인,식품제조가공업,경상북도 영주시 순흥면 소백로2600번길 86-1,,
농업회사법인색치원주식회사,식품제조가공업,경상북도 영주시 선비로79번길 40-12(종합시장 1층 26호 휴천동),,
농업회사법인주식회사소백대간,식품제조가공업,경상북도 영주시 풍기읍 금계로25번길 6-8(1층),,
뉴라이프푸드,식품제조가공업,경상북도 영주시 부석면 의상로 1328,,
부석태콩,식품제조가공업,경상북도 영주시 부석면 의상로 1595,,
소백산인풍기홍삼,식품제조가공업,경상북도 영주시 봉현면 소백로1701번길 33-9,,
순흥홍삼제조원2호점,식품제조가공업,경상북도 영주시 풍기읍 동성로70번길 58,,
영주농부들,식품제조가공업,경상북도 영주시 영주로215번길 7-5(영주동),,
영주생강가공센터,식품제조가공업,경상북도 영주시 문수면 신방로 72-13,,
예다원A&F농업회사법인주식회사,식품제조가공업,경상북도 영주시 평은면 경북대로 2271-10,,
오룡골식품,식품제조가공업,경상북도 영주시 의상로380번길 171-41(조와동),,
유미네,식품제조가공업,경상북도 영주시 봉현면 소백로1132번길 30-8,,
자연이든농업회사법인주식회사,식품제조가공업,경상북도 영주시 원당로315번길 55(상망동),,
천삼원,식품제조가공업,경상북도 영주시 풍기읍 금계로 37,,
태성홍삼제조원,식품제조가공업,경상북도 영주시 풍기읍 안풍로254번길 54,,
플라미,식품제조가공업,경상북도 영주시 풍기읍 동양대로 145(동양대학교 창업보육센터 8403호),,
건강을쓰담,식품제조가공업,경상북도 영천시 화남면 월령길 194,,
고향본연,식품제조가공업,"경상북도 영천시 언하공단로 64(1층 102호 망정동, 위너타운2차)",,
농업회사법인 더불어실버팜 주식회사,식품제조가공업,경상북도 영천시 고경면 상계로 202,,
농업회사법인 주식회사 다누리,식품제조가공업,경상북도 영천시 금호읍 마단길 107(주2동),,
농업회사법인 주식회사 진명,식품제조가공업,경상북도 영천시 고경면 창방우길 66-14,,
농업회사법인 주식회사 프레쉬벨,식품제조가공업,경상북도 영천시 금호읍 창산길 55,,
농업회사법인 주식회사 해담은,식품제조가공업,경상북도 영천시 임고면 신선로 624,,
농업회사법인 한조주식회사 2공장,식품제조가공업,경상북도 영천시 하명길 7(도림동),,
농업회사법인(주)동의보굼,식품제조가공업,경상북도 영천시 금호읍 남성길 27-16,,
당산나무,식품제조가공업,경상북도 영천시 하명길 61-18(매산동),,
보현골 된장,식품제조가공업,경상북도 영천시 자양면 별빛로 1175-33,,
산과보롬,식품제조가공업,경상북도 영천시 금호읍 교대용대길 7-1,,
썬포스 주식회사(Sunforce Inc.),식품제조가공업,경상북도 영천시 금호읍 금창로 208-31,,
우리손푸드,식품제조가공업,경상북도 영천시 금호읍 마단길 107(주1동),,
자라난약초,식품제조가공업,경상북도 영천시 약초시장길 3(영천약초시장 109호 도동),,
주식회사 데이웰즈,식품제조가공업,경상북도 영천시 영천아이시로 106-108(봉동),,
주식회사 리드로컬,식품제조가공업,경상북도 영천시 금호읍 금호로 190-10,,
주식회사 지엔에스,식품제조가공업,경상북도 영천시 채신1공단길 74(주3동 채신동),,
주식회사 청통본가,식품제조가공업,경상북도 영천시 청통면 신원길 57,,
채약산 굼벵이,식품제조가공업,경상북도 영천시 안골길 43(괴연동),,
(주)움집감자,식품제조가공업,경상북도 상주시 냉림서성길 35(냉림동),,
(주)하늘마당,식품제조가공업,경상북도 상주시 화북면 문장로 2243-22,,
미녀농부,식품제조가공업,경상북도 상주시 만산4길 45(2동 1층 만산동),,
불로초코리아,식품제조가공업,경상북도 상주시 낙동면 상주다인로 111-7,,
상주 가을 곶감,식품제조가공업,경상북도 상주시 아리랑로 119-4(계산동),,
오손도손F2,식품제조가공업,경상북도 상주시 화북면 상오3길 2,,
우리축산물유통,식품제조가공업,경상북도 상주시 식산로 165(서곡동),,
전통한방곶감,식품제조가공업,경상북도 상주시 중앙로 139(서문동),,
쿠라빌,식품제조가공업,경상북도 상주시 개운2길 26-35(개운동),,
한가로이,식품제조가공업,경상북도 상주시 모서면 도안2길 47,,
OMI.FARM(오미농원),식품제조가공업,경상북도 문경시 동로면 벌재장터길 12,,
농업회사법인(주)삼팔유통,식품제조가공업,경상북도 문경시 문경읍 요성지곡길 46-3,,
라밀로스터스,식품제조가공업,경상북도 문경시 중앙10길 13(1층 흥덕동),,
문경에프앤비,식품제조가공업,경상북도 문경시 여중3길 12(강남빌딩 1층 모전동),,
문경천연현미식초,식품제조가공업,경상북도 문경시 호계면 가열1길 30,,
스위소프(SWSOF),식품제조가공업,경상북도 문경시 가은읍 은성로 757-14,,
애플(국가대표행복한문경사과),식품제조가공업,경상북도 문경시 문경읍 하푸실길 1,,
엿공장,식품제조가공업,경상북도 문경시 가은읍 무두실3길 1(1층),,
햇살식품,식품제조가공업,경상북도 문경시 산북면 금천로 744,,
(주)들산초,식품제조가공업,경상북도 경산시 삼풍로 27(경북테크노파크 제2시험생산공장 108호 삼풍동),,
(주)장수에프앤비,식품제조가공업,경상북도 경산시 원효로40길 57-1(사동),,
(주)커피인사이트,식품제조가공업,경상북도 경산시 압량읍 가야로 5,,
경산맥반석식품,식품제조가공업,경상북도 경산시 남천면 남천로 296-6,,
금애식품,식품제조가공업,경상북도 경산시 자인면 원효로156길 208-13,,
노아(NOAH)120,식품제조가공업,경상북도 경산시 장산로1길 29(1층 사정동),,
농업회사법인 고운 주식회사,식품제조가공업,경상북도 경산시 성동로 16(1층 정평동),,
농업회사법인 주식회사 다소니,식품제조가공업,경상북도 경산시 하양읍 하양로 13-13(대구가톨릭대학교 최요한관 B105호),,
농업회사법인 주식회사 성진,식품제조가공업,경상북도 경산시 자인면 설총로 730-3,,
농업회사법인 주식회사 케이빈즈,식품제조가공업,경상북도 경산시 어봉지길 285-10(대구한의대 오성캠퍼스 별관동 504호 여천동),,
농업회사법인대본주식회사,식품제조가공업,경상북도 경산시 진량읍 초원길 10,,
다원바이오,식품제조가공업,"경상북도 경산시 진량읍 공단13로 113(1,2,3층)",,
동애원푸드,식품제조가공업,경상북도 경산시 압량읍 가일길28길 116,,
둥근나라,식품제조가공업,경상북도 경산시 진량읍 대학로 967-14,,
라마커피,식품제조가공업,경상북도 경산시 중앙로 15-4(창신아파트 상가동 2호 사정동),,
램프에프엔비,식품제조가공업,경상북도 경산시 압량읍 당음길8길 33,,
룰리커피,식품제조가공업,경상북도 경산시 삼성현마을길 24(주1동 여천동),,
리틀팜,식품제조가공업,경상북도 경산시 와촌면 갈밭길 9,,
멜티코,식품제조가공업,경상북도 경산시 대학로 206(1층 계양동),,
미리로컬푸드,식품제조가공업,경상북도 경산시 경안로31길 27(1층 서상동),,
보경푸드,식품제조가공업,경상북도 경산시 와촌면 용천길 156,,
보물단지,식품제조가공업,경상북도 경산시 용성면 구룡로 42,,
봉자푸드,식품제조가공업,경상북도 경산시 성암로13길 4(옥산동),,
부경양곡,식품제조가공업,경상북도 경산시 자인면 자인공단로 45,,
비엘에프(BLF),식품제조가공업,경상북도 경산시 성암로5길 1-2(옥산동),,
비해이븐,식품제조가공업,경상북도 경산시 남천면 남천로 682-19,,
산에,식품제조가공업,경상북도 경산시 용성면 육동로 980,,
성기호전통발효식초연구소,식품제조가공업,경상북도 경산시 자인면 원효로 757-7,,
성암농산,식품제조가공업,경상북도 경산시 용성면 원효로 1261-15,,
수희 주식회사,식품제조가공업,경상북도 경산시 경산로16길 10-8(1층 옥곡동),,
시온푸드,식품제조가공업,경상북도 경산시 자인면 서부길 30-5,,
신진씨앤푸드,식품제조가공업,경상북도 경산시 압량읍 압량길 77-8,,
아르카팩토리,식품제조가공업,경상북도 경산시 남천면 상대로 196(1층),,
알찬연근팜,식품제조가공업,경상북도 경산시 자인면 원당길 26,,
어탕체인사업본부,식품제조가공업,경상북도 경산시 부적길 26,,
에브리데이푸드,식품제조가공업,"경상북도 경산시 압량읍 가일길23길 5-1(1,2층)",,
영농조합법인바람햇살농장,식품제조가공업,경상북도 경산시 오목천서길 129,,
오유에프앤비,식품제조가공업,경상북도 경산시 압량읍 가일길 149(솔트코리아 나동),,
올더모어,식품제조가공업,경상북도 경산시 하양읍 문화로 90(지1층),,
와이케이푸드,식품제조가공업,경상북도 경산시 하양읍 하양로 13-13(대구가톨릭대학교 창업보육센터 302호 에이),,
와인랩스,식품제조가공업,"경상북도 경산시 신천길3길 21-6(1,2층 신천동)",,
원탑(1TOP),식품제조가공업,경상북도 경산시 남천면 삼성1길 13-2,,
의리푸드,식품제조가공업,경상북도 경산시 경청로217길 19(1층 백천동),,
자사미,식품제조가공업,경상북도 경산시 와촌면 계전길8길 67-9,,
자선당,식품제조가공업,경상북도 경산시 남천면 협석2길 25(나동),,
장모님정월장,식품제조가공업,경상북도 경산시 용성면 덕천4길 53-8,,
전수연고추장,식품제조가공업,경상북도 경산시 어봉지길 285-10(대구한의대 오성캠퍼스 별관동 315호 여천동),,
