연번,구분,업체명,업종구분,산업분류코드,소재지,전화번호,팩스번호,고용인원,데이터기준일자
13,계획입지,(주)두메식품,김치류 제조업 외 1 종,"10301, 10302",경상북도 문경시 산양면 진정리 622-4번지,054-554-5254,054-0554-5253,71,2025-09-11
14,계획입지,(주)디에이치머티리얼즈,그 외 기타 금속가공업,"25929, ",경상북도 문경시 유곡동 718,,,12,2025-09-11
15,계획입지,(주)럭스코,전동기 및 발전기 제조업,"28111, ",경상북도 문경시 산양면 진정리 산 29번지 일원 산양제2농공단지 제5블럭,054-0556-8580,054-0556-8581,94,2025-09-11
16,계획입지,(주)루왁코리아,커피 가공업 외 1 종,"10891, 10309",경상북도 문경시 가은읍 왕능리 643 외 2필지,054-572-3660,054-571-0986,16,2025-09-11
17,계획입지,(주)마루종합식품,가금류 가공 및 저장 처리업 외 2 종,"10121, 10122, 10129",경상북도 문경시 신기동 1143-1,053-355-3501,053-355-7293,55,2025-09-11
18,계획입지,(주)명인푸드,도장 및 기타 피막처리업 외 1 종,"25923, 68112",경상북도 문경시 영순면 의곡리 1278번지,031-717-7793,031-717-7794,14,2025-09-11
19,계획입지,(주)문경라텍스,고무 의류 및 기타 위생용 비경화 고무제품 제조업,"22193, ",경상북도 문경시 마성면 오천리 890번지,054-572-2000,054-572-0220,11,2025-09-11
20,계획입지,(주)미래케미칼,일반용 도료 및 관련제품 제조업 외 1 종,"20411, 20202",경상북도 문경시 가은읍 왕능리 612번지,054-572-7705,054-572-7706,5,2025-09-11
21,계획입지,(주)미래플러스,"금속 문, 창, 셔터 및 관련제품 제조업 외 2 종","25111, 22223, 25112",경상북도 문경시 산양면 진정리 689-1번지,054-554-3077,054-554-3024,12,2025-09-11
22,계획입지,(주)미래플러스,"금속 문, 창, 셔터 및 관련제품 제조업 외 2 종","25111, 22223, 25112",경상북도 문경시 산양면 진정리 689,054-554-3077,,28,2025-09-11
23,계획입지,(주)비에이치,전기회로 접속장치 제조업 외 9 종,"28122, 26421, 26519, 27213, 27214, 27215, 27216, 28119, 28422, 68112",경상북도 문경시 산양면 진정리 692-4,,,3,2025-09-11
24,계획입지,(주)삼동,기타 절연선 및 케이블 제조업,"28302, ",경상북도 문경시 마성면 오천리 884번지,054-0552-8807,054-0552-8809,247,2025-09-11
25,계획입지,(주)삼동문경공장 2공장,기타 절연선 및 케이블 제조업,"28302, ",경상북도 문경시 마성면 오천리 884-1,054-550-3165,,0,2025-09-11
26,계획입지,(주)상하식품,과실 및 그 외 채소 절임식품 제조업,"10302, ",경상북도 문경시 가은읍 왕능리 645,,,45,2025-09-11
27,계획입지,(주)새롬,김치류 제조업 외 1 종,"10301, 10302",경상북도 문경시 가은읍 왕능리 643번지,054-0638-1651,,80,2025-09-11
28,계획입지,(주)수성산업,구조용 금속 판제품 및 공작물 제조업 외 5 종,"25112, 16102, 25119, 25999, 28422, 33302",경상북도 문경시 산양면 진정리 380번지 외 1필지,054-555-0304,054-541-9778,9,2025-09-11
29,계획입지,(주)수하이텍,"플라스틱 선, 봉, 관 및 호스 제조업 외 5 종","22211, 16212, 22222, 25119, 25122, 68112",경상북도 문경시 마성면 오천리 895-1번지,054-571-4801,054-571-4803,8,2025-09-11
30,계획입지,(주)썬레이크푸드,차류 가공업 외 1 종,"10892, 11209",경상북도 문경시 마성면 오천리 895번지,054-572-0050,054-572-0049,7,2025-09-11
31,계획입지,(주)씨씨티연구소,일반용 도료 및 관련제품 제조업 외 5 종,"20411, 20202, 22199, 23321, 23999, 68112",경상북도 문경시 가은읍 왕능리 612번지,054-535-2704,054-572-2705,13,2025-09-11
32,계획입지,(주)씨텍(C-TECH),기타 절연선 및 케이블 제조업,"28302, ",경상북도 문경시 산양면 진정리 688-0,054-504-7890,054-700-0784,14,2025-09-11
33,계획입지,(주)아누리,그 외 기타 플라스틱 제품 제조업 외 4 종,"22299, 13221, 13229, 14194, 33401",경상북도 문경시 신기동 1136-1번지,,054-555-8229,12,2025-09-11
34,계획입지,(주)아이딘,"콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 1 종","23324, 23326",경상북도 문경시 가은읍 왕능리 639번지,054-572-0020,054-572-0010,5,2025-09-11
35,계획입지,(주)애니룩스,일반용 전기 조명장치 제조업 외 1 종,"28422, 28423",경상북도 문경시 신기동 1136번지,,032-661-2665,46,2025-09-11
36,계획입지,(주)어센틱브랜즈코리아,기타 직물제품 제조업,"13229, ",경상북도 문경시 영순면 의곡리 1275번지,054-559-7915,054-556-6981,9,2025-09-11
37,계획입지,(주)어센틱브랜즈코리아,안경 및 안경렌즈 제조업 외 1 종,"27195, 27301",경상북도 문경시 영순면 의곡리 1274번지,054-550-5928,054-556-6981,23,2025-09-11
38,계획입지,(주)에스더블유,전동기 및 발전기 제조업,"28111, ",경상북도 문경시 산양면 진정리 686,070-4327-6915,,22,2025-09-11
39,계획입지,(주)에스에이치전기조명,일반용 전기 조명장치 제조업 외 6 종,"28422, 25113, 25994, 25999, 28423, 28429, 28903",경상북도 문경시 산양면 진정리 693,054-556-3101,,6,2025-09-11
40,계획입지,(주)에스지티,금속탱크 및 저장용기 제조업 외 1 종,"25122, 27213",경상북도 문경시 신기동 1142-6,031-375-2800,,22,2025-09-11
41,계획입지,(주)엔에스라이팅,일반용 전기 조명장치 제조업 외 2 종,"28422, 25113, 25114",경상북도 문경시 영순면 율곡리 1087번지,054-552-5131,054-552-5132,11,2025-09-11
42,계획입지,(주)엘케이에스,가정용 및 산업용 공기 조화장치 제조업 외 2 종,"29172, 29171, 29173",경상북도 문경시 신기동 1136-6번지,054-554-9926,054-554-9927,17,2025-09-11
43,계획입지,(주)엠씨엠텍,표면처리 및 적층 직물 제조업,"13994, ",경상북도 문경시 영순면 의곡리 1283번지,054-553-4610,054-553-4611,15,2025-09-11
44,계획입지,(주)예동산업,기타 1차 비철금속 제조업,"24290, ",경상북도 문경시 영순면 율곡리 1092,,,11,2025-09-11
45,계획입지,(주)와이앤티,화장품 제조업,"20423, ",경상북도 문경시 산양면 진정리 600-11번지,,054-553-0188,5,2025-09-11
46,계획입지,(주)우성첨단소재,합성수지 및 기타 플라스틱 물질 제조업,"20202, ",경상북도 문경시 신기동 1141-4,054-555-6250,054-553-6251,32,2025-09-11
47,계획입지,(주)우성케미칼,합성수지 및 기타 플라스틱 물질 제조업,"20202, ",경상북도 문경시 신기동 1141-4,054-555-6250,,0,2025-09-11
48,계획입지,(주)우일,전동기 및 발전기 제조업 외 1 종,"28111, 68112",경상북도 문경시 산양면 진정리 630-7 주식회사 우일,054-554-9665,054-554-9664,5,2025-09-11
49,계획입지,(주)우일에프피엠,"용기 세척, 포장 및 충전기 제조업 외 13 종","29191, 25111, 25112, 25113, 25114, 25119, 25121, 25122, 25123, 25130, 25992, 29177, 29210, 29250",경상북도 문경시 영순면 율곡리 1087번지,054-553-7556,054-554-0716,3,2025-09-11
50,계획입지,(주)우진푸드,육류 기타 가공 및 저장처리업 (가금류 제외) 외 2 종,"10129, 10211, 10899",경상북도 문경시 신기동 1143-3번지,051-941-5855,051-941-5856,30,2025-09-11
51,계획입지,(주)월드에너지,산업용 냉장 및 냉동 장비 제조업,"29171, ",경상북도 문경시 가은읍 왕능리 638번지,054-572-2702,054-572-2707,35,2025-09-11
52,계획입지,(주)월드에너지,산업용 냉장 및 냉동 장비 제조업,"29171, ",경상북도 문경시 신기동 1121-0,054-572-2601,054-572-2607,50,2025-09-11
53,계획입지,(주)유일산업,그 외 기타 일반목적용 기계 제조업,"29199, ",경상북도 문경시 산양면 진정리 692,,,0,2025-09-11
54,계획입지,(주)자연산업,건설용 석제품 제조업,"23911, ",경상북도 문경시 산양면 진정리 694,,,0,2025-09-11
55,계획입지,(주)제이에스지테크 ,방송장비 제조업 외 2 종,"26421, 26310, 26329",경상북도 문경시 신기동 1142-1,,,11,2025-09-11
56,계획입지,(주)제이엔씨디자인,구조용 금속 판제품 및 공작물 제조업 외 5 종,"25112, 25113, 25114, 25119, 25999, 68112",경상북도 문경시 산양면 진정리 692-1,070-5055-0048,070-7610-7433,10,2025-09-11
57,계획입지,(주)지케이,건설용 석제품 제조업,"23911, ",경상북도 문경시 마성면 오천리 896번지,054-571-1504,054-571-0221,4,2025-09-11
58,계획입지,(주)케이이노텍,"금속 문, 창, 셔터 및 관련제품 제조업 외 3 종","25111, 25113, 25114, 29210",경상북도 문경시 영순면 의곡리 1278-2번지,054-555-8801,054-555-8802,5,2025-09-11
59,계획입지,(주)코람에스티,도장 및 기타 피막처리업,"25923, ",경상북도 문경시 영순면 의곡리 1278-2번지,,,21,2025-09-11
60,계획입지,(주)태경에스티,그 외 기타 일반목적용 기계 제조업 외 2 종,"29199, 10820, 10894",경상북도 문경시 신기동 1141-10,053-522-5877,,12,2025-09-11
61,계획입지,(주)푸르미푸드,두부 및 유사식품 제조업,"10894, ",경상북도 문경시 영순면 의곡리 1278-1번지,,,30,2025-09-11
62,계획입지,(주)프라임,부직포 및 펠트 제조업,"13992, ",경상북도 문경시 영순면 의곡리 1278-1,054-552-2232,,16,2025-09-11
63,계획입지,(주)피앤씨이노텍,화장품 제조업,"20423, ",경상북도 문경시 신기동 1136-5번지,02-3445-5588,,25,2025-09-11
64,계획입지,(주)피앤티디,기타 직물제품 제조업 외 6 종,"13229, 13409, 13999, 14111, 14112, 14192, 17902",경상북도 문경시 가은읍 왕능리 616번지 (웰킵스문경캠퍼스),054-534-4534,054-534-4330,0,2025-09-11
65,계획입지,(주)피엠리써치 부설 미래기술연구소,기타 공학 연구개발업 외 2 종,"70129, 33110, 70130",경상북도 문경시 마성면 오천리 895-2번지,054-572-2330,054-571-2330,4,2025-09-11
66,계획입지,(주)피지엠리서치 문경지점,귀금속 및 관련제품 제조업,"33110, ",경상북도 문경시 마성면 오천리 895-3번지,054-572-2330,054-571-2330,10,2025-09-11
67,계획입지,(주)하나 엔 텍,설치용 및 위생용 플라스틱제품 제조업,"22222, ",경상북도 문경시 영순면 율곡리 1091번지,054-553-6007,054-553-6009,3,2025-09-11
68,계획입지,(주)한국식품,가금류 가공 및 저장 처리업,"10121, ",경상북도 문경시 산양면 진정리 600-11번지 외 1필지,054-554-5000,054-554-5013,20,2025-09-11
69,계획입지,(주)한국자원환경,"라이터, 연소물 및 흡연용품 제조업 외 2 종","33992, 38321, 38322",경상북도 문경시 산양면 진정리 630-5번지,054-554-4010,054-553-4020,25,2025-09-11
70,계획입지,(주)한솔건업,기타 구조용 금속제품 제조업,"25119, ",경상북도 문경시 신기동 1142-4,,,17,2025-09-11
71,계획입지,(주)현미나라,곡물 제분업 외 1 종,"10512, 10519",경상북도 문경시 마성면 오천리 874번지,054-556-5000,054-572-6100,11,2025-09-11
72,계획입지,(주)현암이앤지,유압기기 제조업 외 4 종,"29120, 29163, 29176, 29177, 29299",경상북도 문경시 산양면 진정리 691-2,031-826-6556,031-826-6557,10,2025-09-11
73,계획입지,(주)현진알-테크,그 외 기타 플라스틱 제품 제조업,"22299, ",경상북도 문경시 마성면 오천리 902번지,054-571-9112,054-571-9115,7,2025-09-11
74,계획입지,(주)화물맨,일반용 전기 조명장치 제조업 외 2 종,"28422, 28410, 28423",경상북도 문경시 가은읍 왕능리 645번지,15880424,032-761-9377,2,2025-09-11
75,계획입지,21세기실리카(주),비금속광물 분쇄물 생산업,"23993, ",경상북도 문경시 산양면 반곡리 429-5번지 외 1필지,054-0552-9255,054-0552-9254,14,2025-09-11
76,계획입지,HJ엔지니어링,액체 펌프 제조업 외 4 종,"29131, 29172, 29173, 33302, 68112",경상북도 문경시 산양면 진정리 691-1번지,054-554-8491,050-5298-8494,6,2025-09-11
77,계획입지,가은,끈 및 로프 제조업,"13921, ",경상북도 문경시 가은읍 왕능리 646번지,054-571-8766,054-571-8767,6,2025-09-11
78,계획입지,가은정미소,곡물 도정업 외 1 종,"10511, 68112",경상북도 문경시 가은읍 왕능리 615번지,,,1,2025-09-11
79,계획입지,강남홀딩스(주),건설 및 채광용 기계장비 제조업,"29241, ",경상북도 문경시 신기동 1142-2,,,4,2025-09-11
80,계획입지,경민전기,배전반 및 전기 자동제어반 제조업,"28123, ",경상북도 문경시 산양면 진정리 691-1번지,054-556-7541,054-556-7542,2,2025-09-11
81,계획입지,경북산업(주),콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 1 종,"23325, 23326",경상북도 문경시 산양면 진정리 630-8번지,054-554-8801,,16,2025-09-11
82,계획입지,경북산업(주),콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 1 종,"23325, 23326",경상북도 문경시 산양면 진정리 630-6번지,054-554-8801,054-554-8805,18,2025-09-11
83,계획입지,경북산업(주),콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 2 종,"23325, 23324, 23326",경상북도 문경시 산양면 진정리 630-6번지,054-554-8801,054-554-8805,18,2025-09-11
84,계획입지,경북산업(주),금속선 가공제품 제조업,"25944, ",경상북도 문경시 산양면 진정리 380-4번지,054-552-8807,054-552-8809,11,2025-09-11
85,계획입지,광산자원,비금속류 해체 및 선별업 외 1 종,"38321, 38322",경상북도 문경시 가은읍 왕능리 614-2번지,054-571-3883,054-571-6391,11,2025-09-11
86,계획입지,금오산업주식회사,기타 석제품 제조업,"23919, ",경상북도 문경시 신기동 1139-2,031-322-6584,031-322-5584,16,2025-09-11
87,계획입지,금우문경영농조합법인,기타 곡물 가공품 제조업 외 3 종,"10519, 10833, 10892, 10895",경상북도 문경시 영순면 의곡리 1284번지 외 1필지,054-553-9391,,3,2025-09-11
88,계획입지,납청유기,기타 비철금속 주조업,"24329, ",경상북도 문경시 가은읍 왕능리 636번지,054-571-3564,054-572-3562,13,2025-09-11
89,계획입지,납청유기 이지호공방,그 외 기타 금속가공업,"25929, ",경상북도 문경시 가은읍 왕능리 636,,,0,2025-09-11
90,계획입지,넥스텍케미칼,혼성 및 재생 플라스틱 소재 물질 제조업,"20203, ",경상북도 문경시 신기동 1141-6,032-246-6100,032-228-6101,30,2025-09-11
91,계획입지,논지엠,액상시유 및 기타 낙농제품 제조업,"10421, ",경상북도 문경시 가은읍 왕능리 620-0 외 1필지,054-553-6716,054-553-6717,5,2025-09-11
92,계획입지,농업회사법인 (주)더 문경팜,과실 및 그 외 채소 절임식품 제조업,"10302, ",경상북도 문경시 영순면 의곡리 1277-0,054-571-5000,,16,2025-09-11
93,계획입지,농업회사법인 (주)세명농산,김치류 제조업 외 1 종,"10301, 10302",경상북도 문경시 마성면 오천리 883번지,054-571-2033,054-571-2034,68,2025-09-11
94,계획입지,농업회사법인 (주)세명농산,김치류 제조업 외 2 종,"10301, 10302, 68112",경상북도 문경시 마성면 오천리 870번지,054-571-2033,054-571-2036,7,2025-09-11
95,계획입지,농업회사법인 (주)여물게,가금류 가공 및 저장 처리업,"10121, ",경상북도 문경시 신기동 1143번지,,,30,2025-09-11
96,계획입지,농업회사법인 권도영알로에(주),기타 과실ㆍ채소 가공 및 저장 처리업 외 7 종,"10309, 10831, 10896, 10897, 10899, 11111, 11129, 11209",경상북도 문경시 영순면 의곡리 1288-1번지,054-554-3688,054-554-3689,25,2025-09-11
97,계획입지,농업회사법인 느루담 주식회사,김치류 제조업,"10301, ",경상북도 문경시 신기동 1143-6,,,0,2025-09-11
98,계획입지,농업회사법인 느루담 주식회사,김치류 제조업,"10301, ",경상북도 문경시 신기동 1143-6,,,0,2025-09-11
99,계획입지,농업회사법인 메이트팜(주),그 외 기타 일반목적용 기계 제조업 외 2 종,"29199, 10309, 29210",경상북도 문경시 신기동 1139-1,,,5,2025-09-11
100,계획입지,농업회사법인 싱그람 주식회사,김치류 제조업 외 1 종,"10301, 10302",경상북도 문경시 영순면 율곡리 1088번지 외 1필지,054-554-1004,054-554-2004,150,2025-09-11
101,계획입지,농업회사법인 싱그람 주식회사(2공장),김치류 제조업 외 1 종,"10301, 10302",경상북도 문경시 영순면 율곡리 1089번지,054-554-1003,054-554-2004,10,2025-09-11
102,계획입지,농업회사법인 에프엔디큐웰(주),곡물 제분업,"10512, ",경상북도 문경시 가은읍 왕능리 622-1번지,054-572-3978,054-057-2060,10,2025-09-11
103,계획입지,농업회사법인 에프엔디큐웰(주),곡물 제분업,"10512, ",경상북도 문경시 가은읍 왕능리 613번지,054-572-1400,054-572-0600,10,2025-09-11
104,계획입지,농업회사법인 엠케이엠 주식회사,과실 및 그 외 채소 절임식품 제조업 외 1 종,"10302, 10309",경상북도 문경시 신기동 1136-5,,,13,2025-09-11
105,계획입지,농업회사법인 자연푸드 주식회사,두부 및 유사식품 제조업,"10894, ",경상북도 문경시 영순면 의곡리 1288,,,10,2025-09-11
106,계획입지,농업회사법인 주식회사 상하식품,김치류 제조업 외 1 종,"10301, 10302",경상북도 문경시 가은읍 왕능리 644번지,054-572-2266,054-572-2267,23,2025-09-11
107,계획입지,농업회사법인(주)원스팜,장류 제조업 외 1 종,"10833, 10831",경상북도 문경시 신기동 1143-4,,054-554-3469,10,2025-09-11
108,계획입지,다미산업,기타 과실·채소 가공 및 저장처리업 외 3 종,"10309, 10619, 10742, 10799",경상북도 문경시 가은읍 왕능리 619번지,054-572-2371,054-572-2374,8,2025-09-11
109,계획입지,대자연식품(주),김치류 제조업 외 1 종,"10301, 10302",경상북도 문경시 가은읍 왕능리 618번지,054-571-9041,054-571-9043,9,2025-09-11
110,계획입지,더 문경팜,과실 및 그 외 채소 절임식품 제조업 외 1 종,"10302, 68112",경상북도 문경시 영순면 의곡리 1277-0,054-571-5000,,16,2025-09-11
111,계획입지,동은이엔지,속도계 및 적산계기 제조업,"27214, ",경상북도 문경시 산양면 진정리 600-3번지,054-554-2467,054-554-2468,7,2025-09-11
112,계획입지,마성산업(주),자동차 차체용 신품 부품 제조업 외 2 종,"30320, 30331, 30400",경상북도 문경시 마성면 오천리 894번지 외 2필지,054-571-4155,054-571-4154,229,2025-09-11
113,계획입지,마스터엠앤피(주),부직포 및 펠트 제조업 외 1 종,"13992, 13229",경상북도 문경시 영순면 의곡리 1278-0,054-554-6886,054-554-6336,11,2025-09-11
114,계획입지,문경오미자 밸리 영농조합법인,기타 과실ㆍ채소 가공 및 저장 처리업 외 1 종,"10309, 10897",경상북도 문경시 신기동 1136-3번지,054-552-9000,054-553-5224,10,2025-09-11
115,계획입지,미래테크(주),육상 금속 골조 구조재 제조업 외 1 종,"25113, 25929",경상북도 문경시 신기동 1138번지,053-380-3414,053-383-7227,70,2025-09-11
116,계획입지,미림산업(주),일반 제재업 외 1 종,"16101, 16102",경상북도 문경시 마성면 오천리 896번지,054-571-1504,054-571-1505,0,2025-09-11
117,계획입지,미림산업(주),일반 제재업 외 2 종,"16101, 16102, 68112",경상북도 문경시 마성면 오천리 896번지,054-571-1504,054-571-1505,6,2025-09-11
118,계획입지,바우,농업 및 임업용 기계 제조업,"29210, ",경상북도 문경시 신기동 1142-3,,,7,2025-09-11
119,계획입지,백두대간영농조합법인,기타 과실ㆍ채소 가공 및 저장 처리업,"10309, ",경상북도 문경시 신기동 1121번지,054-554-5201,,0,2025-09-11
120,계획입지,베베캐슬코리아,비주거용 건물 임대업,"68112, ",경상북도 문경시 신기동 1136-1번지,16613598,054-555-8229,0,2025-09-11
121,계획입지,산양전력,배전반 및 전기 자동제어반 제조업,"28123, ",경상북도 문경시 산양면 진정리 695-1번지,053-944-7600,053-944-7601,23,2025-09-11
122,계획입지,새재전기통신소방,배전반 및 전기 자동제어반 제조업 외 5 종,"28123, 26410, 26421, 26429, 26521, 26529",경상북도 문경시 산양면 진정리 695번지,054-556-0110,054-553-3996,10,2025-09-11
123,계획입지,세인테크,그 외 기타 분류 안된 금속 가공 제품 제조업,"25999, ",경상북도 문경시 산양면 진정리 692-1 제2동,070-5055-0048,,1,2025-09-11
124,계획입지,수월한 주식회사,가금류 가공 및 저장 처리업 외 3 종,"10121, 10122, 10129, 35114",경상북도 문경시 신기동 1136-2번지,053-964-8166,053-964-8167,30,2025-09-11
125,계획입지,싱그람영농조합법인,김치류 제조업 외 1 종,"10301, 10302",경상북도 문경시 영순면 율곡리 1093번지,054-554-1004,,164,2025-09-11
126,계획입지,알파제약(주),생물 의약품 제조업 외 1 종,"21211, 21212",경상북도 문경시 산양면 진정리 622번지,054-0552-5381,054-0552-5385,25,2025-09-11
127,계획입지,에이치지푸드,"수산동물 훈제, 조리 및 유사 조제식품 제조업","10211, ",경상북도 문경시 신기동 1143-8,054-556-7779,,15,2025-09-11
128,계획입지,에코테인먼트코리아 주식회사,기타 물품 취급장비 제조업 외 1 종,"29169, 33302",경상북도 문경시 영순면 의곡리 1278,02-444-9683,02-444-9694,30,2025-09-11
129,계획입지,에코테인먼트코리아(주),육상 금속 골조 구조재 제조업,"25113, ",경상북도 문경시 유곡동 712 제2호,02-444-9683,,20,2025-09-11
130,계획입지,에프엔지(주),수산동물 건조 및 염장품 제조업,"10212, ",경상북도 문경시 산양면 진정리 630-11번지 외 1필지,054-055-6590,054-0552-7716,30,2025-09-11
131,계획입지,엘에스빌드윈 주식회사,"금속 문, 창, 셔터 및 관련제품 제조업 외 4 종","25111, 25112, 25113, 25114, 25119",경상북도 문경시 유곡동 704번지 외 1필지,031-361-2203,031-361-2299,3,2025-09-11
132,계획입지,엠에스페이퍼(주),기타 종이 및 판지 제조업 외 2 종,"17109, 17103, 17106",경상북도 문경시 가은읍 왕능리 637번지,054-571-0550,054-571-1550,60,2025-09-11
133,계획입지,여강스틸,금속선 가공제품 제조업 외 2 종,"25944, 25113, 25114",경상북도 문경시 마성면 오천리 879번지,054-572-0408,054-572-0407,6,2025-09-11
134,계획입지,여니,그 외 기타 콘크리트 제품 및 유사제품 제조업,"23329, ",경상북도 문경시 산양면 진정리 687,,,6,2025-09-11
135,계획입지,영강씽크가구공장,의료용 가구 제조업 외 2 종,"27196, 32021, 32029",경상북도 문경시 산양면 진정리 688-1,054-556-2840,054-556-2841,6,2025-09-11
136,계획입지,영남에너지서비스(주),전동기 및 발전기 제조업,"28111, ",경상북도 문경시 가은읍 왕능리 638,,,0,2025-09-11
137,계획입지,영농조합법인 신미네유통사업단,기타 과실ㆍ채소 가공 및 저장 처리업,"10309, ",경상북도 문경시 영순면 율곡리 1090-0번지,054-554-6660,,28,2025-09-11
138,계획입지,영농조합법인 신미네유통사업단,기타 과실ㆍ채소 가공 및 저장 처리업,"10309, ",경상북도 문경시 영순면 율곡리 1095번지,054-554-6660,054-554-6663,74,2025-09-11
139,계획입지,영농조합법인신미네유통사업단,기타 과실ㆍ채소 가공 및 저장 처리업,"10309, ",경상북도 문경시 영순면 율곡리 1094번지,054-554-6660,054-554-6663,56,2025-09-11
140,계획입지,왕능정미소,곡물 도정업,"10511, ",경상북도 문경시 가은읍 왕능리 615번지,054-571-6254,,2,2025-09-11
141,계획입지,원스FT(푸드테크),기타 식품 첨가물 제조업,"10839, ",경상북도 문경시 신기동 1143-2,,,5,2025-09-11
142,계획입지,웰플러스에프앤비 주식회사,기타 곡물 가공품 제조업,"10519, ",경상북도 문경시 가은읍 왕능리 637,,,25,2025-09-11
143,계획입지,윌링스,부직포 및 펠트 제조업 외 1 종,"13992, 68112",경상북도 문경시 영순면 의곡리 1278-1,054-552-2232,,8,2025-09-11
144,계획입지,유풍산업,금속선 가공제품 제조업 외 6 종,"25944, 13994, 16212, 22221, 25112, 33302, 68112",경상북도 문경시 산양면 진정리 630-9번지 유풍산업,054-552-2663,054-552-2664,10,2025-09-11
145,계획입지,유풍제과,과자류 및 코코아 제품 제조업,"10603, ",경상북도 문경시 가은읍 왕능리 646-1,054-925-9902,,7,2025-09-11
146,계획입지,유한회사 농업회사법인 삼미식품,천연 및 혼합조제 조미료 제조업,"10832, ",경상북도 문경시 신기동 1141번지,054-555-1586,053-856-3555,7,2025-09-11
147,계획입지,유한회사 미래금속,구조용 금속 판제품 및 공작물 제조업,"25112, ",경상북도 문경시 유곡동 708-1,,,6,2025-09-11
148,계획입지,자연그린 주식회사,과실 및 그 외 채소 절임식품 제조업,"10302, ",경상북도 문경시 마성면 오천리 874,054-571-2033,,0,2025-09-11
149,계획입지,정우전기조명,일반용 전기 조명장치 제조업 외 3 종,"28422, 25113, 25114, 28123",경상북도 문경시 가은읍 왕능리 616-2번지,054-536-0776,054-536-0771,25,2025-09-11
150,계획입지,주식회사 다한스톤,건설용 석제품 제조업,"23911, ",경상북도 문경시 마성면 오천리 896,031-335-2293,,3,2025-09-11
151,계획입지,주식회사 도운,금속 스프링 제조업,"25943, ",경상북도 문경시 신기동 1141-3,,,15,2025-09-11
152,계획입지,주식회사 미래케미칼,일반용 도료 및 관련제품 제조업 외 1 종,"20411, 20202",경상북도 문경시 신기동 1141-7,054-572-7705,,0,2025-09-11
153,계획입지,주식회사 브이아이파워,일반용 전기 조명장치 제조업,"28422, ",경상북도 문경시 영순면 의곡리 1288-1,070-4258-7374,,12,2025-09-11
154,계획입지,주식회사 에스제이산업개발,아스팔트 콘크리트 및 혼합제품 제조업 외 2 종,"23991, 23995, 23999",경상북도 문경시 마성면 오천리 895-1번지,054-571-4802,054-571-4803,4,2025-09-11
155,계획입지,주식회사 에이치지,수산동물 건조 및 염장품 제조업 외 1 종,"10212, 10899",경상북도 문경시 산양면 진정리 690-0,054-556-7779,054-556-7774,9,2025-09-11
156,계획입지,주식회사 엔코크,그 외 기타 분류 안된 화학제품 제조업 외 1 종,"20499, 21301",경상북도 문경시 신기동 1141-8,053-657-0036,,0,2025-09-11
157,계획입지,주식회사 제이씨스틸,"금속 문, 창, 셔터 및 관련제품 제조업 외 1 종","25111, 25112",경상북도 문경시 신기동 1141-8,054-553-3332,054-556-3332,8,2025-09-11
